突破ID	有效标志位	星级	灵宠等级要求	消耗道具	消耗数量	战斗属性ID	遣散返还灵宠币数量
600140	1	5	2100	410560011	75	996131	4125
600150	1	5	4140	410560011	90	996141	4125
600160	1	5	4160	410560011	105	996151	4625
600170	1	5	4160	410560011	120	996161	4625
600180	1	5	5160	410560011	135	996171	4625
600190	1	5	6180	410560011	150	996181	4625
600200	1	5	7200	410560011	165	996191	4625
100010	1	6	1100	410510001	30	991001	80
100020	1	6	1100	410510002	30	991001	80
100030	1	6	1100	410510003	30	991001	80
100040	1	6	1100	410510004	30	991002	80
200010	1	6	1100	410520001	30	992001	160
200020	1	6	1100	410520002	30	992001	160
200030	1	6	1100	410520003	30	992002	160
200040	1	6	1100	410520004	30	992002	160
200050	1	6	1100	410520005	30	992003	160
200060	1	6	1100	410520006	30	992001	160
300010	1	6	1100	410530001	30	993001	800
300020	1	6	1100	410530002	30	993001	800
300030	1	6	1100	410530003	30	993001	800
300040	1	6	1100	410530004	30	993002	800
300050	1	6	1100	410530005	30	993002	800
300060	1	6	1100	410530006	30	993002	800
300070	1	6	1100	410530007	30	993003	800
300080	1	6	1100	410530008	30	993003	800
300090	1	6	1100	410530009	30	993003	800
300100	1	6	1100	410530010	30	993003	800
300110	1	6	1100	410530011	30	993003	800
300120	1	6	1100	410530012	30	993003	800
300130	1	6	1100	410530013	30	993003	800
300140	1	6	1100	410530014	30	993003	800
300150	1	6	1100	410530015	30	993003	800
400010	1	6	2120	410540001	60	994011	8000
400020	1	6	1100	410540002	60	994001	8000
400030	1	6	2120	410540003	60	994013	8000
400040	1	6	2120	410540004	60	994012	8000
400050	1	6	1100	410540005	60	994002	8000
400060	1	6	1100	410540006	60	994002	8000
400070	1	6	1100	410540007	60	994002	8000
400080	1	6	1100	410540008	60	994003	8000
400090	1	6	2120	410540009	60	994013	8000
400100	1	6	1100	410540010	60	994001	8000
400110	1	6	1100	410540011	60	994101	8000
400120	1	6	1100	410540011	70	994111	8000
400130	1	6	2120	410540011	80	994121	8000
400140	1	6	2120	410540011	90	994131	8000
400150	1	6	4160	410540011	105	994141	16000
400210	1	6	1100	410540021	60	994102	8000
400220	1	6	1100	410540021	70	994112	8000
400230	1	6	2120	410540021	80	994122	8000
400240	1	6	2120	410540021	90	994132	8000
400250	1	6	4160	410540021	105	994142	16000
600010	1	6	4160	410560001	90	996021	6000
600020	1	6	1100	410560002	90	996001	6000
600030	1	6	1100	410560003	90	996002	6000
600040	1	6	2120	410560004	90	996011	6000
600050	1	6	2120	410560005	90	996012	6000
600060	1	6	2120	410560006	90	996013	6000
600070	1	6	1100	410560007	90	996002	6000
600080	1	6	2120	410560008	90	996011	6000
600090	1	6	4160	410560009	90	996022	6000
600100	1	6	4160	410560010	90	996023	6000
600110	1	6	1100	410560011	90	996101	6000
600120	1	6	1100	410560011	90	996111	6000
600130	1	6	2120	410560011	90	996121	6000
600140	1	6	2120	410560011	90	996131	6000
600150	1	6	4160	410560011	105	996141	6000
600160	1	6	4160	410560011	120	996151	7125
600170	1	6	5160	410560011	135	996161	7125
600180	1	6	6180	410560011	150	996171	7750
600190	1	6	7200	410560011	165	996181	7750
600200	1	6	7200	410560011	180	996191	7750
100010	1	7	2100	410510001	35	991001	110
100020	1	7	2100	410510002	35	991001	110
100030	1	7	2100	410510003	35	991001	110
100040	1	7	2100	410510004	35	991002	110
200010	1	7	2100	410520001	35	992001	220
200020	1	7	2100	410520002	35	992001	220
200030	1	7	2100	410520003	35	992002	220
200040	1	7	2100	410520004	35	992002	220
200050	1	7	2100	410520005	35	992003	220
200060	1	7	2100	410520006	35	992001	220
300010	1	7	2100	410530001	35	993001	1100
300020	1	7	2100	410530002	35	993001	1100
300030	1	7	2100	410530003	35	993001	1100
300040	1	7	2100	410530004	35	993002	1100
300050	1	7	2100	410530005	35	993002	1100
300060	1	7	2100	410530006	35	993002	1100
300070	1	7	2100	410530007	35	993003	1100
300080	1	7	2100	410530008	35	993003	1100
300090	1	7	2100	410530009	35	993003	1100
300100	1	7	2100	410530010	35	993003	1100
300110	1	7	2100	410530011	35	993003	1100
300120	1	7	2100	410530012	35	993003	1100
300130	1	7	2100	410530013	35	993003	1100
300140	1	7	2100	410530014	35	993003	1100
300150	1	7	2100	410530015	35	993003	1100
400010	1	7	3120	410540001	70	994011	11000
400020	1	7	2100	410540002	70	994001	11000
400030	1	7	3120	410540003	70	994013	11000
400040	1	7	3120	410540004	70	994012	11000
400050	1	7	2100	410540005	70	994002	11000
400060	1	7	2100	410540006	70	994002	11000
400070	1	7	2100	410540007	70	994002	11000
400080	1	7	2100	410540008	70	994003	11000
400090	1	7	3120	410540009	70	994013	11000
400100	1	7	2100	410540010	70	994001	11000
400110	1	7	2100	410540011	70	994101	11000
400120	1	7	2100	410540011	80	994111	11000
400130	1	7	3120	410540011	90	994121	11000
400140	1	7	3120	410540011	105	994131	11000
400150	1	7	4160	410540011	120	994141	22000
400210	1	7	2100	410540021	70	994102	11000
400220	1	7	2100	410540021	80	994112	11000
400230	1	7	3120	410540021	90	994122	11000
400240	1	7	3120	410540021	105	994132	11000
400250	1	7	4160	410540021	120	994142	22000
600010	1	7	5160	410560001	105	996021	8250
600020	1	7	2100	410560002	105	996001	8250
600030	1	7	2100	410560003	105	996002	8250
600040	1	7	3120	410560004	105	996011	8250
600050	1	7	3120	410560005	105	996012	8250
600060	1	7	3120	410560006	105	996013	8250
600070	1	7	2100	410560007	105	996002	8250
600080	1	7	3120	410560008	105	996011	8250
600090	1	7	5160	410560009	105	996022	8250
600100	1	7	5160	410560010	105	996023	8250
600110	1	7	2100	410560011	105	996101	8250
600120	1	7	2100	410560011	105	996111	8250
600130	1	7	3120	410560011	105	996121	8250
600140	1	7	3120	410560011	105	996131	8250
600150	1	7	4160	410560011	120	996141	8250
600160	1	7	5160	410560011	135	996151	10125
600170	1	7	5180	410560011	150	996161	10125
600180	1	7	6180	410560011	165	996171	11500
600190	1	7	7200	410560011	180	996181	11500
600200	1	7	7220	410560011	195	996191	12250
100010	1	8	2120	410510001	40	991001	145
100020	1	8	2120	410510002	40	991001	145
100030	1	8	2120	410510003	40	991001	145
100040	1	8	2120	410510004	40	991002	145
200010	1	8	2120	410520001	40	992001	290
200020	1	8	2120	410520002	40	992001	290
200030	1	8	2120	410520003	40	992002	290
200040	1	8	2120	410520004	40	992002	290
200050	1	8	2120	410520005	40	992003	290
200060	1	8	2120	410520006	40	992001	290
300010	1	8	2120	410530001	40	993001	1450
300020	1	8	2120	410530002	40	993001	1450
300030	1	8	2120	410530003	40	993001	1450
300040	1	8	2120	410530004	40	993002	1450
300050	1	8	2120	410530005	40	993002	1450
300060	1	8	2120	410530006	40	993002	1450
300070	1	8	2120	410530007	40	993003	1450
300080	1	8	2120	410530008	40	993003	1450
300090	1	8	2120	410530009	40	993003	1450
300100	1	8	2120	410530010	40	993003	1450
300110	1	8	2120	410530011	40	993003	1450
300120	1	8	2120	410530012	40	993003	1450
300130	1	8	2120	410530013	40	993003	1450
300140	1	8	2120	410530014	40	993003	1450
300150	1	8	2120	410530015	40	993003	1450
400010	1	8	3140	410540001	80	994011	14500
400020	1	8	2120	410540002	80	994001	14500
400030	1	8	3140	410540003	80	994013	14500
400040	1	8	3140	410540004	80	994012	14500
400050	1	8	2120	410540005	80	994002	14500
400060	1	8	2120	410540006	80	994002	14500
400070	1	8	2120	410540007	80	994002	14500
400080	1	8	2120	410540008	80	994003	14500
400090	1	8	3140	410540009	80	994013	14500
400100	1	8	2120	410540010	80	994001	14500
400110	1	8	2100	410540011	80	994101	14500
400120	1	8	2100	410540011	90	994111	14500
400130	1	8	3140	410540011	105	994121	14500
400140	1	8	3140	410540011	120	994131	14500
400150	1	8	5160	410540011	135	994141	29000
400210	1	8	2100	410540021	80	994102	14500
400220	1	8	2100	410540021	90	994112	14500
400230	1	8	3140	410540021	105	994122	14500
400240	1	8	3140	410540021	120	994132	14500
400250	1	8	5160	410540021	135	994142	29000
600010	1	8	5180	410560001	120	996021	10875
600020	1	8	2120	410560002	120	996001	10875
600030	1	8	2120	410560003	120	996002	10875
600040	1	8	3140	410560004	120	996011	10875
600050	1	8	3140	410560005	120	996012	10875
600060	1	8	3140	410560006	120	996013	10875
600070	1	8	2120	410560007	120	996002	10875
600080	1	8	3140	410560008	120	996011	10875
600090	1	8	5180	410560009	120	996022	10875
600100	1	8	5180	410560010	120	996023	10875
600110	1	8	2120	410560011	120	996101	10875
600120	1	8	2120	410560011	120	996111	10875
600130	1	8	3140	410560011	120	996121	10875
600140	1	8	3140	410560011	120	996131	10875
600150	1	8	5160	410560011	135	996141	10875
600160	1	8	5180	410560011	150	996151	13625
600170	1	8	6180	410560011	165	996161	13625
600180	1	8	7200	410560011	180	996171	15875
600190	1	8	7200	410560011	195	996181	15875
600200	1	8	8220	410560011	210	996191	17500
100010	1	9	3120	410510001	45	991001	185
100020	1	9	3120	410510002	45	991001	185
100030	1	9	3120	410510003	45	991001	185
100040	1	9	3120	410510004	45	991002	185
200010	1	9	3120	410520001	45	992001	370
200020	1	9	3120	410520002	45	992001	370
200030	1	9	3120	410520003	45	992002	370
200040	1	9	3120	410520004	45	992002	370
200050	1	9	3120	410520005	45	992003	370
200060	1	9	3120	410520006	45	992001	370
300010	1	9	3120	410530001	45	993001	1850
300020	1	9	3120	410530002	45	993001	1850
300030	1	9	3120	410530003	45	993001	1850
300040	1	9	3120	410530004	45	993002	1850
300050	1	9	3120	410530005	45	993002	1850
300060	1	9	3120	410530006	45	993002	1850
300070	1	9	3120	410530007	45	993003	1850
300080	1	9	3120	410530008	45	993003	1850
300090	1	9	3120	410530009	45	993003	1850
300100	1	9	3120	410530010	45	993003	1850
300110	1	9	3120	410530011	45	993003	1850
300120	1	9	3120	410530012	45	993003	1850
300130	1	9	3120	410530013	45	993003	1850
300140	1	9	3120	410530014	45	993003	1850
300150	1	9	3120	410530015	45	993003	1850
400010	1	9	4140	410540001	90	994011	18500
400020	1	9	3120	410540002	90	994001	18500
400030	1	9	4140	410540003	90	994013	18500
400040	1	9	4140	410540004	90	994012	18500
400050	1	9	3120	410540005	90	994002	18500
400060	1	9	3120	410540006	90	994002	18500
400070	1	9	3120	410540007	90	994002	18500
400080	1	9	3120	410540008	90	994003	18500
400090	1	9	4140	410540009	90	994013	18500
400100	1	9	3120	410540010	90	994001	18500
400110	1	9	3120	410540011	90	994101	18500
400120	1	9	3120	410540011	105	994111	18500
400130	1	9	4140	410540011	120	994121	18500
400140	1	9	4140	410540011	135	994131	18500
400150	1	9	5180	410540011	150	994141	37000
400210	1	9	3120	410540021	90	994102	18500
400220	1	9	3120	410540021	105	994112	18500
400230	1	9	4140	410540021	120	994122	18500
400240	1	9	4140	410540021	135	994132	18500
400250	1	9	5180	410540021	150	994142	37000
600010	1	9	6180	410560001	135	996021	13875
600020	1	9	3120	410560002	135	996001	13875
600030	1	9	3120	410560003	135	996002	13875
600040	1	9	4140	410560004	135	996011	13875
600050	1	9	4140	410560005	135	996012	13875
600060	1	9	4140	410560006	135	996013	13875
600070	1	9	3120	410560007	135	996002	13875
600080	1	9	4140	410560008	135	996011	13875
600090	1	9	6180	410560009	135	996022	13875
600100	1	9	6180	410560010	135	996023	13875
600110	1	9	3120	410560011	135	996101	13875
600120	1	9	3120	410560011	135	996111	13875
600130	1	9	4140	410560011	135	996121	13875
600140	1	9	4140	410560011	135	996131	13875
600150	1	9	5180	410560011	150	996141	13875
600160	1	9	6180	410560011	165	996151	17625
600170	1	9	7200	410560011	180	996161	17625
600180	1	9	7200	410560011	195	996171	20875
600190	1	9	7220	410560011	210	996181	20875
600200	1	9	9240	410560011	225	996191	23500
100010	1	10	3120	0	0	991001	230
100020	1	10	3120	0	0	991001	230
100030	1	10	3120	0	0	991001	230
