激活码模板ID	有效标志位	激活码小类（标识是哪个渠道，用于右边模板大类判断。激活码大类、模板大类一样则都可，后续通过类别类型判断礼包之间互斥关系，从100开始）	模板大类（为0时不做处理，检测为模板类型，大类相同，则渠道不同互斥，从1000开始）	类别类型（小类，数值相同，渠道内礼包之间互斥，数据使用后会储存服务器，不要随意更改，可改0，5000开始）	条件限制ID（1000开始）	奖励ID	礼包名称	发放数量
100122	1	110	1000	0	1000	40050021	应用宝预约礼包	50000
100123	1	106	1000	0	1000	40050016	UC预约礼包	50000
100124	1	0	0	0	1006	40050065	备用高级礼包	300000
100125	1	0	0	0	1006	40050108	补偿礼包	300000
100126	1	115	1000	0	1000	40050109	百度大R礼包	30
100127	1	116	1000	5027	1000	40050110	UC萌新礼包	5000
100128	1	116	1000	5028	1000	40050111	UC豪华礼包	4000
100129	1	116	1000	5029	1000	40050112	UC金砖礼包	2000
100130	1	0	0	0	1007	40050113	重阳豪礼	1
100131	1	0	0	0	1008	40050114	每周礼包1	1
100132	1	0	0	0	1009	40050115	每周礼包2	1
100133	1	0	0	0	1010	40050116	每周礼包3	1
100134	1	0	0	0	1011	40050117	每周礼包4	1
100135	1	0	0	0	1012	40050118	每周礼包5	1
100136	1	110	1000	0	1000	40050102	灵宠大礼包	100
100137	1	110	1000	0	1000	40050021	豪华道具礼包	500
100138	1	110	1000	0	1013	40050119	应用宝双十一礼包	300
100139	1	0	0	0	1014	40050120	长生诀备用礼包	20000
100140	1	0	0	0	1015	40050052	长生诀普通礼包	500000
100141	1	0	0	0	1015	40050053	长生诀精英礼包	500000
100142	1	0	0	0	1015	40050054	长生诀特级礼包	400000
100143	1	106	1000	0	1000	40050054	长生诀VIP礼包	30000
100144	1	0	0	0	1000	40050121	微信铜币礼包	8000
100145	1	0	0	0	1000	40050122	微信绑元礼包	20
100146	1	0	0	0	1000	40050123	微信坐骑礼包	1
100147	1	0	0	0	1016	40050124	累计登陆礼包V1	1000
100148	1	0	0	0	1016	40050125	累计登陆礼包V2	800
100149	1	0	0	0	1016	40050126	累计登陆礼包V3	500
100150	1	0	0	0	1017	40050127	66元豪华礼包	500
100151	1	0	0	0	1017	40050128	288元豪华礼包	200
100152	1	0	0	0	1018	40050129	大R维护礼包1	500
100153	1	0	0	0	1019	40050130	大R维护礼包2	500
100154	1	0	0	0	1020	40050131	大R维护礼包3	500
100155	1	0	0	0	1021	40050132	大R维护礼包4	500
100156	1	0	0	0	1004	40050133	获客礼包	5000
100157	1	0	0	0	1004	40050134	开卡礼包	5000
100158	1	0	0	0	1004	40050135	首刷礼包	5000
100159	1	0	0	0	1000	40050054	公会活动礼包	10000
100160	1	117	1000	0	1000	40050136	天尚专属礼包	5000
100161	1	106	1000	0	1004	40050016	UC专属礼包	10000
100162	1	0	0	0	1000	40050054	长生诀高级礼包	10000
100163	1	110	1000	0	1022	40050035	预约专属礼包	500
100164	1	110	1000	0	1022	40050053	特权礼包	500
100165	1	110	1000	0	1022	40050034	限定礼包	500
100166	1	110	1000	0	1022	40050112	长生飞仙礼包	500
100167	1	108	1000	0	1022	40050062	专属礼包	3000
100168	1	108	1000	0	1022	40050054	限定礼包	3000
100169	1	108	1000	0	1022	40050107	特级礼包	2000
100170	1	108	1000	0	1022	40050062	魅族专属礼包	12000
100171	1	108	1000	0	1022	40050054	魅族限定礼包	12000
100172	1	108	1000	0	1022	40050107	魅族特级礼包	10000
100173	1	0	0	0	1000	40050083	圣诞礼包	1
100174	1	0	0	0	1000	40050059	元旦礼包	10000
100175	1	0	0	0	1000	40050115	微信辩论赛活动礼包	50
100176	1	0	0	0	1000	40050059	微信辩论赛豪华礼包	10
100177	1	0	0	0	1000	40050140	长生诀双旦礼包	5000
100178	1	0	0	0	1000	40050141	长生诀新年礼包	5000
100179	1	181	1000	0	1000	40050142	长生诀新年独家礼包	3000
100180	1	103	1000	0	1000	40050143	17173新年独家礼包	1000
100181	1	104	1000	0	1000	40050144	18183新年独家礼包	1000
100182	1	105	1000	0	1000	40050145	多玩新年独家礼包	1000
100183	1	180	1000	0	1000	40050146	高级独家礼包	1000
500001	1	118	1002	5030	1023	40050137	新马泰专属礼包1	1000
500002	1	118	1002	5030	1023	40050137	新马泰专属礼包2	1000
500003	1	118	1002	5030	1023	40050137	新马泰专属礼包3	1000
500004	1	118	1002	5030	1023	40050137	新马泰专属礼包4	1000
500005	1	118	1002	5030	1023	40050137	新马泰专属礼包5	1000
500006	1	118	1002	5030	1023	40050137	新马泰专属礼包6	1000
500007	1	118	1002	5030	1023	40050137	新马泰专属礼包7	1000
500008	1	118	1002	5030	1023	40050137	新马泰专属礼包8	1000
500009	1	119	1003	5031	1023	40050138	新马泰称号礼包	1000
500010	1	120	1004	5032	1026	40050139	新马泰网红礼包	8
