商品ID（1~73为已提审老ID，不能动【74~99的，不能用，会与韩国ID冲突】，新加的，充值元宝类100~199，周卡月卡类200~250，礼包类251~499，基金类500~599，摇钱树类600~650，幸运星礼包651~799，成长礼包800~1000，预留类型1001开始）74~99的ID不用	有效标志	类型（元宝、周月卡、礼包等等，服务器用于统计，客户端用于显示）1元宝，2周卡，3月卡，4礼包，5基金，6摇钱树，7幸运星礼包，8成长礼包）	商品名称	价格（新台币）	购买次数限制	IOS小额充值次数限制	购买状态限制	首冲成就ID	获得元宝数量（聚宝盆摇宝时，用作标识每一档的位域）	获得奖励ID（周卡、月卡、每日充值礼包之类的通过这个功能实现，以前是道具ID，现在改成奖励ID）	触发红包ID	获得VIP积分	韩国谷歌商品id	韩国OneStore商品id	新台币计费点	越南盾计费点	韩国OneStore商品id	图标	描述	联想渠道编码	酷派渠道编码	三星渠道ID	右上角标签的图片	右上角标签的文字	商品名称动态脚本	官网包	IOS包	GOOGLE包
52	1	8	90元扣豪礼	90	0	0	0	0	0	0	0	900	0	0	csj.gametaiwan.18	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
53	1	8	120元扣豪礼	120	0	0	0	0	0	0	0	1200	0	0	csj.gametaiwan.19	0	0	item10_005	0	0	0	0	0	0	0	0	1	1
54	1	8	150元扣豪礼	150	0	0	0	0	0	0	0	1500	0	0	csj.gametaiwan.20	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
55	1	8	180元扣豪礼	180	0	0	0	0	0	0	0	1800	0	0	csj.gametaiwan.21	0	0	item99_006	0	0	0	0	0	0	0	0	1	1
801	1	8	200元扣豪礼	200	0	0	0	0	0	0	0	2000	0	0	csj.gametaiwan.61	0	0	item99_006	0	0	0	0	0	0	0	1	0	0
56	1	8	210元扣豪礼	210	0	0	0	0	0	0	0	2100	0	0	csj.gametaiwan.22	0	0	item99_006	0	0	0	0	0	0	0	0	1	1
57	1	4	每日钻石礼包	240	297	0	41005400	0	520	60051230	0	2400	0	0	csj.gametaiwan.23	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
58	1	8	270元扣豪礼	270	0	0	0	0	0	0	0	2700	0	0	csj.gametaiwan.24	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
59	1	8	300元扣豪礼	300	0	0	0	0	0	0	0	3000	0	0	csj.gametaiwan.25	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
60	1	8	330元扣豪礼	330	0	0	0	0	0	0	0	3300	0	0	csj.gametaiwan.26	0	0	item10_006	0	0	0	0	0	0	0	0	1	1
61	1	6	360元摇宝	360	298	0	41005401	0	16	0	0	3600	0	0	csj.gametaiwan.27	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
62	1	8	390元扣豪礼	390	0	0	0	0	0	0	0	3900	0	0	csj.gametaiwan.28	0	0	item10_005	0	0	0	0	0	0	0	0	1	1
802	1	8	400元扣豪礼	400	0	0	0	0	0	0	0	4000	0	0	csj.gametaiwan.62	0	0	item10_005	0	0	0	0	0	0	0	1	0	0
63	1	8	420元扣豪礼	420	0	0	0	0	0	0	0	4200	0	0	csj.gametaiwan.29	0	0	item10_005	0	0	0	0	0	0	0	0	1	1
64	1	8	450元扣豪礼	450	0	0	0	0	0	0	0	4500	0	0	csj.gametaiwan.30	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
65	1	5	450元活动基金	450	231	0	0	2337	980	0	0	4500	0	0	csj.gametaiwan.31	0	0	item99_006	0	0	0	0	0	0	0	0	1	1
66	1	8	500元扣豪礼	500	0	0	0	0	0	0	0	5000	0	0	csj.gametaiwan.32	0	0	item99_005	0	0	0	0	0	0	0	1	0	0
67	1	8	540元扣豪礼	540	0	0	0	0	0	0	0	5400	0	0	csj.gametaiwan.33	0	0	item99_005	0	0	0	0	0	0	0	0	1	1
68	1	6	570元摇宝	570	299	0	41005401	0	32	0	0	5700	0	0	csj.gametaiwan.34	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
69	1	8	1150元扣豪礼	1150	0	0	0	0	0	0	0	11500	0	0	csj.gametaiwan.35	0	0	item10_006	0	0	0	0	0	0	0	1	0	0
803	1	8	1190元扣豪礼	1190	0	0	0	0	0	0	0	11900	0	0	csj.gametaiwan.63	0	0	item10_006	0	0	0	0	0	0	0	0	1	1
70	1	8	1490元扣豪礼	1490	0	0	0	0	0	0	0	14900	0	0	csj.gametaiwan.36	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
804	1	8	2000元扣豪礼	2000	0	0	0	0	0	0	0	20000	0	0	csj.gametaiwan.64	0	0	item10_007	0	0	0	0	0	0	0	1	0	0
71	1	8	2090元扣豪礼	2090	0	0	0	0	0	0	0	20900	0	0	csj.gametaiwan.37	0	0	item10_005	0	0	0	0	0	0	0	0	1	1
72	1	8	2990元扣豪礼	2990	0	0	0	0	0	0	0	29900	0	0	csj.gametaiwan.38	0	0	item10_005	0	0	0	0	0	0	0	0	1	1
73	1	8	3000元扣豪礼	3000	0	0	0	0	0	0	0	30000	0	0	csj.gametaiwan.39	0	0	item99_006	0	0	0	0	0	0	0	1	0	0
100	1	1	100元宝	50	0	0	0	2861	100	40051927	0	500	0	0	csj.nt.50.apk	0	0	vip_03	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(272);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190515); else return ds(190500); end;	1	0	0
101	1	1	5000元宝	100	0	0	0	2862	4800	40051928	0	1000	0	0	csj.nt.100.apk	0	0	vip_03	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(273);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190516); else return ds(190501); end;	1	0	0
102	1	1	300元宝	150	0	0	0	2863	300	40051929	0	1500	0	0	csj.nt.150.apk	0	0	vip_03	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(274);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190517); else return ds(190502); end;	1	0	0
103	1	1	400元宝	200	0	0	0	2864	400	40051930	0	2000	0	0	csj.nt.200.apk	0	0	vip_03	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(275);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190518); else return ds(190503); end;	1	0	0
104	1	1	600元宝	300	0	0	0	2865	600	40051931	0	3000	0	0	csj.nt.300.apk	0	0	vip_04	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(276);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190519); else return ds(190504); end;	1	0	0
105	1	1	700元宝	350	0	0	0	2866	700	40051932	0	3500	0	0	csj.nt.350.apk	0	0	vip_04	0	0	0	0	base_tagZi	超值	local a,b = NumRestrictionManager.GetNum(277);if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) and a == 1 then return ds(190520); else return ds(190505); end;	1	0	0
106	1	1	800元宝	400	0	0	0	2867	800	40051933	0	4000	0	0	csj.nt.400.apk	0	0	vip_04	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190521); else return ds(190506); end;	1	0	0
107	1	1	900元宝	450	0	0	0	2868	900	40051934	0	4500	0	0	csj.nt.450.apk	0	0	vip_05	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190522); else return ds(190507); end;	1	0	0
108	1	1	25000元宝	500	0	0	0	2869	24000	40051935	0	5000	0	0	csj.nt.500.apk	0	0	vip_05	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190523); else return ds(190508); end;	1	0	0
109	1	1	50000元宝	1000	0	0	0	2870	48000	40051936	0	10000	0	0	csj.nt.1000.apk	0	0	vip_06	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190524); else return ds(190509); end;	1	0	0
110	1	1	2300元宝	1150	0	0	0	2871	2300	40051937	0	11500	0	0	csj.nt.1150.apk	0	0	vip_06	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190525); else return ds(190510); end;	1	0	0
111	1	1	4000元宝	2000	0	0	0	2872	4000	40051938	1601007	20000	0	0	csj.nt.2000.apk	0	0	vip_07	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190526); else return ds(190511); end;	1	0	0
112	1	1	6000元宝	3000	0	0	0	2873	6000	40051939	1601008	30000	0	0	csj.nt.3000.apk	0	0	vip_07	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190527); else return ds(190512); end;	1	0	0
113	1	1	250000元宝	5000	0	0	0	2874	240000	40051940	1601009	50000	0	0	csj.nt.5000.apk	0	0	vip_08	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190528); else return ds(190513); end;	1	0	0
114	1	1	500000元宝	10000	0	0	0	2875	480000	40051941	1601010	100000	0	0	csj.nt.10000.apk	0	0	vip_08	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190529); else return ds(190514); end;	1	0	0
115	1	1	44000元宝	20000	0	0	0	2892	44000	40051950	0	200000	0	0	csj.nt.20000.apk	0	0	vip_08	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190535); else return ds(190534); end;	1	0	0
116	1	1	66000元宝	30000	0	0	0	2893	1434000	40051951	0	300000	0	0	csj.nt.30000.apk	0	0	vip_08	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190540); else return ds(190539); end;	1	0	0
117	1	1	110000元宝	50000	0	0	0	2894	110000	40051952	0	500000	0	0	csj.nt.50000.apk	0	0	vip_08	0	0	0	0	base_tagZi	超值	if CharStateLimitManager.SingleCheckTimeLimiteState(4100000) then return ds(190542); else return ds(190541); end;	1	0	0
1001	1	9	红包60元宝	30	0	0	0	0	0	0	0	300	0	0	csj.gametaiwan.40	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1002	1	9	红包180元宝	90	0	0	0	0	0	0	0	900	0	0	csj.gametaiwan.41	0	0	item10_006	0	0	0	0	0	0	0	1	1	1
1003	1	9	红包300元宝	150	0	0	0	0	0	0	0	1500	0	0	csj.gametaiwan.42	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
1004	1	9	红包600元宝	300	0	0	0	0	0	0	0	3000	0	0	csj.gametaiwan.43	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1005	1	9	红包980元宝	450	0	0	0	0	0	0	0	4500	0	0	csj.gametaiwan.44	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1006	1	9	红包1580元宝	750	0	0	0	0	0	0	0	7500	0	0	csj.gametaiwan.45	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
1101	1	12	60礼卷	30	0	0	0	0	0	40006501	0	0	0	0	csj.gametaiwan.46	0	0	item99_028	0	0	0	0	0	0	0	1	1	1
1102	1	12	180礼卷	90	0	0	0	0	0	40006502	0	0	0	0	csj.gametaiwan.47	0	0	item99_029	0	0	0	0	0	0	0	1	1	1
1103	1	12	300礼卷	150	0	0	0	0	0	40006503	0	0	0	0	csj.gametaiwan.48	0	0	item99_030	0	0	0	0	0	0	0	1	1	1
1104	1	12	600礼卷	300	0	0	0	0	0	40006504	0	0	0	0	csj.gametaiwan.49	0	0	item99_031	0	0	0	0	0	0	0	1	1	1
1105	1	12	980礼卷	450	0	0	0	0	0	40006505	0	0	0	0	csj.gametaiwan.50	0	0	item99_032	0	0	0	0	0	0	0	1	1	1
1106	1	12	1580礼卷	750	0	0	0	0	0	40006506	0	0	0	0	csj.gametaiwan.51	0	0	item99_033	0	0	0	0	0	0	0	1	1	1
1201	1	10	粉丝团按赞1000奖励	0	0	0	0	0	0	60507103	0	0	0	0	csj.fb.1	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1202	1	10	粉丝团按赞2000奖励	0	0	0	0	0	0	60507104	0	0	0	0	csj.fb.2	0	0	item10_006	0	0	0	0	0	0	0	1	1	1
1203	1	10	粉丝团按赞5000奖励	0	0	0	0	0	0	60507105	0	0	0	0	csj.fb.3	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
1204	1	10	粉丝团按赞8000奖励	0	0	0	0	0	0	60507106	0	0	0	0	csj.fb.4	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1205	1	10	粉丝团按赞11000奖励	0	0	0	0	0	0	60507107	0	0	0	0	csj.fb.5	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1206	1	10	粉丝团按赞15000奖励	0	0	0	0	0	0	60507108	0	0	0	0	csj.fb.6	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
1207	1	10	FB每日分享礼包	0	0	0	0	0	0	60507109	0	0	0	0	csj.fb.7	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1208	1	10	累积3日分享礼包	0	0	0	0	0	0	60507110	0	0	0	0	csj.fb.8	0	0	item10_006	0	0	0	0	0	0	0	1	1	1
1209	1	10	累积7天分享礼包	0	0	0	0	0	0	60507111	0	0	0	0	csj.fb.9	0	0	item10_007	0	0	0	0	0	0	0	1	1	1
1210	1	10	累积15天分享礼包	0	0	0	0	0	0	60507112	0	0	0	0	csj.fb.10	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1211	1	10	累积30天分享礼包	0	0	0	0	0	0	60507113	0	0	0	0	csj.fb.11	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1212	1	10	累积邀请10名好友	0	0	0	0	0	0	60507114	0	0	0	0	csj.fb.12	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
1213	1	10	累积邀请50名好友	0	0	0	0	0	0	60507115	0	0	0	0	csj.fb.13	0	0	item10_005	0	0	0	0	0	0	0	1	1	1
1214	1	10	累积邀请100名好友	0	0	0	0	0	0	60507116	0	0	0	0	csj.fb.14	0	0	item99_006	0	0	0	0	0	0	0	1	1	1
