pid_id	货币类型(美分USD\韩元KRW\日元JPY\人民币CNY\新台币TWD\泰铢THB\越南盾VND)	价格	首选商品ID
com.pang.csjm.google.63	KRW	15400	63
com.pang.csjm.google.64	KRW	16500	64
com.pang.csjm.google.65	KRW	16500	65
com.pang.csjm.google.66	KRW	18700	66
com.pang.csjm.google.67	KRW	19800	67
com.pang.csjm.google.68	KRW	22000	68
com.pang.csjm.google.69	KRW	33000	69
com.pang.csjm.google.70	KRW	55000	70
com.pang.csjm.google.71	KRW	77000	71
com.pang.csjm.google.72	KRW	99000	72
com.pang.csjm.google.73	KRW	110000	73
com.pang.csjm.google.95	KRW	6600	800
com.pang.csjm.google.96	KRW	2200	801
com.pang.csjm.google.97	KRW	1100	802
com.pang.csjm.google.98	KRW	2200	803
com.pang.csjm.google.99	KRW	3300	804
com.pang.csjm.google.100	KRW	4400	805
com.pang.csjm.google.101	KRW	5500	806
com.pang.csjm.google.102	KRW	6600	807
com.pang.csjm.google.103	KRW	7700	808
com.pang.csjm.google.104	KRW	8800	809
com.pang.csjm.google.105	KRW	9900	810
com.pang.csjm.google.106	KRW	11000	811
com.pang.csjm.google.107	KRW	12100	812
com.pang.csjm.google.108	KRW	13200	813
com.pang.csjm.google.109	KRW	14300	814
com.pang.csjm.google.110	KRW	15400	815
com.pang.csjm.google.111	KRW	16500	816
com.pang.csjm.google.112	KRW	18700	817
com.pang.csjm.google.113	KRW	19800	818
com.pang.csjm.google.114	KRW	22000	819
com.pang.csjm.google.115	KRW	33000	820
com.pang.csjm.google.116	KRW	55000	821
com.pang.csjm.google.117	KRW	77000	822
com.pang.csjm.google.118	KRW	99000	823
com.pang.csjm.google.119	KRW	110000	824
com.pang.csjm.google.120	KRW	143000	825
com.pang.csjm.google.121	KRW	165000	826
com.pang.csjm.google.122	KRW	198000	827
com.pang.csjm.google.123	KRW	1100	828
com.pang.csjm.google.124	KRW	2200	829
com.pang.csjm.google.125	KRW	3300	830
com.pang.csjm.google.126	KRW	4400	831
com.pang.csjm.google.127	KRW	5500	832
com.pang.csjm.google.128	KRW	6600	833
com.pang.csjm.google.129	KRW	7700	834
com.pang.csjm.google.130	KRW	8800	835
com.pang.csjm.google.131	KRW	9900	836
com.pang.csjm.google.132	KRW	11000	837
com.pang.csjm.google.133	KRW	12100	838
com.pang.csjm.google.134	KRW	13200	839
com.pang.csjm.google.135	KRW	14300	840
com.pang.csjm.google.136	KRW	15400	841
com.pang.csjm.google.137	KRW	16500	842
com.pang.csjm.google.138	KRW	18700	843
com.pang.csjm.google.139	KRW	19800	844
com.pang.csjm.google.140	KRW	22000	845
com.pang.csjm.google.141	KRW	33000	846
com.pang.csjm.google.142	KRW	55000	847
com.pang.csjm.google.143	KRW	77000	848
com.pang.csjm.google.144	KRW	99000	849
com.pang.csjm.google.145	KRW	110000	850
com.pang.csjm.google.146	KRW	143000	851
com.pang.csjm.google.147	KRW	165000	852
com.pang.csjm.google.148	KRW	198000	853
com.pang.csjm.google.74	KRW	1100	1001
com.pang.csjm.google.75	KRW	3300	1002
com.pang.csjm.google.76	KRW	5500	1003
com.pang.csjm.google.77	KRW	11000	1004
com.pang.csjm.google.78	KRW	22000	1005
com.pang.csjm.google.79	KRW	33000	1006
"0910094455"	KRW	11000	90
"0910095939"	KRW	3300	91
"0910094446"	KRW	3300	81
"0910094447"	KRW	5500	82
"0910094448"	KRW	11000	83
"0910094449"	KRW	33000	84
"0910094450"	KRW	55000	85
"0910094451"	KRW	110000	86
"0910094452"	KRW	143000	87
"0910094453"	KRW	165000	88
"0910094454"	KRW	198000	89
"0910095940"	KRW	2200	9
"0910095941"	KRW	5500	10
"0910095942"	KRW	11000	11
"0910095943"	KRW	11000	12
"0910095944"	KRW	16500	13
"0910095948"	KRW	1100	31
"0910095949"	KRW	2200	32
"0910095950"	KRW	3300	33
"0910095951"	KRW	4400	34
"0910095952"	KRW	5500	35
"0910095953"	KRW	9900	36
"0910095954"	KRW	13200	37
"0910095955"	KRW	19800	38
"0910095956"	KRW	22000	39
"0910095957"	KRW	33000	40
"0910095958"	KRW	44000	41
"0910095959"	KRW	55000	42
"0910095960"	KRW	77000	43
"0910095961"	KRW	99000	44
"0910095962"	KRW	110000	45
"0910095963"	KRW	1100	46
"0910095964"	KRW	2200	47
"0910095965"	KRW	3300	48
"0910095966"	KRW	4400	49
"0910095967"	KRW	1100	50
"0910095968"	KRW	2200	51
"0910095969"	KRW	3300	52
"0910095970"	KRW	4400	53
"0910095971"	KRW	5500	54
"0910095972"	KRW	6600	55
"0910095973"	KRW	7700	56
"0910095974"	KRW	8800	57
"0910095975"	KRW	9900	58
"0910095976"	KRW	11000	59
"0910095977"	KRW	12100	60
"0910095978"	KRW	13200	61
"0910095979"	KRW	14300	62
"0910095980"	KRW	15400	63
"0910095981"	KRW	16500	64
"0910095982"	KRW	16500	65
"0910095983"	KRW	18700	66
"0910095984"	KRW	19800	67
"0910095985"	KRW	22000	68
"0910095986"	KRW	33000	69
"0910095987"	KRW	55000	70
"0910095988"	KRW	77000	71
"0910095989"	KRW	99000	72
"0910095990"	KRW	110000	73
"0910102912"	KRW	6600	800
"0910102913"	KRW	2200	801
"0910102914"	KRW	1100	802
"0910102915"	KRW	2200	803
"0910102916"	KRW	3300	804
"0910102917"	KRW	4400	805
"0910102918"	KRW	5500	806
"0910102919"	KRW	6600	807
"0910102920"	KRW	7700	808
"0910102921"	KRW	8800	809
"0910102922"	KRW	9900	810
"0910102923"	KRW	11000	811
"0910102924"	KRW	12100	812
"0910102925"	KRW	13200	813
"0910102926"	KRW	14300	814
"0910102927"	KRW	15400	815
"0910102928"	KRW	16500	816
"0910102929"	KRW	18700	817
"0910102930"	KRW	19800	818
"0910102931"	KRW	22000	819
"0910102932"	KRW	33000	820
"0910102933"	KRW	55000	821
"0910102934"	KRW	77000	822
"0910102935"	KRW	99000	823
"0910102936"	KRW	110000	824
"0910102937"	KRW	143000	825
"0910102938"	KRW	165000	826
"0910102939"	KRW	198000	827
"0910102940"	KRW	1100	828
"0910102941"	KRW	2200	829
"0910102942"	KRW	3300	830
"0910102943"	KRW	4400	831
"0910102944"	KRW	5500	832
"0910102945"	KRW	6600	833
"0910102946"	KRW	7700	834
"0910102947"	KRW	8800	835
"0910102948"	KRW	9900	836
"0910102949"	KRW	11000	837
"0910102950"	KRW	12100	838
"0910102951"	KRW	13200	839
"0910102952"	KRW	14300	840
"0910102953"	KRW	15400	841
"0910102954"	KRW	16500	842
"0910102955"	KRW	18700	843
"0910102956"	KRW	19800	844
"0910102957"	KRW	22000	845
"0910102958"	KRW	33000	846
"0910102959"	KRW	55000	847
"0910102960"	KRW	77000	848
"0910102961"	KRW	99000	849
"0910102962"	KRW	110000	850
"0910102963"	KRW	143000	851
"0910102964"	KRW	165000	852
"0910102965"	KRW	198000	853
"0910101253"	KRW	1100	1001
"0910101254"	KRW	3300	1002
"0910101255"	KRW	5500	1003
"0910101256"	KRW	11000	1004
"0910101257"	KRW	22000	1005
"0910101258"	KRW	33000	1006
com.pang.csjm.ios.007	USD	1099	90
com.pang.csjm.ios.008	USD	329	91
com.pang.csjm.ios.001	USD	329	81
com.pang.csjm.ios.002	USD	549	82
com.pang.csjm.ios.003	USD	1099	83
com.pang.csjm.ios.004	USD	3299	84
com.pang.csjm.ios.005	USD	5499	85
com.pang.csjm.ios.006	USD	10999	86
com.pang.csjm.ios.009	USD	219	9
com.pang.csjm.ios.010	USD	549	10
com.pang.csjm.ios.011	USD	1099	11
com.pang.csjm.ios.012	USD	1099	12
com.pang.csjm.ios.013	USD	1539	13
com.pang.csjm.ios.017	USD	109	31
com.pang.csjm.ios.018	USD	219	32
com.pang.csjm.ios.019	USD	329	33
com.pang.csjm.ios.020	USD	439	34
com.pang.csjm.ios.021	USD	549	35
com.pang.csjm.ios.022	USD	989	36
com.pang.csjm.ios.023	USD	1209	37
com.pang.csjm.ios.024	USD	1869	38
com.pang.csjm.ios.025	USD	2089	39
com.pang.csjm.ios.026	USD	3299	40
com.pang.csjm.ios.027	USD	4069	41
com.pang.csjm.ios.028	USD	5499	42
com.pang.csjm.ios.029	USD	7149	43
com.pang.csjm.ios.030	USD	9349	44
com.pang.csjm.ios.031	USD	10999	45
com.pang.csjm.ios.032	USD	109	46
com.pang.csjm.ios.033	USD	219	47
com.pang.csjm.ios.034	USD	329	48
com.pang.csjm.ios.035	USD	439	49
com.pang.csjm.ios.036	USD	109	50
com.pang.csjm.ios.037	USD	219	51
com.pang.csjm.ios.038	USD	329	52
com.pang.csjm.ios.039	USD	439	53
com.pang.csjm.ios.040	USD	549	54
com.pang.csjm.ios.041	USD	659	55
com.pang.csjm.ios.042	USD	769	56
com.pang.csjm.ios.043	USD	879	57
com.pang.csjm.ios.044	USD	989	58
com.pang.csjm.ios.045	USD	1099	59
com.pang.csjm.ios.046	USD	1209	60
com.pang.csjm.ios.047	USD	1319	61
com.pang.csjm.ios.048	USD	1429	62
com.pang.csjm.ios.049	USD	1539	63
com.pang.csjm.ios.050	USD	1649	64
com.pang.csjm.ios.051	USD	1649	65
com.pang.csjm.ios.052	USD	1869	66
com.pang.csjm.ios.053	USD	1979	67
com.pang.csjm.ios.054	USD	2089	68
com.pang.csjm.ios.055	USD	3299	69
com.pang.csjm.ios.056	USD	5499	70
com.pang.csjm.ios.057	USD	7149	71
com.pang.csjm.ios.058	USD	9349	72
com.pang.csjm.ios.059	USD	10999	73
com.pang.csjm.ios.066	USD	659	800
com.pang.csjm.ios.067	USD	219	801
com.pang.csjm.ios.068	USD	109	802
com.pang.csjm.ios.069	USD	219	803
com.pang.csjm.ios.070	USD	329	804
com.pang.csjm.ios.071	USD	439	805
com.pang.csjm.ios.072	USD	549	806
com.pang.csjm.ios.073	USD	659	807
com.pang.csjm.ios.074	USD	769	808
com.pang.csjm.ios.075	USD	879	809
com.pang.csjm.ios.076	USD	989	810
com.pang.csjm.ios.077	USD	1099	811
com.pang.csjm.ios.078	USD	1209	812
com.pang.csjm.ios.079	USD	1319	813
com.pang.csjm.ios.080	USD	1429	814
com.pang.csjm.ios.081	USD	1539	815
com.pang.csjm.ios.082	USD	1649	816
com.pang.csjm.ios.083	USD	1869	817
com.pang.csjm.ios.084	USD	1979	818
com.pang.csjm.ios.085	USD	2089	819
com.pang.csjm.ios.086	USD	3299	820
com.pang.csjm.ios.087	USD	5499	821
com.pang.csjm.ios.088	USD	7149	822
com.pang.csjm.ios.089	USD	9349	823
com.pang.csjm.ios.090	USD	10999	824
com.pang.csjm.ios.094	USD	109	828
com.pang.csjm.ios.095	USD	219	829
com.pang.csjm.ios.096	USD	329	830
com.pang.csjm.ios.097	USD	439	831
com.pang.csjm.ios.098	USD	549	832
com.pang.csjm.ios.099	USD	659	833
com.pang.csjm.ios.100	USD	769	834
com.pang.csjm.ios.101	USD	879	835
com.pang.csjm.ios.102	USD	989	836
com.pang.csjm.ios.103	USD	1099	837
com.pang.csjm.ios.104	USD	1209	838
com.pang.csjm.ios.105	USD	1319	839
com.pang.csjm.ios.106	USD	1429	840
com.pang.csjm.ios.107	USD	1539	841
com.pang.csjm.ios.108	USD	1649	842
com.pang.csjm.ios.109	USD	1869	843
com.pang.csjm.ios.110	USD	1979	844
com.pang.csjm.ios.111	USD	2089	845
com.pang.csjm.ios.112	USD	3299	846
com.pang.csjm.ios.113	USD	5499	847
com.pang.csjm.ios.114	USD	7149	848
com.pang.csjm.ios.115	USD	9349	849
com.pang.csjm.ios.116	USD	10999	850
com.pang.csjm.ios.060	USD	109	1001
com.pang.csjm.ios.061	USD	329	1002
com.pang.csjm.ios.062	USD	549	1003
com.pang.csjm.ios.063	USD	1099	1004
com.pang.csjm.ios.064	USD	2089	1005
com.pang.csjm.ios.065	USD	3299	1006
com.tsq.109	VND	100000	8
com.tsq.110	VND	50000	7
com.tsq.101	VND	20000	1
com.tsq.102	VND	50000	2
com.tsq.103	VND	100000	3
com.tsq.104	VND	200000	4
com.tsq.105	VND	500000	5
com.tsq.106	VND	1000000	6
com.tsq.107	VND	2000000	16
com.tsq.108	VND	5000000	17
com.tsq.111	VND	5000	9
com.tsq.112	VND	10000	10
com.tsq.113	VND	20000	11
com.tsq.114	VND	200000	12
com.tsq.115	VND	300000	13
com.tsq.116	VND	2000	31
com.tsq.117	VND	5000	32
com.tsq.118	VND	10000	33
com.tsq.119	VND	25000	34
com.tsq.120	VND	50000	35
com.tsq.121	VND	80000	36
com.tsq.122	VND	100000	37
com.tsq.123	VND	140000	38
com.tsq.124	VND	160000	39
com.tsq.125	VND	220000	40
com.tsq.126	VND	450000	41
com.tsq.127	VND	650000	42
com.tsq.128	VND	850000	43
com.tsq.129	VND	1100000	44
com.tsq.130	VND	1300000	45
com.tsq.131	VND	5000	46
com.tsq.132	VND	10000	47
com.tsq.133	VND	20000	48
com.tsq.134	VND	50000	49
com.tsq.135	VND	5000	51
com.tsq.136	VND	10000	52
com.tsq.137	VND	15000	53
com.tsq.138	VND	25000	54
com.tsq.139	VND	35000	55
com.tsq.140	VND	50000	56
com.tsq.141	VND	60000	57
com.tsq.142	VND	80000	58
com.tsq.143	VND	90000	59
com.tsq.144	VND	100000	60
com.tsq.145	VND	120000	61
com.tsq.146	VND	140000	62
com.tsq.147	VND	150000	63
com.tsq.148	VND	160000	64
com.tsq.149	VND	300000	65
com.tsq.150	VND	190000	66
com.tsq.151	VND	200000	67
com.tsq.152	VND	220000	68
com.tsq.153	VND	450000	69
com.tsq.154	VND	650000	70
com.tsq.155	VND	850000	71
com.tsq.156	VND	1100000	72
com.tsq.157	VND	1300000	73
com.tsq.158	VND	20000	1001
com.tsq.159	VND	50000	1002
com.tsq.160	VND	100000	1003
com.tsq.161	VND	200000	1004
com.tsq.162	VND	300000	1005
com.tsq.163	VND	500000	1006
com.tsq.164	VND	20000	1101
com.tsq.165	VND	50000	1102
com.tsq.166	VND	100000	1103
com.tsq.167	VND	200000	1104
com.tsq.168	VND	300000	1105
com.tsq.169	VND	500000	1106
csj.nt.yueka150	TWD	150	8
csj.nt.week90	TWD	90	7
csj.nt.90	TWD	90	199
csj.nt.150	TWD	150	1
csj.nt.300	TWD	300	2
csj.nt.490	TWD	490	15
csj.nt.990	TWD	990	3
csj.nt.1490	TWD	1490	4
csj.nt.1990	TWD	1990	5
csj.nt.2990	TWD	2990	6
csj.nt.5990	TWD	5990	18
csj.nt.30.lb	TWD	30	9
csj.nt.90.lb	TWD	90	10
csj.nt.150.lb	TWD	150	11
csj.jjj.300	TWD	300	12
csj.jjj.450	TWD	450	13
csj.gametaiwan.52	TWD	0	14
csj.gametaiwan.53	TWD	0	21
csj.gametaiwan.54	TWD	0	30
csj.gametaiwan.1	TWD	30	31
csj.gametaiwan.55	TWD	50	651
csj.gametaiwan.2	TWD	60	32
csj.gametaiwan.3	TWD	90	33
csj.gametaiwan.4	TWD	120	34
csj.gametaiwan.5	TWD	150	35
csj.gametaiwan.6	TWD	180	36
csj.gametaiwan.56	TWD	200	652
csj.gametaiwan.7	TWD	270	37
csj.gametaiwan.8	TWD	300	38
csj.gametaiwan.9	TWD	390	39
csj.gametaiwan.10	TWD	450	40
csj.gametaiwan.57	TWD	500	653
csj.gametaiwan.58	TWD	1000	654
csj.gametaiwan.11	TWD	1120	41
csj.gametaiwan.12	TWD	1490	42
csj.gametaiwan.59	TWD	2000	655
csj.gametaiwan.13	TWD	2090	43
csj.gametaiwan.14	TWD	2990	44
csj.gametaiwan.15	TWD	3000	45
csj.nt.30.box	TWD	30	46
csj.nt.90.box	TWD	90	47
csj.nt.150.box	TWD	150	48
csj.nt.300.box	TWD	300	49
csj.gametaiwan.16	TWD	30	50
csj.gametaiwan.60	TWD	50	800
csj.gametaiwan.17	TWD	60	51
csj.gametaiwan.18	TWD	90	52
csj.gametaiwan.19	TWD	120	53
csj.gametaiwan.20	TWD	150	54
csj.gametaiwan.21	TWD	180	55
csj.gametaiwan.61	TWD	200	801
csj.gametaiwan.22	TWD	210	56
csj.gametaiwan.23	TWD	240	57
csj.gametaiwan.24	TWD	270	58
csj.gametaiwan.25	TWD	300	59
csj.gametaiwan.26	TWD	330	60
csj.gametaiwan.27	TWD	360	61
csj.gametaiwan.28	TWD	390	62
csj.gametaiwan.62	TWD	400	802
csj.gametaiwan.29	TWD	420	63
csj.gametaiwan.30	TWD	450	64
csj.gametaiwan.31	TWD	450	65
csj.gametaiwan.32	TWD	500	66
csj.gametaiwan.33	TWD	540	67
csj.gametaiwan.34	TWD	570	68
csj.gametaiwan.35	TWD	1150	69
csj.gametaiwan.63	TWD	1190	803
csj.gametaiwan.36	TWD	1490	70
csj.gametaiwan.64	TWD	2000	804
csj.gametaiwan.37	TWD	2090	71
csj.gametaiwan.38	TWD	2990	72
csj.gametaiwan.39	TWD	3000	73
csj.nt.50.apk	TWD	50	100
csj.nt.100.apk	TWD	100	101
csj.nt.150.apk	TWD	150	102
csj.nt.200.apk	TWD	200	103
csj.nt.300.apk	TWD	300	104
csj.nt.350.apk	TWD	350	105
csj.nt.400.apk	TWD	400	106
csj.nt.450.apk	TWD	450	107
csj.nt.500.apk	TWD	500	108
csj.nt.1000.apk	TWD	1000	109
csj.nt.1150.apk	TWD	1150	110
csj.nt.2000.apk	TWD	2000	111
csj.nt.3000.apk	TWD	3000	112
csj.nt.5000.apk	TWD	5000	113
csj.nt.10000.apk	TWD	10000	114
csj.gametaiwan.40	TWD	30	1001
csj.gametaiwan.41	TWD	90	1002
csj.gametaiwan.42	TWD	150	1003
csj.gametaiwan.43	TWD	300	1004
csj.gametaiwan.44	TWD	450	1005
csj.gametaiwan.45	TWD	750	1006
csj.gametaiwan.46	TWD	30	1101
csj.gametaiwan.47	TWD	90	1102
csj.gametaiwan.48	TWD	150	1103
csj.gametaiwan.49	TWD	300	1104
csj.gametaiwan.50	TWD	450	1105
csj.gametaiwan.51	TWD	750	1106
csj.fb.1	TWD	0	1201
csj.fb.2	TWD	0	1202
csj.fb.3	TWD	0	1203
csj.fb.4	TWD	0	1204
csj.fb.5	TWD	0	1205
csj.fb.6	TWD	0	1206
csj.fb.7	TWD	0	1207
csj.fb.8	TWD	0	1208
csj.fb.9	TWD	0	1209
csj.fb.10	TWD	0	1210
csj.fb.11	TWD	0	1211
csj.fb.12	TWD	0	1212
csj.fb.13	TWD	0	1213
csj.fb.14	TWD	0	1214
csj.nt.20000.apk	TWD	20000	115
csj.nt.30000.apk	TWD	30000	116
csj.nt.50000.apk	TWD	50000	117
101271483	THB	139	8
101271484	THB	69	7
101271485	THB	35	1
101271486	THB	179	2
101271487	THB	349	15
101271488	THB	529	3
101271489	THB	1050	4
101271490	THB	1750	5
101271491	THB	3500	6
101271492	THB	35	9
101271493	THB	69	10
101271494	THB	99	11
101271495	THB	349	12
101271496	THB	459	13
101271498	THB	0	14
101271499	THB	0	21
101271500	THB	0	30
101271497	THB	35	31
101271501	THB	69	32
101271502	THB	99	33
101271503	THB	139	34
101271504	THB	179	35
101271505	THB	209	36
101271506	THB	319	37
101271507	THB	389	38
101271508	THB	459	39
101271509	THB	599	40
101271510	THB	1300	41
101271511	THB	1900	42
101271512	THB	2500	43
101271513	THB	3000	44
101271514	THB	35	46
101271515	THB	69	47
101271516	THB	99	48
101271517	THB	139	49
101271518	THB	35	50
101271519	THB	69	51
101271520	THB	99	52
101271521	THB	139	53
101271522	THB	179	54
101271523	THB	209	55
101271524	THB	249	56
101271525	THB	279	57
101271526	THB	319	58
101271527	THB	349	59
101271528	THB	389	60
101271529	THB	419	61
101271530	THB	459	62
101271531	THB	489	63
101271532	THB	529	64
101271533	THB	559	65
101271534	THB	599	66
101271535	THB	629	67
101271536	THB	669	68
101271537	THB	1300	69
101271538	THB	1900	70
101271539	THB	2500	71
101271540	THB	3000	72
101271541	THB	35	1001
101271542	THB	99	1002
101271543	THB	179	1003
101271544	THB	319	1004
101271545	THB	489	1005
101271546	THB	1300	1006
1000000000	THB	10	100
1000000001	THB	20	101
1000000002	THB	30	102
1000000003	THB	60	103
1000000004	THB	90	104
1000000005	THB	100	105
1000000006	THB	150	106
1000000007	THB	200	107
1000000008	THB	300	108
1000000009	THB	500	109
1000000010	THB	1000	110
1000000011	THB	2000	111
1000000012	THB	3000	112
1000000013	THB	5000	113
101231302	USD	399	8
101231303	USD	199	7
101231304	USD	99	1
101231305	USD	499	2
101231306	USD	999	15
101231307	USD	1499	3
101231308	USD	2999	4
101231309	USD	4999	5
101231310	USD	9999	6
101231311	USD	99	9
101231312	USD	199	10
101231313	USD	299	11
101231314	USD	999	12
101231315	USD	1299	13
101231316	USD	0	14
101231317	USD	0	21
101231318	USD	0	30
101231319	USD	99	31
101231320	USD	199	32
101231321	USD	299	33
101231322	USD	399	34
101231323	USD	499	35
101231324	USD	599	36
101231325	USD	899	37
101231326	USD	1099	38
101231327	USD	1299	39
101231328	USD	1699	40
101231329	USD	3699	41
101231330	USD	5499	42
101231331	USD	6999	43
101231332	USD	8499	44
101231334	USD	99	46
101231335	USD	199	47
101231336	USD	299	48
101231337	USD	399	49
101231338	USD	99	50
101231339	USD	199	51
101231340	USD	299	52
101231341	USD	399	53
101231342	USD	499	54
101231343	USD	599	55
101231344	USD	699	56
101231345	USD	799	57
101231346	USD	899	58
101231347	USD	999	59
101231348	USD	1099	60
101231349	USD	1199	61
101231350	USD	1299	62
101231351	USD	1399	63
101231352	USD	1499	64
101231353	USD	1599	65
101231354	USD	1699	66
101231355	USD	1799	67
101231356	USD	1899	68
101231357	USD	3699	69
101231358	USD	5499	70
101231359	USD	6999	71
101231360	USD	8499	72
101231469	USD	99	1001
101231470	USD	299	1002
101231471	USD	499	1003
101231472	USD	899	1004
101231473	USD	1399	1005
101231474	USD	3699	1006
csje.yueka4.99	USD	499	8
csje.week2.99	USD	299	7
csje.2.99	USD	299	199
csje.4.99	USD	499	1
csje.9.99	USD	999	2
csje.15.99	USD	1599	15
csje.32.99	USD	3299	3
csje.49.99	USD	4999	4
csje.64.99	USD	6499	5
csje.99.99	USD	9999	6
csje.149.99	USD	14999	100
csje.199.99	USD	19999	101
csje.249.99	USD	24999	102
csje.0.99.lb	USD	99	9
csje.2.99.lb	USD	299	10
csje.4.99.lb	USD	499	11
csje.7.99.lb	USD	799	251
csje.jjj.9.99	USD	999	12
csje.jjj.14.99	USD	1499	13
csje.game.52	USD	0	14
csje.game.53	USD	0	21
csje.game.54	USD	0	30
csje.game.1	USD	99	31
csje.game.2	USD	199	32
csje.game.3	USD	299	33
csje.game.4	USD	399	34
csje.game.5	USD	499	35
csje.game.6	USD	599	36
csje.game.7	USD	899	37
csje.game.8	USD	999	38
csje.game.9	USD	1299	39
csje.game.10	USD	1499	40
csje.game.11	USD	3699	41
csje.game.12	USD	4999	42
csje.game.13	USD	6999	43
csje.game.14	USD	9999	44
csje.0.99.box	USD	99	46
csje.2.99.box	USD	299	47
csje.4.99.box	USD	499	48
csje.9.99.box	USD	999	49
csje.11.99.box	USD	1199	600
csje.18.99.box	USD	1899	601
csje.game.16	USD	99	50
csje.game.17	USD	199	51
csje.game.18	USD	299	52
csje.game.19	USD	399	53
csje.game.20	USD	499	54
csje.game.21	USD	599	55
csje.game.22	USD	699	56
csje.game.23	USD	799	57
csje.game.24	USD	899	58
csje.game.25	USD	999	59
csje.game.26	USD	1099	60
csje.game.27	USD	1199	61
csje.game.28	USD	1299	62
csje.game.29	USD	1399	63
csje.game.30	USD	1499	64
csje.game.31	USD	1499	65
csje.game.33	USD	1799	67
csje.game.34	USD	1899	68
csje.game.65	USD	2099	805
csje.game.66	USD	2399	806
csje.game.67	USD	2599	807
csje.game.68	USD	2799	808
csje.game.69	USD	2999	809
csje.game.70	USD	3299	810
csje.game.63	USD	3999	803
csje.game.36	USD	4999	70
csje.game.37	USD	6999	71
csje.game.71	USD	8499	811
csje.game.38	USD	9999	72
csje.game.72	USD	99	812
csje.game.73	USD	199	814
csje.game.74	USD	299	815
csje.game.75	USD	399	816
csje.game.76	USD	499	817
csje.game.77	USD	599	818
csje.game.78	USD	699	820
csje.game.79	USD	799	821
csje.game.80	USD	899	822
csje.game.81	USD	999	823
csje.game.82	USD	1099	824
csje.game.83	USD	1199	825
csje.game.84	USD	1299	826
csje.game.85	USD	1399	828
csje.game.86	USD	1499	829
csje.game.87	USD	1799	831
csje.game.88	USD	1899	832
csje.game.89	USD	2099	833
csje.game.90	USD	2399	834
csje.game.91	USD	2599	835
csje.game.92	USD	2799	836
csje.game.93	USD	2999	837
csje.game.94	USD	3299	838
csje.game.95	USD	3999	840
csje.game.96	USD	4999	841
csje.game.97	USD	6999	843
csje.game.98	USD	8499	844
csje.game.99	USD	9999	845
csje.game.40	USD	99	1001
csje.game.41	USD	299	1002
csje.game.42	USD	499	1003
csje.game.43	USD	999	1004
csje.game.44	USD	1499	1005
csje.game.45	USD	2499	1006
csje.game.46	USD	99	1101
csje.game.47	USD	299	1102
csje.game.48	USD	499	1103
csje.game.49	USD	999	1104
csje.game.50	USD	1499	1105
csje.game.51	USD	2499	1106
csje.fb.1	USD	0	1201
csje.fb.2	USD	0	1202
csje.fb.3	USD	0	1203
csje.fb.4	USD	0	1204
csje.fb.5	USD	0	1205
csje.fb.6	USD	0	1206
csje.fb.7	USD	0	1207
csje.fb.8	USD	0	1208
csje.fb.9	USD	0	1209
csje.fb.10	USD	0	1210
csje.fb.11	USD	0	1211
csje.fb.12	USD	0	1212
csje.fb.13	USD	0	1213
csje.fb.14	USD	0	1214
