effect_id（与客户端脚本共用ID规则，但是从50000000以上，8位(1位标示+4位类型+3位流水)，标示：5任务，6地图（NPC包含在地图里），7系统，8运营活动，9其他，4位类型：1是4位任务ID，2是4位地图ID，3是4位系统ID（自定义），4是4位运营活动ID，5没有，就是流水号；事件效果配置表，在事件配置表的ID上+1位流水	effect_second_id（副主键）	valid	"effect_type(触发效果,0无，1更新任务进度(参数1为任务ID，参数2为任务第几个条件，从0开始；参数3为任务增加的进度)，2使一个NPC可以被攻击，3使一个NPC消失（后面参数分别填NPC个体的上下限，只要在上下限范围内的都会消失），4NPC出现（后面参数分别填NPC个体的上下限，只要在上下限范围内的都会出现），5NPC群组消失，6NPC群组出现,7修改一个地图的复活点(参数1X坐标、参数2Z坐标、参数3Y坐标（要乘以10）)，8是给一个目标加一个buff,9触发一个客户端脚本（effect_pram2。0：触发者是角色，给该角色发脚本，触发者是NPC，给NPC周围的人、1:表示给整个地图发脚本、2:表示给这个地图内的同队伍的玩家发脚本），10触发一个广播，11副本进度+1，12让一个npc个体死亡,13给一个地图的队长加BUFF，14封魔塔刷出当前关卡的NPC<NPC AI 需要触发这个事件>，15使同一张地图一类型NPC死亡<参数为type_id>，16迷宫副本修改角色坐标<参数1：X分米，参数2：Y分米>)，17刷新一次道藏任务，18删除NPC身上的buff（参数effect_pram1填buffID），19结束一个地图的副本（暂时只处理的小世界/周陵/天书陵/帮派宝库）；20招出一个黑户（参数1npc_type，参数2持续时间（单位毫秒），参数3坐标X，参数4坐标Y，参数5黑户NPC等级,参数6<对应参数3/4的，代表该坐标是固定坐标0还是偏移坐标1，参数7所属类型（0表示没有所属、1表示属于玩家个人、2表示属于玩家队伍、3表示属于玩家家族、4表示属于玩家阵营、5表示人物及其队伍（如果有的话））>），21给地图所有人员加BUFF（参数1 ：BUFF_ID  参数2 BUFF等级，参数2 BUFF等级，参数3 ： 持续时间），22给某个成就加值  参数1 成就ID 参数2 更新的次数，23给某个地图刷出封妖（地图ID，随机概率类型<0系统，1事件>，刷新最大数量），24给某个地图刷出封妖，系统触发（同上，design_cfg配触发），25触发掉落（参数1掉落ID，参数3广播ID，这种掉落不会弹框），26触发一个学院召集，不限人数，27事件触发新的事件，使用需谨慎，参数1为新事件ID，触发死循环弹JJ,28事件增加完成度（参数1代表增加多少完成度、参数2填2重置完成度），29事件触发整个地图的角色传送(本地图传送)（参数1为x坐标，参数2为z坐标，参数3为y坐标，要乘以10），30触发个人掉落（参数1掉落ID，参数3广播ID，这种掉落拾取后会弹框【effect_pram4。0表示个人掉落、1表示队伍掉落】）），31触发一个好友召集，前4个可相应号召，32给一个任务id，33从任务池中给一个任务，34触发家族神兽的开户的通知
"	effect_pram1（加buff则为buffID，广播ID）	effect_pram2（加buff则为buff等级，广播范围（1地图广播，2世界广播），脚本（0只对触发者触发，1对全地图玩家触发））	effect_pram3（加buff则为buff持续时间）	effect_pram4	effect_pram5	effect_pram6	effect_pram7	effect_pram8	effect_pram9	effect_pram10	trigger_opp（触发几率）
632020032	1	1	6	320104001	0	0	0	0	0	0	0	0	0	10000
632020033	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632020041	1	1	3	320100006	320100006	0	0	0	0	0	0	0	0	10000
632020042	1	1	6	320105001	0	0	0	0	0	0	0	0	0	10000
632020043	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632020051	1	1	6	320106001	0	0	0	0	0	0	0	0	0	10000
632020061	1	1	3	320100005	320100005	0	0	0	0	0	0	0	0	10000
632020062	1	1	6	320107001	0	0	0	0	0	0	0	0	0	10000
632020063	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632020071	1	1	3	320100009	320100009	0	0	0	0	0	0	0	0	10000
632020072	1	1	6	320108001	0	0	0	0	0	0	0	0	0	10000
632020081	1	1	6	320109001	0	0	0	0	0	0	0	0	0	10000
632020082	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632020091	1	1	3	320100010	320100010	0	0	0	0	0	0	0	0	10000
632020092	1	1	6	320110001	0	0	0	0	0	0	0	0	0	10000
632020101	1	1	10	32010001	1	0	0	0	0	0	0	0	0	10000
632020102	1	1	4	320111001	320111001	0	0	0	0	0	0	0	0	10000
632020103	1	1	9	3401	1	0	0	0	0	0	0	0	0	10000
632020104	1	1	19	0	0	0	0	0	0	0	0	0	0	10000
632020111	1	1	3	320100001	320100001	0	0	0	0	0	0	0	0	10000
632020112	1	1	3	320100003	320100003	0	0	0	0	0	0	0	0	10000
632020113	1	1	12	320100002	0	0	0	0	0	0	0	0	0	10000
632020114	1	1	10	32010000	1	0	0	0	0	0	0	0	0	10000
632020115	1	1	13	32023102	1	0	0	0	0	0	0	0	0	10000
632020116	1	1	4	320100008	320100008	0	0	0	0	0	0	0	0	10000
632020117	1	1	10	32020011	1	0	0	0	0	0	0	0	0	10000
632020118	1	1	6	320101001	0	0	0	0	0	0	0	0	0	10000
632010011	1	1	10	32010000	1	0	0	0	0	0	0	0	0	10000
632010012	1	1	13	32023102	1	0	0	0	0	0	0	0	0	10000
632010013	1	1	3	320100014	320100014	0	0	0	0	0	0	0	0	10000
632010014	1	1	3	320100003	320100003	0	0	0	0	0	0	0	0	10000
630200011	1	1	3	320200007	320200007	0	0	0	0	0	0	0	0	10000
630200012	1	1	3	320200004	320200004	0	0	0	0	0	0	0	0	10000
630200013	1	1	8	320203	1	999999999	0	0	0	0	0	0	0	10000
630200014	1	1	3	320200001	320200001	0	0	0	0	0	0	0	0	10000
630200015	1	1	4	320200012	320200012	0	0	0	0	0	0	0	0	10000
630200016	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
630200017	1	1	6	320200013	0	0	0	0	0	0	0	0	0	10000
630200021	1	1	3	320200008	320200008	0	0	0	0	0	0	0	0	10000
630200022	1	1	3	320200002	320200002	0	0	0	0	0	0	0	0	10000
630200023	1	1	8	320201	1	999999999	0	0	0	0	0	0	0	10000
630200024	1	1	3	320200001	320200001	0	0	0	0	0	0	0	0	10000
630200025	1	1	4	320200012	320200012	0	0	0	0	0	0	0	0	10000
630200026	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
630200027	1	1	6	320200013	0	0	0	0	0	0	0	0	0	10000
630200031	1	1	3	320200009	320200009	0	0	0	0	0	0	0	0	10000
630200032	1	1	3	320200003	320200003	0	0	0	0	0	0	0	0	10000
630200033	1	1	8	320202	1	999999999	0	0	0	0	0	0	0	10000
630200034	1	1	3	320200001	320200001	0	0	0	0	0	0	0	0	10000
630200035	1	1	4	320200012	320200012	0	0	0	0	0	0	0	0	10000
630200036	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
630200037	1	1	6	320200013	0	0	0	0	0	0	0	0	0	10000
630200041	1	1	3	320200010	320200010	0	0	0	0	0	0	0	0	10000
630200042	1	1	3	320200005	320200005	0	0	0	0	0	0	0	0	10000
630200043	1	1	8	320204	1	999999999	0	0	0	0	0	0	0	10000
630200044	1	1	3	320200001	320200001	0	0	0	0	0	0	0	0	10000
630200045	1	1	4	320200012	320200012	0	0	0	0	0	0	0	0	10000
630200046	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
630200047	1	1	6	320200013	0	0	0	0	0	0	0	0	0	10000
630200051	1	1	3	320200011	320200011	0	0	0	0	0	0	0	0	10000
630200052	1	1	3	320200006	320200006	0	0	0	0	0	0	0	0	10000
630200053	1	1	8	320205	1	999999999	0	0	0	0	0	0	0	10000
630200054	1	1	3	320200001	320200001	0	0	0	0	0	0	0	0	10000
630200055	1	1	4	320200012	320200012	0	0	0	0	0	0	0	0	10000
630200056	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
630200057	1	1	6	320200013	0	0	0	0	0	0	0	0	0	10000
632030011	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030012	1	1	10	32020002	1	0	0	0	0	0	0	0	0	10000
632030013	1	1	6	320200033	0	0	0	0	0	0	0	0	0	10000
632030021	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030022	1	1	10	32020003	1	0	0	0	0	0	0	0	0	10000
632030023	1	1	6	320200053	0	0	0	0	0	0	0	0	0	10000
632030031	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030032	1	1	10	32020005	1	0	0	0	0	0	0	0	0	10000
632030033	1	1	6	320200073	0	0	0	0	0	0	0	0	0	10000
632030041	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030042	1	1	10	32020006	1	0	0	0	0	0	0	0	0	10000
632030043	1	1	6	320200093	0	0	0	0	0	0	0	0	0	10000
632030051	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030052	1	1	10	32020007	1	0	0	0	0	0	0	0	0	10000
632030053	1	1	6	320200113	0	0	0	0	0	0	0	0	0	10000
632030061	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030062	1	1	10	32020008	1	0	0	0	0	0	0	0	0	10000
632030063	1	1	6	320200133	0	0	0	0	0	0	0	0	0	10000
632030071	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030072	1	1	10	32020009	1	0	0	0	0	0	0	0	0	10000
632030073	1	1	6	320200153	0	0	0	0	0	0	0	0	0	10000
632030081	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
632030082	1	1	10	32020010	1	0	0	0	0	0	0	0	0	10000
632030083	1	1	6	320200173	0	0	0	0	0	0	0	0	0	10000
632030091	1	1	4	320200029	320200029	0	0	0	0	0	0	0	0	10000
632030092	1	1	5	32020001	1	0	0	0	0	0	0	0	0	10000
632030211	1	1	10	32020004	1	0	0	0	0	0	0	0	0	10000
632030212	1	1	19	3202	0	0	0	0	0	0	0	0	0	10000
630300014	1	1	4	320300001	320300001	0	0	0	0	0	0	0	0	10000
630300014	2	1	4	320300002	320300002	0	0	0	0	0	0	0	0	10000
630300014	3	1	4	320300004	320300004	0	0	0	0	0	0	0	0	10000
630300014	4	1	4	320300006	320300006	0	0	0	0	0	0	0	0	10000
630300014	5	1	4	320300007	320300007	0	0	0	0	0	0	0	0	10000
630300014	6	1	4	320300008	320300008	0	0	0	0	0	0	0	0	10000
630300015	1	1	4	320300003	320300003	0	0	0	0	0	0	0	0	10000
630300015	2	1	4	320300005	320300005	0	0	0	0	0	0	0	0	10000
630300015	3	1	4	320300011	320300011	0	0	0	0	0	0	0	0	10000
630300015	4	1	4	320300012	320300012	0	0	0	0	0	0	0	0	10000
630300015	5	1	4	320300013	320300013	0	0	0	0	0	0	0	0	10000
630300015	6	1	4	320301001	320301001	0	0	0	0	0	0	0	0	10000
630300016	1	1	4	320300014	320300014	0	0	0	0	0	0	0	0	10000
630300016	2	1	4	320300015	320300015	0	0	0	0	0	0	0	0	10000
630300016	3	1	4	320300016	320300016	0	0	0	0	0	0	0	0	10000
630300016	4	1	4	320300017	320300017	0	0	0	0	0	0	0	0	10000
630300016	5	1	4	320300018	320300018	0	0	0	0	0	0	0	0	10000
630300016	6	1	4	320301002	320301002	0	0	0	0	0	0	0	0	10000
630300017	1	1	4	320300031	320300031	0	0	0	0	0	0	0	0	10000
630300017	2	1	4	320300032	320300032	0	0	0	0	0	0	0	0	10000
630300017	3	1	4	320300033	320300033	0	0	0	0	0	0	0	0	10000
630300017	4	1	4	320300034	320300034	0	0	0	0	0	0	0	0	10000
630300017	5	1	4	320300035	320300035	0	0	0	0	0	0	0	0	10000
630300017	6	1	4	320301003	320301003	0	0	0	0	0	0	0	0	10000
630300018	1	1	4	320300025	320300025	0	0	0	0	0	0	0	0	10000
630300018	2	1	4	320300026	320300026	0	0	0	0	0	0	0	0	10000
630300018	3	1	4	320300027	320300027	0	0	0	0	0	0	0	0	10000
630300018	4	1	4	320300028	320300028	0	0	0	0	0	0	0	0	10000
630300018	5	1	4	320300029	320300029	0	0	0	0	0	0	0	0	10000
630300018	6	1	4	320300030	320300030	0	0	0	0	0	0	0	0	10000
630300019	1	1	4	320300010	320300010	0	0	0	0	0	0	0	0	10000
630300019	2	1	4	320300020	320300020	0	0	0	0	0	0	0	0	10000
630300019	3	1	4	320300021	320300021	0	0	0	0	0	0	0	0	10000
630300019	4	1	4	320300022	320300022	0	0	0	0	0	0	0	0	10000
630300019	5	1	4	320300023	320300023	0	0	0	0	0	0	0	0	10000
630300019	6	1	4	320300024	320300024	0	0	0	0	0	0	0	0	10000
630300020	1	1	4	320300009	320300009	0	0	0	0	0	0	0	0	10000
630300020	2	1	4	320300036	320300036	0	0	0	0	0	0	0	0	10000
630300020	3	1	4	320300037	320300037	0	0	0	0	0	0	0	0	10000
630300020	4	1	4	320300038	320300038	0	0	0	0	0	0	0	0	10000
630300020	5	1	4	320300039	320300039	0	0	0	0	0	0	0	0	10000
630300020	6	1	4	320300040	320300040	0	0	0	0	0	0	0	0	10000
630300020	7	1	4	320300041	320300041	0	0	0	0	0	0	0	0	10000
630300020	8	1	4	320300042	320300042	0	0	0	0	0	0	0	0	10000
630300020	9	1	4	320300043	320300043	0	0	0	0	0	0	0	0	10000
630300021	1	1	4	320300009	320300009	0	0	0	0	0	0	0	0	10000
630300021	2	1	4	320300036	320300036	0	0	0	0	0	0	0	0	10000
630300021	3	1	4	320300037	320300037	0	0	0	0	0	0	0	0	10000
630300021	4	1	4	320300038	320300038	0	0	0	0	0	0	0	0	10000
630300021	5	1	4	320300039	320300039	0	0	0	0	0	0	0	0	10000
630300021	6	1	4	320300040	320300040	0	0	0	0	0	0	0	0	10000
630300021	7	1	4	320300041	320300041	0	0	0	0	0	0	0	0	10000
630300021	8	1	4	320300042	320300042	0	0	0	0	0	0	0	0	10000
630300021	9	1	4	320300043	320300043	0	0	0	0	0	0	0	0	10000
630300011	1	1	5	320300010	0	0	0	0	0	0	0	0	0	10000
630300012	1	1	5	320300043	0	0	0	0	0	0	0	0	0	10000
630300013	1	1	10	32030001	1	0	0	0	0	0	0	0	0	10000
630300051	1	1	10	32030002	1	0	0	0	0	0	0	0	0	10000
630300052	1	1	19	3203	0	0	0	0	0	0	0	0	0	10000
630300053	1	1	4	320301009	320301009	0	0	0	0	0	0	0	0	10000
630300031	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
630300061	1	1	21	320301	1	999999999	0	0	0	0	0	0	0	10000
630300062	1	1	3	320300044	320300044	0	0	0	0	0	0	0	0	10000
630300063	1	1	10	32030003	1	0	0	0	0	0	0	0	0	10000
630300064	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320200011	1	1	6	320200006	0	0	0	0	0	0	0	0	0	10000
320200021	1	1	6	320200012	0	0	0	0	0	0	0	0	0	10000
320200031	1	1	6	320200019	0	0	0	0	0	0	0	0	0	10000
320200041	1	1	6	320200027	0	0	0	0	0	0	0	0	0	10000
320200051	1	1	6	320200035	0	0	0	0	0	0	0	0	0	10000
320200061	1	1	6	320200041	0	0	0	0	0	0	0	0	0	10000
320200071	1	1	19	0	0	0	0	0	0	0	0	0	0	10000
320200072	1	1	9	3401	1	0	0	0	0	0	0	0	0	10000
320200081	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400001	1	1	3	320400031	320400031	0	0	0	0	0	0	0	0	10000
320400002	1	1	4	320400001	320400005	0	0	0	0	0	0	0	0	10000
320400003	1	1	10	32040001	1	0	0	0	0	0	0	0	0	10000
320400004	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400011	1	1	3	320400001	320400001	0	0	0	0	0	0	0	0	10000
320400012	1	1	8	320302	1	999999999	0	0	0	0	0	0	0	10000
320400013	1	1	6	320400006	1	0	0	0	0	0	0	0	0	10000
320400014	1	1	11	0	1	0	0	0	0	0	0	0	0	10000
320400101	1	1	8	320304	1	999999999	0	0	0	0	0	0	0	10000
320400111	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
320400015	1	1	3	320400002	320400002	0	0	0	0	0	0	0	0	10000
320400016	1	1	8	320303	1	999999999	0	0	0	0	0	0	0	10000
320400017	1	1	6	320400006	1	0	0	0	0	0	0	0	0	10000
320400018	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400102	1	1	8	320305	1	999999999	0	0	0	0	0	0	0	10000
320400112	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
320400019	1	1	3	320400003	320400003	0	0	0	0	0	0	0	0	10000
320400020	1	1	8	320303	1	999999999	0	0	0	0	0	0	0	10000
320400021	1	1	6	320400006	1	0	0	0	0	0	0	0	0	10000
320400022	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400103	1	1	8	320305	1	999999999	0	0	0	0	0	0	0	10000
320400113	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
320400023	1	1	3	320400004	320400004	0	0	0	0	0	0	0	0	10000
320400024	1	1	8	320302	1	999999999	0	0	0	0	0	0	0	10000
320400025	1	1	6	320400006	1	0	0	0	0	0	0	0	0	10000
320400026	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400104	1	1	8	320304	1	999999999	0	0	0	0	0	0	0	10000
320400114	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
320400027	1	1	3	320400005	320400005	0	0	0	0	0	0	0	0	10000
320400028	1	1	8	320303	1	999999999	0	0	0	0	0	0	0	10000
320400029	1	1	6	320400006	1	0	0	0	0	0	0	0	0	10000
320400030	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400105	1	1	8	320305	1	999999999	0	0	0	0	0	0	0	10000
320400115	1	1	18	101201	0	0	0	0	0	0	0	0	0	10000
320400031	1	1	6	320400011	1	0	0	0	0	0	0	0	0	10000
320400032	1	1	10	32040002	1	0	0	0	0	0	0	0	0	10000
320400033	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400034	1	1	6	320400016	1	0	0	0	0	0	0	0	0	10000
320400035	1	1	10	32040003	1	0	0	0	0	0	0	0	0	10000
320400036	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400037	1	1	6	320400021	1	0	0	0	0	0	0	0	0	10000
320400038	1	1	10	32040004	1	0	0	0	0	0	0	0	0	10000
320400039	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400040	1	1	6	320400026	1	0	0	0	0	0	0	0	0	10000
320400041	1	1	10	32040005	1	0	0	0	0	0	0	0	0	10000
320400042	1	1	11	0	0	0	0	0	0	0	0	0	0	10000
320400043	1	1	4	320400032	320400032	0	0	0	0	0	0	0	0	10000
320400045	1	1	10	32040006	1	0	0	0	0	0	0	0	0	10000
320400044	1	1	9	3401	1	0	0	0	0	0	0	0	0	10000
511200011	1	1	1	1120	0	1	0	0	0	0	0	0	0	10000
511190011	1	1	1	1119	0	1	0	0	0	0	0	0	0	10000
500180011	1	1	1	18	0	1	0	0	0	0	0	0	0	10000
510770011	1	1	1	1077	0	1	0	0	0	0	0	0	0	10000
500140011	1	1	9	1401	0	1	0	0	0	0	0	0	0	10000
500140012	1	1	1	14	0	1	0	0	0	0	0	0	0	10000
500210011	1	1	1	21	0	1	0	0	0	0	0	0	0	10000
500250011	1	1	1	25	0	1	0	0	0	0	0	0	0	10000
500880011	1	1	1	1221	0	1	0	0	0	0	0	0	0	10000
500880021	1	1	20	7101234	0	0	0	41	1	2	0	0	0	10000
500880022	1	1	1	88	0	1	0	0	0	0	0	0	0	10000
500880023	1	1	3	710000360	710000360	0	0	0	0	0	0	0	0	10000
500880033	1	1	3	710000361	710000361	0	0	0	0	0	0	0	0	10000
500880043	1	1	3	710000362	710000362	0	0	0	0	0	0	0	0	10000
500880053	1	1	3	710100360	710100360	0	0	0	0	0	0	0	0	10000
500880063	1	1	3	710100361	710100361	0	0	0	0	0	0	0	0	10000
500880073	1	1	3	710100362	710100362	0	0	0	0	0	0	0	0	10000
550000011	1	1	1	5001	0	1	0	0	0	0	0	0	0	10000
550010011	1	1	1	5002	0	1	0	0	0	0	0	0	0	10000
550010012	1	1	1	5115	0	1	0	0	0	0	0	0	0	10000
550010013	1	1	1	5132	0	1	0	0	0	0	0	0	0	10000
550010014	1	1	9	4903	0	1	0	0	0	0	0	0	0	10000
511130011	1	0	1	1113	0	1	0	0	0	0	0	0	0	10000
511120011	1	0	1	1112	0	1	0	0	0	0	0	0	0	10000
550040011	1	1	1	5004	0	1	0	0	0	0	0	0	0	10000
550110011	1	1	1	5011	0	1	0	0	0	0	0	0	0	10000
550110012	1	1	9	501101	0	1	0	0	0	0	0	0	0	10000
550510011	1	1	1	5052	0	1	0	0	0	0	0	0	0	10000
550510012	1	1	1	4032	0	1	0	0	0	0	0	0	0	10000
550510013	1	1	0	0	0	0	0	0	0	0	0	0	0	10000
550510014	1	1	4	710000513	710000513	0	0	0	0	0	0	0	0	300
550510014	2	1	4	710000514	710000514	0	0	0	0	0	0	0	0	300
550510014	3	1	4	710000515	710000515	0	0	0	0	0	0	0	0	300
550510014	4	1	4	710000516	710000516	0	0	0	0	0	0	0	0	300
550510014	5	1	4	710000517	710000517	0	0	0	0	0	0	0	0	300
550510014	6	1	4	710000518	710000518	0	0	0	0	0	0	0	0	300
550510014	7	1	4	710000519	710000519	0	0	0	0	0	0	0	0	300
550510014	8	1	4	710000520	710000520	0	0	0	0	0	0	0	0	300
550510014	9	1	4	710000521	710000521	0	0	0	0	0	0	0	0	300
550510014	10	1	4	710000522	710000522	0	0	0	0	0	0	0	0	300
550510014	11	1	0	0	0	0	0	0	0	0	0	0	0	7000
550510024	1	1	4	710000523	710000523	0	0	0	0	0	0	0	0	300
550510024	2	1	4	710000524	710000524	0	0	0	0	0	0	0	0	300
550510024	3	1	4	710000525	710000525	0	0	0	0	0	0	0	0	300
550510024	4	1	4	710000526	710000526	0	0	0	0	0	0	0	0	300
550510024	5	1	4	710000527	710000527	0	0	0	0	0	0	0	0	300
550510024	6	1	4	710000528	710000528	0	0	0	0	0	0	0	0	300
550510024	7	1	4	710000529	710000529	0	0	0	0	0	0	0	0	300
550510024	8	1	4	710000530	710000530	0	0	0	0	0	0	0	0	300
