系统邮件主键	有效标志位	系统署名（不能超过20个汉字）	邮件标题（不能超过20个汉字）	邮件内容(通配符最多支持7个)换行：<Enter>（不能超过1000个汉字）	附加金钱	附加铜币	附加贡献	附加元宝	附加绑定元宝	附加师德	附加其他货币	附加其他货币	附加道具ID类型（绑定与否）	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量
13	1	"|C|系统|T|長生訣"	"|C|武试周榜第11~20名|T|武試周榜第11~20名"	"|C|恭喜仙友您获得武试周榜第11~20名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第11~20名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000005	1	0	0	0	0	0	0	0	0	0
14	1	"|C|系统|T|長生訣"	"|C|武试周榜第21~50名|T|武試周榜第21~50名"	"|C|恭喜仙友您获得武试周榜第21~50名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第21~50名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000006	1	0	0	0	0	0	0	0	0	0
15	1	"|C|系统|T|長生訣"	"|C|武试周榜第51~100名|T|武試周榜第51~100名"	"|C|恭喜仙友您获得武试周榜第51~100名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第51~100名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000007	1	0	0	0	0	0	0	0	0	0
16	1	"|C|系统|T|長生訣"	"|C|武试周榜第101~200名|T|武試周榜第101~200名"	"|C|恭喜仙友您获得武试周榜第101~200名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第101~200名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000008	1	0	0	0	0	0	0	0	0	0
17	1	"|C|系统|T|長生訣"	"|C|武试周榜第201~400名|T|武試周榜第201~400名"	"|C|恭喜仙友您获得武试周榜第201~400名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第201~400名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000009	1	0	0	0	0	0	0	0	0	0
18	1	"|C|系统|T|長生訣"	"|C|武试周榜第401~800名|T|武試周榜第401~800名"	"|C|恭喜仙友您获得武试周榜第401~800名<Enter>特此奉上大礼一份！|T|恭喜仙友您獲得武試周榜第401~800名<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	322000010	1	0	0	0	0	0	0	0	0	0
19	1	"|C|系统|T|長生訣"	"|C|脱单福利|T|脫單福利"	"|C|恭喜上仙大人在活动期间寻得佳偶，并成功结为神仙美眷<Enter>长生仙界为上仙准备了新婚大礼！<Enter>愿有情人执手长生~|T|恭喜上仙大人在活動期間尋得佳偶，並成功結為神仙美眷<Enter>長生仙界為上仙準備了新婚大禮！<Enter>願有情人執手長生~"	0	0	0	0	200	0	0	0	1	403300000	520	0	0	0	0	0	0	0	0	0
20	1	"|C|系统|T|長生訣"	"|C|脱单福利|T|脫單福利"	"|C|恭喜上仙大人与仙侣在活动期间完成了夫妻副本，上仙的浓情蜜意打动长生仙界！<Enter>故特此准备了仙侣奖励~<Enter>愿上仙夫妇永世同心！|T|恭喜上仙大人與仙侶在活動期間完成了夫妻副本，上仙的濃情蜜意打動長生仙界！<Enter>故特此準備了仙侶獎勵~<Enter>願上仙夫婦永世同心！"	0	0	0	0	50	0	0	0	1	403300000	50	0	0	0	0	0	0	0	0	0
21	1	"|C|系统|T|長生訣"	"|C|回归福利|T|回歸福利"	"|C|上仙大人，许久不见，仙缘不灭<Enter>众仙特此为您送上大礼一份！|T|上仙大人，許久不見，仙緣不滅<Enter>眾仙特此為您送上大禮一份！"	0	0	0	0	0	0	0	0	1	321150108	1	0	0	0	0	0	0	0	0	0
22	1	"|C|系统|T|長生訣"	"|C|回归福利|T|回歸福利"	"|C|上仙大人，许久不见，仙缘不灭<Enter>众仙特此为您送上大礼一份！|T|上仙大人，許久不見，仙緣不滅<Enter>眾仙特此為您送上大禮一份！"	0	0	0	0	0	0	0	0	1	321150109	1	0	0	0	0	0	0	0	0	0
23	1	"|C|系统|T|長生訣"	"|C|回归福利|T|回歸福利"	"|C|上仙大人，许久不见，仙缘不灭<Enter>众仙特此为您送上大礼一份！|T|上仙大人，許久不見，仙緣不滅<Enter>眾仙特此為您送上大禮一份！"	0	0	0	0	0	0	0	0	1	321150110	1	0	0	0	0	0	0	0	0	0
24	1	"|C|系统|T|長生訣"	"|C|每日登陆|T|每日登陸"	"|C|活动期间内登陆游戏<Enter>众仙特此送上小礼一份！|T|活動期間內登陸遊戲<Enter>眾仙特此送上小禮一份！"	0	0	0	0	0	0	0	0	1	321150064	1	0	0	0	0	0	0	0	0	0
25	1	"|C|系统|T|長生訣"	"|C|每日充值|T|每日儲值"	"|C|完成每日充值<Enter>众仙特此送上小礼一份！|T|完成每日儲值<Enter>眾仙特此送上小禮一份！"	0	0	0	0	0	0	0	0	1	321150066	1	0	0	0	0	0	0	0	0	0
26	1	"|C|系统|T|長生訣"	"|C|七日登陆|T|七日登陸"	"|C|完成七日登陆目标<Enter>众仙特此送上小礼一份！|T|完成七日登陸目標<Enter>眾仙特此送上小禮一份！"	0	0	0	0	0	0	0	0	1	321150098	1	0	0	0	0	0	0	0	0	0
27	1	"|C|系统|T|長生訣"	"|C|应用宝专属|T|應用寶專屬"	"|C|应用宝玩家，完成指定成就后获得的附件奖励。|T|應用寶玩家，完成指定成就後獲得的附件獎勵。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1	"|C|系统|T|長生訣"	"|C|系统警告|T|系統警告"	"|C|尊敬的上仙，您被系统检测到存在“使用非法软件”行为，故以此警告，连续3次以上被检测到此种行为，则会予以封停帐号处理！净化游戏环境，从我做起！|T|尊敬的上仙，您被系統檢測到存在“使用非法軟體”行為，故以此警告，連續3次以上被檢測到此種行為，則會予以封停帳號處理！淨化遊戲環境，從我做起！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	"|C|系统|T|長生訣"	"|C|系统警告|T|系統警告"	"|C|尊敬的上仙，您被系统检测到连续存在2次“使用非法软件”行为，故以此警告，连续3次以上被检测到此种行为，则会予以封停帐号24小时处理！净化游戏环境，从我做起！|T|尊敬的上仙，您被系統檢測到連續存在2次“使用非法軟體”行為，故以此警告，連續3次以上被檢測到此種行為，則會予以封停帳號24小時處理！淨化遊戲環境，從我做起！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	"|C|系统|T|長生訣"	"|C|系统警告|T|系統警告"	"|C|尊敬的上仙，您被系统检测到连续存在3次“使用非法软件”行为，故予以封停帐号24小时惩罚！净化游戏环境，从我做起！|T|尊敬的上仙，您被系統檢測到連續存在3次“使用非法軟體”行為，故予以封停帳號24小時懲罰！淨化遊戲環境，從我做起！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|血战八荒，天下无双，您在试炼之地勇夺第一名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|血戰八荒，天下無雙，您在試練之地勇奪第一名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321206601	1	0	0	0	0	0	0	0	0	0
32	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地勇夺第二名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在試練之地勇奪第二名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321206602	1	0	0	0	0	0	0	0	0	0
33	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地勇夺第三名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在試練之地勇奪第三名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321206603	1	0	0	0	0	0	0	0	0	0
34	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地勇夺前五名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在試練之地勇奪前五名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321206604	1	0	0	0	0	0	0	0	0	0
35	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地勇夺前十名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在試練之地勇奪前十名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321206605	1	0	0	0	0	0	0	0	0	0
36	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地获得前十五的排名，现特送上一份奖励！|T|您在試練之地獲得前十五的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321206606	1	0	0	0	0	0	0	0	0	0
37	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地获得前二十的排名，现特送上一份奖励！|T|您在試練之地獲得前二十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321206607	1	0	0	0	0	0	0	0	0	0
38	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地获得前三十的排名，现特送上一份奖励！|T|您在試練之地獲得前三十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321206608	1	0	0	0	0	0	0	0	0	0
39	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地获得前四十的排名，现特送上一份奖励！|T|您在試練之地獲得前四十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321206609	1	0	0	0	0	0	0	0	0	0
40	1	"|C|系统|T|長生訣"	"|C|试炼之地|T|試練之地"	"|C|您在试炼之地近乎落地成晶，现特送上一份奖励，再接再厉！|T|您在試練之地近乎落地成晶，現特送上一份獎勵，再接再厲！"	0	0	0	0	0	0	0	0	1	321206610	1	0	0	0	0	0	0	0	0	0
41	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|血战八荒，天下无双，您在跨服试炼之地勇夺第一名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|血戰八荒，天下無雙，您在跨服試練之地勇奪第一名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210101	1	0	0	0	0	0	0	0	0	0
42	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地勇夺第二名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在跨服試練之地勇奪第二名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210102	1	0	0	0	0	0	0	0	0	0
43	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地勇夺第三名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在跨服試練之地勇奪第三名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210103	1	0	0	0	0	0	0	0	0	0
44	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地勇夺前五名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在跨服試練之地勇奪前五名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210104	1	0	0	0	0	0	0	0	0	0
45	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地勇夺前十名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|您在跨服試練之地勇奪前十名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210105	1	0	0	0	0	0	0	0	0	0
46	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地获得前十五的排名，现特送上一份奖励！|T|您在跨服試練之地獲得前十五的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210106	1	0	0	0	0	0	0	0	0	0
47	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地获得前二十的排名，现特送上一份奖励！|T|您在跨服試練之地獲得前二十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210107	1	0	0	0	0	0	0	0	0	0
48	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地获得前三十的排名，现特送上一份奖励！|T|您在跨服試練之地獲得前三十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210108	1	0	0	0	0	0	0	0	0	0
49	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地获得前四十的排名，现特送上一份奖励！|T|您在跨服試練之地獲得前四十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210109	1	0	0	0	0	0	0	0	0	0
50	1	"|C|跨服系统|T|跨服系统"	"|C|跨服试炼之地|T|跨服試練之地"	"|C|您在跨服试炼之地近乎落地成晶，现特送上一份奖励，再接再厉！|T|您在跨服試練之地近乎落地成晶，現特送上一份獎勵，再接再厲！"	0	0	0	0	0	0	0	0	1	321210110	1	0	0	0	0	0	0	0	0	0
51	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|血战八荒，天下无双，你的战队在跨服仙侣试炼中勇夺第一名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|血戰八荒，天下無雙，你的戰隊在跨服仙侶試煉中勇奪第一名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210201	1	0	0	0	0	0	0	0	0	0
52	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中勇夺第二名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|你的戰隊在跨服仙侶試煉中勇奪第二名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210202	1	0	0	0	0	0	0	0	0	0
53	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中勇夺第三名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|你的戰隊在跨服仙侶試煉中勇奪第三名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210203	1	0	0	0	0	0	0	0	0	0
54	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中勇夺前五名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|你的戰隊在跨服仙侶試煉中勇奪前五名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210204	1	0	0	0	0	0	0	0	0	0
55	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中勇夺前十名，声名威震天下，现特送上一份奖励，以配此荣耀！|T|你的戰隊在跨服仙侶試煉中勇奪前十名，聲名威震天下，現特送上一份獎勵，以配此榮耀！"	0	0	0	0	0	0	0	0	1	321210205	1	0	0	0	0	0	0	0	0	0
56	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中获得前十五的排名，现特送上一份奖励！|T|你的戰隊在跨服仙侶試煉中獲得前十五的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210206	1	0	0	0	0	0	0	0	0	0
57	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中获得前二十的排名，现特送上一份奖励！|T|你的戰隊在跨服仙侶試煉中獲得前二十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210207	1	0	0	0	0	0	0	0	0	0
58	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中获得前三十的排名，现特送上一份奖励！|T|你的戰隊在跨服仙侶試煉中獲得前三十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210208	1	0	0	0	0	0	0	0	0	0
59	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中获得前四十的排名，现特送上一份奖励！|T|你的戰隊在跨服仙侶試煉中獲得前四十的排名，現特送上一份獎勵！"	0	0	0	0	0	0	0	0	1	321210209	1	0	0	0	0	0	0	0	0	0
60	1	"|C|系统|T|長生訣"	"|C|跨服仙侣试炼|T|跨服仙侶試煉"	"|C|你的战队在跨服仙侣试炼中近乎落地成晶，现特送上一份奖励，再接再厉！|T|你的戰隊在跨服仙侶試煉中近乎落地成晶，現特送上一份獎勵，再接再厲！"	0	0	0	0	0	0	0	0	1	321210210	1	0	0	0	0	0	0	0	0	0
101	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜你们，成功闯进了地榜，下次参赛可获得地级档次的奖励！|T|恭喜你們，成功闖進了地榜，下次參賽可獲得地級檔次的獎勵！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜你们，成功闯进了天榜，下次参赛可获得天级档次的奖励！|T|恭喜你們，成功闖進了天榜，下次參賽可獲得天級檔次的獎勵！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|很遗憾，你们战队跌到了地榜，下次参赛可获得地级档次奖励|T|很遺憾，你們戰隊跌到了地榜，下次參賽可獲得地級檔次獎勵"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|很遗憾，你们战队跌到了人榜，下次参赛可获得人级档次奖励|T|很遺憾，你們戰隊跌到了人榜，下次參賽可獲得人級檔次獎勵"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|你们的临时仙侣战队被解散了，在仙侣竞技场中的排名将清除。需要重新组建战队，才可参与下一轮仙侣竞技场。<Enter>临时仙侣战队不参与<color=#00ab37>排名奖励</color>统计，需要正式的夫妻仙侣战队才有机会获得<color=#00ab37>排名奖励</color>。<Enter>如果你有<color=#00ab37>参与、胜场、3连胜、6连胜奖励</color>还未领取，请在附件中领取！|T|你們的臨時仙侶戰隊被解散了，在仙侶競技場中的排名將清除。需要重新組建戰隊，才可參與下一輪仙侶競技場。<Enter>臨時仙侶戰隊不參與<color=#00ab37>排名獎勵</color>統計，需要正式的夫妻仙侶戰隊才有機會獲得<color=#00ab37>排名獎勵</color>。<Enter>如果你有<color=#00ab37>參與、勝場、3連勝、6連勝獎勵</color>還未領取，請在附件中領取！"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|<color=#7e00ff>[%s]</color>主动解散了仙侣战队，你们的战队在仙侣竞技场中的排名将清除。需要重组战队才可参与下一轮仙侣竞技场。|T|<color=#7e00ff>[%s]</color>主動解散了仙侶戰隊，你們的戰隊在仙侶競技場中的排名將清除。需要重組戰隊才可參與下一輪仙侶競技場。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#ff7e00>仙侣竞技场·天榜</color>中获得当日积分冠军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#ff7e00>仙侶競技場·天榜</color>中獲得當日積分冠軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700001	1	0	0	0	0	0	0	0	0	0
108	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#ff7e00>仙侣竞技场·天榜</color>中获得当日积分亚军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#ff7e00>仙侶競技場·天榜</color>中獲得當日積分亞軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700002	1	0	0	0	0	0	0	0	0	0
109	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#ff7e00>仙侣竞技场·天榜</color>中获得当日积分季军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#ff7e00>仙侶競技場·天榜</color>中獲得當日積分季軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700003	1	0	0	0	0	0	0	0	0	0
110	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#7e00ff>仙侣竞技场·地榜</color>中获得当日积分冠军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#7e00ff>仙侶競技場·地榜</color>中獲得當日積分冠軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700101	1	0	0	0	0	0	0	0	0	0
111	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#7e00ff>仙侣竞技场·地榜</color>中获得当日积分亚军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#7e00ff>仙侶競技場·地榜</color>中獲得當日積分亞軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700102	1	0	0	0	0	0	0	0	0	0
112	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#7e00ff>仙侣竞技场·地榜</color>中获得当日积分季军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#7e00ff>仙侶競技場·地榜</color>中獲得當日積分季軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700103	1	0	0	0	0	0	0	0	0	0
113	1	"|C|天缘将军|T|天缘将军"	"|C|仙侣竞技场|T|仙侶競技場"	"|C|恭喜仙友您在<color=#3a69ff>仙侣竞技场·人榜</color>中获得当日积分冠军！<Enter>特此奉上大礼一份！|T|恭喜仙友您在<color=#3a69ff>仙侶競技場·人榜</color>中獲得當日積分冠軍！<Enter>特此奉上大禮一份！"	0	0	0	0	0	0	0	0	1	323700201	1	0	0	0	0	0	0	0	0	0
