注魂主ID	副ID，1注魂，2成神	valid	需要品质	状态限制（char_state_limit）	新装备ID	合成消耗ID	解封描述	模型路径	模型名字	模型路径	模型名字	视角距离（模型缩放的倒数）	解封脚本	虚拟魂装TIPS_ID	外观描述	外观数组1	外观数组2	外观数组3	外观数组4	外观数组5	已合成的检测成就
1100150	1	1	4	55001000	1101150	50650	强化全身10件装备到+30	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101150	暂无	0	0	0	0	0	2031
11100150	1	1	4	55011000	11101150	50651	秘法激活灵师大圆满	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	11101150	暂无	0	0	0	0	0	2032
31100150	1	1	4	55031000	31101150	50653	任意灵宠培养到4星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101150	暂无	0	0	0	0	0	2034
21100150	1	1	4	55021000	21101150	50652	佩戴1张紫色魂卡牌	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(5,nil)	21101150	暂无	0	0	0	0	0	2033
81100150	1	1	4	55081000	81101150	50658	镶嵌5个5级宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101150	暂无	0	0	0	0	0	2039
71100150	1	1	4	55071000	71101150	50657	4件四阶以上装备双完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	RolePanel.CMD_ShowSubPanelByIndex(3,part,subIndex)	71101150	暂无	0	0	0	0	0	2038
41100150	1	1	4	55041000	41101150	50654	佩戴任意3张紫卡升到4星	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	CMD_OpenCardPanel(3,nil)	41101150	暂无	0	0	0	0	0	2035
91100150	1	1	4	55091000	91101150	50659	2个紫色法器5级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101150	暂无	0	0	0	0	0	2040
51100150	1	1	4	55051000	51101150	50655	五阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101150	暂无	0	0	0	0	0	2036
61100150	1	1	4	55061000	61101150	50656	五阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101150	暂无	0	0	0	0	0	2037
1100160	1	1	4	56001000	1101160	50660	强化8件以上装备到+40	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101160	暂无	0	0	0	0	0	2041
11100160	1	1	4	56011000	11101160	50661	秘法激活真人大圆满	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	11101160	暂无	0	0	0	0	0	2042
31100160	1	1	4	56031000	31101160	50663	任意灵宠培养到6星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101160	暂无	0	0	0	0	0	2044
21100160	1	1	4	56021000	21101160	50662	重铸佩戴5张橙卡到完美	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(2,nil)	21101160	暂无	0	0	0	0	0	2043
81100160	1	1	4	56081000	81101160	50668	镶嵌10个4级上古宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101160	暂无	0	0	0	0	0	2049
71100160	1	1	4	56071000	71101160	50667	6层秘法修炼到完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	71101160	暂无	0	0	0	0	0	2048
41100160	1	1	4	56041000	41101160	50664	获得2只SS级灵宠	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	LogicScriptManager.TriggerScript(4104201)	41101160	暂无	0	0	0	0	0	2045
91100160	1	1	4	56091000	91101160	50669	合成1个橙色魂法器	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101160	暂无	0	0	0	0	0	2050
51100160	1	1	4	56051000	51101160	50665	六阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101160	暂无	0	0	0	0	0	2046
61100160	1	1	4	56061000	61101160	50666	六阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101160	暂无	0	0	0	0	0	2047
1100170	1	1	4	57001000	1101170	50670	强化全身10件装备到+50	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101170	暂无	0	0	0	0	0	2051
11100170	1	1	4	57011000	11101170	50671	秘法激活散仙大圆满	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	11101170	暂无	0	0	0	0	0	2052
31100170	1	1	4	57031000	31101170	50673	任意灵宠培养到7星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101170	暂无	0	0	0	0	0	2054
21100170	1	1	4	57021000	21101170	50672	佩戴2张橙色魂卡牌	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(5,nil)	21101170	暂无	0	0	0	0	0	2053
81100170	1	1	4	57081000	81101170	50678	镶嵌5个6级上古宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101170	暂无	0	0	0	0	0	2059
71100170	1	1	4	57071000	71101170	50677	4件六阶以上装备双完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	RolePanel.CMD_ShowSubPanelByIndex(3,part,subIndex)	71101170	暂无	0	0	0	0	0	2058
41100170	1	1	4	57041000	41101170	50674	佩戴任意5张橙卡升到6星	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	CMD_OpenCardPanel(3,nil)	41101170	暂无	0	0	0	0	0	2055
91100170	1	1	4	57091000	91101170	50679	2个橙色法器升到10级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101170	暂无	0	0	0	0	0	2060
51100170	1	1	4	57051000	51101170	50675	七阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101170	暂无	0	0	0	0	0	2056
61100170	1	1	4	57061000	61101170	50676	七阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101170	暂无	0	0	0	0	0	2057
1100180	1	1	4	58001000	1101180	50680	强化全身10件装备到+60	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101180	暂无	0	0	0	0	0	2061
11100180	1	1	4	58011000	11101180	50681	秘法激活真仙大圆满	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	11101180	暂无	0	0	0	0	0	2062
31100180	1	1	4	58031000	31101180	50683	任意灵宠培养到8星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101180	暂无	0	0	0	0	0	2064
21100180	1	1	4	58021000	21101180	50682	重铸任意6张红卡到完美	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(2,nil)	21101180	暂无	0	0	0	0	0	2063
81100180	1	1	4	58081000	81101180	50688	镶嵌10个4级神赐宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101180	暂无	0	0	0	0	0	2069
71100180	1	1	4	58071000	71101180	50687	18层秘法修炼到完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	71101180	暂无	0	0	0	0	0	2068
41100180	1	1	4	58041000	41101180	50684	佩戴任意3张红卡升到4星	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	CMD_OpenCardPanel(3,nil)	41101180	暂无	0	0	0	0	0	2065
91100180	1	1	4	58091000	91101180	50689	2个红色法器升到5级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101180	暂无	0	0	0	0	0	2070
51100180	1	1	4	58051000	51101180	50685	八阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101180	暂无	0	0	0	0	0	2066
61100180	1	1	4	58061000	61101180	50686	八阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101180	暂无	0	0	0	0	0	2067
1100190	1	1	4	59001000	1101190	50690	强化全身10件装备到+70	base_effect	HZ_jianke_wuqi	base_effect	HZ_jianke_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	1101190	暂无	0	0	0	0	0	2091
11100190	1	1	4	59011000	11101190	50691	秘法激活上仙大圆满	base_effect	jianke_yifu	base_effect	jianke_yifu_nv	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	11101190	暂无	0	0	0	0	0	2092
31100190	1	1	4	59031000	31101190	50693	任意灵宠培养到9星	base_effect	jianke_kuzi	base_effect	jianke_kuzi_nv	1	LogicScriptManager.TriggerScript(4104201)	31101190	暂无	0	0	0	0	0	2094
21100190	1	1	4	59021000	21101190	50692	佩戴3张红色魂卡牌	base_effect	jianke_yaodai 	base_effect	jianke_yaodai_nv 	1	CMD_OpenCardPanel(5,nil)	21101190	暂无	0	0	0	0	0	2093
81100190	1	1	4	59081000	81101190	50698	镶嵌10个5级神赐宝石	base_effect	daoke_maozi	base_effect	daoke_maozi	1	RolePanel.CMD_ShowSubPanelByIndex(4,part,subIndex)	81101190	暂无	0	0	0	0	0	2099
71100190	1	1	4	59071000	71101190	50697	24层秘法修炼到完美	base_effect	daoke_hujian	base_effect	daoke_hujian	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(3)	71101190	暂无	0	0	0	0	0	2098
41100190	1	1	4	59041000	41101190	50694	佩戴任意5张红卡升到6星	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	CMD_OpenCardPanel(3,nil)	41101190	暂无	0	0	0	0	0	2095
91100190	1	1	4	59091000	91101190	50699	1个红色魂法器升到10级	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	91101190	暂无	0	0	0	0	0	2100
51100190	1	1	4	59051000	51101190	50695	九阶项链图纸（帮派商店有售）	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	OpenPanel(\"SchoolShop\")	51101190	暂无	0	0	0	0	0	2096
61100190	1	1	4	59061000	61101190	50696	九阶戒指图纸（帮派商店有售）	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	OpenPanel(\"SchoolShop\")	61101190	暂无	0	0	0	0	0	2097
2100110	1	1	4	51000000	2101110	0	至少三阶以上装备才能合成魂装	base_effect	HZ_luoli_wuqi	base_effect	HZ_luoli_wuqi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2001
12100110	1	1	4	51000000	12101110	0	至少三阶以上装备才能合成魂装	base_effect	luoli_yifu_ZT	base_effect	luoli_yifu	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2002
32100110	1	1	4	51000000	32101110	0	至少三阶以上装备才能合成魂装	base_effect	luoli_kuzi_ZT	base_effect	luoli_kuzi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2004
22100110	1	1	4	51000000	22101110	0	至少三阶以上装备才能合成魂装	base_effect	luoli_yaodai_ZT	base_effect	luoli_yaodai	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2003
82100110	1	1	4	51000000	82101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_maozi	base_effect	daoke_maozi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2009
72100110	1	1	4	51000000	72101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_hujian	base_effect	daoke_hujian	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2008
42100110	1	1	4	51000000	42101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2005
92100110	1	1	4	51000000	92101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2010
52100110	1	1	4	51000000	52101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2006
62100110	1	1	4	51000000	62101110	0	至少三阶以上装备才能合成魂装	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2007
2100120	1	1	4	51000000	2101120	0	至少三阶以上装备才能合成魂装	base_effect	HZ_luoli_wuqi	base_effect	HZ_luoli_wuqi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2001
12100120	1	1	4	51000000	12101120	0	至少三阶以上装备才能合成魂装	base_effect	luoli_yifu_ZT	base_effect	luoli_yifu	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2002
32100120	1	1	4	51000000	32101120	0	至少三阶以上装备才能合成魂装	base_effect	luoli_kuzi_ZT	base_effect	luoli_kuzi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2004
22100120	1	1	4	51000000	22101120	0	至少三阶以上装备才能合成魂装	base_effect	luoli_yaodai_ZT	base_effect	luoli_yaodai	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2003
82100120	1	1	4	51000000	82101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_maozi	base_effect	daoke_maozi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2009
72100120	1	1	4	51000000	72101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_hujian	base_effect	daoke_hujian	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2008
42100120	1	1	4	51000000	42101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_shoutao	base_effect	daoke_shoutao	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2005
92100120	1	1	4	51000000	92101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xiezi	base_effect	daoke_xiezi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2010
52100120	1	1	4	51000000	52101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_xianglian 	base_effect	daoke_xianglian 	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2006
62100120	1	1	4	51000000	62101120	0	至少三阶以上装备才能合成魂装	base_effect	daoke_jiezhi	base_effect	daoke_jiezhi	1	PromptPanel.ShowErrorCodeStr(\"三阶以上的稀有装备才能合成魂装\")	0	暂无	0	0	0	0	0	2007
2100130	1	1	4	53001000	2101130	50630	强化全身10件装备到+10	base_effect	HZ_luoli_wuqi	base_effect	HZ_luoli_wuqi	1	RolePanel.CMD_ShowSubPanelByIndex(2,part,subIndex)	2101130	暂无	0	0	0	0	0	2011
12100130	1	1	4	53011000	12101130	50631	2个招式15级	base_effect	luoli_yifu_ZT	base_effect	luoli_yifu	1	MartialArtsPanel.CMD_ShowSubPanelByIndex(index,nil)	12101130	暂无	0	0	0	0	0	2012
32100130	1	1	4	53031000	32101130	50633	任意灵宠培养到2星	base_effect	luoli_kuzi_ZT	base_effect	luoli_kuzi	1	LogicScriptManager.TriggerScript(4104201)	32101130	暂无	0	0	0	0	0	2014
