境界ID	有效标志位	境界等级	境界名字	升级所需灵元(灵宠的灵元，满了才能突破)	升级属性ID（职业）(对应role_fight_attr的表，与境界等级共同起作用)	洗点攻击上限	单次攻击基数	洗点防御上限	单次防御基数	洗点生命上限	单次生命基数	洗点攻击战力值	洗点防御战力值	洗点生命战力值	档次	阶段对应星级
100001	1	67	金丹初境7阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	68	金丹初境8阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	69	金丹初境9阶	40000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	70	金丹初境10阶	70000	900001	4496	82	2248	41	73588	1497	2364	2364	2364	1	2
100001	1	71	金丹中境1阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	72	金丹中境2阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	73	金丹中境3阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	74	金丹中境4阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	75	金丹中境5阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	76	金丹中境6阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	77	金丹中境7阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	78	金丹中境8阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	79	金丹中境9阶	70000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	80	金丹中境10阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1061	金丹上境1阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1062	金丹上境2阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1063	金丹上境3阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1064	金丹上境4阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1065	金丹上境5阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1066	金丹上境6阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1067	金丹上境7阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1068	金丹上境8阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1069	金丹上境9阶	90000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1070	金丹上境10阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1071	金丹巅峰1阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1072	金丹巅峰2阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1073	金丹巅峰3阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1074	金丹巅峰4阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1075	金丹巅峰5阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1076	金丹巅峰6阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1077	金丹巅峰7阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1078	金丹巅峰8阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1079	金丹巅峰9阶	130000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1080	金丹巅峰10阶	150000	900001	7846	76	3924	38	138226	1469	4236	4236	4236	2	3
100001	1	1081	元婴初境1阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1082	元婴初境2阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1083	元婴初境3阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1084	元婴初境4阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1085	元婴初境5阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1086	元婴初境6阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1087	元婴初境7阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1088	元婴初境8阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1089	元婴初境9阶	150000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1090	元婴初境10阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1091	元婴中境1阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1092	元婴中境2阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1093	元婴中境3阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1094	元婴中境4阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1095	元婴中境5阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1096	元婴中境6阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1097	元婴中境7阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1098	元婴中境8阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1099	元婴中境9阶	300000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	1100	元婴中境10阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2081	元婴上境1阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2082	元婴上境2阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2083	元婴上境3阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2084	元婴上境4阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2085	元婴上境5阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2086	元婴上境6阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2087	元婴上境7阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2088	元婴上境8阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2089	元婴上境9阶	350000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2090	元婴上境10阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2091	元婴巅峰1阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2092	元婴巅峰2阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2093	元婴巅峰3阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2094	元婴巅峰4阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2095	元婴巅峰5阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2096	元婴巅峰6阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2097	元婴巅峰7阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2098	元婴巅峰8阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2099	元婴巅峰9阶	700000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2100	元婴巅峰10阶	1050000	900001	12172	74	6086	37	205773	1169	7381	7381	7381	3	4
100001	1	2101	化神初境1阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2102	化神初境2阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2103	化神初境3阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2104	化神初境4阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2105	化神初境5阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2106	化神初境6阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2107	化神初境7阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2108	化神初境8阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2109	化神初境9阶	1050000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2110	化神初境10阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2111	化神中境1阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2112	化神中境2阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2113	化神中境3阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2114	化神中境4阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2115	化神中境5阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2116	化神中境6阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2117	化神中境7阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2118	化神中境8阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2119	化神中境9阶	2100000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	2120	化神中境10阶	5000000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3101	金丹初境1阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3102	金丹初境2阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3103	金丹初境3阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3104	金丹初境4阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3105	金丹初境5阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3106	金丹初境6阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3107	金丹初境7阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3108	金丹初境8阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3109	金丹初境9阶	40000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3110	金丹初境10阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3111	金丹中境1阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3112	金丹中境2阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3113	金丹中境3阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3114	金丹中境4阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3115	金丹中境5阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3116	金丹中境6阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3117	金丹中境7阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3118	金丹中境8阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3119	金丹中境9阶	70000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3120	金丹中境10阶	90000	900001	17973	81	8987	40	352672	2054	14451	14451	14451	4	5
100001	1	3121	金丹上境1阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3122	金丹上境2阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3123	金丹上境3阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3124	金丹上境4阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3125	金丹上境5阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3126	金丹上境6阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3127	金丹上境7阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3128	金丹上境8阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3129	金丹上境9阶	90000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3130	金丹上境10阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3131	金丹巅峰1阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3132	金丹巅峰2阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3133	金丹巅峰3阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3134	金丹巅峰4阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3135	金丹巅峰5阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3136	金丹巅峰6阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3137	金丹巅峰7阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3138	金丹巅峰8阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3139	金丹巅峰9阶	130000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	3140	金丹巅峰10阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4121	元婴初境1阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4122	元婴初境2阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4123	元婴初境3阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4124	元婴初境4阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4125	元婴初境5阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4126	元婴初境6阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4127	元婴初境7阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4128	元婴初境8阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4129	元婴初境9阶	150000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4130	元婴初境10阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4131	元婴中境1阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4132	元婴中境2阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4133	元婴中境3阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4134	元婴中境4阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4135	元婴中境5阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4136	元婴中境6阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4137	元婴中境7阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4138	元婴中境8阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4139	元婴中境9阶	300000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4140	元婴中境10阶	350000	900001	25272	82	12636	41	567726	2443	27162	27162	27162	5	6
100001	1	4141	元婴上境1阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4142	元婴上境2阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4143	元婴上境3阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4144	元婴上境4阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4145	元婴上境5阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4146	元婴上境6阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4147	元婴上境7阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4148	元婴上境8阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4149	元婴上境9阶	350000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4150	元婴上境10阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4151	元婴巅峰1阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4152	元婴巅峰2阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4153	元婴巅峰3阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4154	元婴巅峰4阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4155	元婴巅峰5阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4156	元婴巅峰6阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4157	元婴巅峰7阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4158	元婴巅峰8阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4159	元婴巅峰9阶	700000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	4160	元婴巅峰10阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5141	化神初境1阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5142	化神初境2阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5143	化神初境3阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5144	化神初境4阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5145	化神初境5阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5146	化神初境6阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5147	化神初境7阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5148	化神初境8阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5149	化神初境9阶	1050000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5150	化神初境10阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5151	化神中境1阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5152	化神中境2阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5153	化神中境3阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5154	化神中境4阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5155	化神中境5阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5156	化神中境6阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5157	化神中境7阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5158	化神中境8阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5159	化神中境9阶	2100000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5160	化神中境10阶	5000000	900001	36524	85	18262	42	807955	1819	52299	52299	52299	6	7
100001	1	5161	炼体境1阶	5000000	900001	48894	74	24447	37	1187542	2300	97265	97265	97265	7	8
100001	1	5162	炼体境2阶	5000000	900001	48894	74	24447	37	1187542	2300	97265	97265	97265	7	8
100001	1	5163	炼体境3阶	5000000	900001	48894	74	24447	37	1187542	2300	97265	97265	97265	7	8
100001	1	5164	炼体境4阶	5000000	900001	48894	74	24447	37	1187542	2300	97265	97265	97265	7	8
