NPC池ID	有效标志	池随机几率	NPC类型ID1	npc1随机概率	NPC类型ID2	npc2随机概率	NPC类型ID3	npc3随机概率	NPC类型ID4	npc4随机概率	NPC类型ID5	npc5随机概率	NPC类型ID6	npc6随机概率	NPC类型ID7	npc7随机概率	NPC类型ID8	npc8随机概率	NPC类型ID9	npc9随机概率	NPC类型ID10	npc10随机概率
3012121	1	10000	3012121	2500	3012105	2500	3012106	2500	3012120	2500	0	0	0	0	0	0	0	0	0	0	0	0
3012124	1	10000	3012124	2500	3012125	2500	3012134	2500	3012127	2500	3012128	0	0	0	0	0	0	0	0	0	0	0
3012130	1	10000	3012130	2500	3012131	2500	3012132	2500	3012133	2500	3012134	0	0	0	0	0	0	0	0	0	0	0
3012106	1	10000	3012106	2500	3012121	2500	3012122	2500	3012109	2500	3012108	0	0	0	0	0	0	0	0	0	0	0
3012101	1	10000	3012101	2500	3012102	2500	3012103	2500	3012104	2500	3012105	0	0	0	0	0	0	0	0	0	0	0
3012117	1	10000	3012117	2500	3012118	2500	3012119	2500	3012129	2500	3012124	0	0	0	0	0	0	0	0	0	0	0
3013101	1	10000	3013101	1000	3013102	2500	3013103	1000	3013104	2500	3013105	2500	3013110	2500	0	0	0	0	0	0	0	0
3013107	1	10000	3013107	2500	3013108	2500	3013110	2500	3013111	1000	3013105	1000	3013127	2500	0	0	0	0	0	0	0	0
3013109	1	10000	3013109	2500	3013116	2500	3013117	2500	3013112	2500	3013113	1000	3013114	1000	3013115	2500	0	0	0	0	0	0
3013116	1	10000	3013116	2500	3013111	2500	3013118	2500	3013119	2500	3013112	2500	3013121	1000	3013122	1000	3013109	1000	0	0	0	0
3015101	1	10000	3015101	1000	3015102	2500	3015103	1000	3015104	2500	3015105	2500	3015110	2500	0	0	0	0	0	0	0	0
3015107	1	10000	3015107	2500	3015108	2500	3015110	2500	3015111	1000	3015105	1000	3015127	2500	0	0	0	0	0	0	0	0
3015109	1	10000	3015109	2500	3015116	2500	3015117	2500	3015112	2500	3015113	1000	3015114	1000	3015115	2500	0	0	0	0	0	0
3015116	1	10000	3015116	2500	3015111	2500	3015118	2500	3015119	2500	3015112	2500	3015121	1000	3015122	1000	3015109	1000	0	0	0	0
3016104	1	10000	3016104	2500	3016105	2500	3016106	2500	3016103	2500	3016108	2500	3016101	2500	3016102	0	0	0	0	0	0	0
3016107	1	10000	3016107	2500	3016120	2500	3016121	2500	3016122	2500	0	0	0	0	0	0	0	0	0	0	0	0
3016120	1	10000	3016120	2500	3016121	2500	3016106	2500	3016107	2500	3016108	0	0	0	0	0	0	0	0	0	0	0
3016110	1	10000	3016110	2500	3016111	2500	3016122	2500	3016125	2500	3016127	0	0	0	0	0	0	0	0	0	0	0
3016109	1	10000	3016109	2500	3016132	2500	3016133	2500	3016134	2500	0	0	0	0	0	0	0	0	0	0	0	0
3016113	1	10000	3016113	2500	3016114	2500	3016115	2500	3016116	2500	3016117	0	0	0	0	0	0	0	0	0	0	0
3016121	1	10000	3016121	2500	3016105	2500	3016106	2500	3016120	2500	0	0	0	0	0	0	0	0	0	0	0	0
3016124	1	10000	3016124	2500	3016125	2500	3016134	2500	3016127	2500	3016128	0	0	0	0	0	0	0	0	0	0	0
3016130	1	10000	3016130	2500	3016131	2500	3016132	2500	3016133	2500	3016134	0	0	0	0	0	0	0	0	0	0	0
3016106	1	10000	3016106	2500	3016121	2500	3016122	2500	3016126	2500	3016108	0	0	0	0	0	0	0	0	0	0	0
3016101	1	10000	3016101	2500	3016102	2500	3016103	2500	3016104	2500	3016105	0	0	0	0	0	0	0	0	0	0	0
3016117	1	10000	3016117	2500	3016118	2500	3016119	2500	3016123	2500	3016124	0	0	0	0	0	0	0	0	0	0	0
3017101	1	10000	3017101	1000	3017102	2500	3017103	1000	3017104	2500	3017105	2500	3017110	2500	0	0	0	0	0	0	0	0
3017107	1	10000	3017107	2500	3017108	2500	3017110	2500	3017111	1000	3017105	1000	3017127	2500	0	0	0	0	0	0	0	0
3017109	1	10000	3017109	2500	3017116	2500	3017117	2500	3017112	2500	3017113	1000	3017114	1000	3017115	2500	0	0	0	0	0	0
3017116	1	10000	3017116	2500	3017111	2500	3017118	2500	3017119	2500	3017112	2500	3017121	1000	3017122	1000	3017109	1000	0	0	0	0
3019101	1	10000	3019101	1000	3019102	2500	3019103	1000	3019104	2500	3019105	2500	3019106	2500	0	0	0	0	0	0	0	0
3019107	1	10000	3019107	1000	3019108	1000	3019120	2500	3019121	2500	3019110	2500	3019127	2500	0	0	0	0	0	0	0	0
3019109	1	10000	3019109	2500	3019110	2500	3019111	2500	3019112	2500	3019113	1000	3019114	1000	3019115	2500	0	0	0	0	0	0
3019116	1	10000	3019116	2500	3019117	2500	3019118	2500	3019119	2500	3019109	2500	3019124	2500	3019108	2500	3019109	1000	0	0	0	0
9001612	1	10000	9001612	0	8002103	3333	8002119	3333	8002120	3334	0	0	0	0	0	0	0	0	0	0	0	0
9001613	1	10000	9001613	0	8002005	1111	8002006	1111	8002011	1111	8002012	1111	8002014	1111	8002015	1111	8002017	1111	8002018	1111	8002110	1112
9001614	1	10000	9001614	0	8002007	1111	8002016	1111	8002101	1111	8002104	1111	8002105	1111	8002106	1111	8002107	1111	8002108	1111	8002116	1112
7101201	1	10000	7101201	2500	7101201	2500	7101201	2500	7101201	2500	7101201	2500	0	0	0	0	0	0	0	0	0	0
7101202	1	10000	7101202	2500	7101202	2500	7101202	2500	7101202	2500	7101202	2500	0	0	0	0	0	0	0	0	0	0
7101203	1	10000	7101203	2500	7101203	2500	7101203	2500	7101203	2500	7101203	2500	0	0	0	0	0	0	0	0	0	0
7101241	1	10000	7101241	2500	7101242	2500	7101243	2500	7101244	2500	7101244	2500	0	0	0	0	0	0	0	0	0	0
7101246	1	10000	7101246	9800	7101245	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101045	1	10000	4101045	2500	4101044	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4503501	1	10000	4503501	2000	4503502	1000	4503001	2200	4503002	2200	4503101	1100	4503102	1100	4503201	200	4503202	200	0	0	0	0
4503502	1	10000	4503501	2000	4503502	1000	4503001	600	4503002	600	4503101	1900	4503102	1900	4503201	1000	4503202	1000	0	0	0	0
