魔化规则ID（配在卡片表里）	魔化等级（副键）	有效标志：0：无效，1：有效	消耗道具ID	消耗道具个数	成功率	必成消耗元宝	直升消耗元宝	提升属性百分比	消耗现金数	材料完美魔化成功率（在成功之后再对魔化成功的两种可能进行判定）	元宝完美魔化成功率（在成功之后再对魔化成功的两种可能进行判定）	增加战力值	备注
1003	1	1	430100301	12	10000	0	40632	4	0	1000	1000	0	紫神基础
1003	2	1	430100301	12	8000	0	40632	8	0	1000	1000	0	紫神基础
1003	3	1	430100301	12	8000	0	40632	12	0	1000	2000	0	紫神基础
1003	4	1	430100301	12	8000	0	40632	16	0	1000	2000	0	紫神基础
1003	5	1	430100301	16	6000	0	40632	20	0	1000	2000	0	紫神基础
1003	6	1	430100301	16	6000	0	40632	24	0	1000	3000	0	紫神基础
1003	7	1	430100301	20	5500	0	40632	28	0	1000	3000	0	紫神基础
1003	8	1	430100301	20	5000	0	40632	32	0	1000	3000	0	紫神基础
1003	9	1	430100301	24	4500	0	40632	36	0	1000	4000	0	紫神基础
1003	10	1	430100301	24	4000	0	40632	40	0	1000	4000	0	紫神基础
2001	1	1	430100401	3	10000	0	40640	5	0	1000	1000	0	橙普
2001	2	1	430100401	3	8000	0	40640	10	0	1000	1000	0	橙普
2001	3	1	430100401	3	8000	0	40640	15	0	1000	2000	0	橙普
2001	4	1	430100401	3	8000	0	40640	20	0	1000	2000	0	橙普
2001	5	1	430100401	4	6000	0	40640	25	0	1000	2000	0	橙普
2001	6	1	430100401	4	6000	0	40640	30	0	1000	3000	0	橙普
2001	7	1	430100401	5	5500	0	40640	35	0	1000	3000	0	橙普
2001	8	1	430100401	5	5000	0	40640	40	0	1000	3000	0	橙普
2001	9	1	430100401	6	4500	0	40640	45	0	1000	4000	0	橙普
2001	10	1	430100401	6	4000	0	40640	50	0	1000	4000	0	橙普
2002	1	1	430100401	6	10000	0	40641	5	0	1000	1000	0	橙魂
2002	2	1	430100401	6	8000	0	40641	10	0	1000	1000	0	橙魂
2002	3	1	430100401	6	8000	0	40641	15	0	1000	2000	0	橙魂
2002	4	1	430100401	6	8000	0	40641	20	0	1000	2000	0	橙魂
2002	5	1	430100401	8	6000	0	40641	25	0	1000	2000	0	橙魂
2002	6	1	430100401	8	6000	0	40641	30	0	1000	3000	0	橙魂
2002	7	1	430100401	10	5500	0	40641	35	0	1000	3000	0	橙魂
2002	8	1	430100401	10	5000	0	40641	40	0	1000	3000	0	橙魂
2002	9	1	430100401	12	4500	0	40641	45	0	1000	4000	0	橙魂
2002	10	1	430100401	12	4000	0	40641	50	0	1000	4000	0	橙魂
2003	1	1	430100401	12	10000	0	40642	5	0	1000	1000	0	橙神基础
2003	2	1	430100401	12	8000	0	40642	10	0	1000	1000	0	橙神基础
2003	3	1	430100401	12	8000	0	40642	15	0	1000	2000	0	橙神基础
2003	4	1	430100401	12	8000	0	40642	20	0	1000	2000	0	橙神基础
2003	5	1	430100401	16	6000	0	40642	25	0	1000	2000	0	橙神基础
2003	6	1	430100401	16	6000	0	40642	30	0	1000	3000	0	橙神基础
2003	7	1	430100401	20	5500	0	40642	35	0	1000	3000	0	橙神基础
2003	8	1	430100401	20	5000	0	40642	40	0	1000	3000	0	橙神基础
2003	9	1	430100401	24	4500	0	40642	45	0	1000	4000	0	橙神基础
2003	10	1	430100401	24	4000	0	40642	50	0	1000	4000	0	橙神基础
3001	1	1	430100601	3	10000	0	40650	5	0	1000	1000	0	红普
3001	2	1	430100601	3	8000	0	40650	10	0	1000	1000	0	红普
3001	3	1	430100601	3	8000	0	40650	15	0	1000	2000	0	红普
3001	4	1	430100601	3	8000	0	40650	20	0	1000	2000	0	红普
3001	5	1	430100601	4	6000	0	40650	25	0	1000	2000	0	红普
3001	6	1	430100601	4	6000	0	40650	30	0	1000	3000	0	红普
3001	7	1	430100601	5	5500	0	40650	35	0	1000	3000	0	红普
3001	8	1	430100601	5	5000	0	40650	40	0	1000	3000	0	红普
3001	9	1	430100601	6	4500	0	40650	45	0	1000	4000	0	红普
3001	10	1	430100601	6	4000	0	40650	50	0	1000	4000	0	红普
3002	1	1	430100601	6	10000	0	40651	5	0	1000	1000	0	红魂
3002	2	1	430100601	6	8000	0	40651	10	0	1000	1000	0	红魂
3002	3	1	430100601	6	8000	0	40651	15	0	1000	2000	0	红魂
3002	4	1	430100601	6	8000	0	40651	20	0	1000	2000	0	红魂
3002	5	1	430100601	8	6000	0	40651	25	0	1000	2000	0	红魂
3002	6	1	430100601	8	6000	0	40651	30	0	1000	3000	0	红魂
3002	7	1	430100601	10	5500	0	40651	35	0	1000	3000	0	红魂
3002	8	1	430100601	10	5000	0	40651	40	0	1000	3000	0	红魂
3002	9	1	430100601	12	4500	0	40651	45	0	1000	4000	0	红魂
3002	10	1	430100601	12	4000	0	40651	50	0	1000	4000	0	红魂
3003	1	1	430100601	12	10000	0	40652	5	0	1000	1000	0	红神基础
3003	2	1	430100601	12	8000	0	40652	10	0	1000	1000	0	红神基础
3003	3	1	430100601	12	8000	0	40652	15	0	1000	2000	0	红神基础
3003	4	1	430100601	12	8000	0	40652	20	0	1000	2000	0	红神基础
3003	5	1	430100601	16	6000	0	40652	25	0	1000	2000	0	红神基础
3003	6	1	430100601	16	6000	0	40652	30	0	1000	3000	0	红神基础
3003	7	1	430100601	20	5500	0	40652	35	0	1000	3000	0	红神基础
3003	8	1	430100601	20	5000	0	40652	40	0	1000	3000	0	红神基础
3003	9	1	430100601	24	4500	0	40652	45	0	1000	4000	0	红神基础
3003	10	1	430100601	24	4000	0	40652	50	0	1000	4000	0	红神基础
