激活主ID（代表激活类型：1全身星级，2全身完美，3全身宝石，4全身强化激活（特殊处理在客户端服务器杂表里）,5位表示强化激活）	真·副ID（仅服务器用，服务器从DESIGN_CFG读取判断条件并匹配好激活等级后会获得一组主副键键值，根据它们来这个表取属性）	valid	剑客属性1	剑客属性值1	剑客属性2	剑客属性值2	御灵属性1	御灵属性值1	御灵属性2	御灵属性值2	刀客属性1	刀客属性值1	刀客属性2	刀客属性值2	弓手属性1	弓手属性值1	弓手属性2	弓手属性值2	增加战力值	激活法球属性池ID	激活主条件：星级、完美条数、宝石等级、强化等级	完美激活额外条件参数1	完美激活额外条件参数2	激活等级
3	80	1	4068	200	4071	200	4068	200	4071	200	4068	200	4071	200	4068	200	4071	200	1368	0	80	0	0	2
3	120	1	4068	300	4071	300	4068	300	4071	300	4068	300	4071	300	4068	300	4071	300	2792	0	120	0	0	3
3	140	1	4068	400	4071	400	4068	400	4071	400	4068	400	4071	400	4068	400	4071	400	4948	0	140	0	0	4
3	160	1	4068	500	4071	500	4068	500	4071	500	4068	500	4071	500	4068	500	4071	500	8996	0	160	0	0	5
3	180	1	4068	600	4071	600	4068	600	4071	600	4068	600	4071	600	4068	600	4071	600	15962	0	180	0	0	6
3	200	1	4068	700	4071	700	4068	700	4071	700	4068	700	4071	700	4068	700	4071	700	27136	0	200	0	0	7
3	220	1	4068	800	4071	800	4068	800	4071	800	4068	800	4071	800	4068	800	4071	800	45506	0	220	0	0	8
3	240	1	4068	900	4071	900	4068	900	4071	900	4068	900	4071	900	4068	900	4071	900	74994	0	240	0	0	9
3	300	1	4068	1000	4071	1000	4068	1000	4071	1000	4068	1000	4071	1000	4068	1000	4071	1000	108360	0	300	0	0	10
4	0	1	1067	95	0	0	1070	86	0	0	1067	72	0	0	1070	119	0	0	90	0	0	0	0	1
4	5	1	1067	190	0	0	1070	171	0	0	1067	143	0	0	1070	238	0	0	180	0	5	0	0	2
4	10	1	1067	380	0	0	1070	342	0	0	1067	285	0	0	1070	475	0	0	360	0	10	0	0	3
4	15	1	1067	570	0	0	1070	513	0	0	1067	428	0	0	1070	713	0	0	620	0	15	0	0	4
4	20	1	1067	760	0	0	1070	684	0	0	1067	570	0	0	1070	950	0	0	980	0	20	0	0	5
4	25	1	1067	950	0	0	1070	855	0	0	1067	713	0	0	1070	1188	0	0	1440	0	25	0	0	6
4	30	1	1067	1140	0	0	1070	1026	0	0	1067	855	0	0	1070	1425	0	0	2100	0	30	0	0	7
4	35	1	1067	1390	0	0	1070	1251	0	0	1067	1043	0	0	1070	1738	0	0	3037	0	35	0	0	8
4	40	1	1067	1640	0	0	1070	1476	0	0	1067	1230	0	0	1070	2050	0	0	3974	0	40	0	0	9
4	45	1	1067	1890	0	0	1070	1701	0	0	1067	1418	0	0	1070	2363	0	0	5520	0	45	0	0	10
4	50	1	1067	2200	0	0	1070	1980	0	0	1067	1650	0	0	1070	2750	0	0	7066	0	50	0	0	11
4	55	1	1067	2510	0	0	1070	2259	0	0	1067	1883	0	0	1070	3138	0	0	9546	0	55	0	0	12
4	60	1	1067	2820	0	0	1070	2538	0	0	1067	2115	0	0	1070	3525	0	0	12026	0	60	0	0	13
4	65	1	1067	3200	0	0	1070	2880	0	0	1067	2400	0	0	1070	4000	0	0	16179	0	65	0	0	14
4	70	1	1067	3580	0	0	1070	3222	0	0	1067	2685	0	0	1070	4475	0	0	20332	0	70	0	0	15
4	75	1	1067	4020	0	0	1070	3618	0	0	1067	3015	0	0	1070	5025	0	0	26186	0	75	0	0	16
4	80	1	1067	4460	0	0	1070	4014	0	0	1067	3345	0	0	1070	5575	0	0	32040	0	80	0	0	17
4	85	1	1067	4960	0	0	1070	4464	0	0	1067	3720	0	0	1070	6200	0	0	37894	0	85	0	0	18
4	90	1	1067	5460	0	0	1070	4914	0	0	1067	4095	0	0	1070	6825	0	0	43748	0	90	0	0	19
4	95	1	1067	6020	0	0	1070	5418	0	0	1067	4515	0	0	1070	7525	0	0	55158	0	95	0	0	20
4	100	1	1067	6650	0	0	1070	5985	0	0	1067	4988	0	0	1070	8313	0	0	66568	0	100	0	0	21
10102	5	0	67	119	0	0	70	107	0	0	67	89	0	0	70	149	0	0	0	0	5	0	0	1
10102	10	0	68	119	71	104	68	119	71	104	68	131	71	114	68	95	71	83	0	0	10	0	0	2
10102	15	0	7	400	8	400	5	400	6	400	10	400	11	400	74	400	75	400	0	0	15	0	0	3
10103	5	0	67	255	0	0	70	230	0	0	67	191	0	0	70	319	0	0	0	0	5	0	0	1
10103	10	0	68	255	71	104	68	255	71	104	68	281	71	114	68	204	71	83	0	0	10	0	0	2
10103	15	0	7	500	8	500	5	500	6	500	10	500	11	500	74	500	75	500	0	0	15	0	0	3
10104	5	0	67	471	0	0	70	424	0	0	67	353	0	0	70	589	0	0	0	0	5	0	0	1
10104	10	0	68	471	71	104	68	471	71	104	68	518	71	114	68	377	71	83	0	0	10	0	0	2
10104	15	0	7	600	8	600	5	600	6	600	10	600	11	600	74	600	75	600	0	0	15	0	0	3
10105	5	0	67	809	0	0	70	728	0	0	67	607	0	0	70	1011	0	0	0	0	5	0	0	1
10105	10	0	68	809	71	104	68	809	71	104	68	890	71	114	68	647	71	83	0	0	10	0	0	2
10105	15	0	7	700	8	700	5	700	6	700	10	700	11	700	74	700	75	700	0	0	15	0	0	3
10106	5	0	67	1174	0	0	70	1057	0	0	67	881	0	0	70	1468	0	0	0	0	5	0	0	1
10106	10	0	68	1174	71	104	68	1174	71	104	68	1291	71	114	68	939	71	83	0	0	10	0	0	2
10106	15	0	7	800	8	800	5	800	6	800	10	800	11	800	74	800	75	800	0	0	15	0	0	3
10107	5	0	67	1928	0	0	70	1735	0	0	67	1446	0	0	70	2410	0	0	0	0	5	0	0	1
10107	10	0	68	1928	71	104	68	1928	71	104	68	2121	71	114	68	1542	71	83	0	0	10	0	0	2
10107	15	0	7	900	8	900	5	900	6	900	10	900	11	900	74	900	75	900	0	0	15	0	0	3
10108	5	0	67	3099	0	0	70	2789	0	0	67	2324	0	0	70	3874	0	0	0	0	5	0	0	1
10108	10	0	68	3099	71	104	68	3099	71	104	68	3409	71	114	68	2479	71	83	0	0	10	0	0	2
10108	15	0	7	1000	8	1000	5	1000	6	1000	10	1000	11	1000	74	1000	75	1000	0	0	15	0	0	3
10110	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44000002	10	0	0	1
11102	5	0	67	178	0	0	70	160	0	0	67	134	0	0	70	223	0	0	0	0	5	0	0	1
11102	10	0	68	178	71	104	68	178	71	104	68	196	71	114	68	142	71	83	0	0	10	0	0	2
11102	15	0	7	600	8	600	5	600	6	600	10	600	11	600	74	600	75	600	0	0	15	0	0	3
11103	5	0	67	383	0	0	70	345	0	0	67	287	0	0	70	479	0	0	0	0	5	0	0	1
11103	10	0	68	383	71	104	68	383	71	104	68	421	71	114	68	306	71	83	0	0	10	0	0	2
11103	15	0	7	700	8	700	5	700	6	700	10	700	11	700	74	700	75	700	0	0	15	0	0	3
11104	5	0	67	706	0	0	70	635	0	0	67	530	0	0	70	883	0	0	0	0	5	0	0	1
11104	10	0	68	706	71	104	68	706	71	104	68	777	71	114	68	565	71	83	0	0	10	0	0	2
11104	15	0	7	800	8	800	5	800	6	800	10	800	11	800	74	800	75	800	0	0	15	0	0	3
11105	5	0	67	1214	0	0	70	1093	0	0	67	911	0	0	70	1518	0	0	0	0	5	0	0	1
11105	10	0	68	1214	71	104	68	1214	71	104	68	1335	71	114	68	971	71	83	0	0	10	0	0	2
11105	15	0	7	900	8	900	5	900	6	900	10	900	11	900	74	900	75	900	0	0	15	0	0	3
11106	5	0	67	1761	0	0	70	1585	0	0	67	1321	0	0	70	2201	0	0	0	0	5	0	0	1
11106	10	0	68	1761	71	104	68	1761	71	104	68	1937	71	114	68	1409	71	83	0	0	10	0	0	2
11106	15	0	7	1000	8	1000	5	1000	6	1000	10	1000	11	1000	74	1000	75	1000	0	0	15	0	0	3
11107	5	0	67	2892	0	0	70	2603	0	0	67	2169	0	0	70	3615	0	0	0	0	5	0	0	1
11107	10	0	68	2892	71	104	68	2892	71	104	68	3181	71	114	68	2314	71	83	0	0	10	0	0	2
11107	15	0	7	1100	8	1100	5	1100	6	1100	10	1100	11	1100	74	1100	75	1100	0	0	15	0	0	3
11108	5	0	67	4648	0	0	70	4183	0	0	67	3486	0	0	70	5810	0	0	0	0	5	0	0	1
11108	10	0	68	4648	71	104	68	4648	71	104	68	5113	71	114	68	3718	71	83	0	0	10	0	0	2
11108	15	0	7	1200	8	1200	5	1200	6	1200	10	1200	11	1200	74	1200	75	1200	0	0	15	0	0	3
10111	10	0	76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10112	10	0	76	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10113	10	0	76	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10114	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41000002	5	0	0	1
10114	10	0	76	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10115	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41000002	5	0	0	2
10115	10	0	76	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10116	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41000002	5	0	0	3
10116	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42000002	9	0	0	1
10116	10	0	76	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10117	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41000002	5	0	0	4
10117	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42000002	9	0	0	2
10117	10	0	76	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
10118	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41000002	5	0	0	5
10118	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42000002	9	0	0	3
10118	10	0	76	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
