掉落ID	有效标志位	副ID（超过300的部分将会无效，请注意）	副ID随机几率，-1为必定随出来	掉落类型	随机规则	地图掉落限制周期	地图掉落限制次数	掉落时间限制	分配角色限制	分配等级下限	分配等级上限	次数限制	状态限制	世界科技系数（对应world_civ_mod表)	掉落广播类型（位域,0不广播,1掉落拾取,2开宝箱,4制造广播,2^3~2^12(8184)世界科技1~10广播,2^13全世界广播,2^14当前地图广播,2^15本阵营广播,2^16上品广播,2^17极品广播,2^18帮派广播,2^19小队广播)	掉落次数下限	掉落次数上限	单人分配最大数量	掉落几率	掉落保底	是否绑定	品质系数	参数1（固定掉落时，道具为type_id，货币为货币枚举；随机掉落时，为表现类型1的performance_id）	参数2（固定掉落时，道具为随机几率，货币为货币数量；随机掉落时，为表现类型1的随机概率）	参数3（随机掉落时，为表现类型2的performance_id）	参数4（随机掉落时，为表现类型2的随机概率）	参数5（随机掉落时，为表现类型3的performance_id）	参数6（随机掉落时，为表现类型3的随机概率）	参数7（随机掉落时，为表现类型4的performance_id）	参数8（随机掉落时，为表现类型4的随机概率）	参数9（随机掉落时，为表现类型5的performance_id）	参数10（随机掉落时，为表现类型5的随机概率）	参数11（随机掉落时，为等级区间下限）	参数12（随机掉落时，为等级区间上限）	参数13（随机掉落时，为流水区间下限）	参数14（随机掉落时，为流水区间上限）	参数15	参数16	参数17	参数18	参数19	参数20	参数21	参数22	参数23	参数24
10009	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10010	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10011	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10012	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500113213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10014	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10015	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10016	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10017	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10018	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10019	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10020	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10021	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10022	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10023	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10024	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10025	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10026	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10027	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123214	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10028	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123215	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10029	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500123216	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10030	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10031	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10032	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10033	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10034	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10035	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10036	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10037	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10038	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10039	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10040	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10041	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10042	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500114213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10043	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10044	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10045	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10046	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10047	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10048	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10049	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10050	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10051	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10052	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10053	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10054	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10055	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10056	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124214	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10057	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124215	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10058	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500124216	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10059	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10060	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10061	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10062	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10063	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10064	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10065	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10066	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10067	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10068	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10069	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10070	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10071	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500115213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10072	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10073	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125202	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10074	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125203	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10075	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125204	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10076	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125205	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10077	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125206	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125207	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10079	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125208	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10080	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125209	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10081	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125210	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10082	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125211	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10083	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125212	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10084	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125213	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10085	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125214	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10086	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125215	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10087	1	1	-1	0	0	0	0	0	0	1	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	500125216	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10040	1	2	-1	0	0	0	0	0	0	1	50	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	3	-1	0	0	0	0	0	0	51	60	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	4	-1	0	0	0	0	0	0	61	70	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	5	-1	0	0	0	0	0	0	71	1080	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	6	-1	0	0	0	0	0	0	1081	1090	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	7	-1	0	0	0	0	0	0	1091	2100	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130202	1250	400130203	1250	400130204	1250	400130205	1250	400130206	1250	400130207	1250	400130208	1250	400130209	1250	0	0	0	0	0	0	0	0
10040	1	8	-1	0	0	0	0	0	0	2101	2110	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130402	1250	400130403	1250	400130404	1250	400130405	1250	400130406	1250	400130407	1250	400130408	1250	400130409	1250	0	0	0	0	0	0	0	0
10040	1	9	-1	0	0	0	0	0	0	2111	3120	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130402	1250	400130403	1250	400130404	1250	400130405	1250	400130406	1250	400130407	1250	400130408	1250	400130409	1250	0	0	0	0	0	0	0	0
10040	1	10	-1	0	0	0	0	0	0	3121	3130	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130402	1250	400130403	1250	400130404	1250	400130405	1250	400130406	1250	400130407	1250	400130408	1250	400130409	1250	0	0	0	0	0	0	0	0
10040	1	11	-1	0	0	0	0	0	0	3131	4140	0	0	0	0	10000	10000	10000	10000	0	10000	0	400130402	1250	400130403	1250	400130404	1250	400130405	1250	400130406	1250	400130407	1250	400130408	1250	400130409	1250	0	0	0	0	0	0	0	0
10040	1	12	-1	0	0	0	0	0	0	4141	4150	0	0	0	0	10000	10000	10000	10000	0	10000	0	400140202	1250	400140203	1250	400140204	1250	400140205	1250	400140206	1250	400140207	1250	400140208	1250	400140209	1250	0	0	0	0	0	0	0	0
10040	1	13	-1	0	0	0	0	0	0	4151	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	400140202	1250	400140203	1250	400140204	1250	400140205	1250	400140206	1250	400140207	1250	400140208	1250	400140209	1250	0	0	0	0	0	0	0	0
10040	1	14	-1	0	0	0	0	0	0	5161	7200	0	0	0	0	10000	10000	10000	10000	0	10000	0	400140202	1250	400140203	1250	400140204	1250	400140205	1250	400140206	1250	400140207	1250	400140208	1250	400140209	1250	0	0	0	0	0	0	0	0
10040	1	15	-1	0	0	0	0	0	0	5171	6180	0	0	0	0	10000	10000	10000	10000	0	10000	0	400140202	1250	400140203	1250	400140204	1250	400140205	1250	400140206	1250	400140207	1250	400140208	1250	400140209	1250	0	0	0	0	0	0	0	0
