#道藏ID	#等级	valid 	#升级消耗ID	#升级限制ID	#剑客属性1类型	#剑客属性1数值	#剑客属性2类型	#剑客属性2数值	#御灵属性1类型	#御灵属性1数值	#御灵属性2类型	#御灵属性2数值	#刀客属性1类型	#刀客属性1数值	#刀客属性2类型	#刀客属性2数值	#弓手属性1类型	#弓手属性1数值	#弓手属性2类型	#弓手属性2数值	#伙伴属性1类型	#伙伴属性1数值	#伙伴属性2类型	#伙伴属性2数值	增加战力值
[C][S]id	[C][S]level	0	[C][S]consume_id	[C][S]char_state_limit_id	[C][S]char_attr_pro11_type1	[C][S]char_attr_pro11_value1	[C][S]char_attr_pro11_type2	[C][S]char_attr_pro11_value2	[C][S]char_attr_pro21_type1	[C][S]char_attr_pro21_value1	[C][S]char_attr_pro21_type2	[C][S]char_attr_pro21_value2	[C][S]char_attr_pro31_type1	[C][S]char_attr_pro31_value1	[C][S]char_attr_pro31_type2	[C][S]char_attr_pro31_value2	[C][S]char_attr_pro41_type1	[C][S]char_attr_pro41_value1	[C][S]char_attr_pro41_type2	[C][S]char_attr_pro41_value2	[C][S]partner_attr_type1	[C][S]partner_attr_value1	[C][S]partner_attr_type2	[C][S]partner_attr_value2	[S]add_fighting_
900001020	1	1	0	0	67	494	0	0	70	445	0	0	67	371	0	0	70	618	0	0	0	0	0	0	3096
900002001	0	1	60201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002001	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	162
900002002	0	1	60202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002002	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	198
900002003	0	1	60203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002003	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	240
900002004	0	1	60204	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002004	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	240
900002005	0	1	60205	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002005	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	291
900002006	0	1	60206	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002006	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	291
900002007	0	1	60207	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002007	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900002008	0	1	60208	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002008	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900002009	0	1	60209	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002009	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900002010	0	1	60210	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002010	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	648
900002011	0	1	60211	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002011	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	864
900002012	0	1	60212	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002012	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	864
900002013	0	1	60213	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002013	1	1	0	0	68	148	71	148	68	148	71	148	68	163	71	163	68	118	71	118	0	0	0	0	1040
900002014	0	1	60214	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002014	1	1	0	0	68	148	71	148	68	148	71	148	68	163	71	163	68	118	71	118	0	0	0	0	1040
900002015	0	1	60215	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002015	1	1	0	0	68	172	71	172	68	172	71	172	68	189	71	189	68	138	71	138	0	0	0	0	1213
900002016	0	1	60216	90003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002016	1	1	0	0	68	172	71	172	68	172	71	172	68	189	71	189	68	138	71	138	0	0	0	0	1621
900002017	0	1	60217	90003037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002017	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1851
900002018	0	1	60218	90003038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002018	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1851
900002019	0	1	60219	90003039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002019	1	1	0	0	68	222	71	222	68	222	71	222	68	244	71	244	68	178	71	178	0	0	0	0	2781
900002020	0	1	60220	90003040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900002020	1	1	0	0	68	247	71	247	68	247	71	247	68	272	71	272	68	198	71	198	0	0	0	0	3096
900003001	0	1	60301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003001	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	162
900003002	0	1	60302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003002	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	198
900003003	0	1	60303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003003	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	240
900003004	0	1	60304	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003004	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	240
900003005	0	1	60305	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003005	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	291
900003006	0	1	60306	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003006	1	1	0	0	67	148	0	0	70	133	0	0	67	111	0	0	70	185	0	0	0	0	0	0	291
900003007	0	1	60307	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003007	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900003008	0	1	60308	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003008	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900003009	0	1	60309	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003009	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	518
900003010	0	1	60310	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003010	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	648
900003011	0	1	60311	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003011	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	864
900003012	0	1	60312	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003012	1	1	0	0	67	246	0	0	70	221	0	0	67	185	0	0	70	308	0	0	0	0	0	0	864
900003013	0	1	60313	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003013	1	1	0	0	67	296	0	0	70	266	0	0	67	222	0	0	70	370	0	0	0	0	0	0	1040
900003014	0	1	60314	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003014	1	1	0	0	67	296	0	0	70	266	0	0	67	222	0	0	70	370	0	0	0	0	0	0	1040
900003015	0	1	60315	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003015	1	1	0	0	67	345	0	0	70	311	0	0	67	259	0	0	70	431	0	0	0	0	0	0	1213
900003016	0	1	60316	90003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003016	1	1	0	0	67	345	0	0	70	311	0	0	67	259	0	0	70	431	0	0	0	0	0	0	1621
900003017	0	1	60317	90003037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003017	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1851
900003018	0	1	60318	90003038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003018	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1851
900003019	0	1	60319	90003039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003019	1	1	0	0	67	444	0	0	70	400	0	0	67	333	0	0	70	555	0	0	0	0	0	0	2781
900003020	0	1	60320	90003040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900003020	1	1	0	0	67	494	0	0	70	445	0	0	67	371	0	0	70	618	0	0	0	0	0	0	3096
900004001	0	1	60401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004001	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	162
900004002	0	1	60402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004002	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	198
900004003	0	1	60403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004003	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	240
900004004	0	1	60404	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004004	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	240
900004005	0	1	60405	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004005	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	291
900004006	0	1	60406	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004006	1	1	0	0	68	74	71	74	68	74	71	74	68	81	71	81	68	59	71	59	0	0	0	0	291
900004007	0	1	60407	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004007	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900004008	0	1	60408	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004008	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900004009	0	1	60409	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004009	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	518
900004010	0	1	60410	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004010	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	648
900004011	0	1	60411	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004011	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	864
900004012	0	1	60412	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004012	1	1	0	0	68	123	71	123	68	123	71	123	68	135	71	135	68	98	71	98	0	0	0	0	864
900004013	0	1	60413	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004013	1	1	0	0	68	148	71	148	68	148	71	148	68	163	71	163	68	118	71	118	0	0	0	0	1040
900004014	0	1	60414	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004014	1	1	0	0	68	148	71	148	68	148	71	148	68	163	71	163	68	118	71	118	0	0	0	0	1040
900004015	0	1	60415	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004015	1	1	0	0	68	172	71	172	68	172	71	172	68	189	71	189	68	138	71	138	0	0	0	0	1213
900004016	0	1	60416	90003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004016	1	1	0	0	68	172	71	172	68	172	71	172	68	189	71	189	68	138	71	138	0	0	0	0	1621
900004017	0	1	60417	90003037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004017	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1851
900004018	0	1	60418	90003038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004018	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1851
900004019	0	1	60419	90003039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004019	1	1	0	0	68	222	71	222	68	222	71	222	68	244	71	244	68	178	71	178	0	0	0	0	2781
900004020	0	1	60420	90003040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900004020	1	1	0	0	68	247	71	247	68	247	71	247	68	272	71	272	68	198	71	198	0	0	0	0	3096
900005001	0	1	60501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005001	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	216
900005002	0	1	60502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005002	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	264
900005003	0	1	60503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005003	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	320
900005004	0	1	60504	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005004	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	320
900005005	0	1	60505	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005005	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	388
900005006	0	1	60506	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005006	1	1	0	0	67	197	0	0	70	177	0	0	67	148	0	0	70	246	0	0	0	0	0	0	388
900005007	0	1	60507	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005007	1	1	0	0	67	263	0	0	70	237	0	0	67	197	0	0	70	329	0	0	0	0	0	0	691
900005008	0	1	60508	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005008	1	1	0	0	67	263	0	0	70	237	0	0	67	197	0	0	70	329	0	0	0	0	0	0	691
900005009	0	1	60509	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005009	1	1	0	0	67	263	0	0	70	237	0	0	67	197	0	0	70	329	0	0	0	0	0	0	691
900005010	0	1	60510	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005010	1	1	0	0	67	328	0	0	70	295	0	0	67	246	0	0	70	410	0	0	0	0	0	0	866
900005011	0	1	60511	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005011	1	1	0	0	67	328	0	0	70	295	0	0	67	246	0	0	70	410	0	0	0	0	0	0	1155
900005012	0	1	60512	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005012	1	1	0	0	67	328	0	0	70	295	0	0	67	246	0	0	70	410	0	0	0	0	0	0	1155
900005013	0	1	60513	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005013	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1389
900005014	0	1	60514	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005014	1	1	0	0	67	395	0	0	70	356	0	0	67	296	0	0	70	494	0	0	0	0	0	0	1389
900005015	0	1	60515	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005015	1	1	0	0	67	460	0	0	70	414	0	0	67	345	0	0	70	575	0	0	0	0	0	0	1620
900005016	0	1	60516	90003036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005016	1	1	0	0	67	460	0	0	70	414	0	0	67	345	0	0	70	575	0	0	0	0	0	0	2164
900005017	0	1	60517	90003037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005017	1	1	0	0	67	527	0	0	70	474	0	0	67	395	0	0	70	659	0	0	0	0	0	0	2472
900005018	0	1	60518	90003038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005018	1	1	0	0	67	527	0	0	70	474	0	0	67	395	0	0	70	659	0	0	0	0	0	0	2472
900005019	0	1	60519	90003039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005019	1	1	0	0	67	592	0	0	70	533	0	0	67	444	0	0	70	740	0	0	0	0	0	0	3712
900005020	0	1	60520	90003040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900005020	1	1	0	0	67	659	0	0	70	593	0	0	67	494	0	0	70	824	0	0	0	0	0	0	4123
900006001	0	1	60601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006001	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	216
900006002	0	1	60602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006002	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	264
900006003	0	1	60603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006003	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	320
900006004	0	1	60604	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006004	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	320
900006005	0	1	60605	90003027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006005	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	388
900006006	0	1	60606	90003028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006006	1	1	0	0	68	98	71	98	68	98	71	98	68	108	71	108	68	78	71	78	0	0	0	0	388
900006007	0	1	60607	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006007	1	1	0	0	68	131	71	131	68	131	71	131	68	144	71	144	68	105	71	105	0	0	0	0	691
900006008	0	1	60608	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006008	1	1	0	0	68	131	71	131	68	131	71	131	68	144	71	144	68	105	71	105	0	0	0	0	691
900006009	0	1	60609	90003029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006009	1	1	0	0	68	131	71	131	68	131	71	131	68	144	71	144	68	105	71	105	0	0	0	0	691
900006010	0	1	60610	90003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006010	1	1	0	0	68	164	71	164	68	164	71	164	68	180	71	180	68	131	71	131	0	0	0	0	866
900006011	0	1	60611	90003031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006011	1	1	0	0	68	164	71	164	68	164	71	164	68	180	71	180	68	131	71	131	0	0	0	0	1155
900006012	0	1	60612	90003032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006012	1	1	0	0	68	164	71	164	68	164	71	164	68	180	71	180	68	131	71	131	0	0	0	0	1155
900006013	0	1	60613	90003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006013	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1389
900006014	0	1	60614	90003034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900006014	1	1	0	0	68	197	71	197	68	197	71	197	68	217	71	217	68	158	71	158	0	0	0	0	1389
900006015	0	1	60615	90003035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
