祝福ID(祝福的ID，部分行为指定四位ID，其余的ID命名规则：祝福编号1~N+两位子类型+三位流水号；1等级，2装备(强化01、魂装02、精炼03、重铸04、品质05)，3闲置编号，4副本（长生碑01，封魔塔02），5闲置，6灵宠，7转生，8经文，9武学，10排行榜，11符印，12好友数量，13坐骑，14活动（赏花01），15充值，16红包)	有效标志	祝福名称（这个祝福的文字名称）	发送对象（1发送到好友，2发送到帮派成员，3好友和帮派都发送）	普通奖励（普通祝福的奖励ID）	绑元奖励（使用绑元祝福的奖励ID）	被普通祝福奖励（被普通祝福奖励获得的奖励ID）	被绑元祝福奖励（被绑元祝福奖励获得的奖励ID）	通关塔层（通关层数）	红包数额	红包个数	祝福能触发的次数上限（次数限制ID）	触发祝福的时间间隔（时间，单位：秒）	祝福红包说明（祝福面板中的文字描述）	收到祝福说明（玩家收到祝福后再聊天信息里收到的提示）
201002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>2级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活2级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>3级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活3级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>4级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活4级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>5级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活5级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201006	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>6级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活6级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201007	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>7级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活7级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201008	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>8级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活8级强化，修为大幅上升，<color=#00dbaa>%s</color>送送上一份祝福！
201009	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>9级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活9级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201010	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>10级强化激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活10级强化，修为大幅上升，<color=#00dbaa>%s</color>送上一份祝福！
201011	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功合成了一个<color=#4ac6ff>紫色灵宝</color>，赶快送上您的祝福吧！	灵宝有灵择贤主，恭喜<color=#fd8e06>%s</color>合成紫色灵宝，<color=#00dbaa>%s</color>送上一份祝福！
201012	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功将灵宝<color=#4ac6ff>强化到10级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>灵宝强化10级，修为突破天际，<color=#00dbaa>%s</color>送上一份祝福！
201013	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的好友<color=#fd8e06>%s</color>成功将灵宝<color=#4ac6ff>强化到15级</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>灵宝强化15级，修为突破天际，<color=#00dbaa>%s</color>送上一份祝福！
202001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#11adf6>蓝色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得蓝色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#aa62fc>紫色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得紫色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#fd8e06>橙色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得橙色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#00dbaa>青色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得青色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#ff3e3e>红色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得红色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202006	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了1件<color=#ff3efd>粉色</color>-魂·武器，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得粉色魂武，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202007	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#11adf6>蓝色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个蓝色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202008	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#aa62fc>紫色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个紫色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202009	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#fd8e06>橙色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个橙色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202010	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#00dbaa>青色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个青色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202011	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#ff3e3e>红色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个红色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202012	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了4个<color=#ff3efd>粉色</color>-魂·主部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4个粉色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202013	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#11adf6>蓝色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个蓝色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202014	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#aa62fc>紫色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个紫色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202015	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#fd8e06>橙色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个橙色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202016	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#00dbaa>青色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个青色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202017	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#ff3e3e>红色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个红色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202018	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了8个<color=#ff3efd>粉色</color>-魂·主辅部件，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得8个粉色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202019	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#11adf6>蓝色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个蓝色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202020	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#aa62fc>紫色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个紫色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202021	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#fd8e06>橙色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个橙色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202022	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#00dbaa>青色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个青色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202023	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#ff3e3e>红色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个红色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
202024	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了所有<color=#ff3efd>粉色</color>-魂·装备，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得10个粉色魂装备，修为冠绝古今，<color=#00dbaa>%s</color>送上一份祝福！
203001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>1级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活1级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>2级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活2级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>3级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活3级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>4级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活4级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>5级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活5级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203006	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>6级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活6级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203007	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>7级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活7级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203008	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>8级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活8级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203009	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>9级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活9级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
203010	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>10级精炼激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活10级精炼，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>1级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活1级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>2级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活2级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>3级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活3级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>4级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活4级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>5级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活5级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204006	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>6级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活6级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204007	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>7级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活7级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204008	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>8级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活8级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204009	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>9级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活9级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
204010	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功达成<color=#4ac6ff>10级完美激活</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>激活10级完美属性，修为骤然飙升！<color=#00dbaa>%s</color>送上一份祝福！
205001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>装备了4件<color=#aa62fc>上古装备</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4件上古装备，仙路更进一步，<color=#00dbaa>%s</color>送上一份祝福！
205002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>装备了4件<color=#fd8e06>上古装备</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4件上古装备，仙路更进一步，<color=#00dbaa>%s</color>送上一份祝福！
205003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>装备了4件<color=#00dbaa>上古装备</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4件上古装备，仙路更进一步，<color=#00dbaa>%s</color>送上一份祝福！
205004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>装备了4件<color=#ff3e3e>上古装备</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4件上古装备，仙路更进一步，<color=#00dbaa>%s</color>送上一份祝福！
401001	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>赤日碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过赤日碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401002	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>卷云碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过卷云碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401003	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>南枝碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过南枝碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401004	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>跃林碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过跃林碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401005	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>闻言碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过闻言碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401006	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>西辰碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过西辰碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
