#id	#可用	#类型（1单数出现，2偶数出现）	#出现几率（此题目在本类型中出现的几率）	#正确答案	#选项数量	#题目（文本信息或文本信息ID）	选项1（文本信息或文本信息ID）	选项2（文本信息或文本信息ID）	选项3（文本信息或文本信息ID）	选项4（文本信息或文本信息ID）
[K][C][S]id	valid	[C][S]type_id	[C][S]probability	[C][S]answer_id	[C][S]answer_num	[C][S]questionDesc	[C][S]answer_1	[C][S]answer_2	[C][S]answer_3	[C][S]answer_4
26	1	2	10000	2	2	以下哪個不全屬於遊戲中的陣營官職？	神將、魔尊、戰將	軍師、魔後、首席	0	0
27	1	1	10000	1	2	離開幫派後會怎樣？	不能參與戰利品分紅	變得更帥	0	0
28	1	2	10000	2	2	遊戲中哪個境界高一點？	嬰變	元嬰	0	0
29	1	1	10000	2	2	哪個不屬於幫派大廳中的建築？	主殿、兵甲坊	幫派寶庫、拍賣行	0	0
30	1	2	10000	2	2	以下哪個不全屬於背包按鈕中的功能？	整理、重鑄	圖鑒、出售	0	0
31	1	1	10000	2	2	遊戲中裝備主件分為哪幾個？	武器、衣服、褲子、防具	武器、衣服、褲子、腰帶	0	0
32	1	2	10000	2	2	遊戲中裝備輔件分為哪幾個？	腰帶、護肩、手套、鞋子	帽子、護肩、手套、鞋子	0	0
33	1	1	10000	2	2	遊戲中裝備飾品分為哪幾個？	項鍊、耳環	項鍊、戒指	0	0
34	1	2	10000	2	2	強化需要消耗什麼？	三角寶石、強化石	銅幣、強化石	0	0
35	1	1	10000	2	2	重鑄需要消耗什麼？	強化石和銅幣	隕鐵和銅幣	0	0
36	1	2	10000	1	2	鑲嵌需要消耗什麼？	寶石	魂玉	0	0
37	1	1	10000	1	2	坐騎能否在寄售裡面出售？	能	不能	0	0
38	1	2	10000	1	2	以下哪些途徑全部可以獲得元寶？	儲值、聚寶盆	搖錢樹、寄售	0	0
39	1	1	10000	1	2	修煉可以獲得什麼？	經驗	奧術能量	0	0
40	1	2	10000	2	2	哪些不屬於我們遊戲中的角色？	煙塵生、音一	奧巴馬	0	0
41	1	1	10000	2	2	以下哪個不全屬於遊戲中的商城？	靈寵商城、外觀商城	儲值、長生閣	0	0
42	1	2	10000	1	2	劍池任務一共幾環？	4	1	0	0
43	1	1	10000	2	2	以下哪些不全是我們遊戲中的玩法？	鬼王陵	召喚師峽谷	0	0
44	1	2	10000	1	2	以下哪些不全是限時活動中的玩法？	攻城戰、秘境	神魔古墓、雪穀奪旗	0	0
45	1	1	10000	1	2	福簽祈福需要到哪裡去？	琅嬛寶島	桃源村	0	0
46	1	2	10000	2	2	進行醉仙釀需要到哪個地圖去接任務？	神都	三合殿	0	0
47	1	1	10000	2	2	神都沒有哪個區域？	頌神坪	主殿	0	0
48	1	2	10000	2	2	怎樣可以變強？	打坐修煉心法	進行左上角變強相關	0	0
49	1	1	10000	1	2	組隊副本多人參與有什麼好處？	額外經驗加成	額外幫貢加成	0	0
50	1	2	10000	1	2	打坐是幹嘛用的？	恢復生命	恢復魔法	0	0
51	1	1	10000	2	2	遊戲中角色釋放技能後會怎樣？	消耗魔法並技能進入冷卻	技能進入冷卻	0	0
52	1	2	10000	1	2	遊戲中獲得物品時一般保存在哪？	背包	秘庫	0	0
53	1	1	10000	2	2	更換裝備時，裝備強化的屬性是否會繼承？	不會	會	0	0
54	1	2	10000	2	2	更換裝備時，鑲嵌寶石的屬性是否會繼承？	不會	會	0	0
55	1	1	10000	2	2	寶石是否可以升級？	不可以	可以	0	0
56	1	2	10000	2	2	更換裝備時，裝備重鑄的屬性是否會繼承？	不會	會	0	0
57	1	1	10000	1	2	坐騎是否能增加角色的屬性？	能	不能	0	0
58	1	2	10000	1	2	誰可以治療隊友？	琉璃職業角色	大胸小姐姐	0	0
59	1	1	10000	1	2	遊戲中[顏色品質]低到高的順序為：綠-藍-紫-橙-紅-粉	正確	錯誤	0	0
60	1	2	10000	2	2	角色死亡時是否會扣除經驗？	會	不會	0	0
61	1	1	10000	1	2	斷線後應該怎麼做？	點擊重新連接	坐等客服	0	0
62	1	2	10000	1	2	幫主和百草堂堂主誰官大？	幫主	百草堂堂主	0	0
63	1	1	10000	1	2	玩家最初始的境界為？	煉體	築基	0	0
64	1	2	10000	2	2	以下哪些東西不全在長生碑中產出？	經驗、長生訣、強化石	魂玉、元寶、經驗	0	0
65	1	1	10000	2	2	以下哪個不全是琉璃的技能？	藤語、花影	花靈、回雁	0	0
66	1	2	10000	2	2	以下哪個所含怪物不全存在劍池當中？	夜魔虎、魔蝠	魔狼、狩獵者	0	0
67	1	1	10000	2	2	以下哪個不全是劍池任務的內容？	採掘劍池、尋找劍譜	驅逐妖獸、驅逐年獸	0	0
68	1	2	10000	1	2	裝備有什麼區別？	品質、顏色	等級、星階	0	0
69	1	1	10000	1	2	當出現以下哪種情況玩家無法再獲得物品？	臨時背包格子已滿	運氣太差	0	0
70	1	2	10000	2	2	以下哪個無法在初獲靈寵任務中獲得的？	大樹	大魚干	0	0
71	1	1	10000	1	2	怎樣可以提高天地異變等級？	提升等級、收集材料	提高等級、充值元寶	0	0
72	1	2	10000	2	2	以下哪個不全是我們遊戲中的商店？	兵甲坊、霓裳坊	元寶商店、染衣坊	0	0
73	1	1	10000	1	2	背包中整理按鈕有什麼用？	將臨時背包中物品取出	將背包中低級裝備銷毀	0	0
74	1	2	10000	1	2	外觀禮包能獲得什麼東西？	時裝、武器外觀	掛件、陸行坐騎	0	0
75	1	1	10000	2	2	靈寵是否可以在寄售中出售？	不可以	可以	0	0
76	1	2	10000	2	2	情緣賞花需要多少個人參與？	3	2	0	0
77	1	1	10000	1	2	離線託管可以獲得哪些東西？	經驗、古樸的寶箱	銅幣、技能書	0	0
78	1	2	10000	2	2	抽獎沒有哪一種？	青銅抽獎	勾玉抽獎	0	0
79	1	1	10000	1	2	活動找回一般能領取多少比例的收益？	60%、90%	70%、90%	0	0
80	1	2	10000	1	2	靈寵陣法一共可以上陣靈寵多少個？	7	8	0	0
81	1	1	10000	1	2	升級武學需要消耗什麼？	技能書、銅幣	經驗、銅幣	0	0
82	1	2	10000	1	2	陣營的盟主有什麼好處？	專屬坐騎	大把妹子	0	0
83	1	1	10000	2	2	以下哪個玩法不能獲得戰利品？	攻城戰	上古遺跡	0	0
84	1	2	10000	1	2	購買月卡需要多少錢？	150	90	0	0
85	1	1	10000	2	2	幫派多少級開放？	19	18	0	0
86	1	2	10000	2	2	靈寵陣法什麼時候開放？	等級達20	獲得第一隻靈寵	0	0
87	1	1	10000	2	2	幫派任務在哪裡領取？	幫派主殿	幫派目標	0	0
88	1	2	10000	1	2	古詩“風，雅，頌”中的“風”指的是什麼？	國風	畫風	0	0
89	1	1	10000	1	2	“六如居士”是誰的別號？	唐伯虎	唐立成	0	0
90	1	2	10000	2	2	“琴棋書畫”中的“棋”指？	象棋	圍棋	0	0
91	1	1	10000	1	2	《論語》的作者是誰？	孔子的弟子	孔子的老師	0	0
92	1	2	10000	1	2	補牢中的“牢”指的是？	牲口圈	地牢	0	0
93	1	1	10000	1	2	“紅娘”是哪部作品中的人物？	西廂記	紅樓夢	0	0
94	1	2	10000	1	2	被稱為“詩聖”的唐代詩人是哪位？	杜甫	李白	0	0
95	1	1	10000	2	2	古代六藝，“禮，樂，射，禦，書，數”中的“禦”是指？	武藝	駕車	0	0
96	1	2	10000	2	2	狗咬呂洞賓(猜一歇後語)	不識女人心	不識好人心	0	0
97	1	1	10000	2	2	在二十四個節氣中，既是節氣又是節日的是？	元旦	清明	0	0
98	1	2	10000	2	2	人們熟悉的“八卦”是出自？	詩經	周易	0	0
99	1	1	10000	1	2	書畫作品中的“四君子”是指哪四種植物？	梅、蘭、竹、菊	梅、蘭、桃、菊	0	0
100	1	2	10000	1	2	"子曰‘敏而好學,不恥下問',這句文言文裡的‘下問'是指？"	向不如自己的人請教	向比自己強的人請教	0	0
101	1	1	10000	2	2	道家是先秦諸子百家的只要思想派別之一，道家的主要代表人物是？	孟子	老莊	0	0
102	1	2	10000	2	2	儒家是先秦諸子百家的主要思想派別之一，儒家的主要代表人物是？	韓非子	孟子	0	0
103	1	1	10000	1	2	“天蒼蒼，野茫茫，風吹草低見牛羊”描繪的是哪個地方的景色？	內蒙古高原	青藏高原	0	0
104	1	2	10000	1	2	“飛流直下三千尺，疑是銀河落九天”出自？	望廬山瀑布	廬山瀑布	0	0
105	1	1	10000	2	2	“初出茅廬”中的“茅廬”本意是指誰的住處？	李白	諸葛亮	0	0
106	1	2	10000	1	2	“國家興亡，匹夫有責”語出？	顧炎武	孫中山	0	0
107	1	1	10000	1	2	“山重水複疑無路，柳暗花明又一村。”此句的作者是？	陸遊	陸毅	0	0
108	1	2	10000	2	2	“一騎紅塵妃子笑”中的“妃子”是指的誰？	王昭君	楊玉環	0	0
109	1	1	10000	1	2	“色即是空，空即是色”此句出自哪部佛教著作？	心經	易經筋	0	0
110	1	2	10000	1	2	“一把紫竹傘，一場清明的雨，引出西湖邊一段愛情”傳自哪個民間故事？	白蛇傳	牛郎織女	0	0
111	1	1	10000	2	2	“昨夜見軍貼，可汗大點兵。軍書十二卷，卷卷有爺名。”這句詩詞是出自哪裡？	木蘭傳	木蘭辭	0	0
112	1	2	10000	1	2	“唐宋八大家”主要靠寫哪方面的文章聞名？	散文	詩經	0	0
113	1	1	10000	1	2	“停車坐愛楓林晚，霜葉紅於二月花”這兩句詩的作者是？	杜牧	李白	0	0
114	1	2	10000	1	2	"“橫看成嶺側成峰,遠近高低各不同”,它所描寫的是哪裡的景觀？"	江西廬山	西嶽華山	0	0
115	1	1	10000	1	2	"“欲窮千里目,更上一層樓”，這裡的“更上一層樓”指的是哪座樓？"	山西鸛雀樓	好萊客大酒樓	0	0
116	1	2	10000	1	2	"“姑蘇城外寒山寺,夜半鐘聲到客船”這裡的“姑蘇城”是哪座城市的別名？"	蘇州城	揚州城	0	0
117	1	1	10000	1	2	“阿爺無大兒，木蘭無長兄，願為市鞍馬，其中市是指？	去集市購買	去集市觀望	0	0
118	1	2	10000	1	2	一根竹竿兩個頭，兩根竹竿四個頭，三根半竹竿幾個頭？	8	7	0	0
119	1	1	10000	1	2	"一杯鹽水,含鹽量30%,現在放入7克水和3克鹽,這時杯子裡鹽水的含鹽量為多少？"	0.3	0.4	0	0
120	1	2	10000	2	2	維納斯是希臘神話中的什麼神？	幸運之神	愛神和美神	0	0
121	1	1	10000	1	2	蘋果成熟了以後。為什麼會自動掉到地上？	重力影響	心靈得到了淨化	0	0
122	1	2	10000	1	2	在古希臘古羅馬神話中的諸神中，被稱為“愛神”的是？	丘比特	雅典娜	0	0
123	1	1	10000	1	2	“救人一命，勝造七級浮屠。”其中浮屠的意思是？	寶塔	善心	0	0
124	1	2	10000	2	2	中國的很多省市都有獨特的別稱，被稱為“山城”的是哪個城市？	昆明	重慶	0	0
125	1	1	10000	2	2	“床前明月光”的明月光是指我們所看到的？	太陽光	月亮光	0	0
126	1	2	10000	1	2	明朝著名的抗倭將領是？	戚繼光	黃繼光	0	0
127	1	1	10000	1	2	“破釜沉舟”這個典故說的是誰？	項羽	劉邦	0	0
128	1	2	10000	1	2	三國演義中的“臥龍”是？	諸葛亮	龐統	0	0
129	1	1	10000	1	2	相傳中國古代能作“掌上舞”的人是誰？	趙飛燕	楊玉環	0	0
130	1	2	10000	1	2	古代著名的兵書《孫子兵法》的作者是？	孫武	孫臏	0	0
131	1	1	10000	2	2	武則天在她的墓碑上都寫過什麼？	挖掘技術哪家強？	什麼都沒寫	0	0
132	1	2	10000	2	2	唐三彩主要是指哪三種色彩？	紅、黃、藍	黃、綠、白	0	0
133	1	1	10000	1	2	與“精忠報國”，“莫須有”等事件有關的歷史人物是？	嶽飛	張飛	0	0
134	1	2	10000	2	2	下面哪些全是古代四大才女中的人物？	貂蟬、西施、昭君	李清照、班昭	0	0
135	1	1	10000	1	2	中國古代名醫華佗為誰治病卻被殺害？	曹操	曹丕	0	0
136	1	2	10000	2	2	奧運會上的馬拉松比賽的起源與什麼有關？	抓小偷	戰爭	0	0
137	1	1	10000	2	2	《項羽本紀》記述項羽“破釜沉舟”是發生在什麼時候？	漳河之戰	钜鹿之戰	0	0
138	1	2	10000	1	2	“沉魚落雁，閉月羞花”，“沉魚”是指的哪一位？	西施	貂蟬	0	0
139	1	1	10000	1	2	傳說中的江南四大才子出生于什麼朝代？	明朝	清朝	0	0
140	1	2	10000	1	2	三國後期，魏國的哪位將領率先攻入蜀國的都城？	鄧艾	許諸	0	0
141	1	1	10000	1	2	“蒼天已死，黃天當立，歲在甲子，天下大吉”是哪次起義的口號？	黃巾軍起義	太平軍起義	0	0
142	1	2	10000	1	2	世界三大宗教不包括？	道教	佛教	0	0
143	1	1	10000	2	2	古詩名句“人生得意須盡歡”的下一句是什麼？	做鬼也風流	莫使金樽空對月	0	0
144	1	2	10000	1	2	楚辭中《九歌》和《離騷》的作者是誰？	屈原	李祥霆	0	0
145	1	1	10000	1	2	詩句“每逢佳節倍思親”中的“佳節”原意是指的哪個節日？	重陽節	母親節	0	0
146	1	2	10000	1	2	秦始皇大興土木，修建了世界聞名的工程，請問這個工程是什麼？	長城	頤和園	0	0
147	1	1	10000	1	2	韓熙載夜宴圖的作者是？	顧閎中	蘇東坡	0	0
148	1	2	10000	1	2	小時不識月，呼作白玉盤。出自哪位詩人之筆？	李白	杜甫	0	0
149	1	1	10000	1	2	“何以解憂，惟有杜康”的作者是？	曹操	劉備	0	0
150	1	2	10000	1	2	《小窗幽記》的作者是誰？	陳繼儒	陳龍	0	0
151	1	1	10000	2	2	<二十四品詩>的作者是	司馬師	司空圖	0	0
152	1	2	10000	2	2	古代書畫按風格來講，“工筆”繪畫注重	唯美秀麗	細緻寫實	0	0
153	1	1	10000	2	2	智者樂水，後一句是	愚者自語	仁者樂山	0	0
154	1	2	10000	1	2	古詩名句“人生若只如初見”的下句是	何事秋風悲畫扇	只奈何相見恨晚	0	0
155	1	1	10000	2	2	古詩名句“飄飄何所似，天地一沙鷗”的作者是	李白	杜甫	0	0
156	1	2	10000	1	2	“十年生死兩茫茫。不思量，自難忘。千古孤墳，無處話淒涼。”出自蘇軾的哪首詞	江城子	蘇東坡	0	0
157	1	1	10000	2	2	“落花時節又逢君”中的“君”指的是	李世民	李龜年	0	0
158	1	2	10000	1	2	“飛鳥盡，良弓藏，狡兔死，走狗烹”是誰最先說的	範蠡	李白	0	0
159	1	1	10000	2	2	古詩名句“人生自古誰無死，留取丹心照汗青”的作者是	李清照	文天祥	0	0
160	1	2	10000	2	2	西遊記中西行取經一共有幾人？	4	5	0	0
161	1	1	10000	1	2	泥菩薩過河，打一歇後語。	自身難保	游泳技術哪家強？	0	0
162	1	2	10000	1	2	小紅帽為什麼平胸？（猜一冷笑話）	被大野狼吃掉了	小胸胸去哪兒啦	0	0
163	1	1	10000	1	2	小白龍取經成功之後被封為什麼？	八部天龍	天龍八部	0	0
164	1	2	10000	1	2	有一個字很多人都會念錯，請問是什麼？（猜一腦筋急轉彎）	錯	焱	0	0
165	1	1	10000	2	2	豬八戒因為調戲誰而被貶入凡間？	曾志偉	嫦娥	0	0
166	1	2	10000	1	2	啞巴吃黃連。（打一歇後語）	有苦說不出	不知黃連苦	0	0
167	1	1	10000	2	2	西遊記中豬八戒會多少變？	34	36	0	0
168	1	2	10000	1	2	西遊記中觀音娘娘居住在哪裡？	南海落伽山	南海五指山	0	0
169	1	1	10000	2	2	西遊記的作者是誰？	六小齡童	吳承恩	0	0
170	1	2	10000	2	2	為請到諸葛亮出山，劉備幾次訪問茅廬？	2	3	0	0
171	1	1	10000	2	2	三國演義中草船借箭的主要人物是？	諸葛均	諸葛亮	0	0
172	1	2	10000	2	2	以下哪個選項中的人物沒有全部參與火燒赤壁？	諸葛亮、周瑜、甘寧	孫權、馬超、曹操	0	0
173	1	1	10000	1	2	諸葛亮還活在世界上的話會怎麼樣？	多了一個人	復興蜀漢	0	0
174	1	2	10000	1	2	2發子彈，打死煞筆鳥要1發，打死二比鳥要2發，獵人如何打死2只鳥（猜冷笑話）	二比鳥嚇煞筆了	一槍爆頭	0	0
175	1	1	10000	1	2	三國演義中鳳雛指的是誰？	龐統	黃月英	0	0
176	1	2	10000	2	2	三國演義中是誰萬軍從中救出了阿斗？	馬超	趙雲	0	0
177	1	1	10000	1	2	三國演義中是誰施計連環計讓呂布殺死了董卓？	王允	王力宏	0	0
178	1	2	10000	2	2	三國演義中是誰罵死了王朗？	曹操	諸葛亮	0	0
179	1	1	10000	1	2	世界上什麼人一下子變老?（猜一腦筋急轉彎）	新娘	老公	0	0
180	1	2	10000	1	2	三國演義中是誰因為不聽意見而丟了街亭？	馬謖	馬超	0	0
181	1	1	10000	1	2	"一隻企鵝,閑得沒事,拔自己毛玩。直到把毛拔光了，他說了句什麼？（猜一冷笑話）"	好冷	998根	0	0
182	1	2	10000	1	2	三國演義中最後是誰一統了三國？	司馬炎	司馬懿	0	0
183	1	1	10000	2	2	沉魚落雁閉月羞花中閉月指的是三國中的哪位人物？	小喬	貂蟬	0	0
184	1	2	10000	1	2	關羽被人們稱為什麼？	關聖帝君	關聖帝公	0	0
185	1	1	10000	1	2	茉莉花、太陽花、玫瑰花，哪一朵花最沒力？	茉莉花	玫瑰花	0	0
186	1	2	10000	2	2	希爾頓、香格里拉、凱悅，哪一家的服務生最沒禮貌？	凱悅	香格里拉	0	0
187	1	1	10000	1	2	酷酷哥、酷帥哥、帥酷哥，請問誰ㄉ老婆身體最虛弱？	酷酷哥	帥酷哥	0	0
188	1	2	10000	1	2	猴子最討厭什麼線？	平行線	感情線	0	0
189	1	1	10000	1	2	象皮、老虎皮、獅子皮哪一個比較不好？	象皮	獅子皮	0	0
190	1	2	10000	1	2	請問星星有多重	8公克	9公克	0	0
191	1	1	10000	1	2	請問誰殺了便當	值日生	服務生	0	0
192	1	2	10000	2	2	請問哪一位不屬於偶像團體5566的團員	孫協志	明道	0	0
193	1	1	10000	1	2	請問：歌詞“我當然不恨你，也從來不怨你”的歌名是什麼	承認	承諾	0	0
194	1	2	10000	1	2	請問以下哪一首是林俊傑的歌	黑暗騎士	黎明之後	0	0
195	1	1	10000	1	2	請問高雄以前叫什麼	打狗	高進	0	0
196	1	2	10000	2	2	請問大老二最大的牌是什麼	黑桃二	同花順	0	0
197	1	1	10000	1	2	請問三角函數sin中文名字是什麼	正弦函數	餘弦函數	0	0
198	1	2	10000	1	2	請問歌名剛好遇見你原曲演唱歌手為	李玉剛	李小剛	0	0
199	1	1	10000	2	2	請問以下哪位不是奔跑吧兄弟團的一員	李晨	范冰冰	0	0
200	1	2	10000	2	2	請問以下哪一位不是國光幫幫忙的主持人	孫鵬	孫楠	0	0
201	1	1	10000	1	2	請問號稱行走的CD是哪位藝人	林俊傑	林俊逸	0	0
202	1	2	10000	1	2	請問以下哪一個夜市不在台南市	新營夜市	大東夜市	0	0
203	1	1	10000	1	2	請問不鳴則已的下一句是什麼	一鳴驚人	一敗塗地	0	0
204	1	2	10000	1	2	請問古代人稱50歲是什麼之年	天命	古稀	0	0
205	1	1	10000	1	2	請問13-5+2等於多少	10	6	0	0
206	1	2	10000	1	2	請問12生肖排第七位的生肖是什麼	馬	龍	0	0
207	1	1	10000	1	2	請問2018年是什麼年	狗	馬	0	0
208	1	2	10000	2	2	請問13-(5+2)等於多少	10	6	0	0
209	1	1	10000	1	2	請問竹東舊名叫什麼	樹杞林	樹菲林	0	0
210	1	2	10000	1	2	請問以下哪一位不是偶像團體183CLUB的團員	孫協志	明道	0	0
211	1	1	10000	1	2	請問：歌詞“我的愛是顆沙，你眼裡只有他”的歌名是什麼	你那麼愛她	你那麼想他	0	0
