灵宠技能ID	技能等级	有效标志位	类型（0天赋、1金、2木、3水、4火、5土、6天（光）、7地（暗），大于1000为兽诀，客户端显示用）	颜色（0白，1绿，2蓝，3紫，4橙）	学习类型（同类型的学习上限共同）	学习上限	升级消耗道具	升级消耗道具数量	技能名字	出战对应技能ID	出战对应技能等级	出战属性池	技能释放几率	技能类型，0自动，1被动，2天赋	针对目标，位域：0无效，1灵宠，2主角	不出战对应属性池ID	灵宠等级要求	111标准剑客-该技能对此职业的修为	121高血-该技能对此职业的修为	131高防-该技能对此职业的修为	141高攻-该技能对此职业的修为	是否奥义	奥义转化技能（普通就填奥义，奥义就填普通）	奥义转化几率	出战技能描述	不战技能描述	技能图标前景	技能图标	是否合体技能
22110	1	1	1011	3	21	1	0	0	低级反弹	0	0	92211001	10000	1	1	92211002	0	692	692	692	692	0	22111	2000	灵宠被击法球：反弹5%伤害给攻击方；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率反弹5%伤害给攻击方	0	partner01_103	1
22011	1	1	1001	3	11	1	0	0	低级灵台之祭·奥义	0	0	92201003	10000	1	1	92201004	0	3095	3095	3095	3095	1	22010	0	对目标造成伤害加深20%，自身受到伤害加深10%	对目标造成伤害加深10%，自身受到伤害加深5%，同时命中增加5%	0	partner01_027	1
22021	1	1	1002	3	12	1	0	0	低级尔虞我诈·奥义	0	0	92202003	10000	1	1	92202004	0	3095	3095	3095	3095	1	22020	0	受到伤害减免20%，对目标造成伤害减少10%	受到伤害减免10%，对目标造成伤害减少5%，同时韧性增加5%	0	partner01_031	1
22031	1	1	1003	3	13	1	0	0	低级霸王气息·奥义	0	0	92203003	10000	1	1	92203004	0	3095	3095	3095	3095	1	22030	0	灵宠暴击伤害提升到260%	主角暴击伤害提升到230%，同时暴击减免增加15%	0	partner01_012	1
22041	1	1	1004	3	14	1	0	0	低级吸血·奥义	0	0	92204003	10000	1	0	92204004	0	3095	3095	3095	3095	1	22040	0	灵宠攻击法球：攻击时有50%几率回复相当于攻击20%的生命值	主角攻击法球：10%几率回复相当于攻击20%的生命值，同时专注增加5%	0	partner01_001	1
22051	1	1	1005	3	15	1	0	0	低级连击·奥义	0	0	92205003	10000	1	0	92205004	0	3095	3095	3095	3095	1	22050	0	灵宠攻击法球：攻击时有10%几率对目标额外造成63%混合伤害	主角攻击法球：5%几率对目标额外造成63%混合伤害，同时穿透增加5%	0	partner01_021	1
22061	1	1	1006	3	16	1	0	0	低级震荡·奥义	0	0	92206003	10000	1	0	92206004	0	3095	3095	3095	3095	1	22060	0	灵宠攻击法球：攻击时有8%几率眩晕目标1.5秒	主角攻击法球：4%几率眩晕目标1.5秒，同时穿透增加5%	0	partner01_501	1
22071	1	1	1007	3	17	1	0	0	低级禁锢·奥义	0	0	92207003	10000	1	0	92207004	0	3095	3095	3095	3095	1	22070	0	灵宠攻击法球：攻击时有8%几率定身目标2.5秒	主角攻击法球：4%几率定身目标2.5秒，同时命中增加5%	0	partner01_601	1
22081	1	1	1008	3	18	1	0	0	低级沉默·奥义	0	0	92208003	10000	1	0	92208004	0	3095	3095	3095	3095	1	22080	0	灵宠攻击法球：攻击时有8%几率沉默目标2秒	主角攻击法球：4%几率沉默目标2秒，同时专注增加5%	0	partner01_702	1
22091	1	1	1009	3	19	1	0	0	低级减速·奥义	0	0	92209003	10000	1	0	92209004	0	3095	3095	3095	3095	1	22090	0	灵宠攻击法球：攻击时使目标减速20%，持续2秒	主角攻击法球：20%几率使目标减速20%，持续2秒，同时命中增加5%	0	partner01_301	1
22101	1	1	1010	3	20	1	0	0	低级回复·奥义	0	0	92210003	10000	1	1	92210004	0	3095	3095	3095	3095	1	22100	0	灵宠被击法球：回复自身10%生命值，冷却15秒	主角被击法球：20%几率回复自身10%生命值，冷却15秒，同时韧性增加5%	0	partner01_306	1
22111	1	1	1011	3	21	1	0	0	低级反弹·奥义	0	0	92211003	10000	1	1	92211004	0	3095	3095	3095	3095	1	22110	0	灵宠被击法球：反弹10%伤害给攻击方	主角被击法球：20%几率反弹10%伤害给攻击方，同时韧性增加5%	0	partner01_103	1
23010	1	1	1001	4	11	1	0	0	中级灵台之祭	0	0	92301001	10000	1	1	92301002	0	2455	2455	2455	2455	0	23011	2000	对目标造成伤害加深20%，自身受到伤害加深10%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	对目标造成伤害加深10%，自身受到伤害加深5%	0	partner01_027	1
23020	1	1	1002	4	12	1	0	0	中级尔虞我诈	0	0	92302001	10000	1	1	92302002	0	2455	2455	2455	2455	0	23021	2000	受到伤害减免20%，对目标造成伤害减少10%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	受到伤害减免10%，对目标造成伤害减少5%	0	partner01_031	1
23030	1	1	1003	4	13	1	0	0	中级霸王气息	0	0	92303001	10000	1	1	92303002	0	2455	2455	2455	2455	0	23031	2000	灵宠暴击伤害提升到260%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角暴击伤害提升到230%	0	partner01_012	1
23040	1	1	1004	4	14	1	0	0	中级吸血	0	0	92304001	10000	1	0	92304002	0	2455	2455	2455	2455	0	23041	2000	灵宠攻击法球：攻击时有50%几率回复相当于攻击20%的生命值；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：10%几率回复相当于攻击20%的生命值	0	partner01_001	1
23050	1	1	1005	4	15	1	0	0	中级连击	0	0	92305001	10000	1	0	92305002	0	2455	2455	2455	2455	0	23051	2000	灵宠攻击法球：攻击时有10%几率对目标额外造成63%混合伤害；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率对目标额外造成63%混合伤害	0	partner01_021	1
23060	1	1	1006	4	16	1	0	0	中级震荡	0	0	92306001	10000	1	0	92306002	0	2455	2455	2455	2455	0	23061	2000	灵宠攻击法球：攻击时有8%几率眩晕目标1.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：4%几率眩晕目标1.5秒	0	partner01_501	1
23070	1	1	1007	4	17	1	0	0	中级禁锢	0	0	92307001	10000	1	0	92307002	0	2455	2455	2455	2455	0	23071	2000	灵宠攻击法球：攻击时有8%几率定身目标2.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：4%几率定身目标2.5秒	0	partner01_601	1
23080	1	1	1008	4	18	1	0	0	中级沉默	0	0	92308001	10000	1	0	92308002	0	2455	2455	2455	2455	0	23081	2000	灵宠攻击法球：攻击时有8%几率沉默目标2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：4%几率沉默目标2秒	0	partner01_702	1
23090	1	1	1009	4	19	1	0	0	中级减速	0	0	92309001	10000	1	0	92309002	0	2455	2455	2455	2455	0	23091	2000	灵宠攻击法球：攻击时使目标减速20%，持续2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：20%几率使目标减速20%，持续2秒	0	partner01_301	1
23100	1	1	1010	4	20	1	0	0	中级回复	0	0	92310001	10000	1	1	92310002	0	2455	2455	2455	2455	0	23101	2000	灵宠被击法球：回复自身10%生命值，冷却15秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率回复自身10%生命值，冷却15秒	0	partner01_306	1
23110	1	1	1011	4	21	1	0	0	中级反弹	0	0	92311001	10000	1	1	92311002	0	2455	2455	2455	2455	0	23111	2000	灵宠被击法球：反弹10%伤害给攻击方；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率反弹10%伤害给攻击方	0	partner01_103	1
23011	1	1	1001	4	11	1	0	0	中级灵台之祭·奥义	0	0	92301003	10000	1	1	92301004	0	7045	7045	7045	7045	1	23010	0	对目标造成伤害加深30%，自身受到伤害加深15%	对目标造成伤害加深15%，自身受到伤害加深7.5%，同时命中增加10%	0	partner01_027	1
23021	1	1	1002	4	12	1	0	0	中级尔虞我诈·奥义	0	0	92302003	10000	1	1	92302004	0	7045	7045	7045	7045	1	23020	0	受到伤害减免30%，对目标造成伤害减少15%	受到伤害减免15%，对目标造成伤害减少7.5%，同时韧性增加10%	0	partner01_031	1
23031	1	1	1003	4	13	1	0	0	中级霸王气息·奥义	0	0	92303003	10000	1	1	92303004	0	7045	7045	7045	7045	1	23030	0	灵宠暴击伤害提升到300%	主角暴击伤害提升到250%，同时暴击减免增加25%	0	partner01_012	1
23041	1	1	1004	4	14	1	0	0	中级吸血·奥义	0	0	92304003	10000	1	0	92304004	0	7045	7045	7045	7045	1	23040	0	灵宠攻击法球：攻击时有50%几率回复相当于攻击30%的生命值	主角攻击法球：10%几率回复相当于攻击30%的生命值，同时专注增加10%	0	partner01_001	1
23051	1	1	1005	4	15	1	0	0	中级连击·奥义	0	0	92305003	10000	1	0	92305004	0	7045	7045	7045	7045	1	23050	0	灵宠攻击法球：攻击时有10%几率对目标额外造成75%混合伤害	主角攻击法球：5%几率对目标额外造成75%混合伤害，同时穿透增加10%	0	partner01_021	1
23061	1	1	1006	4	16	1	0	0	中级震荡·奥义	0	0	92306003	10000	1	0	92306004	0	7045	7045	7045	7045	1	23060	0	灵宠攻击法球：攻击时有10%几率眩晕目标1.5秒	主角攻击法球：5%几率眩晕目标1.5秒，同时穿透增加10%	0	partner01_501	1
23071	1	1	1007	4	17	1	0	0	中级禁锢·奥义	0	0	92307003	10000	1	0	92307004	0	7045	7045	7045	7045	1	23070	0	灵宠攻击法球：攻击时有10%几率定身目标2.5秒	主角攻击法球：5%几率定身目标2.5秒，同时命中增加10%	0	partner01_601	1
23081	1	1	1008	4	18	1	0	0	中级沉默·奥义	0	0	92308003	10000	1	0	92308004	0	7045	7045	7045	7045	1	23080	0	灵宠攻击法球：攻击时有10%几率沉默目标2秒	主角攻击法球：5%几率沉默目标2秒，同时专注增加10%	0	partner01_702	1
23091	1	1	1009	4	19	1	0	0	中级减速·奥义	0	0	92309003	10000	1	0	92309004	0	7045	7045	7045	7045	1	23090	0	灵宠攻击法球：攻击时使目标减速30%，持续2秒	主角攻击法球：20%几率使目标减速30%，持续2秒，同时命中增加10%	0	partner01_301	1
23101	1	1	1010	4	20	1	0	0	中级回复·奥义	0	0	92310003	10000	1	1	92310004	0	7045	7045	7045	7045	1	23100	0	灵宠被击法球：回复自身15%生命值，冷却15秒	主角被击法球：20%几率回复自身15%生命值，冷却15秒，同时韧性增加10%	0	partner01_306	1
23111	1	1	1011	4	21	1	0	0	中级反弹·奥义	0	0	92311003	10000	1	1	92311004	0	7045	7045	7045	7045	1	23110	0	灵宠被击法球：反弹15%伤害给攻击方	主角被击法球：20%几率反弹15%伤害给攻击方，同时韧性增加10%	0	partner01_103	1
24010	1	1	1001	6	11	1	0	0	高级灵台之祭	0	0	92401001	10000	1	1	92401002	0	5020	5020	5020	5020	0	24011	2000	对目标造成伤害加深30%，自身受到伤害加深15%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	对目标造成伤害加深15%，自身受到伤害加深7.5%	0	partner01_027	1
24020	1	1	1002	6	12	1	0	0	高级尔虞我诈	0	0	92402001	10000	1	1	92402002	0	5020	5020	5020	5020	0	24021	2000	受到伤害减免30%，对目标造成伤害减少15%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	受到伤害减免15%，对目标造成伤害减少7.5%	0	partner01_031	1
24030	1	1	1003	6	13	1	0	0	高级霸王气息	0	0	92403001	10000	1	1	92403002	0	5020	5020	5020	5020	0	24031	2000	灵宠暴击伤害提升到300%；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角暴击伤害提升到250%	0	partner01_012	1
24040	1	1	1004	6	14	1	0	0	高级吸血	0	0	92404001	10000	1	0	92404002	0	5020	5020	5020	5020	0	24041	2000	灵宠攻击法球：攻击时有50%几率回复相当于攻击30%的生命值；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：10%几率回复相当于攻击30%的生命值	0	partner01_001	1
24050	1	1	1005	6	15	1	0	0	高级连击	0	0	92405001	10000	1	0	92405002	0	5020	5020	5020	5020	0	24051	2000	灵宠攻击法球：攻击时有10%几率对目标额外造成75%混合伤害；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率对目标额外造成75%混合伤害	0	partner01_021	1
24060	1	1	1006	6	16	1	0	0	高级震荡	0	0	92406001	10000	1	0	92406002	0	5020	5020	5020	5020	0	24061	2000	灵宠攻击法球：攻击时有10%几率眩晕目标1.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率眩晕目标1.5秒	0	partner01_501	1
24070	1	1	1007	6	17	1	0	0	高级禁锢	0	0	92407001	10000	1	0	92407002	0	5020	5020	5020	5020	0	24071	2000	灵宠攻击法球：攻击时有10%几率定身目标2.5秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率定身目标2.5秒	0	partner01_601	1
24080	1	1	1008	6	18	1	0	0	高级沉默	0	0	92408001	10000	1	0	92408002	0	5020	5020	5020	5020	0	24081	2000	灵宠攻击法球：攻击时有10%几率沉默目标2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：5%几率沉默目标2秒	0	partner01_702	1
24090	1	1	1009	6	19	1	0	0	高级减速	0	0	92409001	10000	1	0	92409002	0	5020	5020	5020	5020	0	24091	2000	灵宠攻击法球：攻击时使目标减速30%，持续2秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角攻击法球：20%几率使目标减速30%，持续2秒	0	partner01_301	1
24100	1	1	1010	6	20	1	0	0	高级回复	0	0	92410001	10000	1	1	92410002	0	5020	5020	5020	5020	0	24101	2000	灵宠被击法球：回复自身15%生命值，冷却15秒；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率回复自身15%生命值，冷却15秒	0	partner01_306	1
24110	1	1	1011	6	21	1	0	0	高级反弹	0	0	92411001	10000	1	1	92411002	0	5020	5020	5020	5020	0	24111	2000	灵宠被击法球：反弹15%伤害给攻击方；\n重复学习该技能有概率获得<color=#2dbf53>奥义技能</color>，但可能遗忘已有奥义	主角被击法球：20%几率反弹15%伤害给攻击方	0	partner01_103	1
24011	1	1	1001	6	11	1	0	0	高级灵台之祭·奥义	0	0	92401003	10000	1	1	92401004	0	15040	15040	15040	15040	1	24010	0	对目标造成伤害加深30%，自身受到伤害加深10%	对目标造成伤害加深15%，自身受到伤害加深5%，同时命中增加15%	0	partner01_027	1
24021	1	1	1002	6	12	1	0	0	高级尔虞我诈·奥义	0	0	92402003	10000	1	1	92402004	0	15040	15040	15040	15040	1	24020	0	受到伤害减免30%，对目标造成伤害减少10%	受到伤害减免15%，对目标造成伤害减少5%，同时韧性增加15%	0	partner01_031	1
24031	1	1	1003	6	13	1	0	0	高级霸王气息·奥义	0	0	92403003	10000	1	1	92403004	0	15040	15040	15040	15040	1	24030	0	灵宠暴击伤害提升到340%	主角暴击伤害提升到270%，同时暴击减免增加35%	0	partner01_012	1
24041	1	1	1004	6	14	1	0	0	高级吸血·奥义	0	0	92404003	10000	1	0	92404004	0	15040	15040	15040	15040	1	24040	0	灵宠攻击法球：攻击时有50%几率回复相当于攻击40%的生命值	主角攻击法球：10%几率回复相当于攻击40%的生命值，同时专注增加15%	0	partner01_001	1
24051	1	1	1005	6	15	1	0	0	高级连击·奥义	0	0	92405003	10000	1	0	92405004	0	15040	15040	15040	15040	1	24050	0	灵宠攻击法球：攻击时有10%几率对目标额外造成88%混合伤害	主角攻击法球：5%几率对目标额外造成88%混合伤害，同时穿透增加15%	0	partner01_021	1
24061	1	1	1006	6	16	1	0	0	高级震荡·奥义	0	0	92406003	10000	1	0	92406004	0	15040	15040	15040	15040	1	24060	0	灵宠攻击法球：攻击时有12.5%几率眩晕目标1.5秒	主角攻击法球：7%几率眩晕目标1.5秒，同时穿透增加15%	0	partner01_501	1
24071	1	1	1007	6	17	1	0	0	高级禁锢·奥义	0	0	92407003	10000	1	0	92407004	0	15040	15040	15040	15040	1	24070	0	灵宠攻击法球：攻击时有12.5%几率定身目标2.5秒	主角攻击法球：7%几率定身目标2.5秒，同时命中增加15%	0	partner01_601	1
24081	1	1	1008	6	18	1	0	0	高级沉默·奥义	0	0	92408003	10000	1	0	92408004	0	15040	15040	15040	15040	1	24080	0	灵宠攻击法球：攻击时有12.5%几率沉默目标2秒	主角攻击法球：7%几率沉默目标2秒，同时专注增加15%	0	partner01_702	1
24091	1	1	1009	6	19	1	0	0	高级减速·奥义	0	0	92409003	10000	1	0	92409004	0	15040	15040	15040	15040	1	24090	0	灵宠攻击法球：攻击时使目标减速40%，持续2秒	主角攻击法球：20%几率使目标减速40%，持续2秒，同时命中增加15%	0	partner01_301	1
24101	1	1	1010	6	20	1	0	0	高级回复·奥义	0	0	92410003	10000	1	1	92410004	0	15040	15040	15040	15040	1	24100	0	灵宠被击法球：回复自身20%生命值，冷却15秒	主角被击法球：20%几率回复自身20%生命值，冷却15秒，同时韧性增加15%	0	partner01_306	1
24111	1	1	1011	6	21	1	0	0	高级反弹·奥义	0	0	92411003	10000	1	1	92411004	0	15040	15040	15040	15040	1	24110	0	灵宠被击法球：反弹20%伤害给攻击方	主角被击法球：20%几率反弹20%伤害给攻击方，同时韧性增加15%	0	partner01_103	1
31010	1	1	0	2	1	1	410300000	2	低级炎皇火刹	23401	1	0	10000	0	0	93101021	40	1046	1046	1046	1046	0	0	0	对目标造成156%双攻击+1729点伤害，冷却15秒	主角攻击法球：对目标造成156%双攻击+1729点伤害，冷却15秒	0	partner01_405	1
31020	1	1	0	2	1	1	410300000	2	低级狂击	23005	1	0	10000	0	0	93102021	40	1046	1046	1046	1046	0	0	0	对目标造成62%双攻击+693点伤害，冷却6秒	主角攻击法球：对目标造成62%双攻击+693点伤害，冷却6秒	0	partner01_101	1
31030	1	1	0	2	1	1	410300000	2	低级离火之灼	23502	1	0	10000	0	0	93103021	40	1046	1046	1046	1046	0	0	0	对目标造成50%双攻击+554点伤害，冷却12秒	主角攻击法球：对目标造成50%双攻击+554点伤害，冷却12秒	0	partner01_402	1
31040	1	1	0	3	1	1	410300000	4	中级炎皇火刹	23401	4	0	10000	0	0	93104021	40	1927	1927	1927	1927	0	0	0	对目标造成156%双攻击+1958点伤害，冷却15秒	主角攻击法球：对目标造成156%双攻击+1958点伤害，冷却15秒	0	partner01_405	1
31050	1	1	0	3	1	1	410300000	4	中级狂击	23005	4	0	10000	0	0	93105021	40	1927	1927	1927	1927	0	0	0	对目标造成62%双攻击+784点伤害，冷却6秒	主角攻击法球：对目标造成62%双攻击+784点伤害，冷却6秒	0	partner01_101	1
31060	1	1	0	3	1	1	410300000	4	中级离火之灼	23502	4	0	10000	0	0	93106021	40	1927	1927	1927	1927	0	0	0	对目标造成50%双攻击+627点伤害，冷却12秒	主角攻击法球：对目标造成50%双攻击+627点伤害，冷却12秒	0	partner01_402	1
31070	1	1	0	4	1	1	410300000	8	高级炎皇火刹	23401	8	0	10000	0	0	93107021	40	4112	4112	4112	4112	0	0	0	对目标造成182%双攻击+2672点伤害，冷却15秒	主角攻击法球：对目标造成182%双攻击+2672点伤害，冷却15秒	0	partner01_405	1
31080	1	1	0	4	1	1	410300000	8	高级狂击	23005	8	0	10000	0	0	93108021	40	4112	4112	4112	4112	0	0	0	对目标造成73%双攻击+1069点伤害，冷却6秒	主角攻击法球：对目标造成73%双攻击+1069点伤害，冷却6秒	0	partner01_101	1
31090	1	1	0	4	1	1	410300000	8	高级离火之灼	23502	8	0	10000	0	0	93109021	40	4112	4112	4112	4112	0	0	0	对目标造成58%双攻击+856点伤害，冷却12秒	主角攻击法球：对目标造成58%双攻击+856点伤害，冷却12秒	0	partner01_402	1
31100	1	1	0	4	1	1	410300000	8	高级天罡雷罚	23602	8	0	10000	0	0	93110021	40	4112	4112	4112	4112	0	0	0	造成目标最大生命值5%+23076点真实伤害，冷却15秒（对怪物无效）	主角攻击法球：造成目标最大生命值5%+23076点真实伤害，冷却15秒（对怪物无效）	0	partner01_602	1
31110	1	1	0	4	1	1	410300000	8	高级三尸狱蛊	23702	8	0	10000	0	0	93111021	40	4112	4112	4112	4112	0	0	0	对目标每秒造成17%双攻击+256点伤害，并恢复自身1%+4615点生命，持续5秒，冷却12秒	主角攻击法球：对目标每秒造成17%双攻击+256点伤害，并恢复自身1%+4615点生命，持续5秒，冷却12秒	0	partner01_702	1
32010	1	1	0	2	1	1	410300000	2	低级震地	23006	1	0	10000	0	0	93201021	40	1046	1046	1046	1046	0	0	0	对范围内多个目标造成93%双攻击+1037点伤害，冷却15秒	主角攻击法球：对目标造成93%双攻击+1037点伤害，冷却15秒	0	partner01_022	1
32020	1	1	0	2	1	1	410300000	2	低级怒浪涛天	23007	1	0	10000	0	0	93202021	40	1046	1046	1046	1046	0	0	0	对范围内多个目标造成37%双攻击+416点伤害，冷却6秒	主角攻击法球：对目标造成37%双攻击+416点伤害，冷却6秒	0	partner01_023	1
