id	valid	name	pro	level	等级系数（关联world_civ_mod)	模型路径	模型名字	"npc功能类型,服务器没用(1对话npc，2战斗npc，3服务器采集，4动态障碍，5陷阱，6客户端采集)"	AI_ID（服务器战斗AI）	公共掉落ID1	公共掉落ID2	公共掉落ID3	单人掉落ID	出生时间	出生表现（技能id）	行为ID（NPC_BASE_ACTION）	缩放scale	reserve_1(0小兵1基地2普通塔3安全塔)	reserve_2(碰撞触发事件)	reserve_3(用来更新哪一个任务ID进度，默认第一条进度，为0，则不更新)	reserve_4(NPC动态血量机制触发时的玩家数量下限)	reserve_5(NPC动态血量控制触发后每增减一个玩家的血量百分比变化，总血量暂时程序写死最多3倍)	reserve_6(特殊NPC位域：0正常npc，1该npc不能被机器人攻击，2经验宝宝，但是只是触发一次掉落，4出现和消失是否需要全地图通知，8不攻击NPC的NPC，16是否属于家族掉落，32是否有采集累计次数，64是否属于个人独占掉落)	reserve_7（攻击指定NPC，需要两个NPC间都这里有配置，以三位数来代表，表示只打和我相同十位和个位的怪物。百位没有数字：打任何怪物，十位和个位为被固定打怪NPC的匹配参数，例如A配了23，B配了123，则B可以打A，但是A不能打B）	reserve_8(客户端触发的服务器事件ID，检测用)	reserve_9(黑户触发事件)	reserve_10（虚拟血量计算方式，1默认计算正常血量，2只按虚拟血量计算，3虚拟血量和正常血量同时扣除）	客户端AI	缩放前的被击范围（缩放后的是就是乘缩放倍数）	死亡表现（技能ID）	出生自带buff（buffID）(客户端服务器都有效)	buff持续时间（服务器有效）	NPC血量变化自动全地图广播【最大血量百分比】，配置100以下为服务器主动广播，100以上则需要客户端主动拉取	npc类别（0为非专属，1为个人专属，2为队伍专属，3为帮派专属）	reserve_11（预留字段）	reserve_12（预留字段）	reserve_13（预留字段）	reserve_14（预留字段）	reserve_15（预留字段）	收集的任务ID	任务的第几个条件	血条UI	死亡灰尘延迟（早填负值）	步伐速度	"hud类型（0无hud，1角色hud，2NPChud,3NPC大血条与血条显示互斥）"	血条缩放	死亡音效	出生音效	被击音效	点击音效1	点击音效2	点击音效3	是否显示名字（0不显示，1显示）	是否可以被击浮空（1不击飞）	npc称号	npc血条显示(0不显示，1显示)	npc是否跟随玩家点击而旋转(0旋转，1不旋转)	npc品质（1绿，2蓝，3紫，4橙）	npc专属名字（显示在称号下）	低端机模型路径	低端机模型名字	展示模型名字	展示模型名字（ioS点击问题，标1会有虚拟框）
112	1	昆仑男	1001	1	0	actors/nan	DL_jiannan	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_jiannan	DL_jiannan	0
122	1	昆仑女	1001	1	0	actors/nv	DL_jianke_nv	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_jianke_nv	DL_jianke_nv	0
212	1	琉璃女	1001	1	0	actors/yuling	DL_yuling	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/yuling	DL_yuling	DL_yuling	0
222	1	琉璃男	1001	1	0	actors/zhengtai	DL_zhengtai	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/zhengtai	DL_zhengtai	DL_zhengtai	0
312	1	乾坤男	1001	1	0	actors/nan	DL_daoke	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_daoke	DL_daoke	0
322	1	乾坤女	1001	1	0	actors/nv	DL_daoke_nv	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_daoke_nv	DL_daoke_nv	0
412	1	凤鸣男	1001	1	0	actors/nan	DL_gongshou_nan	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_gongshou_nan	DL_gongshou_nan	0
422	1	凤鸣女	1001	1	0	actors/nv	DL_gongshou	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_gongshou	DL_gongshou	0
113	1	时装1昆仑男	1001	1	0	actors/nan	DL_SZ01_jiannan	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ01_jiannan	DL_SZ01_jiannan	0
123	1	时装1昆仑女	1001	1	0	actors/nv	DL_SZ01_jiannv	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ01_jiannv	DL_SZ01_jiannv	0
213	1	时装1琉璃女	1001	1	0	actors/yuling	DL_SZ01_zhangnv	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/yuling	DL_SZ01_zhangnv	DL_SZ01_zhangnv	0
223	1	时装1琉璃男	1001	1	0	actors/zhengtai	DL_SZ01_zhangnan	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/zhengtai	DL_SZ01_zhangnan	DL_SZ01_zhangnan	0
313	1	时装1乾坤男	1001	1	0	actors/nan	DL_SZ01_daonan	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ01_daonan	DL_SZ01_daonan	0
323	1	时装1乾坤女	1001	1	0	actors/nv	DL_SZ01_daonv	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ01_daonv	DL_SZ01_daonv	0
413	1	时装1凤鸣男	1001	1	0	actors/nan	DL_SZ01_gongnan	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ01_gongnan	DL_SZ01_gongnan	0
423	1	时装1凤鸣女	1001	1	0	actors/nv	DL_SZ01_gongnv	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ01_gongnv	DL_SZ01_gongnv	0
114	1	时装2昆仑男	1001	1	0	actors/nan	DL_SZ02_jiannan	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ02_jiannan	DL_SZ02_jiannan	0
124	1	时装2昆仑女	1001	1	0	actors/nv	DL_SZ02_jiannv	1	0	0	0	0	0	500	0	11	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ02_jiannv	DL_SZ02_jiannv	0
214	1	时装2琉璃女	1001	1	0	actors/yuling	DL_SZ02_zhangnv	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/yuling	DL_SZ02_zhangnv	DL_SZ02_zhangnv	0
224	1	时装2琉璃男	1001	1	0	actors/zhengtai	DL_SZ02_zhangnan	1	0	0	0	0	0	500	0	21	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/zhengtai	DL_SZ02_zhangnan	DL_SZ02_zhangnan	0
314	1	时装2乾坤男	1001	1	0	actors/nan	DL_SZ02_daonan	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ02_daonan	DL_SZ02_daonan	0
324	1	时装2乾坤女	1001	1	0	actors/nv	DL_SZ02_daonv	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ02_daonv	DL_SZ02_daonv	0
414	1	时装2凤鸣男	1001	1	0	actors/nan	DL_SZ02_gongnan	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nan	DL_SZ02_gongnan	DL_SZ02_gongnan	0
424	1	时装2凤鸣女	1001	1	0	actors/nv	DL_SZ02_gongnv	1	0	0	0	0	0	500	0	31	1	0	0	0	0	0	0	0	0	0	1	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	actors/nv	DL_SZ02_gongnv	DL_SZ02_gongnv	0
10001	1	烟尘生	1001	1	0	npc/human/ccs	ccs	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	ccs	0
10002	1	路人	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10003	1	慕府门卫	1001	1	0	npc/human/jiaoshi	jiaoshi	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	jiaoshi	0
10004	1	慕府夫人	1001	1	0	npc/human/xufuren	xufuren02	1	0	0	0	0	0	500	0	10000	0.9	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/nvzhu	s_yinyi	xufuren02	0
10005	1	芸儿	1001	1	0	npc/human/shuanger	shuanger	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/nvzhu	s_yinyi	shuanger	0
10006	1	慕萧辰	1001	1	0	npc/human/tang	tangtang_bianse	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	tangtang_bianse	0
10007	1	打手	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10008	1	家丁	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10009	1	兽族考生	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10010	1	余嬷嬷	1001	1	0	npc/human/ningpopo	ningpopo	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/nvzhu	s_yinyi	ningpopo	0
10011	1	碎星阙老师	1001	1	0	npc/human/xueyuanlaoshi	xueyuanlaoshi	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	xueyuanlaoshi	0
10012	1	元嬷嬷	1001	1	0	npc/human/ningpopo	ningpopo	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/nvzhu	s_yinyi	ningpopo	0
10014	1	路人	1001	1	0	npc/human/tiandaojiaoyu	tiandaojiaoyu	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/wangzhice	s_wangzhice	tiandaojiaoyu	0
10015	1	学生	1001	1	0	npc/human/shuanger	shuanger	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/nvzhu	s_yinyi	shuanger	0
10016	1	考生	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10017	1	家丁	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10018	1	路人	1001	1	0	npc/human/jiaoshi	jiaoshi	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	jiaoshi	0
10019	1	神秘使者	1001	1	0	npc/human/xinjiaoshi	xinjiaoshi01	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	xinjiaoshi01	0
10020	1	路人	1001	1	0	npc/human/lurenjia02	lurenjia02	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	lurenjia02	0
10021	1	烟尘生	1001	1	0	npc/human/ccs	ccs	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	ccs	0
10023	1	道教院老师	1001	1	0	npc/human/tiandaojiaoyu	tiandaojiaoyu	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/wangzhice	s_wangzhice	tiandaojiaoyu	0
10024	1	宗灵所老师	1001	1	0	npc/human/xueyuanlaoshi	xueyuanlaoshi	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/ccs	s_yanchensheng	xueyuanlaoshi	0
10025	1	玄教院老师	1001	1	0	npc/human/tiandaojiaoyu	tiandaojiaoyu	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/wangzhice	s_wangzhice	tiandaojiaoyu	0
10028	1	碎星阙训导	1001	1	0	npc/human/tiandaojiaoyu	tiandaojiaoyu	1	0	0	0	0	0	500	0	10000	1	0	0	0	0	0	0	0	0	0	1	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	npc/human/wangzhice	s_wangzhice	tiandaojiaoyu	0
