奖励ID（抽奖表要保持连贯性，中间不要出现有效值为0或者中断跳字的情况，活动ID参数不是主键，要注意参数ID不同的奖励ID不能相同——会导致前面参数的数据被服务器读取跳过，最多到256）	所属境界	抽奖档次(1青铜抽奖、2白银抽奖、3黄金抽奖)	有效标志	活动ID参数	出现几率（低价档）	出现几率（中价档随机3个）	出现几率（高价档随机1个）	获得几率	第1次重抽	第2~5次重抽	第6次及以上重抽	奖励类型（1货币，2道具）	奖励物品ID(货币枚举：1感悟，2军功，3威望，4荣誉，5贡献，6体力，7神识，8学分，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	奖励数量	奖励倍数	奖励参数	触发事件	最多出现次数（注意这个次数是低、中、高三档共用的，如果某个东西三档里都有，而次数都出现在低价档里了，那另外两档就都随不到他了）	状态限制	是否广播	时间限制（时间限制ID，主要和活动关联决定这个玩家能不能出现在奖池里的）	是否高价值（大于0有特效，大于2在奖池中显示，数值越大则排序越靠前）	次数限制ID	底图颜色
1	22	1	1	0	5000	0	0	1000	500	600	400	1	200	530000	1	0	0	4	0	0	0	0	0	2
1	23	1	1	0	5000	0	0	1000	500	600	400	1	200	1060000	1	0	0	4	0	0	0	0	0	2
1	24	1	1	0	5000	0	0	1000	500	600	400	1	200	1060000	1	0	0	4	0	0	0	0	0	2
1	25	1	1	0	5000	0	0	1000	500	600	400	1	200	1060000	1	0	0	4	0	0	0	0	0	2
2	0	1	1	0	2800	0	0	1000	500	600	400	1	203	10000	1	0	0	4	0	0	0	0	0	2
2	1	1	1	0	2800	0	0	1000	500	600	400	1	203	10000	1	0	0	4	0	0	0	0	0	2
2	2	1	1	0	2800	0	0	1000	500	600	400	1	203	10000	1	0	0	4	0	0	0	0	0	2
2	3	1	1	0	2800	0	0	1000	500	600	400	1	203	10000	1	0	0	4	0	0	0	0	0	2
2	4	1	1	0	2800	0	0	1000	500	600	400	1	203	10000	1	0	0	4	0	0	0	0	0	2
2	5	1	1	0	2800	0	0	1000	500	600	400	1	203	12000	1	0	0	4	0	0	0	0	0	2
2	6	1	1	0	2800	0	0	1000	500	600	400	1	203	12000	1	0	0	4	0	0	0	0	0	2
2	7	1	1	0	2800	0	0	1000	500	600	400	1	203	12000	1	0	0	4	0	0	0	0	0	2
2	8	1	1	0	2800	0	0	1000	500	600	400	1	203	14000	1	0	0	4	0	0	0	0	0	2
2	9	1	1	0	2800	0	0	1000	500	600	400	1	203	14000	1	0	0	4	0	0	0	0	0	2
2	10	1	1	0	2800	0	0	1000	500	600	400	1	203	14000	1	0	0	4	0	0	0	0	0	2
2	11	1	1	0	2800	0	0	1000	500	600	400	1	203	17000	1	0	0	4	0	0	0	0	0	2
2	12	1	1	0	2800	0	0	1000	500	600	400	1	203	17000	1	0	0	4	0	0	0	0	0	2
2	13	1	1	0	2800	0	0	1000	500	600	400	1	203	17000	1	0	0	4	0	0	0	0	0	2
2	14	1	1	0	2800	0	0	1000	500	600	400	1	203	21000	1	0	0	4	0	0	0	0	0	2
2	15	1	1	0	2800	0	0	1000	500	600	400	1	203	21000	1	0	0	4	0	0	0	0	0	2
2	16	1	1	0	2800	0	0	1000	500	600	400	1	203	21000	1	0	0	4	0	0	0	0	0	2
2	17	1	1	0	2800	0	0	1000	500	600	400	1	203	25000	1	0	0	4	0	0	0	0	0	2
2	18	1	1	0	2800	0	0	1000	500	600	400	1	203	25000	1	0	0	4	0	0	0	0	0	2
2	19	1	1	0	2800	0	0	1000	500	600	400	1	203	25000	1	0	0	4	0	0	0	0	0	2
2	20	1	1	0	2800	0	0	1000	500	600	400	1	203	30000	1	0	0	4	0	0	0	0	0	2
2	21	1	1	0	2800	0	0	1000	500	600	400	1	203	30000	1	0	0	4	0	0	0	0	0	2
2	22	1	1	0	2800	0	0	1000	500	600	400	1	203	30000	1	0	0	4	0	0	0	0	0	2
2	23	1	1	0	2800	0	0	1000	500	600	400	1	203	35000	1	0	0	4	0	0	0	0	0	2
2	24	1	1	0	2800	0	0	1000	500	600	400	1	203	35000	1	0	0	4	0	0	0	0	0	2
2	25	1	1	0	2800	0	0	1000	500	600	400	1	203	35000	1	0	0	4	0	0	0	0	0	2
3	0	1	1	0	0	3450	0	500	1500	1000	800	1	203	10000	4	0	0	1	0	0	0	1	0	3
3	1	1	1	0	0	3450	0	500	1500	1000	800	1	203	10000	4	0	0	1	0	0	0	1	0	3
3	2	1	1	0	0	3450	0	500	1500	1000	800	1	203	10000	4	0	0	1	0	0	0	1	0	3
3	3	1	1	0	0	3450	0	500	1500	1000	800	1	203	10000	4	0	0	1	0	0	0	1	0	3
3	4	1	1	0	0	3450	0	500	1500	1000	800	1	203	10000	4	0	0	1	0	0	0	1	0	3
3	5	1	1	0	0	3450	0	500	1500	1000	800	1	203	12000	4	0	0	1	0	0	0	1	0	3
3	6	1	1	0	0	3450	0	500	1500	1000	800	1	203	12000	4	0	0	1	0	0	0	1	0	3
3	7	1	1	0	0	3450	0	500	1500	1000	800	1	203	12000	4	0	0	1	0	0	0	1	0	3
3	8	1	1	0	0	3450	0	500	1500	1000	800	1	203	14000	4	0	0	1	0	0	0	1	0	3
3	9	1	1	0	0	3450	0	500	1500	1000	800	1	203	14000	4	0	0	1	0	0	0	1	0	3
3	10	1	1	0	0	3450	0	500	1500	1000	800	1	203	14000	4	0	0	1	0	0	0	1	0	3
3	11	1	1	0	0	3350	0	500	1500	1000	800	1	203	17000	4	0	0	1	0	0	0	1	0	3
3	12	1	1	0	0	3350	0	500	1500	1000	800	1	203	17000	4	0	0	1	0	0	0	1	0	3
3	13	1	1	0	0	3350	0	500	1500	1000	800	1	203	17000	4	0	0	1	0	0	0	1	0	3
3	14	1	1	0	0	3350	0	500	1500	1000	800	1	203	21000	4	0	0	1	0	0	0	1	0	3
3	15	1	1	0	0	3350	0	500	1500	1000	800	1	203	21000	4	0	0	1	0	0	0	1	0	3
3	16	1	1	0	0	3350	0	500	1500	1000	800	1	203	21000	4	0	0	1	0	0	0	1	0	3
3	17	1	1	0	0	3350	0	500	1500	1000	800	1	203	25000	4	0	0	1	0	0	0	1	0	3
3	18	1	1	0	0	3350	0	500	1500	1000	800	1	203	25000	4	0	0	1	0	0	0	1	0	3
3	19	1	1	0	0	3350	0	500	1500	1000	800	1	203	25000	4	0	0	1	0	0	0	1	0	3
3	20	1	1	0	0	3350	0	500	1500	1000	800	1	203	30000	4	0	0	1	0	0	0	1	0	3
3	21	1	1	0	0	3350	0	500	1500	1000	800	1	203	30000	4	0	0	1	0	0	0	1	0	3
3	22	1	1	0	0	3350	0	500	1500	1000	800	1	203	30000	4	0	0	1	0	0	0	1	0	3
3	23	1	1	0	0	3350	0	500	1500	1000	800	1	203	35000	4	0	0	1	0	0	0	1	0	3
3	24	1	1	0	0	3350	0	500	1500	1000	800	1	203	35000	4	0	0	1	0	0	0	1	0	3
3	25	1	1	0	0	3350	0	500	1500	1000	800	1	203	35000	4	0	0	1	0	0	0	1	0	3
4	0	1	1	0	0	0	4433	100	200	250	300	1	203	10000	8	0	0	1	0	1	0	3	0	4
4	1	1	1	0	0	0	4433	100	200	250	300	1	203	10000	8	0	0	1	0	1	0	3	0	4
4	2	1	1	0	0	0	4433	100	200	250	300	1	203	10000	8	0	0	1	0	1	0	3	0	4
4	3	1	1	0	0	0	4433	100	200	250	300	1	203	10000	8	0	0	1	0	1	0	3	0	4
4	4	1	1	0	0	0	4433	100	200	250	300	1	203	10000	8	0	0	1	0	1	0	3	0	4
4	5	1	1	0	0	0	4433	100	200	250	300	1	203	12000	8	0	0	1	0	1	0	3	0	4
4	6	1	1	0	0	0	4433	100	200	250	300	1	203	12000	8	0	0	1	0	1	0	3	0	4
4	7	1	1	0	0	0	4433	100	200	250	300	1	203	12000	8	0	0	1	0	1	0	3	0	4
4	8	1	1	0	0	0	4433	100	200	250	300	1	203	14000	8	0	0	1	0	1	0	3	0	4
4	9	1	1	0	0	0	4433	100	200	250	300	1	203	14000	8	0	0	1	0	1	0	3	0	4
4	10	1	1	0	0	0	4433	100	200	250	300	1	203	14000	8	0	0	1	0	1	0	3	0	4
4	11	1	1	0	0	0	4433	100	200	250	300	1	203	17000	8	0	0	1	0	1	0	3	0	4
4	12	1	1	0	0	0	4433	100	200	250	300	1	203	17000	8	0	0	1	0	1	0	3	0	4
4	13	1	1	0	0	0	4433	100	200	250	300	1	203	17000	8	0	0	1	0	1	0	3	0	4
4	14	1	1	0	0	0	4433	100	200	250	300	1	203	21000	8	0	0	1	0	1	0	3	0	4
4	15	1	1	0	0	0	4433	100	200	250	300	1	203	21000	8	0	0	1	0	1	0	3	0	4
4	16	1	1	0	0	0	4433	100	200	250	300	1	203	21000	8	0	0	1	0	1	0	3	0	4
4	17	1	1	0	0	0	4433	100	200	250	300	1	203	25000	8	0	0	1	0	1	0	3	0	4
4	18	1	1	0	0	0	4433	100	200	250	300	1	203	25000	8	0	0	1	0	1	0	3	0	4
4	19	1	1	0	0	0	4433	100	200	250	300	1	203	25000	8	0	0	1	0	1	0	3	0	4
4	20	1	1	0	0	0	4483	100	200	250	300	1	203	30000	8	0	0	1	0	1	0	3	0	4
4	21	1	1	0	0	0	4483	100	200	250	300	1	203	30000	8	0	0	1	0	1	0	3	0	4
4	22	1	1	0	0	0	4483	100	200	250	300	1	203	30000	8	0	0	1	0	1	0	3	0	4
4	23	1	1	0	0	0	4483	100	200	250	300	1	203	35000	8	0	0	1	0	1	0	3	0	4
4	24	1	1	0	0	0	4483	100	200	250	300	1	203	35000	8	0	0	1	0	1	0	3	0	4
4	25	1	1	0	0	0	4483	100	200	250	300	1	203	35000	8	0	0	1	0	1	0	3	0	4
5	0	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	1	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	2	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	3	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	4	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	5	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	6	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	7	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	8	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	9	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	10	1	1	0	1200	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	11	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	12	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	13	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	14	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	15	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	16	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	17	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	18	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	19	1	1	0	600	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	20	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	21	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	22	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	23	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	24	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
5	25	1	1	0	300	0	0	1000	500	600	400	2	400130101	1	1	0	0	4	0	0	0	0	0	0
6	0	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	1	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	2	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	3	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	4	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	5	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	6	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	7	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	8	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	9	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	10	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	1	0	0	6	0	0	0	0	0	0
6	11	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	12	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	13	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	14	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	15	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	16	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	17	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	18	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	19	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	20	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	21	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	22	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	23	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	24	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
6	25	1	1	0	600	0	0	1000	500	600	400	2	400140101	1	1	0	0	4	0	0	0	0	0	0
7	0	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	1	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	2	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	3	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	4	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	5	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	6	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	7	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	8	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	9	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	10	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	11	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	12	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	13	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	14	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	15	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	16	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	17	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	18	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	19	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	1	0	0	6	0	0	0	0	0	0
7	20	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
7	21	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
7	22	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
7	23	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
7	24	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
7	25	1	1	0	300	0	0	1000	500	600	400	2	400150101	1	1	0	0	4	0	0	0	0	0	0
8	0	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	1	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	2	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	3	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	4	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	5	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	6	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	7	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	8	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	9	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	10	1	1	0	0	850	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	11	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	12	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	13	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	14	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	15	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	16	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	17	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	18	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	19	1	1	0	0	425	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	20	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	21	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	22	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	23	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	24	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
8	25	1	1	0	0	213	0	500	1500	1000	800	2	400130101	1	2	0	0	1	0	1	0	1	0	0
9	0	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	1	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	2	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	3	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	4	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	5	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	6	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	7	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	8	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	9	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	10	1	1	0	0	0	0	1000	0	0	0	2	400140101	1	2	0	0	6	0	1	0	0	0	0
9	11	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	12	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	13	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	14	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	15	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	16	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	17	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	18	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	19	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	20	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	21	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	22	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	23	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	24	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
9	25	1	1	0	0	425	0	500	1500	1000	800	2	400140101	1	2	0	0	1	0	1	0	1	0	0
10	0	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	2	0	0	6	0	1	0	0	0	0
10	1	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	2	0	0	6	0	1	0	0	0	0
10	2	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	2	0	0	6	0	1	0	0	0	0
10	3	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	2	0	0	6	0	1	0	0	0	0
10	4	1	1	0	0	0	0	1000	0	0	0	2	400150101	1	2	0	0	6	0	1	0	0	0	0
