主类型（等级1，境界2，道藏3，道藏数量4，穿装备11，强化12，精炼13，宝石14，附加属性数15，完美属性数16，宝石数17，技能21，法器数22，血脉数23，等级武学数量24，伙伴数31，伙伴境界32，74宝石雕琢）	有效标志	副类型	流水ID（主、副类型都相同时，通过这个来区分）	条件参数1	条件参数2	条件参数3	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5
11	1	53100130	4	0	0	0	2608	0	0	0	0
11	1	54100120	4	0	0	0	2608	0	0	0	0
11	1	54100130	4	0	0	0	2608	0	0	0	0
11	1	51101120	1	0	0	0	2006	0	0	0	0
11	1	52101120	1	0	0	0	2006	0	0	0	0
11	1	53101120	1	0	0	0	2006	0	0	0	0
11	1	54101120	1	0	0	0	2006	0	0	0	0
11	1	61100120	2	0	0	0	809	2609	0	0	0
11	1	62100120	2	0	0	0	809	2609	0	0	0
11	1	63100120	2	0	0	0	809	2609	0	0	0
11	1	64100120	2	0	0	0	809	2609	0	0	0
11	1	64100120	3	3	0	0	2609	0	0	0	0
11	1	64100120	4	3	0	0	2609	0	0	0	0
11	1	64100120	5	3	0	0	2609	0	0	0	0
11	1	64100120	6	3	0	0	2609	0	0	0	0
11	1	64100120	7	6	0	0	2609	0	0	0	0
11	1	64100120	8	6	0	0	2609	0	0	0	0
11	1	64100120	9	6	0	0	2609	0	0	0	0
11	1	64100120	10	6	0	0	2609	0	0	0	0
11	1	61101120	1	0	0	0	746	2007	0	0	0
11	1	62101120	1	0	0	0	746	2007	0	0	0
11	1	63101120	1	0	0	0	746	2007	0	0	0
11	1	64101120	1	0	0	0	746	2007	0	0	0
11	1	71100120	1	3	0	0	1716	0	0	0	0
11	1	72100120	1	3	0	0	1716	0	0	0	0
11	1	73100120	1	3	0	0	1716	0	0	0	0
11	1	74100120	1	3	0	0	1716	0	0	0	0
11	1	71101120	1	0	0	0	746	2008	0	0	0
11	1	72101120	1	0	0	0	746	2008	0	0	0
11	1	73101120	1	0	0	0	746	2008	0	0	0
11	1	74101120	1	0	0	0	746	2008	0	0	0
11	1	81100120	1	3	0	0	1715	0	0	0	0
11	1	82100120	1	3	0	0	1715	0	0	0	0
11	1	83100120	1	3	0	0	1715	0	0	0	0
11	1	84100120	1	3	0	0	1715	0	0	0	0
11	1	81101120	1	0	0	0	746	2009	0	0	0
11	1	82101120	1	0	0	0	746	2009	0	0	0
11	1	83101120	1	0	0	0	746	2009	0	0	0
11	1	84101120	1	0	0	0	746	2009	0	0	0
11	1	91100120	1	0	0	0	1714	0	0	0	0
11	1	92100120	1	0	0	0	1714	0	0	0	0
11	1	93100120	1	0	0	0	1714	0	0	0	0
11	1	94100120	1	0	0	0	1714	0	0	0	0
11	1	91100130	1	0	0	0	1714	0	0	0	0
11	1	92100130	1	0	0	0	1714	0	0	0	0
11	1	93100130	1	0	0	0	1714	0	0	0	0
11	1	94100130	1	0	0	0	1714	0	0	0	0
11	1	91101120	1	0	0	0	746	2010	0	0	0
11	1	92101120	1	0	0	0	746	2010	0	0	0
11	1	93101120	1	0	0	0	746	2010	0	0	0
11	1	94101120	1	0	0	0	746	2010	0	0	0
11	1	1101130	2	0	0	0	748	810	2011	0	0
11	1	2101130	2	0	0	0	748	810	2011	0	0
11	1	3101130	2	0	0	0	748	810	2011	0	0
11	1	4101130	2	0	0	0	748	810	2011	0	0
11	1	1101140	1	0	0	0	748	810	2011	0	0
11	1	2101140	1	0	0	0	748	810	2011	0	0
11	1	3101140	1	0	0	0	748	810	2011	0	0
11	1	4101140	1	0	0	0	748	810	2011	0	0
11	1	1101150	1	0	0	0	748	810	2011	0	0
11	1	2101150	1	0	0	0	748	810	2011	0	0
11	1	3101150	1	0	0	0	748	810	2011	0	0
11	1	4101150	1	0	0	0	748	810	2011	0	0
11	1	11101130	1	0	0	0	723	813	2012	0	0
11	1	12101130	1	0	0	0	723	813	2012	0	0
11	1	13101130	1	0	0	0	723	813	2012	0	0
11	1	14101130	1	0	0	0	723	813	2012	0	0
11	1	11101140	1	0	0	0	723	813	2012	0	0
11	1	12101140	1	0	0	0	723	813	2012	0	0
11	1	13101140	1	0	0	0	723	813	2012	0	0
11	1	14101140	1	0	0	0	723	813	2012	0	0
11	1	11101150	1	0	0	0	723	813	2012	0	0
11	1	12101150	1	0	0	0	723	813	2012	0	0
11	1	13101150	1	0	0	0	723	813	2012	0	0
11	1	14101150	1	0	0	0	723	813	2012	0	0
11	1	21101130	1	0	0	0	727	825	2013	0	0
11	1	22101130	1	0	0	0	727	825	2013	0	0
11	1	23101130	1	0	0	0	727	825	2013	0	0
11	1	24101130	1	0	0	0	727	825	2013	0	0
11	1	21101140	1	0	0	0	727	825	2013	0	0
11	1	22101140	1	0	0	0	727	825	2013	0	0
11	1	23101140	1	0	0	0	727	825	2013	0	0
11	1	24101140	1	0	0	0	727	825	2013	0	0
11	1	21101150	1	0	0	0	727	825	2013	0	0
11	1	22101150	1	0	0	0	727	825	2013	0	0
11	1	23101150	1	0	0	0	727	825	2013	0	0
11	1	24101150	1	0	0	0	727	825	2013	0	0
11	1	31101130	1	0	0	0	725	821	2014	0	0
11	1	32101130	1	0	0	0	725	821	2014	0	0
11	1	33101130	1	0	0	0	725	821	2014	0	0
11	1	34101130	1	0	0	0	725	821	2014	0	0
11	1	31101140	1	0	0	0	725	821	2014	0	0
11	1	32101140	1	0	0	0	725	821	2014	0	0
11	1	33101140	1	0	0	0	725	821	2014	0	0
11	1	34101140	1	0	0	0	725	821	2014	0	0
11	1	31101150	1	0	0	0	725	821	2014	0	0
11	1	32101150	1	0	0	0	725	821	2014	0	0
11	1	33101150	1	0	0	0	725	821	2014	0	0
11	1	34101150	1	0	0	0	725	821	2014	0	0
11	1	41100130	2	0	0	0	758	0	0	0	0
11	1	42100130	2	0	0	0	758	0	0	0	0
11	1	43100130	2	0	0	0	758	0	0	0	0
11	1	44100130	2	0	0	0	758	0	0	0	0
11	1	41100130	3	3	0	0	827	0	0	0	0
11	1	42100130	3	3	0	0	827	0	0	0	0
11	1	43100130	3	3	0	0	827	0	0	0	0
11	1	44100130	3	3	0	0	827	0	0	0	0
11	1	41101130	1	0	0	0	2015	0	0	0	0
11	1	42101130	1	0	0	0	2015	0	0	0	0
11	1	43101130	1	0	0	0	2015	0	0	0	0
11	1	44101130	1	0	0	0	2015	0	0	0	0
11	1	51100130	5	0	0	0	2608	0	0	0	0
11	1	52100130	5	0	0	0	2608	0	0	0	0
11	1	53100130	5	0	0	0	2608	0	0	0	0
11	1	54100130	5	0	0	0	2608	0	0	0	0
11	1	51100130	6	3	0	0	820	2608	0	0	0
11	1	52100130	6	3	0	0	820	2608	0	0	0
11	1	53100130	6	3	0	0	820	2608	0	0	0
11	1	54100130	6	3	0	0	820	2608	0	0	0
11	1	51100130	7	6	0	0	820	2608	0	0	0
11	1	52100130	7	6	0	0	820	2608	0	0	0
11	1	53100130	7	6	0	0	820	2608	0	0	0
11	1	54100130	7	6	0	0	820	2608	0	0	0
11	1	51101130	1	0	0	0	2016	0	0	0	0
11	1	52101130	1	0	0	0	2016	0	0	0	0
11	1	53101130	1	0	0	0	2016	0	0	0	0
11	1	54101130	1	0	0	0	2016	0	0	0	0
11	1	61100130	2	0	0	0	2609	0	0	0	0
11	1	62100130	2	0	0	0	2609	0	0	0	0
11	1	63100130	2	0	0	0	2609	0	0	0	0
11	1	64100130	2	0	0	0	2609	0	0	0	0
11	1	61100130	3	3	0	0	826	2609	0	0	0
11	1	62100130	3	3	0	0	826	2609	0	0	0
11	1	63100130	3	3	0	0	826	2609	0	0	0
11	1	64100130	3	3	0	0	826	2609	0	0	0
11	1	61100130	4	3	0	0	826	2609	0	0	0
11	1	62100130	4	3	0	0	826	2609	0	0	0
11	1	63100130	4	3	0	0	826	2609	0	0	0
11	1	64100130	4	3	0	0	826	2609	0	0	0
11	1	61101130	1	0	0	0	2017	0	0	0	0
11	1	62101130	1	0	0	0	2017	0	0	0	0
11	1	63101130	1	0	0	0	2017	0	0	0	0
11	1	64101130	1	0	0	0	2017	0	0	0	0
11	1	71100130	1	0	0	0	757	0	0	0	0
11	1	71100130	2	3	0	0	823	0	0	0	0
11	1	72100130	1	0	0	0	757	0	0	0	0
11	1	72100130	2	3	0	0	823	0	0	0	0
11	1	73100130	1	0	0	0	757	0	0	0	0
11	1	73100130	2	3	0	0	823	0	0	0	0
11	1	74100130	1	0	0	0	757	0	0	0	0
11	1	74100130	2	3	0	0	823	0	0	0	0
11	1	71101130	1	0	0	0	2018	0	0	0	0
11	1	72101130	1	0	0	0	2018	0	0	0	0
11	1	73101130	1	0	0	0	2018	0	0	0	0
11	1	74101130	1	0	0	0	2018	0	0	0	0
11	1	81100130	1	0	0	0	756	0	0	0	0
11	1	81100130	2	3	0	0	822	0	0	0	0
11	1	82100130	1	0	0	0	756	0	0	0	0
11	1	82100130	2	3	0	0	822	0	0	0	0
11	1	83100130	1	0	0	0	756	0	0	0	0
11	1	83100130	2	3	0	0	822	0	0	0	0
11	1	84100130	1	0	0	0	756	0	0	0	0
11	1	84100130	2	3	0	0	822	0	0	0	0
11	1	81101130	1	0	0	0	2019	0	0	0	0
11	1	82101130	1	0	0	0	2019	0	0	0	0
11	1	83101130	1	0	0	0	2019	0	0	0	0
11	1	84101130	1	0	0	0	2019	0	0	0	0
11	1	91100130	2	0	0	0	759	0	0	0	0
11	1	91100130	3	3	0	0	828	0	0	0	0
11	1	92100130	2	0	0	0	759	0	0	0	0
11	1	92100130	3	3	0	0	828	0	0	0	0
11	1	93100130	2	0	0	0	759	0	0	0	0
11	1	93100130	3	3	0	0	828	0	0	0	0
11	1	94100130	2	0	0	0	759	0	0	0	0
11	1	94100130	3	3	0	0	828	0	0	0	0
11	1	91101130	1	0	0	0	2020	0	0	0	0
11	1	92101130	1	0	0	0	2020	0	0	0	0
11	1	93101130	1	0	0	0	2020	0	0	0	0
11	1	94101130	1	0	0	0	2020	0	0	0	0
11	1	1101140	2	0	0	0	836	730	2021	0	0
11	1	2101140	2	0	0	0	836	730	2021	0	0
11	1	3101140	2	0	0	0	836	730	2021	0	0
11	1	4101140	2	0	0	0	836	730	2021	0	0
11	1	11101140	2	0	0	0	837	2022	0	0	0
11	1	12101140	2	0	0	0	837	2022	0	0	0
11	1	13101140	2	0	0	0	837	2022	0	0	0
11	1	14101140	2	0	0	0	837	2022	0	0	0
11	1	21101140	2	0	0	0	843	2023	0	0	0
11	1	22101140	2	0	0	0	843	2023	0	0	0
11	1	23101140	2	0	0	0	843	2023	0	0	0
11	1	24101140	2	0	0	0	843	2023	0	0	0
11	1	31101140	2	0	0	0	842	2024	0	0	0
11	1	32101140	2	0	0	0	842	2024	0	0	0
11	1	33101140	2	0	0	0	842	2024	0	0	0
11	1	34101140	2	0	0	0	842	2024	0	0	0
11	1	41100140	1	3	0	0	844	0	0	0	0
11	1	42100140	1	3	0	0	844	0	0	0	0
11	1	43100140	1	3	0	0	844	0	0	0	0
11	1	44100140	1	3	0	0	844	0	0	0	0
11	1	41101140	1	0	0	0	2025	0	0	0	0
11	1	42101140	1	0	0	0	2025	0	0	0	0
11	1	43101140	1	0	0	0	2025	0	0	0	0
