缘分ID	有效标志位	缘分名字	激活要求伙伴1，伙伴携带ID	激活要求伙伴2	激活要求伙伴3	激活要求伙伴4	激活要求伙伴5	激活要求伙伴6	属性类型1，属性类型枚举	属性类型1固定值	属性类型2	属性类型2固定值	属性类型3	属性类型3固定值	要求描述	效果描述
3012	1	难兄难弟	18	0	0	0	0	0	74	2500	0	0	0	0	拥有<color=#aa6cc2>蓝精怪</color>	破招+25%
3013	1	狼狈为奸	12	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#aa6cc2>狼妖</color>	攻击+15%
3014	1	互相利用	15	0	0	0	0	0	3068	1500	3071	1500	0	0	拥有<color=#aa6cc2>足八</color>	防御+15%
3015	1	无声无息	19	0	0	0	0	0	11	2500	0	0	0	0	拥有<color=#aa6cc2>红精怪</color>	穿透+25%
3016	1	种族恩怨	13	0	0	0	0	0	3067	1500	3070	1500	0	0	拥有<color=#aa6cc2>熊精</color>	攻击+15%
3017	1	互相利用	14	0	0	0	0	0	3072	1500	0	0	0	0	拥有<color=#aa6cc2>魔豺射手</color>	生命+15%
3018	1	并肩作战	19	0	0	0	0	0	6	2500	0	0	0	0	拥有<color=#aa6cc2>红精怪</color>	闪避+25%
3019	1	红烧鱼	11	0	0	0	0	0	3067	2000	3070	2000	0	0	拥有<color=#aa6cc2>魔族巫师</color>	攻击+20%
3020	1	院门对峙	1	2	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#4895b2>猩猩、大鹏</color>、<color=#4895b2>唐三十六</color>	生命+20%
3021	1	天敌	2	0	0	0	0	0	3067	2000	3070	2000	0	0	拥有<color=#4895b2>大鹏</color>	攻击+20%
3022	1	抓鱼	10	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>腱兽</color>	生命+20%
3023	1	夜战份子	12	0	0	0	0	0	3068	2000	3071	2000	0	0	拥有<color=#aa6cc2>狼妖</color>	防御+20%
3024	1	难兄难弟	13	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>熊精</color>	生命+20%
3025	1	无声无息	14	0	0	0	0	0	3068	2000	3071	2000	0	0	拥有<color=#aa6cc2>魔豺射手</color>	防御+20%
3026	1	并肩作战	15	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>足八</color>	生命+20%
3027	1	一锤一个	17	0	0	0	0	0	3068	2300	3071	2300	0	0	拥有<color=#4895b2>红人鱼</color>	防御+23%
3028	1	吹捧	26	0	0	0	0	0	3072	2300	0	0	0	0	拥有<color=#42ffd6>侍魔</color>	生命+23%
3029	1	三剑客	21	2	0	0	0	0	6	2500	0	0	0	0	拥有<color=#42ffd6>魔弑者</color>、<color=#4895b2>大鹏</color>	闪避+25%
3030	1	坐骑	99	0	0	0	0	0	10	2000	0	0	0	0	拥有<color=#42ffd6>角羊</color>	格挡+20%
3031	1	合作	20	2	0	0	0	0	3067	2000	3070	2000	0	0	拥有<color=#42ffd6>巨锤</color>、<color=#4895b2>大鹏</color>	攻击+20%
3032	1	三足鼎立	1	11	0	0	0	0	3072	2200	0	0	0	0	拥有<color=#4895b2>猩猩</color>、<color=#aa6cc2>魔族巫师</color>	生命+22%
3033	1	同族	27	0	0	0	0	0	7	2700	0	0	0	0	拥有<color=#42ffd6>魔族刺客</color>	暴击+27%
3034	1	捕杀	99	0	0	0	0	0	3067	1000	3070	1000	5	1500	拥有<color=#42ffd6>角羊</color>	攻击+10%，命中+15%
3035	1	姐妹	23	0	0	0	0	0	3067	1600	3070	1600	0	0	拥有<color=#42ffd6>画翠</color>	攻击+16%
3036	1	伙伴	29	0	0	0	0	0	74	2800	0	0	0	0	拥有<color=#42ffd6>冰灵</color>	破招+28%
3037	1	手下	18	19	0	0	0	0	7	2700	0	0	0	0	拥有<color=#aa6cc2>蓝精怪</color>、<color=#aa6cc2>红精怪</color>	暴击+27%
3038	1	屠杀	99	0	0	0	0	0	3072	2200	0	0	0	0	拥有<color=#42ffd6>角羊</color>	生命+22%
3039	1	姐妹	22	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#42ffd6>凝秋</color>	生命+20%
3040	1	仇家	28	0	0	0	0	0	7	2200	0	0	0	0	拥有<color=#42ffd6>火灵</color>	暴击+22%
3041	1	打手	18	19	0	0	0	0	74	2800	0	0	0	0	拥有<color=#aa6cc2>蓝精怪</color>、<color=#aa6cc2>红精怪</color>	破招+28%
3042	1	拯救	99	0	0	0	0	0	3067	2400	3070	2400	0	0	拥有<color=#42ffd6>角羊</color>	攻击+24%
3043	1	水火不容	25	0	0	0	0	0	3067	1800	3070	1800	0	0	拥有<color=#42ffd6>寒冰女巫</color>	攻击+18%
3044	1	默契	28	0	0	0	0	0	3068	2500	3071	2500	0	0	拥有<color=#42ffd6>火灵</color>	防御+25%
3045	1	巴结	13	14	0	0	0	0	11	3000	0	0	0	0	拥有<color=#aa6cc2>熊精</color>、<color=#aa6cc2>魔豺射手</color>	穿透+30%
3046	1	亲近	100	0	0	0	0	0	3072	1800	0	0	0	0	拥有<color=#42ffd6>赤犬</color>	生命+18%
3047	1	水火不容	24	0	0	0	0	0	3067	1800	3070	1800	0	0	拥有<color=#42ffd6>绯红女巫</color>	攻击+18%
3048	1	默契	29	0	0	0	0	0	3068	2500	3071	2500	0	0	拥有<color=#42ffd6>冰灵</color>	防御+25%
3049	1	巴结	13	14	0	0	0	0	11	3000	0	0	0	0	拥有<color=#aa6cc2>熊精</color>、<color=#aa6cc2>魔豺射手</color>	穿透+30%
3050	1	躲避	100	0	0	0	0	0	3072	1800	0	0	0	0	拥有<color=#42ffd6>赤犬</color>	生命+18%
3051	1	吹捧	20	0	0	0	0	0	3067	2000	3070	2000	0	0	拥有<color=#42ffd6>巨锤</color>	攻击+22%
3052	1	感恩	17	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>红人鱼</color>	生命+22%
3053	1	同道中人	101	0	0	0	0	0	11	1800	0	0	0	0	拥有<color=#42ffd6>奉魔者</color>	穿透+18%
3054	1	同族	21	0	0	0	0	0	3067	2000	3070	2000	0	0	拥有<color=#42ffd6>魔弑者</color>	攻击+22%
3055	1	狼子野心	12	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>狼妖</color>	生命+22%
3056	1	烹饪	99	0	0	0	0	0	11	1800	0	0	0	0	拥有<color=#42ffd6>角羊</color>	穿透+18%
3057	1	默契	24	0	0	0	0	0	3068	2000	3071	2000	0	0	拥有<color=#42ffd6>绯红女巫</color>	防御+22%
3058	1	暴脾气	19	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>红精怪</color>	生命+22%
3059	1	仇家	23	0	0	0	0	0	75	1800	0	0	0	0	拥有<color=#42ffd6>画翠</color>	专注+18%
3060	1	默契	25	0	0	0	0	0	3068	2000	3071	2000	0	0	拥有<color=#42ffd6>寒冰女巫</color>	防御+22%
3061	1	沉着冷静	13	0	0	0	0	0	3072	2000	0	0	0	0	拥有<color=#aa6cc2>蓝精怪</color>	生命+22%
3062	1	伙伴	22	0	0	0	0	0	75	1800	0	0	0	0	拥有<color=#42ffd6>凝秋</color>	专注+18%
