限制ID（0-599为个人日限制(201-220为刷新商店专用，221-400为商品购买专用)600-679 周次数限制，680-699 月次数限制，700-749为小时限制，750-900为新增日次数限制，901~950为新增周次数限制，951~999新增月次数限制，帮派次数限制(日次数限制1000-1099，周次数限制1100-1149，月次数限制1150-1200)）	有效标志位	vip等级	次数限制	回复次数	是否客户端可见	名字	备注
27	1	18	2	2	1	0	上古遗迹（经验）一天2次
27	1	19	2	2	1	0	上古遗迹（经验）一天2次
27	1	20	2	2	1	0	上古遗迹（经验）一天2次
28	1	0	1	1	1	0	每日只能参加1次试炼之地
29	1	0	1	1	1	0	迷宫奖励一天1次
30	1	0	1	1	1	0	攻城战次数
31	1	0	18	6	1	0	打宝前6次感受1级保底
32	1	0	30	10	1	0	打宝前10次感受2级保底
33	1	0	4	4	1	0	每日付费刷新经文任务
33	1	1	4	4	1	0	每日付费刷新经文任务
33	1	2	4	4	1	0	每日付费刷新经文任务
33	1	3	10	10	1	0	每日付费刷新经文任务
33	1	4	10	10	1	0	每日付费刷新经文任务
33	1	5	10	10	1	0	每日付费刷新经文任务
33	1	6	10	10	1	0	每日付费刷新经文任务
33	1	7	15	15	1	0	每日付费刷新经文任务
33	1	8	15	15	1	0	每日付费刷新经文任务
33	1	9	15	15	1	0	每日付费刷新经文任务
33	1	10	15	15	1	0	每日付费刷新经文任务
33	1	11	20	20	1	0	每日付费刷新经文任务
33	1	12	20	20	1	0	每日付费刷新经文任务
33	1	13	20	20	1	0	每日付费刷新经文任务
33	1	14	20	20	1	0	每日付费刷新经文任务
33	1	15	30	30	1	0	每日付费刷新经文任务
33	1	16	30	30	1	0	每日付费刷新经文任务
33	1	17	30	30	1	0	每日付费刷新经文任务
33	1	18	30	30	1	0	每日付费刷新经文任务
33	1	19	40	40	1	0	每日付费刷新经文任务
33	1	20	40	40	1	0	每日付费刷新经文任务
34	1	0	99999	0	0	0	免费刷新经文任务次数记录
35	1	0	1	0	0	0	青铜首抽
36	1	0	4	4	1	0	晶石矿的每日使用次数
36	1	1	5	5	1	0	晶石矿的每日使用次数
36	1	2	5	5	1	0	晶石矿的每日使用次数
36	1	3	5	5	1	0	晶石矿的每日使用次数
36	1	4	5	5	1	0	晶石矿的每日使用次数
36	1	5	5	5	1	0	晶石矿的每日使用次数
36	1	6	5	5	1	0	晶石矿的每日使用次数
36	1	7	5	5	1	0	晶石矿的每日使用次数
36	1	8	5	5	1	0	晶石矿的每日使用次数
36	1	9	5	5	1	0	晶石矿的每日使用次数
36	1	10	5	5	1	0	晶石矿的每日使用次数
36	1	11	5	5	1	0	晶石矿的每日使用次数
36	1	12	5	5	1	0	晶石矿的每日使用次数
36	1	13	5	5	1	0	晶石矿的每日使用次数
36	1	14	5	5	1	0	晶石矿的每日使用次数
36	1	15	5	5	1	0	晶石矿的每日使用次数
36	1	16	5	5	1	0	晶石矿的每日使用次数
36	1	17	5	5	1	0	晶石矿的每日使用次数
36	1	18	5	5	1	0	晶石矿的每日使用次数
36	1	19	5	5	1	0	晶石矿的每日使用次数
36	1	20	5	5	1	0	晶石矿的每日使用次数
37	1	0	4	4	1	0	元宝转绑元的每日使用次数
38	1	0	4	4	1	0	现金转晶石的每日使用次数
39	1	0	100	100	1	0	帮派兑换库每日可以放入的最大道具数量上限
40	1	0	20	20	1	0	每天归墟获得星魂数量
41	1	0	1	1	1	0	每日只能参与一次学院观碑大会
42	1	0	1	0	0	0	军功商店首购的职业法器
43	1	0	3	0	0	0	第一次获得符印物
44	1	0	3	0	0	0	第一次获得符印法
45	1	0	2	2	1	0	战场每日参与2次，客户端写死，服务器配地图消耗里
46	1	0	3	3	0	0	开服七天天降财富，每日最多3个魂晶
47	1	0	1	0	0	0	诵读1次经文
48	1	0	1	1	1	0	每天阵营刺探敌国1
49	1	0	1	1	1	0	每天封小妖1轮
50	1	0	3	3	1	0	每天封妖王3次
51	1	0	999	999	1	0	夺旗每秒跳奖励计数
52	1	0	1	1	1	0	种植任务每天做1次
53	1	0	1	1	1	0	每天阵营刺探敌国2
54	1	0	999	999	1	0	藏宝图计数
55	1	0	3	0	1	0	第一次杀死秘境boss
56	1	0	25	25	0	0	每日推图掉落文本残页数
57	1	0	100	100	1	0	彩云的回收兑换
58	1	0	999	999	1	0	帮派召集的次数限制
59	1	0	7	7	0	0	宝箱大作战每天7次魂玉或宝石
60	1	0	10	10	1	0	斩妖任务计数
61	1	0	1	0	0	0	第一杀死真秘境boss
62	1	0	4	0	0	0	第一次通关1-2获得灵兽
63	1	0	12	0	0	0	第一次击杀剑池灰灰掉落
64	1	0	5	0	0	0	第一次通关净灵2-2碑掉落
65	1	0	5	5	1	0	新人每天只能发5次喜糖
66	1	0	20	20	1	0	每天只能采集20次喜糖
67	1	0	20	20	1	0	每天只能采集20次喜宴
68	1	0	20	20	1	0	每天只能敬酒20次
69	1	0	6	6	1	0	新郎摇床6次
70	1	0	10	10	1	0	龙虎丹10次
71	1	0	10	10	1	0	滚新床10次
72	1	0	0	0	1	0	首次10连抽灵宠半价（先用0次数屏蔽，这个别乱改，要用时问vic）
73	1	0	4	4	1	0	剑池任务每天4个任务，离线用
74	1	0	1	1	1	0	帮派任务每天1轮，离线用
75	1	0	1	1	1	0	双人赏花每天一次邀请
76	1	0	0	0	1	0	伏魔每天6只，离线用（活动去掉，离线保留）
77	1	0	1	1	1	0	巨兽每天1次（战功奖励扣），离线用
78	1	0	1	1	1	0	夺旗每天1次（dedign_cfg中配死），离线用
79	1	0	0	0	1	0	每天出国6次，离线用（活动去掉，离线保留）
80	1	0	8	8	1	0	每日必做一天8个，离线用
81	1	0	1	1	1	0	上古遗迹（财富）一天1次
82	1	0	1	1	1	0	上古遗迹（灵元）一天1次
83	1	0	5	5	1	0	离线用：人参果5环
84	1	0	2	2	1	0	每天只能进入战役2次
85	1	0	2	2	1	0	每天只能进入九层妖塔2次
86	1	0	2	2	1	0	每天只能进入归墟2次
87	1	0	1	1	1	0	每日使用日常双倍次数计数
88	1	0	10	10	1	0	封魔塔每日通关次数限制
89	1	0	12	12	1	0	补天石碎片每天12片
90	1	0	50	50	1	0	无用（先给婚礼BOSS的掉落次数用）
91	1	0	1	1	1	0	世界材料副本次数每日可开启一次
92	1	0	1	1	1	0	世界材料副本内机关每日可开启一次
93	1	0	10	10	1	0	5星任务计数
94	1	0	56	0	1	0	假秘境小怪掉落
95	1	0	40	40	1	0	每日可获得普通祝福奖励次数
96	1	0	20	20	1	0	每日可使用绑元祝福礼包次数
97	1	0	3	3	1	0	每日快速完成诵读任务
97	1	1	3	3	1	0	每日快速完成诵读任务
97	1	2	3	3	1	0	每日快速完成诵读任务
97	1	3	10	10	1	0	每日快速完成诵读任务
97	1	4	10	10	1	0	每日快速完成诵读任务
97	1	5	10	10	1	0	每日快速完成诵读任务
97	1	6	10	10	1	0	每日快速完成诵读任务
97	1	7	20	20	1	0	每日快速完成诵读任务
97	1	8	20	20	1	0	每日快速完成诵读任务
97	1	9	20	20	1	0	每日快速完成诵读任务
97	1	10	20	20	1	0	每日快速完成诵读任务
97	1	11	30	30	1	0	每日快速完成诵读任务
97	1	12	30	30	1	0	每日快速完成诵读任务
97	1	13	30	30	1	0	每日快速完成诵读任务
97	1	14	30	30	1	0	每日快速完成诵读任务
97	1	15	50	50	1	0	每日快速完成诵读任务
97	1	16	50	50	1	0	每日快速完成诵读任务
97	1	17	50	50	1	0	每日快速完成诵读任务
97	1	18	50	50	1	0	每日快速完成诵读任务
97	1	19	70	70	1	0	每日快速完成诵读任务
97	1	20	70	70	1	0	每日快速完成诵读任务
98	1	0	4	4	1	0	帮派每日BOSS可获得奖励次数
99	1	0	4	4	1	0	好友每日BOSS可获得奖励次数
100	1	0	1	0	0	0	领取第一个全服冲级奖励
101	1	0	1	0	0	0	领取第二个全服冲级奖励
102	1	0	1	1	1	0	每日阵营工资只能领取一次
103	1	0	2	2	1	0	邀请赏花计数
104	1	0	4	4	1	0	被邀请赏花计数
105	1	0	40	40	1	0	每日祝福入帮玩家可获得的奖励次数
106	1	0	10	10	1	0	帮派捐献每天捐献次数限制
106	1	1	10	10	1	0	帮派捐献每天捐献次数限制
106	1	2	10	10	1	0	帮派捐献每天捐献次数限制
106	1	3	10	10	1	0	帮派捐献每天捐献次数限制
106	1	4	20	20	1	0	帮派捐献每天捐献次数限制
106	1	5	20	20	1	0	帮派捐献每天捐献次数限制
106	1	6	20	20	1	0	帮派捐献每天捐献次数限制
106	1	7	20	20	1	0	帮派捐献每天捐献次数限制
106	1	8	25	25	1	0	帮派捐献每天捐献次数限制
106	1	9	25	25	1	0	帮派捐献每天捐献次数限制
106	1	10	25	25	1	0	帮派捐献每天捐献次数限制
106	1	11	25	25	1	0	帮派捐献每天捐献次数限制
106	1	12	30	30	1	0	帮派捐献每天捐献次数限制
106	1	13	30	30	1	0	帮派捐献每天捐献次数限制
106	1	14	30	30	1	0	帮派捐献每天捐献次数限制
106	1	15	30	30	1	0	帮派捐献每天捐献次数限制
106	1	16	35	35	1	0	帮派捐献每天捐献次数限制
106	1	17	35	35	1	0	帮派捐献每天捐献次数限制
106	1	18	35	35	1	0	帮派捐献每天捐献次数限制
106	1	19	35	35	1	0	帮派捐献每天捐献次数限制
106	1	20	40	40	1	0	帮派捐献每天捐献次数限制
107	1	0	4	4	1	0	帮派礼包兑换次数
108	1	0	1	1	1	0	夫妻双修副本进入次数
109	1	0	10	10	1	0	帮派神兽掉落限制
110	1	0	80000	80000	1	0	挂机衰减
111	1	0	5	5	1	0	藏宝店主题物每日购买次数
112	1	0	14	2	1	0	修炼时间最多储存7小时，每天恢复1小时
113	1	0	999	999	1	0	藏宝图刷新计数
114	1	0	50	50	1	0	20级祝福提示的获取次数限制
115	1	0	50	50	1	0	30级祝福提示的获取次数限制
116	1	0	50	50	1	0	虚丹境界祝福提示的获取次数限制
117	1	0	6	6	1	0	每日击杀兽兵每日掉落次数
118	1	0	6	6	1	0	每日击杀兽将每日掉落次数
119	1	0	10	10	1	0	每日击杀旗帜每日掉落次数
120	1	0	6	6	1	0	灵宠大暴走每日掉落次数
121	1	0	15	10	1	0	世界频道发言每日次数（本身次数+喇叭次数）
121	1	1	15	15	1	0	世界频道发言每日次数
121	1	2	20	20	1	0	世界频道发言每日次数
121	1	3	25	25	1	0	世界频道发言每日次数
121	1	4	30	30	1	0	世界频道发言每日次数
121	1	5	35	35	1	0	世界频道发言每日次数
121	1	6	40	40	1	0	世界频道发言每日次数
121	1	7	45	45	1	0	世界频道发言每日次数
121	1	8	50	50	1	0	世界频道发言每日次数
121	1	9	55	55	1	0	世界频道发言每日次数
121	1	10	60	60	1	0	世界频道发言每日次数
121	1	11	65	65	1	0	世界频道发言每日次数
121	1	12	70	70	1	0	世界频道发言每日次数
121	1	13	75	75	1	0	世界频道发言每日次数
121	1	14	80	80	1	0	世界频道发言每日次数
121	1	15	85	85	1	0	世界频道发言每日次数
121	1	16	90	90	1	0	世界频道发言每日次数
121	1	17	95	95	1	0	世界频道发言每日次数
121	1	18	100	100	1	0	世界频道发言每日次数
121	1	19	105	105	1	0	世界频道发言每日次数
121	1	20	110	110	1	0	世界频道发言每日次数
122	1	0	999999	0	1	0	世界频道道具增加的发言次数（世界频道这个是特殊的，本身次数+喇叭次数）
123	1	0	1	1	1	0	摇钱树免费摇1次
124	1	0	20	20	1	0	VIP0摇钱树付费可以摇20次
124	1	1	30	30	1	0	VIP1摇钱树付费可以摇30次
124	1	2	40	40	1	0	VIP2摇钱树付费可以摇40次
124	1	3	50	50	1	0	VIP3摇钱树付费可以摇50次
124	1	4	70	70	1	0	VIP4摇钱树付费可以摇70次
124	1	5	80	80	1	0	VIP5摇钱树付费可以摇80次
124	1	6	100	100	1	0	VIP6摇钱树付费可以摇100次
124	1	7	110	110	1	0	VIP7摇钱树付费可以摇110次
124	1	8	120	120	1	0	VIP8摇钱树付费可以摇120次
124	1	9	140	140	1	0	VIP9摇钱树付费可以摇140次
124	1	10	150	150	1	0	VIP10摇钱树付费可以摇150次
124	1	11	160	160	1	0	VIP11摇钱树付费可以摇160次
124	1	12	180	180	1	0	VIP12摇钱树付费可以摇180次
124	1	13	190	190	1	0	VIP13摇钱树付费可以摇190次
124	1	14	200	200	1	0	VIP14摇钱树付费可以摇200次
124	1	15	250	250	1	0	VIP15摇钱树付费可以摇250次
124	1	16	260	260	1	0	VIP11摇钱树付费可以摇260次
124	1	17	270	270	1	0	VIP11摇钱树付费可以摇270次
124	1	18	280	280	1	0	VIP11摇钱树付费可以摇280次
124	1	19	290	290	1	0	VIP11摇钱树付费可以摇290次
124	1	20	300	300	1	0	VIP11摇钱树付费可以摇300次
125	1	0	1	1	1	0	帮派宝库的宝箱开1次
126	1	0	1	0	1	0	商城-十次招募令，1生1次
127	1	0	1	0	0	0	归墟61级后必掉一次三阶紫武
128	1	0	1	1	1	0	每日只能使用一个修炼丹
129	1	0	5	5	1	0	天地异变材料提交次数
130	1	0	5	0	1	0	藏宝图保底5片灵宝碎片
131	1	0	10	0	1	0	离线竞技场10次挑战
132	1	0	1	1	1	0	神魔古墓每日可参与一次
133	1	0	0	0	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	1	0	0	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	2	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	3	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	4	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	5	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	6	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	7	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	8	2	2	1	0	每日只能使用2次竞技丹（增加挑战次数）
133	1	9	3	3	1	0	每日只能使用3次竞技丹（增加挑战次数）
133	1	10	3	3	1	0	每日只能使用3次竞技丹（增加挑战次数）
133	1	11	3	3	1	0	每日只能使用3次竞技丹（增加挑战次数）
133	1	12	4	4	1	0	每日只能使用4次竞技丹（增加挑战次数）
133	1	13	4	4	1	0	每日只能使用4次竞技丹（增加挑战次数）
133	1	14	4	4	1	0	每日只能使用4次竞技丹（增加挑战次数）
133	1	15	5	5	1	0	每日只能使用5次竞技丹（增加挑战次数）
133	1	16	5	5	1	0	每日只能使用5次竞技丹（增加挑战次数）
133	1	17	8	8	1	0	每日只能使用8次竞技丹（增加挑战次数）
133	1	18	8	8	1	0	每日只能使用8次竞技丹（增加挑战次数）
133	1	19	8	8	1	0	每日只能使用8次竞技丹（增加挑战次数）
133	1	20	8	8	1	0	每日只能使用8次竞技丹（增加挑战次数）
134	1	0	1	1	1	0	聚宝盆1元每日1次
135	1	0	1	1	1	0	聚宝盆3元每日1次
136	1	0	1	1	1	0	聚宝盆8元每日1次
137	1	0	1	1	1	0	聚宝盆12元每日1次
138	1	0	5	5	1	0	神魔古墓每日可复活5次
139	1	0	4	4	1	0	归墟助战礼包只能领取4次
140	1	0	4	4	1	0	秘境助战礼包只能领取4次
141	1	0	4	4	1	0	鬼王陵助战礼包只能领取4次
142	1	0	2	0	1	0	帮派任务保底-蛟龙麟
143	1	0	2	0	1	0	帮派任务保底-金蚕丝
144	1	0	2	0	1	0	帮派任务保底-夫诸皮
145	1	0	2	0	1	0	帮派任务保底-旋龟甲
146	1	0	2	0	1	0	帮派任务保底-紫金矿
147	1	0	2	0	1	0	帮派任务保底-赤金矿
148	1	0	2	0	1	0	帮派任务保底-青金矿
149	1	0	2	0	1	0	帮派任务保底-白金矿
150	1	0	5	0	1	0	帮派任务保底-砖瓦
151	1	0	2	2	1	0	每人可召唤2次帮派神兽（帮派功能没做）
152	1	0	1	1	1	0	帮派宝库计数
153	1	0	0	0	1	0	竞技场绑元购买次数
153	1	1	0	0	1	0	竞技场绑元购买次数
153	1	2	2	2	1	0	竞技场绑元购买次数
153	1	3	2	2	1	0	竞技场绑元购买次数
153	1	4	2	2	1	0	竞技场绑元购买次数
153	1	5	2	2	1	0	竞技场绑元购买次数
153	1	6	2	2	1	0	竞技场绑元购买次数
153	1	7	2	2	1	0	竞技场绑元购买次数
153	1	8	2	2	1	0	竞技场绑元购买次数
153	1	9	3	3	1	0	竞技场绑元购买次数
153	1	10	3	3	1	0	竞技场绑元购买次数
153	1	11	3	3	1	0	竞技场绑元购买次数
153	1	12	4	4	1	0	竞技场绑元购买次数
153	1	13	4	4	1	0	竞技场绑元购买次数
153	1	14	4	4	1	0	竞技场绑元购买次数
153	1	15	5	5	1	0	竞技场绑元购买次数
153	1	16	5	5	1	0	竞技场绑元购买次数
153	1	17	8	8	1	0	竞技场绑元购买次数
153	1	18	8	8	1	0	竞技场绑元购买次数
153	1	19	8	8	1	0	竞技场绑元购买次数
153	1	20	8	8	1	0	竞技场绑元购买次数
154	1	0	50	50	1	0	主播频道每日发言次数限制
155	1	0	1	1	1	0	支线-天降元宝3-单人日常
156	1	0	1	1	1	0	支线-天降元宝1-一条龙
157	1	0	1	1	1	0	支线-天降元宝2-帮派日常
158	1	0	0	0	1	0	离线找回-封魔塔打通第一关（活动去掉，离线保留）
159	1	0	36	36	1	0	灵宠大暴走每日掉落灵宠币
160	1	0	12	12	1	0	灵宠大暴走每日掉落高级灵宠币
161	1	0	20	20	1	0	灵宠大暴走每日掉落培养丹
162	1	0	1	1	1	0	灵宠大暴走每日掉落夫诸皮
163	1	0	1	1	1	0	灵宠大暴走每日掉落旋龟甲
164	1	0	4	4	1	0	帮派宣言次数限制
165	1	0	5	5	1	0	重阳节每日桂花糕掉落限制（元旦、5环任务复用，情人节商店招募令复用）
166	1	0	10	0	1	0	重阳节礼盒1购买限制
167	1	0	3	0	1	0	重阳节礼盒2购买限制
168	1	0	1	0	1	0	重阳节礼盒3购买限制
169	1	0	1	0	1	0	重阳节礼盒4购买限制
170	1	0	3	0	1	0	重阳节礼盒5购买限制
171	1	0	1	0	1	0	脱单节结婚次数，终身一次
172	1	0	5	5	1	0	双十一夫妻副本，篝火奖励好人卡，5次
173	1	0	1	0	1	0	脱单节，戒指折扣
174	1	0	5	5	1	0	立冬节饺子馅掉落次数
175	1	0	1	0	1	0	立冬节礼包1购买次数
176	1	0	5	0	1	0	立冬节礼包2购买次数
177	1	0	3	0	1	0	立冬节礼包3购买次数
178	1	0	3	0	1	0	立冬节礼包4购买次数
179	1	0	6	0	1	0	立冬节礼盒一购买次数
180	1	0	2	0	1	0	立冬节礼盒二购买次数
181	1	0	2	0	1	0	立冬节礼盒三购买次数
182	1	0	1	0	1	0	立冬节礼盒四购买次数
183	1	0	3	0	1	0	立冬节礼盒五购买次数
184	1	0	5	5	1	0	特惠商城饺子皮每日购买次数
185	1	0	5	5	1	0	特惠商城饺子馅每日购买次数
186	1	0	1	0	1	0	双十一婚戒打折
187	1	0	1	0	1	0	改名免费一次
188	1	0	10	2	1	0	每日打造次数限制
189	1	0	6	6	1	0	地宫钥匙使用次数
190	1	0	24	8	1	0	剑池打卡牌每天保底次数
191	1	0	1	1	1	0	点券夺宝机会获取-6元每日1次
192	1	0	1	1	1	0	点券夺宝机会获取-30元每日1次
193	1	0	1	0	1	0	魅力榜礼包3
194	1	0	6	0	1	0	双十一礼盒一，终身一次
195	1	0	4	0	1	0	双十一礼盒二，终身一次
196	1	0	3	0	1	0	双十一礼盒三，终身一次
197	1	0	1	0	1	0	双十一礼盒四，终身一次
198	1	0	3	0	1	0	双十一礼盒五，终身一次
199	1	0	15	10	1	0	阵营频道发言每日次数（本身次数，与世界频道不一样）
199	1	1	15	15	1	0	阵营频道发言每日次数
199	1	2	20	20	1	0	阵营频道发言每日次数
199	1	3	25	25	1	0	阵营频道发言每日次数
199	1	4	30	30	1	0	阵营频道发言每日次数
199	1	5	35	35	1	0	阵营频道发言每日次数
199	1	6	40	40	1	0	阵营频道发言每日次数
199	1	7	45	45	1	0	阵营频道发言每日次数
199	1	8	50	50	1	0	阵营频道发言每日次数
199	1	9	55	55	1	0	阵营频道发言每日次数
199	1	10	60	60	1	0	阵营频道发言每日次数
199	1	11	65	65	1	0	阵营频道发言每日次数
199	1	12	70	70	1	0	阵营频道发言每日次数
199	1	13	75	75	1	0	阵营频道发言每日次数
199	1	14	80	80	1	0	阵营频道发言每日次数
199	1	15	85	85	1	0	阵营频道发言每日次数
199	1	16	90	90	1	0	阵营频道发言每日次数
199	1	17	95	95	1	0	阵营频道发言每日次数
199	1	18	100	100	1	0	阵营频道发言每日次数
199	1	19	105	105	1	0	阵营频道发言每日次数
199	1	20	110	110	1	0	阵营频道发言每日次数
200	1	0	5	5	1	0	小雪节篝火掉落
201	1	0	5	5	1	0	元宝商店，低级灵卷，2101级以上购买次数
202	1	0	6	6	1	0	元宝商店，中级灵卷，5161级以上购买次数
203	1	0	5	5	1	0	魔符商店每日可以手动刷新5次
204	1	0	10	0	1	0	小雪礼盒·一
205	1	0	3	0	1	0	小雪礼盒·二
206	1	0	1	0	1	0	小雪礼盒·三
207	1	0	1	0	1	0	小雪礼盒·四
208	1	0	3	0	1	0	小雪礼盒·五
209	1	0	5	5	1	0	双12，篝火掉落雪球
210	1	0	6	0	1	0	双12，狂欢礼盒一
211	1	0	2	0	1	0	双12，狂欢礼盒二
212	1	0	1	0	1	0	双12，狂欢礼盒三
213	1	0	2	0	1	0	双12，狂欢礼盒四
214	1	0	2	0	1	0	双12，狂欢礼盒五
