大境界主键1	小境界主键2	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	有效标识位	大境界名字	属性池ID	激活消耗ID	重铸消耗ID	付费重铸消耗ID	激活状态限制ID	奖励额外技能等级（累计值）	特殊效果描述说明1	特殊效果描述说明2	宝石位置横坐标	宝石位置纵坐标
7	4	11	1	天君	67011074	111074	115074	116074	70007007	16	0	0	28.2	-85.89
7	5	11	1	天君	67011075	111075	115075	116075	70007007	18	普攻等级<color=#00ab37>+2</color>	0	-100.8	-18.3
7	6	11	1	天君	67011076	111076	115076	116076	70007007	18	御风技能等级上限<color=#00ab37>+5</color>	0	-153.2	-192.6
8	1	11	1	仙尊	67011081	111081	115081	116081	70007008	18	0	0	38	183.4
8	2	11	1	仙尊	67011082	111082	115082	116082	70007008	19	普攻等级<color=#00ab37>+1</color>	0	-78.1	91.8
8	3	11	1	仙尊	67011083	111083	115083	116083	70007008	19	神剑技能等级上限<color=#00ab37>+5</color>	0	-179.4	-21.4
8	4	11	1	仙尊	67011084	111084	115084	116084	70007008	19	0	0	-69.1	-78.2
8	5	11	1	仙尊	67011085	111085	115085	116085	70007008	20	普攻等级<color=#00ab37>+1</color>	0	37.2	-136.1
8	6	11	1	仙尊	67011086	111086	115086	116086	70007008	20	霜龙技能等级上限<color=#00ab37>+5</color>	0	164.3	-201.1
9	1	11	1	仙帝	67011091	111091	115091	116091	70007009	20	0	0	-173.2	82.3
9	2	11	1	仙帝	67011092	111092	115092	116092	70007009	21	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
9	3	11	1	仙帝	67011093	111093	115093	116093	70007009	21	天剑技能等级上限<color=#00ab37>+5</color>	0	-142.1	-117.9
9	4	11	1	仙帝	67011094	111094	115094	116094	70007009	21	0	0	74.6	-142
9	5	11	1	仙帝	67011095	111095	115095	116095	70007009	23	普攻等级<color=#00ab37>+2</color>	0	85	80.3
9	6	11	1	仙帝	67011096	111096	115096	116096	70007009	23	御风技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
10	1	11	1	天帝	67011101	111101	115101	116101	70007010	23	0	0	-176.4	180.3
10	2	11	1	天帝	67011102	111102	115102	116102	70007010	24	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
10	3	11	1	天帝	67011103	111103	115103	116103	70007010	24	神剑技能等级上限<color=#00ab37>+5</color>	0	-146.5	-167.3
10	4	11	1	天帝	67011104	111104	115104	116104	70007010	24	0	0	174.2	-167.9
10	5	11	1	天帝	67011105	111105	115105	116105	70007010	25	普攻等级<color=#00ab37>+1</color>	0	85	28
10	6	11	1	天帝	67011106	111106	115106	116106	70007010	25	霜龙技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
1	1	21	1	灵师	67021011	112011	115011	116011	70007011	0	0	0	150	180
1	2	21	1	灵师	67021012	112012	115012	116012	70007011	1	普攻等级<color=#00ab37>+1</color>	0	-16.3	160
1	3	21	1	灵师	67021013	112013	115013	116013	70007011	1	花影技能等级上限<color=#00ab37>+5</color>	0	-157.3	75.7
1	4	21	1	灵师	67021014	112014	115014	116014	70007011	1	0	0	-108.3	-56.1
1	5	21	1	灵师	67021015	112015	115015	116015	70007011	3	普攻等级<color=#00ab37>+2</color>	0	-19.2	-160.9
1	6	21	1	灵师	67021016	112016	115016	116016	70007011	3	藤语技能等级上限<color=#00ab37>+5</color>	0	145.9	-174.1
2	1	21	1	真人	67021021	112021	115021	116021	70007012	3	0	0	-201.4	-141.1
2	2	21	1	真人	67021022	112022	115022	116022	70007012	4	普攻等级<color=#00ab37>+1</color>	0	-111.6	-37.4
2	3	21	1	真人	67021023	112023	115023	116023	70007012	4	繁花技能等级上限<color=#00ab37>+5</color>	0	-57.2	137.1
2	4	21	1	真人	67021024	112024	115024	116024	70007012	4	0	0	98.6	49.9
2	5	21	1	真人	67021025	112025	115025	116025	70007012	5	普攻等级<color=#00ab37>+1</color>	0	167.3	-35
2	6	21	1	真人	67021026	112026	115026	116026	70007012	5	花灵技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
3	1	21	1	散仙	67021031	112031	115031	116031	70007013	5	0	0	-113.6	186.8
3	2	21	1	散仙	67021032	112032	115032	116032	70007013	6	普攻等级<color=#00ab37>+1</color>	0	-94.2	72.8
3	3	21	1	散仙	67021033	112033	115033	116033	70007013	6	花影技能等级上限<color=#00ab37>+5</color>	0	-106.4	-59.2
3	4	21	1	散仙	67021034	112034	115034	116034	70007013	6	0	0	-157.4	-191.4
3	5	21	1	散仙	67021035	112035	115035	116035	70007013	8	普攻等级<color=#00ab37>+2</color>	0	43.9	-96.5
3	6	21	1	散仙	67021036	112036	115036	116036	70007013	8	藤语技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
4	1	21	1	真仙	67021041	112041	115041	116041	70007004	8	0	0	159.3	146.4
4	2	21	1	真仙	67021042	112042	115042	116042	70007004	9	普攻等级<color=#00ab37>+1</color>	0	26.73	64.7
4	3	21	1	真仙	67021043	112043	115043	116043	70007004	9	繁花技能等级上限<color=#00ab37>+5</color>	0	96.2	-59.1
4	4	21	1	真仙	67021044	112044	115044	116044	70007004	9	0	0	131.7	-174
4	5	21	1	真仙	67021045	112045	115045	116045	70007004	10	普攻等级<color=#00ab37>+1</color>	0	-177.5	-160.9
4	6	21	1	真仙	67021046	112046	115046	116046	70007004	10	花灵技能等级上限<color=#00ab37>+5</color>	0	-105.4	-29.2
5	1	21	1	上仙	67021051	112051	115051	116051	70007005	10	0	0	159.3	146.4
5	2	21	1	上仙	67021052	112052	115052	116052	70007005	11	普攻等级<color=#00ab37>+1</color>	0	125.6	7.5
5	3	21	1	上仙	67021053	112053	115053	116053	70007005	11	花影技能等级上限<color=#00ab37>+5</color>	0	68.9	-112.5
5	4	21	1	上仙	67021054	112054	115054	116054	70007005	11	0	0	-32.2	-173.5
5	5	21	1	上仙	67021055	112055	115055	116055	70007005	13	普攻等级<color=#00ab37>+2</color>	0	-135	-88.6
5	6	21	1	上仙	67021056	112056	115056	116056	70007005	13	藤语技能等级上限<color=#00ab37>+5</color>	0	-160.5	52.7
6	1	21	1	金仙	67021061	112061	115061	116061	70007006	13	0	0	-174.7	146.4
6	2	21	1	金仙	67021062	112062	115062	116062	70007006	14	普攻等级<color=#00ab37>+1</color>	0	-46.8	81.8
6	3	21	1	金仙	67021063	112063	115063	116063	70007006	14	繁花技能等级上限<color=#00ab37>+5</color>	0	88.5	128.7
6	4	21	1	金仙	67021064	112064	115064	116064	70007006	14	0	0	179.9	-0.48
6	5	21	1	金仙	67021065	112065	115065	116065	70007006	15	普攻等级<color=#00ab37>+1</color>	0	34.3	-107.4
6	6	21	1	金仙	67021066	112066	115066	116066	70007006	15	花灵技能等级上限<color=#00ab37>+5</color>	0	-143.4	-144.02
7	1	21	1	天君	67021071	112071	115071	116071	70007007	15	0	0	-110.9	141.4
7	2	21	1	天君	67021072	112072	115072	116072	70007007	16	普攻等级<color=#00ab37>+1</color>	0	61.5	158.3
7	3	21	1	天君	67021073	112073	115073	116073	70007007	16	花影技能等级上限<color=#00ab37>+5</color>	0	164.4	16.5
7	4	21	1	天君	67021074	112074	115074	116074	70007007	16	0	0	28.2	-85.89
7	5	21	1	天君	67021075	112075	115075	116075	70007007	18	普攻等级<color=#00ab37>+2</color>	0	-100.8	-18.3
7	6	21	1	天君	67021076	112076	115076	116076	70007007	18	藤语技能等级上限<color=#00ab37>+5</color>	0	-153.2	-192.6
8	1	21	1	仙尊	67021081	112081	115081	116081	70007008	18	0	0	38	183.4
8	2	21	1	仙尊	67021082	112082	115082	116082	70007008	19	普攻等级<color=#00ab37>+1</color>	0	-78.1	91.8
8	3	21	1	仙尊	67021083	112083	115083	116083	70007008	19	繁花技能等级上限<color=#00ab37>+5</color>	0	-179.4	-21.4
8	4	21	1	仙尊	67021084	112084	115084	116084	70007008	19	0	0	-69.1	-78.2
8	5	21	1	仙尊	67021085	112085	115085	116085	70007008	20	普攻等级<color=#00ab37>+1</color>	0	37.2	-136.1
8	6	21	1	仙尊	67021086	112086	115086	116086	70007008	20	花灵技能等级上限<color=#00ab37>+5</color>	0	164.3	-201.1
9	1	21	1	仙帝	67021091	112091	115091	116091	70007009	20	0	0	-173.2	82.3
9	2	21	1	仙帝	67021092	112092	115092	116092	70007009	21	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
9	3	21	1	仙帝	67021093	112093	115093	116093	70007009	21	花影技能等级上限<color=#00ab37>+5</color>	0	-142.1	-117.9
9	4	21	1	仙帝	67021094	112094	115094	116094	70007009	21	0	0	74.6	-142
9	5	21	1	仙帝	67021095	112095	115095	116095	70007009	23	普攻等级<color=#00ab37>+2</color>	0	85	80.3
9	6	21	1	仙帝	67021096	112096	115096	116096	70007009	23	藤语技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
10	1	21	1	天帝	67021101	112101	115101	116101	70007010	23	0	0	-176.4	180.3
10	2	21	1	天帝	67021102	112102	115102	116102	70007010	24	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
10	3	21	1	天帝	67021103	112103	115103	116103	70007010	24	繁花技能等级上限<color=#00ab37>+5</color>	0	-146.5	-167.3
10	4	21	1	天帝	67021104	112104	115104	116104	70007010	24	0	0	174.2	-167.9
10	5	21	1	天帝	67021105	112105	115105	116105	70007010	25	普攻等级<color=#00ab37>+1</color>	0	85	28
10	6	21	1	天帝	67021106	112106	115106	116106	70007010	25	花灵技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
1	1	31	1	灵师	67031011	113011	115011	116011	70007014	0	0	0	150	180
1	2	31	1	灵师	67031012	113012	115012	116012	70007014	1	普攻等级<color=#00ab37>+1</color>	0	-16.3	160
1	3	31	1	灵师	67031013	113013	115013	116013	70007014	1	焰锋技能等级上限<color=#00ab37>+5</color>	0	-157.3	75.7
1	4	31	1	灵师	67031014	113014	115014	116014	70007014	1	0	0	-108.3	-56.1
1	5	31	1	灵师	67031015	113015	115015	116015	70007014	3	普攻等级<color=#00ab37>+2</color>	0	-19.2	-160.9
1	6	31	1	灵师	67031016	113016	115016	116016	70007014	3	烬焱技能等级上限<color=#00ab37>+5</color>	0	145.9	-174.1
2	1	31	1	真人	67031021	113021	115021	116021	70007015	3	0	0	-201.4	-141.1
2	2	31	1	真人	67031022	113022	115022	116022	70007015	4	普攻等级<color=#00ab37>+1</color>	0	-111.6	-37.4
2	3	31	1	真人	67031023	113023	115023	116023	70007015	4	风卷技能等级上限<color=#00ab37>+5</color>	0	-57.2	137.1
2	4	31	1	真人	67031024	113024	115024	116024	70007015	4	0	0	98.6	49.9
2	5	31	1	真人	67031025	113025	115025	116025	70007015	5	普攻等级<color=#00ab37>+1</color>	0	167.3	-35
2	6	31	1	真人	67031026	113026	115026	116026	70007015	5	霸体技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
3	1	31	1	散仙	67031031	113031	115031	116031	70007016	5	0	0	-113.6	186.8
3	2	31	1	散仙	67031032	113032	115032	116032	70007016	6	普攻等级<color=#00ab37>+1</color>	0	-94.2	72.8
3	3	31	1	散仙	67031033	113033	115033	116033	70007016	6	焰锋技能等级上限<color=#00ab37>+5</color>	0	-106.4	-59.2
3	4	31	1	散仙	67031034	113034	115034	116034	70007016	6	0	0	-157.4	-191.4
3	5	31	1	散仙	67031035	113035	115035	116035	70007016	8	普攻等级<color=#00ab37>+2</color>	0	43.9	-96.5
3	6	31	1	散仙	67031036	113036	115036	116036	70007016	8	烬焱技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
4	1	31	1	真仙	67031041	113041	115041	116041	70007004	8	0	0	159.3	146.4
4	2	31	1	真仙	67031042	113042	115042	116042	70007004	9	普攻等级<color=#00ab37>+1</color>	0	26.73	64.7
4	3	31	1	真仙	67031043	113043	115043	116043	70007004	9	风卷技能等级上限<color=#00ab37>+5</color>	0	96.2	-59.1
4	4	31	1	真仙	67031044	113044	115044	116044	70007004	9	0	0	131.7	-174
4	5	31	1	真仙	67031045	113045	115045	116045	70007004	10	普攻等级<color=#00ab37>+1</color>	0	-177.5	-160.9
4	6	31	1	真仙	67031046	113046	115046	116046	70007004	10	霸体技能等级上限<color=#00ab37>+5</color>	0	-105.4	-29.2
5	1	31	1	上仙	67031051	113051	115051	116051	70007005	10	0	0	159.3	146.4
5	2	31	1	上仙	67031052	113052	115052	116052	70007005	11	普攻等级<color=#00ab37>+1</color>	0	125.6	7.5
5	3	31	1	上仙	67031053	113053	115053	116053	70007005	11	焰锋技能等级上限<color=#00ab37>+5</color>	0	68.9	-112.5
5	4	31	1	上仙	67031054	113054	115054	116054	70007005	11	0	0	-32.2	-173.5
5	5	31	1	上仙	67031055	113055	115055	116055	70007005	13	普攻等级<color=#00ab37>+2</color>	0	-135	-88.6
5	6	31	1	上仙	67031056	113056	115056	116056	70007005	13	烬焱技能等级上限<color=#00ab37>+5</color>	0	-160.5	52.7
6	1	31	1	金仙	67031061	113061	115061	116061	70007006	13	0	0	-174.7	146.4
6	2	31	1	金仙	67031062	113062	115062	116062	70007006	14	普攻等级<color=#00ab37>+1</color>	0	-46.8	81.8
6	3	31	1	金仙	67031063	113063	115063	116063	70007006	14	风卷技能等级上限<color=#00ab37>+5</color>	0	88.5	128.7
6	4	31	1	金仙	67031064	113064	115064	116064	70007006	14	0	0	179.9	-0.48
6	5	31	1	金仙	67031065	113065	115065	116065	70007006	15	普攻等级<color=#00ab37>+1</color>	0	34.3	-107.4
6	6	31	1	金仙	67031066	113066	115066	116066	70007006	15	霸体技能等级上限<color=#00ab37>+5</color>	0	-143.4	-144.02
7	1	31	1	天君	67031071	113071	115071	116071	70007007	15	0	0	-110.9	141.4
7	2	31	1	天君	67031072	113072	115072	116072	70007007	16	普攻等级<color=#00ab37>+1</color>	0	61.5	158.3
7	3	31	1	天君	67031073	113073	115073	116073	70007007	16	焰锋技能等级上限<color=#00ab37>+5</color>	0	164.4	16.5
7	4	31	1	天君	67031074	113074	115074	116074	70007007	16	0	0	28.2	-85.89
7	5	31	1	天君	67031075	113075	115075	116075	70007007	18	普攻等级<color=#00ab37>+2</color>	0	-100.8	-18.3
7	6	31	1	天君	67031076	113076	115076	116076	70007007	18	烬焱技能等级上限<color=#00ab37>+5</color>	0	-153.2	-192.6
8	1	31	1	仙尊	67031081	113081	115081	116081	70007008	18	0	0	38	183.4
8	2	31	1	仙尊	67031082	113082	115082	116082	70007008	19	普攻等级<color=#00ab37>+1</color>	0	-78.1	91.8
8	3	31	1	仙尊	67031083	113083	115083	116083	70007008	19	风卷技能等级上限<color=#00ab37>+5</color>	0	-179.4	-21.4
8	4	31	1	仙尊	67031084	113084	115084	116084	70007008	19	0	0	-69.1	-78.2
8	5	31	1	仙尊	67031085	113085	115085	116085	70007008	20	普攻等级<color=#00ab37>+1</color>	0	37.2	-136.1
8	6	31	1	仙尊	67031086	113086	115086	116086	70007008	20	霸体技能等级上限<color=#00ab37>+5</color>	0	164.3	-201.1
9	1	31	1	仙帝	67031091	113091	115091	116091	70007009	20	0	0	-173.2	82.3
9	2	31	1	仙帝	67031092	113092	115092	116092	70007009	21	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
9	3	31	1	仙帝	67031093	113093	115093	116093	70007009	21	焰锋技能等级上限<color=#00ab37>+5</color>	0	-142.1	-117.9
9	4	31	1	仙帝	67031094	113094	115094	116094	70007009	21	0	0	74.6	-142
9	5	31	1	仙帝	67031095	113095	115095	116095	70007009	23	普攻等级<color=#00ab37>+2</color>	0	85	80.3
9	6	31	1	仙帝	67031096	113096	115096	116096	70007009	23	烬焱技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
10	1	31	1	天帝	67031101	113101	115101	116101	70007010	23	0	0	-176.4	180.3
10	2	31	1	天帝	67031102	113102	115102	116102	70007010	24	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
10	3	31	1	天帝	67031103	113103	115103	116103	70007010	24	风卷技能等级上限<color=#00ab37>+5</color>	0	-146.5	-167.3
10	4	31	1	天帝	67031104	113104	115104	116104	70007010	24	0	0	174.2	-167.9
10	5	31	1	天帝	67031105	113105	115105	116105	70007010	25	普攻等级<color=#00ab37>+1</color>	0	85	28
10	6	31	1	天帝	67031106	113106	115106	116106	70007010	25	霸体技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
1	1	41	1	灵师	67041011	114011	115011	116011	70007017	0	0	0	150	180
1	2	41	1	灵师	67041012	114012	115012	116012	70007017	1	普攻等级<color=#00ab37>+1</color>	0	-16.3	160
1	3	41	1	灵师	67041013	114013	115013	116013	70007017	1	回雁技能等级上限<color=#00ab37>+5</color>	0	-157.3	75.7
1	4	41	1	灵师	67041014	114014	115014	116014	70007017	1	0	0	-108.3	-56.1
1	5	41	1	灵师	67041015	114015	115015	116015	70007017	3	普攻等级<color=#00ab37>+2</color>	0	-19.2	-160.9
1	6	41	1	灵师	67041016	114016	115016	116016	70007017	3	箭雨技能等级上限<color=#00ab37>+5</color>	0	145.9	-174.1
2	1	41	1	真人	67041021	114021	115021	116021	70007018	3	0	0	-201.4	-141.1
2	2	41	1	真人	67041022	114022	115022	116022	70007018	4	普攻等级<color=#00ab37>+1</color>	0	-111.6	-37.4
2	3	41	1	真人	67041023	114023	115023	116023	70007018	4	凤凰技能等级上限<color=#00ab37>+5</color>	0	-57.2	137.1
2	4	41	1	真人	67041024	114024	115024	116024	70007018	4	0	0	98.6	49.9
2	5	41	1	真人	67041025	114025	115025	116025	70007018	5	普攻等级<color=#00ab37>+1</color>	0	167.3	-35
2	6	41	1	真人	67041026	114026	115026	116026	70007018	5	流火技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
3	1	41	1	散仙	67041031	114031	115031	116031	70007019	5	0	0	-113.6	186.8
3	2	41	1	散仙	67041032	114032	115032	116032	70007019	6	普攻等级<color=#00ab37>+1</color>	0	-94.2	72.8
3	3	41	1	散仙	67041033	114033	115033	116033	70007019	6	回雁技能等级上限<color=#00ab37>+5</color>	0	-106.4	-59.2
3	4	41	1	散仙	67041034	114034	115034	116034	70007019	6	0	0	-157.4	-191.4
3	5	41	1	散仙	67041035	114035	115035	116035	70007019	8	普攻等级<color=#00ab37>+2</color>	0	43.9	-96.5
3	6	41	1	散仙	67041036	114036	115036	116036	70007019	8	箭雨技能等级上限<color=#00ab37>+5</color>	0	184.8	-154.8
4	1	41	1	真仙	67041041	114041	115041	116041	70007004	8	0	0	159.3	146.4
4	2	41	1	真仙	67041042	114042	115042	116042	70007004	9	普攻等级<color=#00ab37>+1</color>	0	26.73	64.7
4	3	41	1	真仙	67041043	114043	115043	116043	70007004	9	凤凰技能等级上限<color=#00ab37>+5</color>	0	96.2	-59.1
4	4	41	1	真仙	67041044	114044	115044	116044	70007004	9	0	0	131.7	-174
4	5	41	1	真仙	67041045	114045	115045	116045	70007004	10	普攻等级<color=#00ab37>+1</color>	0	-177.5	-160.9
4	6	41	1	真仙	67041046	114046	115046	116046	70007004	10	流火技能等级上限<color=#00ab37>+5</color>	0	-105.4	-29.2
5	1	41	1	上仙	67041051	114051	115051	116051	70007005	10	0	0	159.3	146.4
5	2	41	1	上仙	67041052	114052	115052	116052	70007005	11	普攻等级<color=#00ab37>+1</color>	0	125.6	7.5
5	3	41	1	上仙	67041053	114053	115053	116053	70007005	11	回雁技能等级上限<color=#00ab37>+5</color>	0	68.9	-112.5
5	4	41	1	上仙	67041054	114054	115054	116054	70007005	11	0	0	-32.2	-173.5
5	5	41	1	上仙	67041055	114055	115055	116055	70007005	13	普攻等级<color=#00ab37>+2</color>	0	-135	-88.6
5	6	41	1	上仙	67041056	114056	115056	116056	70007005	13	箭雨技能等级上限<color=#00ab37>+5</color>	0	-160.5	52.7
6	1	41	1	金仙	67041061	114061	115061	116061	70007006	13	0	0	-174.7	146.4
6	2	41	1	金仙	67041062	114062	115062	116062	70007006	14	普攻等级<color=#00ab37>+1</color>	0	-46.8	81.8
6	3	41	1	金仙	67041063	114063	115063	116063	70007006	14	凤凰技能等级上限<color=#00ab37>+5</color>	0	88.5	128.7
6	4	41	1	金仙	67041064	114064	115064	116064	70007006	14	0	0	179.9	-0.48
6	5	41	1	金仙	67041065	114065	115065	116065	70007006	15	普攻等级<color=#00ab37>+1</color>	0	34.3	-107.4
6	6	41	1	金仙	67041066	114066	115066	116066	70007006	15	流火技能等级上限<color=#00ab37>+5</color>	0	-143.4	-144.02
7	1	41	1	天君	67041071	114071	115071	116071	70007007	15	0	0	-110.9	141.4
7	2	41	1	天君	67041072	114072	115072	116072	70007007	16	普攻等级<color=#00ab37>+1</color>	0	61.5	158.3
7	3	41	1	天君	67041073	114073	115073	116073	70007007	16	回雁技能等级上限<color=#00ab37>+5</color>	0	164.4	16.5
7	4	41	1	天君	67041074	114074	115074	116074	70007007	16	0	0	28.2	-85.89
7	5	41	1	天君	67041075	114075	115075	116075	70007007	18	普攻等级<color=#00ab37>+2</color>	0	-100.8	-18.3
7	6	41	1	天君	67041076	114076	115076	116076	70007007	18	箭雨技能等级上限<color=#00ab37>+5</color>	0	-153.2	-192.6
8	1	41	1	仙尊	67041081	114081	115081	116081	70007008	18	0	0	38	183.4
8	2	41	1	仙尊	67041082	114082	115082	116082	70007008	19	普攻等级<color=#00ab37>+1</color>	0	-78.1	91.8
8	3	41	1	仙尊	67041083	114083	115083	116083	70007008	19	凤凰技能等级上限<color=#00ab37>+5</color>	0	-179.4	-21.4
8	4	41	1	仙尊	67041084	114084	115084	116084	70007008	19	0	0	-69.1	-78.2
8	5	41	1	仙尊	67041085	114085	115085	116085	70007008	20	普攻等级<color=#00ab37>+1</color>	0	37.2	-136.1
8	6	41	1	仙尊	67041086	114086	115086	116086	70007008	20	流火技能等级上限<color=#00ab37>+5</color>	0	164.3	-201.1
9	1	41	1	仙帝	67041091	114091	115091	116091	70007009	20	0	0	-173.2	82.3
9	2	41	1	仙帝	67041092	114092	115092	116092	70007009	21	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
9	3	41	1	仙帝	67041093	114093	115093	116093	70007009	21	回雁技能等级上限<color=#00ab37>+5</color>	0	-142.1	-117.9
9	4	41	1	仙帝	67041094	114094	115094	116094	70007009	21	0	0	74.6	-142
9	5	41	1	仙帝	67041095	114095	115095	116095	70007009	23	普攻等级<color=#00ab37>+2</color>	0	85	80.3
9	6	41	1	仙帝	67041096	114096	115096	116096	70007009	23	箭雨技能等级上限<color=#00ab37>+5</color>	0	178.9	180.3
10	1	41	1	天帝	67041101	114101	115101	116101	70007010	23	0	0	-176.4	180.3
10	2	41	1	天帝	67041102	114102	115102	116102	70007010	24	普攻等级<color=#00ab37>+1</color>	0	-59.5	25
