坐骑ID(7位，分类：1为陆地，2为飞行；不能随意改，道具表和阵营坐骑都有相关配置）	有效标志位	坐骑名称（走时装）	坐骑属性（无用）	属性池ID(1位类型<1白点2精炼属性池3蓝色属性池4法球属性池8坐骑9伙伴属性池>+2位部位+2位职业+1位颜色+1位魂神+1位流水)（走时装）	成就ID，进度+1	坐骑等级（无用）	模型路径	模型名字	是否需要特效	npc功能类型以位域(1为陆地【不可飞行】，3为可飞)	出生表现（技能id）	坐骑NPCID（无用）	坐骑头像(图标ID)	坐骑列表显示	坐骑奔跑速度	坐骑飞行速度	坐骑有效时间(秒、一天为86400s,无效字段，坐骑时间走道具表)	坐骑描述	坐骑产出说明	坐骑X轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑Y轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑Z轴（U3D的Hierarchy中搜索RawImage_render_model，改左上角参数）	坐骑旋转（U3D的Hierarchy中搜索RawImage_render_model，改左上角第2行第2个，值在-180~180之间，超出范围修改无效）	坐骑缩放（U3D的Hierarchy中搜索RawImage_render_model，左边下方有个Model空格Scale的脚本，改Scale参数）	坐骑最适应高度（如果是飞行，写1（表示1米），陆地写0）	坐骑对应动作（ride是跨坐，ride01是御剑站立，ride02是打坐）	品质色	坐骑类别（1为陆地，2为飞行）	可见状态限制
1001012	1	君雪	1	0	2453	1	npc/zuoqi/xianlu	zuoqi_xianlu	1	1	0	0	riding00_025	1	9	0	-1	踏雪寻梅，陌上花开，可缓缓归矣。	411000127	0.08	-0.666	5	-123	0.35	0	ride	3	1	70008300
1001008	1	怒焰麒麟	1	0	1831	1	npc/zuoqi/dujiaoshou	zuoqi_dujiaoshou	1	1	0	0	riding00_006	1	9	0	-1	你想被我的角戳穿么？	411000109	0	-0.666	5	-123	0.45	0	ride	3	1	0
1001009	1	素月	1	0	2453	1	npc/zuoqi/ma	zuoqi_ma_white	1	1	0	0	riding00_018	1	8	0	-1	逐风而行，天下名马。	411000119	0	-0.648	5	-125.7	0.45	0	ride	2	1	0
1001010	1	留影	1	0	2453	1	npc/zuoqi/ma	zuoqi_ma_black	1	1	0	0	riding00_019	1	8	0	-1	一形十影，天下名马。	411000120	0	-0.648	5	-125.7	0.45	0	ride	2	1	0
1001015	1	吉利鸡	1	0	2453	1	npc/zuoqi/chicken	zuoqi_chicken	1	1	0	0	riding00_029	1	9	0	-1	大吉大利、今晚吉利鸡带你冲	411000133	0	-0.648	5	-125.7	0.45	0	ride	5	1	0
2001000	1	仙鹤	1	0	1824	1	npc/animal/baihe	baihe_new	1	3	0	0	riding00_021	1	9	12	-1	云凌子座下的青月白鹤，如水墨画般黑白相间。	411000122	-0.02	-0.88	5	-144.55	0.45	1	ride	3	2	0
2001001	1	天山雪雕	1	0	1823	1	npc/zuoqi/baidiao	zuoqi_baidiao	1	3	0	0	riding00_001	1	7	10	-1	血凝山上的凶兽，通体雪白无暇。	411000102	-0.1	-1	5	-138.55	0.45	1	ride	3	2	0
2001002	1	灵宝葫芦	1	0	1827	1	npc/zuoqi/hulu	zuoqi_hulu	1	3	0	0	riding00_003	1	9	12	-1	上古乾天皇的神器，可飞行	411000104	-0.1	-0.52	5	-129.16	0.45	1	ride	3	2	0
2001003	1	永恒烟火	1	0	1830	1	npc/zuoqi/baozhu	zuoqi_baozhu	1	3	0	0	riding00_005	1	9	12	-1	欢天喜地放爆竹咯~~~	411000108	-0.092	-0.25	5	-142.06	0.45	1	ride	3	2	0
2001004	1	玄铁剑	1	0	2451	1	npc/zuoqi/feijian02	zuoqi_feijian02	1	3	0	0	riding00_009	1	7	10	-1	以天外陨石所含玄铁精华铸就，重剑无锋，大巧不工。	411000110	0.11	-0.36	5	-130	0.4	1	ride01	2	2	0
2001005	1	龙渊帝剑	1	0	2452	1	npc/zuoqi/feijian01	zuoqi_feijian01	1	3	0	0	riding00_010	1	9	12	-1	上古十大名剑之一的龙渊帝剑，以一族信仰之力蕴养了数千载岁月。	411000111	0	-0.37	5	-130	0.4	1	ride01	4	2	0
2001006	1	烈炎龙兽	1	0	1828	1	npc/zuoqi/long	zuoqi_long	1	3	0	0	riding00_008	1	9	12	-1	烈焰龙兽，上古之龙和麒麟王者血脉！	411000106	-0.101	-0.601	5	-133.54	0.3	1	ride	5	2	0
2001007	1	炽羽天凤	1	0	1829	1	npc/zuoqi/fenghuang	zuoqi_fenghuang	1	3	0	0	riding00_007	1	9	12	-1	炽羽天凤，燃尽世间一切邪恶！	411000107	-0.12	-0.7	5	-131.54	0.3	1	ride	5	2	0
2001008	1	上古棘龙	1	0	2454	1	npc/zuoqi/gulong	zuoqi_gulong	1	3	0	0	riding00_014	1	9	12	-1	上古棘龙，周身骨刺环绕，令人望而生畏。	411000115	0.049	-0.634	5	-127.1	0.3	0	ride	4	2	0
2001009	1	小鸽鸽	1	0	1823	1	npc/zuoqi/gezi	zuoqi_gezi	1	3	0	0	riding00_017	1	9	12	-1	我不小！我很大好吗！	411000123	0.09	-0.65	5	-138.55	0.4	1	ride	2	2	0
2001010	1	千纸鹤	1	0	2453	1	npc/zuoqi/zhihe01	zuoqi_zhihe01	1	3	0	0	riding00_022	1	9	12	-1	偏偏纸鹤，随风入夜，入吾心幽，拨吾心弦。	411000124	0	-0.7	5	-124.54	0.4	1	ride	3	2	70007900
2001011	1	摇风纨扇	1	0	2453	1	npc/zuoqi/tuanshan01	zuoqi_tuanshan01	1	3	0	0	riding00_023	1	9	12	-1	轻摇慢曳躲美人，飘摇而来。	411000125	0	-0.33	5	-143.1	0.4	1	ride01	3	2	0
2001012	1	暖冬卷	1	0	2453	1	npc/zuoqi/huajuan01	zuoqi_huajuan01	1	3	0	0	riding00_024	1	9	12	-1	蝶舞恋花香阶畔，亭落吟雪待人归。	411000126	0	-0.43	5	-147.55	0.4	1	ride01	3	2	70008000
2001013	1	圣诞雪橇	1	0	2453	1	npc/zuoqi/xueqiao	zuoqi_xueqiao	1	3	0	0	riding00_028	1	9	12	-1	叮叮当,叮叮当,铃儿响叮当。	411000127	0	-0.666	5	-146	0.3	0	ride02	3	2	0
2001014	1	风荷举	1	0	2453	1	npc/zuoqi/lianhua	ride_lianhua01	1	3	0	0	item12_010	1	9	12	-1	灼灼荷花瑞，亭亭出水中。	411000131	0	-0.85	5	-162.53	0.5	0	ride01	3	2	0
2001015	1	峨眉月	1	0	2453	1	npc/zuoqi/yueliang	zuoqi_yueliang	1	3	0	0	item12_014	1	9	12	-1	海上生明月，天涯共此时。	411000132	0	-0.78	5	-162.53	0.4	0	ride	3	2	0
2001016	1	大海之灵	1	0	2453	1	npc/zuoqi/jinyu	zuoqi_jinyu	1	3	0	0	item12_025	1	9	12	-1	海生万物，泽灵万生。	411000430	-0.2	-0.7	5	-130	0.4	1	ride	3	2	70009100
