宝石道具ID	有效标志	镶嵌的部位	镶嵌孔的形状	宝石类型	宝石颜色	宝石等级	下级宝石ID	上级宝石ID	境界限制	升级需要同级宝石数（要算上自己）	升级需要晶石	分解材料副ID（1位类型<1装备2宝石>+1位颜色+2位分类(部位)+1位等级）	付费升级消耗ID	升级宝石成功率	属性类型1	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	增加战力值1	增加战力值2	属性类型2	剑客数值1	御灵数值1	刀客数值1	弓手数值1	下阶宝石ID
400140301	1	1023	2	3	4	3	400140401	400140201	10	3	310000	240303	50141	10000	68	540	540	594	432	71	540	540	594	432	0	0	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	400150301
400140401	1	1023	2	3	4	4	400140501	400140301	10	3	1240000	240304	50141	10000	68	770	770	847	616	71	770	770	847	616	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	400150401
400140501	1	1023	2	3	4	5	400140601	400140401	10	3	4960000	240305	50141	10000	68	1220	1220	1342	976	71	1220	1220	1342	976	0	0	0	0	0	0	0	0	0	0	9708	0	0	0	0	0	0	400150501
400140601	1	1023	2	3	4	6	400140701	400140501	10	3	19840000	240306	50141	10000	68	1750	1750	1925	1400	71	1750	1750	1925	1400	0	0	0	0	0	0	0	0	0	0	14562	0	0	0	0	0	0	400150601
400140701	1	1023	2	3	4	7	400140801	400140601	10	3	79360000	240307	50141	10000	68	2370	2370	2607	1896	71	2370	2370	2607	1896	0	0	0	0	0	0	0	0	0	0	21843	0	0	0	0	0	0	400150701
400140801	1	1023	2	3	4	8	400140901	400140701	10	3	79360000	240308	50141	10000	68	3450	3450	3795	2760	71	3450	3450	3795	2760	0	0	0	0	0	0	0	0	0	0	32765	0	0	0	0	0	0	400150801
400140901	1	1023	2	3	4	9	-1	400140801	10	-1	-1	240308	-1	10000	68	4545	4545	4999	3636	71	4545	4545	4999	3636	0	0	0	0	0	0	0	0	0	0	45871	0	0	0	0	0	0	400150901
400150101	1	1023	2	3	5	1	400150201	-1	17	3	107500	250301	50151	10000	68	365	365	401	292	71	365	365	401	292	0	0	0	0	0	0	0	0	0	0	4131	0	0	0	0	0	0	-1
400150201	1	1023	2	3	5	2	400150301	400150101	17	3	215000	250302	50151	10000	68	730	730	803	584	71	730	730	803	584	0	0	0	0	0	0	0	0	0	0	8262	0	0	0	0	0	0	-1
400150301	1	1023	2	3	5	3	400150401	400150201	17	3	860000	250303	50151	10000	68	1145	1145	1259	916	71	1145	1145	1259	916	0	0	0	0	0	0	0	0	0	0	12393	0	0	0	0	0	0	-1
400150401	1	1023	2	3	5	4	400150501	400150301	17	3	3440000	250304	50151	10000	68	1525	1525	1677	1220	71	1525	1525	1677	1220	0	0	0	0	0	0	0	0	0	0	18590	0	0	0	0	0	0	-1
400150501	1	1023	2	3	5	5	400150601	400150401	17	3	13760000	250305	50151	10000	68	2725	2725	2997	2180	71	2725	2725	2997	2180	0	0	0	0	0	0	0	0	0	0	27885	0	0	0	0	0	0	-1
400150601	1	1023	2	3	5	6	400150701	400150501	17	3	55040000	250306	50151	10000	68	3555	3555	3910	2844	71	3555	3555	3910	2844	0	0	0	0	0	0	0	0	0	0	41828	0	0	0	0	0	0	-1
400150701	1	1023	2	3	5	7	400150801	400150601	17	3	220160000	250307	50151	10000	68	4950	4950	5445	3960	71	4950	4950	5445	3960	0	0	0	0	0	0	0	0	0	0	62742	0	0	0	0	0	0	-1
400150801	1	1023	2	3	5	8	400150901	400150701	17	3	220160000	250308	50151	10000	68	6190	6190	6809	4952	71	6190	6190	6809	4952	0	0	0	0	0	0	0	0	0	0	87839	0	0	0	0	0	0	-1
400150901	1	1023	2	3	5	9	-1	400150801	17	-1	-1	250308	-1	10000	68	7425	7425	8167	5940	71	7425	7425	8167	5940	0	0	0	0	0	0	0	0	0	0	122975	0	0	0	0	0	0	-1
400130102	1	65	1	5	3	1	400130202	-1	2	3	12500	230501	50231	10000	7	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	400140102
400130202	1	65	1	5	3	2	400130302	400130102	2	3	25000	230502	50231	10000	7	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	400140202
400130302	1	65	1	5	3	3	400130402	400130202	2	3	100000	230503	50231	10000	7	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	400140302
400130402	1	65	1	5	3	4	400130502	400130302	2	3	400000	230504	50231	10000	7	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	400140402
400130502	1	65	1	5	3	5	400130602	400130402	2	3	1600000	230505	50231	10000	7	575	575	575	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3840	0	0	0	0	0	0	400140502
400130602	1	65	1	5	3	6	400130702	400130502	2	3	6400000	230506	50231	10000	7	750	750	750	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760	0	0	0	0	0	0	400140602
400130702	1	65	1	5	3	7	400130802	400130602	5	3	25600000	230507	50231	10000	7	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8640	0	0	0	0	0	0	400140702
400130802	1	65	1	5	3	8	400130902	400130702	5	3	25600000	230508	50231	10000	7	1250	1250	1250	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12960	0	0	0	0	0	0	400140802
400130902	1	65	1	5	3	9	-1	400130802	8	-1	-1	230508	-1	10000	7	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18144	0	0	0	0	0	0	400140902
400140102	1	65	1	5	4	1	400140202	-1	10	3	38750	240501	50241	10000	7	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618	0	0	0	0	0	0	400150102
400140202	1	65	1	5	4	2	400140302	400140102	10	3	77500	240502	50241	10000	7	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	400150202
400140302	1	65	1	5	4	3	400140402	400140202	10	3	310000	240503	50241	10000	7	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	400150302
400140402	1	65	1	5	4	4	400140502	400140302	10	3	1240000	240504	50241	10000	7	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12944	0	0	0	0	0	0	400150402
400140502	1	65	1	5	4	5	400140602	400140402	10	3	4960000	240505	50241	10000	7	1150	1150	1150	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19416	0	0	0	0	0	0	400150502
400140602	1	65	1	5	4	6	400140702	400140502	10	3	19840000	240506	50241	10000	7	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29124	0	0	0	0	0	0	400150602
400140702	1	65	1	5	4	7	400140802	400140602	10	3	79360000	240507	50241	10000	7	1850	1850	1850	1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43686	0	0	0	0	0	0	400150702
400140802	1	65	1	5	4	8	400140902	400140702	10	3	79360000	240508	50241	10000	7	2250	2250	2250	2250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65530	0	0	0	0	0	0	400150802
400140902	1	65	1	5	4	9	-1	400140802	10	-1	-1	240508	-1	10000	7	2750	2750	2750	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91742	0	0	0	0	0	0	400150902
400150102	1	65	1	5	5	1	400150202	-1	17	3	107500	250501	50251	10000	7	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8262	0	0	0	0	0	0	-1
400150202	1	65	1	5	5	2	400150302	400150102	17	3	215000	250502	50251	10000	7	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16524	0	0	0	0	0	0	-1
400150302	1	65	1	5	5	3	400150402	400150202	17	3	860000	250503	50251	10000	7	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24786	0	0	0	0	0	0	-1
400150402	1	65	1	5	5	4	400150502	400150302	17	3	3440000	250504	50251	10000	7	1600	1600	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37180	0	0	0	0	0	0	-1
400150502	1	65	1	5	5	5	400150602	400150402	17	3	13760000	250505	50251	10000	7	2300	2300	2300	2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55770	0	0	0	0	0	0	-1
400150602	1	65	1	5	5	6	400150702	400150502	17	3	55040000	250506	50251	10000	7	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83656	0	0	0	0	0	0	-1
400150702	1	65	1	5	5	7	400150802	400150602	17	3	220160000	250507	50251	10000	7	4000	4000	4000	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125484	0	0	0	0	0	0	-1
400150802	1	65	1	5	5	8	400150902	400150702	17	3	220160000	250508	50251	10000	7	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175678	0	0	0	0	0	0	-1
400150902	1	65	1	5	5	9	-1	400150802	17	-1	-1	250508	-1	10000	7	6000	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245950	0	0	0	0	0	0	-1
400130103	1	34	2	6	3	1	400130203	-1	2	3	12500	230601	50131	10000	8	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	400140103
400130203	1	34	2	6	3	2	400130303	400130103	2	3	25000	230602	50131	10000	8	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	400140203
400130303	1	34	2	6	3	3	400130403	400130203	2	3	100000	230603	50131	10000	8	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	400140303
400130403	1	34	2	6	3	4	400130503	400130303	2	3	400000	230604	50131	10000	8	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	400140403
400130503	1	34	2	6	3	5	400130603	400130403	2	3	1600000	230605	50131	10000	8	575	575	575	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3840	0	0	0	0	0	0	400140503
400130603	1	34	2	6	3	6	400130703	400130503	2	3	6400000	230606	50131	10000	8	750	750	750	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760	0	0	0	0	0	0	400140603
400130703	1	34	2	6	3	7	400130803	400130603	5	3	25600000	230607	50131	10000	8	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8640	0	0	0	0	0	0	400140703
400130803	1	34	2	6	3	8	400130903	400130703	5	3	25600000	230608	50131	10000	8	1250	1250	1250	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12960	0	0	0	0	0	0	400140803
400130903	1	34	2	6	3	9	-1	400130803	8	-1	-1	230608	-1	10000	8	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18144	0	0	0	0	0	0	400140903
400140103	1	34	2	6	4	1	400140203	-1	10	3	38750	240601	50141	10000	8	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618	0	0	0	0	0	0	400150103
400140203	1	34	2	6	4	2	400140303	400140103	10	3	77500	240602	50141	10000	8	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	400150203
400140303	1	34	2	6	4	3	400140403	400140203	10	3	310000	240603	50141	10000	8	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	400150303
400140403	1	34	2	6	4	4	400140503	400140303	10	3	1240000	240604	50141	10000	8	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12944	0	0	0	0	0	0	400150403
400140503	1	34	2	6	4	5	400140603	400140403	10	3	4960000	240605	50141	10000	8	1150	1150	1150	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19416	0	0	0	0	0	0	400150503
400140603	1	34	2	6	4	6	400140703	400140503	10	3	19840000	240606	50141	10000	8	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29124	0	0	0	0	0	0	400150603
400140703	1	34	2	6	4	7	400140803	400140603	10	3	79360000	240607	50141	10000	8	1850	1850	1850	1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43686	0	0	0	0	0	0	400150703
400140803	1	34	2	6	4	8	400140903	400140703	10	3	79360000	240608	50141	10000	8	2250	2250	2250	2250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65530	0	0	0	0	0	0	400150803
400140903	1	34	2	6	4	9	-1	400140803	10	-1	-1	240608	-1	10000	8	2750	2750	2750	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91742	0	0	0	0	0	0	400150903
400150103	1	34	2	6	5	1	400150203	-1	17	3	107500	250601	50151	10000	8	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8262	0	0	0	0	0	0	-1
400150203	1	34	2	6	5	2	400150303	400150103	17	3	215000	250602	50151	10000	8	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16524	0	0	0	0	0	0	-1
400150303	1	34	2	6	5	3	400150403	400150203	17	3	860000	250603	50151	10000	8	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24786	0	0	0	0	0	0	-1
400150403	1	34	2	6	5	4	400150503	400150303	17	3	3440000	250604	50151	10000	8	1600	1600	1600	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37180	0	0	0	0	0	0	-1
400150503	1	34	2	6	5	5	400150603	400150403	17	3	13760000	250605	50151	10000	8	2300	2300	2300	2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55770	0	0	0	0	0	0	-1
400150603	1	34	2	6	5	6	400150703	400150503	17	3	55040000	250606	50151	10000	8	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83656	0	0	0	0	0	0	-1
400150703	1	34	2	6	5	7	400150803	400150603	17	3	220160000	250607	50151	10000	8	4000	4000	4000	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125484	0	0	0	0	0	0	-1
400150803	1	34	2	6	5	8	400150903	400150703	17	3	220160000	250608	50151	10000	8	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175678	0	0	0	0	0	0	-1
400150903	1	34	2	6	5	9	-1	400150803	17	-1	-1	250608	-1	10000	8	6000	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245950	0	0	0	0	0	0	-1
400130104	1	144	1	7	3	1	400130204	-1	2	3	12500	230701	50131	10000	5	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	400140104
400130204	1	144	1	7	3	2	400130304	400130104	2	3	25000	230702	50131	10000	5	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	400140204
400130304	1	144	1	7	3	3	400130404	400130204	2	3	100000	230703	50131	10000	5	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	400140304
400130404	1	144	1	7	3	4	400130504	400130304	2	3	400000	230704	50131	10000	5	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	400140404
400130504	1	144	1	7	3	5	400130604	400130404	2	3	1600000	230705	50131	10000	5	575	575	575	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3840	0	0	0	0	0	0	400140504
400130604	1	144	1	7	3	6	400130704	400130504	2	3	6400000	230706	50131	10000	5	750	750	750	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760	0	0	0	0	0	0	400140604
400130704	1	144	1	7	3	7	400130804	400130604	5	3	25600000	230707	50131	10000	5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8640	0	0	0	0	0	0	400140704
400130804	1	144	1	7	3	8	400130904	400130704	5	3	25600000	230708	50131	10000	5	1250	1250	1250	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12960	0	0	0	0	0	0	400140804
400130904	1	144	1	7	3	9	-1	400130804	8	-1	-1	230708	-1	10000	5	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18144	0	0	0	0	0	0	400140904
400140104	1	144	1	7	4	1	400140204	-1	10	3	38750	240701	50141	10000	5	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618	0	0	0	0	0	0	400150104
400140204	1	144	1	7	4	2	400140304	400140104	10	3	77500	240702	50141	10000	5	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	400150204
400140304	1	144	1	7	4	3	400140404	400140204	10	3	310000	240703	50141	10000	5	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	400150304
400140404	1	144	1	7	4	4	400140504	400140304	10	3	1240000	240704	50141	10000	5	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12944	0	0	0	0	0	0	400150404
400140504	1	144	1	7	4	5	400140604	400140404	10	3	4960000	240705	50141	10000	5	1150	1150	1150	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19416	0	0	0	0	0	0	400150504
400140604	1	144	1	7	4	6	400140704	400140504	10	3	19840000	240706	50141	10000	5	1500	1500	1500	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29124	0	0	0	0	0	0	400150604
400140704	1	144	1	7	4	7	400140804	400140604	10	3	79360000	240707	50141	10000	5	1850	1850	1850	1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43686	0	0	0	0	0	0	400150704
