群组ID	有效值	死亡触发事件ID	公共掉落ID	单人掉落ID	是否为群组巡逻	成员个数	成员ID1	成员ID2	成员ID3	成员ID4	成员ID5	成员ID6	成员ID7	成员ID8	成员ID9	成员ID10	成员ID11	成员ID12	成员ID13	成员ID14	成员ID15	成员ID16	成员ID17	成员ID18	成员ID19	成员ID20
301800001	1	30180001	0	0	0	5	301800001	301800002	301800003	301800004	301800005															
301800006	1	30180002	0	0	0	5	301800006	301800007	301800008	301800009	301800010															
301800011	1	30180003	0	0	0	1	301800011																			
301800012	1	30180004	0	0	0	5	301800012	301800013	301800014	301800015	301800016															
301800017	1	30180005	0	0	0	5	301800017	301800018	301800019	301800020	301800021															
301800022	1	30180006	0	0	0	1	301800022																			
301800023	1	30180007	0	0	0	10	301800023	301800024	301800025	301800026	301800027	301800028	301800029	301800030	301800031	301800032										
301800033	1	30180009	0	0	0	2	301800033	301800034																		
301800035	1	30180012	0	0	0	1	301800035																			
301800036	1	30180015	0	0	0	6	301800036	301800037	301800038	301800039	301800040	301800041														
301900003	1	30190020	0	0	0	2	301900003	301900004																		
301900005	1	30190022	0	0	0	3	301900005	301900006	301900007																	
301900008	1	30190023	0	0	0	3	301900008	301900009	301900010																	
301900011	1	30190025	0	0	0	3	301900011	301900012	301900013																	
301900016	1	30190026	0	0	0	3	301900016	301900017	301900018																	
301900019	1	30190027	0	0	0	4	301900019	301900020	301900021	301900022																
310100001	1	31010001	0	0	0	4	310100001	310100002	310100003	310100004																
310100005	1	31010002	0	0	0	4	310100005	310100006	310100007	310100008																
310100009	1	31010003	0	0	0	8	310100009	310100010	310100011	310100012	310100013	310100014	310100015	310100016												
310100017	1	31010004	0	0	0	4	310100017	310100018	310100019	310100020																
310100021	1	31010005	0	0	0	8	310100021	310100022	310100023	310100024	310100025	310100026	310100027	310100028												
310100029	1	31010006	0	0	0	1	310100029																			
310200008	1	31020001	0	0	0	9	310200008	310200009	310200010	310200011	310200012	310200013	310200014	310200015	310200016											
310200017	1	31020002	0	0	0	12	310200017	310200018	310200019	310200020	310200021	310200022	310200023	310200024	310200025	310200026	310200027	310200028								
310200029	1	31020003	0	0	0	7	310200029	310200030	310200031	310200032	310200033	310200034	310200035													
310200036	1	31020004	0	0	0	1	310200036																			
310300004	1	31030001	0	0	0	9	310300004	310300005	310300006	310300007	310300008	310300009	310300010	310300011	310300012											
310300014	1	31030002	0	0	0	4	310300014	310300016	310300017	310300018																
310300019	1	31030003	0	0	0	5	310300019	310300020	310300021	310300022	310300023															
310300024	1	31030004	0	0	0	11	310300024	310300025	310300026	310300027	310300028	310300029	310300030	310300031	310300032	310300033	310300034									
310400003	1	31040001	0	0	0	7	310400003	310400004	310400005	310400006	310400007	310400008	310400009													
310400014	1	31040002	0	0	0	8	310400014	310400015	310400016	310400017	310400018	310400019	310400020	310400021												
310400027	1	31040003	0	0	0	7	310400027	310400028	310400029	310400030	310400031	310400032	310400033													
310400010	1	31040004	0	0	0	6	310400010	310400011	310400023	310400024	310400025	310400026														
310400036	1	31040005	0	0	0	1	310400036																			
310500001	1	31050001	0	0	0	4	310500001	310500002	310500003	310500004																
310500005	1	31050002	0	0	0	4	310500005	310500006	310500007	310500008																
310500009	1	31050003	0	0	0	8	310500009	310500010	310500011	310500012	310500013	310500014	310500015	310500016												
310500017	1	31050004	0	0	0	4	310500017	310500018	310500019	310500020																
310500021	1	31050005	0	0	0	8	310500021	310500022	310500023	310500024	310500025	310500026	310500027	310500028												
310500029	1	31050006	0	0	0	1	310500029																			
310600001	1	31060001	0	0	0	4	310600001	310600002	310600003	310600004																
310600005	1	31060002	0	0	0	4	310600005	310600006	310600007	310600008																
310600009	1	31060003	0	0	0	8	310600009	310600010	310600011	310600012	310600013	310600014	310600015	310600016												
310600017	1	31060004	0	0	0	4	310600017	310600018	310600019	310600020																
310600021	1	31060005	0	0	0	8	310600021	310600022	310600023	310600024	310600025	310600026	310600027	310600028												
310600029	1	31060006	0	0	0	1	310600029																			
310700001	1	31070001	0	0	0	4	310700001	310700002	310700003	310700004																
310700005	1	31070002	0	0	0	4	310700005	310700006	310700007	310700008																
310700009	1	31070003	0	0	0	8	310700009	310700010	310700011	310700012	310700013	310700014	310700015	310700016												
310700017	1	31070004	0	0	0	4	310700017	310700018	310700019	310700020																
310700021	1	31070005	0	0	0	8	310700021	310700022	310700023	310700024	310700025	310700026	310700027	310700028												
310700029	1	31070006	0	0	0	1	310700029																			
310800001	1	31080001	0	0	0	4	310800001	310800002	310800003	310800004																
310800005	1	31080002	0	0	0	4	310800005	310800006	310800007	310800008																
310800009	1	31080003	0	0	0	8	310800009	310800010	310800011	310800012	310800013	310800014	310800015	310800016												
310800017	1	31080004	0	0	0	4	310800017	310800018	310800019	310800020																
310800021	1	31080005	0	0	0	8	310800021	310800022	310800023	310800024	310800025	310800026	310800027	310800028												
310800029	1	31080006	0	0	0	1	310800029																			
320101001	1	63202001	0	0	0	10	320101001	320101002	320101003	320101004	320101005	320101006	320101007	320101008	320101009	320101010										
320102001	1	63202002	0	0	0	11	320102001	320102002	320102003	320102004	320102005	320102006	320102007	320102008	320102009	320102010	320102011									
320103001	1	63202003	0	0	0	10	320103001	320103002	320103003	320103004	320103005	320103006	320103007	320103008	320103009	320103010										
320104001	1	63202004	0	0	0	10	320104001	320104002	320104003	320104004	320104005	320104006	320104007	320104008	320104009	320104010										
320105001	1	63202005	0	0	0	11	320105001	320105002	320105003	320105004	320105005	320105006	320105007	320105008	320105009	320105010	320105011									
320106001	1	63202006	0	0	0	10	320106001	320106002	320106003	320106004	320106005	320106006	320106007	320106008	320106009	320106010										
320107001	1	63202007	0	0	0	10	320107001	320107002	320107003	320107004	320107005	320107006	320107007	320107008	320107009	320107010										
320108001	1	63202008	0	0	0	12	320108001	320108002	320108003	320108004	320108005	320108006	320108007	320108008	320108009	320108010	320108011	320108012								
320109001	1	63202009	0	0	0	12	320109001	320109002	320109003	320109004	320109005	320109006	320109007	320109008	320109009	320109010	320109011	320109012								
320110001	1	63202010	0	0	0	1	320110001																			
320100007	1	63202012	0	0	0	1	320100007																			
320100011	1	0	0	0	0	3	320100011	320100012	320100013																	
320200005	1	32020001	0	0	0	1	320200005																			
320200006	1	32020002	0	0	0	6	320200006	320200007	320200008	320200009	320200010	320200011														
320200012	1	32020003	0	0	0	7	320200012	320200013	320200014	320200015	320200016	320200017	320200018													
320200019	1	32020004	0	0	0	8	320200019	320200020	320200021	320200022	320200023	320200024	320200025	320200026												
320200027	1	32020005	0	0	0	8	320200027	320200028	320200029	320200030	320200031	320200032	320200033	320200034												
320200035	1	32020006	0	0	0	6	320200035	320200036	320200037	320200038	320200039	320200040														
320200041	1	32020007	0	0	0	14	320200041	320200042	320200043	320200044	320200045	320200046	320200047	320200048	320200049	320200050	320200051	320200052	320200053	320200054						
320300001	1	63030003	0	0	0	18	320300001	320300002	320300003	320300004	320300005	320300006	320300007	320300008	320300011	320300012	320300013	320300014	320300015	320300016	320300017	320300018	320301001	320301002		
320300010	1	0	0	0	0	18	320300010	320300020	320300021	320300022	320300023	320300024	320300025	320300026	320300027	320300028	320300029	320300030	320300031	320300032	320300033	320300034	320300035	320301003		
320400006	1	32040021	0	0	0	5	320400006	320400007	320400008	320400009	320400010															
320400011	1	32040022	0	0	0	5	320400011	320400012	320400013	320400014	320400015															
320400016	1	32040023	0	0	0	5	320400016	320400017	320400018	320400019	320400020															
320400021	1	32040024	0	0	0	5	320400021	320400022	320400023	320400024	320400025															
320400026	1	32040025	0	0	0	5	320400026	320400027	320400028	320400029	320400030															
320300043	1	0	0	0	0	9	320300009	320300036	320300037	320300038	320300039	320300040	320300041	320300042	320300043											
340100004	1	34010002	0	0	0	6	340100004	340100005	340100006	340100007	340100008	340100009														
340100011	1	34010003	0	0	0	6	340100011	340100012	340100013	340100014	340100015	340100016														
340100017	1	34010004	0	0	0	1	340100017																			
340100019	1	34010005	0	0	0	6	340100019	340100020	340100021	340100022	340100023	340100024														
340100025	1	34010006	0	0	0	7	340100025	340100026	340100027	340100028	340100029	340100030	340100031													
340100032	1	34010007	0	0	0	1	340100032																			
340100034	1	34010009	0	0	0	6	340100034	340100035	340100036	340100037	340100038	340100039														
340100041	1	34010010	0	0	0	6	340100041	340100042	340100043	340100044	340100045	340100046														
340100047	1	34010011	0	0	0	1	340100047																			
340100049	1	34010012	0	0	0	6	340100049	340100050	340100051	340100052	340100053	340100054														
340100055	1	34010013	0	0	0	3	340100055	340100056	340100057																	
340100059	1	34010016	0	0	0	7	340100059	340100060	340100061	340100062	340100063	340100064	340100065													
340100066	1	0	0	0	0	10	340100066	340100067	340100068	340100069	340100070	340100071	340100072	340100073	340100074	340100075										
340100076	1	34010018	0	0	0	1	340100076																			
340100077	1	0	0	0	0	2	340100077	340100078																		
340100080	1	0	0	0	0	1	340100080																			
340100081	1	0	0	0	0	4	340100081	340100082	340100083	340100084																
340100085	1	34010023	0	0	0	1	340100085																			
340100086	1	34010022	0	0	0	4	340100086	340100087	340100088	340100089																
340100090	1	34010025	0	0	0	3	340100090	340100095	340100096																	
340100091	1	0	0	0	0	4	340100091	340100092	340100093	340100094																
340100098	1	0	0	0	0	7	340100098	340100099	340100100	340100101	340100102	340100103	340100104													
340100105	1	34010028	0	0	0	7	340100105	340100106	340100107	340100108	340100109	340100110	340100111													
340100112	1	34010030	0	0	0	2	340100112	340100113																		
340100114	1	0	0	0	0	3	340100114	340100115	340100116																	
340200004	1	34020002	0	0	0	6	340200004	340200005	340200006	340200007	340200008	340200009														
340200011	1	34020003	0	0	0	6	340200011	340200012	340200013	340200014	340200015	340200016														
340200017	1	34020004	0	0	0	1	340200017																			
340200019	1	34020005	0	0	0	6	340200019	340200020	340200021	340200022	340200023	340200024														
340200025	1	34020006	0	0	0	7	340200025	340200026	340200027	340200028	340200029	340200030	340200031													
340200032	1	34020007	0	0	0	1	340200032																			
340200034	1	34020009	0	0	0	6	340200034	340200035	340200036	340200037	340200038	340200039														
340200041	1	34020010	0	0	0	6	340200041	340200042	340200043	340200044	340200045	340200046														
340200047	1	34020011	0	0	0	1	340200047																			
340200049	1	34020012	0	0	0	6	340200049	340200050	340200051	340200052	340200053	340200054														
340200055	1	34020013	0	0	0	3	340200055	340200056	340200057																	
340200059	1	34020016	0	0	0	7	340200059	340200060	340200061	340200062	340200063	340200064	340200065													
340200066	1	0	0	0	0	10	340200066	340200067	340200068	340200069	340200070	340200071	340200072	340200073	340200074	340200075										
340200076	1	34020018	0	0	0	1	340200076																			
340200077	1	0	0	0	0	2	340200077	340200078																		
340200080	1	0	0	0	0	1	340200080																			
340200081	1	0	0	0	0	4	340200081	340200082	340200083	340200084																
340200085	1	34020023	0	0	0	1	340200085																			
340200086	1	34020022	0	0	0	4	340200086	340200087	340200088	340200089																
340200090	1	34020025	0	0	0	3	340200090	340200095	340200096																	
340200091	1	0	0	0	0	4	340200091	340200092	340200093	340200094																
340200098	1	0	0	0	0	7	340200098	340200099	340200100	340200101	340200102	340200103	340200104													
340200105	1	34020028	0	0	0	7	340200105	340200106	340200107	340200108	340200109	340200110	340200111													
340200112	1	34020030	0	0	0	2	340200112	340200113																		
340200114	1	0	0	0	0	3	340200114	340200115	340200116																	
340300004	1	34030002	0	0	0	6	340300004	340300005	340300006	340300007	340300008	340300009														
340300011	1	34030003	0	0	0	6	340300011	340300012	340300013	340300014	340300015	340300016														
340300017	1	34030004	0	0	0	1	340300017																			
340300019	1	34030005	0	0	0	6	340300019	340300020	340300021	340300022	340300023	340300024														
340300025	1	34030006	0	0	0	7	340300025	340300026	340300027	340300028	340300029	340300030	340300031													
340300032	1	34030007	0	0	0	1	340300032																			
340300034	1	34030009	0	0	0	6	340300034	340300035	340300036	340300037	340300038	340300039														
340300041	1	34030010	0	0	0	6	340300041	340300042	340300043	340300044	340300045	340300046														
340300047	1	34030011	0	0	0	1	340300047																			
340300049	1	34030012	0	0	0	6	340300049	340300050	340300051	340300052	340300053	340300054														
340300055	1	34030013	0	0	0	3	340300055	340300056	340300057																	
340300059	1	34030016	0	0	0	7	340300059	340300060	340300061	340300062	340300063	340300064	340300065													
340300066	1	0	0	0	0	10	340300066	340300067	340300068	340300069	340300070	340300071	340300072	340300073	340300074	340300075										
340300076	1	34030018	0	0	0	1	340300076																			
340300077	1	0	0	0	0	2	340300077	340300078																		
340300080	1	0	0	0	0	1	340300080																			
340300081	1	0	0	0	0	4	340300081	340300082	340300083	340300084																
340300085	1	34030023	0	0	0	1	340300085																			
340300086	1	34030022	0	0	0	4	340300086	340300087	340300088	340300089																
340300090	1	34030025	0	0	0	3	340300090	340300095	340300096																	
340300091	1	0	0	0	0	4	340300091	340300092	340300093	340300094																
340300098	1	0	0	0	0	7	340300098	340300099	340300100	340300101	340300102	340300103	340300104													
340300105	1	34030028	0	0	0	7	340300105	340300106	340300107	340300108	340300109	340300110	340300111													
340300112	1	34030030	0	0	0	2	340300112	340300113																		
340300114	1	0	0	0	0	3	340300114	340300115	340300116																	
340400004	1	34040002	0	0	0	6	340400004	340400005	340400006	340400007	340400008	340400009														
340400011	1	34040003	0	0	0	6	340400011	340400012	340400013	340400014	340400015	340400016														
340400017	1	34040004	0	0	0	1	340400017																			
340400019	1	34040005	0	0	0	6	340400019	340400020	340400021	340400022	340400023	340400024														
340400025	1	34040006	0	0	0	7	340400025	340400026	340400027	340400028	340400029	340400030	340400031													
340400032	1	34040007	0	0	0	1	340400032																			
340400034	1	34040009	0	0	0	6	340400034	340400035	340400036	340400037	340400038	340400039														
340400041	1	34040010	0	0	0	6	340400041	340400042	340400043	340400044	340400045	340400046														
340400047	1	34040011	0	0	0	1	340400047																			
340400049	1	34040012	0	0	0	6	340400049	340400050	340400051	340400052	340400053	340400054														
340400055	1	34040013	0	0	0	3	340400055	340400056	340400057																	
340400059	1	34040016	0	0	0	7	340400059	340400060	340400061	340400062	340400063	340400064	340400065													
340400066	1	0	0	0	0	10	340400066	340400067	340400068	340400069	340400070	340400071	340400072	340400073	340400074	340400075										
340400076	1	34040018	0	0	0	1	340400076																			
340400077	1	0	0	0	0	2	340400077	340400078																		
340400080	1	0	0	0	0	1	340400080																			
340400081	1	0	0	0	0	4	340400081	340400082	340400083	340400084																
340400085	1	34040023	0	0	0	1	340400085																			
340400086	1	34040022	0	0	0	4	340400086	340400087	340400088	340400089																
340400090	1	34040025	0	0	0	3	340400090	340400095	340400096																	
340400091	1	0	0	0	0	4	340400091	340400092	340400093	340400094																
340400098	1	0	0	0	0	7	340400098	340400099	340400100	340400101	340400102	340400103	340400104													
340400105	1	34040028	0	0	0	7	340400105	340400106	340400107	340400108	340400109	340400110	340400111													
340400112	1	34040030	0	0	0	2	340400112	340400113																		
340400114	1	0	0	0	0	3	340400114	340400115	340400116																	
340500004	1	34050002	0	0	0	6	340500004	340500005	340500006	340500007	340500008	340500009														
340500011	1	34050003	0	0	0	6	340500011	340500012	340500013	340500014	340500015	340500016														
340500017	1	34050004	0	0	0	1	340500017																			
340500019	1	34050005	0	0	0	6	340500019	340500020	340500021	340500022	340500023	340500024														
340500025	1	34050006	0	0	0	7	340500025	340500026	340500027	340500028	340500029	340500030	340500031													
340500032	1	34050007	0	0	0	1	340500032																			
340500034	1	34050009	0	0	0	6	340500034	340500035	340500036	340500037	340500038	340500039														
340500041	1	34050010	0	0	0	6	340500041	340500042	340500043	340500044	340500045	340500046														
340500047	1	34050011	0	0	0	1	340500047																			
340500049	1	34050012	0	0	0	6	340500049	340500050	340500051	340500052	340500053	340500054														
340500055	1	34050013	0	0	0	3	340500055	340500056	340500057																	
340500059	1	34050016	0	0	0	7	340500059	340500060	340500061	340500062	340500063	340500064	340500065													
340500066	1	0	0	0	0	10	340500066	340500067	340500068	340500069	340500070	340500071	340500072	340500073	340500074	340500075										
340500076	1	34050018	0	0	0	1	340500076																			
340500077	1	0	0	0	0	2	340500077	340500078																		
340500080	1	0	0	0	0	1	340500080																			
340500081	1	0	0	0	0	4	340500081	340500082	340500083	340500084																
340500085	1	34050023	0	0	0	1	340500085																			
340500086	1	34050022	0	0	0	4	340500086	340500087	340500088	340500089																
340500090	1	34050025	0	0	0	3	340500090	340500095	340500096																	
340500091	1	0	0	0	0	4	340500091	340500092	340500093	340500094																
340500098	1	0	0	0	0	7	340500098	340500099	340500100	340500101	340500102	340500103	340500104													
340500105	1	34050028	0	0	0	7	340500105	340500106	340500107	340500108	340500109	340500110	340500111													
340500112	1	34050030	0	0	0	2	340500112	340500113																		
340500114	1	0	0	0	0	3	340500114	340500115	340500116																	
340600004	1	34060002	0	0	0	6	340600004	340600005	340600006	340600007	340600008	340600009														
340600011	1	34060003	0	0	0	6	340600011	340600012	340600013	340600014	340600015	340600016														
340600017	1	34060004	0	0	0	1	340600017																			
340600019	1	34060005	0	0	0	6	340600019	340600020	340600021	340600022	340600023	340600024														
340600025	1	34060006	0	0	0	7	340600025	340600026	340600027	340600028	340600029	340600030	340600031													
340600032	1	34060007	0	0	0	1	340600032																			
340600034	1	34060009	0	0	0	6	340600034	340600035	340600036	340600037	340600038	340600039														
340600041	1	34060010	0	0	0	6	340600041	340600042	340600043	340600044	340600045	340600046														
340600047	1	34060011	0	0	0	1	340600047																			
340600049	1	34060012	0	0	0	6	340600049	340600050	340600051	340600052	340600053	340600054														
340600055	1	34060013	0	0	0	3	340600055	340600056	340600057																	
340600059	1	34060016	0	0	0	7	340600059	340600060	340600061	340600062	340600063	340600064	340600065													
340600066	1	0	0	0	0	10	340600066	340600067	340600068	340600069	340600070	340600071	340600072	340600073	340600074	340600075										
340600076	1	34060018	0	0	0	1	340600076																			
340600077	1	0	0	0	0	2	340600077	340600078																		
340600080	1	0	0	0	0	1	340600080																			
340600081	1	0	0	0	0	4	340600081	340600082	340600083	340600084																
340600085	1	34060023	0	0	0	1	340600085																			
340600086	1	34060022	0	0	0	4	340600086	340600087	340600088	340600089																
340600090	1	34060025	0	0	0	3	340600090	340600095	340600096																	
340600091	1	0	0	0	0	4	340600091	340600092	340600093	340600094																
340600098	1	0	0	0	0	7	340600098	340600099	340600100	340600101	340600102	340600103	340600104													
340600105	1	34060028	0	0	0	7	340600105	340600106	340600107	340600108	340600109	340600110	340600111													
340600112	1	34060030	0	0	0	2	340600112	340600113																		
340600114	1	0	0	0	0	3	340600114	340600115	340600116																	
340700004	1	34070002	0	0	0	6	340700004	340700005	340700006	340700007	340700008	340700009														
340700011	1	34070003	0	0	0	6	340700011	340700012	340700013	340700014	340700015	340700016														
340700017	1	34070004	0	0	0	1	340700017																			
340700019	1	34070005	0	0	0	6	340700019	340700020	340700021	340700022	340700023	340700024														
340700025	1	34070006	0	0	0	7	340700025	340700026	340700027	340700028	340700029	340700030	340700031													
340700032	1	34070007	0	0	0	1	340700032																			
340700034	1	34070009	0	0	0	6	340700034	340700035	340700036	340700037	340700038	340700039														
340700041	1	34070010	0	0	0	6	340700041	340700042	340700043	340700044	340700045	340700046														
340700047	1	34070011	0	0	0	1	340700047																			
340700049	1	34070012	0	0	0	6	340700049	340700050	340700051	340700052	340700053	340700054														
340700055	1	34070013	0	0	0	3	340700055	340700056	340700057																	
340700059	1	34070016	0	0	0	7	340700059	340700060	340700061	340700062	340700063	340700064	340700065													
340700066	1	0	0	0	0	10	340700066	340700067	340700068	340700069	340700070	340700071	340700072	340700073	340700074	340700075										
340700076	1	34070018	0	0	0	1	340700076																			
340700077	1	0	0	0	0	2	340700077	340700078																		
340700080	1	0	0	0	0	1	340700080																			
340700081	1	0	0	0	0	4	340700081	340700082	340700083	340700084																
340700085	1	34070023	0	0	0	1	340700085																			
340700086	1	34070022	0	0	0	4	340700086	340700087	340700088	340700089																
340700090	1	34070025	0	0	0	3	340700090	340700095	340700096																	
340700091	1	0	0	0	0	4	340700091	340700092	340700093	340700094																
340700098	1	0	0	0	0	7	340700098	340700099	340700100	340700101	340700102	340700103	340700104													
340700105	1	34070028	0	0	0	7	340700105	340700106	340700107	340700108	340700109	340700110	340700111													
340700112	1	34070030	0	0	0	2	340700112	340700113																		
340700114	1	0	0	0	0	3	340700114	340700115	340700116																	
340800004	1	34080002	0	0	0	6	340800004	340800005	340800006	340800007	340800008	340800009														
340800011	1	34080003	0	0	0	6	340800011	340800012	340800013	340800014	340800015	340800016														
340800017	1	34080004	0	0	0	1	340800017																			
340800019	1	34080005	0	0	0	6	340800019	340800020	340800021	340800022	340800023	340800024														
340800025	1	34080006	0	0	0	7	340800025	340800026	340800027	340800028	340800029	340800030	340800031													
340800032	1	34080007	0	0	0	1	340800032																			
340800034	1	34080009	0	0	0	6	340800034	340800035	340800036	340800037	340800038	340800039														
340800041	1	34080010	0	0	0	6	340800041	340800042	340800043	340800044	340800045	340800046														
340800047	1	34080011	0	0	0	1	340800047																			
340800049	1	34080012	0	0	0	6	340800049	340800050	340800051	340800052	340800053	340800054														
340800055	1	34080013	0	0	0	3	340800055	340800056	340800057																	
340800059	1	34080016	0	0	0	7	340800059	340800060	340800061	340800062	340800063	340800064	340800065													
340800066	1	0	0	0	0	10	340800066	340800067	340800068	340800069	340800070	340800071	340800072	340800073	340800074	340800075										
340800076	1	34080018	0	0	0	1	340800076																			
340800077	1	0	0	0	0	2	340800077	340800078																		
