宝石类型	宝石颜色	雕琢等级	有效字段	货币类型(1紫魂三角，2绿魂方形，3彩魂圆形)	货币数量	道具id	道具数量	属性类型1	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值2	御灵数值2	刀客数值2	弓手数值2	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	增加修为	直升金元	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	宝石名字
3	4	1	1	2	56	401300103	4	1068	160	144	120	200	1071	160	144	120	200	0	0	0	0	0	0	0	0	0	0	242	100	0	0	0	0	0	0	0	0	0	0	上古金刚石
3	4	2	1	2	167	401300103	12	1068	229	206	172	286	1071	229	206	172	286	0	0	0	0	0	0	0	0	0	0	485	300	0	0	0	0	0	0	0	0	0	0	上古金刚石
3	4	3	1	2	444	401300103	36	1068	328	295	246	410	1071	328	295	246	410	0	0	0	0	0	0	0	0	0	0	970	800	0	0	0	0	0	0	0	0	0	0	上古金刚石
3	4	4	1	2	1167	401300203	36	1068	469	422	352	586	1071	469	422	352	586	0	0	0	0	0	0	0	0	0	0	1941	2100	0	0	0	0	0	0	0	0	0	0	上古金刚石
3	4	5	1	2	2944	401300203	54	1068	671	604	503	839	1071	671	604	503	839	0	0	0	0	0	0	0	0	0	0	2912	5300	0	0	0	0	0	0	0	0	0	0	上古金刚石
3	4	6	1	2	5444	401300203	72	1068	959	863	719	1199	1071	959	863	719	1199	4068	50	50	50	50	4071	50	50	50	50	4368	9800	10071	50	50	50	50	0	0	0	0	0	上古金刚石
3	4	7	1	2	10556	401300303	72	1068	1371	1234	1028	1714	1071	1371	1234	1028	1714	4068	150	150	150	150	4071	150	150	150	150	6552	19000	10071	150	150	150	150	0	0	0	0	0	上古金刚石
3	4	8	1	2	22222	401300303	108	1068	1959	1763	1469	2449	1071	1959	1763	1469	2449	4068	250	250	250	250	4071	250	250	250	250	9829	40000	10071	250	250	250	250	0	0	0	0	0	上古金刚石
3	4	9	1	2	47222	401300303	144	1068	2799	2519	2099	3499	1071	2799	2519	2099	3499	4068	350	350	350	350	4071	350	350	350	350	13761	85000	10071	350	350	350	350	0	0	0	0	0	上古金刚石
3	5	0	1	2	0	401300103	0	1068	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐金刚石
3	5	1	1	2	56	401300103	4	1068	361	325	271	451	1071	361	325	271	451	0	0	0	0	0	0	0	0	0	0	1032	100	0	0	0	0	0	0	0	0	0	0	神赐金刚石
3	5	2	1	2	167	401300103	12	1068	517	465	388	646	1071	517	465	388	646	0	0	0	0	0	0	0	0	0	0	2065	300	0	0	0	0	0	0	0	0	0	0	神赐金刚石
3	5	3	1	2	444	401300103	36	1068	739	665	554	924	1071	739	665	554	924	0	0	0	0	0	0	0	0	0	0	3098	800	0	0	0	0	0	0	0	0	0	0	神赐金刚石
3	5	4	1	2	1167	401300203	36	1068	1057	951	793	1321	1071	1057	951	793	1321	0	0	0	0	0	0	0	0	0	0	4647	2100	0	0	0	0	0	0	0	0	0	0	神赐金刚石
3	5	5	1	2	2944	401300203	54	1068	1510	1359	1133	1888	1071	1510	1359	1133	1888	4068	50	50	50	50	4071	50	50	50	50	6971	5300	10071	50	50	50	50	0	0	0	0	0	神赐金刚石
3	5	6	1	2	5444	401300203	72	1068	2158	1942	1619	2698	1071	2158	1942	1619	2698	4068	150	150	150	150	4071	150	150	150	150	10457	9800	10071	150	150	150	150	0	0	0	0	0	神赐金刚石
3	5	7	1	2	10556	401300303	72	1068	3084	2776	2313	3855	1071	3084	2776	2313	3855	4068	300	300	300	300	4071	300	300	300	300	15685	19000	10071	300	300	300	300	0	0	0	0	0	神赐金刚石
3	5	8	1	2	22222	401300303	108	1068	4407	3966	3305	5509	1071	4407	3966	3305	5509	4068	500	500	500	500	4071	500	500	500	500	21959	40000	10071	500	500	500	500	0	0	0	0	0	神赐金刚石
3	5	9	1	2	47222	401300303	144	1068	6296	5666	4722	7870	1071	6296	5666	4722	7870	4068	700	700	700	700	4071	700	700	700	700	30743	85000	10071	700	700	700	700	0	0	0	0	0	神赐金刚石
5	3	0	1	1	0	401300102	0	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	1	1	1	42	401300102	2	1007	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	75	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	2	1	1	111	401300102	6	1007	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	200	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	3	1	1	278	401300102	18	1007	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	500	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	4	1	1	722	401300202	18	1007	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	1300	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	5	1	1	1444	401300202	27	1007	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	2600	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	6	1	1	2722	401300202	36	1007	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	4900	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	7	1	1	5278	401300302	36	1007	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	9500	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	8	1	1	11111	401300302	54	1007	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	20000	0	0	0	0	0	0	0	0	0	0	燎原石
5	3	9	1	1	23333	401300302	72	1007	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	42000	0	0	0	0	0	0	0	0	0	0	燎原石
5	4	0	1	1	0	401300102	0	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	1	1	1	42	401300102	2	1007	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	75	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	2	1	1	111	401300102	6	1007	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	200	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	3	1	1	278	401300102	18	1007	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	500	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	4	1	1	722	401300202	18	1007	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	1300	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	5	1	1	1444	401300202	27	1007	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	2600	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	6	1	1	2722	401300202	36	1007	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	4900	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	7	1	1	5278	401300302	36	1007	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	9500	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	8	1	1	11111	401300302	54	1007	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	20000	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	4	9	1	1	23333	401300302	72	1007	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	42000	0	0	0	0	0	0	0	0	0	0	上古燎原石
5	5	0	1	1	0	401300102	0	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	1	1	1	42	401300102	2	1007	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	75	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	2	1	1	111	401300102	6	1007	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	200	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	3	1	1	278	401300102	18	1007	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	500	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	4	1	1	722	401300202	18	1007	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	1300	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	5	1	1	1444	401300202	27	1007	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	2600	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	6	1	1	2722	401300202	36	1007	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	4900	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	7	1	1	5278	401300302	36	1007	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	9500	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	8	1	1	11111	401300302	54	1007	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	20000	0	0	0	0	0	0	0	0	0	0	神赐燎原石
5	5	9	1	1	23333	401300302	72	1007	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	42000	0	0	0	0	0	0	0	0	0	0	神赐燎原石
6	3	0	1	2	0	401300103	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	1	1	2	28	401300103	2	1008	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	50	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	2	1	2	72	401300103	6	1008	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	130	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	3	1	2	194	401300103	18	1008	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	350	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	4	1	2	500	401300203	18	1008	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	900	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	5	1	2	944	401300203	27	1008	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	1700	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	6	1	2	1778	401300203	36	1008	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	3200	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	7	1	2	3611	401300303	36	1008	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	6500	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	8	1	2	7500	401300303	54	1008	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	13500	0	0	0	0	0	0	0	0	0	0	炼体石
6	3	9	1	2	15556	401300303	72	1008	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	28000	0	0	0	0	0	0	0	0	0	0	炼体石
6	4	0	1	2	0	401300103	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	1	1	2	28	401300103	2	1008	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	50	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	2	1	2	72	401300103	6	1008	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	130	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	3	1	2	194	401300103	18	1008	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	350	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	4	1	2	500	401300203	18	1008	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	900	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	5	1	2	944	401300203	27	1008	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	1700	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	6	1	2	1778	401300203	36	1008	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	3200	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	7	1	2	3611	401300303	36	1008	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	6500	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	8	1	2	7500	401300303	54	1008	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	13500	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	4	9	1	2	15556	401300303	72	1008	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	28000	0	0	0	0	0	0	0	0	0	0	上古炼体石
6	5	0	1	2	0	401300103	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	1	1	2	28	401300103	2	1008	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	50	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	2	1	2	72	401300103	6	1008	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	130	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	3	1	2	194	401300103	18	1008	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	350	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	4	1	2	500	401300203	18	1008	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	900	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	5	1	2	944	401300203	27	1008	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	1700	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	6	1	2	1778	401300203	36	1008	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	3200	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	7	1	2	3611	401300303	36	1008	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	6500	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	8	1	2	7500	401300303	54	1008	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	13500	0	0	0	0	0	0	0	0	0	0	神赐炼体石
6	5	9	1	2	15556	401300303	72	1008	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	28000	0	0	0	0	0	0	0	0	0	0	神赐炼体石
7	3	0	1	1	0	401300102	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	1	1	1	28	401300102	2	1005	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	50	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	2	1	1	72	401300102	6	1005	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	130	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	3	1	1	194	401300102	18	1005	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	350	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	4	1	1	500	401300202	18	1005	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	900	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	5	1	1	944	401300202	27	1005	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	1700	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	6	1	1	1778	401300202	36	1005	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	3200	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	7	1	1	3611	401300302	36	1005	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	6500	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	8	1	1	7500	401300302	54	1005	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	13500	0	0	0	0	0	0	0	0	0	0	心眼石
7	3	9	1	1	15556	401300302	72	1005	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	28000	0	0	0	0	0	0	0	0	0	0	心眼石
7	4	0	1	1	0	401300102	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	1	1	1	28	401300102	2	1005	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	50	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	2	1	1	72	401300102	6	1005	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	130	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	3	1	1	194	401300102	18	1005	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	350	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	4	1	1	500	401300202	18	1005	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	900	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	5	1	1	944	401300202	27	1005	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	1700	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	6	1	1	1778	401300202	36	1005	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	3200	0	0	0	0	0	0	0	0	0	0	上古心眼石
