#道藏ID	valid	#所属分类	#道藏所在分类下的索引	#道藏名称	#道藏信息	#合成需要道具ID	#合成需要道具数量	#可成长阶段数	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏成长ID	#道藏图标前景	#道藏图标后景
[C][S]id	0	[C][S]bigkindsId	[C][S]ItemId	[C][S]ItemIdName	[C][S]Detail	[C][S]SpendKind	[C][S]SpendKindnum	[C][S]max	[C][S]grow_id1	[C][S]grow_id2	[C][S]grow_id3	[C][S]grow_id4	[C][S]grow_id5	[C][S]grow_id6	[C][S]grow_id7	[C][S]grow_id8	[C][S]grow_id9	[C][S]grow_id10	[C][S]grow_id11	[C][S]grow_id12	[C][S]ItemImageId	[C][S]ItemImageBId
903002001	1	3	2	两苏经解	两苏经解	300200103	60	12	3002001	3002002	3002003	3002004	3002005	3002006	3002007	3002008	3002009	3002010	3002011	3002012	item40_011	0
903003001	1	3	3	驭华经注	驭华经注	300200103	90	12	3003001	3003002	3003003	3003004	3003005	3003006	3003007	3003008	3003009	3003010	3003011	3003012	item40_006	0
903004001	1	3	4	清静经注解	清静经注解	300200103	120	12	3004001	3004002	3004003	3004004	3004005	3004006	3004007	3004008	3004009	3004010	3004011	3004012	item40_009	0
903005001	1	3	5	太上八宿经	太上八宿经	300200103	150	12	3005001	3005002	3005003	3005004	3005005	3005006	3005007	3005008	3005009	3005010	3005011	3005012	item40_004	0
904001001	1	4	1	六经图	六经图	300200104	5	12	4001001	4001002	4001003	4001004	4001005	4001006	4001007	4001008	4001009	4001010	4001011	4001012	item40_005	0
904002001	1	4	2	性命圭旨	性命圭旨	300200104	60	12	4002001	4002002	4002003	4002004	4002005	4002006	4002007	4002008	4002009	4002010	4002011	4002012	item40_006	0
904003001	1	4	3	草本经义	草本经义	300200104	90	12	4003001	4003002	4003003	4003004	4003005	4003006	4003007	4003008	4003009	4003010	4003011	4003012	item40_014	0
904004001	1	4	4	相法五总龟	相法五总龟	300200104	120	12	4004001	4004002	4004003	4004004	4004005	4004006	4004007	4004008	4004009	4004010	4004011	4004012	item40_016	0
904005001	1	4	5	万法归宗	万法归宗	300200104	150	12	4005001	4005002	4005003	4005004	4005005	4005006	4005007	4005008	4005009	4005010	4005011	4005012	item40_015	0
905001001	1	5	1	三元品诫经	三元品诫经	300200105	5	12	5001001	5001002	5001003	5001004	5001005	5001006	5001007	5001008	5001009	5001010	5001011	5001012	item40_002	0
905002001	1	5	2	耕余剩技	耕余剩技	300200105	60	12	5002001	5002002	5002003	5002004	5002005	5002006	5002007	5002008	5002009	5002010	5002011	5002012	item40_006	0
905003001	1	5	3	国教真剑	国教真剑	300200105	90	12	5003001	5003002	5003003	5003004	5003005	5003006	5003007	5003008	5003009	5003010	5003011	5003012	item40_011	0
905004001	1	5	4	汶水三式	汶水三式	300200105	120	12	5004001	5004002	5004003	5004004	5004005	5004006	5004007	5004008	5004009	5004010	5004011	5004012	item40_001	0
905005001	1	5	5	离山剑诀	离山剑诀	300200105	150	12	5005001	5005002	5005003	5005004	5005005	5005006	5005007	5005008	5005009	5005010	5005011	5005012	item40_004	0
906001001	1	6	1	周律	周律	300200106	5	12	6001001	6001002	6001003	6001004	6001005	6001006	6001007	6001008	6001009	6001010	6001011	6001012	item40_013	0
906002001	1	6	2	女青鬼律	女青鬼律	300200106	60	12	6002001	6002002	6002003	6002004	6002005	6002006	6002007	6002008	6002009	6002010	6002011	6002012	item40_016	0
906003001	1	6	3	立教十五论	立教十五论	300200106	90	12	6003001	6003002	6003003	6003004	6003005	6003006	6003007	6003008	6003009	6003010	6003011	6003012	item40_004	0
906004001	1	6	4	日诵早晚课	日诵早晚课	300200106	120	12	6004001	6004002	6004003	6004004	6004005	6004006	6004007	6004008	6004009	6004010	6004011	6004012	item40_012	0
906005001	1	6	5	玉皇心印经	玉皇心印经	300200106	150	12	6005001	6005002	6005003	6005004	6005005	6005006	6005007	6005008	6005009	6005010	6005011	6005012	item40_013	0
907001001	1	7	1	青曜引十三经	青曜引十三经	300200107	5	12	7001001	7001002	7001003	7001004	7001005	7001006	7001007	7001008	7001009	7001010	7001011	7001012	item40_009	0
907002001	1	7	2	正一威仪经	正一威仪经	300200107	60	12	7002001	7002002	7002003	7002004	7002005	7002006	7002007	7002008	7002009	7002010	7002011	7002012	item40_011	0
907003001	1	7	3	真武佑圣礼	真武佑圣礼	300200107	90	12	7003001	7003002	7003003	7003004	7003005	7003006	7003007	7003008	7003009	7003010	7003011	7003012	item40_003	0
907004001	1	7	4	指教斋仪	指教斋仪	300200107	120	12	7004001	7004002	7004003	7004004	7004005	7004006	7004007	7004008	7004009	7004010	7004011	7004012	item40_012	0
907005001	1	7	5	太上三皇仪	太上三皇仪	300200107	150	12	7005001	7005002	7005003	7005004	7005005	7005006	7005007	7005008	7005009	7005010	7005011	7005012	item40_005	0
908001001	1	8	1	十四经穴歌	十四经穴歌	300200108	5	12	8001001	8001002	8001003	8001004	8001005	8001006	8001007	8001008	8001009	8001010	8001011	8001012	item40_009	0
908002001	1	8	2	遵生八笺	遵生八笺	300200108	60	12	8002001	8002002	8002003	8002004	8002005	8002006	8002007	8002008	8002009	8002010	8002011	8002012	item40_006	0
908003001	1	8	3	灵枢经	灵枢经	300200108	90	12	8003001	8003002	8003003	8003004	8003005	8003006	8003007	8003008	8003009	8003010	8003011	8003012	item40_012	0
908004001	1	8	4	太极祭炼法	太极祭炼法	300200108	120	12	8004001	8004002	8004003	8004004	8004005	8004006	8004007	8004008	8004009	8004010	8004011	8004012	item40_016	0
908005001	1	8	5	常清靜經	常清靜經	300200108	150	12	8005001	8005002	8005003	8005004	8005005	8005006	8005007	8005008	8005009	8005010	8005011	8005012	item40_002	0
909001001	1	9	1	灵飞经	灵飞经	300200109	5	12	9001001	9001002	9001003	9001004	9001005	9001006	9001007	9001008	9001009	9001010	9001011	9001012	item40_014	0
909002001	1	9	2	五派丹法选	五派丹法选	300200109	60	12	9002001	9002002	9002003	9002004	9002005	9002006	9002007	9002008	9002009	9002010	9002011	9002012	item40_012	0
909003001	1	9	3	抱朴子	抱朴子	300200109	90	12	9003001	9003002	9003003	9003004	9003005	9003006	9003007	9003008	9003009	9003010	9003011	9003012	item40_003	0
909004001	1	9	4	金仙证论	金仙证论	300200109	120	12	9004001	9004002	9004003	9004004	9004005	9004006	9004007	9004008	9004009	9004010	9004011	9004012	item40_016	0
909005001	1	9	5	阵类本巢	阵类本巢	300200109	150	12	9005001	9005002	9005003	9005004	9005005	9005006	9005007	9005008	9005009	9005010	9005011	9005012	item40_011	0
910001001	1	10	1	万物生经	万物生经	300200110	5	12	10001001	10001002	10001003	10001004	10001005	10001006	10001007	10001008	10001009	10001010	10001011	10001012	item40_002	0
910002001	1	10	2	仙佛同源	仙佛同源	300200110	60	12	10002001	10002002	10002003	10002004	10002005	10002006	10002007	10002008	10002009	10002010	10002011	10002012	item40_008	0
910003001	1	10	3	仙佛奇踪	仙佛奇踪	300200110	90	12	10003001	10003002	10003003	10003004	10003005	10003006	10003007	10003008	10003009	10003010	10003011	10003012	item40_005	0
910004001	1	10	4	瑞应图录	瑞应图录	300200110	120	12	10004001	10004002	10004003	10004004	10004005	10004006	10004007	10004008	10004009	10004010	10004011	10004012	item40_015	0
910005001	1	10	5	搜神记	搜神记	300200110	150	12	10005001	10005002	10005003	10005004	10005005	10005006	10005007	10005008	10005009	10005010	10005011	10005012	item40_004	0
911001001	1	11	1	灵宝定观经	灵宝定观经	300200111	5	12	11001001	11001002	11001003	11001004	11001005	11001006	11001007	11001008	11001009	11001010	11001011	11001012	item40_006	0
911002001	1	11	2	天书陵赞赋	天书陵赞赋	300200111	60	12	11002001	11002002	11002003	11002004	11002005	11002006	11002007	11002008	11002009	11002010	11002011	11002012	item40_012	0
911003001	1	11	3	太清風露經	太清風露經	300200111	90	12	11003001	11003002	11003003	11003004	11003005	11003006	11003007	11003008	11003009	11003010	11003011	11003012	item40_014	0
911004001	1	11	4	太上济度章	太上济度章	300200111	120	12	11004001	11004002	11004003	11004004	11004005	11004006	11004007	11004008	11004009	11004010	11004011	11004012	item40_010	0
911005001	1	11	5	黄帝阴符经	黄帝阴符经	300200111	150	12	11005001	11005002	11005003	11005004	11005005	11005006	11005007	11005008	11005009	11005010	11005011	11005012	item40_013	0
912001001	1	12	1	诸殿源侯论	诸殿源侯论	300200112	5	12	12001001	12001002	12001003	12001004	12001005	12001006	12001007	12001008	12001009	12001010	12001011	12001012	item40_016	0
912002001	1	12	2	商道子章历	商道子章历	300200112	60	12	12002001	12002002	12002003	12002004	12002005	12002006	12002007	12002008	12002009	12002010	12002011	12002012	item40_011	0
912003001	1	12	3	天道院行遣式	天道院行遣式	300200112	90	12	12003001	12003002	12003003	12003004	12003005	12003006	12003007	12003008	12003009	12003010	12003011	12003012	item40_001	0
912004001	1	12	4	诸真歌颂	诸真歌颂	300200112	120	12	12004001	12004002	12004003	12004004	12004005	12004006	12004007	12004008	12004009	12004010	12004011	12004012	item40_003	0
912005001	1	12	5	宣慈助化章	宣慈助化章	300200112	150	12	12005001	12005002	12005003	12005004	12005005	12005006	12005007	12005008	12005009	12005010	12005011	12005012	item40_005	0
