"排行榜类型（战力排行0,等级排行1,命星排行2，moba段位排行3，伙伴战力排行4，富豪排行5,天梯积分排行6,大朝试积分排行7,天书陵层数榜8,副本首通数据,这不是一个排行榜9,文试积分排行10,迷宫积分排行11,成就排行榜12,修为排行榜13,魅力值排行榜14,今日击杀排行榜15,历史总击杀排行榜16，强化总等级榜17，宝石总等级榜18，阵法总战力19,充值排行榜20,送花榜男21,送花榜女22,收花榜男23,收花榜女24）"	有效标志位	副键（1开始，最高20）	重置方式（1表示0点、2表示5点）	发奖时间段（有个这个期间会有奖励）	发奖后是否清空（0不清空，1清空）	是否分职业（0不分，1分）	奖励分段个数	奖励邮件ID1	起始名次1	结束名次1	奖励邮件ID2	起始名次2	结束名次2	奖励邮件ID3	起始名次3	结束名次3	奖励邮件ID4	起始名次4	结束名次4	奖励邮件ID5	起始名次5	结束名次5	奖励邮件ID6	起始名次6	结束名次6	奖励邮件ID7	起始名次7	结束名次7	奖励邮件ID8	起始名次8	结束名次8	奖励邮件ID9	起始名次9	结束名次9	奖励邮件ID10	起始名次10	结束名次10	奖励邮件ID11	起始名次11	结束名次11	奖励邮件ID12	起始名次12	结束名次12	奖励邮件ID13	起始名次13	结束名次13	奖励邮件ID14	起始名次14	结束名次14	奖励邮件ID15	起始名次15	结束名次15	奖励邮件ID16	起始名次16	结束名次16	奖励邮件ID17	起始名次17	结束名次17	奖励邮件ID18	起始名次18	结束名次18	奖励邮件ID19	起始名次19	结束名次19	奖励邮件ID20	起始名次20	结束名次20	排行榜备注
14	1	2	2	9050313	0	0	4	6611	1	1	6612	2	5	6613	6	10	6614	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	魅力排行榜
20	1	1	1	2000102	1	0	5	8001	1	1	8002	2	2	8003	3	3	8004	4	4	8005	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	充值排行榜
20	1	2	1	2000103	1	0	5	8101	1	1	8102	2	2	8103	3	3	8104	4	4	8105	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	充值排行榜
20	1	3	1	2000104	1	0	5	8201	1	1	8202	2	2	8203	3	3	8204	4	4	8205	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	充值排行榜
20	1	4	1	2000105	1	0	5	8301	1	1	8302	2	2	8303	3	3	8304	4	4	8305	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	充值排行榜
20	1	5	1	2000106	1	0	5	8401	1	1	8402	2	2	8403	3	3	8404	4	4	8405	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	充值排行榜
21	1	1	1	2002101	1	0	1	2401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	送花榜男
22	1	1	1	2002101	1	0	1	2402	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	送花榜女
23	1	1	1	2002101	1	0	1	2403	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	收花榜男
24	1	1	1	2002101	1	0	1	2404	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	收花榜女
