地图ID（公共地图ID要少于1000）	有效标志	地图名字	"地图类型(2单人普通历练，3单人精英历练；5001王城，5002新手村,5003夺旗，5004边境；10001MOBA3V3，10002世界BOSS，10003虚空之界，10004特殊虚空之界，10005教院驻地，10006剑池，破境副本10007,观灵阁服务器10012，10013巨兽，10014守望先锋MOBA，10015双路MOBA，10016新世界BOSS,10017盟主争夺战场，10018婚礼地图,10019九层妖塔,10020多人竞技场，10021转生副本,10022城池争夺战,10023神魔古墓，10024离线竞技场，10026武试准备场，10025夫妻副本，10027宝岛地宫,10028师徒副本,10029吃鸡副本,10030仙侣PK准备场,10031仙侣PK擂台，10032跨服吃鸡准备场,10033跨服吃鸡比赛场)"	队伍目标	地图路径	场景流水号（寻路相关，关联total_nav_name表，单人地图随便填个很大的值）	广播区域等级（0范围38.4*28.8，1范围10*10王城特殊处理了，2范围2000*2000，3范围8*8，4范围3*3）	最大横坐标	最大纵坐标	需要的最大人数（有需求的地图这个字段才有处理，攻城战为地图最大人数上限+单方人数上限不能超过该值一半）	需要的最小人数（MOBA检测的是单方人数）	需要的人物等级	需要的修为等级	状态限制ID	个人消耗限制ID	队长消耗限制ID	奖励次数限制ID	扫荡消耗	时间限制ID	复活点	副本超时时间	副本结束后持续时间	掉落ID1	掉落ID2	出生点	成就限制ID	奖励成就ID	副本buff	buff持续时间	"扩展功能，原轻功(0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞，8经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否可以加无敌）(只要可用轻功、坐骑可飞行、可上交通坐骑，服务器就不会做位置检测，可开加速)"	副本复活次数（现在只对服务器观灵阁有效）	三星成就（针对于服务器观灵阁生效）	进入地图触发事件（针对单人）	跳转地图读条时间	是否禁止PK（0不禁，1禁止）	阵营平衡阈值	阵营平衡人数差值	"副本进入方式（0个人队伍均可，这种不检测人数，不够就补其他的人或者机器人；1组队才能,组队才能匹配的需要检测人数，只有人数够了之后才能匹配；2个人匹配，只能个人匹配，组队点击的时候只会个人加入匹配队列）"	多少人开始分线，0代表不分线（仅公共地图可用）	异常回跳点	地图战利品等级	副本是否评分（0否，1是）	这个地图结束刷出的篝火NPC(个体ID)	地图最低战力	提升战力buffID	玩家这个副本的助战礼包的奖励id	副本正常跳出点（trans_pointID)	天地异变1天气	天地异变2天气	天地异变3天气	天地异变4天气	天地异变5天气	天地异变6天气	天地异变7天气	天地异变8天气	天地异变9天气	天地异变10天气
1052	1	绝尘阁	2	0	xichenlou.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062	1	夜谷	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	1	夜谷	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1064	1	夜谷	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3011	1	[归墟]锁龙潭1	10003	20701	f_zhouling.txt	16	1	10000	10000	5	2	1	1	20301101	30201	0	0	0	0	301101	360	65	0	0	301101	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301100001	0	0	30301110	1002	0	0	0	0	0	0	0	0	0	0
3012	1	[归墟]锁龙潭2	10003	20702	f_xingkong.txt	23	1	10000	10000	5	3	1	1	20301201	30201	0	0	0	0	301201	360	65	0	0	301201	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301200007	69600	310101	30301110	1002	0	0	0	0	0	0	0	0	0	0
3013	1	[归墟]锁龙潭3	10003	20703	ligong.txt	30	1	10000	10000	5	3	1	1	20301301	30201	0	0	0	0	301301	360	65	0	0	301301	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301300002	172800	310201	30301110	1002	0	0	0	0	0	0	0	0	0	0
3014	1	[归墟]锁龙潭4	10003	20704	xichenlou.txt	13	1	10000	10000	5	3	1	1	20301401	30201	0	0	0	0	301401	360	65	0	0	301401	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301400042	341600	310301	30301110	1002	0	0	0	0	0	0	0	0	0	0
3015	1	[归墟]锁龙潭5	10003	20705	f_zhouling.txt	16	1	10000	10000	5	3	1	1	20301501	30201	0	0	0	0	301501	360	65	0	0	301501	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301500001	731200	310401	30301110	1002	0	0	0	0	0	0	0	0	0	0
3016	1	[归墟]锁龙潭6	10003	20706	f_xingkong.txt	23	1	10000	10000	5	3	1	1	20301601	30201	0	0	0	0	301601	360	65	0	0	301601	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301600007	1380000	310501	30301110	1002	0	0	0	0	0	0	0	0	0	0
3017	1	[归墟]锁龙潭7	10003	20707	ligong.txt	30	1	10000	10000	5	3	1	1	20301701	30201	0	0	0	0	301701	360	65	0	0	301701	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301700002	2759200	310601	30301110	1002	0	0	0	0	0	0	0	0	0	0
3018	1	[归墟]锁龙潭8	10003	20708	xichenlou.txt	13	1	10000	10000	5	3	1	1	20301801	30201	0	0	0	0	301801	360	65	0	0	301801	0	201	0	0	128	0	0	0	0	0	1000	100	1	0	1001	0	0	301800042	5521600	310701	30301110	1002	0	0	0	0	0	0	0	0	0	0
3019	1	[归墟]锁龙潭1	10003	0	f_zhouling.txt	16	1	10000	10000	5	3	1	1	20301803	0	0	0	0	0	301901	360	65	0	0	301901	0	201	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	301900001	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
3101	1	[秘境]魔踪	10004	32701	f_baoku.txt	27	1	10000	10000	5	2	1	1	20310101	30204	0	0	0	0	310101	1800	65	0	0	310101	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310100039	0	0	30311110	1002	0	0	0	0	0	0	0	0	0	0
3102	1	[秘境]魔踪	10004	32702	f_baoku.txt	27	1	10000	10000	5	3	1	1	20310201	30204	0	0	0	0	310201	1800	65	0	0	310201	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310200037	69600	310101	30311110	1002	0	0	0	0	0	0	0	0	0	0
3103	1	[秘境]魔踪	10004	32703	f_zhouling.txt	16	1	10000	10000	5	3	1	1	20310301	30204	0	0	0	0	310301	1800	65	0	0	310301	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310300035	172800	310201	30311110	1002	0	0	0	0	0	0	0	0	0	0
3104	1	[秘境]魔踪	10004	32704	f_xuedi.txt	25	1	10000	10000	5	3	1	1	20310401	30204	0	0	0	0	310401	1800	65	0	0	310401	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310400041	341600	310301	30311110	1002	0	0	0	0	0	0	0	0	0	0
3105	1	[秘境]魔踪	10004	32705	f_baoku.txt	27	1	10000	10000	5	3	1	1	20310501	30204	0	0	0	0	310501	1800	65	0	0	310501	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310500039	731200	310401	30311110	1002	0	0	0	0	0	0	0	0	0	0
3106	1	[秘境]魔踪	10004	32706	f_baoku.txt	27	1	10000	10000	5	3	1	1	20310601	30204	0	0	0	0	310601	1800	65	0	0	310601	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310600039	1380000	310501	30311110	1002	0	0	0	0	0	0	0	0	0	0
3107	1	[秘境]魔踪	10004	32707	f_baoku.txt	27	1	10000	10000	5	3	1	1	20310701	30204	0	0	0	0	310701	1800	65	0	0	310701	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310700039	2759200	310601	30311110	1002	0	0	0	0	0	0	0	0	0	0
3108	1	[秘境]魔踪	10004	32708	f_baoku.txt	27	1	10000	10000	5	3	1	1	20310801	30204	0	0	0	0	310801	1800	65	0	0	310801	0	200	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	310800039	5521600	310701	30311110	1002	0	0	0	0	0	0	0	0	0	0
3151	1	[破境]虚空星域	10007	0	f_dixiacheng.txt	24	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	0	0	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
3201	1	[上古遗迹]灵元秘室	10004	60801	f_zhouling.txt	16	1	10000	10000	5	3	1	1	20320101	31102	30301	0	0	0	320101	1200	10	0	0	320101	0	203	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3202	1	[上古遗迹]黄金秘室	10004	60802	f_shouhu.txt	21	1	10000	10000	5	3	1	1	20320201	31110	30304	0	0	0	320201	1200	10	0	0	320201	0	203	101201	999999999	130	0	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3203	1	[上古遗迹]神识秘室	10004	0	f_mijing.txt	26	1	10000	10000	5	3	1	1	20320301	31111	30305	0	0	0	320301	1200	10	0	0	320301	0	203	0	0	130	0	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3204	1	[上古遗迹]神识秘室	10004	60803	f_mijing.txt	26	1	10000	10000	5	3	1	1	20320301	31111	30305	0	0	0	320401	1200	10	0	0	320401	0	203	101201	999999999	130	0	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3301	1	观灵大会迷宫	10011	0	daqingshan.txt	15	1	14000	10000	1	1	1	1	90000097	0	0	0	0	1001201	330101	7200	30	0	0	330101	0	204	0	0	2	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3401	1	九层妖塔	10019	13901	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340101	30205	0	0	0	0	340101	30000	65	0	0	340101	0	206	0	0	128	0	0	34010033	0	0	1000	100	1	0	1001	0	1	340100117	0	0	30341110	1002	0	0	0	0	0	0	0	0	0	0
3402	1	九层妖塔	10019	13902	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340201	30205	0	0	0	0	340201	30000	65	0	0	340201	0	206	0	0	128	0	0	34020033	0	0	1000	100	1	0	1001	0	1	340200117	69600	310101	30341110	1002	0	0	0	0	0	0	0	0	0	0
3403	1	九层妖塔	10019	13903	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340301	30205	0	0	0	0	340301	30000	65	0	0	340301	0	206	0	0	128	0	0	34030033	0	0	1000	100	1	0	1001	0	1	340300117	172800	310201	30341110	1002	0	0	0	0	0	0	0	0	0	0
3404	1	九层妖塔	10019	13904	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340401	30205	0	0	0	0	340401	30000	65	0	0	340401	0	206	0	0	128	0	0	34040033	0	0	1000	100	1	0	1001	0	1	340400117	341600	310301	30341110	1002	0	0	0	0	0	0	0	0	0	0
3405	1	九层妖塔	10019	13905	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340501	30205	0	0	0	0	340501	30000	65	0	0	340501	0	206	0	0	128	0	0	34050033	0	0	1000	100	1	0	1001	0	1	340500117	731200	310401	30341110	1002	0	0	0	0	0	0	0	0	0	0
3406	1	九层妖塔	10019	13906	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340601	30205	0	0	0	0	340601	30000	65	0	0	340601	0	206	0	0	128	0	0	34060033	0	0	1000	100	1	0	1001	0	1	340600117	1380000	310501	30341110	1002	0	0	0	0	0	0	0	0	0	0
3407	1	九层妖塔	10019	13907	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340701	30205	0	0	0	0	340701	30000	65	0	0	340701	0	206	0	0	128	0	0	34070033	0	0	1000	100	1	0	1001	0	1	340700117	2759200	310601	30341110	1002	0	0	0	0	0	0	0	0	0	0
3408	1	九层妖塔	10019	13908	jiucengyaota.txt	36	1	10000	10000	5	3	1	1	20340801	30205	0	0	0	0	340801	30000	65	0	0	340801	0	206	0	0	128	0	0	34080033	0	0	1000	100	1	0	1001	0	1	340800117	5521600	310701	30341110	1002	0	0	0	0	0	0	0	0	0	0
3501	1	世界材料	10004	44301	f_mijing.txt	26	1	10000	10000	5	3	30	1	20430101	30601	0	0	0	0	350101	300	10	0	0	350101	0	0	0	0	128	0	0	35010601	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
3601	1	三九天劫	10021	74401	f_shouhu.txt	21	1	10000	10000	5	1	60	1	0	0	0	0	0	0	360101	300	10	0	0	360101	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	11	11	11	11	11	11	11	11
3602	1	三九天劫	10021	74402	f_shouhu.txt	21	1	10000	10000	5	1	1080	1	0	0	0	0	0	0	360201	300	10	0	0	360201	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	11	11	11	11	11	11	11
3603	1	三九天劫	10021	74403	f_shouhu.txt	21	1	10000	10000	5	1	2100	1	0	0	0	0	0	0	360301	300	10	0	0	360301	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	11	11	11	11	11	11
3604	1	三九天劫	10021	74404	f_shouhu.txt	21	1	10000	10000	5	1	3120	1	0	0	0	0	0	0	360401	300	10	0	0	360401	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	11	11	11	11	11
3605	1	三九天劫	10021	74405	f_shouhu.txt	21	1	10000	10000	5	1	4140	1	0	0	0	0	0	0	360501	300	10	0	0	360501	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	11	11	11	11
3606	1	三九天劫	10021	74406	f_shouhu.txt	21	1	10000	10000	5	1	5180	1	0	0	0	0	0	0	360601	300	10	0	0	360601	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	11	11	11
3607	1	三九天劫	10021	74407	f_shouhu.txt	21	1	10000	10000	5	1	6200	1	0	0	0	0	0	0	360701	300	10	0	0	360701	0	0	0	0	128	1	0	0	0	0	1000	100	1	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	11	11
3901	1	礼堂	10018	0	weiyanggong.txt	35	3	10000	10000	1	1	1	1	0	0	0	0	0	0	390101	2400	60	0	0	390101	0	0	0	0	1026	0	0	0	0	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3910	1	双修	10025	0	jiehun.txt	39	2	10000	10000	2	2	1	1	41000002	0	0	0	0	0	391001	1800	60	0	0	391001	0	0	0	0	1	0	0	0	0	1	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3911	1	仙侣踏浪	10004	0	jiehun.txt	39	2	10000	10000	2	2	1	1	41000005	0	0	0	0	0	391101	1800	60	0	0	391101	0	0	0	0	0	0	0	39110009	0	1	1000	100	1	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3920	1	醒狮送福	10012	0	xichenlou.txt	13	2	10000	10000	1	1	1	1	40052803	0	0	0	0	0	392001	300	30	0	0	392001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
