效果对应NPC	天地异变等级	有效标识位	装备类型	优先级	属性类型1	属性值1	属性类型2	属性值2	属性类型3	属性值3	属性类型4	属性值4	装备积分	使用后增加的buff	增加buff时间	图标	备注，策划自己看的，没用字段
4503002	8	1	2	1	66	5009	68	10272	71	10272	0	0	100	0	0	item98_010	天地异变8精良地煞
4503101	1	1	1	2	65	1092	67	3618	70	3618	0	0	300	0	0	item98_003	天地异变1完美天晶
4503101	2	1	1	2	65	1725	67	6342	70	6342	0	0	300	0	0	item98_003	天地异变2完美天晶
4503101	3	1	1	2	65	2481	67	10554	70	10554	0	0	300	0	0	item98_003	天地异变3完美天晶
4503101	4	1	1	2	65	4104	67	18165	70	18165	0	0	300	0	0	item98_003	天地异变4完美天晶
4503101	5	1	1	2	65	5643	67	23961	70	23961	0	0	300	0	0	item98_003	天地异变5完美天晶
4503101	6	1	1	2	65	8016	67	34419	70	34419	0	0	300	0	0	item98_003	天地异变6完美天晶
4503101	7	1	1	2	65	10509	67	42261	70	42261	0	0	300	0	0	item98_003	天地异变7完美天晶
4503101	8	1	1	2	65	15027	67	61632	70	61632	0	0	300	0	0	item98_003	天地异变8完美天晶
4503102	1	1	2	2	66	1092	68	1809	71	1809	0	0	300	0	0	item98_010	天地异变1完美地煞
4503102	2	1	2	2	66	1725	68	3171	71	3171	0	0	300	0	0	item98_010	天地异变2完美地煞
4503102	3	1	2	2	66	2481	68	5277	71	5277	0	0	300	0	0	item98_010	天地异变3完美地煞
4503102	4	1	2	2	66	4104	68	9081	71	9081	0	0	300	0	0	item98_010	天地异变4完美地煞
4503102	5	1	2	2	66	5643	68	11979	71	11979	0	0	300	0	0	item98_010	天地异变5完美地煞
4503102	6	1	2	2	66	8016	68	17208	71	17208	0	0	300	0	0	item98_010	天地异变6完美地煞
4503102	7	1	2	2	66	10509	68	21129	71	21129	0	0	300	0	0	item98_010	天地异变7完美地煞
4503102	8	1	2	2	66	15027	68	30816	71	30816	0	0	300	0	0	item98_010	天地异变8完美地煞
4503201	1	1	1	3	65	3276	67	10854	70	10854	0	0	900	0	0	item98_003	天地异变1逆天天晶
4503201	2	1	1	3	65	5175	67	19026	70	19026	0	0	900	0	0	item98_003	天地异变2逆天天晶
4503201	3	1	1	3	65	7443	67	31662	70	31662	0	0	900	0	0	item98_003	天地异变3逆天天晶
4503201	4	1	1	3	65	12312	67	54495	70	54495	0	0	900	0	0	item98_003	天地异变4逆天天晶
4503201	5	1	1	3	65	16929	67	71883	70	71883	0	0	900	0	0	item98_003	天地异变5逆天天晶
4503201	6	1	1	3	65	24048	67	103257	70	103257	0	0	900	0	0	item98_003	天地异变6逆天天晶
4503201	7	1	1	3	65	31527	67	126783	70	126783	0	0	900	0	0	item98_003	天地异变7逆天天晶
4503201	8	1	1	3	65	45081	67	184896	70	184896	0	0	900	0	0	item98_003	天地异变8逆天天晶
4503202	1	1	2	3	66	3276	68	5427	71	5427	0	0	900	0	0	item98_010	天地异变1逆天地煞
4503202	2	1	2	3	66	5175	68	9513	71	9513	0	0	900	0	0	item98_010	天地异变2逆天地煞
4503202	3	1	2	3	66	7443	68	15831	71	15831	0	0	900	0	0	item98_010	天地异变3逆天地煞
4503202	4	1	2	3	66	12312	68	27243	71	27243	0	0	900	0	0	item98_010	天地异变4逆天地煞
4503202	5	1	2	3	66	16929	68	35937	71	35937	0	0	900	0	0	item98_010	天地异变5逆天地煞
4503202	6	1	2	3	66	24048	68	51624	71	51624	0	0	900	0	0	item98_010	天地异变6逆天地煞
4503202	7	1	2	3	66	31527	68	63387	71	63387	0	0	900	0	0	item98_010	天地异变7逆天地煞
4503202	8	1	2	3	66	45081	68	92448	71	92448	0	0	900	0	0	item98_010	天地异变8逆天地煞
4503501	1	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	2	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	3	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	4	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	5	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	6	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	7	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503501	8	1	3	1	0	0	0	0	0	0	0	0	0	1116	5000	item10_104	血气丹
4503502	1	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	2	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	3	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	4	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	5	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	6	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	7	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
4503502	8	1	4	1	0	0	0	0	0	0	0	0	0	1117	5000	item10_106	紫心丹
