效果备注，仅供策划管理查阅	效果id（1000~1999伤害类效果；2000~2999控制类效果；3000~3999属性影响类效果；4000~4999免疫效果；5000~5999各种盾效果；6000~6999变身效果；7000~7999驱散效果；9000~9999其他效果；100000~399999职业天赋效果；10000000~99999999职业魔纹效果；）	有效标志位	属性类型：(看属性枚举那一页)	效果枚举(看效果枚举那一页)	攻击属性枚举（与最终伤害计算的防御相关1、物理伤害|2、法术伤害|3、神圣伤害|11、属性1伤害|12、属性2伤害|13、属性3伤害|14、属性4伤害|15、属性5伤害）	关联对象：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差|若为光环效果此处填写光环触发的技能ID|8、关联施法方阵法属性（只有在伙伴未出战，且施法者为主角才能生效）	当前or基础（0为关联当前属性，1为关联基础属性(无BUFF下人物属性)）	关联属性（计算效果时关联的属性枚举|光环时为触发技能等级）	效果参数1（当属性类型为10，表示盾破时释放的技能id|效果为牵引的时候，标识牵引随机落点半径|击退代表击退距离）	效果参数2（驱散类时代表2级分类|伤害吸收盾时代表技能等级,反弹是代表固定值）	效果目标：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差）	效果有效目标(字段无效，现在是在skill.lua里的弹道里配置的，0、所有目标|1、玩家|2、宠物|4、NPC|8、幻象)	是否关联聚气（0、无关联|1、关联聚气|2、关联距离，无效字段	是否移动触发（1、移动触发|0、非移动触发，无效字段）
凤凰血脉击退2米	2401	1	0	14	0	1	1	0	20	10000	2	0	0	0
控制：万道羽符文击退4米	2101	1	0	14	0	1	1	0	40	10000	2	0	0	0
控制：牵引（效果参数1表示牵引随机落点半径）	2002	1	0	15	0	1	1	0	10	10000	2	0	0	0
控制：嘲讽	2003	1	0	3	0	0	0	0	10000	0	2	0	0	0
控制：眩晕	2004	1	0	26	0	0	0	0	10000	0	2	0	0	0
控制：定身	2005	1	0	25	0	0	0	0	10000	0	2	0	0	0
控制：BOSS技能击退2.4米	2006	1	0	14	0	1	1	0	24	10000	2	0	0	0
控制：速度改变(奔跑速度)	2007	1	13	22	0	2	0	13	0	0	2	0	0	0
控制：沉默	2008	1	0	23	0	0	0	0	10000	0	2	0	0	0
控制：变羊	2009	1	0	24	0	0	0	0	10000	0	2	0	0	0
控制：昏睡	2010	1	0	27	0	0	0	0	10000	0	2	0	0	0
控制：BOSS技能击退4米	2011	1	0	14	0	1	1	0	40	10000	2	0	0	0
控制：打断读条	2012	1	0	49	0	0	0	0	10000	0	2	0	0	0
控制：牵引（8米）	2013	1	0	15	0	1	1	0	20	10000	2	0	0	0
控制：BOSS技能击退8米	2014	1	0	14	0	1	1	0	80	10000	2	0	0	0
控制：御灵护盾碎裂击退4米	2015	1	0	14	0	1	1	0	40	10000	2	0	0	0
控制：凤凰冲击符文2击退6米	2016	1	0	14	0	1	1	0	60	10000	2	0	0	0
控制：牵引（6m）	2017	1	0	15	0	1	1	0	6	10000	2	0	0	0
周陵击退2米	2018	1	0	14	0	1	1	0	20	10000	2	0	0	0
周陵击退4米	2019	1	0	14	0	1	1	0	40	10000	2	0	0	0
控制：牵引（3m）	2020	1	0	15	0	1	1	0	0	10000	2	0	0	0
控制：牵引（5m）	2021	1	0	15	0	1	1	0	0	10000	2	0	0	0
控制：速度改变（行走速度）	2022	1	12	22	0	2	0	12	0	0	2	0	0	0
属性变化：关联目标物理攻击	3001	1	67	18	0	2	1	67	0	0	2	0	0	0
属性变化：关联目标物理防御	3002	1	68	18	0	2	1	68	0	0	2	0	0	0
属性变化：关联目标真元攻击	3003	1	70	18	0	2	1	70	0	0	2	0	0	0
属性变化：关联目标真元防御	3004	1	71	18	0	2	1	71	0	0	2	0	0	0
属性变化：关联目标命中	3005	1	5	18	0	2	1	5	0	0	2	0	0	0
属性变化：关联目标闪避	3006	1	6	18	0	2	1	6	0	0	2	0	0	0
属性变化：关联目标暴击	3007	1	7	18	0	2	1	7	0	0	2	0	0	0
属性变化：关联目标爆防	3008	1	8	18	0	2	1	8	0	0	2	0	0	0
属性变化：伤害加深	3010	1	76	18	0	2	1	76	0	0	2	0	0	0
属性变化：伤害减免	3011	1	77	18	0	2	1	77	0	0	2	0	0	0
特殊属性变化：恢复生命（关联最大生命值）50是生命回复	3012	1	72	50	0	1	1	72	0	0	2	0	0	0
属性变化：攻击基数	3013	1	65	18	0	2	1	65	0	0	2	0	0	0
属性变化：防御基数	3014	1	66	18	0	2	1	66	0	0	2	0	0	0
特殊属性变化：关联物理攻击DOT	3015	1	73	21	0	1	1	67	0	0	2	0	0	0
属性变化：关联目标血量上限	3016	1	72	18	0	2	1	72	0	0	2	0	0	0
属性变化：关联目标破招	3017	1	74	18	0	2	1	74	0	0	2	0	0	0
属性变化：关联目标专注	3018	1	75	18	0	2	1	75	0	0	2	0	0	0
属性变化：关联目标格挡	3019	1	10	18	0	2	1	10	0	0	2	0	0	0
属性变化：关联目标穿透	3020	1	11	18	0	2	1	11	0	0	2	0	0	0
特殊属性变化：恢复生命（关联最大生命值）45是治疗缩放	3021	1	72	50	0	1	1	72	0	0	2	0	0	0
特殊属性变化：恢复生命（关联自身物理攻击）	3022	1	72	50	0	1	1	67	0	0	2	0	0	0
特殊属性变化：恢复生命（关联自身真元攻击）	3023	1	72	50	0	1	1	70	0	0	2	0	0	0
特殊属性变化：恢复生命（关联当前生命值）	3024	1	73	50	0	1	1	73	0	0	2	0	0	0
属性变化：关联目标虚拟攻击	3025	1	18	18	0	2	1	18	0	0	2	0	0	0
属性变化：关联目标虚拟血量	3026	1	90	18	0	2	1	90	0	0	2	0	0	0
沉默免疫	4001	1	0	31	0	0	0	0	10000	0	2	0	0	0
变羊免疫	4002	1	0	32	0	0	0	0	10000	0	2	0	0	0
定身免疫	4003	1	0	33	0	0	0	0	10000	0	2	0	0	0
眩晕免疫	4004	1	0	34	0	0	0	0	10000	0	2	0	0	0
昏睡免疫	4005	1	0	35	0	0	0	0	10000	0	2	0	0	0
击退免疫	4006	1	0	36	0	0	0	0	10000	0	2	0	0	0
免疫所有	4007	1	0	37	0	0	0	0	10000	0	2	0	0	0
免疫指定	4008	1	0	38	0	0	0	18432	10000	0	2	0	0	0
减速免疫	4009	1	0	30	0	0	0	0	10000	0	2	0	0	0
护盾：无敌盾	5000	1	0	29	0	0	0	0	0	0	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5001	1	0	44	0	0	0	10000	35	831	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5002	1	0	44	0	0	0	10000	35	1188	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5003	1	0	44	0	0	0	10000	35	1545	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5004	1	0	44	0	0	0	10000	35	1902	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5005	1	0	44	0	0	0	10000	35	2259	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5006	1	0	44	0	0	0	10000	35	3140	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5007	1	0	44	0	0	0	10000	35	3454	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5008	1	0	44	0	0	0	10000	35	3768	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5009	1	0	44	0	0	0	10000	35	4082	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5010	1	0	44	0	0	0	10000	35	4396	2	0	0	0
护盾：伤害吸收盾-花盾-碎裂击退	5011	1	0	47	0	1	0	72	2041111	1	2	0	0	0
护盾：伤害吸收盾-瞬刺-根据自身物理攻击吸收伤害	5012	1	0	47	0	1	0	67	0	1	2	0	0	0
护盾：伤害吸收盾-花盾-根据自身真元攻击吸收伤害-碎裂击退	5013	1	0	47	0	1	0	70	2041111	1	2	0	0	0
护盾：伤害吸收盾-花盾-碎裂击退-自身加速	5014	1	0	47	0	1	0	72	2043111	1	2	0	0	0
护盾：伤害吸收盾-骨盾-碎裂爆炸	5015	1	0	47	0	1	0	72	220101	1	2	0	0	0
护盾：伤害吸收盾-闪电盾-碎裂AOE伤害	5016	1	0	47	0	1	0	72	21153	1	2	0	0	0
护盾：伤害吸收盾-通用	5017	1	0	47	0	1	0	72	0	1	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5021	1	0	44	0	0	0	10000	35	3140	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5022	1	0	44	0	0	0	10000	35	3850	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5023	1	0	44	0	0	0	10000	35	4560	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5024	1	0	44	0	0	0	10000	35	5270	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5025	1	0	44	0	0	0	10000	35	5980	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5026	1	0	44	0	0	0	10000	35	7145	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5027	1	0	44	0	0	0	10000	35	7684	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5028	1	0	44	0	0	0	10000	35	8223	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5029	1	0	44	0	0	0	10000	35	8762	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5030	1	0	44	0	0	0	10000	35	9302	2	0	0	0
护盾：伤害反弹盾（10%）	5031	1	0	44	0	0	0	10000	10	400	2	0	0	0
护盾：伤害反弹盾（20%）	5032	1	0	44	0	0	0	10000	20	800	2	0	0	0
九层妖塔护盾：伤害反弹盾（40%）	5033	1	0	44	0	0	0	10000	40	0	2	0	0	0
护盾：伤害反弹盾（20%）	5034	1	0	44	0	0	0	10000	20	0	2	0	0	0
护盾：伤害反弹盾（5%）	5035	1	0	44	0	0	0	10000	5	0	2	0	0	0
护盾：伤害反弹盾（10%）	5036	1	0	44	0	0	0	10000	10	0	2	0	0	0
护盾：伤害反弹盾（15%）	5037	1	0	44	0	0	0	10000	15	0	2	0	0	0
护盾：刀客伤害反弹盾（20%）	5038	1	0	44	0	0	0	10000	20	0	2	0	0	0
护盾：伤害反弹盾（20%）	5039	1	0	44	0	0	0	10000	20	0	2	0	0	0
护盾：伤害反弹盾（120%）	5040	1	0	44	0	0	0	10000	120	0	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5041	1	0	44	0	0	0	10000	35	7145	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5042	1	0	44	0	0	0	10000	35	8374	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5043	1	0	44	0	0	0	10000	35	9603	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5044	1	0	44	0	0	0	10000	35	10832	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5045	1	0	44	0	0	0	10000	35	12061	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5046	1	0	44	0	0	0	10000	35	14258	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5047	1	0	44	0	0	0	10000	35	15289	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5048	1	0	44	0	0	0	10000	35	16320	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5049	1	0	44	0	0	0	10000	35	17351	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5050	1	0	44	0	0	0	10000	35	18382	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5051	1	0	44	0	0	0	10000	35	14258	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5052	1	0	44	0	0	0	10000	35	16559	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5053	1	0	44	0	0	0	10000	35	18860	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5054	1	0	44	0	0	0	10000	35	21161	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5055	1	0	44	0	0	0	10000	35	23465	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5056	1	0	44	0	0	0	10000	35	27270	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5057	1	0	44	0	0	0	10000	35	29088	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5058	1	0	44	0	0	0	10000	35	30906	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5059	1	0	44	0	0	0	10000	35	32724	2	0	0	0
护盾：黄纸伞-伤害反弹盾（35%）	5060	1	0	44	0	0	0	10000	35	34544	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5061	1	0	44	0	0	0	10000	35	3140	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5062	1	0	44	0	0	0	10000	35	3850	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5063	1	0	44	0	0	0	10000	35	4560	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5064	1	0	44	0	0	0	10000	35	5270	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5065	1	0	44	0	0	0	10000	35	5980	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5066	1	0	44	0	0	0	10000	35	7145	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5067	1	0	44	0	0	0	10000	35	7684	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5068	1	0	44	0	0	0	10000	35	8223	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5069	1	0	44	0	0	0	10000	35	8762	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5070	1	0	44	0	0	0	10000	35	9302	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5071	1	0	44	0	0	0	10000	35	7145	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5072	1	0	44	0	0	0	10000	35	8374	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5073	1	0	44	0	0	0	10000	35	9603	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5074	1	0	44	0	0	0	10000	35	10832	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5075	1	0	44	0	0	0	10000	35	12061	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5076	1	0	44	0	0	0	10000	35	14258	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5077	1	0	44	0	0	0	10000	35	15289	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5078	1	0	44	0	0	0	10000	35	16320	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5079	1	0	44	0	0	0	10000	35	17351	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5080	1	0	44	0	0	0	10000	35	18382	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5081	1	0	44	0	0	0	10000	35	14258	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5082	1	0	44	0	0	0	10000	35	16559	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5083	1	0	44	0	0	0	10000	35	18860	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5084	1	0	44	0	0	0	10000	35	21161	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5085	1	0	44	0	0	0	10000	35	23465	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5086	1	0	44	0	0	0	10000	35	27270	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5087	1	0	44	0	0	0	10000	35	29088	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5088	1	0	44	0	0	0	10000	35	30906	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5089	1	0	44	0	0	0	10000	35	32724	2	0	0	0
护盾：蕴灵元伞-伤害反弹盾（35%）	5090	1	0	44	0	0	0	10000	35	34544	2	0	0	0
变身：测试	6000	1	0	28	0	0	0	0	1001	0	2	0	0	0
变身：周陵2	6001	1	0	28	0	0	0	0	1003	0	2	0	0	0
变身：周陵2	6002	1	0	28	0	0	0	0	1004	0	2	0	0	0
变身：周陵2	6003	1	0	28	0	0	0	0	1005	0	2	0	0	0
变身：周陵2	6004	1	0	28	0	0	0	0	1006	0	2	0	0	0
变身：周陵2	6005	1	0	28	0	0	0	0	1007	0	2	0	0	0
变身：周陵3	6006	1	0	28	0	0	0	0	1008	0	2	0	0	0
变身：周陵3	6007	1	0	28	0	0	0	0	1009	0	2	0	0	0
变身：周陵3	6008	1	0	28	0	0	0	0	1010	0	2	0	0	0
巾帼奇女子剧情任务变身BUFF	6009	1	0	28	0	0	0	0	1003	0	2	0	0	0
变身：新郎BUFF-剑公	6051	1	0	28	0	0	0	0	1011	0	2	0	0	0
变身：新娘BUFF-剑母	6052	1	0	28	0	0	0	0	1012	0	2	0	0	0
变身：新郎BUFF-奶幼儿	6053	1	0	28	0	0	0	0	1013	0	2	0	0	0
变身：新娘BUFF-奶幼女	6054	1	0	28	0	0	0	0	1014	0	2	0	0	0
变身：新郎BUFF-刀公	6055	1	0	28	0	0	0	0	1015	0	2	0	0	0
变身：新娘BUFF-刀母	6056	1	0	28	0	0	0	0	1016	0	2	0	0	0
变身：新郎BUFF-弓公	6057	1	0	28	0	0	0	0	1017	0	2	0	0	0
变身：新娘BUFF-弓母	6058	1	0	28	0	0	0	0	1018	0	2	0	0	0
变身：游泳BUFF—剑男	6061	1	0	28	0	0	0	0	1021	0	2	0	0	0
变身：游泳BUFF—剑女	6062	1	0	28	0	0	0	0	1022	0	2	0	0	0
变身：游泳BUFF—杖男	6063	1	0	28	0	0	0	0	1023	0	2	0	0	0
变身：游泳BUFF—杖女	6064	1	0	28	0	0	0	0	1024	0	2	0	0	0
变身：游泳BUFF—刀男	6065	1	0	28	0	0	0	0	1025	0	2	0	0	0
变身：游泳BUFF—刀女	6066	1	0	28	0	0	0	0	1026	0	2	0	0	0
变身：游泳BUFF—弓男	6067	1	0	28	0	0	0	0	1027	0	2	0	0	0
变身：游泳BUFF—弓女	6068	1	0	28	0	0	0	0	1028	0	2	0	0	0
变身：战力提升至61级（剑客）	6101	1	0	28	0	0	0	0	21101	0	2	0	0	0
变身：战力提升至61级（御灵）	6102	1	0	28	0	0	0	0	22101	0	2	0	0	0
变身：战力提升至61级（刀客）	6103	1	0	28	0	0	0	0	23101	0	2	0	0	0
变身：战力提升至61级（弓手）	6104	1	0	28	0	0	0	0	24101	0	2	0	0	0
变身：战力提升至1081级（剑客）	6105	1	0	28	0	0	0	0	31101	0	2	0	0	0
变身：战力提升至1081级（御灵）	6106	1	0	28	0	0	0	0	32101	0	2	0	0	0
变身：战力提升至1081级（刀客）	6107	1	0	28	0	0	0	0	33101	0	2	0	0	0
变身：战力提升至1081级（弓手）	6108	1	0	28	0	0	0	0	34101	0	2	0	0	0
变身：战力提升至2101级（剑客）	6109	1	0	28	0	0	0	0	41101	0	2	0	0	0
变身：战力提升至2101级（御灵）	6110	1	0	28	0	0	0	0	42101	0	2	0	0	0
变身：战力提升至2101级（刀客）	6111	1	0	28	0	0	0	0	43101	0	2	0	0	0
变身：战力提升至2101级（弓手）	6112	1	0	28	0	0	0	0	44101	0	2	0	0	0
变身：战力提升至3121级（剑客）	6113	1	0	28	0	0	0	0	51101	0	2	0	0	0
变身：战力提升至3121级（御灵）	6114	1	0	28	0	0	0	0	52101	0	2	0	0	0
变身：战力提升至3121级（刀客）	6115	1	0	28	0	0	0	0	53101	0	2	0	0	0
变身：战力提升至3121级（弓手）	6116	1	0	28	0	0	0	0	54101	0	2	0	0	0
变身：战力提升至4141级（剑客）	6117	1	0	28	0	0	0	0	61101	0	2	0	0	0
变身：战力提升至4141级（御灵）	6118	1	0	28	0	0	0	0	62101	0	2	0	0	0
变身：战力提升至4141级（刀客）	6119	1	0	28	0	0	0	0	63101	0	2	0	0	0
变身：战力提升至4141级（弓手）	6120	1	0	28	0	0	0	0	64101	0	2	0	0	0
变身：战力提升至5161级（剑客）	6121	1	0	28	0	0	0	0	71101	0	2	0	0	0
变身：战力提升至5161级（御灵）	6122	1	0	28	0	0	0	0	72101	0	2	0	0	0
变身：战力提升至5161级（刀客）	6123	1	0	28	0	0	0	0	73101	0	2	0	0	0
变身：战力提升至5161级（弓手）	6124	1	0	28	0	0	0	0	74101	0	2	0	0	0
变身：战力提升至6181级（剑客）	6125	1	0	28	0	0	0	0	81101	0	2	0	0	0
变身：战力提升至6181级（御灵）	6126	1	0	28	0	0	0	0	82101	0	2	0	0	0
变身：战力提升至6181级（刀客）	6127	1	0	28	0	0	0	0	83101	0	2	0	0	0
变身：战力提升至6181级（弓手）	6128	1	0	28	0	0	0	0	84101	0	2	0	0	0
变身：战力提升至1061级（剑客）	6140	1	0	28	0	0	0	0	111061	0	2	0	0	0
变身：战力提升至2081级（剑客）	6141	1	0	28	0	0	0	0	112081	0	2	0	0	0
变身：战力提升至3101级（剑客）	6142	1	0	28	0	0	0	0	113101	0	2	0	0	0
变身：战力提升至4121级（剑客）	6143	1	0	28	0	0	0	0	114121	0	2	0	0	0
变身：战力提升至5141级（剑客）	6144	1	0	28	0	0	0	0	115141	0	2	0	0	0
变身：战力提升至6161级（剑客）	6145	1	0	28	0	0	0	0	116161	0	2	0	0	0
变身：战力提升至7181级（剑客）	6146	1	0	28	0	0	0	0	117181	0	2	0	0	0
驱散：驱散指定ID	7001	1	0	4	0	3	1	10111	0	0	2	0	0	0
驱散：驱散一类buff(1级分类+2级分类)	7002	1	0	4	0	4	1	0	65536	1	2	0	0	0
驱散：驱散所有buff	7004	1	0	4	0	0	1	1	0	0	2	0	0	0
驱散：驱散所有debuff	7005	1	0	5	0	0	1	1	0	0	2	0	0	0
特殊驱散：所有buff减少1秒	7006	1	0	10	0	0	1	0	1000	0	2	0	0	0
特殊驱散：所有debuff减少1秒	7007	1	0	11	0	0	1	0	1000	0	2	0	0	0
特殊：直接秒杀	9001	1	0	2	0	1	1	73	0	0	2	0	0	0
特殊：自己离开战斗	9002	1	0	6	0	1	1	0	0	0	1	0	0	0
特殊：召唤黑户NPC	9003	1	0	7	0	1	1	0	0	0	1	0	0	0
特殊：减少瞬刺技能CD	9004	1	0	12	0	1	1	0	1041	2000	0	0	0	0
特殊：变身	9005	1	0	28	0	0	0	0	1001	0	2	0	0	0
特殊：无敌	9006	1	0	29	0	0	0	0	0	0	2	0	0	0
特殊：隐身	9007	1	0	39	0	0	0	0	0	0	2	0	0	0
特殊：薄葬	9008	1	0	40	0	0	0	0	0	0	2	0	0	0
特殊：伤害加深	9009	1	0	41	0	0	0	0	0	0	2	0	0	0
特殊：无敌保护	9010	1	0	42	0	0	0	0	0	0	2	0	0	0
特殊：吸血	9011	1	0	43	0	0	0	0	0	0	2	0	0	0
特殊：伤害反弹	9012	1	0	44	0	0	0	0	0	0	2	0	0	0
特殊：治疗缩放	9013	1	17	18	0	0	0	17	0	0	2	0	0	0
特殊：霸体	9014	1	0	46	0	0	0	0	0	0	2	0	0	0
特殊：伤害吸收盾	9015	1	0	47	0	1	0	72	3021	1	2	0	0	0
特殊：释放技能旋风斩	9016	1	0	13	0	0	0	0	303101	0	2	0	0	0
特殊：释放技能	9017	1	0	13	0	0	0	0	590202	0	2	0	0	0
特殊：释放技能旋风斩符文1	9018	1	0	13	0	0	0	0	303201	0	2	0	0	0
特殊：释放技能旋风斩符文2	9019	1	0	13	0	0	0	0	303301	0	2	0	0	0
特殊：蔓火-陷阱光环	9020	1	0	13	0	0	0	0	32000	0	2	0	0	0
特殊：侧面喷火-陷阱光环	9021	1	0	13	0	0	0	0	32001	0	2	0	0	0
特殊：地下喷火-陷阱光环	9022	1	0	13	0	0	0	0	32002	0	2	0	0	0
特殊：地下喷火-陷阱光环	9023	1	0	13	0	0	0	0	32003	0	2	0	0	0
特殊：岩浆-陷阱光环	9024	1	0	13	0	0	0	0	32004	0	2	0	0	0
特殊：获得测试法球1	9025	1	0	48	0	0	0	0	40000001	1	0	0	0	0
特殊：获得测试法球2	9026	1	0	48	0	0	0	0	40000002	1	0	0	0	0
特殊：获得测试法球3	9027	1	0	48	0	0	0	0	40000003	1	0	0	0	0
特殊：获得测试法球4	9028	1	0	48	0	0	0	0	40000004	1	0	0	0	0
特殊：减少龙吟剑法器CD	9029	1	0	12	0	1	1	0	500206	10000	0	0	0	0
特殊：龙吟剑法器杀敌触发减CD	9030	1	73	13	1	2	0	73	500206	0	0	0	0	0
特殊：玉如意伤害减速法球	9031	1	0	48	0	0	0	0	45002021	1	0	0	0	0
特殊：升龙击飞技能	9032	1	0	13	0	0	0	0	101101	0	2	0	0	0
特殊：寒冰-陷阱光环	9033	1	0	13	0	0	0	0	32005	0	2	0	0	0
