ID（1位分类（1装备，2道具，3符印），2位部位，2位颜色，1位流水）	品质（普通道具0，魂道具1，下品装备0，上品装备1，极品装备2，无符印0，天符印1，地符印2，人符印3）	有效标志位	价格1（世界科技1）	价格2（世界科技2）	价格3（世界科技3）	价格4（世界科技4）	价格5（世界科技5）	价格6（世界科技6）	价格7（世界科技7）	价格8（世界科技8）	价格9（世界科技9）	价格10（世界科技10）
300110450	0	1	16	16	16	16	16	16	16	16	16	16
300110550	0	1	16	16	16	16	16	16	16	16	16	16
300110650	0	1	16	16	16	16	16	16	16	16	16	16
300110750	0	1	16	16	16	16	16	16	16	16	16	16
300110850	0	1	16	16	16	16	16	16	16	16	16	16
300110950	0	1	16	16	16	16	16	16	16	16	16	16
300110060	0	1	20	20	20	20	20	20	20	20	20	20
300110160	0	1	20	20	20	20	20	20	20	20	20	20
300110260	0	1	20	20	20	20	20	20	20	20	20	20
300110360	0	1	20	20	20	20	20	20	20	20	20	20
300110460	0	1	20	20	20	20	20	20	20	20	20	20
300110560	0	1	20	20	20	20	20	20	20	20	20	20
300110660	0	1	20	20	20	20	20	20	20	20	20	20
300110760	0	1	20	20	20	20	20	20	20	20	20	20
300110860	0	1	20	20	20	20	20	20	20	20	20	20
300110960	0	1	20	20	20	20	20	20	20	20	20	20
300110070	0	1	24	24	24	24	24	24	24	24	24	24
300110170	0	1	24	24	24	24	24	24	24	24	24	24
300110270	0	1	24	24	24	24	24	24	24	24	24	24
300110370	0	1	24	24	24	24	24	24	24	24	24	24
300110470	0	1	24	24	24	24	24	24	24	24	24	24
300110570	0	1	24	24	24	24	24	24	24	24	24	24
300110670	0	1	24	24	24	24	24	24	24	24	24	24
300110770	0	1	24	24	24	24	24	24	24	24	24	24
300110870	0	1	24	24	24	24	24	24	24	24	24	24
300110970	0	1	24	24	24	24	24	24	24	24	24	24
300110080	0	1	30	30	30	30	30	30	30	30	30	30
300110180	0	1	30	30	30	30	30	30	30	30	30	30
300110280	0	1	30	30	30	30	30	30	30	30	30	30
300110380	0	1	30	30	30	30	30	30	30	30	30	30
300110480	0	1	30	30	30	30	30	30	30	30	30	30
300110580	0	1	30	30	30	30	30	30	30	30	30	30
300110680	0	1	30	30	30	30	30	30	30	30	30	30
300110780	0	1	30	30	30	30	30	30	30	30	30	30
300110880	0	1	30	30	30	30	30	30	30	30	30	30
300110980	0	1	30	30	30	30	30	30	30	30	30	30
300110090	0	1	36	36	36	36	36	36	36	36	36	36
300110190	0	1	36	36	36	36	36	36	36	36	36	36
300110290	0	1	36	36	36	36	36	36	36	36	36	36
300110390	0	1	36	36	36	36	36	36	36	36	36	36
300110490	0	1	36	36	36	36	36	36	36	36	36	36
300110590	0	1	36	36	36	36	36	36	36	36	36	36
300110690	0	1	36	36	36	36	36	36	36	36	36	36
300110790	0	1	36	36	36	36	36	36	36	36	36	36
300110890	0	1	36	36	36	36	36	36	36	36	36	36
300110990	0	1	36	36	36	36	36	36	36	36	36	36
300120020	0	1	30	30	30	30	30	30	30	30	30	30
300120120	0	1	30	30	30	30	30	30	30	30	30	30
300120220	0	1	30	30	30	30	30	30	30	30	30	30
300120320	0	1	30	30	30	30	30	30	30	30	30	30
300120420	0	1	30	30	30	30	30	30	30	30	30	30
300120520	0	1	30	30	30	30	30	30	30	30	30	30
300120620	0	1	30	30	30	30	30	30	30	30	30	30
300120720	0	1	30	30	30	30	30	30	30	30	30	30
300120820	0	1	30	30	30	30	30	30	30	30	30	30
300120920	0	1	30	30	30	30	30	30	30	30	30	30
300120030	0	1	105	105	105	105	105	105	105	105	105	105
300120130	0	1	105	105	105	105	105	105	105	105	105	105
300120230	0	1	105	105	105	105	105	105	105	105	105	105
300120330	0	1	105	105	105	105	105	105	105	105	105	105
300120430	0	1	105	105	105	105	105	105	105	105	105	105
300120530	0	1	105	105	105	105	105	105	105	105	105	105
300120630	0	1	105	105	105	105	105	105	105	105	105	105
300120730	0	1	105	105	105	105	105	105	105	105	105	105
300120830	0	1	105	105	105	105	105	105	105	105	105	105
300120930	0	1	105	105	105	105	105	105	105	105	105	105
300120040	0	1	200	200	200	200	200	200	200	200	200	200
300120140	0	1	200	200	200	200	200	200	200	200	200	200
300120240	0	1	200	200	200	200	200	200	200	200	200	200
300120340	0	1	200	200	200	200	200	200	200	200	200	200
300120440	0	1	200	200	200	200	200	200	200	200	200	200
300120540	0	1	200	200	200	200	200	200	200	200	200	200
300120640	0	1	200	200	200	200	200	200	200	200	200	200
300120740	0	1	200	200	200	200	200	200	200	200	200	200
300120840	0	1	200	200	200	200	200	200	200	200	200	200
300120940	0	1	200	200	200	200	200	200	200	200	200	200
300120050	0	1	400	400	400	400	400	400	400	400	400	400
300120150	0	1	400	400	400	400	400	400	400	400	400	400
300120250	0	1	400	400	400	400	400	400	400	400	400	400
300120350	0	1	400	400	400	400	400	400	400	400	400	400
300120450	0	1	400	400	400	400	400	400	400	400	400	400
300120550	0	1	400	400	400	400	400	400	400	400	400	400
300120650	0	1	400	400	400	400	400	400	400	400	400	400
300120750	0	1	400	400	400	400	400	400	400	400	400	400
300120850	0	1	400	400	400	400	400	400	400	400	400	400
300120950	0	1	400	400	400	400	400	400	400	400	400	400
300120060	0	1	600	600	600	600	600	600	600	600	600	600
300120160	0	1	600	600	600	600	600	600	600	600	600	600
300120260	0	1	600	600	600	600	600	600	600	600	600	600
300120360	0	1	600	600	600	600	600	600	600	600	600	600
300120460	0	1	600	600	600	600	600	600	600	600	600	600
300120560	0	1	600	600	600	600	600	600	600	600	600	600
300120660	0	1	600	600	600	600	600	600	600	600	600	600
300120760	0	1	600	600	600	600	600	600	600	600	600	600
300120860	0	1	600	600	600	600	600	600	600	600	600	600
300120960	0	1	600	600	600	600	600	600	600	600	600	600
300120070	0	1	975	975	975	975	975	975	975	975	975	975
300120170	0	1	975	975	975	975	975	975	975	975	975	975
300120270	0	1	975	975	975	975	975	975	975	975	975	975
300120370	0	1	975	975	975	975	975	975	975	975	975	975
300120470	0	1	975	975	975	975	975	975	975	975	975	975
300120570	0	1	975	975	975	975	975	975	975	975	975	975
300120670	0	1	975	975	975	975	975	975	975	975	975	975
300120770	0	1	975	975	975	975	975	975	975	975	975	975
300120870	0	1	975	975	975	975	975	975	975	975	975	975
300120970	0	1	975	975	975	975	975	975	975	975	975	975
300120080	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120180	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120280	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120380	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120480	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120580	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120680	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120780	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120880	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120980	0	1	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
300120090	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120190	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120290	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120390	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120490	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120590	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120690	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120790	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120890	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300120990	0	1	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
300130020	0	1	150	150	150	150	150	150	150	150	150	150
300130120	0	1	150	150	150	150	150	150	150	150	150	150
300130220	0	1	150	150	150	150	150	150	150	150	150	150
300130320	0	1	150	150	150	150	150	150	150	150	150	150
300130420	0	1	150	150	150	150	150	150	150	150	150	150
300130520	0	1	150	150	150	150	150	150	150	150	150	150
300130620	0	1	150	150	150	150	150	150	150	150	150	150
300130720	0	1	150	150	150	150	150	150	150	150	150	150
300130820	0	1	150	150	150	150	150	150	150	150	150	150
300130920	0	1	150	150	150	150	150	150	150	150	150	150
300130030	0	1	540	540	540	540	540	540	540	540	540	540
300130130	0	1	540	540	540	540	540	540	540	540	540	540
300130230	0	1	540	540	540	540	540	540	540	540	540	540
300130330	0	1	540	540	540	540	540	540	540	540	540	540
300130430	0	1	540	540	540	540	540	540	540	540	540	540
300130530	0	1	540	540	540	540	540	540	540	540	540	540
300130630	0	1	540	540	540	540	540	540	540	540	540	540
300130730	0	1	540	540	540	540	540	540	540	540	540	540
300130830	0	1	540	540	540	540	540	540	540	540	540	540
300130930	0	1	540	540	540	540	540	540	540	540	540	540
300130040	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130140	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130240	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130340	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130440	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130540	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130640	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130740	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130840	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130940	0	1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
300130050	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130150	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130250	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130350	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130450	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130550	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130650	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130750	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130850	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130950	0	1	1920	1920	1920	1920	1920	1920	1920	1920	1920	1920
300130060	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130160	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130260	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130360	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130460	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130560	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130660	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130760	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130860	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130960	0	1	3200	3200	3200	3200	3200	3200	3200	3200	3200	3200
300130070	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130170	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130270	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130370	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130470	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130570	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130670	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130770	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130870	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130970	0	1	5700	5700	5700	5700	5700	5700	5700	5700	5700	5700
300130080	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130180	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130280	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130380	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130480	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130580	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130680	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130780	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130880	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130980	0	1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
300130090	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130190	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130290	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130390	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130490	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130590	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130690	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130790	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130890	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300130990	0	1	12500	12500	12500	12500	12500	12500	12500	12500	12500	12500
300140020	0	1	30	30	30	30	30	30	30	30	30	30
300140120	0	1	30	30	30	30	30	30	30	30	30	30
300140220	0	1	30	30	30	30	30	30	30	30	30	30
300140320	0	1	30	30	30	30	30	30	30	30	30	30
300140420	0	1	30	30	30	30	30	30	30	30	30	30
300140520	0	1	30	30	30	30	30	30	30	30	30	30
300140620	0	1	30	30	30	30	30	30	30	30	30	30
300140720	0	1	30	30	30	30	30	30	30	30	30	30
300140820	0	1	30	30	30	30	30	30	30	30	30	30
300140920	0	1	30	30	30	30	30	30	30	30	30	30
300140030	0	1	35	35	35	35	35	35	35	35	35	35
300140130	0	1	35	35	35	35	35	35	35	35	35	35
300140230	0	1	35	35	35	35	35	35	35	35	35	35
300140330	0	1	35	35	35	35	35	35	35	35	35	35
300140430	0	1	35	35	35	35	35	35	35	35	35	35
300140530	0	1	35	35	35	35	35	35	35	35	35	35
300140630	0	1	35	35	35	35	35	35	35	35	35	35
300140730	0	1	35	35	35	35	35	35	35	35	35	35
300140830	0	1	35	35	35	35	35	35	35	35	35	35
300140930	0	1	35	35	35	35	35	35	35	35	35	35
300140040	0	1	40	40	40	40	40	40	40	40	40	40
300140140	0	1	40	40	40	40	40	40	40	40	40	40
300140240	0	1	40	40	40	40	40	40	40	40	40	40
300140340	0	1	40	40	40	40	40	40	40	40	40	40
300140440	0	1	40	40	40	40	40	40	40	40	40	40
300140540	0	1	40	40	40	40	40	40	40	40	40	40
300140640	0	1	40	40	40	40	40	40	40	40	40	40
300140740	0	1	40	40	40	40	40	40	40	40	40	40
300140840	0	1	40	40	40	40	40	40	40	40	40	40
300140940	0	1	40	40	40	40	40	40	40	40	40	40
300140050	0	1	50	50	50	50	50	50	50	50	50	50
300140150	0	1	50	50	50	50	50	50	50	50	50	50
300140250	0	1	50	50	50	50	50	50	50	50	50	50
300140350	0	1	50	50	50	50	50	50	50	50	50	50
300140450	0	1	50	50	50	50	50	50	50	50	50	50
300140550	0	1	50	50	50	50	50	50	50	50	50	50
300140650	0	1	50	50	50	50	50	50	50	50	50	50
300140750	0	1	50	50	50	50	50	50	50	50	50	50
300140850	0	1	50	50	50	50	50	50	50	50	50	50
300140950	0	1	50	50	50	50	50	50	50	50	50	50
300140060	0	1	60	60	60	60	60	60	60	60	60	60
300140160	0	1	60	60	60	60	60	60	60	60	60	60
300140260	0	1	60	60	60	60	60	60	60	60	60	60
300140360	0	1	60	60	60	60	60	60	60	60	60	60
300140460	0	1	60	60	60	60	60	60	60	60	60	60
300140560	0	1	60	60	60	60	60	60	60	60	60	60
300140660	0	1	60	60	60	60	60	60	60	60	60	60
300140760	0	1	60	60	60	60	60	60	60	60	60	60
300140860	0	1	60	60	60	60	60	60	60	60	60	60
300140960	0	1	60	60	60	60	60	60	60	60	60	60
300140070	0	1	65	65	65	65	65	65	65	65	65	65
300140170	0	1	65	65	65	65	65	65	65	65	65	65
300140270	0	1	65	65	65	65	65	65	65	65	65	65
300140370	0	1	65	65	65	65	65	65	65	65	65	65
300140470	0	1	65	65	65	65	65	65	65	65	65	65
300140570	0	1	65	65	65	65	65	65	65	65	65	65
300140670	0	1	65	65	65	65	65	65	65	65	65	65
300140770	0	1	65	65	65	65	65	65	65	65	65	65
300140870	0	1	65	65	65	65	65	65	65	65	65	65
300140970	0	1	65	65	65	65	65	65	65	65	65	65
300140080	0	1	70	70	70	70	70	70	70	70	70	70
300140180	0	1	70	70	70	70	70	70	70	70	70	70
300140280	0	1	70	70	70	70	70	70	70	70	70	70
300140380	0	1	70	70	70	70	70	70	70	70	70	70
300140480	0	1	70	70	70	70	70	70	70	70	70	70
300140580	0	1	70	70	70	70	70	70	70	70	70	70
300140680	0	1	70	70	70	70	70	70	70	70	70	70
300140780	0	1	70	70	70	70	70	70	70	70	70	70
300140880	0	1	70	70	70	70	70	70	70	70	70	70
300140980	0	1	70	70	70	70	70	70	70	70	70	70
300140090	0	1	80	80	80	80	80	80	80	80	80	80
300140190	0	1	80	80	80	80	80	80	80	80	80	80
300140290	0	1	80	80	80	80	80	80	80	80	80	80
300140390	0	1	80	80	80	80	80	80	80	80	80	80
300140490	0	1	80	80	80	80	80	80	80	80	80	80
300140590	0	1	80	80	80	80	80	80	80	80	80	80
300140690	0	1	80	80	80	80	80	80	80	80	80	80
300140790	0	1	80	80	80	80	80	80	80	80	80	80
300140890	0	1	80	80	80	80	80	80	80	80	80	80
300140990	0	1	80	80	80	80	80	80	80	80	80	80
300150020	0	1	150	150	150	150	150	150	150	150	150	150
300150120	0	1	150	150	150	150	150	150	150	150	150	150
300150220	0	1	150	150	150	150	150	150	150	150	150	150
300150320	0	1	150	150	150	150	150	150	150	150	150	150
300150420	0	1	150	150	150	150	150	150	150	150	150	150
300150520	0	1	150	150	150	150	150	150	150	150	150	150
300150620	0	1	150	150	150	150	150	150	150	150	150	150
300150720	0	1	150	150	150	150	150	150	150	150	150	150
300150820	0	1	150	150	150	150	150	150	150	150	150	150
300150920	0	1	150	150	150	150	150	150	150	150	150	150
300150030	0	1	180	180	180	180	180	180	180	180	180	180
300150130	0	1	180	180	180	180	180	180	180	180	180	180
300150230	0	1	180	180	180	180	180	180	180	180	180	180
300150330	0	1	180	180	180	180	180	180	180	180	180	180
300150430	0	1	180	180	180	180	180	180	180	180	180	180
300150530	0	1	180	180	180	180	180	180	180	180	180	180
300150630	0	1	180	180	180	180	180	180	180	180	180	180
300150730	0	1	180	180	180	180	180	180	180	180	180	180
300150830	0	1	180	180	180	180	180	180	180	180	180	180
300150930	0	1	180	180	180	180	180	180	180	180	180	180
300150040	0	1	200	200	200	200	200	200	200	200	200	200
300150140	0	1	200	200	200	200	200	200	200	200	200	200
300150240	0	1	200	200	200	200	200	200	200	200	200	200
300150340	0	1	200	200	200	200	200	200	200	200	200	200
300150440	0	1	200	200	200	200	200	200	200	200	200	200
300150540	0	1	200	200	200	200	200	200	200	200	200	200
300150640	0	1	200	200	200	200	200	200	200	200	200	200
300150740	0	1	200	200	200	200	200	200	200	200	200	200
300150840	0	1	200	200	200	200	200	200	200	200	200	200
300150940	0	1	200	200	200	200	200	200	200	200	200	200
300150050	0	1	240	240	240	240	240	240	240	240	240	240
300150150	0	1	240	240	240	240	240	240	240	240	240	240
300150250	0	1	240	240	240	240	240	240	240	240	240	240
300150350	0	1	240	240	240	240	240	240	240	240	240	240
300150450	0	1	240	240	240	240	240	240	240	240	240	240
300150550	0	1	240	240	240	240	240	240	240	240	240	240
300150650	0	1	240	240	240	240	240	240	240	240	240	240
300150750	0	1	240	240	240	240	240	240	240	240	240	240
300150850	0	1	240	240	240	240	240	240	240	240	240	240
300150950	0	1	240	240	240	240	240	240	240	240	240	240
300150060	0	1	320	320	320	320	320	320	320	320	320	320
300150160	0	1	320	320	320	320	320	320	320	320	320	320
300150260	0	1	320	320	320	320	320	320	320	320	320	320
300150360	0	1	320	320	320	320	320	320	320	320	320	320
300150460	0	1	320	320	320	320	320	320	320	320	320	320
300150560	0	1	320	320	320	320	320	320	320	320	320	320
300150660	0	1	320	320	320	320	320	320	320	320	320	320
300150760	0	1	320	320	320	320	320	320	320	320	320	320
300150860	0	1	320	320	320	320	320	320	320	320	320	320
300150960	0	1	320	320	320	320	320	320	320	320	320	320
300150070	0	1	380	380	380	380	380	380	380	380	380	380
300150170	0	1	380	380	380	380	380	380	380	380	380	380
300150270	0	1	380	380	380	380	380	380	380	380	380	380
300150370	0	1	380	380	380	380	380	380	380	380	380	380
300150470	0	1	380	380	380	380	380	380	380	380	380	380
300150570	0	1	380	380	380	380	380	380	380	380	380	380
300150670	0	1	380	380	380	380	380	380	380	380	380	380
300150770	0	1	380	380	380	380	380	380	380	380	380	380
300150870	0	1	380	380	380	380	380	380	380	380	380	380
300150970	0	1	380	380	380	380	380	380	380	380	380	380
300150080	0	1	440	440	440	440	440	440	440	440	440	440
300150180	0	1	440	440	440	440	440	440	440	440	440	440
300150280	0	1	440	440	440	440	440	440	440	440	440	440
300150380	0	1	440	440	440	440	440	440	440	440	440	440
300150480	0	1	440	440	440	440	440	440	440	440	440	440
300150580	0	1	440	440	440	440	440	440	440	440	440	440
300150680	0	1	440	440	440	440	440	440	440	440	440	440
300150780	0	1	440	440	440	440	440	440	440	440	440	440
300150880	0	1	440	440	440	440	440	440	440	440	440	440
300150980	0	1	440	440	440	440	440	440	440	440	440	440
300150090	0	1	500	500	500	500	500	500	500	500	500	500
300150190	0	1	500	500	500	500	500	500	500	500	500	500
300150290	0	1	500	500	500	500	500	500	500	500	500	500
300150390	0	1	500	500	500	500	500	500	500	500	500	500
300150490	0	1	500	500	500	500	500	500	500	500	500	500
300150590	0	1	500	500	500	500	500	500	500	500	500	500
300150690	0	1	500	500	500	500	500	500	500	500	500	500
300150790	0	1	500	500	500	500	500	500	500	500	500	500
300150890	0	1	500	500	500	500	500	500	500	500	500	500
300150990	0	1	500	500	500	500	500	500	500	500	500	500
310160101	0	1	20	20	20	20	20	20	20	20	20	20
310160102	0	1	20	20	20	20	20	20	20	20	20	20
310160103	0	1	20	20	20	20	20	20	20	20	20	20
310160104	0	1	20	20	20	20	20	20	20	20	20	20
310160201	0	1	20	20	20	20	20	20	20	20	20	20
310160202	0	1	20	20	20	20	20	20	20	20	20	20
310160203	0	1	20	20	20	20	20	20	20	20	20	20
310160204	0	1	20	20	20	20	20	20	20	20	20	20
310160301	0	1	10	10	10	10	10	10	10	10	10	10
310600001	0	1	150	150	150	150	150	150	150	150	150	150
310600002	0	1	180	180	180	180	180	180	180	180	180	180
310600003	0	1	200	200	200	200	200	200	200	200	200	200
310600004	0	1	240	240	240	240	240	240	240	240	240	240
310600005	0	1	320	320	320	320	320	320	320	320	320	320
310600006	0	1	380	380	380	380	380	380	380	380	380	380
310600007	0	1	440	440	440	440	440	440	440	440	440	440
310600008	0	1	500	500	500	500	500	500	500	500	500	500
310600009	0	1	560	560	560	560	560	560	560	560	560	560
310600010	0	1	620	620	620	620	620	620	620	620	620	620
320100200	0	1	80	80	80	80	80	80	80	80	80	80
320100300	0	1	350	350	350	350	350	350	350	350	350	350
320100400	0	1	900	900	900	900	900	900	900	900	900	900
320100301	0	1	350	350	350	350	350	350	350	350	350	350
320100401	0	1	900	900	900	900	900	900	900	900	900	900
320100500	0	1	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
320200500	0	1	300	300	300	300	300	300	300	300	300	300
320300400	0	1	100	100	100	100	100	100	100	100	100	100
320300501	0	1	50	50	50	50	50	50	50	50	50	50
320700101	0	1	800	800	800	800	800	800	800	800	800	800
320700202	0	1	800	800	800	800	800	800	800	800	800	800
320700303	0	1	800	800	800	800	800	800	800	800	800	800
320700404	0	1	800	800	800	800	800	800	800	800	800	800
320700500	0	1	800	800	800	800	800	800	800	800	800	800
320700600	0	1	800	800	800	800	800	800	800	800	800	800
320700700	0	1	800	800	800	800	800	800	800	800	800	800
320700800	0	1	800	800	800	800	800	800	800	800	800	800
320700900	0	1	800	800	800	800	800	800	800	800	800	800
320701100	0	1	800	800	800	800	800	800	800	800	800	800
320701200	0	1	800	800	800	800	800	800	800	800	800	800
320701300	0	1	800	800	800	800	800	800	800	800	800	800
320701400	0	1	800	800	800	800	800	800	800	800	800	800
320701500	0	1	800	800	800	800	800	800	800	800	800	800
