奖励ID（抽奖表要保持连贯性，中间不要出现有效值为0或者中断跳字的情况，活动ID参数不是主键，要注意参数ID不同的奖励ID不能相同——会导致前面参数的数据被服务器读取跳过，最多到256）	所属境界	抽奖档次(4幸运抽奖，该表不用1、2、3，幸运抽奖专用)	有效标志	活动ID参数	出现几率（低价档）	出现几率（中价档随机3个）	出现几率（高价档随机1个）	获得几率	第1次重抽	第2~5次重抽	第6次及以上重抽	奖励类型（1货币，2道具）	奖励物品ID(货币枚举：1感悟，2军功，3威望，4荣誉，5贡献，6体力，7神识，8学分，200经验,201星辉，202金币，203绑金，204元宝，205绑元)	奖励数量	奖励倍数	奖励参数	触发事件	最多出现次数（注意这个次数是低、中、高三档共用的，如果某个东西三档里都有，而次数都出现在低价档里了，那另外两档就都随不到他了）	状态限制	是否广播	时间限制（时间限制ID，主要和活动关联决定这个玩家能不能出现在奖池里的）	是否高价值（大于0有特效，大于2在奖池中显示，数值越大则排序越靠前）	次数限制ID	底图颜色
3	17	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
3	18	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
3	19	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200506	1	1	0	0	1	0	0	0	0	0	0
3	20	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
3	21	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
3	22	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
3	23	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
3	24	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
3	25	4	1	1	1000	0	0	1600	1600	1600	1600	2	324200508	1	1	0	0	1	0	0	0	0	0	0
4	0	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510002	5	1	0	0	2	0	0	0	0	0	0
4	1	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510002	5	1	0	0	2	0	0	0	0	0	0
4	2	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510002	5	1	0	0	2	0	0	0	0	0	0
4	3	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510002	5	1	0	0	2	0	0	0	0	0	0
4	4	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510002	5	1	0	0	2	0	0	0	0	0	0
4	5	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510003	5	1	0	0	2	0	0	0	0	0	0
4	6	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510003	5	1	0	0	2	0	0	0	0	0	0
4	7	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510003	5	1	0	0	2	0	0	0	0	0	0
4	8	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510004	5	1	0	0	2	0	0	0	0	0	0
4	9	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510004	5	1	0	0	2	0	0	0	0	0	0
4	10	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510004	5	1	0	0	2	0	0	0	0	0	0
4	11	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510005	5	1	0	0	2	0	0	0	0	0	0
4	12	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510005	5	1	0	0	2	0	0	0	0	0	0
4	13	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510005	5	1	0	0	2	0	0	0	0	0	0
4	14	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510006	5	1	0	0	2	0	0	0	0	0	0
4	15	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510006	5	1	0	0	2	0	0	0	0	0	0
4	16	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510006	5	1	0	0	2	0	0	0	0	0	0
4	17	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510007	5	1	0	0	2	0	0	0	0	0	0
4	18	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510007	5	1	0	0	2	0	0	0	0	0	0
4	19	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510007	5	1	0	0	2	0	0	0	0	0	0
4	20	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510008	5	1	0	0	2	0	0	0	0	0	0
4	21	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510008	5	1	0	0	2	0	0	0	0	0	0
4	22	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510008	5	1	0	0	2	0	0	0	0	0	0
4	23	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510009	5	1	0	0	2	0	0	0	0	0	0
4	24	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510009	5	1	0	0	2	0	0	0	0	0	0
4	25	4	1	1	1000	0	0	1600	1600	1600	1600	2	402510009	5	1	0	0	2	0	0	0	0	0	0
5	0	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	1	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	2	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	3	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	4	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	5	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	6	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	7	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	8	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	9	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	10	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	11	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	12	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	13	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	14	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	15	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	16	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	17	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	18	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	19	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	20	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	21	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	22	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	23	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	24	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
5	25	4	1	1	1000	0	0	1700	1700	1700	1700	2	422190200	1	1	0	0	2	0	0	0	0	0	0
6	0	4	1	1	0	1000	0	360	360	360	360	2	310255433	1	1	0	0	1	0	1	0	1	0	4
6	1	4	1	1	0	1000	0	360	360	360	360	2	310255433	1	1	0	0	1	0	1	0	1	0	4
6	2	4	1	1	0	1000	0	360	360	360	360	2	310255433	1	1	0	0	1	0	1	0	1	0	4
6	3	4	1	1	0	1000	0	360	360	360	360	2	310255433	1	1	0	0	1	0	1	0	1	0	4
6	4	4	1	1	0	1000	0	360	360	360	360	2	310255433	1	1	0	0	1	0	1	0	1	0	4
6	5	4	1	1	0	1000	0	360	360	360	360	2	310255434	1	1	0	0	1	0	1	0	1	0	4
6	6	4	1	1	0	1000	0	360	360	360	360	2	310255434	1	1	0	0	1	0	1	0	1	0	4
6	7	4	1	1	0	1000	0	360	360	360	360	2	310255434	1	1	0	0	1	0	1	0	1	0	4
6	8	4	1	1	0	1000	0	360	360	360	360	2	310255435	1	1	0	0	1	0	1	0	1	0	4
6	9	4	1	1	0	1000	0	360	360	360	360	2	310255435	1	1	0	0	1	0	1	0	1	0	4
6	10	4	1	1	0	1000	0	360	360	360	360	2	310255435	1	1	0	0	1	0	1	0	1	0	4
6	11	4	1	1	0	1000	0	360	360	360	360	2	310255436	1	1	0	0	1	0	1	0	1	0	4
6	12	4	1	1	0	1000	0	360	360	360	360	2	310255436	1	1	0	0	1	0	1	0	1	0	4
6	13	4	1	1	0	1000	0	360	360	360	360	2	310255436	1	1	0	0	1	0	1	0	1	0	4
6	14	4	1	1	0	1000	0	360	360	360	360	2	310255437	1	1	0	0	1	0	1	0	1	0	4
6	15	4	1	1	0	1000	0	360	360	360	360	2	310255437	1	1	0	0	1	0	1	0	1	0	4
6	16	4	1	1	0	1000	0	360	360	360	360	2	310255437	1	1	0	0	1	0	1	0	1	0	4
6	17	4	1	1	0	1000	0	360	360	360	360	2	310255438	1	1	0	0	1	0	1	0	1	0	4
6	18	4	1	1	0	1000	0	360	360	360	360	2	310255438	1	1	0	0	1	0	1	0	1	0	4
6	19	4	1	1	0	1000	0	360	360	360	360	2	310255438	1	1	0	0	1	0	1	0	1	0	4
6	20	4	1	1	0	1000	0	360	360	360	360	2	310255439	1	1	0	0	1	0	1	0	1	0	4
6	21	4	1	1	0	1000	0	360	360	360	360	2	310255439	1	1	0	0	1	0	1	0	1	0	4
6	22	4	1	1	0	1000	0	360	360	360	360	2	310255439	1	1	0	0	1	0	1	0	1	0	4
6	23	4	1	1	0	1000	0	360	360	360	360	2	310255440	1	1	0	0	1	0	1	0	1	0	4
6	24	4	1	1	0	1000	0	360	360	360	360	2	310255440	1	1	0	0	1	0	1	0	1	0	4
6	25	4	1	1	0	1000	0	360	360	360	360	2	310255440	1	1	0	0	1	0	1	0	1	0	4
7	0	4	1	1	0	1000	0	100	100	100	100	2	310255449	1	1	0	0	1	0	1	0	1	0	4
7	1	4	1	1	0	1000	0	100	100	100	100	2	310255449	1	1	0	0	1	0	1	0	1	0	4
7	2	4	1	1	0	1000	0	100	100	100	100	2	310255449	1	1	0	0	1	0	1	0	1	0	4
7	3	4	1	1	0	1000	0	100	100	100	100	2	310255449	1	1	0	0	1	0	1	0	1	0	4
7	4	4	1	1	0	1000	0	100	100	100	100	2	310255449	1	1	0	0	1	0	1	0	1	0	4
7	5	4	1	1	0	1000	0	100	100	100	100	2	310255450	1	1	0	0	1	0	1	0	1	0	4
7	6	4	1	1	0	1000	0	100	100	100	100	2	310255450	1	1	0	0	1	0	1	0	1	0	4
7	7	4	1	1	0	1000	0	100	100	100	100	2	310255450	1	1	0	0	1	0	1	0	1	0	4
7	8	4	1	1	0	1000	0	100	100	100	100	2	310255451	1	1	0	0	1	0	1	0	1	0	4
7	9	4	1	1	0	1000	0	100	100	100	100	2	310255451	1	1	0	0	1	0	1	0	1	0	4
7	10	4	1	1	0	1000	0	100	100	100	100	2	310255451	1	1	0	0	1	0	1	0	1	0	4
7	11	4	1	1	0	1000	0	100	100	100	100	2	310255452	1	1	0	0	1	0	1	0	1	0	4
7	12	4	1	1	0	1000	0	100	100	100	100	2	310255452	1	1	0	0	1	0	1	0	1	0	4
7	13	4	1	1	0	1000	0	100	100	100	100	2	310255452	1	1	0	0	1	0	1	0	1	0	4
7	14	4	1	1	0	1000	0	100	100	100	100	2	310255453	1	1	0	0	1	0	1	0	1	0	4
7	15	4	1	1	0	1000	0	100	100	100	100	2	310255453	1	1	0	0	1	0	1	0	1	0	4
7	16	4	1	1	0	1000	0	100	100	100	100	2	310255453	1	1	0	0	1	0	1	0	1	0	4
7	17	4	1	1	0	1000	0	100	100	100	100	2	310255454	1	1	0	0	1	0	1	0	1	0	4
7	18	4	1	1	0	1000	0	100	100	100	100	2	310255454	1	1	0	0	1	0	1	0	1	0	4
7	19	4	1	1	0	1000	0	100	100	100	100	2	310255454	1	1	0	0	1	0	1	0	1	0	4
7	20	4	1	1	0	1000	0	100	100	100	100	2	310255455	1	1	0	0	1	0	1	0	1	0	4
7	21	4	1	1	0	1000	0	100	100	100	100	2	310255455	1	1	0	0	1	0	1	0	1	0	4
7	22	4	1	1	0	1000	0	100	100	100	100	2	310255455	1	1	0	0	1	0	1	0	1	0	4
7	23	4	1	1	0	1000	0	100	100	100	100	2	310255456	1	1	0	0	1	0	1	0	1	0	4
7	24	4	1	1	0	1000	0	100	100	100	100	2	310255456	1	1	0	0	1	0	1	0	1	0	4
7	25	4	1	1	0	1000	0	100	100	100	100	2	310255456	1	1	0	0	1	0	1	0	1	0	4
8	0	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	1	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	2	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	3	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	4	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	5	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	6	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	7	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	8	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	9	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	10	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	11	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	12	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	13	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	14	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	15	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	16	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	17	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	18	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	19	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	20	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	21	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	22	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	23	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	24	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
8	25	4	1	1	0	1000	0	1130	1130	1130	1130	2	410200100	1	1	0	0	1	0	1	0	1	0	4
9	0	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	1	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	2	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	3	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	4	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	5	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	6	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	7	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	8	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	9	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	10	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	11	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	12	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	13	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	14	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	15	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	16	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	17	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	18	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
9	19	4	1	1	0	0	1000	10	10	10	10	2	310270129	1	1	0	0	1	0	1	0	2	0	6
