装备ID(2位部位，2位职业，3位区分，1位颜色，1位流水)	有效标志位客户端无用	名称	部位(0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7护肩，8头盔，9鞋子,10翅膀，11VIP装备)	颜色(0白，1绿，2蓝，3紫，4金,5红,6暗金)	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	等级下限	等级上限	境界下限	境界上限	表现类型	性别限制(0不限，1男，2女)	有效期限(填-1为无限期，单位秒)	允许续费(0到期删除，1到期不删除)	时间限制ID	允许超时(0不允许，1允许)	地点限制ID	允许离开(0不允许，1允许)	变身模板限制ID	绑定方式(0不绑定，1拾取绑，2使用绑)	出售设置(0随意出售，1提示出售，2不可出售)	出售货币	金币价格	鉴定规则ID	精炼规则ID	精炼上限	注魂规则ID	强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	基础属性池ID	蓝色属性条数上限	附加属性池ID1	精炼属性池ID	魂装属性池ID	套装ID	模型路径(路径要用/，用\时，\n**会被识别为换行)	模型类别(0轻剑；1重剑；2弓；3飞剑)	模型缩放(浮点数)	男图标前景ID（后面要把名字改为FontImageID_male）	男图标背景ID（后面要把名字改成BackImageID_male）	装备特效规则ID(2部位+2为职业+3位等级，只有武器和衣服)	装备描述	武器攻击间隔	是否广播	掉落特效	来源对象ID	掉落飞入特效	拍卖分类	拍卖价格	装备法球属性池ID	掉落上品彰显状态限制1（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	掉落极品彰显状态限制2（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	宝石装备位域（1圆、2方、4正）	神器标识	神器特殊战力	神技BUFFID	神技BUFF几率（绝对几率，万分比，不足一万以一万为分母，单件装备为分子，超过一万以总值为分母，每次触发时去掉已CD的）	BUFF的CD（秒）	BUFF持续时间（毫秒）	神器单件激活所需部位	神器激活属性ID	女图标前景ID	女图标背景ID
91100110	1	云岫靴	9	1	11	1	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	100	12	1119	0	0	10090	10911100	1	30911100	0	0	0	0	0	1	0	11_0_9	0	云岫入九天，上有昆仑剑。	1000	0	1000054	91100110	1000004	0	0	0	60910000	60910001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100120	1	邀月	0	2	11	20	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	530	21	1120	0	1100120	10000	10011200	2	30011200	0	0	0	0	0	1	0	11_0_0	0	松间邀月霓裳舞，月泉剑影独自怜。	1000	147467	1000024	1100120	1000004	0	0	0	60020000	60020001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100120	1	影泉衫	1	2	11	30	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	530	21	1121	0	11100120	10010	10111200	2	30111200	0	0	0	0	0	1	0	11_0_1	0	举杯邀明月，对影成三人。	1000	147467	1000032	11100120	1000004	0	0	0	60120000	60120001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100120	1	影泉带	2	2	11	50	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	530	21	1122	0	21100120	10020	10211200	2	30211200	0	0	0	0	0	1	0	11_0_2	0	举杯邀明月，对影成三人。	1000	147467	1000033	21100120	1000004	0	0	0	60220000	60220001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100120	1	影泉裤	3	2	11	40	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	530	21	1123	0	31100120	10030	10311200	2	30311200	0	0	0	0	0	1	0	11_0_3	0	举杯邀明月，对影成三人。	1000	147467	1000029	31100120	1000004	0	0	0	60320000	60320001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100120	1	影泉护腕	4	2	11	45	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	440	22	1124	0	41100120	10040	10411200	2	30411200	0	0	0	0	0	1	0	11_0_4	0	举杯邀明月，对影成三人。	1000	139291	1000030	41100120	1000004	0	0	0	60420000	60420001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100120	1	鲛泪	5	2	11	20	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	75	23	1125	0	51100120	10050	10511200	2	30511200	0	0	0	0	0	1	0	11_0_5	0	鲛人在岸，对月流珠。	1000	204827	1000031	51100120	1000004	0	0	0	60520000	60520001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100120	1	星汉	6	2	11	38	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	75	23	1126	0	61100120	10060	10611200	2	30611200	0	0	0	0	0	1	0	11_0_6	0	星汉灿烂，若出其中。	1000	204827	1000028	61100120	1000004	0	0	0	60620000	60620001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100120	1	影泉护肩	7	2	11	35	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	440	22	1127	0	71100120	10070	10711200	2	30711200	0	0	0	0	0	1	0	11_0_7	0	月来有剑影，泉鸣若琴心。	1000	139291	1000061	71100120	1000004	0	0	0	60720000	60720001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100120	1	影泉盔	8	2	11	25	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	440	22	1128	0	81100120	10080	10811200	2	30811200	0	0	0	0	0	1	0	11_0_8	0	月来有剑影，泉鸣若琴心。	1000	139291	1000060	81100120	1000004	0	0	0	60820000	60820001	7	0	0	0	0	0	0	-1	0	0	11_0_8
91100120	1	影泉靴	9	2	11	55	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	440	22	1129	0	91100120	10090	10911200	2	30911200	0	0	0	0	0	1	0	11_0_9	0	月来有剑影，泉鸣若琴心。	1000	139291	1000054	91100120	1000004	0	0	0	60920000	60920001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100130	1	紫电	0	3	11	60	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	960	31	1130	0	1100130	10000	10011300	3	30011300	0	0	0	0	0	1	0	11_0_0	0	悬剑如紫电，斩蛇有青霜。	1000	147483	1000024	1100130	1000004	0	0	0	60030000	60030001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100130	1	锋寒裳	1	3	11	66	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	960	31	1131	0	11100130	10010	10111300	3	30111300	0	0	0	0	0	1	0	11_0_1	0	青凛如霜，三尺锋寒。	1000	147483	1000032	11100130	1000004	0	0	0	60130000	60130001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100130	1	锋寒带	2	3	11	76	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	960	31	1132	0	21100130	10020	10211300	3	30211300	0	0	0	0	0	1	0	11_0_2	0	青凛如霜，三尺锋寒。	1000	147483	1000033	21100130	1000004	0	0	0	60230000	60230001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100130	1	锋寒裤	3	3	11	73	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	960	31	1133	0	31100130	10030	10311300	3	30311300	0	0	0	0	0	1	0	11_0_3	0	青凛如霜，三尺锋寒。	1000	147483	1000029	31100130	1000004	0	0	0	60330000	60330001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100130	1	锋寒护腕	4	3	11	75	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	800	32	1134	0	41100130	10040	10411300	3	30411300	0	0	0	0	0	1	0	11_0_4	0	青凛如霜，三尺锋寒。	1000	139323	1000030	41100130	1000004	0	0	0	60430000	60430001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100130	1	琴心	5	3	11	60	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	180	33	1135	0	51100130	10050	10511300	3	30511300	0	0	0	0	0	1	0	11_0_5	0	高山流水，悠悠琴心。	1000	204859	1000031	51100130	1000004	0	0	0	60530000	60530001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100130	1	剑胆	6	3	11	71	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	180	33	1136	0	61100130	10060	10611300	3	30611300	0	0	0	0	0	1	0	11_0_6	0	天地正气，不阿剑胆。	1000	204859	1000028	61100130	1000004	0	0	0	60630000	60630001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100130	1	锋寒护肩	7	3	11	65	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	800	32	1137	0	71100130	10070	10711300	3	30711300	0	0	0	0	0	1	0	11_0_7	0	青凛如霜，三尺锋寒。	1000	139323	1000061	71100130	1000004	0	0	0	60730000	60730001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100130	1	锋寒盔	8	3	11	64	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	800	32	1138	0	81100130	10080	10811300	3	30811300	0	0	0	0	0	1	0	11_0_8	0	青凛如霜，三尺锋寒。	1000	139323	1000060	81100130	1000004	0	0	0	60830000	60830001	7	0	0	0	0	0	0	-1	0	0	11_0_8
91100130	1	锋寒靴	9	3	11	79	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	800	32	1139	0	91100130	10090	10911300	3	30911300	0	0	0	0	0	1	0	11_0_9	0	青凛如霜，三尺锋寒。	1000	139323	1000054	91100130	1000004	0	0	0	60930000	60930001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100140	1	龙吟	0	4	11	1080	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	1100	41	1140	0	1100140	10000	10011400	3	30011400	0	0	0	0	0	1	0	11_0_0	0	铁笛高吹夜孤城，虎啸龙吟剑争鸣。	1000	147515	1000024	1100140	1000004	0	0	0	60040000	60040001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100140	1	画龙衫	1	4	11	1086	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	1100	41	1141	0	11100140	10010	10111400	3	30111400	0	0	0	0	0	1	0	11_0_1	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	147515	1000032	11100140	1000004	0	0	0	60140000	60140001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100140	1	画龙带	2	4	11	1096	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	1100	41	1142	0	21100140	10020	10211400	3	30211400	0	0	0	0	0	1	0	11_0_2	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	147515	1000033	21100140	1000004	0	0	0	60240000	60240001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100140	1	画龙裤	3	4	11	1093	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	1100	41	1143	0	31100140	10030	10311400	3	30311400	0	0	0	0	0	1	0	11_0_3	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	147515	1000029	31100140	1000004	0	0	0	60340000	60340001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100140	1	画龙护腕	4	4	11	1095	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	900	42	1144	0	41100140	10040	10411400	3	30411400	0	0	0	0	0	1	0	11_0_4	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	139387	1000030	41100140	1000004	0	0	0	60440000	60440001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100140	1	海魂	5	4	11	1080	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	330	43	1145	0	51100140	10050	10511400	3	30511400	0	0	0	0	0	1	0	11_0_5	0	蜃气结月楼，中有海魂啸。	1000	204923	1000031	51100140	1000004	0	0	0	60540000	60540001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100140	1	如山	6	4	11	1091	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	330	43	1146	0	61100140	10060	10611400	3	30611400	0	0	0	0	0	1	0	11_0_6	0	逸气棱棱凌九区，白璧如山谁敢沽。	1000	204923	1000028	61100140	1000004	0	0	0	60640000	60640001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100140	1	画龙护肩	7	4	11	1085	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	900	42	1147	0	71100140	10070	10711400	3	30711400	0	0	0	0	0	1	0	11_0_7	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	139387	1000061	71100140	1000004	0	0	0	60740000	60740001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100140	1	画龙盔	8	4	11	1084	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	900	42	1148	0	81100140	10080	10811400	3	30811400	0	0	0	0	0	1	0	11_0_8	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	139387	1000060	81100140	1000004	0	0	0	60840000	60840001	7	0	0	0	0	0	0	-1	0	0	11_0_8
91100140	1	画龙靴	9	4	11	1099	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	900	42	1149	0	91100140	10090	10911400	3	30911400	0	0	0	0	0	1	0	11_0_9	0	勾龙在画，点墨有睛。虎啸山林，其色常白。	1000	139387	1000054	91100140	1000004	0	0	0	60940000	60940001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100150	1	冰魄	0	5	11	2100	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	1300	51	1150	0	1100150	10000	10011500	3	30011500	0	0	0	0	0	1	0	11_0_0	0	冰魄君子心，寒光凛天志。	1000	147579	1000024	1100150	1000004	0	0	0	60050000	60050001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100150	1	寒光裳	1	5	11	2106	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	1300	51	1151	0	11100150	10010	10111500	3	30111500	0	0	0	0	0	1	0	11_0_1	0	当风剑舞，寒光照衣。	1000	147579	1000032	11100150	1000004	0	0	0	60150000	60150001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100150	1	寒光带	2	5	11	2116	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	1300	51	1152	0	21100150	10020	10211500	3	30211500	0	0	0	0	0	1	0	11_0_2	0	当风剑舞，寒光照衣。	1000	147579	1000033	21100150	1000004	0	0	0	60250000	60250001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100150	1	寒光裤	3	5	11	2113	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	1300	51	1153	0	31100150	10030	10311500	3	30311500	0	0	0	0	0	1	0	11_0_3	0	当风剑舞，寒光照衣。	1000	147579	1000029	31100150	1000004	0	0	0	60350000	60350001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100150	1	寒光护腕	4	5	11	2115	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	1100	52	1154	0	41100150	10040	10411500	3	30411500	0	0	0	0	0	1	0	11_0_4	0	当风剑舞，寒光照衣。	1000	139515	1000030	41100150	1000004	0	0	0	60450000	60450001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100150	1	暖坠	5	5	11	2100	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	350	53	1155	0	51100150	10050	10511500	3	30511500	0	0	0	0	0	1	0	11_0_5	0	须臾风日暖，处处皆飘坠。	1000	205051	1000031	51100150	1000004	0	0	0	60550000	60550001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100150	1	照影	6	5	11	2111	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	350	53	1156	0	61100150	10060	10611500	3	30611500	0	0	0	0	0	1	0	11_0_6	0	照来池上影，恰似未生前。	1000	205051	1000028	61100150	1000004	0	0	0	60650000	60650001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100150	1	寒光护肩	7	5	11	2105	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	1100	52	1157	0	71100150	10070	10711500	3	30711500	0	0	0	0	0	1	0	11_0_7	0	当风剑舞，寒光照衣。	1000	139515	1000061	71100150	1000004	0	0	0	60750000	60750001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100150	1	寒光盔	8	5	11	2104	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	1100	52	1158	0	81100150	10080	10811500	3	30811500	0	0	0	0	0	1	0	11_0_8	0	当风剑舞，寒光照衣。	1000	139515	1000060	81100150	1000004	0	0	0	60850000	60850001	7	0	0	0	0	0	0	-1	0	0	11_0_8
91100150	1	寒光靴	9	5	11	2119	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	1100	52	1159	0	91100150	10090	10911500	3	30911500	0	0	0	0	0	1	0	11_0_9	0	当风剑舞，寒光照衣。	1000	139515	1000054	91100150	1000004	0	0	0	60950000	60950001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100160	1	红尘	0	6	11	3120	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	1700	61	1160	0	1100160	10000	10011600	3	30011600	0	0	0	0	0	1	0	11_0_0	0	青史几番梦，红尘奇才少。	1000	155643	1000024	1100160	1000004	0	0	0	60060000	60060001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100160	1	游天衫	1	6	11	3126	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	1700	61	1161	0	11100160	10010	10111600	3	30111600	0	0	0	0	0	1	0	11_0_1	0	鲜有奇才垂青史，三尺青锋游天地。	1000	155643	1000032	11100160	1000004	0	0	0	60160000	60160001	7	0	0	0	0	0	0	-1	0	0	11_0_1
21100160	1	游天带	2	6	11	3136	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	1700	61	1162	0	21100160	10020	10211600	3	30211600	0	0	0	0	0	1	0	11_0_2	0	鲜有奇才垂青史，三尺青锋游天地。	1000	155643	1000033	21100160	1000004	0	0	0	60260000	60260001	7	0	0	0	0	0	0	-1	0	0	11_0_2
31100160	1	游天裤	3	6	11	3133	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	1700	61	1163	0	31100160	10030	10311600	3	30311600	0	0	0	0	0	1	0	11_0_3	0	鲜有奇才垂青史，三尺青锋游天地。	1000	155643	1000029	31100160	1000004	0	0	0	60360000	60360001	7	0	0	0	0	0	0	-1	0	0	11_0_3
41100160	1	游天护腕	4	6	11	3135	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	1400	62	1164	0	41100160	10040	10411600	3	30411600	0	0	0	0	0	1	0	11_0_4	0	鲜有奇才垂青史，三尺青锋游天地。	1000	147451	1000030	41100160	1000004	0	0	0	60460000	60460001	7	0	0	0	0	0	0	-1	0	0	11_0_4
51100160	1	明心	5	6	11	3120	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	430	63	1165	0	51100160	10050	10511600	3	30511600	0	0	0	0	0	1	0	11_0_5	0	开怀笑谈古今事，曲直黑白谁人知？唯有明心以自辨，笃思而慎行。	1000	212987	1000031	51100160	1000004	0	0	0	60560000	60560001	7	0	0	0	0	0	0	-1	0	0	11_0_5
61100160	1	笃思	6	6	11	3131	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	430	63	1166	0	61100160	10060	10611600	3	30611600	0	0	0	0	0	1	0	11_0_6	0	开怀笑谈古今事，曲直黑白谁人知？唯有明心以自辨，笃思而慎行。	1000	212987	1000028	61100160	1000004	0	0	0	60660000	60660001	7	0	0	0	0	0	0	-1	0	0	11_0_6
71100160	1	游天护肩	7	6	11	3125	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	1400	62	1167	0	71100160	10070	10711600	3	30711600	0	0	0	0	0	1	0	11_0_7	0	鲜有奇才垂青史，三尺青锋游天地。	1000	147451	1000061	71100160	1000004	0	0	0	60760000	60760001	7	0	0	0	0	0	0	-1	0	0	11_0_7
81100160	1	游天盔	8	6	11	3124	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	1400	62	1168	0	81100160	10080	10811600	3	30811600	0	0	0	0	0	1	0	11_0_8	0	鲜有奇才垂青史，三尺青锋游天地。	1000	147451	1000060	81100160	1000004	0	0	0	60860000	60860001	7	0	0	0	0	0	0	-1	0	0	11_0_8
91100160	1	游天靴	9	6	11	3139	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	1400	62	1169	0	91100160	10090	10911600	3	30911600	0	0	0	0	0	1	0	11_0_9	0	鲜有奇才垂青史，三尺青锋游天地。	1000	147451	1000054	91100160	1000004	0	0	0	60960000	60960001	7	0	0	0	0	0	0	-1	0	0	11_0_9
1100170	1	雪虹	0	7	11	4140	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	2000	71	1170	0	1100170	10000	10011700	3	30011700	0	0	0	0	0	1	0	11_0_0	0	风雪乱兮凝玄冰，剑光疾兮如白虹。	1000	155643	1000024	1100170	1000004	0	0	0	60070000	60070001	7	0	0	0	0	0	0	-1	0	0	11_0_0
11100170	1	莲歌衫	1	7	11	4146	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	2000	71	1171	0	11100170	10010	10111700	3	30111700	0	0	0	0	0	1	0	11_0_1	0	莲日相映歌如风，洁身淡雅柔影翠。	1000	155643	1000032	11100170	1000004	0	0	0	60170000	60170001	7	0	0	0	0	0	0	-1	0	0	11_0_1
