等级	有效标志位	老的升级所需经验经验	所需经验	可存储经验上限（已废弃）	等级所对应的境界	限制节点类型(0不限，1职业转职-实现，2满级，3技能，4成就-实现，5境界-实现)	限制节点数据	触发事件	科技1经验上限（卡等级时，经验最多可积累的上限）	科技2经验上限（卡等级时，经验最多可积累的上限）	科技3经验上限（卡等级时，经验最多可积累的上限）	科技4经验上限（卡等级时，经验最多可积累的上限）	科技5经验上限（卡等级时，经验最多可积累的上限）	科技6经验上限（卡等级时，经验最多可积累的上限）	科技7经验上限（卡等级时，经验最多可积累的上限）	科技8经验上限（卡等级时，经验最多可积累的上限）	科技9经验上限（卡等级时，经验最多可积累的上限）	科技10经验上限（卡等级时，经验最多可积累的上限）	可存储双倍经验	每次获得修炼经验
23	1	87000	87000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
24	1	122000	122000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
25	1	210000	210000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
26	1	112000	112000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
27	1	122000	122000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
28	1	132000	132000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
29	1	222000	222000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
30	1	67000	67000	50000000	1	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
31	1	112000	112000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
32	1	207000	207000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
33	1	222000	222000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
34	1	250000	250000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
35	1	227000	227000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
36	1	237000	237000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
37	1	207000	207000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
38	1	157000	157000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
39	1	395000	395000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
40	1	367000	367000	50000000	2	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
41	1	341000	341000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
42	1	357000	357000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
43	1	357000	357000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
44	1	623000	623000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
45	1	1434000	1434000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
46	1	1584000	1584000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
47	1	1114000	1114000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
48	1	1154000	1154000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
49	1	1194000	1194000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
50	1	1190000	1190000	50000000	3	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
51	1	1630000	1630000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
52	1	1770000	1770000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
53	1	2050000	2050000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
54	1	2150000	2150000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
55	1	1990000	1990000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
56	1	2030000	2030000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
57	1	2170000	2170000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
58	1	2210000	2210000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
59	1	2450000	2450000	50000000	4	0	0	0	18024000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
60	1	3920000	3920000	7840000	4	6	2	0	7920000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	32000000	300000
61	1	4000000	4000000	50000000	5	0	0	0	8080000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
62	1	4080000	4080000	50000000	5	0	0	0	9240000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
63	1	5160000	5160000	50000000	5	0	0	0	9400000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
64	1	4240000	4240000	50000000	5	0	0	0	8560000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
65	1	4320000	4320000	50000000	5	0	0	0	8720000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
66	1	4400000	4400000	50000000	5	0	0	0	9880000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
67	1	5480000	5480000	50000000	5	0	0	0	10040000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
68	1	4560000	4560000	50000000	5	0	0	0	9200000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
69	1	4640000	4640000	50000000	5	0	0	0	10190000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
70	1	5550000	5550000	50000000	5	0	0	0	10180000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
71	1	4630000	4630000	50000000	6	0	0	0	9340000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
72	1	4710000	4710000	50000000	6	0	0	0	9500000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
73	1	4790000	4790000	50000000	6	0	0	0	9660000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
74	1	4870000	4870000	50000000	6	0	0	0	9820000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
75	1	4950000	4950000	50000000	6	0	0	0	9980000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
76	1	5030000	5030000	50000000	6	0	0	0	10140000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
77	1	5110000	5110000	50000000	6	0	0	0	10300000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
78	1	5190000	5190000	50000000	6	0	0	0	10460000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
79	1	5270000	5270000	50000000	6	0	0	0	7385000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
80	1	1410000	2115000	50000000	6	1	1	0	4290000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1061	1	1450000	2175000	50000000	7	0	0	0	4410000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1062	1	1490000	2235000	50000000	7	0	0	0	4530000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1063	1	1530000	2295000	50000000	7	0	0	0	4650000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1064	1	1570000	2355000	50000000	7	0	0	0	4770000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1065	1	1610000	2415000	50000000	7	0	0	0	4890000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1066	1	1650000	2475000	50000000	7	0	0	0	5010000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1067	1	1690000	2535000	50000000	7	0	0	0	5130000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1068	1	1730000	2595000	50000000	7	0	0	0	5250000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1069	1	1770000	2655000	50000000	7	0	0	0	5370000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1070	1	1810000	2715000	50000000	7	0	0	0	5490000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1071	1	1850000	2775000	50000000	7	0	0	0	5610000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1072	1	1890000	2835000	50000000	7	0	0	0	5730000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1073	1	1930000	2895000	50000000	7	0	0	0	5850000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1074	1	1970000	2955000	50000000	7	0	0	0	5970000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1075	1	2010000	3015000	50000000	7	0	0	0	6090000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1076	1	2050000	3075000	50000000	7	0	0	0	6210000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1077	1	2090000	3135000	50000000	7	0	0	0	6330000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1078	1	2130000	3195000	50000000	7	0	0	0	9705000	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1079	1	2170000	6510000	50000000	7	0	0	0	27197370	18024000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1080	1	14250000	20687370	28500000	7	6	3	0	35017370	35017370	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	57000000	600000
1081	1	14330000	14330000	81760000	8	0	0	0	28740000	28740000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1082	1	14410000	14410000	81760000	8	0	0	0	28900000	28900000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1083	1	14490000	14490000	81760000	8	0	0	0	29060000	29060000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1084	1	14570000	14570000	81760000	8	0	0	0	29220000	29220000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1085	1	14650000	14650000	81760000	8	0	0	0	29380000	29380000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1086	1	14730000	14730000	81760000	8	0	0	0	29540000	29540000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1087	1	14810000	14810000	81760000	8	0	0	0	29700000	29700000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1088	1	14890000	14890000	81760000	8	0	0	0	29860000	29860000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1089	1	14970000	14970000	81760000	8	0	0	0	30630000	30630000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1090	1	15660000	15660000	81760000	8	0	0	0	31400000	31400000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1091	1	15740000	15740000	81760000	9	0	0	0	31560000	31560000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1092	1	15820000	15820000	81760000	9	0	0	0	31720000	31720000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1093	1	15900000	15900000	81760000	9	0	0	0	31880000	31880000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1094	1	15980000	15980000	81760000	9	0	0	0	32040000	32040000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1095	1	16060000	16060000	81760000	9	0	0	0	32200000	32200000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1096	1	16140000	16140000	81760000	9	0	0	0	32360000	32360000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1097	1	16220000	16220000	81760000	9	0	0	0	32520000	32520000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1098	1	16300000	16300000	81760000	9	0	0	0	32680000	32680000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1099	1	16380000	16380000	81760000	9	0	0	0	22890000	22890000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
1100	1	4340000	6510000	81760000	9	1	2	0	13170000	13170000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2081	1	4440000	6660000	81760000	10	0	0	0	13470000	13470000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2082	1	4540000	6810000	81760000	10	0	0	0	13770000	13770000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2083	1	4640000	6960000	81760000	10	0	0	0	14070000	14070000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2084	1	4740000	7110000	81760000	10	0	0	0	14370000	14370000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2085	1	4840000	7260000	81760000	10	0	0	0	14670000	14670000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2086	1	4940000	7410000	81760000	10	0	0	0	14970000	14970000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2087	1	5040000	7560000	81760000	10	0	0	0	15270000	15270000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2088	1	5140000	7710000	81760000	10	0	0	0	15570000	15570000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2089	1	5240000	7860000	81760000	10	0	0	0	15870000	15870000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2090	1	5340000	8010000	81760000	10	0	0	0	16170000	16170000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2091	1	5440000	8160000	81760000	10	0	0	0	16470000	16470000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2092	1	5540000	8310000	81760000	10	0	0	0	16770000	16770000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2093	1	5640000	8460000	81760000	10	0	0	0	17070000	17070000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2094	1	5740000	8610000	81760000	10	0	0	0	17370000	17370000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2095	1	5840000	8760000	81760000	10	0	0	0	17670000	17670000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2096	1	5940000	8910000	81760000	10	0	0	0	17970000	17970000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2097	1	6040000	9060000	81760000	10	0	0	0	18270000	18270000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2098	1	6140000	9210000	81760000	10	0	0	0	27930000	27930000	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2099	1	6240000	18720000	81760000	10	0	0	0	101553792	101553792	84618000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2100	1	40880000	82833792	81760000	10	6	4	0	124713792	124713792	124713792	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	114000000	1200000
2101	1	41880000	41880000	157725000	11	0	0	0	84760000	84760000	84760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2102	1	42880000	42880000	157725000	11	0	0	0	86760000	86760000	86760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2103	1	43880000	43880000	157725000	11	0	0	0	88760000	88760000	88760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2104	1	44880000	44880000	157725000	11	0	0	0	90760000	90760000	90760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2105	1	45880000	45880000	157725000	11	0	0	0	92760000	92760000	92760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2106	1	46880000	46880000	157725000	11	0	0	0	94760000	94760000	94760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2107	1	47880000	47880000	157725000	11	0	0	0	96760000	96760000	96760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2108	1	48880000	48880000	157725000	11	0	0	0	98760000	98760000	98760000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2109	1	49880000	49880000	157725000	11	0	0	0	96460000	96460000	96460000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2110	1	46580000	46580000	157725000	11	0	0	0	94160000	94160000	94160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2111	1	47580000	47580000	157725000	12	0	0	0	96160000	96160000	96160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2112	1	48580000	48580000	157725000	12	0	0	0	98160000	98160000	98160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2113	1	49580000	49580000	157725000	12	0	0	0	100160000	100160000	100160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2114	1	50580000	50580000	157725000	12	0	0	0	102160000	102160000	102160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2115	1	51580000	51580000	157725000	12	0	0	0	104160000	104160000	104160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2116	1	52580000	52580000	157725000	12	0	0	0	106160000	106160000	106160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2117	1	53580000	53580000	157725000	12	0	0	0	108160000	108160000	108160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2118	1	54580000	54580000	157725000	12	0	0	0	110160000	110160000	110160000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2119	1	55580000	55580000	157725000	12	0	0	0	79085000	79085000	79085000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
2120	1	15670000	23505000	157725000	12	1	3	0	47310000	47310000	47310000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3101	1	15870000	23805000	157725000	13	0	0	0	47910000	47910000	47910000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3102	1	16070000	24105000	157725000	13	0	0	0	48510000	48510000	48510000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3103	1	16270000	24405000	157725000	13	0	0	0	49110000	49110000	49110000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3104	1	16470000	24705000	157725000	13	0	0	0	49710000	49710000	49710000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3105	1	16670000	25005000	157725000	13	0	0	0	50310000	50310000	50310000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3106	1	16870000	25305000	157725000	13	0	0	0	50910000	50910000	50910000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3107	1	17070000	25605000	157725000	13	0	0	0	51510000	51510000	51510000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3108	1	17270000	25905000	157725000	13	0	0	0	52110000	52110000	52110000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
3109	1	17470000	26205000	157725000	13	0	0	0	52710000	52710000	52710000	263238000	828162000	2504646000	8112180000	15484632000	15484632000	15484632000	228000000	2400000
