颜色ID(1到15是染色系统的色块颜色)	性别	有效标志位	图标	R值	G值	B值	透明度	R值	G值	B值	透明度	描述
220	2	1	fashionClothe_240	255	255	255	255	66	145	255	255	套装雪霁晴蓝-默认颜色萝莉
221	2	1	fashionClothe_241	231	83	159	255	255	255	255	255	套装雪霁晴蓝-1萝莉
222	2	1	fashionClothe_242	255	255	21	255	255	255	255	255	套装雪霁晴蓝-2萝莉
223	2	1	fashionClothe_243	155	209	90	255	255	255	255	255	套装雪霁晴蓝-3萝莉
224	2	1	fashionClothe_244	83	255	219	255	255	255	255	255	套装雪霁晴蓝-4萝莉
225	2	1	fashionClothe_245	255	255	255	255	255	255	255	255	套装雪霁晴蓝-5萝莉
310	1	1	fashionClothe_310	83	169	255	255	29	134	208	255	套装萌即正义-默认颜色男
311	1	1	fashionClothe_311	234	255	34	255	255	248	0	255	套装萌即正义-1男
312	1	1	fashionClothe_312	221	184	240	255	93	77	214	255	套装萌即正义-2男
313	1	1	fashionClothe_313	36	36	36	255	99	75	75	255	套装萌即正义-3男
314	1	1	fashionClothe_314	14	236	107	255	86	213	255	255	套装萌即正义-4男
315	1	1	fashionClothe_315	255	255	255	255	255	255	255	255	套装萌即正义-5男
320	1	1	fashionClothe_330	44	175	229	255	255	255	255	255	套装萌即正义-默认颜色正太
321	1	1	fashionClothe_331	255	236	79	255	255	255	255	255	套装萌即正义-1正太
322	1	1	fashionClothe_332	235	188	255	255	46	44	111	255	套装萌即正义-2正太
323	1	1	fashionClothe_333	103	94	94	255	222	233	249	255	套装萌即正义-3正太
324	1	1	fashionClothe_334	121	255	79	255	154	255	122	255	套装萌即正义-4正太
325	1	1	fashionClothe_335	255	255	255	255	255	255	255	255	套装萌即正义-5正太
310	2	1	fashionClothe_320	124	217	255	255	44	148	221	255	套装萌即正义-默认颜色女
311	2	1	fashionClothe_321	220	255	60	255	236	255	60	255	套装萌即正义-1女
312	2	1	fashionClothe_322	247	238	248	255	101	74	184	255	套装萌即正义-2女
313	2	1	fashionClothe_323	73	73	73	255	49	49	49	255	套装萌即正义-3女
314	2	1	fashionClothe_324	255	255	255	255	0	255	149	255	套装萌即正义-4女
315	2	1	fashionClothe_325	255	255	255	255	255	255	255	255	套装萌即正义-5女
320	2	1	fashionClothe_340	7	178	223	255	0	185	246	255	套装萌即正义-默认颜色萝莉
321	2	1	fashionClothe_341	255	227	51	255	251	242	229	255	套装萌即正义-1萝莉
322	2	1	fashionClothe_342	199	149	249	255	255	255	255	255	套装萌即正义-2萝莉
323	2	1	fashionClothe_343	39	38	38	255	223	226	226	255	套装萌即正义-3萝莉
324	2	1	fashionClothe_344	103	208	43	255	255	255	255	255	套装萌即正义-4萝莉
325	2	1	fashionClothe_345	255	255	255	255	255	255	255	255	套装萌即正义-5萝莉
410	1	1	fashionClothe_510	0	171	255	255	180	230	255	255	套装清凉夏日-默认颜色男
411	1	1	fashionClothe_511	0	255	97	255	245	255	73	255	套装清凉夏日-1男
412	1	1	fashionClothe_512	220	255	0	255	201	255	253	255	套装清凉夏日-2男
413	1	1	fashionClothe_513	255	0	0	255	255	103	188	255	套装清凉夏日-3男
414	1	1	fashionClothe_514	255	255	255	255	255	255	255	255	套装清凉夏日-4男
415	1	1	fashionClothe_515	207	73	255	255	255	114	245	255	套装清凉夏日-5男
420	1	1	fashionClothe_530	0	144	246	255	255	255	255	255	套装清凉夏日-默认颜色正太
421	1	1	fashionClothe_531	0	255	12	255	227	255	236	255	套装清凉夏日-1正太
422	1	1	fashionClothe_532	255	229	9	255	255	255	255	255	套装清凉夏日-2正太
423	1	1	fashionClothe_533	255	0	0	255	255	139	213	255	套装清凉夏日-3正太
424	1	1	fashionClothe_534	255	255	255	255	255	255	255	255	套装清凉夏日-4正太
425	1	1	fashionClothe_535	246	99	255	255	255	131	221	255	套装清凉夏日-5正太
410	2	1	fashionClothe_520	255	255	255	255	0	181	255	255	套装清凉夏日-默认颜色女
411	2	1	fashionClothe_521	43	255	159	255	252	255	36	255	套装清凉夏日-1女
412	2	1	fashionClothe_522	255	187	39	255	255	111	47	255	套装清凉夏日-2女
413	2	1	fashionClothe_523	255	53	53	255	255	105	195	255	套装清凉夏日-3女
414	2	1	fashionClothe_524	171	196	255	255	255	107	239	255	套装清凉夏日-4女
415	2	1	fashionClothe_525	231	122	255	255	255	99	141	255	套装清凉夏日-5女
420	2	1	fashionClothe_540	255	255	255	255	255	192	26	255	套装清凉夏日-默认颜色萝莉
421	2	1	fashionClothe_541	144	228	255	255	235	255	0	255	套装清凉夏日-1萝莉
422	2	1	fashionClothe_542	241	248	122	255	255	132	0	255	套装清凉夏日-2萝莉
423	2	1	fashionClothe_543	255	30	30	255	252	56	255	255	套装清凉夏日-3萝莉
424	2	1	fashionClothe_544	60	114	219	255	255	255	255	255	套装清凉夏日-4萝莉
425	2	1	fashionClothe_545	255	60	250	255	255	54	54	255	套装清凉夏日-5萝莉
510	1	1	fashionClothe_410	254	254	254	254	254	254	254	254	套装一生所爱-默认颜色男
510	2	1	fashionClothe_420	254	254	254	254	254	254	254	254	套装一生所爱-默认颜色女
520	1	1	fashionClothe_430	254	254	254	254	254	254	254	254	套装一生所爱-默认颜色正太
520	2	1	fashionClothe_440	254	254	254	254	254	254	254	254	套装一生所爱-默认颜色萝莉
610	1	1	fashionClothe_610	118	44	73	255	255	255	255	255	套装细雨和风-默认颜色男
611	1	1	fashionClothe_611	103	100	75	255	255	38	38	255	套装细雨和风-1男
612	1	1	fashionClothe_612	50	169	201	255	255	255	255	255	套装细雨和风-2男
613	1	1	fashionClothe_613	60	38	131	255	107	194	255	255	套装细雨和风-3男
614	1	1	fashionClothe_614	19	18	18	255	221	198	199	255	套装细雨和风-4男
615	1	1	fashionClothe_615	116	63	97	255	135	0	103	255	套装细雨和风-5男
620	1	1	fashionClothe_630	143	22	59	255	255	255	255	255	套装细雨和风-默认颜色正太
621	1	1	fashionClothe_631	159	143	13	255	236	255	116	255	套装细雨和风-1正太
622	1	1	fashionClothe_632	0	191	41	255	121	255	116	255	套装细雨和风-2正太
623	1	1	fashionClothe_633	0	81	161	255	116	238	255	255	套装细雨和风-3正太
624	1	1	fashionClothe_634	167	0	255	255	34	30	30	255	套装细雨和风-4正太
625	1	1	fashionClothe_635	0	182	152	255	255	26	26	255	套装细雨和风-5正太
610	2	1	fashionClothe_620	141	126	126	255	210	154	154	255	套装细雨和风-默认颜色女
611	2	1	fashionClothe_621	240	186	71	255	255	240	43	255	套装细雨和风-1女
612	2	1	fashionClothe_622	16	242	242	255	28	255	58	255	套装细雨和风-2女
613	2	1	fashionClothe_623	86	93	214	255	23	255	226	255	套装细雨和风-3女
614	2	1	fashionClothe_624	77	148	122	255	114	0	255	255	套装细雨和风-4女
615	2	1	fashionClothe_625	255	26	0	255	0	0	0	255	套装细雨和风-5女
620	2	1	fashionClothe_640	99	68	79	255	171	113	113	255	套装细雨和风-默认颜色萝莉
621	2	1	fashionClothe_641	133	150	30	255	255	181	79	255	套装细雨和风-1萝莉
622	2	1	fashionClothe_642	0	243	253	255	41	223	57	255	套装细雨和风-2萝莉
623	2	1	fashionClothe_643	62	47	137	255	64	51	156	255	套装细雨和风-3萝莉
624	2	1	fashionClothe_644	243	39	255	255	155	56	171	255	套装细雨和风-4萝莉
625	2	1	fashionClothe_645	15	4	4	255	255	120	120	255	套装细雨和风-5萝莉
710	1	1	fashionClothe_710	255	255	255	255	255	255	255	255	套装踏雪寻梅-默认颜色男
711	1	1	fashionClothe_711	253	255	122	255	255	135	135	255	套装踏雪寻梅-1男
712	1	1	fashionClothe_712	120	255	177	255	255	239	113	255	套装踏雪寻梅-2男
713	1	1	fashionClothe_713	103	224	255	255	126	132	255	255	套装踏雪寻梅-3男
714	1	1	fashionClothe_714	255	49	49	255	243	208	255	255	套装踏雪寻梅-4男
715	1	1	fashionClothe_715	178	159	255	255	137	231	255	255	套装踏雪寻梅-5男
720	1	1	fashionClothe_730	255	255	255	255	255	255	255	255	套装踏雪寻梅-默认颜色正太
721	1	1	fashionClothe_731	255	251	116	255	255	255	255	255	套装踏雪寻梅-1正太
722	1	1	fashionClothe_732	86	255	129	255	255	255	255	255	套装踏雪寻梅-2正太
723	1	1	fashionClothe_733	79	167	255	255	255	255	255	255	套装踏雪寻梅-3正太
724	1	1	fashionClothe_734	255	101	101	255	255	255	255	255	套装踏雪寻梅-4正太
725	1	1	fashionClothe_735	143	122	255	255	255	255	255	255	套装踏雪寻梅-5正太
710	2	1	fashionClothe_720	255	255	255	255	255	255	255	255	套装踏雪寻梅-默认颜色女
711	2	1	fashionClothe_721	255	200	101	255	233	255	92	255	套装踏雪寻梅-1女
712	2	1	fashionClothe_722	120	255	132	255	226	255	126	255	套装踏雪寻梅-2女
713	2	1	fashionClothe_723	103	230	255	255	144	163	255	255	套装踏雪寻梅-3女
714	2	1	fashionClothe_724	255	68	68	255	255	203	203	255	套装踏雪寻梅-4女
715	2	1	fashionClothe_725	152	161	255	255	120	210	255	255	套装踏雪寻梅-5女
720	2	1	fashionClothe_740	255	255	255	255	255	255	255	255	套装踏雪寻梅-默认颜色萝莉
721	2	1	fashionClothe_741	255	186	64	255	253	255	86	255	套装踏雪寻梅-1萝莉
722	2	1	fashionClothe_742	242	255	122	255	154	255	135	255	套装踏雪寻梅-2萝莉
723	2	1	fashionClothe_743	143	181	255	255	109	243	255	255	套装踏雪寻梅-3萝莉
724	2	1	fashionClothe_744	255	227	227	255	255	71	71	255	套装踏雪寻梅-4萝莉
725	2	1	fashionClothe_745	113	214	255	255	218	133	255	255	套装踏雪寻梅-5萝莉
810	1	1	fashionClothe_810	255	255	255	255	255	255	255	255	套装圣诞-默认颜色男
820	1	1	fashionClothe_830	255	255	255	255	255	255	255	255	套装圣诞-默认颜色正太
810	2	1	fashionClothe_820	255	255	255	255	255	255	255	255	套装圣诞-默认颜色女
820	2	1	fashionClothe_840	255	255	255	255	255	255	255	255	套装圣诞-默认颜色萝莉
910	1	1	item11_110	255	255	255	255	255	255	255	255	套装吉祥-默认颜色男
920	1	1	item11_112	255	255	255	255	255	255	255	255	套装吉祥--默认颜色正太
910	2	1	item11_111	255	255	255	255	255	255	255	255	套装吉祥--默认颜色女
920	2	1	item11_113	255	255	255	255	255	255	255	255	套装吉祥--默认颜色萝莉
1010	1	1	fashionClothe_212	255	255	255	255	255	255	255	255	套装雪霁晴蓝·凝月-2男
1020	1	1	fashionClothe_232	255	255	255	255	255	255	255	255	套装雪霁晴蓝·凝月-2正太
1010	2	1	fashionClothe_222	255	255	255	255	255	255	255	255	套装雪霁晴蓝·凝月-2女
1020	2	1	fashionClothe_245	255	255	255	255	255	255	255	255	套装雪霁晴蓝·凝月-2萝莉
1110	1	1	item97_1110	255	255	255	255	255	255	255	255	套装狂欢夏季-默认颜色男
1111	1	1	item97_1111	255	109	109	255	137	124	73	255	套装狂欢夏季-1男
1112	1	1	item97_1112	255	251	109	255	255	251	124	255	套装狂欢夏季-2男
1113	1	1	item97_1113	109	255	152	255	124	239	255	255	套装狂欢夏季-3男
1114	1	1	item97_1114	109	188	255	255	128	124	255	255	套装狂欢夏季-4男
1115	1	1	item97_1115	205	109	255	255	255	114	245	255	套装狂欢夏季-5男
1120	1	1	item97_1130	255	255	255	255	255	255	255	255	套装狂欢夏季-默认颜色正太
1121	1	1	item97_1131	255	122	122	255	255	128	128	255	套装狂欢夏季-1正太
1122	1	1	item97_1132	237	255	122	255	211	255	128	255	套装狂欢夏季-2正太
1123	1	1	item97_1133	122	255	178	255	128	208	255	255	套装狂欢夏季-3正太
1124	1	1	item97_1134	122	194	255	255	164	128	255	255	套装狂欢夏季-4正太
1125	1	1	item97_1135	215	122	255	255	255	94	130	255	套装狂欢夏季-5正太
1110	2	1	item97_1120	255	255	255	255	255	255	255	255	套装狂欢夏季-默认颜色女
1111	2	1	item97_1121	255	109	109	255	255	116	116	255	套装狂欢夏季-1女
1112	2	1	item97_1122	247	255	109	255	216	255	77	255	套装狂欢夏季-2女
1113	2	1	item97_1123	109	255	201	255	77	255	248	255	套装狂欢夏季-3女
1114	2	1	item97_1124	109	213	255	255	141	165	255	255	套装狂欢夏季-4女
1115	2	1	item97_1125	156	109	255	255	255	77	184	255	套装狂欢夏季-5女
1120	2	1	item97_1140	255	255	255	255	255	255	255	255	套装狂欢夏季-默认颜色萝莉
1121	2	1	item97_1141	255	121	121	255	235	101	101	255	套装狂欢夏季-1萝莉
1122	2	1	item97_1142	220	255	121	255	255	238	101	255	套装狂欢夏季-2萝莉
1123	2	1	item97_1143	121	255	150	255	101	255	204	255	套装狂欢夏季-3萝莉
1124	2	1	item97_1144	121	233	255	255	101	121	255	255	套装狂欢夏季-4萝莉
1125	2	1	item97_1145	148	121	255	255	255	101	200	255	套装狂欢夏季-5萝莉
1210	1	1	item97_1210	255	255	255	255	255	255	255	255	套装国士无双-2男
1220	1	1	item97_1230	255	255	255	255	255	255	255	255	套装国士无双-2正太
1210	2	1	item97_1220	255	255	255	255	255	255	255	255	套装国士无双-2女
1220	2	1	item97_1240	255	255	255	255	255	255	255	255	套装国士无双-2萝莉
