卡牌ID	有效标志位	名字	类型	卡牌颜色	职业限制	等级下限	等级上限	境界下限	境界上限	佩带数量	时间限制（佩带生效总时长，单位为秒，-1为不限时）	可否续费	时间限制ID	超出时间限制是否删除	附加属性池ID（可以用来当BUFF？）	附加法球类型（属性池ID主键）	属性池ID副键，后面两个字段暂时不要了	法球触发几率下限	法球触发几率上限	卡牌重铸类型（对应design_cfg的保底规则）	重铸消耗元宝（consumeID）--现在改为绑元数量	重铸道具	重铸数量	卡牌升星ID（强化）	是否不可重铸	高级重铸ID（吞噬？）	高级重铸消耗元宝（consumeID）	高级重铸消耗？	拍卖类型	摆摊价格	出售货币类型（以前的销毁）	出售价格	攻击类型	转化后卡牌ID	洗炼材料1	洗炼材料2	洗炼材料3	洗炼材料4	附加战斗属性类型	属性1下限	属性1上限	属性1几率	属性1元宝重铸几率	属性2下限	属性2上限	属性2几率	属性2元宝重铸几率	属性3下限	属性3上限	属性3几率	属性3元宝重铸几率	属性4下限	属性4上限	属性4几率	属性4元宝重铸几率	属性5下限	属性5上限	属性5几率	属性5元宝重铸几率	属性6下限	属性6上限	属性6几率	属性6元宝重铸几率	属性7下限	属性7上限	属性7几率	属性7元宝重铸几率	属性8下限（完美）	属性8上限	属性8几率	属性8元宝重铸几率	属性9下限	属性9上限	属性9几率	属性9元宝重铸几率	属性10下限（逆天）	属性10上限	属性10几率	属性10元宝重铸几率	附加战斗属性类型2	属性1下限	属性1上限	属性1几率	属性1元宝重铸几率	属性2下限	属性2上限	属性2几率	属性2元宝重铸几率	属性3下限	属性3上限	属性3几率	属性3元宝重铸几率	属性4下限	属性4上限	属性4几率	属性4元宝重铸几率	属性5下限	属性5上限	属性5几率	属性5元宝重铸几率	属性6下限	属性6上限	属性6几率	属性6元宝重铸几率	属性7下限	属性7上限	属性7几率	属性7元宝重铸几率	属性8下限（完美）	属性8上限	属性8几率	属性8元宝重铸几率	属性9下限	属性9上限	属性9几率	属性9元宝重铸几率	属性10下限（逆天）	属性10上限	属性10几率	属性10元宝重铸几率	属性1战力值	属性2战力值	卡牌种类，只在合成时判断用（0不是卡，1普通卡，2魂卡，3神卡）
500103211	1	会心凝神	18	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500303	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1075	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103212	1	裂天之锋	19	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500302	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1011	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103213	1	两仪之御	20	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	0	8	430500303	1	1001	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1010	31	31	4000	686	31	62	4000	3000	62	93	1500	3000	93	124	150	2800	124	155	100	200	155	175	100	100	175	206	100	100	206	237	50	100	237	268	0	10	268	400	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4272	0	1
500103501	1	精灵源泉[材料]	10	3	0	1100	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1072	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103502	1	血魔力量[材料]	11	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1067	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103503	1	太乙力量[材料]	11	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1070	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103504	1	大地守护[材料]	12	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1068	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103505	1	风神守护[材料]	12	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1071	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103506	1	明视之眼[材料]	13	3	0	1090	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1005	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103507	1	邪魅之舞[材料]	14	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1006	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103508	1	雷霆之怒[材料]	15	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1007	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103509	1	空明之心[材料]	16	3	0	1090	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1008	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103510	1	料敌先机[材料]	17	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1074	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103511	1	会心凝神[材料]	18	3	0	1090	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1075	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103512	1	裂天之锋[材料]	19	3	0	1090	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1011	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500103513	1	两仪之御[材料]	20	3	0	1081	9999	0	999	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	203	100	0	0	0	0	0	0	1010	1	1	698	500	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
500113201	1	魂·精灵源泉	10	3	0	1100	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500301	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1072	2764	2764	0	0	2764	5528	0	0	5528	8292	0	0	8292	11056	0	0	11056	13820	0	0	13820	16584	0	0	16584	19348	0	0	19348	22112	9990	9990	22112	27640	10	10	27640	38700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113202	1	魂·血魔力量	11	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500301	2	1002	0	0	0	0	0	0	203	100	1	500113203	0	0	0	0	1067	228	228	0	0	228	456	0	0	456	684	0	0	684	912	0	0	912	1140	0	0	1140	1368	0	0	1368	1596	0	0	1596	1824	9990	9990	1824	2280	10	10	2280	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113203	1	魂·太乙力量	11	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500301	2	1002	0	0	0	0	0	0	203	100	2	500113202	0	0	0	0	1070	228	228	0	0	228	456	0	0	456	684	0	0	684	912	0	0	912	1140	0	0	1140	1368	0	0	1368	1596	0	0	1596	1824	9990	9990	1824	2280	10	10	2280	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113204	1	魂·大地守护	12	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500301	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1068	228	228	0	0	228	456	0	0	456	684	0	0	684	912	0	0	912	1140	0	0	1140	1368	0	0	1368	1596	0	0	1596	1824	9990	9990	1824	2280	10	10	2280	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113205	1	魂·风神守护	12	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500301	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1071	228	228	0	0	228	456	0	0	456	684	0	0	684	912	0	0	912	1140	0	0	1140	1368	0	0	1368	1596	0	0	1596	1824	9990	9990	1824	2280	10	10	2280	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113206	1	魂·明视之眼	13	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500302	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1005	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113207	1	魂·邪魅之舞	14	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500303	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1006	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113208	1	魂·雷霆之怒	15	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500302	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1007	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113209	1	魂·空明之心	16	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500303	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1008	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113210	1	魂·料敌先机	17	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500302	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1074	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113211	1	魂·会心凝神	18	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500303	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1075	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113212	1	魂·裂天之锋	19	3	0	1090	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500302	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1011	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500113213	1	魂·两仪之御	20	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	1	16	430500303	2	1002	0	0	0	0	0	0	203	100	0	0	0	0	0	0	1010	39	39	0	0	39	78	0	0	78	117	0	0	117	156	0	0	156	195	0	0	195	234	0	0	234	273	0	0	273	312	9990	9990	312	390	10	10	390	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10176	0	2
500123201	1	神·战神气息	11	3	0	1081	9999	0	999	3	-1	0	0	0	0	0	0	0	0	2	40	430500301	5	1003	0	0	0	0	0	0	203	100	1	500123202	0	0	0	0	1067	251	251	0	0	251	502	0	0	502	753	0	0	753	1004	0	0	1004	1255	0	0	1255	1506	0	0	1506	1757	0	0	1757	2008	9990	9990	2008	2510	10	10	2510	3200	0	0	1005	43	43	0	0	43	86	0	0	86	129	3000	690	129	172	6000	8000	172	215	1000	1000	215	258	0	100	258	301	0	100	301	344	0	100	344	430	0	10	430	550	0	0	10176	10176	3
