#道藏ID	#任务品质ID	valid	#生成权重（随机到该道藏作为任务的概率）	#灵宠数量（进行任务需要分配的灵宠个数）	#灵宠类型（擅长此道藏的任务的灵宠）	#秒做基础消耗（直接完成的货币消耗基础值，货币类型在design_cfg中配置）	#必得奖励ID（完成任务必然获得的奖励）	#概率奖励ID（概率获得的额外奖励）	#基础概率（概率奖励的几率基础值）	#单个灵宠加成（每多一个擅长灵宠对奖励概率的加成）	#灵宠品质扣减：SS级不扣，S扣1次，A扣2次，B扣3次，C扣4次	#任务模式（0时间型，1委托型）	#任务参数1（时间型表示时长1随机概率，委托行表示任务1的ID）	#任务参数2（时间型表示时长2的随机概率，委托型表示任务1的随机概率）	#任务参数3（参考参数1）	#任务参数4（参考参数2）	#任务参数5（参考参数1）	#任务参数6（参考参数2）
[C][S]id	[C][S]task_quality	0	[C][S]task_weight	[C][S]partner_num 	[C][S]partner_type	[C][S]buy_cd_cost	[C][S]determined_reward_id	[C][S]Probable_reward_id	[C][S]probable_basic_odds	[C][S]suitable_reward_odds	[C][S]realm_decrease_odds	[C][S]task_mode	[C][S]task_param1	[C][S]task_param2	[C][S]task_param3	[C][S]task_param4	[C][S]task_param5	[C][S]task_param6
900002006	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002007	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002008	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002009	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900002010	2	1	290	2	2	50	50021101	50020201	3500	2000	250	0	0	0	100	100	0	0
900003001	2	1	290	1	3	50	50031101	50030201	5500	2000	250	0	0	0	100	100	0	0
900003002	2	1	290	1	3	50	50031101	50030201	5500	2000	250	0	0	0	100	100	0	0
900003003	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003004	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003005	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003006	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003007	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003008	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003009	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900003010	2	1	290	2	3	50	50031101	50030201	3500	2000	250	0	0	0	100	100	0	0
900004001	2	1	290	1	4	50	50041101	50040201	5500	2000	250	0	0	0	100	100	0	0
900004002	2	1	290	1	4	50	50041101	50040201	5500	2000	250	0	0	0	100	100	0	0
900004003	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004004	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004005	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004006	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004007	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004008	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004009	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900004010	2	1	290	2	4	50	50041101	50040201	3500	2000	250	0	0	0	100	100	0	0
900005001	2	1	290	1	5	50	50051101	50050201	5500	2000	250	0	0	0	100	100	0	0
900005002	2	1	290	1	5	50	50051101	50050201	5500	2000	250	0	0	0	100	100	0	0
900005003	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005004	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005005	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005006	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005007	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005008	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005009	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900005010	2	1	290	2	5	50	50051101	50050201	3500	2000	250	0	0	0	100	100	0	0
900006001	2	1	290	1	6	50	50061101	50060201	5500	2000	250	0	0	0	100	100	0	0
900006002	2	1	290	1	6	50	50061101	50060201	5500	2000	250	0	0	0	100	100	0	0
900006003	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006004	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006005	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006006	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006007	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006008	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006009	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900006010	2	1	290	2	6	50	50061101	50060201	3500	2000	250	0	0	0	100	100	0	0
900001001	3	1	80	1	1	50	50011101	50010301	5400	5000	833	0	0	0	0	0	100	0
900001002	3	1	80	2	1	50	50011101	50010301	3600	4000	667	0	0	0	0	0	100	0
900001003	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001004	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001005	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001006	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001007	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001008	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001009	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900001010	3	1	80	3	1	50	50011101	50010301	3000	3000	500	0	0	0	0	0	100	0
900002001	3	1	80	1	2	50	50021101	50020301	5400	5000	833	0	0	0	0	0	100	0
900002002	3	1	80	2	2	50	50021101	50020301	3600	4000	667	0	0	0	0	0	100	0
900002003	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002004	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002005	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002006	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002007	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002008	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002009	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900002010	3	1	80	3	2	50	50021101	50020301	3000	3000	500	0	0	0	0	0	100	0
900003001	3	1	80	1	3	50	50031101	50030301	5400	5000	833	0	0	0	0	0	100	0
900003002	3	1	80	2	3	50	50031101	50030301	3600	4000	667	0	0	0	0	0	100	0
900003003	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003004	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003005	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003006	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003007	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003008	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003009	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900003010	3	1	80	3	3	50	50031101	50030301	3000	3000	500	0	0	0	0	0	100	0
900004001	3	1	80	1	4	50	50041101	50040301	5400	5000	833	0	0	0	0	0	100	0
900004002	3	1	80	2	4	50	50041101	50040301	3600	4000	667	0	0	0	0	0	100	0
900004003	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004004	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004005	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004006	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004007	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004008	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004009	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900004010	3	1	80	3	4	50	50041101	50040301	3000	3000	500	0	0	0	0	0	100	0
900005001	3	1	80	1	5	50	50051101	50050301	5400	5000	833	0	0	0	0	0	100	0
900005002	3	1	80	2	5	50	50051101	50050301	3600	4000	667	0	0	0	0	0	100	0
900005003	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005004	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005005	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005006	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005007	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005008	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005009	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900005010	3	1	80	3	5	50	50051101	50050301	3000	3000	500	0	0	0	0	0	100	0
900006001	3	1	80	1	6	50	50061101	50060301	5400	5000	833	0	0	0	0	0	100	0
900006002	3	1	80	2	6	50	50061101	50060301	3600	4000	667	0	0	0	0	0	100	0
900006003	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006004	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006005	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006006	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006007	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006008	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006009	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900006010	3	1	80	3	6	50	50061101	50060301	3000	3000	500	0	0	0	0	0	100	0
900001001	4	1	40	1	1	50	50011101	50010401	6000	5000	833	0	0	0	0	0	0	100
900001002	4	1	40	2	1	50	50011101	50010401	4800	3500	583	0	0	0	0	0	0	100
900001003	4	1	40	3	1	50	50011101	50010401	3600	3000	500	0	0	0	0	0	0	100
900001004	4	1	40	4	1	50	50011101	50010401	3000	2500	417	0	0	0	0	0	0	100
900001005	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900001006	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900001007	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900001008	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900001009	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900001010	4	1	40	5	1	50	50011101	50010401	3000	2000	333	0	0	0	0	0	0	100
900002001	4	1	40	1	2	50	50021101	50020401	6000	5000	833	0	0	0	0	0	0	100
900002002	4	1	40	2	2	50	50021101	50020401	4800	3500	583	0	0	0	0	0	0	100
900002003	4	1	40	3	2	50	50021101	50020401	3600	3000	500	0	0	0	0	0	0	100
900002004	4	1	40	4	2	50	50021101	50020401	3000	2500	417	0	0	0	0	0	0	100
900002005	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900002006	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900002007	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900002008	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900002009	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900002010	4	1	40	5	2	50	50021101	50020401	3000	2000	333	0	0	0	0	0	0	100
900003001	4	1	20	1	3	50	50031101	50030401	6000	5000	833	0	0	0	0	0	0	100
900003002	4	1	20	2	3	50	50031101	50030401	4800	3500	583	0	0	0	0	0	0	100
900003003	4	1	20	3	3	50	50031101	50030401	3600	3000	500	0	0	0	0	0	0	100
900003004	4	1	20	4	3	50	50031101	50030401	3000	2500	417	0	0	0	0	0	0	100
900003005	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900003006	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900003007	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900003008	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900003009	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900003010	4	1	20	5	3	50	50031101	50030401	3000	2000	333	0	0	0	0	0	0	100
900004001	4	1	40	1	4	50	50041101	50040401	6000	5000	833	0	0	0	0	0	0	100
900004002	4	1	40	2	4	50	50041101	50040401	4800	3500	583	0	0	0	0	0	0	100
900004003	4	1	40	3	4	50	50041101	50040401	3600	3000	500	0	0	0	0	0	0	100
900004004	4	1	40	4	4	50	50041101	50040401	3000	2500	417	0	0	0	0	0	0	100
900004005	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900004006	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900004007	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900004008	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900004009	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900004010	4	1	40	5	4	50	50041101	50040401	3000	2000	333	0	0	0	0	0	0	100
900005001	4	1	40	1	5	50	50051101	50050401	6000	5000	833	0	0	0	0	0	0	100
900005002	4	1	40	2	5	50	50051101	50050401	4800	3500	583	0	0	0	0	0	0	100
900005003	4	1	40	3	5	50	50051101	50050401	3600	3000	500	0	0	0	0	0	0	100
900005004	4	1	40	4	5	50	50051101	50050401	3000	2500	417	0	0	0	0	0	0	100
900005005	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900005006	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900005007	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900005008	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900005009	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900005010	4	1	40	5	5	50	50051101	50050401	3000	2000	333	0	0	0	0	0	0	100
900006001	4	1	40	1	6	50	50061101	50060401	6000	5000	833	0	0	0	0	0	0	100
900006002	4	1	40	2	6	50	50061101	50060401	4800	3500	583	0	0	0	0	0	0	100
900006003	4	1	40	3	6	50	50061101	50060401	3600	3000	500	0	0	0	0	0	0	100
900006004	4	1	40	4	6	50	50061101	50060401	3000	2500	417	0	0	0	0	0	0	100
900006005	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
900006006	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
900006007	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
900006008	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
900006009	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
900006010	4	1	40	5	6	50	50061101	50060401	3000	2000	333	0	0	0	0	0	0	100
