道具ID	兵甲坊等级	有效值	装备品阶	概率1	概率2	概率3	道具1	道具2	道具3	帮贡消耗	基础稀缺分数（每次打造增加这个积分的1~3倍）	基础上古分数（每次打造增加这个积分的1~3倍）	需要的稀缺分数	需要的上古分数
1100150	10	1	5	57	35	8	300110050	300140050	300150050	6420	642	642	3669	16050
1100150	11	1	5	57	35	8	300110050	300140050	300150050	6120	612	612	3497	15300
1100150	12	1	5	57	35	8	300110050	300140050	300150050	5820	582	582	3326	14550
1100150	13	1	5	57	35	8	300110050	300140050	300150050	5520	552	552	3154	13800
1100150	14	1	5	57	35	8	300110050	300140050	300150050	5220	522	522	2983	13050
1100150	15	1	5	57	35	8	300110050	300140050	300150050	4920	492	492	2811	12300
1100150	16	1	5	57	35	8	300110050	300140050	300150050	4620	462	462	2640	11550
1100150	17	1	5	57	35	8	300110050	300140050	300150050	4320	432	432	2469	10800
1100150	18	1	5	57	35	8	300110050	300140050	300150050	4020	402	402	2297	10050
1100150	19	1	5	57	35	8	300110050	300140050	300150050	3720	372	372	2126	9300
1100150	20	1	5	57	35	8	300110050	300140050	300150050	3420	342	342	1954	8550
1100160	1	1	6	57	35	8	300110060	300140060	300150060	13800	1380	1380	7886	34500
1100160	2	1	6	57	35	8	300110060	300140060	300150060	13340	1334	1334	7623	33350
1100160	3	1	6	57	35	8	300110060	300140060	300150060	12880	1288	1288	7360	32200
1100160	4	1	6	57	35	8	300110060	300140060	300150060	12420	1242	1242	7097	31050
1100160	5	1	6	57	35	8	300110060	300140060	300150060	11960	1196	1196	6834	29900
1100160	6	1	6	57	35	8	300110060	300140060	300150060	11500	1150	1150	6571	28750
1100160	7	1	6	57	35	8	300110060	300140060	300150060	11040	1104	1104	6309	27600
1100160	8	1	6	57	35	8	300110060	300140060	300150060	10580	1058	1058	6046	26450
1100160	9	1	6	57	35	8	300110060	300140060	300150060	10120	1012	1012	5783	25300
1100160	10	1	6	57	35	8	300110060	300140060	300150060	9660	966	966	5520	24150
1100160	11	1	6	57	35	8	300110060	300140060	300150060	9200	920	920	5257	23000
1100160	12	1	6	57	35	8	300110060	300140060	300150060	8740	874	874	4994	21850
1100160	13	1	6	57	35	8	300110060	300140060	300150060	8280	828	828	4731	20700
1100160	14	1	6	57	35	8	300110060	300140060	300150060	7820	782	782	4469	19550
1100160	15	1	6	57	35	8	300110060	300140060	300150060	7360	736	736	4206	18400
1100160	16	1	6	57	35	8	300110060	300140060	300150060	6900	690	690	3943	17250
1100160	17	1	6	57	35	8	300110060	300140060	300150060	6440	644	644	3680	16100
1100160	18	1	6	57	35	8	300110060	300140060	300150060	5980	598	598	3417	14950
1100160	19	1	6	57	35	8	300110060	300140060	300150060	5520	552	552	3154	13800
1100160	20	1	6	57	35	8	300110060	300140060	300150060	5060	506	506	2891	12650
1100170	1	1	7	57	35	8	300110070	300140070	300150070	19800	1980	1980	11314	49500
1100170	2	1	7	57	35	8	300110070	300140070	300150070	19140	1914	1914	10937	47850
1100170	3	1	7	57	35	8	300110070	300140070	300150070	18480	1848	1848	10560	46200
1100170	4	1	7	57	35	8	300110070	300140070	300150070	17820	1782	1782	10183	44550
1100170	5	1	7	57	35	8	300110070	300140070	300150070	17160	1716	1716	9806	42900
1100170	6	1	7	57	35	8	300110070	300140070	300150070	16500	1650	1650	9429	41250
1100170	7	1	7	57	35	8	300110070	300140070	300150070	15840	1584	1584	9051	39600
1100170	8	1	7	57	35	8	300110070	300140070	300150070	15180	1518	1518	8674	37950
1100170	9	1	7	57	35	8	300110070	300140070	300150070	14520	1452	1452	8297	36300
1100170	10	1	7	57	35	8	300110070	300140070	300150070	13860	1386	1386	7920	34650
1100170	11	1	7	57	35	8	300110070	300140070	300150070	13200	1320	1320	7543	33000
1100170	12	1	7	57	35	8	300110070	300140070	300150070	12540	1254	1254	7166	31350
1100170	13	1	7	57	35	8	300110070	300140070	300150070	11880	1188	1188	6789	29700
1100170	14	1	7	57	35	8	300110070	300140070	300150070	11220	1122	1122	6411	28050
1100170	15	1	7	57	35	8	300110070	300140070	300150070	10560	1056	1056	6034	26400
1100170	16	1	7	57	35	8	300110070	300140070	300150070	9900	990	990	5657	24750
1100170	17	1	7	57	35	8	300110070	300140070	300150070	9240	924	924	5280	23100
1100170	18	1	7	57	35	8	300110070	300140070	300150070	8580	858	858	4903	21450
1100170	19	1	7	57	35	8	300110070	300140070	300150070	7920	792	792	4526	19800
1100170	20	1	7	57	35	8	300110070	300140070	300150070	7260	726	726	4149	18150
1100180	1	1	8	57	35	8	300110080	300140080	300150080	29640	2964	2964	16937	74100
1100180	2	1	8	57	35	8	300110080	300140080	300150080	28650	2865	2865	16371	71625
1100180	3	1	8	57	35	8	300110080	300140080	300150080	27660	2766	2766	15806	69150
1100180	4	1	8	57	35	8	300110080	300140080	300150080	26670	2667	2667	15240	66675
1100180	5	1	8	57	35	8	300110080	300140080	300150080	25680	2568	2568	14674	64200
1100180	6	1	8	57	35	8	300110080	300140080	300150080	24690	2469	2469	14109	61725
1100180	7	1	8	57	35	8	300110080	300140080	300150080	23700	2370	2370	13543	59250
1100180	8	1	8	57	35	8	300110080	300140080	300150080	22710	2271	2271	12977	56775
1100180	9	1	8	57	35	8	300110080	300140080	300150080	21720	2172	2172	12411	54300
1100180	10	1	8	57	35	8	300110080	300140080	300150080	20730	2073	2073	11846	51825
1100180	11	1	8	57	35	8	300110080	300140080	300150080	19740	1974	1974	11280	49350
1100180	12	1	8	57	35	8	300110080	300140080	300150080	18750	1875	1875	10714	46875
1100180	13	1	8	57	35	8	300110080	300140080	300150080	17760	1776	1776	10149	44400
1100180	14	1	8	57	35	8	300110080	300140080	300150080	16770	1677	1677	9583	41925
1100180	15	1	8	57	35	8	300110080	300140080	300150080	15780	1578	1578	9017	39450
1100180	16	1	8	57	35	8	300110080	300140080	300150080	14790	1479	1479	8451	36975
1100180	17	1	8	57	35	8	300110080	300140080	300150080	13800	1380	1380	7886	34500
1100180	18	1	8	57	35	8	300110080	300140080	300150080	12810	1281	1281	7320	32025
1100180	19	1	8	57	35	8	300110080	300140080	300150080	11820	1182	1182	6754	29550
1100180	20	1	8	57	35	8	300110080	300140080	300150080	10830	1083	1083	6189	27075
1100190	1	1	9	57	35	8	300110090	300140090	300150090	47040	4704	4704	26880	117600
1100190	2	1	9	57	35	8	300110090	300140090	300150090	45470	4547	4547	25983	113675
1100190	3	1	9	57	35	8	300110090	300140090	300150090	43900	4390	4390	25086	109750
1100190	4	1	9	57	35	8	300110090	300140090	300150090	42330	4233	4233	24189	105825
1100190	5	1	9	57	35	8	300110090	300140090	300150090	40760	4076	4076	23291	101900
1100190	6	1	9	57	35	8	300110090	300140090	300150090	39190	3919	3919	22394	97975
1100190	7	1	9	57	35	8	300110090	300140090	300150090	37620	3762	3762	21497	94050
1100190	8	1	9	57	35	8	300110090	300140090	300150090	36050	3605	3605	20600	90125
1100190	9	1	9	57	35	8	300110090	300140090	300150090	34480	3448	3448	19703	86200
1100190	10	1	9	57	35	8	300110090	300140090	300150090	32910	3291	3291	18806	82275
1100190	11	1	9	57	35	8	300110090	300140090	300150090	31340	3134	3134	17909	78350
1100190	12	1	9	57	35	8	300110090	300140090	300150090	29770	2977	2977	17011	74425
1100190	13	1	9	57	35	8	300110090	300140090	300150090	28200	2820	2820	16114	70500
1100190	14	1	9	57	35	8	300110090	300140090	300150090	26630	2663	2663	15217	66575
1100190	15	1	9	57	35	8	300110090	300140090	300150090	25060	2506	2506	14320	62650
1100190	16	1	9	57	35	8	300110090	300140090	300150090	23490	2349	2349	13423	58725
1100190	17	1	9	57	35	8	300110090	300140090	300150090	21920	2192	2192	12526	54800
1100190	18	1	9	57	35	8	300110090	300140090	300150090	20350	2035	2035	11629	50875
1100190	19	1	9	57	35	8	300110090	300140090	300150090	18780	1878	1878	10731	46950
1100190	20	1	9	57	35	8	300110090	300140090	300150090	17210	1721	1721	9834	43025
11100120	1	1	2	50	40	10	300110120	300120120	300130120	2880	288	288	1440	5760
11100120	2	1	2	50	40	10	300110120	300120120	300130120	2780	278	278	1390	5560
11100120	3	1	2	50	40	10	300110120	300120120	300130120	2680	268	268	1340	5360
11100120	4	1	2	50	40	10	300110120	300120120	300130120	2580	258	258	1290	5160
11100120	5	1	2	50	40	10	300110120	300120120	300130120	2480	248	248	1240	4960
11100120	6	1	2	50	40	10	300110120	300120120	300130120	2380	238	238	1190	4760
11100120	7	1	2	50	40	10	300110120	300120120	300130120	2280	228	228	1140	4560
11100120	8	1	2	50	40	10	300110120	300120120	300130120	2180	218	218	1090	4360
11100120	9	1	2	50	40	10	300110120	300120120	300130120	2080	208	208	1040	4160
11100120	10	1	2	50	40	10	300110120	300120120	300130120	1980	198	198	990	3960
11100120	11	1	2	50	40	10	300110120	300120120	300130120	1880	188	188	940	3760
11100120	12	1	2	50	40	10	300110120	300120120	300130120	1780	178	178	890	3560
11100120	13	1	2	50	40	10	300110120	300120120	300130120	1680	168	168	840	3360
11100120	14	1	2	50	40	10	300110120	300120120	300130120	1580	158	158	790	3160
11100120	15	1	2	50	40	10	300110120	300120120	300130120	1480	148	148	740	2960
11100120	16	1	2	50	40	10	300110120	300120120	300130120	1380	138	138	690	2760
11100120	17	1	2	50	40	10	300110120	300120120	300130120	1280	128	128	640	2560
11100120	18	1	2	50	40	10	300110120	300120120	300130120	1180	118	118	590	2360
11100120	19	1	2	50	40	10	300110120	300120120	300130120	1080	108	108	540	2160
11100120	20	1	2	50	40	10	300110120	300120120	300130120	980	98	98	490	1960
11100130	1	1	3	57	35	8	300110130	300140130	300150130	4680	468	468	2674	11700
11100130	2	1	3	57	35	8	300110130	300140130	300150130	4520	452	452	2583	11300
11100130	3	1	3	57	35	8	300110130	300140130	300150130	4360	436	436	2491	10900
11100130	4	1	3	57	35	8	300110130	300140130	300150130	4200	420	420	2400	10500
11100130	5	1	3	57	35	8	300110130	300140130	300150130	4040	404	404	2309	10100
11100130	6	1	3	57	35	8	300110130	300140130	300150130	3880	388	388	2217	9700
11100130	7	1	3	57	35	8	300110130	300140130	300150130	3720	372	372	2126	9300
11100130	8	1	3	57	35	8	300110130	300140130	300150130	3560	356	356	2034	8900
11100130	9	1	3	57	35	8	300110130	300140130	300150130	3400	340	340	1943	8500
11100130	10	1	3	57	35	8	300110130	300140130	300150130	3240	324	324	1851	8100
11100130	11	1	3	57	35	8	300110130	300140130	300150130	3080	308	308	1760	7700
11100130	12	1	3	57	35	8	300110130	300140130	300150130	2920	292	292	1669	7300
11100130	13	1	3	57	35	8	300110130	300140130	300150130	2760	276	276	1577	6900
11100130	14	1	3	57	35	8	300110130	300140130	300150130	2600	260	260	1486	6500
11100130	15	1	3	57	35	8	300110130	300140130	300150130	2440	244	244	1394	6100
11100130	16	1	3	57	35	8	300110130	300140130	300150130	2280	228	228	1303	5700
11100130	17	1	3	57	35	8	300110130	300140130	300150130	2120	212	212	1211	5300
11100130	18	1	3	57	35	8	300110130	300140130	300150130	1960	196	196	1120	4900
11100130	19	1	3	57	35	8	300110130	300140130	300150130	1800	180	180	1029	4500
11100130	20	1	3	57	35	8	300110130	300140130	300150130	1640	164	164	937	4100
11100140	1	1	4	57	35	8	300110140	300140140	300150140	6120	612	612	3497	15300
11100140	2	1	4	57	35	8	300110140	300140140	300150140	5920	592	592	3383	14800
11100140	3	1	4	57	35	8	300110140	300140140	300150140	5720	572	572	3269	14300
11100140	4	1	4	57	35	8	300110140	300140140	300150140	5520	552	552	3154	13800
11100140	5	1	4	57	35	8	300110140	300140140	300150140	5320	532	532	3040	13300
11100140	6	1	4	57	35	8	300110140	300140140	300150140	5120	512	512	2926	12800
11100140	7	1	4	57	35	8	300110140	300140140	300150140	4920	492	492	2811	12300
11100140	8	1	4	57	35	8	300110140	300140140	300150140	4720	472	472	2697	11800
11100140	9	1	4	57	35	8	300110140	300140140	300150140	4520	452	452	2583	11300
11100140	10	1	4	57	35	8	300110140	300140140	300150140	4320	432	432	2469	10800
11100140	11	1	4	57	35	8	300110140	300140140	300150140	4120	412	412	2354	10300
11100140	12	1	4	57	35	8	300110140	300140140	300150140	3920	392	392	2240	9800
11100140	13	1	4	57	35	8	300110140	300140140	300150140	3720	372	372	2126	9300
11100140	14	1	4	57	35	8	300110140	300140140	300150140	3520	352	352	2011	8800
11100140	15	1	4	57	35	8	300110140	300140140	300150140	3320	332	332	1897	8300
11100140	16	1	4	57	35	8	300110140	300140140	300150140	3120	312	312	1783	7800
11100140	17	1	4	57	35	8	300110140	300140140	300150140	2920	292	292	1669	7300
11100140	18	1	4	57	35	8	300110140	300140140	300150140	2720	272	272	1554	6800
11100140	19	1	4	57	35	8	300110140	300140140	300150140	2520	252	252	1440	6300
11100140	20	1	4	57	35	8	300110140	300140140	300150140	2320	232	232	1326	5800
11100150	1	1	5	57	35	8	300110150	300140150	300150150	9120	912	912	5211	22800
11100150	2	1	5	57	35	8	300110150	300140150	300150150	8820	882	882	5040	22050
11100150	3	1	5	57	35	8	300110150	300140150	300150150	8520	852	852	4869	21300
11100150	4	1	5	57	35	8	300110150	300140150	300150150	8220	822	822	4697	20550
11100150	5	1	5	57	35	8	300110150	300140150	300150150	7920	792	792	4526	19800
11100150	6	1	5	57	35	8	300110150	300140150	300150150	7620	762	762	4354	19050
11100150	7	1	5	57	35	8	300110150	300140150	300150150	7320	732	732	4183	18300
11100150	8	1	5	57	35	8	300110150	300140150	300150150	7020	702	702	4011	17550
11100150	9	1	5	57	35	8	300110150	300140150	300150150	6720	672	672	3840	16800
11100150	10	1	5	57	35	8	300110150	300140150	300150150	6420	642	642	3669	16050
11100150	11	1	5	57	35	8	300110150	300140150	300150150	6120	612	612	3497	15300
11100150	12	1	5	57	35	8	300110150	300140150	300150150	5820	582	582	3326	14550
11100150	13	1	5	57	35	8	300110150	300140150	300150150	5520	552	552	3154	13800
11100150	14	1	5	57	35	8	300110150	300140150	300150150	5220	522	522	2983	13050
11100150	15	1	5	57	35	8	300110150	300140150	300150150	4920	492	492	2811	12300
11100150	16	1	5	57	35	8	300110150	300140150	300150150	4620	462	462	2640	11550
11100150	17	1	5	57	35	8	300110150	300140150	300150150	4320	432	432	2469	10800
11100150	18	1	5	57	35	8	300110150	300140150	300150150	4020	402	402	2297	10050
11100150	19	1	5	57	35	8	300110150	300140150	300150150	3720	372	372	2126	9300
11100150	20	1	5	57	35	8	300110150	300140150	300150150	3420	342	342	1954	8550
11100160	1	1	6	57	35	8	300110160	300140160	300150160	13800	1380	1380	7886	34500
11100160	2	1	6	57	35	8	300110160	300140160	300150160	13340	1334	1334	7623	33350
11100160	3	1	6	57	35	8	300110160	300140160	300150160	12880	1288	1288	7360	32200
11100160	4	1	6	57	35	8	300110160	300140160	300150160	12420	1242	1242	7097	31050
11100160	5	1	6	57	35	8	300110160	300140160	300150160	11960	1196	1196	6834	29900
11100160	6	1	6	57	35	8	300110160	300140160	300150160	11500	1150	1150	6571	28750
11100160	7	1	6	57	35	8	300110160	300140160	300150160	11040	1104	1104	6309	27600
11100160	8	1	6	57	35	8	300110160	300140160	300150160	10580	1058	1058	6046	26450
11100160	9	1	6	57	35	8	300110160	300140160	300150160	10120	1012	1012	5783	25300
11100160	10	1	6	57	35	8	300110160	300140160	300150160	9660	966	966	5520	24150
11100160	11	1	6	57	35	8	300110160	300140160	300150160	9200	920	920	5257	23000
11100160	12	1	6	57	35	8	300110160	300140160	300150160	8740	874	874	4994	21850
11100160	13	1	6	57	35	8	300110160	300140160	300150160	8280	828	828	4731	20700
11100160	14	1	6	57	35	8	300110160	300140160	300150160	7820	782	782	4469	19550
11100160	15	1	6	57	35	8	300110160	300140160	300150160	7360	736	736	4206	18400
11100160	16	1	6	57	35	8	300110160	300140160	300150160	6900	690	690	3943	17250
11100160	17	1	6	57	35	8	300110160	300140160	300150160	6440	644	644	3680	16100
11100160	18	1	6	57	35	8	300110160	300140160	300150160	5980	598	598	3417	14950
11100160	19	1	6	57	35	8	300110160	300140160	300150160	5520	552	552	3154	13800
11100160	20	1	6	57	35	8	300110160	300140160	300150160	5060	506	506	2891	12650
11100170	1	1	7	57	35	8	300110170	300140170	300150170	19800	1980	1980	11314	49500
11100170	2	1	7	57	35	8	300110170	300140170	300150170	19140	1914	1914	10937	47850
11100170	3	1	7	57	35	8	300110170	300140170	300150170	18480	1848	1848	10560	46200
11100170	4	1	7	57	35	8	300110170	300140170	300150170	17820	1782	1782	10183	44550
11100170	5	1	7	57	35	8	300110170	300140170	300150170	17160	1716	1716	9806	42900
11100170	6	1	7	57	35	8	300110170	300140170	300150170	16500	1650	1650	9429	41250
11100170	7	1	7	57	35	8	300110170	300140170	300150170	15840	1584	1584	9051	39600
11100170	8	1	7	57	35	8	300110170	300140170	300150170	15180	1518	1518	8674	37950
11100170	9	1	7	57	35	8	300110170	300140170	300150170	14520	1452	1452	8297	36300
11100170	10	1	7	57	35	8	300110170	300140170	300150170	13860	1386	1386	7920	34650
11100170	11	1	7	57	35	8	300110170	300140170	300150170	13200	1320	1320	7543	33000
11100170	12	1	7	57	35	8	300110170	300140170	300150170	12540	1254	1254	7166	31350
11100170	13	1	7	57	35	8	300110170	300140170	300150170	11880	1188	1188	6789	29700
11100170	14	1	7	57	35	8	300110170	300140170	300150170	11220	1122	1122	6411	28050
11100170	15	1	7	57	35	8	300110170	300140170	300150170	10560	1056	1056	6034	26400
11100170	16	1	7	57	35	8	300110170	300140170	300150170	9900	990	990	5657	24750
11100170	17	1	7	57	35	8	300110170	300140170	300150170	9240	924	924	5280	23100
11100170	18	1	7	57	35	8	300110170	300140170	300150170	8580	858	858	4903	21450
11100170	19	1	7	57	35	8	300110170	300140170	300150170	7920	792	792	4526	19800
11100170	20	1	7	57	35	8	300110170	300140170	300150170	7260	726	726	4149	18150
11100180	1	1	8	57	35	8	300110180	300140180	300150180	29640	2964	2964	16937	74100
11100180	2	1	8	57	35	8	300110180	300140180	300150180	28650	2865	2865	16371	71625
11100180	3	1	8	57	35	8	300110180	300140180	300150180	27660	2766	2766	15806	69150
11100180	4	1	8	57	35	8	300110180	300140180	300150180	26670	2667	2667	15240	66675
11100180	5	1	8	57	35	8	300110180	300140180	300150180	25680	2568	2568	14674	64200
11100180	6	1	8	57	35	8	300110180	300140180	300150180	24690	2469	2469	14109	61725
11100180	7	1	8	57	35	8	300110180	300140180	300150180	23700	2370	2370	13543	59250
11100180	8	1	8	57	35	8	300110180	300140180	300150180	22710	2271	2271	12977	56775
11100180	9	1	8	57	35	8	300110180	300140180	300150180	21720	2172	2172	12411	54300
11100180	10	1	8	57	35	8	300110180	300140180	300150180	20730	2073	2073	11846	51825
11100180	11	1	8	57	35	8	300110180	300140180	300150180	19740	1974	1974	11280	49350
11100180	12	1	8	57	35	8	300110180	300140180	300150180	18750	1875	1875	10714	46875
11100180	13	1	8	57	35	8	300110180	300140180	300150180	17760	1776	1776	10149	44400
11100180	14	1	8	57	35	8	300110180	300140180	300150180	16770	1677	1677	9583	41925
11100180	15	1	8	57	35	8	300110180	300140180	300150180	15780	1578	1578	9017	39450
11100180	16	1	8	57	35	8	300110180	300140180	300150180	14790	1479	1479	8451	36975
11100180	17	1	8	57	35	8	300110180	300140180	300150180	13800	1380	1380	7886	34500
11100180	18	1	8	57	35	8	300110180	300140180	300150180	12810	1281	1281	7320	32025
11100180	19	1	8	57	35	8	300110180	300140180	300150180	11820	1182	1182	6754	29550
11100180	20	1	8	57	35	8	300110180	300140180	300150180	10830	1083	1083	6189	27075
11100190	1	1	9	57	35	8	300110190	300140190	300150190	47040	4704	4704	26880	117600
11100190	2	1	9	57	35	8	300110190	300140190	300150190	45470	4547	4547	25983	113675
11100190	3	1	9	57	35	8	300110190	300140190	300150190	43900	4390	4390	25086	109750
11100190	4	1	9	57	35	8	300110190	300140190	300150190	42330	4233	4233	24189	105825
11100190	5	1	9	57	35	8	300110190	300140190	300150190	40760	4076	4076	23291	101900
11100190	6	1	9	57	35	8	300110190	300140190	300150190	39190	3919	3919	22394	97975
11100190	7	1	9	57	35	8	300110190	300140190	300150190	37620	3762	3762	21497	94050
11100190	8	1	9	57	35	8	300110190	300140190	300150190	36050	3605	3605	20600	90125
11100190	9	1	9	57	35	8	300110190	300140190	300150190	34480	3448	3448	19703	86200
11100190	10	1	9	57	35	8	300110190	300140190	300150190	32910	3291	3291	18806	82275
11100190	11	1	9	57	35	8	300110190	300140190	300150190	31340	3134	3134	17909	78350
11100190	12	1	9	57	35	8	300110190	300140190	300150190	29770	2977	2977	17011	74425
11100190	13	1	9	57	35	8	300110190	300140190	300150190	28200	2820	2820	16114	70500
11100190	14	1	9	57	35	8	300110190	300140190	300150190	26630	2663	2663	15217	66575
11100190	15	1	9	57	35	8	300110190	300140190	300150190	25060	2506	2506	14320	62650
11100190	16	1	9	57	35	8	300110190	300140190	300150190	23490	2349	2349	13423	58725
11100190	17	1	9	57	35	8	300110190	300140190	300150190	21920	2192	2192	12526	54800
11100190	18	1	9	57	35	8	300110190	300140190	300150190	20350	2035	2035	11629	50875
11100190	19	1	9	57	35	8	300110190	300140190	300150190	18780	1878	1878	10731	46950
11100190	20	1	9	57	35	8	300110190	300140190	300150190	17210	1721	1721	9834	43025
21100120	1	1	2	50	40	10	300110220	300120220	300130220	2880	288	288	1440	5760
21100120	2	1	2	50	40	10	300110220	300120220	300130220	2780	278	278	1390	5560
21100120	3	1	2	50	40	10	300110220	300120220	300130220	2680	268	268	1340	5360
21100120	4	1	2	50	40	10	300110220	300120220	300130220	2580	258	258	1290	5160
21100120	5	1	2	50	40	10	300110220	300120220	300130220	2480	248	248	1240	4960
