#道藏ID	valid	#所属分类	#道藏所在分类下的索引	#道藏名称	#道藏描述	#等级上限	#道藏图标前景	#道藏图标后景	#满级属性-剑	#属性数值-剑	#满级属性-灵	#属性数值-灵	#满级属性-刀	#属性数值-刀	#满级属性-弓	#属性数值-弓	增加战力值
[C][S]id	0	[C][S]type	[C][S]sub_id	[C][S]name	[C][S]desc	[C][S]max_level	[C][S]front_image	[C][S]back_image	[C][S]max_act_attr11	[C][S]max_attr_value11	[C][S]max_act_attr21	[C][S]max_attr_value21	[C][S]max_act_attr31	[C][S]max_attr_value31	[C][S]max_act_attr41	[C][S]max_attr_value41	[S]add_fighting_
900001011	1	1	11	先进	《论语·先进》\n子曰：先进于礼乐，野人也\n后进于礼乐，君子也。如用之，则吾从先进。	1	item40_008	0	0	0	0	0	0	0	0	0	0
900001012	1	1	12	颜渊	《论语·颜渊》\n子曰：克己复礼为仁。一日克己复礼，天下归仁焉。为仁由己，而由人乎哉？\n颜渊曰：请问其目。\n子曰：非礼勿视，非礼勿听，非礼勿言，非礼勿动。\n颜渊曰：回虽不敏，请事（4）斯语矣。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900001013	1	1	13	子路	《论语·子路》\n仲弓为季氏宰，问政。子曰：先有司，赦小过，举贤才。曰：焉知贤才而举之？曰：举尔所知。尔所不知，人其舍诸？	1	item40_004	0	0	0	0	0	0	0	0	0	0
900001014	1	1	14	宪问	《论语·宪问》\n宪问耻。子曰：邦有道，谷；邦无道，谷，耻也。\n克、伐、怨、欲不行焉，可以为仁矣？\n子曰：可以为难矣，仁则吾不知也。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900001015	1	1	15	卫灵公	《论语·卫灵公》\n卫灵公问陈于孔子。孔子对曰：俎豆之事，则尝闻之矣；军旅之事，未之学也。明日遂行	1	item40_003	0	0	0	0	0	0	0	0	0	0
900001016	1	1	16	季氏	《论语·季氏》\n孔子曰：天下有道，则礼乐征伐自天子出；天下无道，则礼乐征伐自诸侯出。自诸侯出，盖十世希不失矣；自大夫出，五世希不失矣；陪臣执国命，三世希不失矣。天下有道，则政不在大夫。天下有道，则庶人不议。	1	item40_009	0	0	0	0	0	0	0	0	0	0
900001017	1	1	17	阳货	《论语·阳货》\n阳货欲见孔子，孔子不见，归孔子豚。孔子时其亡也，而往拜之，遇诸涂。谓孔子曰：来！予与尔言。\n曰：怀其宝而迷其邦(5)，可谓仁乎？曰：不可。\n好从事而亟失时，可谓知乎？曰：不可。\n日月逝矣，岁不我与(7)。孔子曰：“诺，吾将仕矣。”	1	item40_011	0	0	0	0	0	0	0	0	0	0
900001018	1	1	18	微子	《论语·微子》\n柳下惠为士师，三黜。\n人曰：子未可以去乎？\n曰：直道而事人，焉往而不三黜？枉道而事人，何必去父母之邦？	1	item40_003	0	0	0	0	0	0	0	0	0	0
900001019	1	1	19	子张	《论语·子张》\n子张曰：士见危致命，见得思义，祭思敬，丧思哀，其可已矣。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900001020	1	1	20	尧曰	《论语·尧曰》\n孔子曰：不知命，无以为君子也；不知礼，无以立也；不知言，无以知人也。	1	item40_005	0	0	0	0	0	0	0	0	0	0
900002001	1	2	1	周南	《诗经·国风·周南·桃夭》\n桃之夭夭，灼灼其华。之子于归，宜其室家。\n桃之夭夭，有蕡其实。之子于归，宜其家室。\n桃之夭夭，其叶蓁蓁。之子于归，宜其家人。	1	item40_002	0	0	0	0	0	0	0	0	0	0
900002002	1	2	2	召南	《诗经·国风·召南·鹊巢》\n维鹊有巢，维鸠居之。之子于归，百两御之。\n维鹊有巢，维鸠方之。之子于归，百两将之。\n维鹊有巢，维鸠盈之。之子于归，百两成之	1	item40_008	0	0	0	0	0	0	0	0	0	0
900002003	1	2	3	邶风	《诗经·国风·邶风·北风》\n北风其凉，雨雪其雱。惠而好我，携手同行。其虚其邪？既亟只且！\n北风其喈，雨雪其霏。惠而好我，携手同归。其虚其邪？既亟只且！\n莫赤匪狐，莫黑匪乌。惠而好我，携手同车。其虚其邪？既亟只且！	1	item40_005	0	0	0	0	0	0	0	0	0	0
900002004	1	2	4	鄘风	《诗经·国风·鄘风·相鼠》\n相鼠有皮，人而无仪！人而无仪，不死何为？\n相鼠有齿，人而无止！人而无止，不死何俟？\n相鼠有体，人而无礼，人而无礼！胡不遄死？	1	item40_013	0	0	0	0	0	0	0	0	0	0
900002005	1	2	5	卫风	《诗经·国风·卫风·木瓜》\n投我以木瓜，报之以琼琚。匪报也，永以为好也！\n投我以木桃，报之以琼瑶。匪报也，永以为好也！\n投我以木李，报之以琼玖。匪报也，永以为好也！	1	item40_009	0	0	0	0	0	0	0	0	0	0
900002006	1	2	6	王风	《诗经·国风·王风·采葛》\n彼采葛兮，一日不见，如三月兮！\n彼采萧兮，一日不见，如三秋兮！\n彼采艾兮！一日不见，如三岁兮！	1	item40_009	0	0	0	0	0	0	0	0	0	0
900002007	1	2	7	郑风	《诗经·国风·郑风·子衿》\n青青子衿，悠悠我心。纵我不往，子宁不嗣音?\n青青子佩，悠悠我思。纵我不往，子宁不来?\n挑兮达兮，在城阙兮。一日不见，如三月兮。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900002008	1	2	8	齐风	《诗经·国风·齐风·东方未明》\n东方未明，颠倒衣裳。颠之倒之，自公召之。\n东方未晞，颠倒裳衣。颠之倒之，自公令之。\n折柳樊圃，狂夫瞿瞿。不能辰夜，不夙则莫。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900002009	1	2	9	魏风	《诗经·国风·魏风·汾沮洳》\n彼汾沮洳，言采其莫。彼其之子，美无度。美无度，殊异乎公路。\n彼汾一方，言采其桑。彼其之子，美如英。美如英，殊异乎公行。\n彼汾一曲，言采其藚。彼其之子，美如玉。美如玉，殊异乎公族。	1	item40_016	0	0	0	0	0	0	0	0	0	0
900002010	1	2	10	唐风	《诗经·国风·唐风·绸缪》\n绸缪束薪，三星在天。今夕何夕，见此良人。子兮子兮，如此良人何！\n绸缪束刍，三星在隅。今夕何夕，见此邂逅。子兮子兮，如此邂逅何！\n绸缪束楚，三星在户。今夕何夕，见此粲者。子兮子兮，如此粲者何！	1	item40_002	0	0	0	0	0	0	0	0	0	0
900002011	1	2	11	秦风	《诗经·国风·秦风·权舆》\n於我乎，夏屋渠渠，今也每食无余。于嗟乎，不承权舆！\n於我乎，每食四簋，今也每食不饱。于嗟乎，不承权舆！[	1	item40_002	0	0	0	0	0	0	0	0	0	0
900002012	1	2	12	陈风	《诗经·国风·陈风·宛丘》\n子之汤兮，宛丘之上兮。洵有情兮，而无望兮。\n坎其击鼓，宛丘之下。无冬无夏，值其鹭羽。\n坎其击缶，宛丘之道。无冬无夏，值其鹭翿。	1	item40_008	0	0	0	0	0	0	0	0	0	0
900002013	1	2	13	桧风	《诗经·国风·桧风·素冠》\n庶见素冠兮，棘人栾栾兮。劳心慱々兮。\n庶见素衣兮，我心伤悲兮。聊与子同归兮。\n庶见素韠兮，我心蕴结兮。聊与子如一兮。	1	item40_005	0	0	0	0	0	0	0	0	0	0
900002014	1	2	14	曹风	《诗经·国风·曹风·蜉蝣》\n蜉蝣之羽，衣裳楚楚。心之忧矣。於我归处。\n蜉蝣之翼，采采衣服。心之忧矣。於我归息。\n蜉蝣掘阅，麻衣如雪。心之忧矣，於我归说。	1	item40_013	0	0	0	0	0	0	0	0	0	0
900002015	1	2	15	豳风	《诗经·国风·豳风·狼跋》\n狼跋其胡，载疐其尾。公孙硕肤，赤舄几几。\n狼疐其尾，载跋其胡。公孙硕肤，德音不瑕？	1	item40_009	0	0	0	0	0	0	0	0	0	0
900002016	1	2	16	鹿鸣	《诗经·小雅·鹿鸣》\n呦呦鹿鸣，食野之苹。我有嘉宾，鼓瑟吹笙。吹笙鼓簧，承筐是将。人之好我，示我周行。	1	item40_009	0	0	0	0	0	0	0	0	0	0
900002017	1	2	17	南有嘉鱼	《诗经·小雅·南有嘉鱼》\n南有嘉鱼，烝然罩罩。君子有酒，嘉宾式燕以乐\n南有嘉鱼，烝然汕汕。君子有酒，嘉宾式燕以衎	1	item40_006	0	0	0	0	0	0	0	0	0	0
900002018	1	2	18	鸿雁	《诗经·小雅·鸿雁》\n鸿雁于飞，肃肃其羽。之子于征，劬劳于野。爰及矜人，哀此鳏寡\n鸿雁于飞，集于中泽。之子于垣，百堵皆作。虽则劬劳，其究安宅？	1	item40_012	0	0	0	0	0	0	0	0	0	0
900002019	1	2	19	节南山	《诗经·小雅·节南山》\n节彼南山，维石岩岩。赫赫师尹，民具尔瞻。忧心如惔，不敢戏谈。国既卒斩，何用不监！	1	item40_016	0	0	0	0	0	0	0	0	0	0
900002020	1	2	20	谷风	《诗经·小雅·谷风》\n习习谷风，维风及雨。将恐将惧，维予与女。将安将乐，女转弃予	1	item40_002	0	0	0	0	0	0	0	0	0	0
900003001	1	3	1	尧典	《尚书·虞书·尧典》\n昔在帝尧，聪明文思，光宅天下。将逊于位，让于虞舜，作《尧典》。	1	item40_010	0	0	0	0	0	0	0	0	0	0
900003002	1	3	2	舜典	《尚书·虞书·舜典》\n虞舜侧微，尧闻之聪明，将使嗣位，历试诸难，作《舜典》。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900003003	1	3	3	大禹谟	《尚书·虞书·大禹谟》\n皋陶矢厥谟，禹成厥功，帝舜申之。作《大禹》《皋陶谟》《益稷》。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900003004	1	3	4	皋陶谟	《尚书·虞书·皋陶谟》\n皋陶矢厥谟，禹成厥功，帝舜申之。作《大禹》《皋陶谟》《益稷》。	1	item40_009	0	0	0	0	0	0	0	0	0	0
900003005	1	3	5	益稷	《尚书·虞书·益稷》\n皋陶矢厥谟，禹成厥功，帝舜申之。作《大禹》《皋陶谟》《益稷》。	1	item40_004	0	0	0	0	0	0	0	0	0	0
900003006	1	3	6	禹贡	《尚书·夏书·禹贡》\n禹别九州，随山浚川，任土作贡。禹敷土，随山刊木，奠高山大川。	1	item40_014	0	0	0	0	0	0	0	0	0	0
900003007	1	3	7	甘誓	《尚书·夏书·甘誓》\n启与有扈战于甘之野，作《甘誓》。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900003008	1	3	8	五子之歌	《尚书·夏书·五子之歌》\n太康失邦，昆弟五人须于洛汭，作《五子之歌》。	1	item40_003	0	0	0	0	0	0	0	0	0	0
900003009	1	3	9	胤征	《尚书·夏书·胤征》\n羲和湎淫，废时乱日，胤往征之，作《胤征》。	1	item40_016	0	0	0	0	0	0	0	0	0	0
900003010	1	3	10	汤誓	《尚书·商书·汤誓》\n伊尹相汤伐桀，升自陑，遂与桀战于鸣条之野，作《汤誓》。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900003011	1	3	11	仲虺之诰	《尚书·商书·仲虺之诰》\n汤归自夏至于大垌，仲虺作诰。	1	item40_010	0	0	0	0	0	0	0	0	0	0
900003012	1	3	12	汤诰	《尚书·商书·汤诰》\n汤既黜夏命，复归于亳⑴，作《汤诰》。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900003013	1	3	13	伊训	《尚书·商书·伊训》\n成汤既没，太甲元年，伊尹作《伊训》、《肆命》、《徂后》。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900003014	1	3	14	太甲上	《尚书·商书·太甲上》\n太甲既立。不明。伊尹放诸桐。三年。复归于亳。思庸。伊尹作太甲三篇	1	item40_009	0	0	0	0	0	0	0	0	0	0
900003015	1	3	15	太甲中	《尚书·商书·太甲中》\n太甲既立。不明。伊尹放诸桐。三年。复归于亳。思庸。伊尹作太甲三篇	1	item40_004	0	0	0	0	0	0	0	0	0	0
900003016	1	3	16	太甲下	《尚书·商书·太甲下》\n太甲既立。不明。伊尹放诸桐。三年。复归于亳。思庸。伊尹作太甲三篇	1	item40_014	0	0	0	0	0	0	0	0	0	0
900003017	1	3	17	咸有一德	《尚书·商书·咸有一德》\n伊尹既复政厥辟，将告归，乃陈戒于德	1	item40_012	0	0	0	0	0	0	0	0	0	0
900003018	1	3	18	盘庚上	《尚书·商书·盘庚上》\n盘庚五迁，将治亳殷，民咨胥怨。作《盘庚》三篇。	1	item40_003	0	0	0	0	0	0	0	0	0	0
900003019	1	3	19	盘庚中	《尚书·商书·盘庚中》\n盘庚五迁，将治亳殷，民咨胥怨。作《盘庚》三篇。	1	item40_016	0	0	0	0	0	0	0	0	0	0
900003020	1	3	20	盘庚下	《尚书·商书·盘庚下》\n盘庚五迁，将治亳殷，民咨胥怨。作《盘庚》三篇。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900004001	1	4	1	曲礼	《礼记·曲礼》\n“毋不敬，俨若思，安定辞。”安民哉！\n敖不可长，欲不可从，志不可满，乐不可极。	1	item40_005	0	0	0	0	0	0	0	0	0	0
900004002	1	4	2	檀弓	《礼记·檀弓》\n未仕者，不敢税人；如税人，则以父兄之命。\n士备入而后朝夕踊。\n祥而缟，是月禫，徙月乐。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900004003	1	4	3	王制	《礼记·王制》\n六礼：冠、昏、丧、祭、乡、相见。\n七教：父子、兄弟、夫妇、君臣、长幼、朋友、宾客。\n八政：饮食、衣服、事为、异别、度、量、数、制。	1	item40_014	0	0	0	0	0	0	0	0	0	0
900004004	1	4	4	月令	《礼记·月令》\n季冬行秋令，则白露早降，介虫为妖，四鄙入保。\n行春令，则胎夭多伤，国多固疾，命之曰逆。\n行夏令，则水潦败国，时雪不降，冰冻消释。	1	item40_016	0	0	0	0	0	0	0	0	0	0
900004005	1	4	5	曾子问	《礼记·曾子问》\n贱不诔贵，幼不诔长，礼也。\n唯天子，称天以诔之。\n诸侯相诔，非礼也。	1	item40_015	0	0	0	0	0	0	0	0	0	0
900004006	1	4	6	文王世子	《礼记·文王世子》\n凡学世子及学士，必时。春夏学干戈，秋冬学羽龠，皆于东序。\n凡侍坐于大司成者，远近间三席，可以问。终则负墙，列事未尽，不问\n凡三王教世子必以礼乐。乐，所以修内也；礼，所以修外也。	1	item40_002	0	0	0	0	0	0	0	0	0	0
900004007	1	4	7	礼运	《礼记·礼运》\n何谓四灵？麟凤龟龙，谓之四灵。\n龙以为畜，故鱼鲔不淰；凤以为畜，故鸟不獝；\n麟以为畜，故兽不狘；龟以为畜，故人情不失。	1	item40_008	0	0	0	0	0	0	0	0	0	0
900004008	1	4	8	礼器	《礼记·礼器》\n礼器是故大备。大备，盛德也。\n礼释回，增美质；措则正，施则行。\n其在人也，如竹箭之有筠也；如松柏之有心也。	1	item40_005	0	0	0	0	0	0	0	0	0	0
900004009	1	4	9	郊特牲	《礼记·郊特牲》\n郊特牲，而社稷大牢。\n天子适诸侯，诸侯膳用犊；诸侯适天子，天子赐之礼大牢；贵诚之义也\n故天子牲孕弗食也，祭帝弗用也。	1	item40_015	0	0	0	0	0	0	0	0	0	0
900004010	1	4	10	内则	《礼记·内则》\n后王命冢宰，降德于众兆民。\n子事父母，鸡初鸣，咸盥漱，栉縰笄总，拂髦冠緌缨，端韠绅，搢笏。\n妇事舅姑，如事父母。	1	item40_004	0	0	0	0	0	0	0	0	0	0
900004011	1	4	11	玉藻	《礼记·玉藻》\n天子玉藻，十有二旒，前后邃延，龙卷以祭	1	item40_005	0	0	0	0	0	0	0	0	0	0
900004012	1	4	12	明堂位	《礼记·明堂位》\n昔者周公朝诸侯于明堂之位，天子负斧依南乡而立。三公，中阶之前北面东上，诸侯之位	1	item40_006	0	0	0	0	0	0	0	0	0	0
900004013	1	4	13	丧服小记	《礼记·丧服小记》\n斩衰，括发以麻；为母，括发以麻，免而以布。\n齐衰，恶笄以终丧。男子冠而妇人笄，男子免而妇人髽。	1	item40_014	0	0	0	0	0	0	0	0	0	0
900004014	1	4	14	大传	《礼记·大传》\n礼：不王不禘。王者禘其祖之所自出，以其祖配之。诸侯及其大祖，大夫士有大事，省于其君，干祫，及其高祖	1	item40_016	0	0	0	0	0	0	0	0	0	0
900004015	1	4	15	少仪	《礼记·少仪》\n闻始见君子者，辞曰：“某固愿闻名于将命者，不得阶主。”\n适者曰：“某固愿见。”罕见曰闻名，亟见曰朝夕，瞽曰闻名	1	item40_015	0	0	0	0	0	0	0	0	0	0
900004016	1	4	16	学记	《礼记·学记》\n发虑宪，求善良，足以謏闻，不足以动众。\n就贤体远，足以动众，未足以化民。君子如欲化民成俗，其必由学乎	1	item40_002	0	0	0	0	0	0	0	0	0	0
900004017	1	4	17	乐记	《礼记·乐记》\n凡音之起，由人心生也。人心之动，物使之然也。感于物而动，故形于声。声相应，故生变；变成方，谓之音；比音而乐之，及干戚羽旄，谓之乐	1	item40_008	0	0	0	0	0	0	0	0	0	0
900004018	1	4	18	杂记	《礼记·杂记》\n诸侯行而死于馆，则其复如于其国。如于道，则升其乘车之左毂，以其绥复	1	item40_005	0	0	0	0	0	0	0	0	0	0
900004019	1	4	19	丧大记	《礼记·丧大记》\n疾病，外内皆扫。君大夫彻县，士去琴瑟。寝东首于北牖下。废床。彻亵衣，加新衣，体一人	1	item40_015	0	0	0	0	0	0	0	0	0	0
900004020	1	4	20	祭法	《礼记·祭法》\n有虞氏禘黄帝而郊喾，祖颛顼而宗尧；夏后氏亦禘黄帝而郊鲧，祖颛顼而宗禹；殷人禘喾而郊冥，祖契而宗汤；周人禘喾而郊稷，祖文王而宗武王	1	item40_004	0	0	0	0	0	0	0	0	0	0
900005001	1	5	1	文言传一	《周易·文言传》\n“元”者，善之长也；“亨”者，嘉之会也；\n“利”者，义之和也；“贞”者，事之干也。	1	item40_002	0	0	0	0	0	0	0	0	0	0
900005002	1	5	2	文言传二	《周易·文言传》\n“元”者，善之长也；“亨”者，嘉之会也；\n“利”者，义之和也；“贞”者，事之干也。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900005003	1	5	3	彖传上篇一	《周易·彖传上篇》\n大哉乾元、万物资始，乃统天。云行雨施，品物流形。\n至哉坤元，万物资生，乃顺承天。坤厚载物，德合无疆。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900005004	1	5	4	彖传上篇二	《周易·彖传上篇》\n大哉乾元、万物资始，乃统天。云行雨施，品物流形。\n至哉坤元，万物资生，乃顺承天。坤厚载物，德合无疆。	1	item40_001	0	0	0	0	0	0	0	0	0	0
900005005	1	5	5	彖传下篇一	《周易·彖传下篇》\n咸，感也。柔上而刚下，二气感应以相与。\n恒，久也。刚上而柔下，雷风相与，巽而动，刚柔皆应，恒。	1	item40_004	0	0	0	0	0	0	0	0	0	0
900005006	1	5	6	彖传下篇二	《周易·彖传下篇》\n咸，感也。柔上而刚下，二气感应以相与。\n恒，久也。刚上而柔下，雷风相与，巽而动，刚柔皆应，恒。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900005007	1	5	7	象传上篇一	《周易·象传上篇》\n天行，健；君子以自强不息。\n地势，坤；君子以厚德载物。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900005008	1	5	8	象传上篇二	《周易·象传上篇》\n天行，健；君子以自强不息。\n地势，坤；君子以厚德载物。	1	item40_014	0	0	0	0	0	0	0	0	0	0
900005009	1	5	9	象传下篇一	《周易·象传下篇》\n山上有泽，咸；君子以虚受人。\n雷风，恒；君子以立不易方。	1	item40_010	0	0	0	0	0	0	0	0	0	0
900005010	1	5	10	象传下篇二	《周易·象传下篇》\n山上有泽，咸；君子以虚受人。\n雷风，恒；君子以立不易方。	1	item40_013	0	0	0	0	0	0	0	0	0	0
900005011	1	5	11	系辞传上篇一	《周易·系辞传上篇》\n天尊地卑，乾坤定矣。卑高以陈，贵贱位矣。动静有常，刚柔断矣。\n方以类聚，物以群分，吉凶生矣。\n在天成象，在地成形，变化见矣。	1	item40_002	0	0	0	0	0	0	0	0	0	0
900005012	1	5	12	系辞传上篇二	《周易·系辞传上篇》\n天尊地卑，乾坤定矣。卑高以陈，贵贱位矣。动静有常，刚柔断矣。\n方以类聚，物以群分，吉凶生矣。\n在天成象，在地成形，变化见矣。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900005013	1	5	13	系辞传下篇一	《周易·系辞传下篇》\n八卦成列，像在其中矣；\n因而重之，爻在其中矣；刚柔相推，变在其中焉；\n系辞焉而命之，动在其中矣。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900005014	1	5	14	系辞传下篇二	《周易·系辞传下篇》\n八卦成列，像在其中矣；\n因而重之，爻在其中矣；刚柔相推，变在其中焉；\n系辞焉而命之，动在其中矣。	1	item40_001	0	0	0	0	0	0	0	0	0	0
900005015	1	5	15	说卦传一	《周易·说卦传》\n参天两地而倚数。\n观变於阴阳，而立卦；发挥於刚柔，而生爻；\n和顺於道德，而理於义；穷理尽性，以至於命。	1	item40_004	0	0	0	0	0	0	0	0	0	0
900005016	1	5	16	说卦传二	《周易·说卦传》\n参天两地而倚数。\n观变於阴阳，而立卦；发挥於刚柔，而生爻；\n和顺於道德，而理於义；穷理尽性，以至於命。	1	item40_006	0	0	0	0	0	0	0	0	0	0
900005017	1	5	17	序卦传一	《周易·序卦传》\n有天地，然后万物生焉。\n有过物者必济，故受之以《既济》。\n物不可穷也，故受之以《未济》终焉。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900005018	1	5	18	序卦传二	《周易·序卦传》\n有天地，然后万物生焉。\n有过物者必济，故受之以《既济》。\n物不可穷也，故受之以《未济》终焉。	1	item40_014	0	0	0	0	0	0	0	0	0	0
900005019	1	5	19	杂卦传一	《周易·杂卦传》\n《乾》刚《坤》柔，《比》乐《师》忧。\n《归妹》女之终也。《未济》男之穷也。\n《夬》决也，刚决柔也，君子道长，小人道忧也。	1	item40_010	0	0	0	0	0	0	0	0	0	0
900005020	1	5	20	杂卦传二	《周易·杂卦传》\n《乾》刚《坤》柔，《比》乐《师》忧。\n《归妹》女之终也。《未济》男之穷也。\n《夬》决也，刚决柔也，君子道长，小人道忧也。	1	item40_013	0	0	0	0	0	0	0	0	0	0
900006001	1	6	1	梁惠王上一	《孟子·梁惠王上篇》\n苟为后义而先利，不夺不餍。\n未有仁而遗其亲者也，未有义而后其君者也。\n王亦曰仁义而已矣，何必曰利？	1	item40_013	0	0	0	0	0	0	0	0	0	0
900006002	1	6	2	梁惠王上二	《孟子·梁惠王上篇》\n苟为后义而先利，不夺不餍。\n未有仁而遗其亲者也，未有义而后其君者也。\n王亦曰仁义而已矣，何必曰利？	1	item40_016	0	0	0	0	0	0	0	0	0	0
900006003	1	6	3	梁惠王下一	《孟子·梁惠王下篇》\n取之而燕民悦，则取之。古之人有行之者，武王是也。\n取之而燕民不悦，则勿取。古之人有行之者，文王是也。	1	item40_004	0	0	0	0	0	0	0	0	0	0
900006004	1	6	4	梁惠王下二	《孟子·梁惠王下篇》\n取之而燕民悦，则取之。古之人有行之者，武王是也。\n取之而燕民不悦，则勿取。古之人有行之者，文王是也。	1	item40_012	0	0	0	0	0	0	0	0	0	0
900006005	1	6	5	公孙丑上篇一	《孟子·公孙丑上篇》\n天下之不助苗长者寡矣！\n以为无益而舍之者，不耘苗者也；助之长者，揠苗者也；\n非徒无益，而又害之。	1	item40_013	0	0	0	0	0	0	0	0	0	0
900006006	1	6	6	公孙丑上篇二	《孟子·公孙丑上篇》\n天下之不助苗长者寡矣！\n以为无益而舍之者，不耘苗者也；助之长者，揠苗者也；\n非徒无益，而又害之。	1	item40_016	0	0	0	0	0	0	0	0	0	0
900006007	1	6	7	公孙丑下篇一	《孟子·公孙丑下篇》\n天时不如地利，地利不如人和。\n得道者多助，失道者寡助。\n以天下之所顺，攻亲戚之所畔；故君子有不战，战必胜矣。	1	item40_011	0	0	0	0	0	0	0	0	0	0
900006008	1	6	8	公孙丑下篇二	《孟子·公孙丑下篇》\n天时不如地利，地利不如人和。\n得道者多助，失道者寡助。\n以天下之所顺，攻亲戚之所畔；故君子有不战，战必胜矣。	1	item40_001	0	0	0	0	0	0	0	0	0	0
900006009	1	6	9	滕文公上篇一	《孟子·滕文公上篇》\n《书》曰：“若药不瞑眩，厥疾不瘳。”	1	item40_003	0	0	0	0	0	0	0	0	0	0
900006010	1	6	10	滕文公上篇二	《孟子·滕文公上篇》\n《书》曰：“若药不瞑眩，厥疾不瘳。”	1	item40_005	0	0	0	0	0	0	0	0	0	0
900006011	1	6	11	滕文公下篇一	《孟子·滕文公下篇》\n且《志》曰：“枉尺而直寻”，宜若可为也。\n枉己者，未有能直人者也。	1	item40_013	0	0	0	0	0	0	0	0	0	0
