敏感级别（1表示禁止起名禁止聊天，2表示禁止起名但允许聊天）	有效标志	敏感词	加一行（没用，服务器兄弟要求的）
1	1	阿拉法特	
1	1	阿罗约	
1	1	阿弥陀佛	
1	1	啊……阿姨要洩了……	
1	1	啊无卵	
1	1	艾森豪威尔	
1	1	爱爱	
1	1	淫女	
1	1	爱色cc	
1	1	爱液	
1	1	爱滋	
1	1	愛女人	
1	1	愛圖公園	
1	1	安非他命	
1	1	安眠酮	
1	1	安南	
1	1	安全局	
1	1	安全套	
1	1	安全隱秘	
1	1	按摩棒	
1	1	奥巴马	
1	1	奥马尔	
1	1	奧巴馬	
1	1	澳洲光明网	
1	1	八嘎	
1	1	巴赫	
1	1	巴黎市长	
1	1	扒屄	
1	1	拔屄	
1	1	肉茎	
1	1	罢餐	
1	1	屁眼	
1	1	女穴	
1	1	掰穴	
1	1	白痴	
1	1	白粉	
1	1	嫩b	
1	1	白虎	
1	1	阴穴	
1	1	陰穴	
1	1	白立忱	
1	1	白莲教	
1	1	百家性	
1	1	摆脱中共附体	
1	1	班禅	
1	1	颁奖	
1	1	包二奶	
1	1	包皮	
1	1	保釣	
1	1	保密局	
1	1	保卫台湾	
1	1	鸨	
1	1	鲍戈	
1	1	鲍彤	
1	1	鲍威尔	
1	1	鲍鱼	
1	1	暴幹	
1	1	暴奸	
1	1	暴乳母娘	
1	1	暴淫	
1	1	暴政	
1	1	爆操	
1	1	爆乳娘	
1	1	爆乳人妻	
1	1	北京当局	
1	1	北美自由论坛	
1	1	被干	
1	1	被幹	
1	1	奸淫	
1	1	强奸	
1	1	本？拉登	
1	1	本拉登	
1	1	無碼	
1	1	苯环已呱啶	
1	1	苯環利啶	
1	1	苯甲基芽子堿	
1	1	笨逼	
1	1	屄	
1	1	比的	
1	1	变态	
1	1	婊子	
1	1	宾馆女郎	
1	1	賓館女郎	
1	1	冰毒	
1	1	波霸	
1	1	勃不起斯懦夫	
1	1	勃大精深	
1	1	薄一波	
1	1	不倫	
1	1	猥褻	
1	1	精液	
1	1	布莱尔	
1	1	布朗	
1	1	布雷尔	
1	1	布什	
1	1	菜B	
1	1	菜市口交	
1	1	蔡崇国	
1	1	蔡和森	
1	1	蔡庆林	
1	1	蔡英文	
1	1	残廢	
1	1	虐待	
1	1	残忍老爸玩我小穴	
1	1	殘废	
1	1	殘廢	
1	1	沧澜曲	
1	1	藏?独	
1	1	藏春阁	
1	1	藏獨	
1	1	藏独	
1	1	藏妇会	
1	1	藏婦會	
1	1	藏旗	
1	1	藏青会	
1	1	藏青會	
1	1	你八輩祖宗	
1	1	曹刚川	
1	1	曹你	
1	1	曹庆泽	
1	1	草妈	
1	1	草你	
1	1	草拟妈	
1	1	草擬媽	
1	1	草枝麻	
1	1	懆您妈	
1	1	懆您娘	
1	1	肏	
1	1	册那	
1	1	侧那	
1	1	盗摄	
1	1	测绘局	
1	1	测拿	
1	1	淫屄	
1	1	後庭	
1	1	插进	
1	1	插那吗B	
1	1	插那吗比	
1	1	插你	
1	1	插入	
1	1	插深些	
1	1	插我	
1	1	柴玲	
1	1	产权局	
1	1	產黨	
1	1	常劲	
1	1	艳图	
1	1	潮喷	
1	1	潮噴	
1	1	车臣	
1	1	陈炳基	
1	1	陈伯达	
1	1	陈独秀	
1	1	陈军	
1	1	陈良宇	
1	1	陈破空	
1	1	陈水扁	
1	1	陈唐山	
1	1	陈晓宁	
1	1	陈毅	
1	1	陈永贵	
1	1	陈至立	
1	1	陳奎元	
1	1	陳水扁	
1	1	陳雲	
1	1	成人a片	
1	1	成人BT	
1	1	成人电影	
1	1	成人论坛	
1	1	成人漫画	
1	1	情色	
1	1	成人小说	
1	1	成人小說	
1	1	性爱	
1	1	成人夜话	
1	1	淫伦	
1	1	成人影视	
1	1	成人影院	
1	1	成人用品	
1	1	成人自拍	
1	1	成熟性感大meinv	
1	1	大便	
1	1	鸡巴	
1	1	吃精	
1	1	痴女	
1	1	痴乳	
1	1	持田茜	
1	1	轮奸	
1	1	赤匪	
1	1	赤裸	
1	1	抽插	
1	1	抽动肉	
1	1	抽头	
1	1	筹码	
1	1	臭机	
1	1	臭鸡	
1	1	臭西	
1	1	假钞	
1	1	枪支	
1	1	手枪	
1	1	輪姦	
1	1	开包	
1	1	处女膜	
1	1	处女	
1	1	处女穴	
1	1	阴道	
1	1	開包	
1	1	肉根。	
1	1	传说的胡曾联手是一种假象	
1	1	搔穴	
1	1	吹喇叭	
1	1	吹气娃娃	
1	1	充气娃娃	
1	1	美臀夹阴	
1	1	蠢猪	
1	1	戳B	
1	1	戳比	
1	1	戳那吗比	
1	1	戳你	
1	1	肉洞	
1	1	肉棒	
1	1	穴洞	
1	1	肉棍…	
1	1	淫蕩	
1	1	催情药	
1	1	错逼	
1	1	错那吗比	
1	1	达尔富尔	
1	1	达芬奇	
1	1	达赖	
1	1	達賴	
1	1	打倒共产党	
1	1	打倒中國共產黨	
1	1	打到共产党	
1	1	打炮	
1	1	打砸抢	
1	1	大*FA弟*子	
1	1	大比	
1	1	大参考	
1	1	大东亚	
1	1	大法	
1	1	子宫	
1	1	大花逼	
1	1	大鸡巴	
1	1	大鸡吧	
1	1	大鸡8	
1	1	大雞巴	
1	1	大纪元	
1	1	大卵泡	
1	1	大卵子	
1	1	大麻	
1	1	大麻树脂	
1	1	大麻油	
1	1	大奶美逼	
1	1	大师	
1	1	大使官	
1	1	大使馆	
1	1	大卫教	
1	1	大血比	
1	1	大煙	
1	1	大阴唇姐姐	
1	1	大众成人网	
1	1	代表大会	
1	1	肛交	
1	1	戴相龙	
1	1	戴相龍	
1	1	党内分裂	
1	1	党卫兵	
1	1	荡妇	
1	1	档案局	
1	1	蕩妹	
1	1	蕩女	
1	1	导弹	
1	1	倒臺	
1	1	道教	
1	1	邓发	
1	1	邓小平	
1	1	邓颖超	
1	1	鄧穎超	
1	1	地藏	
1	1	地震局	
1	1	弟大勿勃	
1	1	弟大物勃	
1	1	淫奸	
1	1	帝國主義	
1	1	淫欲	
1	1	第十六次代表	
1	1	蒂	
1	1	裸聊	
1	1	叼你	
1	1	屌	
1	1	钓鱼岛	
1	1	調理勞務系	
1	1	丁子霖	
1	1	轮奸套图站	
1	1	腚眼	
1	1	东北独立	
1	1	乱交	
1	1	东升	
1	1	东条英机	
1	1	东突	
1	1	东亚病夫	
1	1	东亚共荣	
1	1	东洋屄	
1	1	东正教	
1	1	東突	
1	1	董建华	
1	1	董賤華	
1	1	胴体	
1	1	獨立	
1	1	独裁	
1	1	独立	
1	1	赌博	
1	1	赌马	
1	1	赌球	
1	1	杜冷丁	
1	1	杜鲁门	
1	1	杜正胜	
1	1	斷電	
1	1	多维	
1	1	墮淫	
1	1	屙	
1	1	额尔德尼	
1	1	饿b	
1	1	恩格斯	
1	1	二B	
1	1	二逼	
1	1	二奶大奖赛	
1	1	二穴中出	
1	1	发$$沦	
1	1	发**抡	
1	1	发**仑	
1	1	发**伦	
1	1	发**论	
1	1	发*伦	
1	1	发*沦	
1	1	发@@轮	
1	1	发@@论	
1	1	发@沦	
1	1	发^^仑	
1	1	发^^轮	
1	1	发^^论	
1	1	发^抡	
1	1	发抡	
1	1	发沦	
1	1	发纶	
1	1	发抡	
1	1	发轮	
1	1	发抡功	
1	1	发仑	
1	1	发伦	
1	1	发纶	
1	1	发轮	
1	1	发骚	
1	1	发展研究中心	
1	1	発妻	
1	1	発射	
1	1	發$$掄	
1	1	發$淪	
1	1	發**倫	
1	1	發*淪	
1	1	發@@掄	
1	1	發@@綸	
1	1	發@@論	
1	1	發@淪	
1	1	發^^綸	
1	1	發^掄	
1	1	發^侖	
1	1	發^倫	
1	1	發掄	
1	1	發輪	
1	1	發論	
1	1	發掄	
1	1	發侖	
1	1	發倫	
1	1	發綸	
1	1	發輪	
1	1	發論	
1	1	法$$抡	
1	1	法$$掄	
1	1	法$$仑	
1	1	法$$伦	
1	1	法$$沦	
1	1	法$$侖	
1	1	法$$倫	
1	1	法$轮	
1	1	法$倫	
1	1	法$輪	
1	1	法$论	
1	1	法$論	
1	1	法(輪)功	
1	1	法（輪）功	
1	1	法**抡	
1	1	法**掄	
1	1	法**伦	
1	1	法**侖	
1	1	法**倫	
1	1	法*功	
1	1	法*侖	
1	1	法*轮	
1	1	法*倫	
1	1	法*輪	
1	1	法*论	
1	1	法*論	
1	1	法@@轮	
1	1	法@@淪	
1	1	法@@輪	
1	1	法@@论	
1	1	法@@論	
1	1	法@仑	
1	1	法@伦	
1	1	法@纶	
1	1	法@侖	
1	1	法@轮	
1	1	法@倫	
1	1	法@綸	
1	1	法@輪	
1	1	法@论	
1	1	法@論	
1	1	法^^抡	
1	1	法^^沦	
1	1	法^^纶	
1	1	法^^轮	
1	1	法^^綸	
1	1	法^^輪	
1	1	法^^论	
1	1	法^^論	
1	1	法^仑	
1	1	法^伦	
1	1	法^侖	
1	1	法^轮	
1	1	法^倫	
1	1	法^輪	
1	1	法^论	
1	1	法^論	
1	1	法伦	
1	1	法纶	
1	1	法侖	
1	1	法轮	
1	1	法倫	
1	1	法綸	
1	1	法輪	
1	1	法论	
1	1	法論	
1	1	法lun功	
1	1	法功	
1	1	法仑工	
1	1	法仑公	
1	1	法仑功	
1	1	法仑攻	
1	1	法仑共	
1	1	法伦功	
1	1	法囵功	
1	1	法轮	
1	1	法轮大法	
1	1	法轮功	
1	1	法轮攻	
1	1	法惀功	
1	1	法菕功	
1	1	法棆功	
1	1	法腀功	
1	1	法稐功	
1	1	法论工	
1	1	法论公	
1	1	法论功	
1	1	法论攻	
1	1	法论共	
1	1	法黁功	
1	1	法十轮十功	
1	1	法十輪十功	
1	1	法西斯	
1	1	法一轮一大一法	
1	1	法谪功	
1	1	法制办	
1	1	反党	
1	1	反動	
1	1	反封锁技术	
1	1	反封鎖技術	
1	1	反腐败论坛	
1	1	反革命暴亂	
1	1	反共	
1	1	反华	
1	1	反人类	
1	1	反社会	
1	1	反政府	
1	1	反中游行	
1	1	犯践	
1	1	犯賤	
1	1	犯罪嫌疑人	
1	1	范田紗	
1	1	贩毒	
1	1	梵高	
1	1	放荡	
1	1	放蕩	
1	1	放蕩少婦	
1	1	少婦	
1	1	少妇	
1	1	非合法ドラッグ	
1	1	肥逼	
1	1	肥穴	
1	1	芬太尼	
1	1	粉屄	
1	1	粉红穴	
1	1	粉嫩粉嫩的小穴	
1	1	人妻	
1	1	粉嫩淫臀	
1	1	粉穴嫩逼	
1	1	丰唇艳姬	
1	1	风间ゆみ	
1	1	风骚少妇	
1	1	风骚侍女	
1	1	风骚小阿姨	
1	1	风骚淫荡	
1	1	風騷淫蕩	
1	1	風騷欲女	
1	1	逢乃	
1	1	佛教	
1	1	佛祖	
1	1	夫妻多p	
1	1	夫妻俱乐部	
1	1	夫妻俱樂部	
1	1	服务管理	
1	1	浮夸风	
1	1	福爾摩薩	
1	1	福莱斯特	
1	1	福摩萨	
1	1	傅全有	
1	1	傅鐵山	
1	1	傅作义	
1	1	富兰克林	
1	1	冈村宁次	
1	1	冈村秀树	
1	1	肛jiao	
1	1	肛屄	
1	1	肛门	
1	1	鋼管舞	
1	1	高潮	
1	1	白浆	
1	1	白漿	
1	1	高丽棒子	
1	1	高丽朴	
1	1	高橋英	
1	1	高清性愛	
1	1	高校暴乱	
1	1	高校群体事件	
1	1	高治联	
1	1	高自联	
1	1	搞B	
1	1	搞她	
1	1	戈万钧	
1	1	哥白尼	
1	1	哥伦布	
1	1	革命	
1	1	给你爽	
1	1	給你爽	
1	1	弓虽女干	
1	1	公安机关	
1	1	公审江泽民	
1	1	共产	
1	1	共產黨	
1	1	共產主義	
1	1	共鏟黨	
1	1	共党	
1	1	共匪	
1	1	共军	
1	1	共青团员	
1	1	共青團員	
1	1	狗b	
1	1	狗操卖逼	
1	1	狗干	
1	1	狗狼養的	
1	1	狗卵	
1	1	狗娘	
1	1	狗屁	
1	1	狗日靠	
1	1	狗剩	
1	1	狗屎	
1	1	狗养	
1	1	古方迷香	
1	1	股市民谣	
1	1	拐卖	
1	1	观世音	
1	1	官商勾结	
1	1	管里	
1	1	管理	
1	1	灌滿精液	
1	1	广电局	
1	1	滚那吗	
1	1	滾滾球	
1	1	老比	
1	1	瘟比	
1	1	郭伯雄	
1	1	郭平	
1	1	郭岩華	
1	1	嫖娼	
1	1	骚货	
1	1	国防科工委	
1	1	国管局	
1	1	国民政府	
1	1	国内动态详情	
1	1	国土资源部	
1	1	国务院	
1	1	国研室	
1	1	国资委	
1	1	國產嫖娼	
1	1	國家分裂	
1	1	國家主席	
1	1	國家總理	
1	1	國民黨	
1	1	哈批	
1	1	海洛因	
1	1	海明威	
1	1	韩国身份证	
1	1	韩联潮	
1	1	韩杼滨	
1	1	韓桂芝	
1	1	韓啓德	
1	1	韓啟德	
1	1	韓正	
1	1	汉奸	
1	1	漢奸	
1	1	航空母舰	
1	1	豪乳	
1	1	郝伯村	
1	1	郝建秀	
1	1	何德普	
1	1	何候华	
1	1	何加栋	
1	1	何勇	
1	1	肏穴	
1	1	和平演变道路已被中共堵死	
1	1	作愛	
1	1	河殇	
1	1	核工业基地	
1	1	核潜艇	
1	1	核武器	
1	1	贺国强	
1	1	贺龙	
1	1	赫鲁晓夫	
1	1	黑白无常	
1	1	黑鲍娇	
1	1	黑鮑娇	
1	1	黑屄	
1	1	黑逼	
1	1	黑鬼	
1	1	黑社會	
1	1	黑手党	
1	1	红灯区	
1	1	美穴	
1	1	红十字會	
1	1	红卫兵	
1	1	洪哲胜	
1	1	紅色恐怖	
1	1	红色恐怖	
1	1	后庭	
1	1	胡锦涛	
1	1	胡锦套	
1	1	胡錦涛	
1	1	胡启立	
1	1	胡乔木	
1	1	胡温暴政	
1	1	胡温借国际舆论造势	
1	1	胡耀邦	
1	1	胡志明	
1	1	葫蘆案	
1	1	蝴蝶逼	
1	1	虎嫩B	
1	1	互舔淫穴	
1	1	互淫	
1	1	乱淫	
1	1	花花公子	
1	1	华建敏	
1	1	滑湿小屄洞	
1	1	欢欢娱乐时空	
1	1	歡樂性今宵	
1	1	环保总局	
1	1	换妻	
1	1	黄菊	
1	1	黄克诚	
1	1	黄孟复	
1	1	黄片	
1	1	迷药	
1	1	回教	
1	1	回良玉	
1	1	回民暴	
1	1	回民吃猪肉	
1	1	回民吃豬肉	
1	1	回民人吃猪肉	
1	1	火药制作	
1	1	霍金	
1	1	机八	
1	1	机巴	
1	1	机叭	
1	1	机吧	
1	1	机掰	
1	1	机机歪歪	
1	1	鸡八	
1	1	阴肉	
1	1	鸡叭	
1	1	鸡掰	
1	1	鸡鸡	
1	1	鸡奸	
1	1	鸡歪	
1	1	鸡院	
1	1	姬胜德	
1	1	基地组织	
1	1	基督教	
1	1	機戰	
1	1	激插	
1	1	淫片	
1	1	裸體	
1	1	女优	
1	1	激情影视	
1	1	激情影院	
1	1	激情在线	
1	1	雞	
1	1	集會	
1	1	几八	
1	1	几叭	
1	1	几届中央政治局委员	
1	1	计生委	
1	1	记者	
1	1	纪登奎	
1	1	妓女	
1	1	加速补丁	
1	1	贾庆林	
1	1	阳具	
1	1	陽具	
1	1	奸	
1	1	姦夫淫婦	
1	1	姦淫	
1	1	姦淫電車	
1	1	兼职女教师	
1	1	监察部	
1	1	监督	
1	1	监管	
1	1	监禁陵辱	
1	1	监狱	
1	1	監禁陵辱	
1	1	检察院	
1	1	建设部	
1	1	賤逼	
1	1	賤貨	
1	1	江独裁	
1	1	江青	
1	1	江泽民	
1	1	江擇民	
1	1	姜春云	
1	1	疆独	
1	1	蒋介石	
1	1	蒋经国	
1	1	蒋树声	
1	1	蒋中国	
1	1	蒋中正	
1	1	蔣經國	
1	1	降半旗	
1	1	交换夫妻	
1	1	交換夫妻	
1	1	交配	
1	1	叫床	
1	1	教养院	
1	1	她妈	
1	1	她媽	
1	1	她馬的	
1	1	她娘	
1	1	解放军镇压	
1	1	解体中共	
1	1	金达莱革命	
1	1	金毛穴	
1	1	金槍不倒	
1	1	金日成	
1	1	金正日	
1	1	紧缚凌辱	
1	1	紧紧的小穴	
1	1	紧穴	
1	1	緊縛淩辱	
1	1	近亲相奸	
1	1	勁爆	
1	1	经典炮图	
1	1	经血	
1	1	精蟲	
1	1	精神病	
1	1	精子	
1	1	敬國神社	
1	1	靓穴	
1	1	九霾	
1	1	九评	
1	1	九評共產黨	
1	1	九一评	
1	1	就去日	
1	1	就去色色	
1	1	菊花蕾	
1	1	菊花穴	
1	1	菊穴	
1	1	巨屌	
1	1	巨额骗储	
1	1	聚友网络	
1	1	瞿秋白	
1	1	军国主义	
1	1	军事委员会	
1	1	军委	
1	1	軍國主義	
1	1	軍民衝突	
1	1	卡弗次郎	
1	1	卡斯特罗	
1	1	開苞	
1	1	凯丰	
1	1	砍翻一条街	
1	1	砍死你	
1	1	打飞机	
1	1	抗震救災	
1	1	抗震救灾	
1	1	尻	
1	1	柯慶施	
1	1	磕药	
1	1	磕藥	
1	1	可爱卡通小穴	
1	1	性趣	
1	1	可待因	
1	1	可卡叶	
1	1	可卡因	
1	1	克林頓	
1	1	客户服务	
1	1	嗑药	
1	1	空姐操	
1	1	恐怖主義	
1	1	口爆	
1	1	口含龟头	
1	1	口含鸡巴	
1	1	口活	
1	1	口交	
1	1	口内爆射	
1	1	口射	
1	1	褲襪	
1	1	垮臺	
1	1	胯下呻吟	
1	1	快克	
1	1	快樂AV	
1	1	狂操	
1	1	狂插	
1	1	狂插淫洞	
1	1	邝锦文	
1	1	葵花子政变	
1	1	拉登	
1	1	拉凳	
1	1	拉客	
1	1	拉姆斯菲尔德	
1	1	拉姆斯菲爾德	
1	1	喇嘛	
1	1	来插我	
1	1	来干	
1	1	来爽我	
1	1	赖昌星	
1	1	烂逼	
1	1	烂货	
1	1	烂鸟	
1	1	烂人	
1	1	烂游戏	
1	1	滥B	
1	1	滥比	
1	1	滥交	
1	1	爛B	
1	1	爛逼	
1	1	爛比	
1	1	爛貨	
1	1	劳+教+所	
1	1	劳动保障部	
1	1	劳拉	
1	1	勞+教+所	
1	1	老瘪三	
1	1	老癟三	
1	1	老虎机	
1	1	老毛子	
1	1	老母	
1	1	老骚货	
1	1	老土	
1	1	李*洪*志*靠	
1	1	李昌	
1	1	李长春	
1	1	李大师	
1	1	李大師	
1	1	李大钊	
1	1	李德生	
1	1	李登辉	
1	1	李弘旨	
1	1	李红志	
1	1	李红智	
1	1	李洪志	
1	1	李洪智	
1	1	李紅志	
1	1	李继耐	
1	1	李克强	
1	1	李兰菊	
1	1	李岚清	
1	1	李立三	
1	1	李沛瑶	
1	1	李鹏	
1	1	李瑞环	
1	1	李少民	
1	1	李师付	
1	1	李师傅	
1	1	李铁映	
1	1	李旺阳	
1	1	李文斌	
1	1	李月月	
1	1	李总统	
1	1	里根	
1	1	连続失禁	
1	1	连战	
1	1	莲花逼	
1	1	廉政大论坛	
1	1	梁光烈	
1	1	两个中国	
1	1	两国论	
1	1	两会新闻	
1	1	两腿之间	
1	1	两性	
1	1	兩個中國	
1	1	兩國論	
1	1	兩腿之間	
1	1	亮穴	
1	1	聊天室	
1	1	廖晖	
1	1	廖锡龙	
1	1	列宁	
1	1	邻居美少妇	
1	1	林彪	
1	1	林伯渠	
1	1	林肯	
1	1	林慎立	
1	1	林伟	
1	1	林信义	
1	1	淋病	
1	1	凌辱	
1	1	淩辱	
1	1	刘宾雁	
1	1	刘伯承	
1	1	刘丽英	
1	1	刘淇	
1	1	刘少奇	
1	1	刘晓竹	
1	1	刘云山	
1	1	流蜜汁	
1	1	流淫	
1	1	劉曉波	
1	1	六。四事件	
1	1	六四	
1	1	動亂	
1	1	平暴	
1	1	露B	
1	1	露屄	
1	1	露乳	
1	1	露穴	
1	1	露阴照	
1	1	鲁迅	
1	1	路易	
1	1	吕秀莲	
1	1	呂秀蓮	
1	1	旅游局	
1	1	卵子	
1	1	抡功	
1	1	轮干	
1	1	轮公	
1	1	轮功	
1	1	轮流干	
1	1	轮盘赌	
1	1	輪暴	
1	1	輪功	
1	1	輪攻	
1	1	輪奸	
1	1	罗干	
1	1	罗荣桓	
1	1	羅富和	
1	1	騾幹	
1	1	裸	
1	1	妈逼	
1	1	妈比	
1	1	妈的	
1	1	妈个比	
1	1	妈批	
1	1	媽逼	
1	1	媽比	
1	1	媽的B	
1	1	媽個B	
1	1	媽媽的	
1	1	麻醉乙醚	
1	1	马的	
1	1	马加爵	
1	1	马克思	
1	1	马卖马屁	
1	1	马巧珍	
1	1	马英九	
1	1	馬克思	
1	1	馬巧珍	
1	1	馬萬祺	
1	1	吗b	
1	1	吗逼	
1	1	吗比	
1	1	吗的	
1	1	吗啡碱	
1	1	吗啡片	
1	1	嗎逼	
1	1	嗎個	
1	1	买卖枪支	
1	1	買春	
1	1	卖B	
1	1	卖逼	
1	1	卖国	
1	1	卖骚	
1	1	卖淫	
1	1	麥角酸二乙基酰胺	
1	1	賣逼	
1	1	賣騷	
1	1	賣淫	
1	1	滿洲國	
1	1	曼德拉	
1	1	毛东突暴动和独立	
1	1	毛对日强硬	
1	1	毛二B	
1	1	毛二屄	
1	1	毛发论公	
1	1	毛发论功	
1	1	毛法功	
1	1	毛法仑	
1	1	毛法轮大法	
1	1	毛法轮功	
1	1	毛反动	
1	1	毛反共	
1	1	毛反华	
1	1	毛反恐委员会	
1	1	毛反政府	
1	1	毛干妳妈	
1	1	毛干妳娘	
1	1	毛干你妈	
1	1	毛干你娘	
1	1	毛干七八	
1	1	毛干死你	
1	1	毛肛门	
1	1	毛高校群体事件	
1	1	毛睾	
1	1	睾丸	
1	1	卵蛋	
1	1	蛋蛋	
1	1	毛公安局	
1	1	毛狗操	
1	1	毛狗娘	
1	1	毛狗日	
1	1	毛光明日报	
1	1	毛国安局	
1	1	毛国民党	
1	1	毛国务院	
1	1	毛国资委	
1	1	毛海关总署	
1	1	毛黑社会	
1	1	毛黑手党	
1	1	毛红卫兵	
1	1	毛胡紧套	
1	1	毛换妻	
1	1	毛黄色电影	
1	1	毛回教	
1	1	毛回民暴动	
1	1	毛鸡八	
1	1	毛鸡巴	
1	1	毛鸡叭	
1	1	毛鸡芭	
1	1	毛基地组织	
1	1	毛基督教	
1	1	激情服务	
1	1	毛几届中央政治局委员	
1	1	毛妓女	
1	1	毛妓院	
1	1	毛奸夫淫妇	
1	1	毛奸情色影院	
1	1	毛江独裁	
1	1	毛江戏子	
1	1	毛江猪	
1	1	毛江主席	
1	1	毛叫小姐	
1	1	毛她妈的	
1	1	毛届中央政治局委员	
1	1	毛禁书	
1	1	毛精子	
1	1	毛敬国神社	
1	1	毛靖国神社	
1	1	毛军国主义	
1	1	毛军事委员会	
1	1	毛尻	
1	1	毛可卡叶	
1	1	毛口交	
1	1	毛烂屄	
1	1	毛烂比	
1	1	毛烂屌	
1	1	毛劳+教+所	
1	1	毛老毛子	
1	1	毛连战	
1	1	毛粮食局	
1	1	毛林业局	
1	1	毛六四动乱	
1	1	毛六四事件	
1	1	毛轮奸	
1	1	毛妈逼	
1	1	毛妈批	
1	1	毛马卖马屁	
1	1	毛麦角酸	
1	1	毛卖党求荣	
1	1	毛卖国	
1	1	毛毛厕洞	
1	1	毛迷魂药	
1	1	毛迷奸药	
1	1	毛民航局	
1	1	毛民政部	
1	1	毛妳妈的	
1	1	毛伱妈	
1	1	毛你爸	
1	1	毛你二大爷	
1	1	毛你老母	
1	1	毛你老味	
1	1	毛你姥	
1	1	毛你妈	
1	1	毛你娘	
1	1	毛鸟你	
1	1	毛农业部	
1	1	毛皮条	
1	1	毛片	
1	1	毛破鞋	
1	1	毛枪决女犯	
1	1	毛强奸	
1	1	毛侨办	
1	1	毛窃听器材	
1	1	毛去死	
1	1	毛人大	
1	1	毛人民	
1	1	毛日Gm	
1	1	毛日你妈	
1	1	毛日你娘	
1	1	毛肉棒	
1	1	毛肉棍	
1	1	毛乳	
1	1	毛三陪	
1	1	毛色情电影	
1	1	毛傻比	
1	1	毛煞逼	
1	1	毛社会主义	
1	1	毛社科院	
1	1	毛身份生成器	
1	1	毛升达	
1	1	毛生孩子没屁眼	
1	1	毛生鸦片	
1	1	毛十年动乱	
1	1	毛驶你老母	
1	1	毛双峰微颤	
1	1	毛司法部	
1	1	毛死gm	
1	1	毛四川独立	
1	1	毛他爹	
1	1	毛他妈	
1	1	毛他祖宗	
1	1	毛台办	
1	1	毛台湾狗	
