称号ID(1001-为普通称号，1100-为高端称号，1200-为特殊称号，2001-2060是师徒称号)	有效标志位	称号名字	称号品质(1绿色、2蓝色、3紫色、4金色）	称号存在时间（填-1永久、其他填具体时间（单位：秒））	称号特效（填特效ID、没特效填称号名字）	称号效果（填属性池id，5开头，5000+2位流水+1位流水+1位流水：占段走流水号）	称号装备状态限制	称号显示状态限制	称号美术字图片	条件描述（获得称号条件）	UI称号缩放	场景特效ID	成就特效挂件
1204	1	情定长生	3	-1	0	50000140	0	0	hud_title13	官网预约专属称号	35	0	0
1205	1	鱼行天下	3	-1	0	50000150	0	0	hud_title12	预约专属称号	35	0	0
1206	1	执手长生	3	-1	0	50000183	0	0	hud_title15	绝版称号，运营活动获得专属称号！	45	0	0
1207	1	逐梦飞仙	3	-1	0	50000183	0	0	hud_title16	绝版称号，运营活动获得专属称号！	45	0	0
1208	1	不负相见	3	-1	0	50000183	0	0	hud_title14	绝版称号，运营活动获得专属称号！	45	0	0
1211	1	千手观音	2	2592000	0	50000120	0	0	hud_title19	双十一期间使用好人卡概率获得	40	0	0
1212	1	汪！	2	2592000	0	50000130	0	0	hud_title20	双十一期间使用好人卡概率获得	40	0	0
1213	1	绝世风华	3	-1	0	50000160	0	0	hud_title21	绝版称号，运营活动获得专属称号！	65	0	0
1214	1	庄生梦蝶	3	1296000	0	50000630	0	0	hud_title22	点券夺宝中累积奖励或充值排行榜个人累积充值奖励获得！	80	1000083	root
1215	1	万家灯火	3	-1	0	50000640	0	0	hud_title23	点券夺宝中累积奖励获得！	83	0	0
1216	1	永结同心	3	-1	0	50000660	0	0	hud_title25	情人节限定	70	0	0
1217	1	星尘之泪	3	-1	0	50000650	0	0	hud_title24	修仙排行榜宝石榜第一名获得	130	0	0
1218	1	桃之夭夭	4	-1	1000086	50000670	0	0	hud_title26	绝版称号，运营活动获得专属称号！	40	1000085	root
1219	1	灼灼其华	4	-1	1000087	50000680	0	0	hud_title27	绝版称号，运营活动获得专属称号！	40	1000085	root
1220	1	劳动无限光荣	4	-1	0	50000690	0	41000016	hud_title28	劳动节限定	90	0	0
2001	1	一人我饮酒醉……	2	-1	0	50000141	0	0	0	与徒弟的“师父你该吃药了”成对，师徒结拜随机赠送的称号	0	0	0
2002	1	万年隐身攻	2	-1	0	50000151	0	0	0	与徒弟的“千年在线受”成对，师徒结拜随机赠送的称号	0	0	0
2003	1	吃饭睡觉打豆豆	2	-1	0	50000141	0	0	0	与徒弟的“我是豆豆”成对，师徒结拜随机赠送的称号	0	0	0
2004	1	二货师父	2	-1	0	50000151	0	0	0	与徒弟的“吃货徒弟”成对，师徒结拜随机赠送的称号	0	0	0
2005	1	魑魅魍魉	2	-1	0	50000141	0	0	0	与徒弟的“没法洗澡”成对，师徒结拜随机赠送的称号	0	0	0
2006	1	上天有好生之德	2	-1	0	50000151	0	0	0	与徒弟的“谢师父不杀之恩”成对，师徒结拜随机赠送的称号	0	0	0
2007	1	问世间情为何物	2	-1	0	50000141	0	0	0	与徒弟的“叔叔我们不约”成对，师徒结拜随机赠送的称号	0	0	0
2008	1	宅若久时天然呆	2	-1	0	50000151	0	0	0	与徒弟的“呆到深处自然萌”成对，师徒结拜随机赠送的称号	0	0	0
2009	1	小小的人儿啊	2	-1	0	50000141	0	0	0	与徒弟的“风生水起呀”成对，师徒结拜随机赠送的称号	0	0	0
2010	1	徒儿一去兮别复返	2	-1	0	50000151	0	0	0	与徒弟的“风萧萧兮易水寒”成对，师徒结拜随机赠送的称号	0	0	0
2011	1	小小徒弟可笑可笑	2	-1	0	50000141	0	0	0	与徒弟的“叫声师父提防提防”成对，师徒结拜随机赠送的称号	0	0	0
2012	1	南方有谷堆	2	-1	0	50000151	0	0	0	与徒弟的“北方有墓碑”成对，师徒结拜随机赠送的称号	0	0	0
2013	1	太阳被我搓圆的	2	-1	0	50000141	0	0	0	与徒弟的“月亮被我掰弯的”成对，师徒结拜随机赠送的称号	0	0	0
2014	1	半城烟火半城殇	2	-1	0	50000151	0	0	0	与徒弟的“一杯风月一流年”成对，师徒结拜随机赠送的称号	0	0	0
2015	1	愿你初心不改	2	-1	0	50000141	0	0	0	与徒弟的“愿我始终如一”成对，师徒结拜随机赠送的称号	0	0	0
2016	1	霸气侧漏	2	-1	0	50000151	0	0	0	与徒弟的“才艺纵横”成对，师徒结拜随机赠送的称号	0	0	0
2017	1	要抱抱	2	-1	0	50000141	0	0	0	与徒弟的“举高高”成对，师徒结拜随机赠送的称号	0	0	0
2018	1	问苍茫大地谁主沉浮	2	-1	0	50000151	0	0	0	与徒弟的“历长生仙界唯我独尊”成对，师徒结拜随机赠送的称号	0	0	0
2019	1	养什么死什么	2	-1	0	50000141	0	0	0	与徒弟的“活一天算一天”成对，师徒结拜随机赠送的称号	0	0	0
2020	1	哼	2	-1	0	50000151	0	0	0	与徒弟的“哈”成对，师徒结拜随机赠送的称号	0	0	0
2021	1	O(∩_∩)O	2	-1	0	50000141	0	0	0	与徒弟的“O(∩_∩)O”成对，师徒结拜随机赠送的称号	0	0	0
2022	1	⊙０⊙	2	-1	0	50000151	0	0	0	与徒弟的“⊙０⊙”成对，师徒结拜随机赠送的称号	0	0	0
2031	1	师父你该吃药了	2	-1	0	50000141	0	0	0	与师父的“一人我饮酒醉……”成对，师徒结拜随机赠送的称号	0	0	0
2032	1	千年在线受	2	-1	0	50000151	0	0	0	与师父的“万年隐身攻”成对，师徒结拜随机赠送的称号	0	0	0
2033	1	我是豆豆	2	-1	0	50000141	0	0	0	与师父的“吃饭睡觉打豆豆”成对，师徒结拜随机赠送的称号	0	0	0
2034	1	吃货徒弟	2	-1	0	50000151	0	0	0	与师父的“二货师父”成对，师徒结拜随机赠送的称号	0	0	0
2035	1	没法洗澡	2	-1	0	50000141	0	0	0	与师父的“魑魅魍魉”成对，师徒结拜随机赠送的称号	0	0	0
2036	1	谢师父不杀之恩	2	-1	0	50000151	0	0	0	与师父的“上天有好生之德”成对，师徒结拜随机赠送的称号	0	0	0
2037	1	叔叔我们不约	2	-1	0	50000141	0	0	0	与师父的“问世间情为何物”成对，师徒结拜随机赠送的称号	0	0	0
2038	1	呆到深处自然萌	2	-1	0	50000151	0	0	0	与师父的“宅若久时天然呆”成对，师徒结拜随机赠送的称号	0	0	0
2039	1	风生水起呀	2	-1	0	50000141	0	0	0	与师父的“小小的人儿啊”成对，师徒结拜随机赠送的称号	0	0	0
2040	1	风萧萧兮易水寒	2	-1	0	50000151	0	0	0	与师父的“徒儿一去兮别复返”成对，师徒结拜随机赠送的称号	0	0	0
2041	1	叫声师父提防提防	2	-1	0	50000141	0	0	0	与师父的“小小徒弟可笑可笑”成对，师徒结拜随机赠送的称号	0	0	0
2042	1	北方有墓碑	2	-1	0	50000151	0	0	0	与师父的“南方有谷堆”成对，师徒结拜随机赠送的称号	0	0	0
2043	1	月亮被我掰弯的	2	-1	0	50000141	0	0	0	与师父的“太阳被我搓圆的”成对，师徒结拜随机赠送的称号	0	0	0
2044	1	一杯风月一流年	2	-1	0	50000151	0	0	0	与师父的“半城烟火半城殇”成对，师徒结拜随机赠送的称号	0	0	0
2045	1	愿我始终如一	2	-1	0	50000141	0	0	0	与师父的“愿你初心不改”成对，师徒结拜随机赠送的称号	0	0	0
2046	1	才艺纵横	2	-1	0	50000151	0	0	0	与师父的“霸气侧漏”成对，师徒结拜随机赠送的称号	0	0	0
2047	1	举高高	2	-1	0	50000141	0	0	0	与师父的“要抱抱”成对，师徒结拜随机赠送的称号	0	0	0
2048	1	历长生仙界唯我独尊	2	-1	0	50000151	0	0	0	与师父的“问苍茫大地谁主沉浮”成对，师徒结拜随机赠送的称号	0	0	0
2049	1	活一天算一天	2	-1	0	50000141	0	0	0	与师父的“养什么死什么”成对，师徒结拜随机赠送的称号	0	0	0
2050	1	哈	2	-1	0	50000151	0	0	0	与师父的“哼”成对，师徒结拜随机赠送的称号	0	0	0
2051	1	O(∩_∩)O	2	-1	0	50000141	0	0	0	与师父的“O(∩_∩)O”成对，师徒结拜随机赠送的称号	0	0	0
2052	1	⊙０⊙	2	-1	0	50000151	0	0	0	与师父的“⊙０⊙”成对，师徒结拜随机赠送的称号	0	0	0
2053	1	至尊VIP	3	-1	0	50000701	0	41000015	hud_title29	参与运营活动可获得	80	0	0
2054	1	富甲一方	3	-1	0	50000702	0	41000015	hud_title30	参与运营活动可获得	80	0	0
2055	1	劳资就是传说	3	-1	0	50000703	0	41000015	hud_title31	参与运营活动可获得	100	0	0
2056	1	有钱任性	3	-1	0	50000704	0	41000015	hud_title32	参与运营活动可获得	80	0	0
2057	1	无可匹敌	3	-1	0	50000705	0	41000015	hud_title33	参与运营活动可获得	80	0	0
2058	1	你不懂壕的寂寞	3	-1	0	50000706	0	41000015	hud_title34	参与运营活动可获得	80	0	0
2059	1	有钱真的可以为所欲为	3	-1	0	50000707	0	41000015	hud_title35	参与运营活动可获得	80	0	0
2060	1	专治各种不服	3	604800	0	50000708	0	41000015	hud_title36	参与运营活动可获得	80	0	0
2061	1	有点小钱	3	604800	0	50000709	0	41000015	hud_title37	参与运营活动可获得	80	0	0
2062	1	你碰不起我	3	1296000	0	50000710	0	41000015	hud_title38	参与运营活动可获得	80	0	0
2063	1	笑你打不赢	3	1296000	0	50000711	0	41000015	hud_title39	参与运营活动可获得	80	0	0
2064	1	君子一怒血溅五步	3	1296000	0	50000712	0	41000015	hud_title40	参与运营活动可获得	80	0	0
2065	1	大爷我有钱	3	604800	0	50000716	0	0	hud_title42	充值榜中可获得	80	0	0
2066	1	小哥哥有点帅	3	604800	0	50000717	0	0	hud_title44	充值榜中可获得	80	0	0
2067	1	小姐姐有点拽	3	604800	0	50000717	0	0	hud_title43	充值榜中可获得	80	0	0
2068	1	你们的霸霸	3	604800	0	50000718	0	0	hud_title45	参与运营活动可获得	100	0	0
2069	1	你的小可爱	3	604800	0	50000719	0	0	hud_title46	参与运营活动可获得	100	0	0
