#道藏成长ID	valid 	#成长阶段名称	#每阶段成长需要经验	#每阶段突破需要等级	#每阶段成长需要道具ID	#每阶段成长道具数量	#每阶段成长增加属性类型	#每阶段增加属性数量	#每阶段成长增加属性类型	#每阶段增加属性数量	#每阶段成长增加伙伴属性类型	#每阶段增加伙伴属性数量	#每阶段成长增加伙伴属性类型	#每阶段增加伙伴属性数量
[K][C][S]grow_id	0	[C][S]grow_name	[C][S]grow_exprience	[C][S]grow_level	[C][S]grow_item_id	[C][S]grow_item_num	[C][S]add_attr_type1	[C][S]add_attr_num1	[C][S]add_attr_type2 	[C][S]add_attr_num2	[C][S]add_attr_type_parterner1	[C][S]add_attr_num_parterner1	[C][S]add_attr_type_parterner2	[C][S]add_attr_num_parterner2
3003002	1	洞真·中境	1620	1	300200101	13	0	0	0	0	67	328	70	328
3003003	1	洞真·上境	1680	1	300200101	14	0	0	0	0	67	346	70	346
3003004	1	洞真·圆满	1740	1	300200101	14	0	0	0	0	67	364	70	364
3003005	1	洞神·初境	1800	1	300200101	15	0	0	0	0	67	382	70	382
3003006	1	洞神·中境	1860	1	300200101	15	0	0	0	0	67	400	70	400
3003007	1	洞神·上境	1920	1	300200101	16	0	0	0	0	67	430	70	430
3003008	1	洞神·圆满	1980	1	300200101	16	0	0	0	0	67	460	70	460
3003009	1	洞玄·初境	2040	1	300200101	17	0	0	0	0	67	490	70	490
3003010	1	洞玄·中境	2100	1	300200101	17	0	0	0	0	67	520	70	520
3003011	1	洞玄·上境	2160	1	300200101	18	0	0	0	0	67	550	70	550
3003012	1	洞玄·圆满	2220	1	300200101	18	0	0	0	0	67	580	70	580
3004001	1	洞真·初境	2280	1	300200101	19	0	0	0	0	67	610	70	610
3004002	1	洞真·中境	2340	1	300200101	19	0	0	0	0	67	640	70	640
3004003	1	洞真·上境	2400	1	300200101	20	0	0	0	0	67	670	70	670
3004004	1	洞真·圆满	2460	1	300200101	20	0	0	0	0	67	700	70	700
3004005	1	洞神·初境	2520	1	300200101	21	0	0	0	0	67	747	70	747
3004006	1	洞神·中境	2580	1	300200101	21	0	0	0	0	67	794	70	794
3004007	1	洞神·上境	2640	1	300200101	22	0	0	0	0	67	841	70	841
3004008	1	洞神·圆满	2700	1	300200101	22	0	0	0	0	67	888	70	888
3004009	1	洞玄·初境	2760	1	300200101	23	0	0	0	0	67	935	70	935
3004010	1	洞玄·中境	2820	1	300200101	23	0	0	0	0	67	982	70	982
3004011	1	洞玄·上境	2880	1	300200101	24	0	0	0	0	67	1029	70	1029
3004012	1	洞玄·圆满	2940	1	300200101	24	0	0	0	0	67	1076	70	1076
3005001	1	洞真·初境	3000	1	300200101	25	0	0	0	0	67	1123	70	1123
3005002	1	洞真·中境	3060	1	300200101	25	0	0	0	0	67	1170	70	1170
3005003	1	洞真·上境	3120	1	300200101	26	0	0	0	0	67	1235	70	1235
3005004	1	洞真·圆满	3180	1	300200101	26	0	0	0	0	67	1300	70	1300
3005005	1	洞神·初境	3240	1	300200101	27	0	0	0	0	67	1365	70	1365
3005006	1	洞神·中境	3300	1	300200101	27	0	0	0	0	67	1430	70	1430
3005007	1	洞神·上境	3360	1	300200101	28	0	0	0	0	67	1495	70	1495
3005008	1	洞神·圆满	3420	1	300200101	28	0	0	0	0	67	1560	70	1560
3005009	1	洞玄·初境	3480	1	300200101	29	0	0	0	0	67	1625	70	1625
3005010	1	洞玄·中境	3540	1	300200101	29	0	0	0	0	67	1690	70	1690
3005011	1	洞玄·上境	3600	1	300200101	30	0	0	0	0	67	1755	70	1755
3005012	1	洞玄·圆满	-1	1	300200101	-1	0	0	0	0	67	1820	70	1820
4001001	1	洞真·初境	120	1	300200101	1	0	0	0	0	68	10	71	10
4001002	1	洞真·中境	180	1	300200101	1	0	0	0	0	68	20	71	20
4001003	1	洞真·上境	240	1	300200101	2	0	0	0	0	68	30	71	30
4001004	1	洞真·圆满	300	1	300200101	2	0	0	0	0	68	40	71	40
4001005	1	洞神·初境	360	1	300200101	3	0	0	0	0	68	50	71	50
4001006	1	洞神·中境	420	1	300200101	3	0	0	0	0	68	60	71	60
4001007	1	洞神·上境	480	1	300200101	4	0	0	0	0	68	70	71	70
4001008	1	洞神·圆满	540	1	300200101	4	0	0	0	0	68	80	71	80
4001009	1	洞玄·初境	600	1	300200101	5	0	0	0	0	68	90	71	90
4001010	1	洞玄·中境	660	1	300200101	5	0	0	0	0	68	100	71	100
4001011	1	洞玄·上境	720	1	300200101	6	0	0	0	0	68	112	71	112
4001012	1	洞玄·圆满	780	1	300200101	6	0	0	0	0	68	124	71	124
4002001	1	洞真·初境	840	1	300200101	7	0	0	0	0	68	136	71	136
4002002	1	洞真·中境	900	1	300200101	7	0	0	0	0	68	148	71	148
4002003	1	洞真·上境	960	1	300200101	8	0	0	0	0	68	160	71	160
4002004	1	洞真·圆满	1020	1	300200101	8	0	0	0	0	68	172	71	172
4002005	1	洞神·初境	1080	1	300200101	9	0	0	0	0	68	184	71	184
4002006	1	洞神·中境	1140	1	300200101	9	0	0	0	0	68	196	71	196
4002007	1	洞神·上境	1200	1	300200101	10	0	0	0	0	68	208	71	208
4002008	1	洞神·圆满	1260	1	300200101	10	0	0	0	0	68	220	71	220
4002009	1	洞玄·初境	1320	1	300200101	11	0	0	0	0	68	238	71	238
4002010	1	洞玄·中境	1380	1	300200101	11	0	0	0	0	68	256	71	256
4002011	1	洞玄·上境	1440	1	300200101	12	0	0	0	0	68	274	71	274
4002012	1	洞玄·圆满	1500	1	300200101	12	0	0	0	0	68	292	71	292
4003001	1	洞真·初境	1560	1	300200101	13	0	0	0	0	68	310	71	310
4003002	1	洞真·中境	1620	1	300200101	13	0	0	0	0	68	328	71	328
4003003	1	洞真·上境	1680	1	300200101	14	0	0	0	0	68	346	71	346
4003004	1	洞真·圆满	1740	1	300200101	14	0	0	0	0	68	364	71	364
4003005	1	洞神·初境	1800	1	300200101	15	0	0	0	0	68	382	71	382
4003006	1	洞神·中境	1860	1	300200101	15	0	0	0	0	68	400	71	400
4003007	1	洞神·上境	1920	1	300200101	16	0	0	0	0	68	430	71	430
4003008	1	洞神·圆满	1980	1	300200101	16	0	0	0	0	68	460	71	460
4003009	1	洞玄·初境	2040	1	300200101	17	0	0	0	0	68	490	71	490
4003010	1	洞玄·中境	2100	1	300200101	17	0	0	0	0	68	520	71	520
4003011	1	洞玄·上境	2160	1	300200101	18	0	0	0	0	68	550	71	550
4003012	1	洞玄·圆满	2220	1	300200101	18	0	0	0	0	68	580	71	580
4004001	1	洞真·初境	2280	1	300200101	19	0	0	0	0	68	610	71	610
4004002	1	洞真·中境	2340	1	300200101	19	0	0	0	0	68	640	71	640
4004003	1	洞真·上境	2400	1	300200101	20	0	0	0	0	68	670	71	670
4004004	1	洞真·圆满	2460	1	300200101	20	0	0	0	0	68	700	71	700
4004005	1	洞神·初境	2520	1	300200101	21	0	0	0	0	68	747	71	747
4004006	1	洞神·中境	2580	1	300200101	21	0	0	0	0	68	794	71	794
4004007	1	洞神·上境	2640	1	300200101	22	0	0	0	0	68	841	71	841
4004008	1	洞神·圆满	2700	1	300200101	22	0	0	0	0	68	888	71	888
4004009	1	洞玄·初境	2760	1	300200101	23	0	0	0	0	68	935	71	935
4004010	1	洞玄·中境	2820	1	300200101	23	0	0	0	0	68	982	71	982
4004011	1	洞玄·上境	2880	1	300200101	24	0	0	0	0	68	1029	71	1029
4004012	1	洞玄·圆满	2940	1	300200101	24	0	0	0	0	68	1076	71	1076
4005001	1	洞真·初境	3000	1	300200101	25	0	0	0	0	68	1123	71	1123
4005002	1	洞真·中境	3060	1	300200101	25	0	0	0	0	68	1170	71	1170
4005003	1	洞真·上境	3120	1	300200101	26	0	0	0	0	68	1235	71	1235
4005004	1	洞真·圆满	3180	1	300200101	26	0	0	0	0	68	1300	71	1300
4005005	1	洞神·初境	3240	1	300200101	27	0	0	0	0	68	1365	71	1365
4005006	1	洞神·中境	3300	1	300200101	27	0	0	0	0	68	1430	71	1430
4005007	1	洞神·上境	3360	1	300200101	28	0	0	0	0	68	1495	71	1495
4005008	1	洞神·圆满	3420	1	300200101	28	0	0	0	0	68	1560	71	1560
4005009	1	洞玄·初境	3480	1	300200101	29	0	0	0	0	68	1625	71	1625
4005010	1	洞玄·中境	3540	1	300200101	29	0	0	0	0	68	1690	71	1690
4005011	1	洞玄·上境	3600	1	300200101	30	0	0	0	0	68	1755	71	1755
4005012	1	洞玄·圆满	-1	1	300200101	-1	0	0	0	0	68	1820	71	1820
5001001	1	洞真·初境	120	1	300200101	1	0	0	0	0	0	0	0	0
5001002	1	洞真·中境	180	1	300200101	1	0	0	0	0	0	0	0	0
5001003	1	洞真·上境	240	1	300200101	2	0	0	0	0	0	0	0	0
5001004	1	洞真·圆满	300	1	300200101	2	0	0	0	0	0	0	0	0
5001005	1	洞神·初境	360	1	300200101	3	0	0	0	0	0	0	0	0
5001006	1	洞神·中境	420	1	300200101	3	0	0	0	0	0	0	0	0
5001007	1	洞神·上境	480	1	300200101	4	0	0	0	0	0	0	0	0
5001008	1	洞神·圆满	540	1	300200101	4	0	0	0	0	0	0	0	0
5001009	1	洞玄·初境	600	1	300200101	5	0	0	0	0	0	0	0	0
5001010	1	洞玄·中境	660	1	300200101	5	0	0	0	0	0	0	0	0
5001011	1	洞玄·上境	720	1	300200101	6	0	0	0	0	0	0	0	0
5001012	1	洞玄·圆满	780	1	300200101	6	0	0	0	0	0	0	0	0
5002001	1	洞真·初境	840	1	300200101	7	0	0	0	0	0	0	0	0
5002002	1	洞真·中境	900	1	300200101	7	0	0	0	0	0	0	0	0
5002003	1	洞真·上境	960	1	300200101	8	0	0	0	0	0	0	0	0
5002004	1	洞真·圆满	1020	1	300200101	8	0	0	0	0	0	0	0	0
5002005	1	洞神·初境	1080	1	300200101	9	0	0	0	0	0	0	0	0
5002006	1	洞神·中境	1140	1	300200101	9	0	0	0	0	0	0	0	0
5002007	1	洞神·上境	1200	1	300200101	10	0	0	0	0	0	0	0	0
5002008	1	洞神·圆满	1260	1	300200101	10	0	0	0	0	0	0	0	0
5002009	1	洞玄·初境	1320	1	300200101	11	0	0	0	0	0	0	0	0
5002010	1	洞玄·中境	1380	1	300200101	11	0	0	0	0	0	0	0	0
5002011	1	洞玄·上境	1440	1	300200101	12	0	0	0	0	0	0	0	0
5002012	1	洞玄·圆满	1500	1	300200101	12	0	0	0	0	0	0	0	0
5003001	1	洞真·初境	1560	1	300200101	13	0	0	0	0	0	0	0	0
5003002	1	洞真·中境	1620	1	300200101	13	0	0	0	0	0	0	0	0
5003003	1	洞真·上境	1680	1	300200101	14	0	0	0	0	0	0	0	0
5003004	1	洞真·圆满	1740	1	300200101	14	0	0	0	0	0	0	0	0
5003005	1	洞神·初境	1800	1	300200101	15	0	0	0	0	0	0	0	0
5003006	1	洞神·中境	1860	1	300200101	15	0	0	0	0	0	0	0	0
5003007	1	洞神·上境	1920	1	300200101	16	0	0	0	0	0	0	0	0
5003008	1	洞神·圆满	1980	1	300200101	16	0	0	0	0	0	0	0	0
5003009	1	洞玄·初境	2040	1	300200101	17	0	0	0	0	0	0	0	0
5003010	1	洞玄·中境	2100	1	300200101	17	0	0	0	0	0	0	0	0
5003011	1	洞玄·上境	2160	1	300200101	18	0	0	0	0	0	0	0	0
5003012	1	洞玄·圆满	2220	1	300200101	18	0	0	0	0	0	0	0	0
5004001	1	洞真·初境	2280	1	300200101	19	0	0	0	0	0	0	0	0
5004002	1	洞真·中境	2340	1	300200101	19	0	0	0	0	0	0	0	0
5004003	1	洞真·上境	2400	1	300200101	20	0	0	0	0	0	0	0	0
5004004	1	洞真·圆满	2460	1	300200101	20	0	0	0	0	0	0	0	0
5004005	1	洞神·初境	2520	1	300200101	21	0	0	0	0	0	0	0	0
5004006	1	洞神·中境	2580	1	300200101	21	0	0	0	0	0	0	0	0
5004007	1	洞神·上境	2640	1	300200101	22	0	0	0	0	0	0	0	0
5004008	1	洞神·圆满	2700	1	300200101	22	0	0	0	0	0	0	0	0
5004009	1	洞玄·初境	2760	1	300200101	23	0	0	0	0	0	0	0	0
5004010	1	洞玄·中境	2820	1	300200101	23	0	0	0	0	0	0	0	0
5004011	1	洞玄·上境	2880	1	300200101	24	0	0	0	0	0	0	0	0
5004012	1	洞玄·圆满	2940	1	300200101	24	0	0	0	0	0	0	0	0
5005001	1	洞真·初境	3000	1	300200101	25	0	0	0	0	0	0	0	0
5005002	1	洞真·中境	3060	1	300200101	25	0	0	0	0	0	0	0	0
5005003	1	洞真·上境	3120	1	300200101	26	0	0	0	0	0	0	0	0
5005004	1	洞真·圆满	3180	1	300200101	26	0	0	0	0	0	0	0	0
5005005	1	洞神·初境	3240	1	300200101	27	0	0	0	0	0	0	0	0
5005006	1	洞神·中境	3300	1	300200101	27	0	0	0	0	0	0	0	0
5005007	1	洞神·上境	3360	1	300200101	28	0	0	0	0	0	0	0	0
5005008	1	洞神·圆满	3420	1	300200101	28	0	0	0	0	0	0	0	0
5005009	1	洞玄·初境	3480	1	300200101	29	0	0	0	0	0	0	0	0
5005010	1	洞玄·中境	3540	1	300200101	29	0	0	0	0	0	0	0	0
5005011	1	洞玄·上境	3600	1	300200101	30	0	0	0	0	0	0	0	0
5005012	1	洞玄·圆满	-1	1	300200101	-1	0	0	0	0	0	0	0	0
6001001	1	洞真·初境	120	1	300200101	1	0	0	0	0	0	0	0	0
6001002	1	洞真·中境	180	1	300200101	1	0	0	0	0	0	0	0	0
6001003	1	洞真·上境	240	1	300200101	2	0	0	0	0	0	0	0	0
6001004	1	洞真·圆满	300	1	300200101	2	0	0	0	0	0	0	0	0
6001005	1	洞神·初境	360	1	300200101	3	0	0	0	0	0	0	0	0
6001006	1	洞神·中境	420	1	300200101	3	0	0	0	0	0	0	0	0
6001007	1	洞神·上境	480	1	300200101	4	0	0	0	0	0	0	0	0
6001008	1	洞神·圆满	540	1	300200101	4	0	0	0	0	0	0	0	0
6001009	1	洞玄·初境	600	1	300200101	5	0	0	0	0	0	0	0	0
6001010	1	洞玄·中境	660	1	300200101	5	0	0	0	0	0	0	0	0
6001011	1	洞玄·上境	720	1	300200101	6	0	0	0	0	0	0	0	0
6001012	1	洞玄·圆满	780	1	300200101	6	0	0	0	0	0	0	0	0
6002001	1	洞真·初境	840	1	300200101	7	0	0	0	0	0	0	0	0
6002002	1	洞真·中境	900	1	300200101	7	0	0	0	0	0	0	0	0
6002003	1	洞真·上境	960	1	300200101	8	0	0	0	0	0	0	0	0
6002004	1	洞真·圆满	1020	1	300200101	8	0	0	0	0	0	0	0	0
6002005	1	洞神·初境	1080	1	300200101	9	0	0	0	0	0	0	0	0
6002006	1	洞神·中境	1140	1	300200101	9	0	0	0	0	0	0	0	0
6002007	1	洞神·上境	1200	1	300200101	10	0	0	0	0	0	0	0	0
6002008	1	洞神·圆满	1260	1	300200101	10	0	0	0	0	0	0	0	0
6002009	1	洞玄·初境	1320	1	300200101	11	0	0	0	0	0	0	0	0
6002010	1	洞玄·中境	1380	1	300200101	11	0	0	0	0	0	0	0	0
6002011	1	洞玄·上境	1440	1	300200101	12	0	0	0	0	0	0	0	0
6002012	1	洞玄·圆满	1500	1	300200101	12	0	0	0	0	0	0	0	0
6003001	1	洞真·初境	1560	1	300200101	13	0	0	0	0	0	0	0	0
