强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	有效标志	强化等级	等级限制	消耗货币类型(0不耗货币，200经验，201修为，202金币，203绑金，204元宝，205绑元)<填0的时候，不会扣除货币，但仍然会根据消耗货币数量字段去做累积积分的计算，以便做强化继承>	消耗货币数量<同时也是计算继承时需要用的累积积分>	消耗道具ID	消耗道具数量	提升比例系数(万分比)	剑客提升固定值1	剑客提升固定值2	剑客提升固定值3	御灵提升固定值4	御灵提升固定值5	御灵提升固定值6	刀客提升固定值7	刀客提升固定值8	刀客提升固定值9	弓手提升固定值10	弓手提升固定值11	弓手提升固定值12	强化成功率	成功率增量	强化暴击率	强化激活主键	强化激活副键	增加战力值	基础概率作假系数1	基础概率作假系数2	基础概率作假系数3	基础概率作假系数4	基础概率作假系数5	基础概率作假系数6	基础概率作假系数7	基础概率作假系数8	基础概率作假系数9	基础概率作假系数10	失败加成作假系数1	失败加成作假系数2	失败加成作假系数3	失败加成作假系数4	失败加成作假系数5	失败加成作假系数6	失败加成作假系数7	失败加成作假系数8	失败加成作假系数9	失败加成作假系数10	必成积分阈值	下级激活属性显示(如果不是-1，要配置强化激活显示的下级等级)
10000	1	9	40	203	3300	400400100	4	5400	530	0	0	477	0	0	398	0	0	663	0	0	8000	1000	0	0	0	623	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	10	40	203	3500	400400100	4	6000	589	0	0	530	0	0	442	0	0	736	0	0	7500	1000	0	0	0	706	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	11	40	203	5000	400400100	4	6600	648	0	0	583	0	0	486	0	0	810	0	0	7500	1000	0	0	0	808	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	12	40	203	6500	400400100	4	7200	707	0	0	636	0	0	530	0	0	884	0	0	7000	1000	0	0	0	910	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	13	40	203	8000	400400100	4	7800	766	0	0	689	0	0	575	0	0	958	0	0	7000	1000	0	0	0	1012	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	14	40	203	9500	400400100	4	8400	825	0	0	743	0	0	619	0	0	1031	0	0	6000	1000	0	0	0	1115	10000	10000	15000	20000	20000	20000	20000	20000	20000	20000	10000	10000	2500	10000	10000	10000	10000	10000	10000	10000	2000	-1
10000	1	15	40	203	11000	400400100	4	9000	883	0	0	795	0	0	662	0	0	1104	0	0	6000	1000	0	0	0	1217	8000	10000	10000	15000	20000	20000	20000	20000	20000	20000	13000	10000	10000	2500	10000	10000	10000	10000	10000	10000	2000	-1
10000	1	16	40	203	13000	400400100	4	9600	942	0	0	848	0	0	707	0	0	1178	0	0	5000	1000	0	0	0	1319	8000	10000	10000	15000	20000	20000	20000	20000	20000	20000	12000	10000	10000	5000	10000	10000	10000	10000	10000	10000	2000	-1
10000	1	17	40	203	14000	400400100	4	10200	1001	0	0	901	0	0	751	0	0	1251	0	0	5000	1000	0	0	0	1421	8000	10000	10000	15000	20000	20000	20000	20000	20000	20000	12000	10000	10000	5000	10000	10000	10000	10000	10000	10000	2000	-1
10000	1	18	40	203	16000	400400100	4	10800	1060	0	0	954	0	0	795	0	0	1325	0	0	4000	1000	0	0	0	1524	8000	10000	10000	15000	20000	20000	20000	20000	20000	20000	11333	10000	10000	6667	3333	3333	3333	3333	3333	3333	2000	-1
10000	1	19	40	203	17000	400400100	4	11400	1119	0	0	1007	0	0	839	0	0	1399	0	0	4000	1000	0	0	0	1626	8000	10000	10000	15000	20000	20000	20000	20000	20000	20000	11333	10000	10000	6667	3333	3333	3333	3333	3333	3333	2000	-1
10000	1	20	40	203	18000	400400101	4	12000	1178	0	0	1060	0	0	884	0	0	1473	0	0	10000	1000	0	0	0	1728	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	21	40	203	19000	400400101	4	12600	1254	0	0	1129	0	0	941	0	0	1568	0	0	10000	1000	0	0	0	1900	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	22	40	203	20000	400400101	4	13200	1331	0	0	1198	0	0	998	0	0	1664	0	0	9000	1000	0	0	0	2073	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	46000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	23	40	203	21000	400400101	4	13800	1407	0	0	1266	0	0	1055	0	0	1759	0	0	9000	1000	0	0	0	2245	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	46000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	24	40	203	22000	400400101	4	14400	1484	0	0	1336	0	0	1113	0	0	1855	0	0	8000	1000	0	0	0	2417	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	26000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	25	50	203	23000	400400101	4	15000	1560	0	0	1404	0	0	1170	0	0	1950	0	0	8000	1000	0	0	0	2590	2000	8000	10000	10000	15000	20000	20000	20000	20000	20000	42000	18000	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	26	50	203	24000	400400101	4	15600	1636	0	0	1472	0	0	1227	0	0	2045	0	0	7000	1000	0	0	0	2762	2000	8000	10000	10000	15000	20000	20000	20000	20000	20000	28667	14667	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	27	50	203	25000	400400101	4	16200	1713	0	0	1542	0	0	1285	0	0	2141	0	0	7000	1000	0	0	0	2934	2000	8000	10000	10000	15000	20000	20000	20000	20000	20000	28667	14667	10000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	28	50	203	26000	400400101	4	16800	1789	0	0	1610	0	0	1342	0	0	2236	0	0	6000	1000	0	0	0	3107	2000	8000	10000	10000	15000	20000	20000	20000	20000	20000	22000	13000	10000	10000	2500	10000	10000	10000	10000	10000	2000	-1
10000	1	29	50	203	27000	400400101	4	17400	1865	0	0	1679	0	0	1399	0	0	2331	0	0	6000	1000	0	0	0	3279	2000	8000	10000	10000	15000	20000	20000	20000	20000	20000	22000	13000	10000	10000	2500	10000	10000	10000	10000	10000	2000	-1
10000	1	30	60	203	30000	400400101	4	18000	1942	0	0	1748	0	0	1457	0	0	2428	0	0	5000	1000	0	0	0	3451	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	10000	10000	10000	10000	2000	-1
10000	1	31	60	203	31000	400400101	4	18600	2032	0	0	1829	0	0	1524	0	0	2540	0	0	5000	1000	0	0	0	3783	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	10000	10000	10000	10000	2000	-1
10000	1	32	60	203	33000	400400101	4	19200	2123	0	0	1911	0	0	1592	0	0	2654	0	0	4000	1000	0	0	0	4114	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	16667	12667	10000	10000	6667	3333	3333	3333	3333	3333	2000	-1
10000	1	33	60	203	34000	400400101	4	19800	2213	0	0	1992	0	0	1660	0	0	2766	0	0	4000	1000	0	0	0	4446	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	16667	12667	10000	10000	6667	3333	3333	3333	3333	3333	2000	-1
10000	1	34	60	203	36000	400400101	4	20400	2304	0	0	2074	0	0	1728	0	0	2880	0	0	3000	1000	0	0	0	4778	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	14286	11714	10000	10000	7857	5714	5714	5714	5714	5714	2000	-1
10000	1	35	70	203	37000	400400101	4	21000	2394	0	0	2155	0	0	1796	0	0	2993	0	0	3000	1000	0	0	0	5109	0	2000	8000	10000	10000	15000	20000	20000	20000	20000	14286	13429	10857	10000	10000	7857	5714	5714	5714	5714	2000	-1
10000	1	36	70	203	39000	400400101	4	21600	2485	0	0	2237	0	0	1864	0	0	3106	0	0	2500	1000	0	0	0	5441	0	2000	8000	10000	10000	15000	20000	20000	20000	20000	12500	11875	10000	10000	10000	7813	6250	6250	6250	6250	3000	-1
10000	1	37	70	203	40000	400400101	4	22200	2575	0	0	2318	0	0	1931	0	0	3219	0	0	2500	1000	0	0	0	5773	0	2000	8000	10000	10000	15000	20000	20000	20000	20000	12500	11875	10000	10000	10000	7813	6250	6250	6250	6250	3000	-1
10000	1	38	70	203	42000	400400101	4	22800	2665	0	0	2399	0	0	1999	0	0	3331	0	0	2000	1000	0	0	0	6104	0	2000	8000	10000	10000	15000	20000	20000	20000	20000	12500	12000	10500	10000	10000	8750	7500	7500	7500	7500	3000	-1
10000	1	39	70	203	43000	400400101	4	23400	2756	0	0	2480	0	0	2067	0	0	3445	0	0	2000	1000	0	0	0	6436	0	2000	8000	10000	10000	15000	20000	20000	20000	20000	12500	12000	10500	10000	10000	8750	7500	7500	7500	7500	3000	-1
10000	1	40	1080	203	50000	400400102	4	24000	2846	0	0	2561	0	0	2135	0	0	3558	0	0	10000	1000	0	0	0	6768	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	41	1080	203	53000	400400102	4	24600	2953	0	0	2658	0	0	2215	0	0	3691	0	0	10000	1000	0	0	0	7333	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	42	1080	203	56000	400400102	4	25200	3059	0	0	2753	0	0	2294	0	0	3824	0	0	9000	1000	0	0	0	7899	0	0	6000	10000	10000	15000	20000	20000	20000	20000	100000	100000	46000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	43	1080	203	59000	400400102	4	25800	3165	0	0	2849	0	0	2374	0	0	3956	0	0	9000	1000	0	0	0	8464	0	0	6000	10000	10000	15000	20000	20000	20000	20000	100000	100000	46000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	44	1080	203	62000	400400102	4	26400	3271	0	0	2944	0	0	2453	0	0	4089	0	0	8000	1000	0	0	0	9029	0	0	6000	10000	10000	15000	20000	20000	20000	20000	50000	50000	26000	10000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	45	1090	203	65000	400400102	4	27000	3378	0	0	3040	0	0	2534	0	0	4223	0	0	8000	1000	0	0	0	9595	0	0	2000	8000	10000	10000	15000	20000	20000	20000	50000	50000	42000	18000	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	46	1090	203	68000	400400102	4	27600	3484	0	0	3136	0	0	2613	0	0	4355	0	0	7000	1000	0	0	0	10160	0	0	2000	8000	10000	10000	15000	20000	20000	20000	33333	33333	28667	14667	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	47	1090	203	71000	400400102	4	28200	3590	0	0	3231	0	0	2693	0	0	4488	0	0	7000	1000	0	0	0	10726	0	0	2000	8000	10000	10000	15000	20000	20000	20000	33333	33333	28667	14667	10000	10000	10000	10000	10000	10000	1000	-1
10000	1	48	1090	203	74000	400400102	4	28800	3696	0	0	3326	0	0	2772	0	0	4620	0	0	6000	1000	0	0	0	11291	0	0	2000	8000	10000	10000	15000	20000	20000	20000	25000	25000	22000	13000	10000	10000	2500	10000	10000	10000	2000	-1
10000	1	49	1090	203	77000	400400102	4	29400	3803	0	0	3423	0	0	2852	0	0	4754	0	0	6000	1000	0	0	0	11856	0	0	2000	8000	10000	10000	15000	20000	20000	20000	25000	25000	22000	13000	10000	10000	2500	10000	10000	10000	2000	-1
10000	1	50	2100	203	85000	400400102	4	30000	3909	0	0	3518	0	0	2932	0	0	4886	0	0	5000	1000	0	0	0	12422	0	0	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	10000	10000	2000	-1
10000	1	51	2100	203	90000	400400102	4	30600	4033	0	0	3630	0	0	3025	0	0	5041	0	0	5000	1000	0	0	0	13364	0	0	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	10000	10000	2000	-1
10000	1	52	2100	203	95000	400400102	4	31200	4158	0	0	3742	0	0	3119	0	0	5198	0	0	4000	1000	0	0	0	14306	0	0	0	6000	10000	10000	15000	20000	20000	20000	16667	16667	16667	12667	10000	10000	6667	3333	3333	3333	2000	-1
10000	1	53	2100	203	100000	400400102	4	31800	4282	0	0	3854	0	0	3212	0	0	5353	0	0	4000	1000	0	0	0	15248	0	0	0	6000	10000	10000	15000	20000	20000	20000	16667	16667	16667	12667	10000	10000	6667	3333	3333	3333	2000	-1
10000	1	54	2100	203	110000	400400102	4	32400	4407	0	0	3966	0	0	3305	0	0	5509	0	0	3000	1000	0	0	0	16191	0	0	0	6000	10000	10000	15000	20000	20000	20000	14286	14286	14286	11714	10000	10000	7857	5714	5714	5714	2000	-1
10000	1	55	2110	203	110000	400400102	4	33000	4531	0	0	4078	0	0	3398	0	0	5664	0	0	3000	1000	0	0	0	17133	0	0	0	2000	8000	10000	10000	15000	20000	20000	14286	14286	14286	13429	10857	10000	10000	7857	5714	5714	2000	-1
10000	1	56	2110	203	120000	400400102	4	33600	4656	0	0	4190	0	0	3492	0	0	5820	0	0	2500	1000	0	0	0	18075	0	0	0	2000	8000	10000	10000	15000	20000	20000	12500	12500	12500	11875	10000	10000	10000	7813	6250	6250	3000	-1
10000	1	57	2110	203	120000	400400102	4	34200	4780	0	0	4302	0	0	3585	0	0	5975	0	0	2500	1000	0	0	0	19017	0	0	0	2000	8000	10000	10000	15000	20000	20000	12500	12500	12500	11875	10000	10000	10000	7813	6250	6250	3000	-1
10000	1	58	2110	203	130000	400400102	4	34800	4905	0	0	4415	0	0	3679	0	0	6131	0	0	2000	1000	0	0	0	19960	0	0	0	2000	8000	10000	10000	15000	20000	20000	12500	12500	12500	12000	10500	10000	10000	8750	7500	7500	3000	-1
10000	1	59	2110	203	130000	400400102	4	35400	5029	0	0	4526	0	0	3772	0	0	6286	0	0	2000	1000	0	0	0	20902	0	0	0	2000	8000	10000	10000	15000	20000	20000	12500	12500	12500	12000	10500	10000	10000	8750	7500	7500	3000	-1
10000	1	60	3120	203	150000	400400103	4	36000	5154	0	0	4639	0	0	3866	0	0	6443	0	0	10000	1000	0	0	0	21844	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	61	3120	203	150000	400400103	4	36600	5300	0	0	4770	0	0	3975	0	0	6625	0	0	10000	1000	0	0	0	23402	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	62	3120	203	160000	400400103	4	37200	5446	0	0	4901	0	0	4085	0	0	6808	0	0	9000	1000	0	0	0	24961	0	0	0	0	6000	10000	10000	15000	20000	20000	100000	100000	100000	100000	46000	10000	10000	10000	10000	10000	1000	-1
10000	1	63	3120	203	160000	400400103	4	37800	5592	0	0	5033	0	0	4194	0	0	6990	0	0	9000	1000	0	0	0	26519	0	0	0	0	6000	10000	10000	15000	20000	20000	100000	100000	100000	100000	46000	10000	10000	10000	10000	10000	1000	-1
10000	1	64	3120	203	170000	400400103	4	38400	5738	0	0	5164	0	0	4304	0	0	7173	0	0	8000	1000	0	0	0	28078	0	0	0	0	6000	10000	10000	15000	20000	20000	50000	50000	50000	50000	26000	10000	10000	10000	10000	10000	1000	-1
10000	1	65	3130	203	180000	400400103	4	39000	5884	0	0	5296	0	0	4413	0	0	7355	0	0	8000	1000	0	0	0	29636	0	0	0	0	2000	8000	10000	10000	15000	20000	50000	50000	50000	50000	42000	18000	10000	10000	10000	10000	1000	-1
10000	1	66	3130	203	180000	400400103	4	39600	6030	0	0	5427	0	0	4523	0	0	7538	0	0	7000	1000	0	0	0	31194	0	0	0	0	2000	8000	10000	10000	15000	20000	33333	33333	33333	33333	28667	14667	10000	10000	10000	10000	1000	-1
10000	1	67	3130	203	190000	400400103	4	40200	6176	0	0	5558	0	0	4632	0	0	7720	0	0	7000	1000	0	0	0	32753	0	0	0	0	2000	8000	10000	10000	15000	20000	33333	33333	33333	33333	28667	14667	10000	10000	10000	10000	1000	-1
10000	1	68	3130	203	190000	400400103	4	40800	6322	0	0	5690	0	0	4742	0	0	7903	0	0	6000	1000	0	0	0	34311	0	0	0	0	2000	8000	10000	10000	15000	20000	25000	25000	25000	25000	22000	13000	10000	10000	2500	10000	2000	-1
10000	1	69	3130	203	200000	400400103	4	41400	6469	0	0	5822	0	0	4852	0	0	8086	0	0	6000	1000	0	0	0	35870	0	0	0	0	2000	8000	10000	10000	15000	20000	25000	25000	25000	25000	22000	13000	10000	10000	2500	10000	2000	-1
10000	1	70	4140	203	220000	400400103	4	42000	6615	0	0	5954	0	0	4961	0	0	8269	0	0	5000	1000	0	0	0	37428	0	0	0	0	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	2000	-1
10000	1	71	4140	203	230000	400400103	4	42600	6822	0	0	6140	0	0	5117	0	0	8528	0	0	5000	1000	0	0	0	40253	0	0	0	0	0	6000	10000	10000	15000	20000	20000	20000	20000	20000	20000	14000	10000	10000	5000	10000	2000	-1
10000	1	72	4140	203	230000	400400103	4	43200	7030	0	0	6327	0	0	5273	0	0	8788	0	0	4000	1000	0	0	0	43079	0	0	0	0	0	6000	10000	10000	15000	20000	16667	16667	16667	16667	16667	12667	10000	10000	6667	3333	2000	-1
10000	1	73	4140	203	240000	400400103	4	43800	7237	0	0	6513	0	0	5428	0	0	9046	0	0	4000	1000	0	0	0	45904	0	0	0	0	0	6000	10000	10000	15000	20000	16667	16667	16667	16667	16667	12667	10000	10000	6667	3333	2000	-1
10000	1	74	4140	203	250000	400400103	4	44400	7445	0	0	6701	0	0	5584	0	0	9306	0	0	3000	1000	0	0	0	48729	0	0	0	0	0	6000	10000	10000	15000	20000	14286	14286	14286	14286	14286	11714	10000	10000	7857	5714	2000	-1
10000	1	75	4150	203	260000	400400103	4	45000	7652	0	0	6887	0	0	5739	0	0	9565	0	0	3000	1000	0	0	0	51555	0	0	0	0	0	2000	8000	10000	10000	15000	14286	14286	14286	14286	14286	13429	10857	10000	10000	7857	2000	-1
10000	1	76	4150	203	270000	400400103	4	45600	7860	0	0	7074	0	0	5895	0	0	9825	0	0	2500	1000	0	0	0	54380	0	0	0	0	0	2000	8000	10000	10000	15000	12500	12500	12500	12500	12500	11875	10000	10000	10000	7813	3000	-1
10000	1	77	4150	203	270000	400400103	4	46200	8067	0	0	7260	0	0	6050	0	0	10084	0	0	2500	1000	0	0	0	57205	0	0	0	0	0	2000	8000	10000	10000	15000	12500	12500	12500	12500	12500	11875	10000	10000	10000	7813	3000	-1
10000	1	78	4150	203	280000	400400103	4	46800	8275	0	0	7448	0	0	6206	0	0	10344	0	0	2000	1000	0	0	0	60031	0	0	0	0	0	2000	8000	10000	10000	15000	12500	12500	12500	12500	12500	12000	10500	10000	10000	8750	3000	-1
10000	1	79	4150	203	290000	400400103	4	47400	8482	0	0	7634	0	0	6362	0	0	10603	0	0	2000	1000	0	0	0	62856	0	0	0	0	0	2000	8000	10000	10000	15000	12500	12500	12500	12500	12500	12000	10500	10000	10000	8750	3000	-1
10000	1	80	5160	203	300000	400400104	4	48000	8690	0	0	7821	0	0	6518	0	0	10863	0	0	10000	1000	0	0	0	65681	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	81	5160	203	310000	400400104	4	48600	9140	0	0	8226	0	0	6855	0	0	11425	0	0	10000	1000	0	0	0	72580	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	-1
10000	1	82	5160	203	310000	400400104	4	49200	9591	0	0	8632	0	0	7193	0	0	11989	0	0	9000	1000	0	0	0	79479	0	0	0	0	0	0	6000	10000	10000	10000	100000	100000	100000	100000	100000	100000	46000	10000	10000	10000	1000	-1
10000	1	83	5160	203	320000	400400104	4	49800	10042	0	0	9038	0	0	7532	0	0	12553	0	0	9000	1000	0	0	0	86378	0	0	0	0	0	0	6000	10000	10000	10000	100000	100000	100000	100000	100000	100000	46000	10000	10000	10000	1000	-1
10000	1	84	5160	203	330000	400400104	4	50400	10492	0	0	9443	0	0	7869	0	0	13115	0	0	8000	1000	0	0	0	93277	0	0	0	0	0	0	6000	10000	10000	10000	50000	50000	50000	50000	50000	50000	26000	10000	10000	10000	1000	-1
10000	1	85	5170	203	340000	400400104	4	51000	10943	0	0	9849	0	0	8207	0	0	13679	0	0	8000	1000	0	0	0	100176	0	0	0	0	0	0	2000	8000	10000	10000	50000	50000	50000	50000	50000	50000	42000	18000	10000	10000	1000	-1
10000	1	86	5170	203	350000	400400104	4	51600	11394	0	0	10255	0	0	8546	0	0	14243	0	0	7000	1000	0	0	0	107075	0	0	0	0	0	0	2000	8000	10000	10000	33333	33333	33333	33333	33333	33333	28667	14667	10000	10000	1000	-1
10000	1	87	5170	203	350000	400400104	4	52200	11844	0	0	10660	0	0	8883	0	0	14805	0	0	7000	1000	0	0	0	113974	0	0	0	0	0	0	2000	8000	10000	10000	33333	33333	33333	33333	33333	33333	28667	14667	10000	10000	1000	-1
10000	1	88	5170	203	360000	400400104	4	52800	12295	0	0	11066	0	0	9221	0	0	15369	0	0	6000	1000	0	0	0	120873	0	0	0	0	0	0	2000	8000	10000	10000	25000	25000	25000	25000	25000	25000	22000	13000	10000	10000	2000	-1
10000	1	89	5170	203	370000	400400104	4	53400	12746	0	0	11471	0	0	9560	0	0	15933	0	0	6000	1000	0	0	0	127772	0	0	0	0	0	0	2000	8000	10000	10000	25000	25000	25000	25000	25000	25000	22000	13000	10000	10000	2000	-1
10000	1	90	6180	203	380000	400400104	4	54000	13197	0	0	11877	0	0	9898	0	0	16496	0	0	5000	1000	0	0	0	134671	0	0	0	0	0	0	0	6000	10000	10000	20000	20000	20000	20000	20000	20000	20000	14000	10000	10000	2000	-1
10000	1	91	6180	203	390000	400400104	4	54600	13856	0	0	12470	0	0	10392	0	0	17320	0	0	5000	1000	0	0	0	148465	0	0	0	0	0	0	0	6000	10000	10000	20000	20000	20000	20000	20000	20000	20000	14000	10000	10000	2000	-1
10000	1	92	6180	203	390000	400400104	4	55200	14515	0	0	13064	0	0	10886	0	0	18144	0	0	4000	1000	0	0	0	162259	0	0	0	0	0	0	0	6000	10000	10000	16667	16667	16667	16667	16667	16667	16667	12667	10000	10000	2000	-1
