序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
50	410730004	1	11	100000	631	80011003	80011003	0	0	100000	0	0	[兽诀]中级吸血	410730004
51	410730005	1	11	80000	631	80011003	80011003	0	0	80000	0	0	[兽诀]中级连击	410730005
52	410730006	1	11	100000	631	80011003	80011003	0	0	100000	0	0	[兽诀]中级震荡	410730006
53	410730007	1	11	80000	631	80011003	80011003	0	0	80000	0	0	[兽诀]中级禁锢	410730007
54	410730008	1	11	80000	631	80011003	80011003	0	0	80000	0	0	[兽诀]中级沉默	410730008
55	410730009	1	11	60000	631	80011003	80011003	0	0	60000	0	0	[兽诀]中级减速	410730009
56	410730010	1	11	60000	631	80011003	80011003	0	0	60000	0	0	[兽诀]中级回复	410730010
57	410730011	1	11	60000	631	80011003	80011003	0	0	60000	0	0	[兽诀]中级反弹	410730011
58	410740001	1	11	300000	631	80011006	80011006	0	0	300000	0	0	[兽诀]高级灵台之祭	410740001
59	410740002	1	11	250000	631	80011006	80011006	0	0	250000	0	0	[兽诀]高级尔虞我诈	410740002
60	410740003	1	11	250000	631	80011006	80011006	0	0	250000	0	0	[兽诀]高级霸王气息	410740003
61	410740004	1	11	250000	631	80011006	80011006	0	0	250000	0	0	[兽诀]高级吸血	410740004
62	410740005	1	11	200000	631	80011006	80011006	0	0	200000	0	0	[兽诀]高级连击	410740005
63	410740006	1	11	250000	631	80011006	80011006	0	0	250000	0	0	[兽诀]高级震荡	410740006
64	410740007	1	11	200000	631	80011006	80011006	0	0	200000	0	0	[兽诀]高级禁锢	410740007
65	410740008	1	11	200000	631	80011006	80011006	0	0	200000	0	0	[兽诀]高级沉默	410740008
66	410740009	1	11	150000	631	80011006	80011006	0	0	150000	0	0	[兽诀]高级减速	410740009
67	410740010	1	11	150000	631	80011006	80011006	0	0	150000	0	0	[兽诀]高级回复	410740010
68	410740011	1	11	150000	631	80011006	80011006	0	0	150000	0	0	[兽诀]高级反弹	410740011
69	422110100	1	11	16000	626	90000001	90000001	0	0	16000	0	0	[昆仑秘籍]天剑	422110100
70	422110101	1	11	16000	626	90000001	90000001	0	0	16000	0	0	[昆仑秘籍]御风	422110101
71	422110102	1	11	16000	626	90000001	90000001	0	0	16000	0	0	[昆仑秘籍]神剑	422110102
72	422110103	1	11	16000	626	90000001	90000001	0	0	16000	0	0	[昆仑秘籍]霜龙	422110103
73	422120100	1	11	16000	626	90000002	90000002	0	0	16000	0	0	[琉璃秘籍]藤语	422120100
74	422120101	1	11	16000	626	90000002	90000002	0	0	16000	0	0	[琉璃秘籍]花影	422120101
75	422120102	1	11	16000	626	90000002	90000002	0	0	16000	0	0	[琉璃秘籍]繁花	422120102
76	422120103	1	11	16000	626	90000002	90000002	0	0	16000	0	0	[琉璃秘籍]花灵	422120103
77	422130100	1	11	16000	626	90000003	90000003	0	0	16000	0	0	[乾坤秘籍]焰锋	422130100
78	422130101	1	11	16000	626	90000003	90000003	0	0	16000	0	0	[乾坤秘籍]烬焱	422130101
79	422130102	1	11	16000	626	90000003	90000003	0	0	16000	0	0	[乾坤秘籍]风卷	422130102
80	422130103	1	11	16000	626	90000003	90000003	0	0	16000	0	0	[乾坤秘籍]霸体	422130103
81	422140100	1	11	16000	626	90000004	90000004	0	0	16000	0	0	[凤鸣秘籍]箭雨	422140100
82	422140101	1	11	16000	626	90000004	90000004	0	0	16000	0	0	[凤鸣秘籍]回雁	422140101
83	422140102	1	11	16000	626	90000004	90000004	0	0	16000	0	0	[凤鸣秘籍]凤凰	422140102
84	422140103	1	11	16000	626	90000004	90000004	0	0	16000	0	0	[凤鸣秘籍]流火	422140103
85	430200301	1	11	12000	627	80011021	80011021	0	0	12000	0	0	力量陨石	430200301
86	430200302	1	11	12000	627	80011021	80011021	0	0	12000	0	0	守护陨石	430200302
87	430200303	1	11	12000	627	80011021	80011021	0	0	12000	0	0	生命陨石	430200303
88	430200401	1	11	15000	627	80011022	80011022	0	0	15000	0	0	上古力量陨石	430200401
89	430200402	1	11	15000	627	80011022	80011022	0	0	15000	0	0	上古守护陨石	430200402
90	430200403	1	11	15000	627	80011022	80011022	0	0	15000	0	0	上古生命陨石	430200403
91	430200501	1	11	20000	627	80011023	80011023	0	0	20000	0	0	神赐力量陨石	430200501
92	430200502	1	11	20000	627	80011023	80011023	0	0	20000	0	0	神赐守护陨石	430200502
93	430200503	1	11	20000	627	80011023	80011023	0	0	20000	0	0	神赐生命陨石	430200503
94	320600101	1	11	60000	632	0	0	0	0	60000	0	0	绿色龙魂(7天)	320600101
