序列号	道具ID	消耗类型(货币、2道具、3consume)	货币ID	价格	状态限制	次数限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	生成概率1	生成数量1	生成概率2	生成数量2	生成概率3	生成数量3	生成概率4	生成数量4
60	422110103	1	5	4800	90000001	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
61	422120100	1	5	4800	90000002	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
62	422120101	1	5	4800	90000002	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
63	422120102	1	5	4800	90000002	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
64	422120103	1	5	4800	90000002	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
65	422130100	1	5	4800	90000003	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
66	422130101	1	5	4800	90000003	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
67	422130102	1	5	4800	90000003	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
68	422130103	1	5	4800	90000003	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
69	422140100	1	5	4800	90000004	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
70	422140101	1	5	4800	90000004	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
71	422140102	1	5	4800	90000004	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
72	422140103	1	5	4800	90000004	0	0	0	0	1	0	0	0	0	0	1250	1	0	0
73	422140103	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	410400001	1	5	240	80002001	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
75	410400001	1	5	240	80002002	0	0	0	0	0	0	0	0	0	0	0	0	10000	14
76	410400001	1	5	240	80002003	0	0	0	0	0	0	0	0	0	0	0	0	10000	20
77	410400001	1	5	240	80002004	0	0	0	0	0	0	0	0	0	0	0	0	10000	25
78	410400001	1	5	240	80002005	0	0	0	0	0	0	0	0	0	0	0	0	10000	40
79	410400001	1	5	240	80002006	0	0	0	0	0	0	0	0	0	0	0	0	10000	55
80	410400001	1	5	240	80002007	0	0	0	0	0	0	0	0	0	0	0	0	10000	75
81	410400001	1	5	240	80002008	0	0	0	0	0	0	0	0	0	0	0	0	10000	105
82	400500530	1	5	60000	80002103	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
83	400500630	1	5	60000	80002104	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
84	400500540	1	5	100000	80002105	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
85	400500640	1	5	100000	80002106	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
86	400500550	1	5	200000	80002107	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
87	400500650	1	5	200000	80002108	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
88	400500560	1	5	300000	80002109	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
89	400500660	1	5	300000	80002110	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
90	400500570	1	5	500000	80002111	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
91	400500670	1	5	500000	80002112	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
92	400500580	1	5	900000	80002113	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
93	400500680	1	5	900000	80002114	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
94	400500590	1	5	1500000	80002115	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
95	400500690	1	5	1500000	80002116	0	0	0	0	0	0	0	0	0	0	0	0	10000	1
96	310160101	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
97	310160102	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
98	310160103	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
99	310160104	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
100	310160201	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
101	310160202	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
102	310160203	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
103	310160204	1	5	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
104	310160301	1	5	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10
105	400130100	1	5	3240	80002012	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
106	400130101	1	5	3240	80002012	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
107	400130102	1	5	3240	80002012	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
108	400130103	1	5	3240	80002012	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
109	400130200	1	5	9720	80002012	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
110	400130201	1	5	9720	80002012	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
111	400130202	1	5	9720	80002012	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
112	400130203	1	5	9720	80002012	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
113	400130300	1	5	29160	80002012	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
114	400130301	1	5	29160	80002012	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
115	400130302	1	5	29160	80002012	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
116	400130303	1	5	29160	80002012	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
117	400140100	1	5	6480	80002013	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
118	400140101	1	5	6480	80002013	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
119	400140102	1	5	6480	80002013	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
120	400140103	1	5	6480	80002013	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
121	400140200	1	5	19440	80002013	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
122	400140201	1	5	19440	80002013	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
123	400140202	1	5	19440	80002013	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
124	400140203	1	5	19440	80002013	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
125	400140300	1	5	58320	80002013	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
126	400140301	1	5	58320	80002013	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
127	400140302	1	5	58320	80002013	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
128	400140303	1	5	58320	80002013	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
129	400150100	1	5	9720	80002014	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
130	400150101	1	5	9720	80002014	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
131	400150102	1	5	9720	80002014	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
132	400150103	1	5	9720	80002014	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
133	400150200	1	5	29160	80002014	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
134	400150201	1	5	29160	80002014	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
135	400150202	1	5	29160	80002014	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
136	400150203	1	5	29160	80002014	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
137	400150300	1	5	87480	80002014	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
138	400150301	1	5	87480	80002014	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
139	400150302	1	5	87480	80002014	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
140	400150303	1	5	87480	80002014	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
141	400130100	1	5	2880	80002015	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
142	400130101	1	5	2880	80002015	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
143	400130102	1	5	2880	80002015	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
144	400130103	1	5	2880	80002015	0	1	0	3600	0	0	0	0	10000	1	0	0	0	0
145	400130200	1	5	8640	80002015	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
146	400130201	1	5	8640	80002015	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
147	400130202	1	5	8640	80002015	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
148	400130203	1	5	8640	80002015	0	1	0	10800	0	0	0	0	10000	1	0	0	0	0
149	400130300	1	5	25920	80002015	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
150	400130301	1	5	25920	80002015	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
151	400130302	1	5	25920	80002015	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
152	400130303	1	5	25920	80002015	0	1	0	32400	0	0	0	0	10000	1	0	0	0	0
153	400140100	1	5	5760	80002016	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
154	400140101	1	5	5760	80002016	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
155	400140102	1	5	5760	80002016	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
156	400140103	1	5	5760	80002016	0	1	0	7200	0	0	0	0	10000	1	0	0	0	0
157	400140200	1	5	17280	80002016	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
158	400140201	1	5	17280	80002016	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
159	400140202	1	5	17280	80002016	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
160	400140203	1	5	17280	80002016	0	1	0	21600	0	0	0	0	10000	1	0	0	0	0
161	400140300	1	5	51840	80002016	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
162	400140301	1	5	51840	80002016	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
163	400140302	1	5	51840	80002016	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
164	400140303	1	5	51840	80002016	0	1	0	64800	0	0	0	0	10000	1	0	0	0	0
165	400150100	1	5	8640	80002017	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
166	400150101	1	5	8640	80002017	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
167	400150102	1	5	8640	80002017	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
168	400150103	1	5	8640	80002017	0	1	0	10800	0	0	0	0	5000	1	0	0	0	0
169	400150200	1	5	25920	80002017	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
170	400150201	1	5	25920	80002017	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
171	400150202	1	5	25920	80002017	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
172	400150203	1	5	25920	80002017	0	1	0	32400	0	0	0	0	5000	1	0	0	0	0
173	400150300	1	5	77760	80002017	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
174	400150301	1	5	77760	80002017	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
175	400150302	1	5	77760	80002017	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
176	400150303	1	5	77760	80002017	0	1	0	97200	0	0	0	0	5000	1	0	0	0	0
