序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	显示限制
23	400700101	1	204	2800	0	41005403	41005403	0	0	3500	0	0	衣服神力结晶	不限
24	400700102	1	204	2800	0	41005405	41005405	0	0	3500	0	0	腰带神力结晶	不限
25	400700103	1	204	2800	0	41005404	41005404	0	0	3500	0	0	裤子神力结晶	不限
26	400700104	1	204	2800	0	41005407	41005407	0	0	3500	0	0	护腕神力结晶	不限
27	400700105	1	204	2800	0	41005403	41005403	0	0	3500	0	0	项链神力结晶	不限
28	400700106	1	204	2800	0	41005406	41005406	0	0	3500	0	0	戒指神力结晶	不限
29	400700107	1	204	2800	0	41005407	41005407	0	0	3500	0	0	护肩神力结晶	不限
30	400700108	1	204	2800	0	41005407	41005407	0	0	3500	0	0	帽子神力结晶	不限
31	400700109	1	204	2800	0	41005407	41005407	0	0	3500	0	0	鞋子神力结晶	不限
32	400800100	1	204	2800	0	41005424	41005407	0	0	3500	0	0	铸神之石	不限
33	321430020	1	204	22400	0	41005407	41005407	0	0	28000	0	0	[未鉴定]二阶武器神器	不限
34	321431020	1	204	22400	0	41005403	41005403	0	0	28000	0	0	[未鉴定]二阶衣服神器	不限
35	321432020	1	204	22400	0	41005405	41005405	0	0	28000	0	0	[未鉴定]二阶腰带神器	不限
36	321433020	1	204	22400	0	41005404	41005404	0	0	28000	0	0	[未鉴定]二阶裤子神器	不限
37	321434020	1	204	22400	0	41005407	41005407	0	0	28000	0	0	[未鉴定]二阶护腕神器	不限
38	321435020	1	204	22400	0	41005403	41005403	0	0	28000	0	0	[未鉴定]二阶项链神器	不限
39	321436020	1	204	22400	0	41005406	41005406	0	0	28000	0	0	[未鉴定]二阶戒指神器	不限
40	321437020	1	204	22400	0	41005407	41005407	0	0	28000	0	0	[未鉴定]二阶护肩神器	不限
41	321438020	1	204	22400	0	41005407	41005407	0	0	28000	0	0	[未鉴定]二阶帽子神器	不限
42	321439020	1	204	22400	0	41005407	41005407	0	0	28000	0	0	[未鉴定]二阶鞋子神器	不限
43	400700100	1	204	2100	0	41005425	41005412	0	0	3500	0	0	武器神力结晶	不限
44	400700101	1	204	2100	0	41005408	41005408	0	0	3500	0	0	衣服神力结晶	不限
45	400700102	1	204	2100	0	41005410	41005410	0	0	3500	0	0	腰带神力结晶	不限
46	400700103	1	204	2100	0	41005409	41005409	0	0	3500	0	0	裤子神力结晶	不限
47	400700104	1	204	2100	0	41005412	41005412	0	0	3500	0	0	护腕神力结晶	不限
48	400700105	1	204	2100	0	41005408	41005408	0	0	3500	0	0	项链神力结晶	不限
49	400700106	1	204	2100	0	41005411	41005411	0	0	3500	0	0	戒指神力结晶	不限
50	400700107	1	204	2100	0	41005412	41005412	0	0	3500	0	0	护肩神力结晶	不限
51	400700108	1	204	2100	0	41005412	41005412	0	0	3500	0	0	帽子神力结晶	不限
52	400700109	1	204	2100	0	41005412	41005412	0	0	3500	0	0	鞋子神力结晶	不限
53	400800100	1	204	2100	0	41005425	41005412	0	0	3500	0	0	铸神之石	不限
54	321430020	1	204	16800	0	41005412	41005412	0	0	28000	0	0	[未鉴定]二阶武器神器	不限
55	321431020	1	204	16800	0	41005408	41005408	0	0	28000	0	0	[未鉴定]二阶衣服神器	不限
56	321432020	1	204	16800	0	41005410	41005410	0	0	28000	0	0	[未鉴定]二阶腰带神器	不限
57	321433020	1	204	16800	0	41005409	41005409	0	0	28000	0	0	[未鉴定]二阶裤子神器	不限
58	321434020	1	204	16800	0	41005412	41005412	0	0	28000	0	0	[未鉴定]二阶护腕神器	不限
59	321435020	1	204	16800	0	41005408	41005408	0	0	28000	0	0	[未鉴定]二阶项链神器	不限
60	321436020	1	204	16800	0	41005411	41005411	0	0	28000	0	0	[未鉴定]二阶戒指神器	不限
61	321437020	1	204	16800	0	41005412	41005412	0	0	28000	0	0	[未鉴定]二阶护肩神器	不限
62	321438020	1	204	16800	0	41005412	41005412	0	0	28000	0	0	[未鉴定]二阶帽子神器	不限
63	321439020	1	204	16800	0	41005412	41005412	0	0	28000	0	0	[未鉴定]二阶鞋子神器	不限
64	400700100	1	204	1400	0	41005426	41005417	0	0	3500	0	0	武器神力结晶	不限
65	400700101	1	204	1400	0	41005413	41005413	0	0	3500	0	0	衣服神力结晶	不限
66	400700102	1	204	1400	0	41005415	41005415	0	0	3500	0	0	腰带神力结晶	不限
67	400700103	1	204	1400	0	41005414	41005414	0	0	3500	0	0	裤子神力结晶	不限
68	400700104	1	204	1400	0	41005417	41005417	0	0	3500	0	0	护腕神力结晶	不限
69	400700105	1	204	1400	0	41005413	41005413	0	0	3500	0	0	项链神力结晶	不限
70	400700106	1	204	1400	0	41005416	41005416	0	0	3500	0	0	戒指神力结晶	不限
71	400700107	1	204	1400	0	41005417	41005417	0	0	3500	0	0	护肩神力结晶	不限
72	400700108	1	204	1400	0	41005417	41005417	0	0	3500	0	0	帽子神力结晶	不限
73	400700109	1	204	1400	0	41005417	41005417	0	0	3500	0	0	鞋子神力结晶	不限
74	400800100	1	204	1400	0	41005426	41005417	0	0	3500	0	0	铸神之石	不限
75	321430020	1	204	11200	0	41005417	41005417	0	0	28000	0	0	[未鉴定]二阶武器神器	不限
76	321431020	1	204	11200	0	41005413	41005413	0	0	28000	0	0	[未鉴定]二阶衣服神器	不限
77	321432020	1	204	11200	0	41005415	41005415	0	0	28000	0	0	[未鉴定]二阶腰带神器	不限
78	321433020	1	204	11200	0	41005414	41005414	0	0	28000	0	0	[未鉴定]二阶裤子神器	不限
79	321434020	1	204	11200	0	41005417	41005417	0	0	28000	0	0	[未鉴定]二阶护腕神器	不限
80	321435020	1	204	11200	0	41005413	41005413	0	0	28000	0	0	[未鉴定]二阶项链神器	不限
81	321436020	1	204	11200	0	41005416	41005416	0	0	28000	0	0	[未鉴定]二阶戒指神器	不限
82	321437020	1	204	11200	0	41005417	41005417	0	0	28000	0	0	[未鉴定]二阶护肩神器	不限
83	321438020	1	204	11200	0	41005417	41005417	0	0	28000	0	0	[未鉴定]二阶帽子神器	不限
84	321439020	1	204	11200	0	41005417	41005417	0	0	28000	0	0	[未鉴定]二阶鞋子神器	不限
