序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	限制说明
21	403200001	1	204	100	0	0	0	0	0	100	0	0	[时装]霓裳水晶	不限
22	403200010	1	204	100	0	0	0	0	0	100	0	0	[时装]染料·红	不限
23	403200011	1	204	100	0	0	0	0	0	100	0	0	[时装]染料·黄	不限
24	403200012	1	204	100	0	0	0	0	0	100	0	0	[时装]染料·蓝	不限
25	403200013	1	204	100	0	0	0	0	0	100	0	0	[外观]染发剂·红	不限
26	403200014	1	204	100	0	0	0	0	0	100	0	0	[外观]染发剂·黄	不限
27	403200015	1	204	100	0	0	0	0	0	100	0	0	[外观]染发剂·蓝	不限
28	320300501	1	204	100	0	0	0	0	0	100	0	0	地宫钥匙	不限
29	401200101	1	204	20	310	80011033	80011033	0	0	20	0	0	上古解封石	等级达2转101级
30	401200201	1	204	40	311	80011034	80011034	0	0	40	0	0	神赐解封石	等级达2转101级
31	430200301	1	204	100	0	80011021	80011021	0	0	100	0	0	力量陨石	1转81级以上
32	430200302	1	204	100	0	80011021	80011021	0	0	100	0	0	守护陨石	1转81级以上
33	430200303	1	204	100	0	80011021	80011021	0	0	100	0	0	生命陨石	1转81级以上
34	430200304	1	204	60	0	80011021	80011021	0	0	60	0	0	诡秘陨石	1转81级以上
35	430200401	1	204	120	0	80011022	80011022	0	0	120	0	0	上古力量陨石	3转121级以上
36	430200402	1	204	120	0	80011022	80011022	0	0	120	0	0	上古守护陨石	3转121级以上
37	430200403	1	204	120	0	80011022	80011022	0	0	120	0	0	上古生命陨石	3转121级以上
38	430200404	1	204	75	0	80011022	80011022	0	0	75	0	0	上古诡秘陨石	3转121级以上
39	430200501	1	204	160	0	80011023	80011023	0	0	160	0	0	神赐力量陨石	5转161级以上
40	430200502	1	204	160	0	80011023	80011023	0	0	160	0	0	神赐守护陨石	5转161级以上
41	430200503	1	204	160	0	80011023	80011023	0	0	160	0	0	神赐生命陨石	5转161级以上
42	430200504	1	204	100	0	80011023	80011023	0	0	100	0	0	神赐诡秘陨石	5转161级以上
43	410600000	1	204	200	0	70000105	70000105	0	0	200	0	0	流炎灵丹	神兽升星后台屏蔽
44	410600101	1	204	200	0	90005113	80011003	0	0	200	0	0	SS级女娲石	天地异变4以上
51	320300400	1	204	166	0	0	0	0	0	166	0	0	遗迹之门	不限
52	400600034	1	204	600	0	91001201	91001201	0	0	600	0	0	[魂玉]三阶护腕之魂	75级以上
53	400600035	1	204	600	0	91001202	91001202	0	0	600	0	0	[魂玉]三阶项链之魂	60级以上
54	400600036	1	204	600	0	91001203	91001203	0	0	600	0	0	[魂玉]三阶戒指之魂	71级以上
55	400600037	1	204	600	0	91001204	91001204	0	0	600	0	0	[魂玉]三阶护肩之魂	65级以上
56	400600038	1	204	600	0	91001205	91001205	0	0	600	0	0	[魂玉]三阶帽子之魂	64级以上
57	400600039	1	204	600	0	91001206	91001206	0	0	600	0	0	[魂玉]三阶鞋子之魂	79级以上
58	400600044	1	204	720	0	91001211	91001211	0	0	720	0	0	[魂玉]四阶护腕之魂	1转95级以上
59	400600045	1	204	720	0	91001212	91001212	0	0	720	0	0	[魂玉]四阶项链之魂	1转80级以上
60	400600046	1	204	720	0	91001213	91001213	0	0	720	0	0	[魂玉]四阶戒指之魂	1转91级以上
61	400600047	1	204	720	0	91001214	91001214	0	0	720	0	0	[魂玉]四阶护肩之魂	1转85级以上
62	400600048	1	204	720	0	91001215	91001215	0	0	720	0	0	[魂玉]四阶帽子之魂	1转84级以上
63	400600049	1	204	720	0	91001216	91001216	0	0	720	0	0	[魂玉]四阶鞋子之魂	1转99级以上
64	400600054	1	204	900	0	91001221	91001221	0	0	900	0	0	[魂玉]五阶护腕之魂	2转115级以上
65	400600055	1	204	900	0	91001222	91001222	0	0	900	0	0	[魂玉]五阶项链之魂	2转100级以上
66	400600056	1	204	900	0	91001223	91001223	0	0	900	0	0	[魂玉]五阶戒指之魂	2转111级以上
67	400600057	1	204	900	0	91001224	91001224	0	0	900	0	0	[魂玉]五阶护肩之魂	2转105级以上
68	400600058	1	204	900	0	91001225	91001225	0	0	900	0	0	[魂玉]五阶帽子之魂	2转104级以上
69	400600059	1	204	900	0	91001226	91001226	0	0	900	0	0	[魂玉]五阶鞋子之魂	2转119级以上
70	400600064	1	204	1080	0	91001231	91001231	0	0	1080	0	0	[魂玉]六阶护腕之魂	3转135级以上
71	400600065	1	204	1080	0	91001232	91001232	0	0	1080	0	0	[魂玉]六阶项链之魂	3转120级以上
72	400600066	1	204	1080	0	91001233	91001233	0	0	1080	0	0	[魂玉]六阶戒指之魂	3转131级以上
73	400600067	1	204	1080	0	91001234	91001234	0	0	1080	0	0	[魂玉]六阶护肩之魂	3转125级以上
74	400600068	1	204	1080	0	91001235	91001235	0	0	1080	0	0	[魂玉]六阶帽子之魂	3转124级以上
75	400600069	1	204	1080	0	91001236	91001236	0	0	1080	0	0	[魂玉]六阶鞋子之魂	3转139级以上
76	400600074	1	204	720	0	91001241	91001241	0	0	720	0	0	[魂玉]七阶护腕之魂	4转155级以上
77	400600075	1	204	720	0	91001242	91001242	0	0	720	0	0	[魂玉]七阶项链之魂	4转140级以上
78	400600076	1	204	720	0	91001243	91001243	0	0	720	0	0	[魂玉]七阶戒指之魂	4转151级以上
79	400600077	1	204	720	0	91001244	91001244	0	0	720	0	0	[魂玉]七阶护肩之魂	4转145级以上
80	400600078	1	204	720	0	91001245	91001245	0	0	720	0	0	[魂玉]七阶帽子之魂	4转144级以上
81	400600079	1	204	720	0	91001246	91001246	0	0	720	0	0	[魂玉]七阶鞋子之魂	4转159级以上
82	400600084	1	204	900	0	91001251	91001251	0	0	900	0	0	[魂玉]八阶护腕之魂	5转175级以上
83	400600085	1	204	900	0	91001252	91001252	0	0	900	0	0	[魂玉]八阶项链之魂	5转160级以上
84	400600086	1	204	900	0	91001253	91001253	0	0	900	0	0	[魂玉]八阶戒指之魂	5转171级以上
85	400600087	1	204	900	0	91001254	91001254	0	0	900	0	0	[魂玉]八阶护肩之魂	5转165级以上
86	400600088	1	204	900	0	91001255	91001255	0	0	900	0	0	[魂玉]八阶帽子之魂	5转164级以上
87	400600089	1	204	900	0	91001256	91001256	0	0	900	0	0	[魂玉]八阶鞋子之魂	5转179级以上
88	400600094	1	204	1080	0	91001261	91001261	0	0	1080	0	0	[魂玉]九阶护腕之魂	6转195级以上
89	400600095	1	204	1080	0	91001262	91001262	0	0	1080	0	0	[魂玉]九阶项链之魂	6转180级以上
90	400600096	1	204	1080	0	91001263	91001263	0	0	1080	0	0	[魂玉]九阶戒指之魂	6转191级以上
91	400600097	1	204	1080	0	91001264	91001264	0	0	1080	0	0	[魂玉]九阶护肩之魂	6转185级以上
92	400600098	1	204	1080	0	91001265	91001265	0	0	1080	0	0	[魂玉]九阶帽子之魂	6转184级以上
93	400600099	1	204	1080	0	91001266	91001266	0	0	1080	0	0	[魂玉]九阶鞋子之魂	6转199级以上
94	422110100	1	204	80	0	90000001	90000001	0	0	80	0	0	[昆仑秘籍]天剑	剑客专属
95	422110101	1	204	80	0	90000001	90000001	0	0	80	0	0	[昆仑秘籍]御风	剑客专属
96	422110102	1	204	80	0	90000001	90000001	0	0	80	0	0	[昆仑秘籍]神剑	剑客专属
97	422110103	1	204	80	0	90000001	90000001	0	0	80	0	0	[昆仑秘籍]霜龙	剑客专属
98	422120100	1	204	80	0	90000002	90000002	0	0	80	0	0	[琉璃秘籍]藤语	御灵专属
99	422120101	1	204	80	0	90000002	90000002	0	0	80	0	0	[琉璃秘籍]花影	御灵专属
100	422120102	1	204	80	0	90000002	90000002	0	0	80	0	0	[琉璃秘籍]繁花	御灵专属
101	422120103	1	204	80	0	90000002	90000002	0	0	80	0	0	[琉璃秘籍]花灵	御灵专属
102	422130100	1	204	80	0	90000003	90000003	0	0	80	0	0	[乾坤秘籍]焰锋	刀客专属
103	422130101	1	204	80	0	90000003	90000003	0	0	80	0	0	[乾坤秘籍]烬焱	刀客专属
104	422130102	1	204	80	0	90000003	90000003	0	0	80	0	0	[乾坤秘籍]风卷	刀客专属
105	422130103	1	204	80	0	90000003	90000003	0	0	80	0	0	[乾坤秘籍]霸体	刀客专属
106	422140100	1	204	80	0	90000004	90000004	0	0	80	0	0	[凤鸣秘籍]箭雨	弓手专属
107	422140101	1	204	80	0	90000004	90000004	0	0	80	0	0	[凤鸣秘籍]回雁	弓手专属
108	422140102	1	204	80	0	90000004	90000004	0	0	80	0	0	[凤鸣秘籍]凤凰	弓手专属
109	422140103	1	204	80	0	90000004	90000004	0	0	80	0	0	[凤鸣秘籍]流火	弓手专属
111	420300300	1	204	1000	0	91000259	91000259	0	0	1000	0	0	仙玉晶核	1转81级以上
112	420300400	1	204	3500	0	91000260	91000260	0	0	2000	0	0	仙玉玉髓	3转121级以上
113	420300500	1	204	6000	0	91000261	91000261	0	0	3000	0	0	仙玉之魂	5转161级以上
