序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9）	商品原价	商品特效	额外参数1	商品说明	显示限制
40	321154077	1	204	1500	641	40052702	40052702	1	4	3210	0	0	活动礼盒·四	情人节期间
41	321154078	1	204	1500	641	40052703	40052703	1	4	3210	0	0	活动礼盒·四	情人节期间
42	321154079	1	204	1500	641	40052704	40052704	1	4	3210	0	0	活动礼盒·四	情人节期间
43	321154080	1	204	1500	641	40052705	40052705	1	4	3210	0	0	活动礼盒·四	情人节期间
44	321154081	1	204	1500	641	40052706	40052706	1	4	3210	0	0	活动礼盒·四	情人节期间
45	321154082	1	204	1500	641	40052707	40052707	1	4	3210	0	0	活动礼盒·四	情人节期间
46	321154083	1	204	1500	641	40052708	40052708	1	4	3210	0	0	活动礼盒·四	情人节期间
47	321154020	1	204	3000	642	40052700	40052700	1	4	5480	0	0	活动礼盒·五	情人节期间
48	321154021	1	204	60	496	40052813	40052813	1	4	200	0	0	活动礼盒·一	春节第1天
49	321154022	1	204	250	497	40052813	40052813	1	4	885	0	0	活动礼盒·二	春节第1天
50	321154023	1	204	900	498	40052813	40052813	1	4	2250	0	0	活动礼盒·三	春节第1天
51	321154024	1	204	1500	499	40052813	40052813	1	4	3160	0	0	活动礼盒·四	春节第1天
52	321154025	1	204	3000	500	40052813	40052813	1	4	5430	0	0	活动礼盒·五	春节第1天
53	321154026	1	204	60	496	40052814	40052814	1	4	240	0	0	活动礼盒·一	春节第2天
54	321154027	1	204	250	497	40052814	40052814	1	4	1062	0	0	活动礼盒·二	春节第2天
55	321154028	1	204	900	498	40052814	40052814	1	4	2700	0	0	活动礼盒·三	春节第2天
56	321154029	1	204	1500	499	40052814	40052814	1	4	4236	0	0	活动礼盒·四	春节第2天
57	321154030	1	204	3000	500	40052814	40052814	1	4	6516	0	0	活动礼盒·五	春节第2天
58	321154031	1	204	60	496	40052815	40052815	1	4	280	0	0	活动礼盒·一	春节第3天
59	321154032	1	204	250	497	40052815	40052815	1	4	1239	0	0	活动礼盒·二	春节第3天
60	321154033	1	204	900	498	40052815	40052815	1	4	3150	0	0	活动礼盒·三	春节第3天
61	321154034	1	204	1500	499	40052815	40052815	1	4	4942	0	0	活动礼盒·四	春节第3天
62	321154035	1	204	3000	500	40052815	40052815	1	4	7602	0	0	活动礼盒·五	春节第3天
63	321154004	1	204	60	680	41000100	41000100	1	4	200	0	0	活动礼盒·一	活动礼包模板1
64	321154005	1	204	250	681	41000100	41000100	1	4	885	0	0	活动礼盒·二	活动礼包模板1
65	321154006	1	204	900	682	41000100	41000100	1	4	2250	0	0	活动礼盒·三	活动礼包模板1
66	321154007	1	204	1200	683	41000101	41000101	1	4	3160	0	0	活动礼盒·四	活动礼包模板1
67	321154008	1	204	1250	683	41000102	41000102	1	4	3270	0	0	活动礼盒·四	活动礼包模板1
68	321154009	1	204	1300	683	41000103	41000103	1	4	3360	0	0	活动礼盒·四	活动礼包模板1
69	321154010	1	204	1300	683	41000104	41000104	1	4	3530	0	0	活动礼盒·四	活动礼包模板1
70	321154011	1	204	1300	683	41000105	41000105	1	4	3940	0	0	活动礼盒·四	活动礼包模板1
71	321154012	1	204	1900	683	41000106	41000106	1	4	5460	0	0	活动礼盒·四	活动礼包模板1
72	321154013	1	204	2000	683	41000107	41000107	1	4	6980	0	0	活动礼盒·四	活动礼包模板1
73	321154014	1	204	2500	683	41000108	41000108	1	4	8500	0	0	活动礼盒·四	活动礼包模板1
74	321154015	1	204	2500	684	41000100	41000100	1	4	5430	0	0	活动礼盒·五	活动礼包模板1
75	321154040	1	204	60	685	41000109	41000109	1	4	200	0	0	活动礼盒·一	活动礼包模板2
76	321154041	1	204	250	686	41000109	41000109	1	4	885	0	0	活动礼盒·二	活动礼包模板2
77	321154042	1	204	900	687	41000109	41000109	1	4	2250	0	0	活动礼盒·三	活动礼包模板2
78	321154043	1	204	1200	688	41000110	41000110	1	4	3160	0	0	活动礼盒·四	活动礼包模板2
79	321154044	1	204	1250	688	41000111	41000111	1	4	3270	0	0	活动礼盒·四	活动礼包模板2
80	321154045	1	204	1300	688	41000112	41000112	1	4	3360	0	0	活动礼盒·四	活动礼包模板2
81	321154046	1	204	1300	688	41000113	41000113	1	4	3530	0	0	活动礼盒·四	活动礼包模板2
82	321154047	1	204	1300	688	41000114	41000114	1	4	3940	0	0	活动礼盒·四	活动礼包模板2
83	321154048	1	204	1900	688	41000115	41000115	1	4	5460	0	0	活动礼盒·四	活动礼包模板2
84	321154049	1	204	2000	688	41000116	41000116	1	4	6980	0	0	活动礼盒·四	活动礼包模板2
85	321154050	1	204	2500	688	41000117	41000117	1	4	8500	0	0	活动礼盒·四	活动礼包模板2
86	321154051	1	204	2500	689	41000109	41000109	1	4	5430	0	0	活动礼盒·五	活动礼包模板2
87	321154052	1	204	60	690	41000118	41000118	1	4	200	0	0	活动礼盒·一	活动礼包模板3
88	321154053	1	204	250	691	41000118	41000118	1	4	885	0	0	活动礼盒·二	活动礼包模板3
89	321154054	1	204	900	692	41000118	41000118	1	4	2250	0	0	活动礼盒·三	活动礼包模板3
90	321154055	1	204	1200	693	41000119	41000119	1	4	3160	0	0	活动礼盒·四	活动礼包模板3
91	321154056	1	204	1250	693	41000120	41000120	1	4	3270	0	0	活动礼盒·四	活动礼包模板3
92	321154057	1	204	1300	693	41000121	41000121	1	4	3360	0	0	活动礼盒·四	活动礼包模板3
93	321154058	1	204	1300	693	41000122	41000122	1	4	3530	0	0	活动礼盒·四	活动礼包模板3
94	321154059	1	204	1300	693	41000123	41000123	1	4	3940	0	0	活动礼盒·四	活动礼包模板3
95	321154060	1	204	1900	693	41000124	41000124	1	4	5460	0	0	活动礼盒·四	活动礼包模板3
96	321154061	1	204	2000	693	41000125	41000125	1	4	6980	0	0	活动礼盒·四	活动礼包模板3
97	321154062	1	204	2500	693	41000126	41000126	1	4	8500	0	0	活动礼盒·四	活动礼包模板3
98	321154063	1	204	2500	694	41000118	41000118	1	4	5430	0	0	活动礼盒·五	活动礼包模板3
99	321154064	1	204	60	951	41000127	41000127	1	4	200	0	0	活动礼盒·一	活动礼包模板4
100	321154065	1	204	250	952	41000127	41000127	1	4	885	0	0	活动礼盒·二	活动礼包模板4
101	321154066	1	204	900	953	41000127	41000127	1	4	2250	0	0	活动礼盒·三	活动礼包模板4
102	321154075	1	204	2500	954	41000127	41000127	1	4	5430	0	0	活动礼盒·五	活动礼包模板4
103	300800101	1	204	400	0	40051903	40051903	1	4	500	0	0	婚戒	11月11~14号
104	321151604	1	204	20	166	40051699	40051699	1	4	60	0	0	重阳礼盒·一	10月28~30号
105	321151605	1	204	180	167	40051699	40051699	1	4	380	0	0	重阳礼盒·二	10月28~30号
106	321151606	1	204	350	168	40051699	40051699	1	4	710	0	0	重阳礼盒·三	10月28~30号
107	321151607	1	204	2300	169	40051699	40051699	1	4	3730	0	0	重阳礼盒·四	10月28~30号
108	321151608	1	204	3000	170	40051699	40051699	1	4	4630	0	0	重阳礼盒·五	10月28~30号
109	321151709	1	204	25	0	40051800	40051800	1	4	25	0	0	饺子皮	11月8~10号
110	321151710	1	204	25	0	40051800	40051800	1	4	25	0	0	饺子馅	11月8~10号
111	321151704	1	204	20	179	40051800	40051800	1	4	75	0	0	立冬礼盒一	11月8~10号
112	321151705	1	204	180	180	40051800	40051800	1	4	395	0	0	立冬礼盒二	11月8~10号
113	321151706	1	204	350	181	40051800	40051800	1	4	645	0	0	立冬礼盒三	11月8~10号
114	321151707	1	204	2280	182	40051800	40051800	1	4	3825	0	0	立冬礼盒四	11月8~10号
115	321151708	1	204	3880	183	40051800	40051800	1	4	5955	0	0	立冬礼盒五	11月8~10号
116	310200100	1	204	10	0	40051903	40051903	1	4	10	0	0	好人卡	11月11~14号
117	321150119	1	204	20	194	40051903	40051903	1	4	72	0	0	单身节礼盒一	11月11~14号
118	321150120	1	204	180	195	40051903	40051903	1	4	400	0	0	单身节礼盒二	11月11~14号
119	321150121	1	204	350	196	40051903	40051903	1	4	700	0	0	单身节礼盒三	11月11~14号
120	321150122	1	204	1500	197	40051903	40051903	1	4	2450	0	0	单身节礼盒四	11月11~14号
121	321150123	1	204	3000	198	40051903	40051903	1	4	4800	0	0	单身节礼盒五	11月11~14号
122	321151718	1	204	20	204	40052101	40052101	1	4	60	0	0	小雪礼盒·一	活动期间内
123	321151719	1	204	180	205	40052101	40052101	1	4	380	0	0	小雪礼盒·二	活动期间内
124	321151720	1	204	350	206	40052101	40052101	1	4	710	0	0	小雪礼盒·三	活动期间内
125	321151721	1	204	2400	207	40052101	40052101	1	4	4800	0	0	小雪礼盒·四	活动期间内
126	321151722	1	204	3800	208	40052101	40052101	1	4	8700	0	0	小雪礼盒·五	活动期间内
127	321152000	1	204	20	0	40052201	40052201	1	4	20	0	0	雪球	活动期间内
128	321152001	1	204	100	0	40052201	40052201	1	4	100	0	0	雪人	活动期间内
129	321151723	1	204	20	210	40052201	40052201	1	4	80	0	0	狂欢礼盒·一	活动期间内
130	321151724	1	204	180	211	40052201	40052201	1	4	540	0	0	狂欢礼盒·二	活动期间内
131	321151725	1	204	350	212	40052201	40052201	1	4	880	0	0	狂欢礼盒·三	活动期间内
132	321151726	1	204	1500	213	40052201	40052201	1	4	3230	0	0	狂欢礼盒·四	活动期间内
133	321151727	1	204	3400	214	40052201	40052201	1	4	6210	0	0	狂欢礼盒·五	活动期间内
134	310251625	1	204	50	0	40052500	40052500	1	4	50	0	0	圣	活动期间内
135	310251626	1	204	50	0	40052500	40052500	1	4	50	0	0	诞	活动期间内
136	310251627	1	204	25	224	40052500	40052500	1	4	25	0	0	快	活动期间内
137	310251628	1	204	25	225	40052500	40052500	1	4	25	0	0	乐	活动期间内
138	310251634	1	204	20	226	40052600	40052600	1	4	80	0	0	元旦礼盒一	活动期间内
139	310251635	1	204	180	227	40052600	40052600	1	4	540	0	0	元旦礼盒二	活动期间内
140	310251636	1	204	350	228	40052600	40052600	1	4	865	0	0	元旦礼盒三	活动期间内
141	310251637	1	204	1500	229	40052600	40052600	1	4	3060	0	0	元旦礼盒四	活动期间内
142	310251638	1	204	3400	230	40052600	40052600	1	4	6210	0	0	元旦礼盒五	活动期间内
143	310251700	1	204	120	0	40052600	40052600	1	4	135	0	0	孔明灯-神都	活动期间内
144	310251701	1	204	120	0	40052600	40052600	1	4	135	0	0	孔明灯-三合殿	活动期间内
145	310251702	1	204	120	0	40052600	40052600	1	4	135	0	0	孔明灯-琅嬛宝岛	活动期间内
146	321155200	1	204	25	0	40053800	40053800	1	4	30	0	0	劳动勋章	活动期间内
147	430200301	1	204	60	281	40000901	40000901	0	0	100	0	0	力量陨石	活动期间内
148	430200302	1	204	60	282	40000901	40000901	0	0	100	0	0	守护陨石	活动期间内
149	430200303	1	204	60	283	40000901	40000901	0	0	100	0	0	生命陨石	活动期间内
150	430200304	1	204	36	284	40000901	40000901	0	0	60	0	0	诡秘陨石	活动期间内
151	430200401	1	204	72	281	40000902	40000902	0	0	120	0	0	上古力量陨石	活动期间内
152	430200402	1	204	72	282	40000902	40000902	0	0	120	0	0	上古守护陨石	活动期间内
153	430200403	1	204	72	283	40000902	40000902	0	0	120	0	0	上古生命陨石	活动期间内
154	430200404	1	204	45	284	40000902	40000902	0	0	75	0	0	上古诡秘陨石	活动期间内
155	430200501	1	204	96	281	40000903	40000903	0	0	160	0	0	神赐力量陨石	活动期间内
156	430200502	1	204	96	282	40000903	40000903	0	0	160	0	0	神赐守护陨石	活动期间内
157	430200503	1	204	96	283	40000903	40000903	0	0	160	0	0	神赐生命陨石	活动期间内
158	430200504	1	204	60	284	40000903	40000903	0	0	100	0	0	神赐诡秘陨石	活动期间内
159	430201307	1	204	144	655	40000904	40000904	0	0	240	0	0	[神石]血魔气息	活动期间内
160	430201308	1	204	144	656	40000904	40000904	0	0	240	0	0	[神石]梦魇气息	活动期间内
161	430201310	1	204	114	657	40000904	40000904	0	0	190	0	0	[神石]蚩尤祝福	活动期间内
162	430201312	1	204	114	658	40000904	40000904	0	0	190	0	0	[神石]黄帝祝福	活动期间内
163	430201401	1	204	150	659	40000905	40000905	0	0	250	0	0	[神石]上古战神气息	活动期间内
164	430201402	1	204	150	660	40000905	40000905	0	0	250	0	0	[神石]上古水神气息	活动期间内
165	430201407	1	204	180	655	40000905	40000905	0	0	300	0	0	[神石]上古血魔气息	活动期间内
166	430201408	1	204	180	656	40000905	40000905	0	0	300	0	0	[神石]上古梦魇气息	活动期间内
167	430201409	1	204	150	661	40000905	40000905	0	0	250	0	0	[神石]上古后羿祝福	活动期间内
168	430201410	1	204	150	657	40000905	40000905	0	0	250	0	0	[神石]上古蚩尤祝福	活动期间内
169	430201411	1	204	150	662	40000905	40000905	0	0	250	0	0	[神石]上古刑天祝福	活动期间内
170	430201412	1	204	150	658	40000905	40000905	0	0	250	0	0	[神石]上古黄帝祝福	活动期间内
171	430201501	1	204	180	659	40000906	40000906	0	0	300	0	0	[神石]神赐战神气息	活动期间内
172	430201502	1	204	180	660	40000906	40000906	0	0	300	0	0	[神石]神赐水神气息	活动期间内
173	430201507	1	204	210	655	40000906	40000906	0	0	350	0	0	[神石]神赐血魔气息	活动期间内
174	430201508	1	204	210	656	40000906	40000906	0	0	350	0	0	[神石]神赐梦魇气息	活动期间内
175	430201509	1	204	180	661	40000906	40000906	0	0	300	0	0	[神石]神赐后羿祝福	活动期间内
176	430201510	1	204	180	657	40000906	40000906	0	0	300	0	0	[神石]神赐蚩尤祝福	活动期间内
177	430201511	1	204	180	662	40000906	40000906	0	0	300	0	0	[神石]神赐刑天祝福	活动期间内
178	430201512	1	204	180	658	40000906	40000906	0	0	300	0	0	[神石]神赐黄帝祝福	活动期间内
179	430100301	1	204	13	285	40000904	40000904	0	0	26	0	0	星魂	活动期间内
180	430100401	1	204	26	285	40000905	40000905	0	0	52	0	0	星魂	活动期间内
181	430100601	1	204	52	285	40000906	40000906	0	0	104	0	0	星魂	活动期间内
