序列号	道具ID	消耗类型1(1货币、2道具、3consume)	货币ID1	价格1	次数限制ID	显示状态限制	购买状态限制	显示颜色（1红2蓝3青4紫99灰）（唐专用标签规则：新品用蓝，限时【时效性】用红，稀有、极品、绝版【品质类】用紫）	显示文字（1新品2稀有3极品4限时5绝版大量7超值【会显示为具体几折，而不是显示超值】8豪华9？？？）	商品原价	商品特效	额外参数1	商品说明	显示限制
21	310270080	2	300500012	10	111	40054400	40054400	1	4	10	0	0	大炸鸡	#N/A
22	310270083	2	300500012	20	111	40054500	40054500	1	4	20	0	0	泰国国旗	#N/A
23	310270084	2	300500012	35	232	40054500	40054500	1	4	35	0	0	天灯	#N/A
24	310270136	2	300500012	20	111	40054700	40054700	1	4	20	0	0	茉莉花环	#N/A
25	310270084	2	300500012	35	232	40054700	40054700	1	4	35	0	0	天灯	#N/A
26	310270138	2	300500012	20	111	40054600	40054600	1	4	20	0	0	爱意绵绵	#N/A
27	310270137	2	300500012	20	111	40054800	40054800	1	4	20	0	0	韩国国旗	#N/A
28	310270025	2	300500012	40	585	41000028	41000028	4	8	40	0	0	周末礼包	活动期间内
29	310270026	2	300500012	120	586	41000029	41000029	4	8	120	0	0	节日礼包	活动期间内
30	320401341	2	300500012	200	0	70008901	70008901	2	1	200	0	0	[时装]狂欢夏季（3天）	#N/A
31	320401342	2	300500012	200	0	70008902	70008902	2	1	200	0	0	[时装]狂欢夏季（3天）	#N/A
32	320401343	2	300500012	200	0	70008903	70008903	2	1	200	0	0	[时装]狂欢夏季（3天）	#N/A
33	320401344	2	300500012	200	0	70008904	70008904	2	1	200	0	0	[时装]狂欢夏季（3天）	#N/A
34	411000332	2	300500012	400	496	40054600	40054600	1	4	400	0	0	[坐骑]峨眉月（7天）	#N/A
35	320703320	2	300500012	140	497	40054600	40054600	1	4	140	0	0	[灵宝]燕语莺歌（7天）	#N/A
36	410560003	2	300500012	50	750	90005110	90005110	4	3	50	0	0	[信物]笑天	天地异变1以上
37	410560006	2	300500012	150	751	90005112	90005112	4	3	150	0	0	[信物]西海龙女	天地异变3以上
38	410560009	2	300500012	250	752	90005114	90005114	4	3	250	0	0	[信物]暴走兔	天地异变5以上
39	410560010	2	300500012	250	753	90005114	90005114	4	3	250	0	0	[信物]万古尸王	天地异变5以上
40	401500201	2	300500012	60	377	90000051	90000051	4	3	60	0	0	魂·二阶灵宝碎片	1~60级
41	401500202	2	300500012	72	377	90000052	90000052	4	3	72	0	0	魂·三阶灵宝碎片	61~1转80级
42	401500203	2	300500012	80	377	90000053	90000053	4	3	80	0	0	魂·四阶灵宝碎片	1转81~2转100级
43	401500204	2	300500012	96	377	90000054	90000054	4	3	96	0	0	魂·五阶灵宝碎片	2转101~3转120级
44	401500205	2	300500012	128	377	90000055	90000055	4	3	128	0	0	魂·六阶灵宝碎片	3转121~4转140级
45	401500206	2	300500012	152	377	90000056	90000056	4	3	152	0	0	魂·七阶灵宝碎片	4转141~5转160级
46	401500207	2	300500012	184	377	90000057	90000057	4	3	184	0	0	魂·八阶灵宝碎片	5转161~6转180级
47	401500208	2	300500012	220	377	90000058	90000058	4	3	220	0	0	魂·九阶灵宝碎片	6转181级以上
48	320702701	2	300500012	80	0	0	0	4	5	80	0	0	[灵宝]寂寞的凝视（7天）	#N/A
49	320703010	2	300500012	80	0	41000200	41000200	4	5	80	0	0	[灵宝]一生一世（7天）	春节及之后
50	300901500	2	300500012	30	0	41000200	41000200	4	5	30	0	0	称号令牌【永结同心】	春节及之后
51	410540011	2	300500012	20	502	0	0	4	3	20	0	0	[信物]醒狮	#N/A
