Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411449, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:42.562 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411451, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.565 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411451, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.570 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411441, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=11; 
Apr  2 20:59:42.574 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411451, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=12; 
Apr  2 20:59:42.578 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411451, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.582 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411452, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.586 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411452, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.590 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411453, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.595 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411453, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 20:59:42.599 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411453, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.602 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411453, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.606 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411454, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.610 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411455, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.614 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411455, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.617 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411456, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.620 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411456, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.624 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411456, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.626 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411457, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 20:59:42.630 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411457, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.634 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411458, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 20:59:42.637 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411459, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:42.641 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411460, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 20:59:42.645 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.648 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.652 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 20:59:42.655 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.658 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.662 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411461, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=13; 
Apr  2 20:59:42.666 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411462, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 20:59:42.669 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411462, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.674 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411463, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.678 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411463, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.682 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411465, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.699 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411466, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.705 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411466, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.710 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411466, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.713 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411466, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.719 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411467, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 20:59:42.722 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411469, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 20:59:42.725 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411470, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.728 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.731 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.738 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 20:59:42.741 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.747 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.752 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 20:59:42.758 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411471, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=13; 
Apr  2 20:59:42.762 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411472, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 20:59:42.765 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411472, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=0; 
Apr  2 20:59:42.769 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411473, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.773 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411473, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.777 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411473, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 20:59:42.781 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411476, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 20:59:42.787 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411476, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 20:59:42.790 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411476, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 20:59:42.795 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411475, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 20:59:42.802 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617411476, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 20:59:42.806 2021@LM_ERROR@DB Error:[126]:Incorrect key file for table './yt_log/cache_report_20210402.MYI'; try to repair it.
