法器共鸣ID(流水号即可)	共鸣副ID(表示职业)	共鸣等级	有效标志位	magic_item_id_1法器ID1	magic_item_id_2法器ID2	magic_item_id_3法器ID3	magic_item_id_4法器ID4	magic_item_id_5法器ID5	attr_type1属性类型1	attr_value1属性值1	attr_type2属性类型2	attr_value2属性值2	attr_type3属性类型3	attr_value3属性值3	attr_type4属性类型4	attr_value4属性值4	增加战力值	共鸣名称
1	21	10	1	500203	500205	0	0	0	7	234	0	0	0	0	0	0	0	10级乾坤
1	31	1	1	500203	500205	0	0	0	7	150	0	0	0	0	0	0	0	1级乾坤
1	31	2	1	500203	500205	0	0	0	7	158	0	0	0	0	0	0	0	2级乾坤
1	31	3	1	500203	500205	0	0	0	7	166	0	0	0	0	0	0	0	3级乾坤
1	31	4	1	500203	500205	0	0	0	7	174	0	0	0	0	0	0	0	4级乾坤
1	31	5	1	500203	500205	0	0	0	7	183	0	0	0	0	0	0	0	5级乾坤
1	31	6	1	500203	500205	0	0	0	7	192	0	0	0	0	0	0	0	6级乾坤
1	31	7	1	500203	500205	0	0	0	7	202	0	0	0	0	0	0	0	7级乾坤
1	31	8	1	500203	500205	0	0	0	7	212	0	0	0	0	0	0	0	8级乾坤
1	31	9	1	500203	500205	0	0	0	7	223	0	0	0	0	0	0	0	9级乾坤
1	31	10	1	500203	500205	0	0	0	7	234	0	0	0	0	0	0	0	10级乾坤
1	41	1	1	500203	500205	0	0	0	7	150	0	0	0	0	0	0	0	1级乾坤
1	41	2	1	500203	500205	0	0	0	7	158	0	0	0	0	0	0	0	2级乾坤
1	41	3	1	500203	500205	0	0	0	7	166	0	0	0	0	0	0	0	3级乾坤
1	41	4	1	500203	500205	0	0	0	7	174	0	0	0	0	0	0	0	4级乾坤
1	41	5	1	500203	500205	0	0	0	7	183	0	0	0	0	0	0	0	5级乾坤
1	41	6	1	500203	500205	0	0	0	7	192	0	0	0	0	0	0	0	6级乾坤
1	41	7	1	500203	500205	0	0	0	7	202	0	0	0	0	0	0	0	7级乾坤
1	41	8	1	500203	500205	0	0	0	7	212	0	0	0	0	0	0	0	8级乾坤
1	41	9	1	500203	500205	0	0	0	7	223	0	0	0	0	0	0	0	9级乾坤
1	41	10	1	500203	500205	0	0	0	7	234	0	0	0	0	0	0	0	10级乾坤
2	11	1	1	500205	500206	0	0	0	6	150	0	0	0	0	0	0	0	1级绝影
2	11	2	1	500205	500206	0	0	0	6	158	0	0	0	0	0	0	0	2级绝影
2	11	3	1	500205	500206	0	0	0	6	166	0	0	0	0	0	0	0	3级绝影
2	11	4	1	500205	500206	0	0	0	6	174	0	0	0	0	0	0	0	4级绝影
2	11	5	1	500205	500206	0	0	0	6	183	0	0	0	0	0	0	0	5级绝影
2	11	6	1	500205	500206	0	0	0	6	192	0	0	0	0	0	0	0	6级绝影
2	11	7	1	500205	500206	0	0	0	6	202	0	0	0	0	0	0	0	7级绝影
2	11	8	1	500205	500206	0	0	0	6	212	0	0	0	0	0	0	0	8级绝影
2	11	9	1	500205	500206	0	0	0	6	223	0	0	0	0	0	0	0	9级绝影
2	11	10	1	500205	500206	0	0	0	6	234	0	0	0	0	0	0	0	10级绝影
2	21	1	1	500205	500206	0	0	0	6	150	0	0	0	0	0	0	0	1级绝影
2	21	2	1	500205	500206	0	0	0	6	158	0	0	0	0	0	0	0	2级绝影
2	21	3	1	500205	500206	0	0	0	6	166	0	0	0	0	0	0	0	3级绝影
2	21	4	1	500205	500206	0	0	0	6	174	0	0	0	0	0	0	0	4级绝影
2	21	5	1	500205	500206	0	0	0	6	183	0	0	0	0	0	0	0	5级绝影
2	21	6	1	500205	500206	0	0	0	6	192	0	0	0	0	0	0	0	6级绝影
2	21	7	1	500205	500206	0	0	0	6	202	0	0	0	0	0	0	0	7级绝影
2	21	8	1	500205	500206	0	0	0	6	212	0	0	0	0	0	0	0	8级绝影
2	21	9	1	500205	500206	0	0	0	6	223	0	0	0	0	0	0	0	9级绝影
2	21	10	1	500205	500206	0	0	0	6	234	0	0	0	0	0	0	0	10级绝影
2	31	1	1	500205	500206	0	0	0	6	150	0	0	0	0	0	0	0	1级绝影
2	31	2	1	500205	500206	0	0	0	6	158	0	0	0	0	0	0	0	2级绝影
2	31	3	1	500205	500206	0	0	0	6	166	0	0	0	0	0	0	0	3级绝影
2	31	4	1	500205	500206	0	0	0	6	174	0	0	0	0	0	0	0	4级绝影
2	31	5	1	500205	500206	0	0	0	6	183	0	0	0	0	0	0	0	5级绝影
2	31	6	1	500205	500206	0	0	0	6	192	0	0	0	0	0	0	0	6级绝影
2	31	7	1	500205	500206	0	0	0	6	202	0	0	0	0	0	0	0	7级绝影
2	31	8	1	500205	500206	0	0	0	6	212	0	0	0	0	0	0	0	8级绝影
2	31	9	1	500205	500206	0	0	0	6	223	0	0	0	0	0	0	0	9级绝影
2	31	10	1	500205	500206	0	0	0	6	234	0	0	0	0	0	0	0	10级绝影
2	41	1	1	500205	500206	0	0	0	6	150	0	0	0	0	0	0	0	1级绝影
2	41	2	1	500205	500206	0	0	0	6	158	0	0	0	0	0	0	0	2级绝影
2	41	3	1	500205	500206	0	0	0	6	166	0	0	0	0	0	0	0	3级绝影
2	41	4	1	500205	500206	0	0	0	6	174	0	0	0	0	0	0	0	4级绝影
2	41	5	1	500205	500206	0	0	0	6	183	0	0	0	0	0	0	0	5级绝影
2	41	6	1	500205	500206	0	0	0	6	192	0	0	0	0	0	0	0	6级绝影
2	41	7	1	500205	500206	0	0	0	6	202	0	0	0	0	0	0	0	7级绝影
2	41	8	1	500205	500206	0	0	0	6	212	0	0	0	0	0	0	0	8级绝影
2	41	9	1	500205	500206	0	0	0	6	223	0	0	0	0	0	0	0	9级绝影
2	41	10	1	500205	500206	0	0	0	6	234	0	0	0	0	0	0	0	10级绝影
3	11	1	1	500206	500213	0	0	0	10	150	0	0	0	0	0	0	0	1级威烈
3	11	2	1	500206	500213	0	0	0	10	158	0	0	0	0	0	0	0	2级威烈
3	11	3	1	500206	500213	0	0	0	10	166	0	0	0	0	0	0	0	3级威烈
3	11	4	1	500206	500213	0	0	0	10	174	0	0	0	0	0	0	0	4级威烈
3	11	5	1	500206	500213	0	0	0	10	183	0	0	0	0	0	0	0	5级威烈
3	11	6	1	500206	500213	0	0	0	10	192	0	0	0	0	0	0	0	6级威烈
3	11	7	1	500206	500213	0	0	0	10	202	0	0	0	0	0	0	0	7级威烈
3	11	8	1	500206	500213	0	0	0	10	212	0	0	0	0	0	0	0	8级威烈
3	11	9	1	500206	500213	0	0	0	10	223	0	0	0	0	0	0	0	9级威烈
3	11	10	1	500206	500213	0	0	0	10	234	0	0	0	0	0	0	0	10级威烈
3	21	1	1	500206	500213	0	0	0	10	150	0	0	0	0	0	0	0	1级威烈
3	21	2	1	500206	500213	0	0	0	10	158	0	0	0	0	0	0	0	2级威烈
3	21	3	1	500206	500213	0	0	0	10	166	0	0	0	0	0	0	0	3级威烈
3	21	4	1	500206	500213	0	0	0	10	174	0	0	0	0	0	0	0	4级威烈
3	21	5	1	500206	500213	0	0	0	10	183	0	0	0	0	0	0	0	5级威烈
3	21	6	1	500206	500213	0	0	0	10	192	0	0	0	0	0	0	0	6级威烈
3	21	7	1	500206	500213	0	0	0	10	202	0	0	0	0	0	0	0	7级威烈
3	21	8	1	500206	500213	0	0	0	10	212	0	0	0	0	0	0	0	8级威烈
3	21	9	1	500206	500213	0	0	0	10	223	0	0	0	0	0	0	0	9级威烈
3	21	10	1	500206	500213	0	0	0	10	234	0	0	0	0	0	0	0	10级威烈
3	31	1	1	500206	500213	0	0	0	10	150	0	0	0	0	0	0	0	1级威烈
3	31	2	1	500206	500213	0	0	0	10	158	0	0	0	0	0	0	0	2级威烈
3	31	3	1	500206	500213	0	0	0	10	166	0	0	0	0	0	0	0	3级威烈
3	31	4	1	500206	500213	0	0	0	10	174	0	0	0	0	0	0	0	4级威烈
3	31	5	1	500206	500213	0	0	0	10	183	0	0	0	0	0	0	0	5级威烈
3	31	6	1	500206	500213	0	0	0	10	192	0	0	0	0	0	0	0	6级威烈
3	31	7	1	500206	500213	0	0	0	10	202	0	0	0	0	0	0	0	7级威烈
3	31	8	1	500206	500213	0	0	0	10	212	0	0	0	0	0	0	0	8级威烈
3	31	9	1	500206	500213	0	0	0	10	223	0	0	0	0	0	0	0	9级威烈
3	31	10	1	500206	500213	0	0	0	10	234	0	0	0	0	0	0	0	10级威烈
3	41	1	1	500206	500213	0	0	0	10	150	0	0	0	0	0	0	0	1级威烈
3	41	2	1	500206	500213	0	0	0	10	158	0	0	0	0	0	0	0	2级威烈
3	41	3	1	500206	500213	0	0	0	10	166	0	0	0	0	0	0	0	3级威烈
3	41	4	1	500206	500213	0	0	0	10	174	0	0	0	0	0	0	0	4级威烈
3	41	5	1	500206	500213	0	0	0	10	183	0	0	0	0	0	0	0	5级威烈
3	41	6	1	500206	500213	0	0	0	10	192	0	0	0	0	0	0	0	6级威烈
3	41	7	1	500206	500213	0	0	0	10	202	0	0	0	0	0	0	0	7级威烈
3	41	8	1	500206	500213	0	0	0	10	212	0	0	0	0	0	0	0	8级威烈
3	41	9	1	500206	500213	0	0	0	10	223	0	0	0	0	0	0	0	9级威烈
3	41	10	1	500206	500213	0	0	0	10	234	0	0	0	0	0	0	0	10级威烈
4	11	1	1	500213	500203	0	0	0	74	150	0	0	0	0	0	0	0	1级破军
4	11	2	1	500213	500203	0	0	0	74	158	0	0	0	0	0	0	0	2级破军
4	11	3	1	500213	500203	0	0	0	74	166	0	0	0	0	0	0	0	3级破军
4	11	4	1	500213	500203	0	0	0	74	174	0	0	0	0	0	0	0	4级破军
4	11	5	1	500213	500203	0	0	0	74	183	0	0	0	0	0	0	0	5级破军
4	11	6	1	500213	500203	0	0	0	74	192	0	0	0	0	0	0	0	6级破军
4	11	7	1	500213	500203	0	0	0	74	202	0	0	0	0	0	0	0	7级破军
4	11	8	1	500213	500203	0	0	0	74	212	0	0	0	0	0	0	0	8级破军
4	11	9	1	500213	500203	0	0	0	74	223	0	0	0	0	0	0	0	9级破军
4	11	10	1	500213	500203	0	0	0	74	234	0	0	0	0	0	0	0	10级破军
4	21	1	1	500213	500203	0	0	0	74	150	0	0	0	0	0	0	0	1级破军
4	21	2	1	500213	500203	0	0	0	74	158	0	0	0	0	0	0	0	2级破军
4	21	3	1	500213	500203	0	0	0	74	166	0	0	0	0	0	0	0	3级破军
4	21	4	1	500213	500203	0	0	0	74	174	0	0	0	0	0	0	0	4级破军
4	21	5	1	500213	500203	0	0	0	74	183	0	0	0	0	0	0	0	5级破军
4	21	6	1	500213	500203	0	0	0	74	192	0	0	0	0	0	0	0	6级破军
4	21	7	1	500213	500203	0	0	0	74	202	0	0	0	0	0	0	0	7级破军
4	21	8	1	500213	500203	0	0	0	74	212	0	0	0	0	0	0	0	8级破军
4	21	9	1	500213	500203	0	0	0	74	223	0	0	0	0	0	0	0	9级破军
4	21	10	1	500213	500203	0	0	0	74	234	0	0	0	0	0	0	0	10级破军
4	31	1	1	500213	500203	0	0	0	74	150	0	0	0	0	0	0	0	1级破军
4	31	2	1	500213	500203	0	0	0	74	158	0	0	0	0	0	0	0	2级破军
4	31	3	1	500213	500203	0	0	0	74	166	0	0	0	0	0	0	0	3级破军
4	31	4	1	500213	500203	0	0	0	74	174	0	0	0	0	0	0	0	4级破军
4	31	5	1	500213	500203	0	0	0	74	183	0	0	0	0	0	0	0	5级破军
4	31	6	1	500213	500203	0	0	0	74	192	0	0	0	0	0	0	0	6级破军
4	31	7	1	500213	500203	0	0	0	74	202	0	0	0	0	0	0	0	7级破军
4	31	8	1	500213	500203	0	0	0	74	212	0	0	0	0	0	0	0	8级破军
4	31	9	1	500213	500203	0	0	0	74	223	0	0	0	0	0	0	0	9级破军
4	31	10	1	500213	500203	0	0	0	74	234	0	0	0	0	0	0	0	10级破军
4	41	1	1	500213	500203	0	0	0	74	150	0	0	0	0	0	0	0	1级破军
4	41	2	1	500213	500203	0	0	0	74	158	0	0	0	0	0	0	0	2级破军
4	41	3	1	500213	500203	0	0	0	74	166	0	0	0	0	0	0	0	3级破军
4	41	4	1	500213	500203	0	0	0	74	174	0	0	0	0	0	0	0	4级破军
4	41	5	1	500213	500203	0	0	0	74	183	0	0	0	0	0	0	0	5级破军
4	41	6	1	500213	500203	0	0	0	74	192	0	0	0	0	0	0	0	6级破军
4	41	7	1	500213	500203	0	0	0	74	202	0	0	0	0	0	0	0	7级破军
4	41	8	1	500213	500203	0	0	0	74	212	0	0	0	0	0	0	0	8级破军
4	41	9	1	500213	500203	0	0	0	74	223	0	0	0	0	0	0	0	9级破军
4	41	10	1	500213	500203	0	0	0	74	234	0	0	0	0	0	0	0	10级破军
5	11	1	1	500303	500305	0	0	0	7	300	0	0	0	0	0	0	0	1级乾坤
5	11	2	1	500303	500305	0	0	0	7	315	0	0	0	0	0	0	0	2级乾坤
5	11	3	1	500303	500305	0	0	0	7	331	0	0	0	0	0	0	0	3级乾坤
5	11	4	1	500303	500305	0	0	0	7	348	0	0	0	0	0	0	0	4级乾坤
5	11	5	1	500303	500305	0	0	0	7	365	0	0	0	0	0	0	0	5级乾坤
5	11	6	1	500303	500305	0	0	0	7	383	0	0	0	0	0	0	0	6级乾坤
5	11	7	1	500303	500305	0	0	0	7	402	0	0	0	0	0	0	0	7级乾坤
5	11	8	1	500303	500305	0	0	0	7	422	0	0	0	0	0	0	0	8级乾坤
5	11	9	1	500303	500305	0	0	0	7	443	0	0	0	0	0	0	0	9级乾坤
5	11	10	1	500303	500305	0	0	0	7	465	0	0	0	0	0	0	0	10级乾坤
5	21	1	1	500303	500305	0	0	0	7	300	0	0	0	0	0	0	0	1级乾坤
5	21	2	1	500303	500305	0	0	0	7	315	0	0	0	0	0	0	0	2级乾坤
5	21	3	1	500303	500305	0	0	0	7	331	0	0	0	0	0	0	0	3级乾坤
5	21	4	1	500303	500305	0	0	0	7	348	0	0	0	0	0	0	0	4级乾坤
5	21	5	1	500303	500305	0	0	0	7	365	0	0	0	0	0	0	0	5级乾坤
5	21	6	1	500303	500305	0	0	0	7	383	0	0	0	0	0	0	0	6级乾坤
5	21	7	1	500303	500305	0	0	0	7	402	0	0	0	0	0	0	0	7级乾坤
5	21	8	1	500303	500305	0	0	0	7	422	0	0	0	0	0	0	0	8级乾坤
5	21	9	1	500303	500305	0	0	0	7	443	0	0	0	0	0	0	0	9级乾坤
5	21	10	1	500303	500305	0	0	0	7	465	0	0	0	0	0	0	0	10级乾坤
5	31	1	1	500303	500305	0	0	0	7	300	0	0	0	0	0	0	0	1级乾坤
5	31	2	1	500303	500305	0	0	0	7	315	0	0	0	0	0	0	0	2级乾坤
5	31	3	1	500303	500305	0	0	0	7	331	0	0	0	0	0	0	0	3级乾坤
5	31	4	1	500303	500305	0	0	0	7	348	0	0	0	0	0	0	0	4级乾坤
5	31	5	1	500303	500305	0	0	0	7	365	0	0	0	0	0	0	0	5级乾坤
5	31	6	1	500303	500305	0	0	0	7	383	0	0	0	0	0	0	0	6级乾坤
5	31	7	1	500303	500305	0	0	0	7	402	0	0	0	0	0	0	0	7级乾坤
5	31	8	1	500303	500305	0	0	0	7	422	0	0	0	0	0	0	0	8级乾坤
5	31	9	1	500303	500305	0	0	0	7	443	0	0	0	0	0	0	0	9级乾坤
5	31	10	1	500303	500305	0	0	0	7	465	0	0	0	0	0	0	0	10级乾坤
5	41	1	1	500303	500305	0	0	0	7	300	0	0	0	0	0	0	0	1级乾坤
5	41	2	1	500303	500305	0	0	0	7	315	0	0	0	0	0	0	0	2级乾坤
5	41	3	1	500303	500305	0	0	0	7	331	0	0	0	0	0	0	0	3级乾坤
5	41	4	1	500303	500305	0	0	0	7	348	0	0	0	0	0	0	0	4级乾坤
5	41	5	1	500303	500305	0	0	0	7	365	0	0	0	0	0	0	0	5级乾坤
5	41	6	1	500303	500305	0	0	0	7	383	0	0	0	0	0	0	0	6级乾坤
5	41	7	1	500303	500305	0	0	0	7	402	0	0	0	0	0	0	0	7级乾坤
5	41	8	1	500303	500305	0	0	0	7	422	0	0	0	0	0	0	0	8级乾坤
5	41	9	1	500303	500305	0	0	0	7	443	0	0	0	0	0	0	0	9级乾坤
5	41	10	1	500303	500305	0	0	0	7	465	0	0	0	0	0	0	0	10级乾坤
6	11	1	1	500305	500306	0	0	0	6	300	0	0	0	0	0	0	0	1级绝影
6	11	2	1	500305	500306	0	0	0	6	315	0	0	0	0	0	0	0	2级绝影
6	11	3	1	500305	500306	0	0	0	6	331	0	0	0	0	0	0	0	3级绝影
6	11	4	1	500305	500306	0	0	0	6	348	0	0	0	0	0	0	0	4级绝影
6	11	5	1	500305	500306	0	0	0	6	365	0	0	0	0	0	0	0	5级绝影
6	11	6	1	500305	500306	0	0	0	6	383	0	0	0	0	0	0	0	6级绝影
6	11	7	1	500305	500306	0	0	0	6	402	0	0	0	0	0	0	0	7级绝影
6	11	8	1	500305	500306	0	0	0	6	422	0	0	0	0	0	0	0	8级绝影
6	11	9	1	500305	500306	0	0	0	6	443	0	0	0	0	0	0	0	9级绝影
6	11	10	1	500305	500306	0	0	0	6	465	0	0	0	0	0	0	0	10级绝影
6	21	1	1	500305	500306	0	0	0	6	300	0	0	0	0	0	0	0	1级绝影
6	21	2	1	500305	500306	0	0	0	6	315	0	0	0	0	0	0	0	2级绝影
6	21	3	1	500305	500306	0	0	0	6	331	0	0	0	0	0	0	0	3级绝影
6	21	4	1	500305	500306	0	0	0	6	348	0	0	0	0	0	0	0	4级绝影
6	21	5	1	500305	500306	0	0	0	6	365	0	0	0	0	0	0	0	5级绝影
6	21	6	1	500305	500306	0	0	0	6	383	0	0	0	0	0	0	0	6级绝影
6	21	7	1	500305	500306	0	0	0	6	402	0	0	0	0	0	0	0	7级绝影
6	21	8	1	500305	500306	0	0	0	6	422	0	0	0	0	0	0	0	8级绝影
6	21	9	1	500305	500306	0	0	0	6	443	0	0	0	0	0	0	0	9级绝影
6	21	10	1	500305	500306	0	0	0	6	465	0	0	0	0	0	0	0	10级绝影
6	31	1	1	500305	500306	0	0	0	6	300	0	0	0	0	0	0	0	1级绝影
6	31	2	1	500305	500306	0	0	0	6	315	0	0	0	0	0	0	0	2级绝影
6	31	3	1	500305	500306	0	0	0	6	331	0	0	0	0	0	0	0	3级绝影
6	31	4	1	500305	500306	0	0	0	6	348	0	0	0	0	0	0	0	4级绝影
6	31	5	1	500305	500306	0	0	0	6	365	0	0	0	0	0	0	0	5级绝影
6	31	6	1	500305	500306	0	0	0	6	383	0	0	0	0	0	0	0	6级绝影
6	31	7	1	500305	500306	0	0	0	6	402	0	0	0	0	0	0	0	7级绝影
6	31	8	1	500305	500306	0	0	0	6	422	0	0	0	0	0	0	0	8级绝影
6	31	9	1	500305	500306	0	0	0	6	443	0	0	0	0	0	0	0	9级绝影
6	31	10	1	500305	500306	0	0	0	6	465	0	0	0	0	0	0	0	10级绝影
6	41	1	1	500305	500306	0	0	0	6	300	0	0	0	0	0	0	0	1级绝影
6	41	2	1	500305	500306	0	0	0	6	315	0	0	0	0	0	0	0	2级绝影
6	41	3	1	500305	500306	0	0	0	6	331	0	0	0	0	0	0	0	3级绝影
6	41	4	1	500305	500306	0	0	0	6	348	0	0	0	0	0	0	0	4级绝影
6	41	5	1	500305	500306	0	0	0	6	365	0	0	0	0	0	0	0	5级绝影
6	41	6	1	500305	500306	0	0	0	6	383	0	0	0	0	0	0	0	6级绝影
6	41	7	1	500305	500306	0	0	0	6	402	0	0	0	0	0	0	0	7级绝影
6	41	8	1	500305	500306	0	0	0	6	422	0	0	0	0	0	0	0	8级绝影
6	41	9	1	500305	500306	0	0	0	6	443	0	0	0	0	0	0	0	9级绝影
6	41	10	1	500305	500306	0	0	0	6	465	0	0	0	0	0	0	0	10级绝影
7	11	1	1	500306	500213	0	0	0	10	300	0	0	0	0	0	0	0	1级威烈
7	11	2	1	500306	500213	0	0	0	10	315	0	0	0	0	0	0	0	2级威烈
7	11	3	1	500306	500213	0	0	0	10	331	0	0	0	0	0	0	0	3级威烈
7	11	4	1	500306	500213	0	0	0	10	348	0	0	0	0	0	0	0	4级威烈
7	11	5	1	500306	500213	0	0	0	10	365	0	0	0	0	0	0	0	5级威烈
7	11	6	1	500306	500213	0	0	0	10	383	0	0	0	0	0	0	0	6级威烈
7	11	7	1	500306	500213	0	0	0	10	402	0	0	0	0	0	0	0	7级威烈
7	11	8	1	500306	500213	0	0	0	10	422	0	0	0	0	0	0	0	8级威烈
7	11	9	1	500306	500213	0	0	0	10	443	0	0	0	0	0	0	0	9级威烈
7	11	10	1	500306	500213	0	0	0	10	465	0	0	0	0	0	0	0	10级威烈
7	21	1	1	500306	500213	0	0	0	10	300	0	0	0	0	0	0	0	1级威烈
7	21	2	1	500306	500213	0	0	0	10	315	0	0	0	0	0	0	0	2级威烈
7	21	3	1	500306	500213	0	0	0	10	331	0	0	0	0	0	0	0	3级威烈
7	21	4	1	500306	500213	0	0	0	10	348	0	0	0	0	0	0	0	4级威烈
7	21	5	1	500306	500213	0	0	0	10	365	0	0	0	0	0	0	0	5级威烈
7	21	6	1	500306	500213	0	0	0	10	383	0	0	0	0	0	0	0	6级威烈
7	21	7	1	500306	500213	0	0	0	10	402	0	0	0	0	0	0	0	7级威烈
7	21	8	1	500306	500213	0	0	0	10	422	0	0	0	0	0	0	0	8级威烈
7	21	9	1	500306	500213	0	0	0	10	443	0	0	0	0	0	0	0	9级威烈
7	21	10	1	500306	500213	0	0	0	10	465	0	0	0	0	0	0	0	10级威烈
7	31	1	1	500306	500213	0	0	0	10	300	0	0	0	0	0	0	0	1级威烈
7	31	2	1	500306	500213	0	0	0	10	315	0	0	0	0	0	0	0	2级威烈
7	31	3	1	500306	500213	0	0	0	10	331	0	0	0	0	0	0	0	3级威烈
7	31	4	1	500306	500213	0	0	0	10	348	0	0	0	0	0	0	0	4级威烈
7	31	5	1	500306	500213	0	0	0	10	365	0	0	0	0	0	0	0	5级威烈
7	31	6	1	500306	500213	0	0	0	10	383	0	0	0	0	0	0	0	6级威烈
7	31	7	1	500306	500213	0	0	0	10	402	0	0	0	0	0	0	0	7级威烈
7	31	8	1	500306	500213	0	0	0	10	422	0	0	0	0	0	0	0	8级威烈
7	31	9	1	500306	500213	0	0	0	10	443	0	0	0	0	0	0	0	9级威烈
7	31	10	1	500306	500213	0	0	0	10	465	0	0	0	0	0	0	0	10级威烈
7	41	1	1	500306	500213	0	0	0	10	300	0	0	0	0	0	0	0	1级威烈
7	41	2	1	500306	500213	0	0	0	10	315	0	0	0	0	0	0	0	2级威烈
7	41	3	1	500306	500213	0	0	0	10	331	0	0	0	0	0	0	0	3级威烈
7	41	4	1	500306	500213	0	0	0	10	348	0	0	0	0	0	0	0	4级威烈
7	41	5	1	500306	500213	0	0	0	10	365	0	0	0	0	0	0	0	5级威烈
7	41	6	1	500306	500213	0	0	0	10	383	0	0	0	0	0	0	0	6级威烈
7	41	7	1	500306	500213	0	0	0	10	402	0	0	0	0	0	0	0	7级威烈
7	41	8	1	500306	500213	0	0	0	10	422	0	0	0	0	0	0	0	8级威烈
7	41	9	1	500306	500213	0	0	0	10	443	0	0	0	0	0	0	0	9级威烈
7	41	10	1	500306	500213	0	0	0	10	465	0	0	0	0	0	0	0	10级威烈
8	11	1	1	500213	500303	0	0	0	74	300	0	0	0	0	0	0	0	1级破军
8	11	2	1	500213	500303	0	0	0	74	315	0	0	0	0	0	0	0	2级破军
8	11	3	1	500213	500303	0	0	0	74	331	0	0	0	0	0	0	0	3级破军
8	11	4	1	500213	500303	0	0	0	74	348	0	0	0	0	0	0	0	4级破军
8	11	5	1	500213	500303	0	0	0	74	365	0	0	0	0	0	0	0	5级破军
8	11	6	1	500213	500303	0	0	0	74	383	0	0	0	0	0	0	0	6级破军
8	11	7	1	500213	500303	0	0	0	74	402	0	0	0	0	0	0	0	7级破军
8	11	8	1	500213	500303	0	0	0	74	422	0	0	0	0	0	0	0	8级破军
8	11	9	1	500213	500303	0	0	0	74	443	0	0	0	0	0	0	0	9级破军
8	11	10	1	500213	500303	0	0	0	74	465	0	0	0	0	0	0	0	10级破军
8	21	1	1	500213	500303	0	0	0	74	300	0	0	0	0	0	0	0	1级破军
8	21	2	1	500213	500303	0	0	0	74	315	0	0	0	0	0	0	0	2级破军
8	21	3	1	500213	500303	0	0	0	74	331	0	0	0	0	0	0	0	3级破军
8	21	4	1	500213	500303	0	0	0	74	348	0	0	0	0	0	0	0	4级破军
8	21	5	1	500213	500303	0	0	0	74	365	0	0	0	0	0	0	0	5级破军
8	21	6	1	500213	500303	0	0	0	74	383	0	0	0	0	0	0	0	6级破军
8	21	7	1	500213	500303	0	0	0	74	402	0	0	0	0	0	0	0	7级破军
8	21	8	1	500213	500303	0	0	0	74	422	0	0	0	0	0	0	0	8级破军
8	21	9	1	500213	500303	0	0	0	74	443	0	0	0	0	0	0	0	9级破军
8	21	10	1	500213	500303	0	0	0	74	465	0	0	0	0	0	0	0	10级破军
8	31	1	1	500213	500303	0	0	0	74	300	0	0	0	0	0	0	0	1级破军
8	31	2	1	500213	500303	0	0	0	74	315	0	0	0	0	0	0	0	2级破军
8	31	3	1	500213	500303	0	0	0	74	331	0	0	0	0	0	0	0	3级破军
