传送ID	有效值	速度	地图ID	X坐标	Y坐标	地图ID	X坐标	Y坐标	地图ID	X坐标	Y坐标	传送类型	限制类型	限制数据	无	无	无	无	检测状态	备注
393801	1	50	3938	1046	2037	3938	1046	2037	3938	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
393901	1	50	3939	1046	2037	3939	1046	2037	3939	1046	2037	1	0	0	0	0	0	0	0	师徒副本进入点
410001	1	50	4100	921	414	4100	921	414	4100	921	414	1	0	0	0	0	0	0	0	无
410101	1	50	4101	921	414	4101	921	414	4101	921	414	1	0	0	0	0	0	0	0	无
410201	1	50	4102	2455	1827	4102	2455	1827	4102	2455	1827	1	0	0	0	0	0	0	0	无
410202	1	50	4102	3345	1828	4102	3345	1828	4102	3345	1828	1	0	0	0	0	0	0	0	无
410301	1	50	4103	966	1248	4103	966	1248	4103	966	1248	1	0	0	0	0	0	0	0	无
410302	1	50	4103	2505	1231	4103	2505	1231	4103	2505	1231	1	0	0	0	0	0	0	0	无
410401	1	50	4104	2455	1827	4104	2455	1827	4104	2455	1827	1	0	0	0	0	0	0	0	无
410402	1	50	4104	3345	1828	4104	3345	1828	4104	3345	1828	1	0	0	0	0	0	0	0	无
420101	1	50	4201	944	2209	4201	944	2209	4201	944	2209	1	0	0	0	0	0	0	0	无
420102	1	50	4201	1845	1703	4201	1845	1703	4201	1845	1703	1	0	0	0	0	0	0	0	无
420103	1	50	4201	2538	1697	4201	2538	1697	4201	2538	1697	1	0	0	0	0	0	0	0	无
420104	1	50	4201	2443	1823	4201	2443	1823	4201	2443	1823	1	0	0	0	0	0	0	0	无
420105	1	50	4201	2303	1778	4201	2303	1778	4201	2303	1778	1	0	0	0	0	0	0	0	无
420106	1	50	4201	2302	1616	4201	2302	1616	4201	2302	1616	1	0	0	0	0	0	0	0	无
420107	1	50	4201	2440	1571	4201	2440	1571	4201	2440	1571	1	0	0	0	0	0	0	0	无
420301	1	50	4203	2358	1750	4203	2358	1750	4203	2358	1750	1	0	0	0	0	0	0	0	无
420302	1	50	4203	2881	1087	4203	2881	1087	4203	2881	1087	1	0	0	0	0	0	0	0	无
420303	1	50	4203	2849	1352	4203	2849	1352	4203	2849	1352	1	0	0	0	0	0	0	0	无
420304	1	50	4203	3501	1278	4203	3501	1278	4203	3501	1278	1	0	0	0	0	0	0	0	无
420305	1	50	4203	3786	1283	4203	3786	1283	4203	3786	1283	1	0	0	0	0	0	0	0	无
420306	1	50	4203	3665	2061	4203	3665	2061	4203	3665	2061	1	0	0	0	0	0	0	0	无
420307	1	50	4203	3659	2333	4203	3659	2333	4203	3659	2333	1	0	0	0	0	0	0	0	无
420001	1	50	4200	1366	2631	4200	1366	2631	4200	1366	2631	1	0	0	0	0	0	0	0	无
420002	1	50	4200	1845	1703	4200	1845	1703	4200	1845	1703	1	0	0	0	0	0	0	0	无
420003	1	50	4200	2538	1697	4200	2538	1697	4200	2538	1697	1	0	0	0	0	0	0	0	无
420004	1	50	4200	2443	1823	4200	2443	1823	4200	2443	1823	1	0	0	0	0	0	0	0	无
420005	1	50	4200	2303	1778	4200	2303	1778	4200	2303	1778	1	0	0	0	0	0	0	0	无
420006	1	50	4200	2302	1616	4200	2302	1616	4200	2302	1616	1	0	0	0	0	0	0	0	无
420007	1	50	4200	2440	1571	4200	2440	1571	4200	2440	1571	1	0	0	0	0	0	0	0	无
430101	1	50	4301	431	595	4301	431	595	4301	431	595	1	0	0	0	0	0	0	0	无
430102	1	50	4301	731	595	4301	731	595	4301	731	595	1	0	0	0	0	0	0	0	无
430201	1	50	4302	431	595	4302	431	595	4302	431	595	1	0	0	0	0	0	0	0	无
430301	1	50	4303	3930	3350	4303	3930	3350	4303	3930	3350	1	0	0	0	0	0	0	0	无
430302	1	50	4303	4390	2870	4303	4390	2870	4303	4390	2870	1	0	0	0	0	0	0	0	无
430303	1	50	4303	3470	2870	4303	3470	2870	4303	3470	2870	1	0	0	0	0	0	0	0	无
430304	1	50	4303	3470	3820	4303	3470	3820	4303	3470	3820	1	0	0	0	0	0	0	0	无
430305	1	50	4303	4390	3820	4303	4390	3820	4303	4390	3820	1	0	0	0	0	0	0	0	无
430401	1	50	4304	3930	3350	4304	3930	3350	4304	3930	3350	1	0	0	0	0	0	0	0	无
430402	1	50	4304	4390	2870	4304	4390	2870	4304	4390	2870	1	0	0	0	0	0	0	0	无
430403	1	50	4304	3470	2870	4304	3470	2870	4304	3470	2870	1	0	0	0	0	0	0	0	无
430404	1	50	4304	3470	3820	4304	3470	3820	4304	3470	3820	1	0	0	0	0	0	0	0	无
430405	1	50	4304	4390	3820	4304	4390	3820	4304	4390	3820	1	0	0	0	0	0	0	0	无
430501	1	50	4301	431	595	4301	431	595	4301	431	595	1	0	0	0	0	0	0	0	无
430502	1	50	4301	731	595	4301	731	595	4301	731	595	1	0	0	0	0	0	0	0	无
440101	1	50	4401	3626	1830	4401	2156	1830	4401	2156	1830	1	0	0	0	0	0	0	0	无
440201	1	50	4402	3234	2242	4402	3234	2242	4402	3234	2242	1	0	0	0	0	0	0	0	守方复活点
440202	1	50	4402	2195	3289	4402	2195	3289	4402	2195	3289	1	0	0	0	0	0	0	0	攻1方复活点
440203	1	50	4402	1180	2241	4402	1180	2241	4402	1180	2241	1	0	0	0	0	0	0	0	攻2方复活点
440204	1	50	4402	2195	1217	4402	2195	1217	4402	2195	1217	1	0	0	0	0	0	0	0	攻3方复活点
450101	1	50	4501	4212	1437	4501	4212	1437	4501	4212	1437	1	0	0	0	0	0	0	0	神魔古墓准备区域进入点
450102	1	50	4501	2614	3783	4501	2614	3783	4501	2614	3783	1	0	0	0	0	0	0	0	神魔古墓一层1区域进入点
450103	1	50	4501	1854	3034	4501	1854	3034	4501	1854	3034	1	0	0	0	0	0	0	0	神魔古墓一层2区域进入点
450104	1	50	4501	1856	1970	4501	1856	1970	4501	1856	1970	1	0	0	0	0	0	0	0	神魔古墓一层3区域进入点
450105	1	50	4501	2619	1224	4501	2619	1224	4501	2619	1224	1	0	0	0	0	0	0	0	神魔古墓一层4区域进入点
450106	1	50	4501	5828	1228	4501	5828	1228	4501	5828	1228	1	0	0	0	0	0	0	0	神魔古墓一层5区域进入点
450107	1	50	4501	6584	1974	4501	6584	1974	4501	6584	1974	1	0	0	0	0	0	0	0	神魔古墓一层6区域进入点
450108	1	50	4501	6586	3030	4501	6586	3030	4501	6586	3030	1	0	0	0	0	0	0	0	神魔古墓一层7区域进入点
450109	1	50	4501	5829	3784	4501	5829	3784	4501	5829	3784	1	0	0	0	0	0	0	0	神魔古墓一层8区域进入点
450110	1	50	4501	2618	3058	4501	2618	3058	4501	2618	3058	1	0	0	0	0	0	0	0	神魔古墓二层1区域进入点
450111	1	50	4501	2614	1994	4501	2614	1994	4501	2614	1994	1	0	0	0	0	0	0	0	神魔古墓二层2区域进入点
450112	1	50	4501	5286	1990	4501	5286	1990	4501	5286	1990	1	0	0	0	0	0	0	0	神魔古墓二层3区域进入点
450113	1	50	4501	5289	3050	4501	5289	3050	4501	5289	3050	1	0	0	0	0	0	0	0	神魔古墓二层4区域进入点
450201	1	50	4502	4132	5103	4502	4132	5103	4502	4132	5103	1	0	0	0	0	0	0	0	吃鸡准备场
450301	1	50	4503	1723	1373	4503	1723	1373	4503	1723	1373	1	0	0	0	0	0	0	0	吃鸡副本
450401	1	50	4504	4132	5103	4504	4132	5103	4504	4132	5103	1	0	0	0	0	0	0	0	跨服吃鸡准备场
450501	1	50	4505	1723	1373	4505	1723	1373	4505	1723	1373	1	0	0	0	0	0	0	0	跨服吃鸡副本
450601	1	50	4506	4132	5103	4506	4132	5103	4506	4132	5103	1	0	0	0	0	0	0	0	跨服吃鸡准备场
450701	1	50	4507	1723	1373	4507	1723	1373	4507	1723	1373	1	0	0	0	0	0	0	0	跨服吃鸡副本
601301	1	50	6013	1296	1305	6013	1296	1305	6013	1296	1305	1	0	0	0	0	0	0	0	无
602001	1	50	6020	3446	3783	6020	3446	3783	6020	3446	3783	1	0	0	0	0	0	0	0	无
700101	1	50	7001	1633	1653	7001	1633	1653	7001	1633	1653	1	0	0	0	0	0	0	0	无
701001	1	50	7010	1792	1221	7010	1792	1221	7010	1792	1221	1	0	0	0	0	0	0	0	无
710001	1	50	7100	2171	683	7100	857	2180	7100	3553	2195	1	0	0	0	0	0	0	0	无
710101	1	50	7101	2171	683	7101	857	2180	7101	3553	2195	1	0	0	0	0	0	0	0	无
710201	1	50	7102	2171	683	7102	857	2180	7102	3553	2195	1	0	0	0	0	0	0	0	无
710301	1	50	7103	2171	683	7103	857	2180	7103	3553	2195	1	0	0	0	0	0	0	0	无
710401	1	50	7104	2171	683	7104	857	2180	7104	3553	2195	1	0	0	0	0	0	0	0	无
710501	1	50	7105	2171	683	7105	857	2180	7105	3553	2195	1	0	0	0	0	0	0	0	无
710601	1	50	7106	2171	683	7106	857	2180	7106	3553	2195	1	0	0	0	0	0	0	0	无
710701	1	50	7107	2171	683	7107	857	2180	7107	3553	2195	1	0	0	0	0	0	0	0	无
710801	1	50	7108	2171	683	7108	857	2180	7108	3553	2195	1	0	0	0	0	0	0	0	无
711001	1	50	7110	1955	2445	7110	4476	2567	7110	3311	4880	1	0	0	0	0	0	0	0	无
711101	1	50	7111	1955	2445	7111	4476	2567	7111	3311	4880	1	0	0	0	0	0	0	0	无
711201	1	50	7112	1955	2445	7112	4476	2567	7112	3311	4880	1	0	0	0	0	0	0	0	无
711301	1	50	7113	1955	2445	7113	4476	2567	7113	3311	4880	1	0	0	0	0	0	0	0	无
711401	1	50	7114	1955	2445	7114	4476	2567	7114	3311	4880	1	0	0	0	0	0	0	0	无
711501	1	50	7115	1955	2445	7115	4476	2567	7115	3311	4880	1	0	0	0	0	0	0	0	无
711601	1	50	7116	1955	2445	7116	4476	2567	7116	3311	4880	1	0	0	0	0	0	0	0	无
720001	1	50	7200	2171	683	7200	857	2180	7200	3553	2195	1	0	0	0	0	0	0	0	无
900101	1	50	9001	1019	2515	9001	1019	2515	9001	1019	2515	1	0	0	0	0	0	0	0	无
900201	1	50	9002	1019	2515	9002	1019	2515	9002	1019	2515	1	0	0	0	0	0	0	0	无
900301	1	50	9003	1019	2515	9003	1019	2515	9003	1019	2515	1	0	0	0	0	0	0	0	无
900401	1	50	9004	1019	2515	9004	1019	2515	9004	1019	2515	1	0	0	0	0	0	0	0	无
900501	1	50	9005	1019	2515	9005	1019	2515	9005	1019	2515	1	0	0	0	0	0	0	0	无
900601	1	50	9006	1019	2515	9006	1019	2515	9006	1019	2515	1	0	0	0	0	0	0	0	无
900701	1	50	9007	1019	2515	9007	1019	2515	9007	1019	2515	1	0	0	0	0	0	0	0	无
900801	1	50	9008	1019	2515	9008	1019	2515	9008	1019	2515	1	0	0	0	0	0	0	0	无
900901	1	50	9009	1019	2515	9009	1019	2515	9009	1019	2515	1	0	0	0	0	0	0	0	无
901001	1	50	9010	1019	2515	9010	1019	2515	9010	1019	2515	1	0	0	0	0	0	0	0	无
901101	1	50	9011	1019	2515	9011	1019	2515	9011	1019	2515	1	0	0	0	0	0	0	0	无
901201	1	50	9012	1019	2515	9012	1019	2515	9012	1019	2515	1	0	0	0	0	0	0	0	无
901301	1	50	9013	1019	2515	9013	1019	2515	9013	1019	2515	1	0	0	0	0	0	0	0	无
901401	1	50	9014	1019	2515	9014	1019	2515	9014	1019	2515	1	0	0	0	0	0	0	0	无
901501	1	50	9015	1019	2515	9015	1019	2515	9015	1019	2515	1	0	0	0	0	0	0	0	无
901601	1	50	9016	1019	2515	9016	1019	2515	9016	1019	2515	1	0	0	0	0	0	0	0	无
901701	1	50	9017	1019	2515	9017	1019	2515	9017	1019	2515	1	0	0	0	0	0	0	0	无
901801	1	50	9018	1019	2515	9018	1019	2515	9018	1019	2515	1	0	0	0	0	0	0	0	无
901901	1	50	9019	1019	2515	9019	1019	2515	9019	1019	2515	1	0	0	0	0	0	0	0	无
902001	1	50	9020	1019	2515	9020	1019	2515	9020	1019	2515	1	0	0	0	0	0	0	0	无
802101	1	50	8021	2547	2647	8021	2547	2647	8021	2547	2647	1	0	0	0	0	0	0	0	无
802201	1	50	8022	2096	2312	8022	2096	2312	8022	2096	2312	1	0	0	0	0	0	0	0	无
802301	1	50	8023	2671	1720	8023	2671	1720	8023	2671	1720	1	0	0	0	0	0	0	0	无
802401	1	50	8024	1812	1877	8024	1812	1877	8024	1812	1877	1	0	0	0	0	0	0	0	无
802501	1	50	8025	1752	2219	8025	1752	2219	8025	1752	2219	1	0	0	0	0	0	0	0	无
802601	1	50	8026	2099	1971	8026	2099	1971	8026	2099	1971	1	0	0	0	0	0	0	0	无
802701	1	50	8027	2375	2062	8027	2375	2062	8027	2375	2062	1	0	0	0	0	0	0	0	无
802801	1	50	8028	2625	1773	8028	2625	1773	8028	2625	1773	1	0	0	0	0	0	0	0	无
802901	1	50	8029	2153	2032	8029	2153	2032	8029	2153	2032	1	0	0	0	0	0	0	0	无
803001	1	50	8030	2749	2641	8030	2749	2641	8030	2749	2641	1	0	0	0	0	0	0	0	无
803101	1	50	8031	1797	2837	8031	1797	2837	8031	1797	2837	1	0	0	0	0	0	0	0	无
803201	1	50	8032	2215	2456	8032	2215	2456	8032	2215	2456	1	0	0	0	0	0	0	0	无
803301	1	50	8033	1462	1362	8033	1462	1362	8033	1462	1362	1	0	0	0	0	0	0	0	无
803401	1	50	8034	2077	1817	8034	2077	1817	8034	2077	1817	1	0	0	0	0	0	0	0	无
803501	1	50	8035	2149	1305	8035	2149	1305	8035	2149	1305	1	0	0	0	0	0	0	0	无
803601	1	50	8036	1461	1353	8036	1461	1353	8036	1461	1353	1	0	0	0	0	0	0	0	无
803701	1	50	8037	2070	1817	8037	2070	1817	8037	2070	1817	1	0	0	0	0	0	0	0	无
803801	1	50	8038	2083	1815	8038	2083	1815	8038	2083	1815	1	0	0	0	0	0	0	0	无
803901	1	50	8039	1459	1365	8039	1459	1365	8039	1459	1365	1	0	0	0	0	0	0	0	无
804001	1	50	8040	2085	1818	8040	2085	1818	8040	2085	1818	1	0	0	0	0	0	0	0	无
804101	1	50	8041	732	1022	8041	732	1022	8041	732	1022	1	0	0	0	0	0	0	0	无
804201	1	50	8042	942	1158	8042	942	1158	8042	942	1158	1	0	0	0	0	0	0	0	无
804301	1	50	8043	945	1220	8043	945	1220	8043	945	1220	1	0	0	0	0	0	0	0	无
804401	1	50	8044	1277	1136	8044	1277	1136	8044	1277	1136	1	0	0	0	0	0	0	0	无
804501	1	50	8045	796	1021	8045	796	1021	8045	796	1021	1	0	0	0	0	0	0	0	无
804601	1	50	8046	766	1025	8046	766	1025	8046	766	1025	1	0	0	0	0	0	0	0	无
804701	1	50	8047	942	1431	8047	942	1431	8047	942	1431	1	0	0	0	0	0	0	0	无
804801	1	50	8048	944	889	8048	944	889	8048	944	889	1	0	0	0	0	0	0	0	无
804901	1	50	8049	765	1021	8049	765	1021	8049	765	1021	1	0	0	0	0	0	0	0	无
805001	1	50	8050	1277	1140	8050	1277	1140	8050	1277	1140	1	0	0	0	0	0	0	0	无
805101	1	50	8051	1493	1970	8051	1493	1970	8051	1493	1970	1	0	0	0	0	0	0	0	无
805201	1	50	8052	2440	2394	8052	2440	2394	8052	2440	2394	1	0	0	0	0	0	0	0	无
805301	1	50	8053	2014	1758	8053	2014	1758	8053	2014	1758	1	0	0	0	0	0	0	0	无
805401	1	50	8054	1653	2260	8054	1653	2260	8054	1653	2260	1	0	0	0	0	0	0	0	无
805501	1	50	8055	1239	2261	8055	1239	2261	8055	1239	2261	1	0	0	0	0	0	0	0	无
805601	1	50	8056	1689	2253	8056	1689	2253	8056	1689	2253	1	0	0	0	0	0	0	0	无
805701	1	50	8057	1491	2067	8057	1491	2067	8057	1491	2067	1	0	0	0	0	0	0	0	无
805801	1	50	8058	2261	2393	8058	2261	2393	8058	2261	2393	1	0	0	0	0	0	0	0	无
805901	1	50	8059	2296	2394	8059	2296	2394	8059	2296	2394	1	0	0	0	0	0	0	0	无
806001	1	50	8060	1966	1769	8060	1966	1769	8060	1966	1769	1	0	0	0	0	0	0	0	无
806101	1	50	8061	1797	2780	8061	1797	2780	8061	1797	2780	1	0	0	0	0	0	0	0	无
806201	1	50	8062	1540	1830	8062	1540	1830	8062	1540	1830	1	0	0	0	0	0	0	0	无
806301	1	50	8063	1800	2277	8063	1800	2277	8063	1800	2277	1	0	0	0	0	0	0	0	无
806401	1	50	8064	1790	1649	8064	1790	1649	8064	1790	1649	1	0	0	0	0	0	0	0	无
806501	1	50	8065	1540	1830	8065	1540	1830	8065	1540	1830	1	0	0	0	0	0	0	0	无
806601	1	50	8066	1797	2780	8066	1797	2780	8066	1797	2780	1	0	0	0	0	0	0	0	无
806701	1	50	8067	1800	2277	8067	1800	2277	8067	1800	2277	1	0	0	0	0	0	0	0	无
806801	1	50	8068	1540	1830	8068	1540	1830	8068	1540	1830	1	0	0	0	0	0	0	0	无
806901	1	50	8069	1797	2780	8069	1797	2780	8069	1797	2780	1	0	0	0	0	0	0	0	无
807001	1	50	8070	1790	1649	8070	1790	1649	8070	1790	1649	1	0	0	0	0	0	0	0	无
807101	1	50	8071	2625	1774	8071	2625	1774	8071	2625	1774	1	0	0	0	0	0	0	0	无
807201	1	50	8072	2083	1960	8072	2083	1960	8072	2083	1960	1	0	0	0	0	0	0	0	无
807301	1	50	8073	2060	2550	8073	2060	2550	8073	2060	2550	1	0	0	0	0	0	0	0	无
807401	1	50	8074	2510	2648	8074	2510	2648	8074	2510	2648	1	0	0	0	0	0	0	0	无
807501	1	50	8075	1870	1877	8075	1870	1877	8075	1870	1877	1	0	0	0	0	0	0	0	无
807601	1	50	8076	2521	2647	8076	2521	2647	8076	2521	2647	1	0	0	0	0	0	0	0	无
807701	1	50	8077	1883	2329	8077	1883	2329	8077	1883	2329	1	0	0	0	0	0	0	0	无
807801	1	50	8078	2624	1774	8078	2624	1774	8078	2624	1774	1	0	0	0	0	0	0	0	无
807901	1	50	8079	2165	2235	8079	2165	2235	8079	2165	2235	1	0	0	0	0	0	0	0	无
808001	1	50	8080	2373	2062	8080	2373	2062	8080	2373	2062	1	0	0	0	0	0	0	0	无
808101	1	50	8081	3706	1509	8081	3706	1509	8081	3706	1509	1	0	0	0	0	0	0	0	无
808201	1	50	8082	3706	1509	8082	3706	1509	8082	3706	1509	1	0	0	0	0	0	0	0	无
808301	1	50	8083	3706	1509	8083	3706	1509	8083	3706	1509	1	0	0	0	0	0	0	0	无
808401	1	50	8084	3706	1509	8084	3706	1509	8084	3706	1509	1	0	0	0	0	0	0	0	无
808501	1	50	8085	3706	1509	8085	3706	1509	8085	3706	1509	1	0	0	0	0	0	0	0	无
808601	1	50	8086	3706	1509	8086	3706	1509	8086	3706	1509	1	0	0	0	0	0	0	0	无
808701	1	50	8087	3706	1509	8087	3706	1509	8087	3706	1509	1	0	0	0	0	0	0	0	无
