#id	#可用	#类型（1单数出现，2偶数出现）	#出现几率（此题目在本类型中出现的几率）	#正确答案	#选项数量	#题目（文本信息或文本信息ID）	选项1（文本信息或文本信息ID）	选项2（文本信息或文本信息ID）	选项3（文本信息或文本信息ID）	选项4（文本信息或文本信息ID）
[K][C][S]id	valid	[C][S]type_id	[C][S]probability	[C][S]answer_id	[C][S]answer_num	[C][S]questionDesc	[C][S]answer_1	[C][S]answer_2	[C][S]answer_3	[C][S]answer_4
24	1	1	10000	1	2	目前游戏中分为哪三大阵营？	圣王、修罗、天策	昆仑、琉璃、乾坤	0	0
25	1	2	10000	1	2	阵营中的龙卫官职可以干嘛？	获专属收益	召唤神龙	0	0
26	1	1	10000	2	2	以下哪个不全属于游戏中的阵营官职？	神将、魔尊、战将	军师、魔后、首席	0	0
27	1	2	10000	1	2	离开帮派后会干嘛？	不能参与战利品分红	变得更帅	0	0
28	1	1	10000	2	2	游戏中哪个境界高一点？	婴变	元婴	0	0
29	1	2	10000	2	2	哪个不属于帮派大厅中的建筑？	主殿、兵甲坊	帮派宝库、帮派拍卖	0	0
30	1	1	10000	2	2	以下哪个不全属于背包按钮中的功能？	整理、重铸	图鉴、出售	0	0
31	1	2	10000	2	2	游戏中装备主件分为哪几个？	武器、衣服、裤子、防具	武器、衣服、裤子、腰带	0	0
32	1	1	10000	2	2	游戏中装备辅件分为哪几个？	腰带、护肩、手套、鞋子	帽子、护肩、手套、鞋子	0	0
33	1	2	10000	2	2	游戏中装备饰品分为哪几个？	项链、耳环	项链、戒指	0	0
34	1	1	10000	2	2	强化需要消耗什么？	三角宝石、强化石	铜币、强化石	0	0
35	1	2	10000	2	2	重铸需要消耗什么？	强化石和铜币	陨铁和铜币	0	0
36	1	1	10000	1	2	镶嵌需要消耗什么？	宝石	祝福石	0	0
37	1	2	10000	1	2	坐骑能否在寄售里面出售？	能	不能	0	0
38	1	1	10000	1	2	以下哪些途径全部可以获得元宝？	充值、聚宝盆	摇钱树、寄售	0	0
39	1	2	10000	1	2	修炼可以获得什么？	经验	奥术能量	0	0
40	1	1	10000	2	2	哪些不属于我们游戏中的角色？	烟尘生、音一	奥巴马	0	0
41	1	2	10000	2	2	以下哪个不全属于游戏中的商城？	灵宠商城、外观商城	充值、长生阁	0	0
42	1	1	10000	1	2	剑池任务一共几环？	4	1	0	0
43	1	2	10000	2	2	以下哪些不全是我们游戏中的玩法？	鬼王陵	召唤师峡谷	0	0
44	1	1	10000	1	2	以下哪些没有限时活动中的玩法？	长生碑、秘境	神魔古墓、阵营刺探	0	0
45	1	2	10000	1	2	宝图一共有多少个级别？	5	4	0	0
46	1	1	10000	2	2	进行醉仙酿需要到哪个地图去接任务？	神都	三合殿	0	0
47	1	2	10000	2	2	神都没有哪个区域？	颂神坪	主殿	0	0
48	1	1	10000	2	2	怎样可以变强？	打坐修炼心法	进行左上角变强相关	0	0
49	1	2	10000	1	2	组队副本多人参与有什么好处？	额外经验加成	额外帮贡加成	0	0
50	1	1	10000	1	2	打坐是干嘛用的？	恢复生命	恢复魔法	0	0
51	1	2	10000	2	2	游戏中角色释放技能后会怎样？	消耗魔法并技能进入冷却	技能进入冷却	0	0
52	1	1	10000	1	2	游戏中获得物品时一般保存在哪？	背包	秘库	0	0
53	1	2	10000	2	2	更换装备时，装备强化的属性是否会继承？	不会	会	0	0
54	1	1	10000	2	2	更换装备时，镶嵌宝石的属性是否会继承？	不会	会	0	0
55	1	2	10000	2	2	宝石是否可以升级？	不可以	可以	0	0
56	1	1	10000	2	2	更换装备时，装备重铸的属性是否会继承？	不会	会	0	0
57	1	2	10000	1	2	坐骑是否能增加角色的属性？	能	不能	0	0
58	1	1	10000	1	2	谁可以治疗队友？	琉璃职业角色	大胸小姐姐	0	0
59	1	2	10000	1	2	游戏中[颜色品质]低到高的顺序为：绿-蓝-紫-橙-红-粉	正确	错误	0	0
60	1	1	10000	2	2	角色死亡时是否会扣除经验？	会	不会	0	0
61	1	2	10000	1	2	掉线后应该怎么做？	点击重新连接	坐等客服	0	0
62	1	1	10000	1	2	帮主和百草堂堂主谁官大？	帮主	百草堂堂主	0	0
63	1	2	10000	1	2	玩家最初始的境界为？	炼体	筑基	0	0
64	1	1	10000	2	2	以下哪些东西不全在长生碑中产出？	经验、长生诀、强化石	魂玉、元宝、经验	0	0
65	1	2	10000	2	2	以下哪个不全是琉璃的技能？	藤语、花影	花灵、回雁	0	0
66	1	1	10000	2	2	以下哪个所含怪物不全存在剑池当中？	夜魔虎、魔蝠	魔狼、狩猎者	0	0
67	1	2	10000	2	2	以下哪个不全是剑池任务的内容？	采集剑池、寻找剑谱	驱逐妖兽、驱逐年兽	0	0
68	1	1	10000	1	2	装备有什么区别？	品质、颜色	等级、星阶	0	0
69	1	2	10000	1	2	当出现以下哪种情况玩家无法再获得物品？	临时背包格子已满	运气太差	0	0
70	1	1	10000	2	2	以下哪个无法在初获灵宠任务中获得的？	大树	大鱼干	0	0
71	1	2	10000	1	2	怎样可以提高天地异变等级？	提升等级、收集材料	提高等级、充值元宝	0	0
72	1	1	10000	2	2	以下哪个不全是我们游戏中的商店？	兵甲坊、霓裳坊	元宝商店、染衣坊	0	0
73	1	2	10000	1	2	背包中整理按钮有什么用？	将临时背包中物品取出	将背包中低级装备销毁	0	0
74	1	1	10000	1	2	外观礼包能获得什么东西？	时装、武器外观	挂件、陆行坐骑	0	0
75	1	2	10000	2	2	灵宠是否可以在寄售中出售？	不可以	可以	0	0
76	1	1	10000	2	2	情缘赏花需要多少个人参与？	3	2	0	0
77	1	2	10000	1	2	离线托管可以获得哪些东西？	经验、古朴的宝箱	铜币、技能书	0	0
78	1	1	10000	2	2	抽奖没有哪一种？	青铜抽奖	勾玉抽奖	0	0
79	1	2	10000	1	2	离线找回一般能领取多少比例的收益？	70%、90%	80%、90%	0	0
80	1	2	10000	1	2	灵宠阵法一共可以上阵灵宠多少个？	7	8	0	0
81	1	1	10000	1	2	升级武学需要消耗什么？	技能书、铜币	经验、铜币	0	0
82	1	1	10000	1	2	阵营的盟主有什么好处？	专属坐骑	大把妹子	0	0
83	1	1	10000	2	2	以下哪个玩法不能获得战利品？	攻城战	上古遗迹	0	0
84	1	2	10000	1	2	购买月卡需要多少钱？	28	12	0	0
85	1	1	10000	2	2	帮派多少级开放？	19	18	0	0
86	1	2	10000	2	2	灵宠阵法什么时候开放？	等级达20	获得第一只灵宠	0	0
87	1	2	10000	2	2	帮派任务在哪里领取？	帮派主殿	帮派目标	0	0
88	1	2	10000	1	2	古诗“风，雅，颂”中的“风”指的是什么？	国风	画风	0	0
89	1	1	10000	1	2	“六如居士”是谁的别号？	唐伯虎	唐立成	0	0
90	1	2	10000	2	2	“琴棋书画”中的“棋”指？	象棋	围棋	0	0
91	1	1	10000	1	2	《论语》的作者是谁？	孔子的弟子	孔子的老师	0	0
92	1	2	10000	1	2	补牢中的“牢”指的是？	牲口圈	地牢	0	0
93	1	1	10000	1	2	“红娘”是哪部作品中的人物？	西厢记	红楼梦	0	0
94	1	2	10000	1	2	被称为“诗圣”的唐代诗人是哪位？	杜甫	李白	0	0
95	1	1	10000	2	2	古代六艺，“礼，乐，射，御，书，数”中的“御”是指？	武艺	驾车	0	0
96	1	2	10000	2	2	狗咬吕洞宾(猜一歇后语)	不识女人心	不识好人心	0	0
97	1	1	10000	2	2	在二十四个节气中，既是节气又是节日的是？	元旦	清明	0	0
98	1	2	10000	2	2	人们熟悉的“八卦”是出自？	诗经	周易	0	0
99	1	1	10000	1	2	书画作品中的“四君子”是指哪四种植物？	梅、兰、竹、菊	梅、兰、桃、菊	0	0
100	1	2	10000	1	2	"子曰‘敏而好学,不耻下问',这句文言文里的‘下问'是指？"	向不如自己的人请教	向比自己强的人请教	0	0
101	1	1	10000	2	2	道家是先秦诸子百家的只要思想派别之一，道家的主要代表人物是？	孟子	老庄	0	0
102	1	2	10000	2	2	儒家是先秦诸子百家的主要思想派别之一，儒家的主要代表人物是？	韩非子	孟子	0	0
103	1	1	10000	1	2	“天苍苍，野茫茫，风吹草低见牛羊”描绘的是哪个地方的景色？	内蒙古高原	青藏高原	0	0
104	1	2	10000	1	2	“飞流直下三千尺，疑是银河落九天”出自？	望庐山瀑布	庐山瀑布	0	0
105	1	1	10000	2	2	“初出茅庐”中的“茅庐”本意是指谁的住处？	李白	诸葛亮	0	0
106	1	2	10000	1	2	“国家兴亡，匹夫有责”语出？	顾炎武	毛泽东	0	0
107	1	1	10000	1	2	“山重水复疑无路，柳暗花明又一村。”此句的作者是？	陆游	陆毅	0	0
108	1	2	10000	2	2	“一骑红尘妃子笑”中的“妃子”是指的谁？	王昭君	杨玉环	0	0
109	1	1	10000	1	2	“色即是空，空即是色”此句出自哪部佛教著作？	心经	易经筋	0	0
110	1	2	10000	1	2	“一把紫竹伞，一场清明的雨，引出西湖边一段爱情”传自哪个民间故事？	白蛇传	牛郎织女	0	0
111	1	1	10000	2	2	“昨夜见军贴，可汗大点兵。军书十二卷，卷卷有爷名。”这句诗词是出自哪里？	木兰传	木兰辞	0	0
112	1	2	10000	1	2	“唐宋八大家”主要靠写哪方面的文章闻名？	散文	诗经	0	0
113	1	1	10000	1	2	“停车坐爱枫林晚，霜叶红于二月花”这两句诗的作者是？	杜牧	李白	0	0
114	1	2	10000	1	2	"“横看成岭侧成峰,远近高低各不同”出自苏轼的<题西林壁>,它所描写的是哪里的景观？"	江西庐山	西岳华山	0	0
115	1	1	10000	1	2	"“欲穷千里目,更上一层楼”是唐朝诗人王之涣的名句,这里的“更上一层楼”指的是哪座楼？"	山西鹳雀楼	好莱客大酒楼	0	0
116	1	2	10000	1	2	"“姑苏城外寒山寺,夜半钟声到客船”这里的“姑苏城”是哪座城市的别名？"	苏州城	扬州城	0	0
117	1	1	10000	1	2	“阿爷无大儿，木兰无长兄，愿为市鞍马，其中市是指？	去集市购买	去集市观望	0	0
118	1	2	10000	1	2	一根竹竿两个头，两根竹竿四个头，三根半竹竿几个头？	8	7	0	0
119	1	1	10000	1	2	"一杯盐水,含盐量30%,现在放入7克水和3克盐,这时杯子里盐水的含盐量为多少？"	30%	40%	0	0
120	1	2	10000	2	2	维纳斯是希腊神话中的什么神？	幸运之神	爱神和美神	0	0
121	1	1	10000	2	2	我国目前一共有多少个少数民族？	56	55	0	0
122	1	2	10000	1	2	苹果成熟了以后。为什么会自动掉到地上？	重力影响	心灵得到了净化	0	0
123	1	1	10000	1	2	在古希腊古罗马神话中的诸神中，被称为“爱神”的是？	丘比特	雅典娜	0	0
124	1	1	10000	1	2	“救人一命，胜造七级浮屠。”其中浮屠的意思是？	宝塔	善心	0	0
125	1	1	10000	2	2	中国的很多省市都有独特的别称，被称为“山城”的是哪个城市？	昆明	重庆	0	0
126	1	2	10000	2	2	“床前明月光”的明月光是指我们所看到的？	太阳光	月亮光	0	0
127	1	1	10000	1	2	明朝著名的抗倭将领是？	戚继光	黄继光	0	0
128	1	2	10000	1	2	“破釜沉舟”这个典故说的是谁？	项羽	刘邦	0	0
129	1	1	10000	1	2	三国演义中的“卧龙”是？	诸葛亮	庞统	0	0
130	1	2	10000	1	2	相传我国古代能作“掌上舞”的人是谁？	赵飞燕	杨玉环	0	0
131	1	1	10000	1	2	古代著名的兵书《孙子兵法》的作者是？	孙武	孙膑	0	0
132	1	2	10000	2	2	武则天在她的墓碑上都写过什么？	挖掘技术哪家强？	什么都没写	0	0
133	1	1	10000	2	2	唐三彩主要是指哪三种色彩？	红、黄、蓝	黄、绿、白	0	0
134	1	2	10000	1	2	与“精忠报国”，“莫须有”等事件有关的历史人物是？	岳飞	张飞	0	0
135	1	1	10000	2	2	下面哪些全是古代四大才女中的人物？	貂蝉、西施、昭君	李清照、班昭	0	0
136	1	2	10000	1	2	中国古代名医华佗为谁治病却被杀害？	曹操	曹丕	0	0
137	1	1	10000	2	2	奥运会上的马拉松比赛的起源与什么有关？	抓小偷	战争	0	0
138	1	2	10000	2	2	《项羽本纪》记述项羽“破釜沉舟”是发生在什么时候？	漳河之战	钜鹿之战	0	0
139	1	1	10000	1	2	“沉鱼落雁，闭月羞花”，“沉鱼”是指的哪一位？	西施	貂蝉	0	0
140	1	2	10000	1	2	传说中的江南四大才子出生于什么朝代？	明朝	清朝	0	0
141	1	1	10000	1	2	三国后期，魏国的哪位将领率先攻入蜀国的都城？	邓艾	许诸	0	0
142	1	2	10000	1	2	“苍天已死，黄天当立，岁在甲子，天下大吉”是哪次起义的口号？	黄巾军起义	太平军起义	0	0
143	1	1	10000	1	2	世界三大宗教不包括？	道教	佛教	0	0
144	1	2	10000	2	2	古诗名句“人生得意须尽欢”的下一句是什么？	做鬼也风流	莫使金樽空对月	0	0
145	1	1	10000	1	2	楚辞中《九歌》和《离骚》的作者是谁？	屈原	李祥霆	0	0
146	1	2	10000	1	2	诗句“每逢佳节倍思亲”中的“佳节”原意是指的哪个节日？	重阳节	母亲节	0	0
147	1	1	10000	1	2	秦始皇大兴土木，修建了世界闻名的工程，请问这个工程是什么？	长城	颐和园	0	0
148	1	2	10000	1	2	韩熙载夜宴图的作者是？	顾闳中	苏东坡	0	0
149	1	1	10000	1	2	小时不识月，呼作白玉盘。出自哪位诗人之笔？	李白	杜甫	0	0
150	1	2	10000	1	2	“何以解忧，惟有杜康”的作者是？	曹操	刘备	0	0
151	1	1	10000	1	2	《小窗幽记》的作者是谁？	陈继儒	陈龙	0	0
152	1	2	10000	2	2	<二十四品诗>的作者是	司马师	司空图	0	0
153	1	1	10000	2	2	古代书画按风格来讲，“工笔”绘画注重	唯美秀丽	细致写实	0	0
154	1	2	10000	2	2	智者乐水，后一句是	愚者自语	仁者乐山	0	0
155	1	1	10000	1	2	古诗名句“人生若只如初见”的下句是	何事秋风悲画扇	只奈何相见恨晚	0	0
156	1	2	10000	2	2	古诗名句“飘飘何所似，天地一沙鸥”的作者是	李白	杜甫	0	0
157	1	1	10000	1	2	“十年生死两茫茫。不思量，自难忘。千古孤坟，无处话凄凉。”出自苏轼的哪首词	江城子	苏东坡	0	0
158	1	2	10000	2	2	“落花时节又逢君”中的“君”指的是	李世民	李龟年	0	0
159	1	1	10000	1	2	“飞鸟尽，良弓藏，狡兔死，走狗烹”是谁最先说的	范蠡	李白	0	0
160	1	2	10000	2	2	古诗名句“人生自古谁无死，留取丹心照汗青”的作者是	李清照	文天祥	0	0
161	1	2	10000	2	2	西游记中西行取经一共有几人？	4	5	0	0
162	1	2	10000	1	2	泥菩萨过河，打一歇后语。	自身难保	游泳技术哪家强？	0	0
163	1	1	10000	1	2	小红帽为什么平胸？（猜一冷笑话）	被大灰狼吃掉了	小胸胸去哪儿啦	0	0
164	1	2	10000	1	2	小白龙取经成功之后被封为什么？	八部天龙	天龙八部	0	0
165	1	1	10000	1	2	有一个字很多人都会念错，请问是什么？（猜一脑筋急转弯）	错	焱	0	0
166	1	2	10000	2	2	猪八戒因为调戏谁而被贬入凡间？	曾志伟	嫦娥	0	0
167	1	1	10000	1	2	哑巴吃黄连。（打一歇后语）	有苦说不出	不知黄连味	0	0
168	1	1	10000	2	2	西游记中猪八戒会多少变？	34	36	0	0
169	1	2	10000	1	2	西游记中孙悟空的扮演者是谁？	六小龄童	六小灵童	0	0
170	1	1	10000	1	2	西游记中观音娘娘居住在哪里？	南海落伽山	南海五指山	0	0
171	1	2	10000	2	2	西游记的作者是谁？	六小龄童	吴承恩	0	0
172	1	1	10000	2	2	为请到诸葛亮出山，刘备几次访问茅庐？	2	3	0	0
173	1	2	10000	2	2	三国演义中草船借箭的主要人物是？	诸葛均	诸葛亮	0	0
174	1	1	10000	2	2	以下哪个选项中的人物没有全部参与火烧赤壁？	诸葛亮、周瑜、甘宁	孙权、马超、曹操	0	0
175	1	1	10000	1	2	诸葛亮还活在世界上的话会怎么样？	多了一个人	复兴蜀汉	0	0
176	1	2	10000	1	2	有2发子弹，打死煞笔鸟要1发，打死二比鸟要2发，猎人如何打死2只鸟的？（猜一冷笑话）	二比鸟吓煞笔了	一枪爆头	0	0
177	1	2	10000	1	2	三国演义中凤雏指的是谁？	庞统	黄月英	0	0
178	1	2	10000	2	2	三国演义中是谁万军从中救出了阿斗？	马超	赵云	0	0
179	1	1	10000	1	2	三国演义中是谁施计连环计让吕布杀死了董卓？	王允	王力宏	0	0
180	1	2	10000	2	2	三国演义中是谁骂死了王朗？	曹操	诸葛亮	0	0
181	1	2	10000	1	2	世界上什么人一下子变老?（猜一脑筋急转弯）	新娘	老公	0	0
182	1	2	10000	1	2	三国演义中是谁因为不听意见而丢了街亭？	马谡	马超	0	0
183	1	2	10000	1	2	"有一只企鹅,闲得没事干,拔自己毛玩。直到他把毛拔光了，然后他说了句什么？（猜一冷笑话）"	真冷	998根	0	0
184	1	1	10000	1	2	三国演义中最后是谁一统了三国？	司马炎	司马懿	0	0
185	1	2	10000	2	2	沉鱼落雁闭月羞花中闭月指的是三国中的哪位人物？	小乔	貂蝉	0	0
186	1	2	10000	1	2	关羽被人们称为什么？	关圣帝君	关圣帝公	0	0
