抽奖序号	世界科技	有效标志位	抽奖类型	道具ID	抽到的奖励数量	帮贡普抽	帮贡首抽概率	帮贡10连抽(必保池)概率	帮贡隐性必保池概率	绑元抽奖概率	绑元首抽概率	绑元10连抽(必保池)概率	绑元隐性必保池概率	状态限制ID	帮贡必保清除	绑元必保清除	广播范围	活动标识
58	2	1	0	410540005	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
59	2	1	0	410540006	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
60	2	1	0	410540007	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
61	2	1	0	410540008	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
62	2	1	0	410540009	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
63	2	1	0	410540010	1	100	0	0	0	100	0	0	0	90007026	0	0	0	0
64	2	1	0	410540011	1	100	0	0	0	100	0	0	0	90007033	0	0	0	0
65	2	1	0	410540021	1	100	0	0	0	100	0	0	0	90007033	0	0	0	0
66	2	1	0	410560001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
67	2	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	2	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	2	1	0	410560004	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
70	2	1	0	410560005	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
71	2	1	0	410560006	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
72	2	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	2	1	0	410560008	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
74	2	1	0	410560009	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
75	2	1	0	410560010	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
76	2	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	2	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	2	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	2	1	0	410300000	1	100	0	0	0	0	0	0	0	0	0	0	0	0
80	2	1	0	410300000	1	0	0	0	0	1500	0	0	0	0	0	0	0	0
81	2	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	2	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	2	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	2	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
1	3	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	3	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	3	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	3	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	3	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	3	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	3	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	3	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	3	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	3	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	3	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	3	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	3	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	3	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	3	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	3	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	3	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	3	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	3	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	3	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	3	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	3	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	3	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	3	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	3	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	3	1	0	410140001	1	0	0	0	2000	50	0	0	0	90009101	2	2	1	0
27	3	1	0	410140002	1	0	0	0	0	50	0	1000	0	90009102	2	2	1	0
28	3	1	0	410140003	1	0	0	0	2000	50	0	0	0	90009103	2	2	1	0
29	3	1	0	410140004	1	0	0	0	0	50	0	0	0	90009104	2	2	1	0
30	3	1	0	410140005	1	0	0	0	2000	50	0	1000	0	70007100	2	2	1	0
31	3	1	0	410140006	1	0	0	0	2000	50	0	1000	0	0	2	2	1	0
32	3	1	0	410140007	1	0	0	0	0	50	0	1000	0	90009107	2	2	1	0
33	3	1	0	410140008	1	0	0	0	0	50	0	0	0	0	2	2	1	0
34	3	1	0	410140009	1	0	0	0	2000	50	0	0	0	90009109	2	2	1	0
35	3	1	0	410140010	1	0	0	0	0	50	0	1000	0	90009110	2	2	1	0
36	3	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	3	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	3	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	3	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	3	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	3	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	3	1	0	410160001	1	0	0	0	0	0	0	0	0	0	2	2	2	1
43	3	1	0	410160002	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
44	3	1	0	410160003	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
45	3	1	0	410160004	1	0	0	0	0	7	0	0	1000	70007100	2	2	2	1
46	3	1	0	410160005	1	0	0	0	0	7	0	0	1000	70007200	2	2	2	1
47	3	1	0	410160006	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
48	3	1	0	410160007	1	0	0	0	0	7	0	0	1000	90009007	2	2	2	1
49	3	1	0	410160008	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
50	3	1	0	410160009	1	0	0	0	0	0	0	0	0	0	2	2	2	1
51	3	1	0	410160010	1	0	0	0	0	0	0	0	0	0	2	2	2	1
52	3	1	0	410160011	1	0	0	0	0	0	0	0	1000	70000105	2	2	2	1
53	3	1	0	410160011	1	0	0	0	0	8	0	0	5000	40052805	2	2	2	1
54	3	1	0	410540001	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
55	3	1	0	410540002	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
56	3	1	0	410540003	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
57	3	1	0	410540004	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
58	3	1	0	410540005	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
59	3	1	0	410540006	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
60	3	1	0	410540007	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
61	3	1	0	410540008	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
62	3	1	0	410540009	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
63	3	1	0	410540010	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
64	3	1	0	410540011	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
65	3	1	0	410540021	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
66	3	1	0	410560001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
67	3	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	3	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	3	1	0	410560004	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
70	3	1	0	410560005	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
71	3	1	0	410560006	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
72	3	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	3	1	0	410560008	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
74	3	1	0	410560009	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
75	3	1	0	410560010	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
76	3	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	3	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	3	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	3	1	0	410300001	1	0	0	0	0	500	0	0	0	0	0	0	0	0
80	3	1	0	410300000	1	100	0	0	0	1500	0	0	0	0	0	0	0	0
81	3	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	3	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	3	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	3	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
1	4	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	4	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	4	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	4	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	4	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	4	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	4	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	4	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	4	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	4	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	4	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	4	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	4	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	4	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	4	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	4	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	4	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	4	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	4	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	4	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	4	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	4	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	4	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	4	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	4	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	4	1	0	410140001	1	0	0	0	2000	50	0	0	0	90009101	2	2	1	0
27	4	1	0	410140002	1	0	0	0	0	50	0	1000	0	90009102	2	2	1	0
28	4	1	0	410140003	1	0	0	0	2000	50	0	0	0	90009103	2	2	1	0
29	4	1	0	410140004	1	0	0	0	0	50	0	0	0	90009104	2	2	1	0
30	4	1	0	410140005	1	0	0	0	2000	50	0	1000	0	70007100	2	2	1	0
31	4	1	0	410140006	1	0	0	0	2000	50	0	1000	0	0	2	2	1	0
32	4	1	0	410140007	1	0	0	0	0	50	0	1000	0	90009107	2	2	1	0
33	4	1	0	410140008	1	0	0	0	0	50	0	0	0	0	2	2	1	0
34	4	1	0	410140009	1	0	0	0	2000	50	0	0	0	90009109	2	2	1	0
35	4	1	0	410140010	1	0	0	0	0	50	0	1000	0	90009110	2	2	1	0
36	4	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	4	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	4	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	4	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	4	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	4	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	4	1	0	410160001	1	0	0	0	0	0	0	0	0	0	2	2	2	1
43	4	1	0	410160002	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
44	4	1	0	410160003	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
45	4	1	0	410160004	1	0	0	0	0	7	0	0	1000	70007100	2	2	2	1
46	4	1	0	410160005	1	0	0	0	0	7	0	0	1000	70007200	2	2	2	1
47	4	1	0	410160006	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
48	4	1	0	410160007	1	0	0	0	0	7	0	0	1000	90009007	2	2	2	1
49	4	1	0	410160008	1	0	0	0	0	7	0	0	1000	0	2	2	2	1
50	4	1	0	410160009	1	0	0	0	0	0	0	0	0	0	2	2	2	1
51	4	1	0	410160010	1	0	0	0	0	0	0	0	0	0	2	2	2	1
52	4	1	0	410160011	1	0	0	0	0	0	0	0	1000	70000105	2	2	2	1
53	4	1	0	410160011	1	0	0	0	0	8	0	0	5000	40052805	2	2	2	1
54	4	1	0	410540001	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
55	4	1	0	410540002	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
56	4	1	0	410540003	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
57	4	1	0	410540004	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
58	4	1	0	410540005	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
59	4	1	0	410540006	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
60	4	1	0	410540007	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
61	4	1	0	410540008	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
62	4	1	0	410540009	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
63	4	1	0	410540010	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
