灵宠的ID	有效标志位	名字	灵宠颜色，0白、1绿、2蓝C、3紫B、4橙A、5青、6红S、7黄SS（0~7）	职业，就只是用来算战斗力(111标准剑客，121高血，131高防，141高攻）	携带境界要求，0就是要求初境，其他的对应人物境界	携带灵宠类型，同类型的灵宠不可以带多个，主要为变异做的	初始境界	境界属性ID，对应partner_attr_cfg的主ID（1全能，2血，3防，4攻）	灵宠NPCID	灵宠头像(图标ID)	行为AI，服务器用的，以前灰哥写的行为AI	普攻ID（11001人近战，11002兽近程，11003人远程，11004兽远程）	普攻2	普攻3	普攻4	变异境界要求	变异灵宠ID	（洗髓）普通重铸消耗道具ID	（洗髓）普通重铸消耗道具数量	普通重铸变异几率	（洗髓）元宝重铸变异消耗（consumeID）	元宝重铸变异几率	天赋技能ID	天赋技能等级	天赋技能出现几率（普通重铸出现几率）	天赋技能出现几率（元宝重铸出现几率）	天赋技能普通重铸变异几率	天赋技能元宝重铸变异几率	变异天赋技能ID	变异天赋技能等级	技能1ID	技能1等级	技能1出现几率（普通重铸出现几率）	技能1出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能1ID	变异技能1等级	技能2ID	技能2等级	技能2出现几率（普通重铸出现几率）	技能2出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能2ID	变异技能2等级	技能3ID	技能3等级	技能3出现几率（普通重铸出现几率）	技能3出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能3ID	变异技能3等级	技能4ID	技能4等级	技能4出现几率（普通重铸出现几率）	技能4出现几率（元宝重铸出现几率）	普通重铸变异几率	元宝重铸变异几率	变异技能4ID	变异技能4等级	缘分ID1	缘分ID2	缘分ID3	缘分ID4	缘分ID5	缘分ID6	灵宠环任务ID	擅长的经文任务类型	攻击资质ID	防御资质ID	生命资质ID	突破ID	可学习公共技能总数	遣散ID（对应抽卡的副键，1000以上的）	遣散奖励ID（遣散时必定获得的奖励，用来做兽魂的）	拥有时参与抽的几率	拥有时抽到对应道具ID	普通培养道具ID	普通培养数量	绑元洗消耗(consumeID)	类型(位域：1攻、2防、4血、8全能)	抽到重复时道具	抽到道具数量	升星ID	灵宠喊话ID(喊话ID，优先级低，字段先留着)	灵宠描述	来源	相机size（图鉴跟属性里模型站立高度不一样，所以乘以0.85，让属性里不会太高）	图鉴展示（拥有后才展示）	初始战力	招募排序科技1（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技2（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技3（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技4（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技5（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技6（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技7（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技8（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技9（999表示预览中不出现，1表示大概率，数值越小概率越大）	招募排序科技10（999表示预览中不出现，1表示大概率，数值越小概率越大）	星级	预览状态限制	标签显示状态限制（0不做处理，不为0时判断状态限制ID是否通过，不通过则不管，通过则读后面两个字段→标签显示文本，标签颜色）	标签显示文字	标签颜色（1红2蓝3青4紫99灰）
720000006	1	小鱼干	2	141	0	10	20	100001	9999010	partner00_206	char_ai_001	11004	0	0	0	9999	0	410600000	2	500	40511	1000	10201	1	10000	10000	0	0	0	0	31010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	200011	200012	200013	200060	2	1001	30003612	0	410120006	410400001	3	40562	1	410900300	10	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，单体输出</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合论语类任务</color>\n<color=#9b835d>卖萌，一斤998</color>	SourcePanel.Show(2,410120006)	0.7	1	200	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000001	1	玄铠火灵	3	141	0	11	20	100001	9999011	partner00_301	char_ai_001	11004	0	0	0	9999	0	410600000	3	500	40521	1000	10201	1	10000	10000	0	0	0	0	31030	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	300011	300012	300013	300010	3	1001	30003613	0	410130001	410400001	4	40563	1	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，单体DOT</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合孟子类任务</color>\n<color=#9b835d>啊！啊！啊！好烫！</color>	SourcePanel.Show(2,410130001)	0.7	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000002	1	喵拳王	3	141	0	12	20	100001	9999012	partner00_302	char_ai_001	11002	0	0	0	9999	0	410600000	3	500	40521	1000	10201	1	10000	10000	0	0	0	0	32010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300021	300022	300023	300020	3	1001	30003613	0	410130002	410400001	4	40563	1	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，群攻</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合论语类任务</color>\n<color=#9b835d>沙锅大的拳头，你见过吗？喵！！</color>	SourcePanel.Show(2,410130002)	1	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000003	1	狂风	3	141	0	13	20	100001	9999013	partner00_303	char_ai_001	11004	0	0	0	9999	0	410600000	3	500	40521	1000	10201	1	10000	10000	0	0	0	0	33020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	300031	300032	300033	300030	3	1001	30003613	0	410130003	410400001	4	40563	1	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>攻击-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>攻击型灵宠，定身目标</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、攻击位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合诗经类任务</color>\n<color=#9b835d>最近掉毛有点严重！</color>	SourcePanel.Show(2,410130003)	0.7	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000004	1	仙果儿	3	131	0	14	20	100001	9999014	partner00_304	char_ai_001	11005	0	0	0	9999	0	410600000	3	500	40521	1000	10202	1	10000	10000	0	0	0	0	37050	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	300041	300042	300043	300040	3	1001	30003613	0	410130004	410400001	4	40563	2	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御型灵宠，嘲讽，坦克</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、防御位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合尚书类任务</color>\n<color=#9b835d>呀，饿了……</color>	SourcePanel.Show(2,410130004)	0.6	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000005	1	飞天喵	3	131	0	15	20	100001	9999015	partner00_305	char_ai_001	11008	0	0	0	9999	0	410600000	3	500	40521	1000	10202	1	10000	10000	0	0	0	0	36010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	300051	300052	300053	300050	3	1001	30003613	0	410130005	410400001	4	40563	2	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御型灵宠，增强主人攻击</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议防御相关阵位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合周易类任务</color>\n<color=#9b835d>你知道神经喵在哪里吗？</color>	SourcePanel.Show(2,410130005)	0.8	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000006	1	神经喵	3	131	0	16	20	100001	9999016	partner00_306	char_ai_001	11008	0	0	0	9999	0	410600000	3	500	40521	1000	10202	1	10000	10000	0	0	0	0	36020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	300061	300062	300063	300060	3	1001	30003613	0	410130006	410400001	4	40563	2	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>防御-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>防御型灵宠，增强主人防御</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议防御相关阵位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合孟子类任务</color>\n<color=#9b835d>我知道神经喵在哪里！</color>	SourcePanel.Show(2,410130006)	0.8	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000007	1	圣甲虫	3	121	0	17	20	100001	9999017	partner00_307	char_ai_001	11002	0	0	0	9999	0	410600000	5	500	40522	1000	10203	1	10000	10000	0	0	0	0	35010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300071	300072	300073	300070	3	1001	30003613	0	410130007	410400001	4	40563	4	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>生命-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>生命型灵宠，削弱目标</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、生命位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合论语类任务</color>\n<color=#9b835d>嗡嗡嗡！圣甲兽进化...失败..嗡嗡！</color>	SourcePanel.Show(2,410130007)	0.6	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000008	1	小小青	3	121	0	18	20	100001	9999031	partner00_410	char_ai_001	11001	0	0	0	9999	0	410600000	5	500	40522	1000	10203	1	10000	10000	0	0	0	0	37020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	300081	300082	300083	300080	3	1001	30003613	0	410130008	410400001	4	40563	4	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>生命-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>生命型灵宠，生命转化</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、生命位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合诗经类任务</color>\n<color=#9b835d>我不是小小荷，我是她妹妹</color>	SourcePanel.Show(2,410130008)	0.8	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000009	1	格鲁特	3	121	0	19	20	100001	9999019	partner00_309	char_ai_001	11004	0	0	0	9999	0	410600000	5	500	40522	1000	10203	1	10000	10000	0	0	0	0	33010	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	300091	300092	300093	300090	3	1001	30003613	0	410130009	410400001	4	40563	4	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>生命-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>生命型灵宠，减速目标</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、生命位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合礼记类任务</color>\n<color=#9b835d>我也拯救过银河……</color>	SourcePanel.Show(2,410130009)	0.7	1	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
730000010	1	360灵	3	121	0	20	20	100001	9999020	partner00_310	char_ai_001	11003	0	0	0	9999	0	410600000	5	500	40522	1000	10203	1	10000	10000	0	0	0	0	37020	1	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300101	300102	300103	300100	3	1001	30003613	0	410130010	410400001	4	40563	4	410900300	100	0	0	<color=#3f2a35>类型：</color><color=#625260>生命-1星灵宠</color>\n<color=#3f2a35>说明：</color><color=#625260>生命型灵宠，生命转化</color>\n<color=#3f2a35>阵位：</color><color=#625260>建议出战位、生命位</color>\n<color=#3f2a35>经文：</color><color=#625260>适合论语类任务</color>\n<color=#9b835d>666之灵，360专属</color>	SourcePanel.Show(2,410130010)	1	0	300	999	999	999	999	999	999	999	999	999	999	1	0	0	0	0
