任务池ID	任务池副键	有效标志位	无用·状态限制ID（该字段没用，别自动多情了）	任务ID	随机到的概率（相对概率）	接取任务NPCtype_id	接取任务map_id（这类任务在可接或是可交时，会先跳到该地图再寻路到指定NPC）	池名字	描述	接任务坐标x	接任务坐标y	接任务坐标z	所属环id	任务类型(0主线，1支线，2日常，3课程表，4伙伴，5学院，6指引，7帮派工资，8帮派任务1，9帮派任务2，10帮派任务3，11帮派任务4，12帮派任务5,14奇遇任务(指引型),15奇遇任务(选择型)）
4300	15	1	91000706	4315	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	16	1	91000707	4316	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	17	1	91000708	4317	5000	0	0	[奇]开路建桥	天降奇缘，请做出你的选择	0	0	0	0	15
4300	18	1	91000701	4318	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	19	1	91000702	4319	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	20	1	91000703	4320	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	21	1	91000704	4321	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	22	1	91000705	4322	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	23	1	91000706	4323	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	24	1	91000707	4324	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	25	1	91000708	4325	5000	0	0	[奇]禁忌之恋	天降奇缘，请做出你的选择	0	0	0	0	15
4300	26	1	0	4326	5000	0	0	[奇]皇者之剑	天降奇缘，请做出你的选择	0	0	0	0	15
4300	27	1	91000701	4327	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	28	1	91000702	4328	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	29	1	91000703	4329	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	30	1	91000704	4330	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	31	1	91000705	4331	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	32	1	91000706	4332	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	33	1	91000707	4333	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	34	1	91000708	4334	5000	0	0	[奇]广成陵	天降奇缘，请做出你的选择	0	0	0	0	15
4300	35	1	91000701	4335	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	36	1	91000702	4336	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	37	1	91000703	4337	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	38	1	91000704	4338	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	39	1	91000705	4339	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	40	1	91000706	4340	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	41	1	91000707	4341	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	42	1	91000708	4342	5000	0	0	[奇]衣锦还乡	天降奇缘，请做出你的选择	0	0	0	0	15
4300	43	1	91000701	4343	5000	0	0	[奇]浪客剑心	天降奇缘，请做出你的选择	0	0	0	0	15
4300	44	1	91000702	4344	5000	0	0	[奇]浪客剑心	天降奇缘，请做出你的选择	0	0	0	0	15
4300	45	1	91000703	4345	5000	0	0	[奇]浪客剑心	天降奇缘，请做出你的选择	0	0	0	0	15
4300	46	1	91000704	4346	5000	0	0	[奇]浪客剑心	天降奇缘，请做出你的选择	0	0	0	0	15
4300	47	1	91000705	4347	5000	0	0	[奇]浪客剑心	天降奇缘，请做出你的选择	0	0	0	0	15
