境界ID	副键	有效值	区间最小战力	获得的概率1	需求战力最小值1	需求战力最大值1	获得道具id1	获得的概率2	需求战力最小值2	需求战力最大值2	获得道具id2	获得的概率3	需求战力最小值3	需求战力最大值3	获得道具id3
17 	3 	1 	7261296 	3000 	-77828 	77828 	0 	3333 	-77828 	77828 	0 	3667 	-77828 	77828 	0 
17 	4 	1 	7782788 	3000 	-78058 	78058 	0 	3333 	-78058 	78058 	0 	3667 	-78058 	78058 	0 
17 	5 	1 	7805831 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
18 	1 	1 	0 	3000 	-81765 	81765 	0 	3333 	-81765 	81765 	0 	3667 	-81765 	81765 	0 
18 	2 	1 	8176512 	3000 	-81884 	81884 	0 	3333 	-81884 	81884 	0 	3667 	-81884 	81884 	0 
18 	3 	1 	8188418 	3000 	-82323 	82323 	0 	3333 	-82323 	82323 	0 	3667 	-82323 	82323 	0 
18 	4 	1 	8232269 	3000 	-87885 	87885 	0 	3333 	-87885 	87885 	0 	3667 	-87885 	87885 	0 
18 	5 	1 	8788451 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
19 	1 	1 	0 	3000 	-88365 	88365 	0 	3333 	-88365 	88365 	0 	3667 	-88365 	88365 	0 
19 	2 	1 	8836469 	3000 	-88461 	88461 	0 	3333 	-88461 	88461 	0 	3667 	-88461 	88461 	0 
19 	3 	1 	8846081 	3000 	-88658 	88658 	0 	3333 	-88658 	88658 	0 	3667 	-88658 	88658 	0 
19 	4 	1 	8865797 	3000 	-95929 	95929 	0 	3333 	-95929 	95929 	0 	3667 	-95929 	95929 	0 
19 	5 	1 	9592913 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
20 	1 	1 	0 	3000 	-93203 	93203 	0 	3333 	-93203 	93203 	0 	3667 	-93203 	93203 	0 
20 	2 	1 	9320306 	3000 	-93307 	93307 	0 	3333 	-93307 	93307 	0 	3667 	-93307 	93307 	0 
20 	3 	1 	9330693 	3000 	-93520 	93520 	0 	3333 	-93520 	93520 	0 	3667 	-93520 	93520 	0 
20 	4 	1 	9351960 	3000 	-96785 	96785 	0 	3333 	-96785 	96785 	0 	3667 	-96785 	96785 	0 
20 	5 	1 	9678468 	3000 	0 	0 	0 	3333 	0 	0 	0 	3667 	0 	0 	0 
