序列号	道具ID	消耗类型(货币、2道具、3consume)	货币ID	价格	状态限制	生成概率1	生成概率2	生成概率3	生成概率4	生成数量1	生成数量2	生成数量3	生成数量4	触发成就ID	商品名称	境界备注
18	400130105	1	5	300	80003018	1000	0	0	0	2	2	2	2	0	1级瞬影石	限灵，金丹1~金丹4
19	400130106	1	5	300	80003019	1000	0	0	0	2	2	2	2	0	1级斩铁石	金丹1~金丹4
20	400130107	1	5	300	80003020	1000	0	0	0	2	2	2	2	0	1级守御石	限刀，金丹1~金丹4
21	400130108	1	5	300	80003021	1000	0	0	0	2	2	2	2	0	1级雷动石	限弓，金丹1~金丹4
22	400130109	1	5	300	80003022	1000	0	0	0	2	2	2	2	0	1级冥思石	金丹1~金丹4
23	400500530	1	5	10000	80003023	0	0	0	100000	1	1	1	1	0	[图纸]紫色项链魂装	成就2105未达成，金丹1以上
24	400500630	1	5	10000	80003024	0	0	0	10000	1	1	1	1	0	[图纸]紫色戒指魂装	成就2106未达成，金丹1以上
25	422190200	1	5	5000	80003025	0	0	0	100	3	3	3	3	0	尘封的秘籍	成就1118未达成，成就1104已达成
26	300701002	1	5	2100	80003026	0	0	0	10	3	3	3	3	0	荣誉令	金丹1~金丹4
27	322100002	1	5	2100	80003027	0	0	0	1	3	3	3	3	0	[抽奖]白银钥匙	金丹1~金丹4
28	400130102	1	5	300	80003028	1000	0	0	0	3	3	3	3	0	1级燎原石	限剑，元婴1~元婴4
29	400130103	1	5	300	80003029	1000	0	0	0	3	3	3	3	0	1级炼体石	元婴1~元婴4
30	400130104	1	5	300	80003030	1000	0	0	0	3	3	3	3	0	1级心眼石	元婴1~元婴4
31	400130105	1	5	300	80003031	1000	0	0	0	3	3	3	3	0	1级瞬影石	限灵，元婴1~元婴4
32	400130106	1	5	300	80003032	1000	0	0	0	3	3	3	3	0	1级斩铁石	元婴1~元婴4
33	400130107	1	5	300	80003033	1000	0	0	0	3	3	3	3	0	1级守御石	限刀，元婴1~元婴4
34	400130108	1	5	300	80003034	1000	0	0	0	3	3	3	3	0	1级雷动石	限弓，元婴1~元婴4
35	400130109	1	5	300	80003035	1000	0	0	0	3	3	3	3	0	1级冥思石	元婴1~元婴4
36	420200401	1	5	30000	80003036	0	0	0	1000000	3	3	3	3	0	[法晶]玲珑晶心	元婴1~合体4
37	400500540	1	5	70000	80003037	0	0	0	100000	1	1	1	1	0	[图纸]橙色项链魂装	成就2107未达成，元婴1以上
38	400500640	1	5	70000	80003038	0	0	0	10000	1	1	1	1	0	[图纸]橙色戒指魂装	成就2108未达成，元婴1以上
39	300701003	1	5	6300	80003039	0	0	0	10	3	3	3	3	0	荣誉令	元婴1~元婴4
40	322100002	1	5	6500	80003040	0	0	0	1	3	3	3	3	0	[抽奖]白银钥匙	元婴1~元婴4
41	400140102	1	5	5400	80003041	1000	0	0	0	1	1	1	1	0	上古1级燎原石	限剑，化神1~化神4
42	400140103	1	5	5400	80003042	1000	0	0	0	1	1	1	1	0	上古1级炼体石	化神1~化神4
43	400140104	1	5	5400	80003043	1000	0	0	0	1	1	1	1	0	上古1级心眼石	化神1~化神4
44	400140105	1	5	5400	80003044	1000	0	0	0	1	1	1	1	0	上古1级瞬影石	限灵，化神1~化神4
45	400140106	1	5	5400	80003045	1000	0	0	0	1	1	1	1	0	上古1级斩铁石	化神1~化神4
46	400140107	1	5	5400	80003046	1000	0	0	0	1	1	1	1	0	上古1级守御石	限刀，化神1~化神4
47	400140108	1	5	5400	80003047	1000	0	0	0	1	1	1	1	0	上古1级雷动石	限弓，化神1~化神4
48	400140109	1	5	5400	80003048	1000	0	0	0	1	1	1	1	0	上古1级冥思石	化神1~化神4
49	400500550	1	5	300000	80003049	0	0	0	100000	1	1	1	1	0	[图纸]青色项链魂装	成就2109未达成，化神1以上
50	400500650	1	5	300000	80003050	0	0	0	10000	1	1	1	1	0	[图纸]青色戒指魂装	成就2110未达成，化神1以上
51	300701004	1	5	19000	80003051	0	0	0	10	3	3	3	3	0	荣誉令	化神1~化神4
52	322100002	1	5	19000	80003052	0	0	0	1	3	3	3	3	0	[抽奖]白银钥匙	化神1~化神4
