建筑ID	等级	有效标示	消耗类型（0帮派经验，1货币，2道具）	消耗参数1	消耗参数2	消耗类型（1货币，2道具）	消耗参数1	消耗参数2	灵元金钱库大小（只针对于2天书、3百草有效）	每日皇族下发的灵元金钱（只针对于2天书、3百草有效）	升级增加帮派人数上限（只对1教务处有效）	提升帮派成员观碑玩法收益	提升帮派离线观碑收益	提升帮派帮派任务收益	提升帮派宝库收益	提升帮派成员攻防收益	提升帮派成员攻防能力	提升帮派仓库大小（只对5万宝有效）	提升帮派秘库大小（只对5万宝有效）	升级限制	精英成员数量	升级消耗天地异变控制系数	堂口描述字段	堂口描述字段	堂口描述字段
2	11	1	0	0	930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至13级：强化石、培养丹可购买数量增加
2	12	1	0	0	1330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至13级：强化石、培养丹可购买数量增加
2	13	1	0	0	1730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1005	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至16级：强化石、培养丹可购买数量增加
2	14	1	0	0	2130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1005	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至16级：强化石、培养丹可购买数量增加
2	15	1	0	0	2530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至16级：强化石、培养丹可购买数量增加
2	16	1	0	0	2930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至19级：强化石、培养丹可购买数量增加
2	17	1	0	0	3330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至19级：强化石、培养丹可购买数量增加
2	18	1	0	0	3730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至19级：强化石、培养丹可购买数量增加
2	19	1	0	0	4130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1008	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	<color=#7e00ff>升级商店</color>至20级：强化石、培养丹可购买数量增加
2	20	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1008	帮派商店可随机到各类商品	强化石，宝石，秘籍，[图纸]饰品魂装	当前已达到最高商店等级
3	1	1	0	0	100000	0	0	0	20000	4000	0	1	1	1	1	1	700111	2	1	0	0	1001	帮派活动获得经验奖励增加<color=#7e00ff>1%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>1%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	2	1	0	0	150000	0	0	0	40000	8000	0	2	2	2	2	2	700112	4	2	0	0	1001	帮派活动获得经验奖励增加<color=#7e00ff>2%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>2%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	3	1	0	0	200000	0	0	0	60000	12000	0	3	3	3	3	3	700113	6	3	0	0	1001	帮派活动获得经验奖励增加<color=#7e00ff>3%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>3%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	4	1	0	0	250000	0	0	0	80000	16000	0	4	4	4	4	4	700114	8	4	0	0	1002	帮派活动获得经验奖励增加<color=#7e00ff>4%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>4%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	5	1	0	0	300000	0	0	0	100000	20000	0	5	5	5	5	5	700115	10	5	30004201	0	1002	帮派活动获得经验奖励增加<color=#7e00ff>5%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>5%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	6	1	0	0	360000	0	0	0	120000	24000	0	6	6	6	6	6	700116	12	6	30004201	0	1002	帮派活动获得经验奖励增加<color=#7e00ff>6%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>6%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	7	1	0	0	420000	0	0	0	140000	28000	0	7	7	7	7	7	700117	14	7	30004201	0	1003	帮派活动获得经验奖励增加<color=#7e00ff>7%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>7%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	8	1	0	0	480000	0	0	0	160000	32000	0	8	8	8	8	8	700118	16	8	30004202	0	1003	帮派活动获得经验奖励增加<color=#7e00ff>8%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>8%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	9	1	0	0	630000	0	0	0	180000	36000	0	9	9	9	9	9	700119	18	9	30004202	0	1003	帮派活动获得经验奖励增加<color=#7e00ff>9%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>9%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	10	1	0	0	780000	0	0	0	200000	40000	0	10	10	10	10	10	700120	20	10	30004202	0	1004	帮派活动获得经验奖励增加<color=#7e00ff>10%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>10%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	11	1	0	0	930000	0	0	0	220000	44000	0	11	11	11	11	11	700121	22	11	30004203	0	1004	帮派活动获得经验奖励增加<color=#7e00ff>11%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>11%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	12	1	0	0	1330000	0	0	0	240000	48000	0	12	12	12	12	12	700122	24	12	30004203	0	1004	帮派活动获得经验奖励增加<color=#7e00ff>12%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>12%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	13	1	0	0	1730000	0	0	0	260000	52000	0	13	13	13	13	13	700123	26	13	30004203	0	1005	帮派活动获得经验奖励增加<color=#7e00ff>13%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>13%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	14	1	0	0	2130000	0	0	0	280000	56000	0	14	14	14	14	14	700124	28	14	30004204	0	1005	帮派活动获得经验奖励增加<color=#7e00ff>14%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>14%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	15	1	0	0	2530000	0	0	0	300000	60000	0	15	15	15	15	15	700125	30	15	30004204	0	1006	帮派活动获得经验奖励增加<color=#7e00ff>15%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>15%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	16	1	0	0	2930000	0	0	0	320000	64000	0	16	16	16	16	16	700126	32	16	30004204	0	1006	帮派活动获得经验奖励增加<color=#7e00ff>16%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>16%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	17	1	0	0	3330000	0	0	0	340000	68000	0	17	17	17	17	17	700127	34	17	30004205	0	1007	帮派活动获得经验奖励增加<color=#7e00ff>17%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>17%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	18	1	0	0	3730000	0	0	0	360000	72000	0	18	18	18	18	18	700128	36	18	30004205	0	1007	帮派活动获得经验奖励增加<color=#7e00ff>18%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>18%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	19	1	0	0	4130000	0	0	0	380000	76000	0	19	19	19	19	19	700129	38	19	30004205	0	1008	帮派活动获得经验奖励增加<color=#7e00ff>19%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>19%</color>	<color=#7e00ff>升级活动</color>可使额外的帮派活动奖励+<color=#7e00ff>1%</color>
3	20	1	0	0	-1	0	0	0	400000	80000	0	20	20	20	20	20	700130	40	20	-1	0	1008	帮派活动获得经验奖励增加<color=#7e00ff>20%</color>	帮派活动获得铜币奖励增加<color=#7e00ff>20%</color>	当前已达到最高帮派活动等级
4	1	1	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	兵甲坊可打造八个部位的装备	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>二阶装备</color>费用降低:<color=#7e00ff>100</color>
4	2	1	0	0	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	当前<color=#7e00ff>二阶装备</color>费用总计降低:<color=#7e00ff>100</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>三阶装备</color>费用降低:<color=#7e00ff>160</color>
4	3	1	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	当前<color=#7e00ff>三阶装备</color>费用总计降低:<color=#7e00ff>320</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>三阶装备</color>费用降低:<color=#7e00ff>160</color>
4	4	1	0	0	250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	当前<color=#7e00ff>三阶装备</color>费用总计降低:<color=#7e00ff>480</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>四阶装备</color>费用降低:<color=#7e00ff>200</color>
4	5	1	0	0	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	当前<color=#7e00ff>四阶装备</color>费用总计降低:<color=#7e00ff>800</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>四阶装备</color>费用降低:<color=#7e00ff>200</color>
4	6	1	0	0	360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	当前<color=#7e00ff>四阶装备</color>费用总计降低:<color=#7e00ff>1000</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>四阶装备</color>费用降低:<color=#7e00ff>200</color>
4	7	1	0	0	420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1003	当前<color=#7e00ff>四阶装备</color>费用总计降低:<color=#7e00ff>1200</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>五阶装备</color>费用降低:<color=#7e00ff>300</color>
4	8	1	0	0	480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	当前<color=#7e00ff>五阶装备</color>费用总计降低:<color=#7e00ff>2100</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>五阶装备</color>费用降低:<color=#7e00ff>300</color>
4	9	1	0	0	630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	当前<color=#7e00ff>五阶装备</color>费用总计降低:<color=#7e00ff>2400</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>五阶装备</color>费用降低:<color=#7e00ff>300</color>
4	10	1	0	0	780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1004	当前<color=#7e00ff>五阶装备</color>费用总计降低:<color=#7e00ff>2700</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>六阶装备</color>费用降低:<color=#7e00ff>460</color>
4	11	1	0	0	930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	当前<color=#7e00ff>六阶装备</color>费用总计降低:<color=#7e00ff>4600</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>六阶装备</color>费用降低:<color=#7e00ff>460</color>
4	12	1	0	0	1330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	当前<color=#7e00ff>六阶装备</color>费用总计降低:<color=#7e00ff>5060</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>六阶装备</color>费用降低:<color=#7e00ff>460</color>
4	13	1	0	0	1730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1005	当前<color=#7e00ff>六阶装备</color>费用总计降低:<color=#7e00ff>5520</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>七阶装备</color>费用降低:<color=#7e00ff>660</color>
4	14	1	0	0	2130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1005	当前<color=#7e00ff>七阶装备</color>费用总计降低:<color=#7e00ff>8580</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>七阶装备</color>费用降低:<color=#7e00ff>660</color>
4	15	1	0	0	2530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	当前<color=#7e00ff>七阶装备</color>费用总计降低:<color=#7e00ff>9240</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>七阶装备</color>费用降低:<color=#7e00ff>660</color>
4	16	1	0	0	2930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	当前<color=#7e00ff>七阶装备</color>费用总计降低:<color=#7e00ff>9900</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>八阶装备</color>费用降低:<color=#7e00ff>990</color>
4	17	1	0	0	3330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	当前<color=#7e00ff>八阶装备</color>费用总计降低:<color=#7e00ff>15840</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>八阶装备</color>费用降低:<color=#7e00ff>990</color>
4	18	1	0	0	3730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	当前<color=#7e00ff>八阶装备</color>费用总计降低:<color=#7e00ff>16830</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>八阶装备</color>费用降低:<color=#7e00ff>990</color>
4	19	1	0	0	4130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1008	当前<color=#7e00ff>八阶装备</color>费用总计降低:<color=#7e00ff>17820</color>	可打造阶数与天地异变等级相关	<color=#7e00ff>升级兵甲坊</color>可使<color=#7e00ff>九阶装备</color>费用降低:<color=#7e00ff>1570</color>
4	20	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1008	当前<color=#7e00ff>九阶装备</color>费用总计降低:<color=#7e00ff>29830</color>	可打造阶数与天地异变等级相关	当前已达到最高兵甲坊等级
5	1	1	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派成员可制造<color=#11adf6>蓝色装备</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>1级</color>铸造技能	0
