属性池ID(1位类型<1白点2精炼属性池3蓝色属性池4法球属性池5称号属性池（5开头，5000+2位流水++1位流水+1位流水：占段走流水号），6系统（活动或玩法或系统ID,70（仙道秘法，2位职业+2位大境界+1位小层次）），7符印属性池（8+5位携带类型+2位流水）8坐骑外观属性池（80+外观ID，8+坐骑ID+1位流水）9伙伴属性池>+2位部位+2位职业+1位颜色+1位魂神+1位流水)(白色属性最多3条，蓝色属性最多5条，装备下上极品按照第一条白色属性品质来算)	副键流水号	有效标志	属性类型(1，为属性值；2为百分比属性，3，为主动技能；4为被动技能；5为技能天赋，6为主动攻击法球，7为被击触发法球，8为破招法球，9为格挡法球，10符印天地人(<0无，1天，2地，3人>)	属性枚举类型（法球对应的技能iD）	生成几率（法球的触发几率）	付费生成几率	品质1下属性等级（法球CD，单位秒），符印1档属性	品质2下属性等级（法球对应的技能等级），符印2档属性	品质3下属性等级，法球的时候代表法球加到玩家身上是否处于CD中（0是加上后要先走一遍CD、1是加上后可以立马被触发），，符印3档属性	品质4下属性等级，符印4档属性	品质5下属性等级，符印5档属性	品质6下属性等级，符印6档属性	品质7下属性等级，符印7档属性	品质8下属性等级，符印8档属性	品质9下属性等级，符印9档属性	品质10下属性等级，符印10档属性	品质11下属性等级（逆天封顶值，实际上不存在第11档，必定逆天时才用），符印10档属性满	品质1下属性的战力值	品质2下属性的战力值	品质3下属性的战力值	品质4下属性的战力值	品质5下属性的战力值	品质6下属性的战力值	品质7下属性的战力值	品质8下属性的战力值	品质9下属性的战力值	品质10下属性的战力值	品质11下属性的战力值	品质系数ID	通用参数(强化时为放大系数，精炼时为所属星级)，符印的话（0无，1天，2地，3人）
10911100	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	6104	6322	6540	6758	6976	305	320	335	350	366	381	427	442	457	472	488	102	10000
10011200	1	1	1	1067	10000	10000	815	855	896	937	978	1018	1059	1100	1141	1181	1222	978	1026	1075	1124	1173	1222	1271	1320	1369	1418	1467	201	10000
10111200	1	1	1	1068	10000	10000	492	516	541	565	590	615	639	664	688	713	738	590	619	649	678	708	737	767	796	826	855	885	201	10000
10211200	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	201	10000
10311200	1	1	1	1071	10000	10000	492	516	541	565	590	615	639	664	688	713	738	590	619	649	678	708	737	767	796	826	855	885	201	10000
10411200	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	202	10000
10511200	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	203	10000
10611200	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	203	10000
10711200	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	202	10000
10811200	1	1	1	1067	10000	10000	167	175	183	192	200	208	217	225	233	242	250	200	210	220	230	240	250	260	270	280	290	300	202	10000
10911200	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	202	10000
10011300	1	1	1	1067	10000	10000	978	1026	1075	1124	1173	1222	1271	1320	1369	1418	1467	1437	1508	1580	1652	1724	1796	1868	1939	2011	2083	2155	301	10000
10111300	1	1	1	1068	10000	10000	590	619	649	678	708	737	767	796	826	855	885	867	910	953	997	1040	1083	1127	1170	1213	1257	1300	301	10000
10211300	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	301	10000
10311300	1	1	1	1071	10000	10000	590	619	649	678	708	737	767	796	826	855	885	867	910	953	997	1040	1083	1127	1170	1213	1257	1300	301	10000
10411300	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	302	10000
10511300	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	303	10000
10611300	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	303	10000
10711300	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	302	10000
10811300	1	1	1	1067	10000	10000	200	210	220	230	240	250	260	270	280	290	300	294	308	323	338	352	367	382	396	411	426	441	302	10000
10911300	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	302	10000
10011400	1	1	1	1067	10000	10000	1075	1128	1182	1236	1290	1343	1397	1451	1505	1558	1612	1881	1975	2069	2163	2257	2351	2445	2539	2633	2727	2821	401	10000
10111400	1	1	1	1068	10000	10000	648	680	712	745	777	810	842	874	907	939	972	1134	1190	1247	1304	1360	1417	1474	1530	1587	1644	1701	401	10000
10211400	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	401	10000
10311400	1	1	1	1071	10000	10000	648	680	712	745	777	810	842	874	907	939	972	1134	1190	1247	1304	1360	1417	1474	1530	1587	1644	1701	401	10000
10411400	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	402	10000
10511400	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	403	10000
10611400	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	403	10000
10711400	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	402	10000
10811400	1	1	1	1067	10000	10000	220	231	242	253	264	275	286	297	308	319	330	385	404	423	442	462	481	500	519	539	558	577	402	10000
10911400	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	402	10000
10011500	1	1	1	1067	10000	10000	1182	1241	1300	1359	1418	1477	1536	1595	1654	1713	1773	2553	2680	2808	2935	3063	3191	3318	3446	3574	3701	3829	501	10000
10111500	1	1	1	1068	10000	10000	713	748	784	819	855	891	926	962	998	1033	1069	1540	1617	1694	1771	1848	1925	2002	2079	2156	2233	2310	501	10000
10211500	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	501	10000
10311500	1	1	1	1071	10000	10000	713	748	784	819	855	891	926	962	998	1033	1069	1540	1617	1694	1771	1848	1925	2002	2079	2156	2233	2310	501	10000
10411500	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	502	10000
10511500	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	503	10000
10611500	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	503	10000
10711500	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	502	10000
10811500	1	1	1	1067	10000	10000	242	254	266	278	290	302	314	326	338	350	363	522	548	574	600	626	652	678	704	730	756	783	502	10000
10911500	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	502	10000
10011600	1	1	1	1067	10000	10000	1300	1365	1430	1495	1560	1625	1690	1755	1820	1885	1950	3744	3931	4118	4305	4492	4680	4867	5054	5241	5428	5616	601	10000
10111600	1	1	1	1068	10000	10000	784	823	862	901	940	980	1019	1058	1097	1136	1176	2257	2369	2482	2595	2708	2821	2934	3046	3159	3272	3385	601	10000
10211600	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	601	10000
10311600	1	1	1	1071	10000	10000	784	823	862	901	940	980	1019	1058	1097	1136	1176	2257	2369	2482	2595	2708	2821	2934	3046	3159	3272	3385	601	10000
10411600	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	602	10000
10511600	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	603	10000
10611600	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	603	10000
10711600	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	602	10000
10811600	1	1	1	1067	10000	10000	266	279	292	305	319	332	345	359	372	385	399	766	804	842	880	919	957	995	1034	1072	1110	1149	602	10000
10911600	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	602	10000
10011700	1	1	1	1067	10000	10000	1430	1501	1573	1644	1716	1787	1859	1930	2002	2073	2145	5491	5765	6040	6314	6589	6863	7138	7412	7687	7961	8236	701	10000
10111700	1	1	1	1068	10000	10000	862	905	948	991	1034	1077	1120	1163	1206	1249	1293	3310	3475	3641	3806	3972	4137	4303	4468	4634	4799	4965	701	10000
10211700	1	1	1	1072	10000	10000	14971	15719	16468	17216	17965	18713	19462	20210	20959	21707	22456	1766	1854	1942	2030	2119	2207	2295	2384	2472	2560	2649	701	10000
10311700	1	1	1	1071	10000	10000	862	905	948	991	1034	1077	1120	1163	1206	1249	1293	3310	3475	3641	3806	3972	4137	4303	4468	4634	4799	4965	701	10000
10411700	1	1	1	1065	10000	10000	283	297	311	325	339	353	367	382	396	410	424	2173	2281	2390	2498	2607	2716	2824	2933	3042	3150	3259	702	10000
10511700	1	1	1	1065	10000	10000	283	297	311	325	339	353	367	382	396	410	424	2173	2281	2390	2498	2607	2716	2824	2933	3042	3150	3259	703	10000
10611700	1	1	1	1065	10000	10000	283	297	311	325	339	353	367	382	396	410	424	2173	2281	2390	2498	2607	2716	2824	2933	3042	3150	3259	703	10000
10711700	1	1	1	1072	10000	10000	14971	15719	16468	17216	17965	18713	19462	20210	20959	21707	22456	1766	1854	1942	2030	2119	2207	2295	2384	2472	2560	2649	702	10000
10811700	1	1	1	1067	10000	10000	292	306	321	335	350	365	379	394	408	423	438	1121	1177	1233	1289	1345	1401	1457	1513	1569	1625	1681	702	10000
10911700	1	1	1	1072	10000	10000	14971	15719	16468	17216	17965	18713	19462	20210	20959	21707	22456	1766	1854	1942	2030	2119	2207	2295	2384	2472	2560	2649	702	10000
10011800	1	1	1	1067	10000	10000	1572	1650	1729	1807	1886	1965	2043	2122	2200	2279	2358	8032	8433	8835	9236	9638	10040	10441	10843	11244	11646	12048	801	10000
10111800	1	1	1	1068	10000	10000	948	995	1042	1090	1137	1185	1232	1279	1327	1374	1422	4844	5086	5328	5570	5812	6055	6297	6539	6781	7023	7266	801	10000
10211800	1	1	1	1072	10000	10000	16905	17750	18595	19440	20286	21131	21976	22821	23667	24512	25357	2704	2839	2974	3109	3244	3380	3515	3650	3785	3920	4056	801	10000
10311800	1	1	1	1071	10000	10000	948	995	1042	1090	1137	1185	1232	1279	1327	1374	1422	4844	5086	5328	5570	5812	6055	6297	6539	6781	7023	7266	801	10000
10411800	1	1	1	1065	10000	10000	312	327	343	358	374	390	405	421	436	452	468	3185	3344	3503	3662	3822	3981	4140	4299	4459	4618	4777	802	10000
10511800	1	1	1	1065	10000	10000	312	327	343	358	374	390	405	421	436	452	468	3185	3344	3503	3662	3822	3981	4140	4299	4459	4618	4777	803	10000
10611800	1	1	1	1065	10000	10000	312	327	343	358	374	390	405	421	436	452	468	3185	3344	3503	3662	3822	3981	4140	4299	4459	4618	4777	803	10000
10711800	1	1	1	1072	10000	10000	16905	17750	18595	19440	20286	21131	21976	22821	23667	24512	25357	2704	2839	2974	3109	3244	3380	3515	3650	3785	3920	4056	802	10000
10811800	1	1	1	1067	10000	10000	322	338	354	370	386	402	418	434	450	466	483	1645	1727	1809	1891	1974	2056	2138	2220	2303	2385	2467	802	10000
10911800	1	1	1	1072	10000	10000	16905	17750	18595	19440	20286	21131	21976	22821	23667	24512	25357	2704	2839	2974	3109	3244	3380	3515	3650	3785	3920	4056	802	10000
10011900	1	1	1	1067	10000	10000	1808	1898	1988	2079	2169	2260	2350	2440	2531	2621	2712	12294	12908	13523	14138	14752	15367	15982	16596	17211	17826	18441	901	10000
10111900	1	1	1	1068	10000	10000	1090	1144	1199	1253	1308	1362	1417	1471	1526	1580	1635	7412	7782	8153	8523	8894	9265	9635	10006	10376	10747	11118	901	10000
10211900	1	1	1	1072	10000	10000	19595	20574	21554	22534	23514	24493	25473	26453	27433	28412	29392	4114	4319	4525	4731	4936	5142	5348	5553	5759	5965	6171	901	10000
10311900	1	1	1	1071	10000	10000	1090	1144	1199	1253	1308	1362	1417	1471	1526	1580	1635	7412	7782	8153	8523	8894	9265	9635	10006	10376	10747	11118	901	10000
10411900	1	1	1	1065	10000	10000	358	375	393	411	429	447	465	483	501	519	537	4861	5104	5347	5590	5833	6076	6319	6562	6805	7048	7291	902	10000
10511900	1	1	1	1065	10000	10000	358	375	393	411	429	447	465	483	501	519	537	4861	5104	5347	5590	5833	6076	6319	6562	6805	7048	7291	903	10000
10611900	1	1	1	1065	10000	10000	358	375	393	411	429	447	465	483	501	519	537	4861	5104	5347	5590	5833	6076	6319	6562	6805	7048	7291	903	10000
10711900	1	1	1	1072	10000	10000	19595	20574	21554	22534	23514	24493	25473	26453	27433	28412	29392	4114	4319	4525	4731	4936	5142	5348	5553	5759	5965	6171	902	10000
10811900	1	1	1	1067	10000	10000	370	388	407	425	444	462	481	499	518	536	555	2516	2641	2767	2893	3019	3145	3270	3396	3522	3648	3774	902	10000
10911900	1	1	1	1072	10000	10000	19595	20574	21554	22534	23514	24493	25473	26453	27433	28412	29392	4114	4319	4525	4731	4936	5142	5348	5553	5759	5965	6171	902	10000
10011110	1	1	1	1067	10000	10000	709	744	779	815	850	886	921	957	992	1028	1063	709	744	779	815	850	886	921	957	992	1028	1063	101	10000
10111110	1	1	1	1068	10000	10000	428	449	470	492	513	535	556	577	599	620	642	428	449	470	492	513	535	556	577	599	620	642	101	10000
10211110	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	5668	5886	6104	6322	6540	305	320	335	350	366	381	396	411	427	442	457	101	10000
10311110	1	1	1	1071	10000	10000	428	449	470	492	513	535	556	577	599	620	642	428	449	470	492	513	535	556	577	599	620	642	101	10000
10411110	1	1	1	1065	10000	10000	140	147	154	161	168	175	182	189	196	203	210	280	294	308	322	336	350	364	378	392	406	420	102	10000
10511110	1	1	1	1065	10000	10000	140	147	154	161	168	175	182	189	196	203	210	280	294	308	322	336	350	364	378	392	406	420	103	10000
10611110	1	1	1	1065	10000	10000	140	147	154	161	168	175	182	189	196	203	210	280	294	308	322	336	350	364	378	392	406	420	103	10000
10711110	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	5668	5886	6104	6322	6540	305	320	335	350	366	381	396	411	427	442	457	102	10000
10811110	1	1	1	1067	10000	10000	145	152	159	166	174	181	188	195	203	210	217	145	152	159	166	174	181	188	195	203	210	217	102	10000
10911110	1	1	1	1072	10000	10000	4360	4578	4796	5014	5232	5450	5668	5886	6104	6322	6540	305	320	335	350	366	381	396	411	427	442	457	102	10000
10011210	1	1	1	1067	10000	10000	815	855	896	937	978	1018	1059	1100	1141	1181	1222	978	1026	1075	1124	1173	1222	1271	1320	1369	1418	1467	201	10000
10111210	1	1	1	1068	10000	10000	492	516	541	565	590	615	639	664	688	713	738	590	619	649	678	708	737	767	796	826	855	885	201	10000
10211210	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	201	10000
10311210	1	1	1	1071	10000	10000	492	516	541	565	590	615	639	664	688	713	738	590	619	649	678	708	737	767	796	826	855	885	201	10000
10411210	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	202	10000
10511210	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	203	10000
10611210	1	1	1	1065	10000	10000	162	170	178	186	194	202	210	218	226	234	243	388	407	426	446	465	485	504	523	543	562	582	203	10000
10711210	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	202	10000
10811210	1	1	1	1067	10000	10000	167	175	183	192	200	208	217	225	233	242	250	200	210	220	230	240	250	260	270	280	290	300	202	10000
10911210	1	1	1	1072	10000	10000	5669	5952	6235	6519	6802	7086	7369	7653	7936	8220	8503	396	415	435	455	475	495	514	534	554	574	594	202	10000
10011310	1	1	1	1067	10000	10000	978	1026	1075	1124	1173	1222	1271	1320	1369	1418	1467	1437	1508	1580	1652	1724	1796	1868	1939	2011	2083	2155	301	10000
10111310	1	1	1	1068	10000	10000	590	619	649	678	708	737	767	796	826	855	885	867	910	953	997	1040	1083	1127	1170	1213	1257	1300	301	10000
10211310	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	301	10000
10311310	1	1	1	1071	10000	10000	590	619	649	678	708	737	767	796	826	855	885	867	910	953	997	1040	1083	1127	1170	1213	1257	1300	301	10000
10411310	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	302	10000
10511310	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	303	10000
10611310	1	1	1	1065	10000	10000	194	203	213	223	232	242	252	261	271	281	291	570	598	627	655	684	712	741	769	798	826	855	303	10000
10711310	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	302	10000
10811310	1	1	1	1067	10000	10000	200	210	220	230	240	250	260	270	280	290	300	294	308	323	338	352	367	382	396	411	426	441	302	10000
10911310	1	1	1	1072	10000	10000	6907	7252	7597	7943	8288	8633	8979	9324	9669	10015	10360	504	529	554	579	604	630	655	680	705	730	756	302	10000
10011410	1	1	1	1067	10000	10000	1075	1128	1182	1236	1290	1343	1397	1451	1505	1558	1612	1881	1975	2069	2163	2257	2351	2445	2539	2633	2727	2821	401	10000
10111410	1	1	1	1068	10000	10000	648	680	712	745	777	810	842	874	907	939	972	1134	1190	1247	1304	1360	1417	1474	1530	1587	1644	1701	401	10000
10211410	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	401	10000
10311410	1	1	1	1071	10000	10000	648	680	712	745	777	810	842	874	907	939	972	1134	1190	1247	1304	1360	1417	1474	1530	1587	1644	1701	401	10000
10411410	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	402	10000
10511410	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	403	10000
10611410	1	1	1	1065	10000	10000	213	223	234	244	255	266	276	287	298	308	319	745	782	819	856	894	931	968	1005	1043	1080	1117	403	10000
10711410	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	402	10000
10811410	1	1	1	1067	10000	10000	220	231	242	253	264	275	286	297	308	319	330	385	404	423	442	462	481	500	519	539	558	577	402	10000
10911410	1	1	1	1072	10000	10000	8407	8827	9247	9668	10088	10508	10929	11349	11769	12190	12610	622	653	684	715	746	777	808	839	870	901	933	402	10000
10011510	1	1	1	1067	10000	10000	1182	1241	1300	1359	1418	1477	1536	1595	1654	1713	1773	2553	2680	2808	2935	3063	3191	3318	3446	3574	3701	3829	501	10000
10111510	1	1	1	1068	10000	10000	713	748	784	819	855	891	926	962	998	1033	1069	1540	1617	1694	1771	1848	1925	2002	2079	2156	2233	2310	501	10000
10211510	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	501	10000
10311510	1	1	1	1071	10000	10000	713	748	784	819	855	891	926	962	998	1033	1069	1540	1617	1694	1771	1848	1925	2002	2079	2156	2233	2310	501	10000
10411510	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	502	10000
10511510	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	503	10000
10611510	1	1	1	1065	10000	10000	234	245	257	269	280	292	304	315	327	339	351	1010	1060	1111	1161	1212	1262	1313	1363	1414	1464	1515	503	10000
10711510	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	502	10000
10811510	1	1	1	1067	10000	10000	242	254	266	278	290	302	314	326	338	350	363	522	548	574	600	626	652	678	704	730	756	783	502	10000
10911510	1	1	1	1072	10000	10000	10450	10972	11495	12017	12540	13062	13585	14107	14630	15152	15675	794	833	873	913	952	992	1032	1071	1111	1151	1191	502	10000
10011610	1	1	1	1067	10000	10000	1300	1365	1430	1495	1560	1625	1690	1755	1820	1885	1950	3744	3931	4118	4305	4492	4680	4867	5054	5241	5428	5616	601	10000
10111610	1	1	1	1068	10000	10000	784	823	862	901	940	980	1019	1058	1097	1136	1176	2257	2369	2482	2595	2708	2821	2934	3046	3159	3272	3385	601	10000
10211610	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	601	10000
10311610	1	1	1	1071	10000	10000	784	823	862	901	940	980	1019	1058	1097	1136	1176	2257	2369	2482	2595	2708	2821	2934	3046	3159	3272	3385	601	10000
10411610	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	602	10000
10511610	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	603	10000
10611610	1	1	1	1065	10000	10000	258	270	283	296	309	322	335	348	361	374	387	1486	1560	1634	1708	1783	1857	1931	2006	2080	2154	2229	603	10000
10711610	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	602	10000
10811610	1	1	1	1067	10000	10000	266	279	292	305	319	332	345	359	372	385	399	766	804	842	880	919	957	995	1034	1072	1110	1149	602	10000
10911610	1	1	1	1072	10000	10000	13262	13925	14588	15251	15914	16577	17240	17903	18566	19229	19893	1167	1225	1283	1342	1400	1458	1517	1575	1633	1692	1750	602	10000
10011710	1	1	1	1067	10000	10000	1430	1501	1573	1644	1716	1787	1859	1930	2002	2073	2145	5491	5765	6040	6314	6589	6863	7138	7412	7687	7961	8236	701	10000
10111710	1	1	1	1068	10000	10000	862	905	948	991	1034	1077	1120	1163	1206	1249	1293	3310	3475	3641	3806	3972	4137	4303	4468	4634	4799	4965	701	10000
