活动ID（ID规则：共3位，第一位表示礼包类型<0为成长礼包，1为超值礼包>，第二位为世界科技等级，第三位根据玩家状态决定，1为后进玩家，2为正常玩家）	副键	有效标志（1读取该条数据，0不读）	商品形式（0表示走充值内购，非0则为隐形商城shopID：13）	商品ID（如果商品形式是0则填内购depositeID，如果商品形式填0元depositeID统计用）	可见状态限制（可以看到该条数据的限制）	可买状态限制（可以购买该条内容的限制）	次数限制ID（该条数据能购买的次数）	获得奖励（购买后获得的reward_cfg奖励）	界面显示组（界面显示的礼包组数）	商品名称（显示用，预览时的标题）	道具ID（商店中对应道具的ID，同时显示用）	角标签（右上角标签文本）	道具标签	原价	现价	显示开始（界面显示的开始时间）	结束时间（界面显示的剩余时间）	界面显示1（界面显示文本）	界面显示2	界面显示3	显示面板（0正常成长礼包，1超值礼包，9其他）	底图名字
1	25	1	0	1004	40051499	40051499	111	40000127	47	红包600元宝	322400208	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	26	1	0	1005	40051499	40051499	111	40000128	47	红包980元宝	322400209	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	27	1	0	1006	40051499	40051499	111	40000129	47	红包1580元宝	322400210	折扣	超值	1500	750	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	28	1	0	1101	40051499	40051499	111	40000130	47	主播送礼 60礼卷	322400202	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	29	1	0	1102	40051499	40051499	111	40000131	47	主播送礼 180礼卷	322400203	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	30	1	0	1103	40051499	40051499	111	40000132	47	主播送礼 300礼卷	322400204	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	31	1	0	1104	40051499	40051499	111	40000133	47	主播送礼 600礼卷	322400205	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	32	1	0	1105	40051499	40051499	111	40000134	47	主播送礼 980礼卷	322400206	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	33	1	0	1106	40051499	40051499	111	40000135	47	主播送礼 1580礼卷	322400207	折扣	超值	1500	750	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	34	1	0	31	40051499	40051499	111	40000121	47	30元幸运礼	322400202	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	35	1	0	32	40051499	40051499	111	40000122	47	60元幸运礼	322400203	折扣	超值	120	60	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	36	1	0	33	40051499	40051499	111	40000123	47	90元幸运礼	322400204	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	37	1	0	34	40051499	40051499	111	40000124	47	120元幸运礼	322400205	折扣	超值	240	120	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	38	1	0	35	40051499	40051499	111	40000125	47	150元幸运礼	322400206	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	39	1	0	36	40051499	40051499	111	40000126	47	180元幸运礼	322400207	折扣	超值	360	180	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	40	1	0	37	40051499	40051499	111	40000127	47	270元幸运礼	322400208	折扣	超值	540	270	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	41	1	0	38	40051499	40051499	111	40000128	47	300元幸运礼	322400209	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	42	1	0	39	40051499	40051499	111	40000129	47	390元幸运礼	322400210	折扣	超值	780	390	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	43	1	0	40	40051499	40051499	111	40000130	47	450元幸运礼	322400202	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	44	1	0	41	40051499	40051499	111	40000131	47	1120元幸运礼	322400203	折扣	超值	2240	1120	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	45	1	0	42	40051499	40051499	111	40000132	47	1490元幸运礼	322400204	折扣	超值	2980	1490	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	46	1	0	43	40051499	40051499	111	40000133	47	2090元幸运礼	322400205	折扣	超值	4180	2090	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	47	1	0	44	40051499	40051499	111	40000134	47	2990元幸运礼	322400206	折扣	超值	5980	2990	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
12	1	1	13	21	40051405	40051406	415	40000136	5	新手豪华礼	322400211	福利	dd	26	0	0	345600	超值限时大礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	2	1	0	50	40051405	40051406	416	40000137	5	30元折扣豪礼	322400212	3.8折	超值	80	30	0	345600	超值限时大礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	3	1	0	51	40051405	40051406	417	40000114	5	60元折扣豪礼	322400213	4.7折	超值	130	60	0	345600	超值限时大礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	4	1	0	52	40051405	40051406	418	40000115	5	90元折扣豪礼	322400214	5.2折	豪华	176	90	0	345600	超值限时大礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	5	1	0	54	40051405	40051406	419	40000116	5	150元折扣豪礼	322400215	6.1折	豪华	246	150	0	345600	超值限时大礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
21	1	1	13	21	40051401	40051402	403	40000103	3	新手豪华礼	322400202	福利	热卖	30	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变二</color>后开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	2	1	0	50	40051401	40051402	404	40000104	3	30元折扣豪礼	322400203	2.4折	超值	130	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变二</color>后开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	3	1	0	52	40051401	40051402	405	40000105	3	90元折扣豪礼	322400204	4.4折	豪华	206	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变二</color>后开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
22	1	1	13	21	40051403	40051404	406	40000106	6	新手豪华礼	322400205	福利	热卖	44	0	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
22	2	1	0	50	40051403	40051404	407	40000107	6	30元折扣豪礼	322400206	2.9折	超值	106	30	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
22	3	1	0	52	40051403	40051404	408	40000108	6	90元折扣豪礼	322400207	4.6折	超值	196	90	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
22	4	1	0	54	40051403	40051404	409	40000109	6	150元折扣豪礼	322400208	5折	豪华	300	150	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
22	5	1	0	57	40051403	40051404	410	40000110	6	240元折扣豪礼	322400209	5.5折	稀有	438	240	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
22	6	1	0	64	40051403	40051404	411	40000111	6	450元折扣豪礼	322400210	4.5折	稀有	1018	450	0	691200	超值限时大礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61级~1转80级</color>玩家可购买	0	0
31	1	1	13	21	40051407	40051407	424	40000117	3	新手豪华礼	322400216	福利	热卖	72	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变三</color>后开放	<color=#00ab37>55级~1转70级</color>玩家可购买	0	0
31	2	1	0	50	40051407	40051407	425	40000118	3	30元折扣豪礼	322400203	2.8折	超值	108	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变三</color>后开放	<color=#00ab37>55级~1转70级</color>玩家可购买	0	0
31	3	1	0	52	40051407	40051407	426	40000119	3	90元折扣豪礼	322400204	4.5折	豪华	200	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变三</color>后开放	<color=#00ab37>55级~1转70级</color>玩家可购买	0	0
32	1	1	13	21	40051408	40051408	427	40000120	6	新手豪华礼	322400217	福利	热卖	172	0	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
32	2	1	0	50	40051408	40051408	428	40000121	6	30元折扣豪礼	322400206	1.4折	超值	220	30	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
32	3	1	0	52	40051408	40051408	429	40000122	6	90元折扣豪礼	322400207	2.2折	超值	416	90	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
32	4	1	0	54	40051408	40051408	430	40000123	6	150元折扣豪礼	322400208	2.2折	豪华	704	150	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
32	5	1	0	57	40051408	40051408	431	40000124	6	240元折扣豪礼	322400209	2.5折	稀有	988	240	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
32	6	1	0	64	40051408	40051408	432	40000125	6	450元折扣豪礼	322400210	3.3折	稀有	1404	450	0	1296000	超值限时大礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81级~2转100级</color>玩家可购买	0	0
41	1	1	13	21	40051411	40051411	433	40000126	3	新手豪华礼	322400218	福利	热卖	88	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变四</color>后开放	<color=#00ab37>1转70级~2转90级</color>玩家可购买	0	0
41	2	1	0	50	40051411	40051411	434	40000127	3	30元折扣豪礼	322400203	2折	超值	150	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变四</color>后开放	<color=#00ab37>1转70级~2转90级</color>玩家可购买	0	0
41	3	1	0	52	40051411	40051411	435	40000128	3	90元折扣豪礼	322400204	2.9折	豪华	318	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变四</color>后开放	<color=#00ab37>1转70级~2转90级</color>玩家可购买	0	0
42	1	1	13	21	40051412	40051412	436	40000129	6	新手豪华礼	322400219	福利	热卖	182	0	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
42	2	1	0	50	40051412	40051412	437	40000130	6	30元折扣豪礼	322400206	1.3折	超值	238	30	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
42	3	1	0	52	40051412	40051412	438	40000131	6	90元折扣豪礼	322400207	2.1折	超值	444	90	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
42	4	1	0	54	40051412	40051412	439	40000132	6	150元折扣豪礼	322400208	1.9折	豪华	820	150	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
42	5	1	0	57	40051412	40051412	440	40000133	6	240元折扣豪礼	322400209	1.9折	稀有	1264	240	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
42	6	1	0	64	40051412	40051412	441	40000134	6	450元折扣豪礼	322400210	2.6折	稀有	1744	450	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变四</color>开放	<color=#00ab37>2转101级~3转120级</color>玩家可购买	0	0
51	1	1	13	21	40051413	40051413	449	40000135	3	新手豪华礼	322400220	福利	热卖	88	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变五</color>后开放	<color=#00ab37>2转90级~3转110级</color>玩家可购买	0	0
51	2	1	0	50	40051413	40051413	450	40000136	3	30元折扣豪礼	322400203	2折	超值	150	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变五</color>后开放	<color=#00ab37>2转90级~3转110级</color>玩家可购买	0	0
51	3	1	0	52	40051413	40051413	451	40000137	3	90元折扣豪礼	322400204	2.9折	豪华	318	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变五</color>后开放	<color=#00ab37>2转90级~3转110级</color>玩家可购买	0	0
52	1	1	13	21	40051414	40051414	452	40000138	6	新手豪华礼	322400221	福利	热卖	182	0	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
52	2	1	0	50	40051414	40051414	453	40000139	6	30元折扣豪礼	322400206	1.3折	超值	238	30	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
52	3	1	0	52	40051414	40051414	454	40000140	6	90元折扣豪礼	322400207	2.1折	超值	444	90	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
52	4	1	0	54	40051414	40051414	455	40000141	6	150元折扣豪礼	322400208	1.9折	豪华	820	150	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
52	6	1	0	57	40051414	40051414	456	40000142	6	240元折扣豪礼	322400209	1.9折	稀有	1264	240	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
52	7	1	0	64	40051414	40051414	457	40000143	6	450元折扣豪礼	322400210	2.6折	稀有	1744	450	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变五</color>开放	<color=#00ab37>3转121级~4转140级</color>玩家可购买	0	0
61	1	1	13	21	40051415	40051415	458	40000144	3	新手豪华礼	322400222	福利	热卖	88	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变六</color>后开放	<color=#00ab37>3转110级~4转130级</color>玩家可购买	0	0
61	2	1	0	50	40051415	40051415	459	40000145	3	30元折扣豪礼	322400203	2折	超值	150	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变六</color>后开放	<color=#00ab37>3转110级~4转130级</color>玩家可购买	0	0
61	3	1	0	52	40051415	40051415	460	40000146	3	90元折扣豪礼	322400204	2.9折	豪华	318	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变六</color>后开放	<color=#00ab37>3转110级~4转130级</color>玩家可购买	0	0
62	1	1	13	21	40051416	40051416	461	40000147	6	新手豪华礼	322400223	福利	热卖	182	0	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变六</color>开放	<color=#00ab37>4转141级~5转160级</color>玩家可购买	0	0
62	2	1	0	50	40051416	40051416	462	40000148	6	30元折扣豪礼	322400206	1.3折	超值	238	30	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变六</color>开放	<color=#00ab37>4转141级~5转160级</color>玩家可购买	0	0
62	3	1	0	52	40051416	40051416	463	40000149	6	90元折扣豪礼	322400207	2.1折	超值	444	90	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变六</color>开放	<color=#00ab37>4转141级~5转160级</color>玩家可购买	0	0
62	4	1	0	54	40051416	40051416	464	40000150	6	150元折扣豪礼	322400208	1.9折	豪华	820	150	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变六</color>开放	<color=#00ab37>4转141级~5转160级</color>玩家可购买	0	0
62	5	1	0	64	40051416	40051416	465	40000151	6	450元折扣豪礼	322400209	3.6折	稀有	1264	450	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变六</color>开放	<color=#00ab37>4转141级~5转160级</color>玩家可购买	0	0
62	6	1	0	803	40051417	40051417	466	40000153	6	1190元折扣豪礼	322400210	6.9折	稀有	1744	1190	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>4转130级~5转150级</color>玩家可购买	0	0
71	1	1	13	21	40051417	40051417	467	40000153	3	新手豪华礼	322400224	福利	热卖	88	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变七</color>后开放	<color=#00ab37>4转130级~5转150级</color>玩家可购买	0	0
71	2	1	0	50	40051417	40051417	468	40000154	3	30元折扣豪礼	322400203	2折	超值	150	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变七</color>后开放	<color=#00ab37>4转130级~5转150级</color>玩家可购买	0	0
71	3	1	0	52	40051417	40051417	469	40000155	3	90元折扣豪礼	322400204	2.9折	豪华	318	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变七</color>后开放	<color=#00ab37>4转130级~5转150级</color>玩家可购买	0	0
72	1	1	13	21	40051418	40051418	470	40000156	6	新手豪华礼	322400225	福利	热卖	182	0	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>5转161级~6转180级</color>玩家可购买	0	0
72	2	1	0	50	40051418	40051418	471	40000157	6	30元折扣豪礼	322400206	1.3折	超值	238	30	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>5转161级~6转180级</color>玩家可购买	0	0
72	3	1	0	52	40051418	40051418	472	40000158	6	90元折扣豪礼	322400207	2.1折	超值	444	90	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>5转161级~6转180级</color>玩家可购买	0	0
72	4	1	0	54	40051418	40051418	473	40000159	6	150元折扣豪礼	322400208	1.9折	豪华	820	150	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>5转161级~6转180级</color>玩家可购买	0	0
72	5	1	0	64	40051418	40051418	474	40000160	6	450元折扣豪礼	322400209	3.6折	稀有	1264	450	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变七</color>开放	<color=#00ab37>5转161级~6转180级</color>玩家可购买	0	0
72	6	1	0	803	40051419	40051419	475	40000162	6	1190元折扣豪礼	322400210	6.9折	稀有	1744	1190	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>5转150级~6转170级</color>玩家可购买	0	0
81	1	1	13	21	40051419	40051419	476	40000162	3	新手豪华礼	322400226	福利	热卖	88	0	0	9999999	超值限时大礼包	<color=#00ab37>天地异变八</color>后开放	<color=#00ab37>5转150级~6转170级</color>玩家可购买	0	0
81	2	1	0	50	40051419	40051419	477	40000163	3	30元折扣豪礼	322400203	2折	超值	150	30	0	9999999	超值限时大礼包	<color=#00ab37>天地异变八</color>后开放	<color=#00ab37>5转150级~6转170级</color>玩家可购买	0	0
81	3	1	0	52	40051419	40051419	478	40000164	3	90元折扣豪礼	322400204	2.9折	豪华	318	90	0	9999999	超值限时大礼包	<color=#00ab37>天地异变八</color>后开放	<color=#00ab37>5转150级~6转170级</color>玩家可购买	0	0
82	1	1	13	21	40051420	40051420	479	40000165	6	新手豪华礼	322400227	福利	热卖	182	0	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>6转181级~7转200级</color>玩家可购买	0	0
82	2	1	0	50	40051420	40051420	480	40000166	6	30元折扣豪礼	322400206	1.3折	超值	238	30	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>6转181级~7转200级</color>玩家可购买	0	0
82	3	1	0	52	40051420	40051420	481	40000167	6	90元折扣豪礼	322400207	2.1折	超值	444	90	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>6转181级~7转200级</color>玩家可购买	0	0
82	4	1	0	54	40051420	40051420	482	40000168	6	150元折扣豪礼	322400208	1.9折	豪华	820	150	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>6转181级~7转200级</color>玩家可购买	0	0
82	5	1	0	64	40051420	40051420	483	40000169	6	450元折扣豪礼	322400209	3.6折	稀有	1264	450	0	2160000	超值限时大礼包	仅在<color=#00ab37>天地异变八</color>开放	<color=#00ab37>6转181级~7转200级</color>玩家可购买	0	0
82	6	1	0	803	40051421	40051421	484	40000171	6	1190元折扣豪礼	322400210	6.9折	稀有	1744	1190	0	2160000	超值限时大礼包	仅在<color=#00ab37></color>开放	<color=#00ab37>~</color>玩家可购买	0	0
100	1	1	0	50	0	0	420	40000200	1	超值礼包	0	1.6折	超值	198	30	0	0	超值礼包	超值礼包	超值礼包	1	0
101	1	1	0	50	0	0	421	40000203	1	周卡优惠	0	3.4折	超值	90	30	0	0	优惠周卡	优惠周卡	优惠周卡	9	0
101	2	1	0	52	0	0	422	40000204	1	月卡优惠	0	6折	超值	150	90	0	0	优惠月卡	优惠月卡	优惠月卡	9	0
