任务ID（1-1279为一次性任务）	有效标志位	子任务ID	任务类型（1正常模式，2客户端模式，指引、奇遇、全隐藏模式这几个待定）	任务模式（来源：1经文,2神树，3课程表，4剑池，5灵宠，6出国，7帮派工资，8帮派任务1，9帮派任务2，10帮派任务3，11帮派任务4，12帮派任务5，13修仙之路,14奇遇任务(指引型),15奇遇任务(选择型)，16师徒任务）	任务模式（时间：0一次性任务，1日常任务，2周常任务，3月常任务）	任务模式（接取来源-位域：0无，1NPC，2面板，4道具）	所属环ID	模式参数	领取任务状态限制表主键，填0则不会读取	消耗条件主键，填0则不会读取	奖励ID主键，填0则不会读取	任务名字	可接任务描述	已接任务描述	可交任务描述	整个任务描述	领取任务对白ID	提交任务对白ID	领取任务脚本ID	完成任务脚本ID	完成任务的模式：0表示或条件，1表示与条件（注意：如果是或条件的话，空条件类型的参数2要是1，否则会一接就完成的情况）	完成任务条件：（1杀怪，2通关副本，3完成成就，4境界要求，5诵读经文，6采集多少次，7是客户端采集，8获得道具，9完成次数限制，10装备加工，11技能加工，12由服务器通关客户端副本，13灵宠注入灵元几次，14提交名剑X次，15通关指定类型客户端副本X次<2为观灵阁，8是精英历练>，16获得经文残页X次，17等级提升，18参与指定类型副本，19每日通关封魔塔层数（重置也算）），20重铸卡牌（无用），21杀敌/助攻,22抽奖(参数1:1青铜,2白银,3黄金)，23悬赏（条件为0，进度为1），24好友个数（参数1：需要角色身上的好友数量，25客户端触发服务器进度，26帮派竞拍物品成功次数，27购买某个商店多少个物品  参数1：商店ID，28帮派分红多少元宝，29开启修炼，30打造装备，31灵宠招募，参数2次数，32升级宝石，参数2次数，33合成魂装，参数2次数，34精炼多少次，35卡牌重铸多少次，36卡牌洗练多少次，37灵宠培养，38灵宠重铸，39购买聚宝盆）	完成任务条件1参数1	完成任务条件1参数2	完成任务条件1参数3	任务条件1的描述	任务条件1触发的脚本	完成条件2	完成条件2参数1	完成条件2参数2	完成条件2参数3	完成条件2描述	完成条件2脚本	完成条件3	完成条件3参数1	完成条件3参数2	完成条件3参数3	完成条件3描述	完成条件3脚本	完成条件4	完成条件4参数1	完成条件4参数2	完成条件4参数3	完成条件4描述	完成条件4脚本	完成条件5	完成条件5参数1	完成条件5参数2	完成条件5参数3	完成条件5描述	完成条件5脚本	可重复次数（仅针对可循环任务）	接任务NPC（默认）	交任务NPC（默认）	接任务地图（默认公共地图及第一阵营）	交任务地图（默认公共地图及第一阵营）	任务预给奖励	任务回收ID（消耗ID）	状态限制ID（仅在这个状态内可提交）	任务类型(0主线，1支线，2日常，3课程表，4灵宠，5教院，6指引）	只能接一个任务	是否可放弃任务（0不可以，1可以）	师徒值邮件ID	奖励师德值	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	任务目标1npcid	任务目标1地图	任务目标1x	任务目标1y	任务目标1z	任务目标2npcid	任务目标2地图	任务目标2x	任务目标2y	任务目标2z	任务目标3npcid	任务目标3地图	任务目标3x	任务目标3y	任务目标3z	可提交时触发脚本ID	不自动去做	不自动去交	任务自动读秒（大于0的则为默认读秒时间，读秒仅用于自动领取任务和自动领取任务奖励，等于0则不自动读秒）	目标1寻路后触发脚本	目标2寻路后触发脚本	目标3寻路后触发脚本	任务显示优先级	是否显示特殊奖励	环任务脚本（仅用在环任务上，切记）	接任务NPC（阵营2）	接任务地图（第二阵营）	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPC（阵营2）	交任务地图（第二阵营）	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	接任务NPC（阵营3）	接任务地图（第二阵营）	接任务NPCX坐标	接任务NPCY坐标	接任务NPCZ坐标	交任务NPC（阵营3）	交任务地图（第二阵营）	交任务NPCX坐标	交任务NPCY坐标	交任务NPCZ坐标	接任务上报	交任务上报
6	1	9	2	0	0	0	0	0	10000601	0	10000601	仙山鹤影	找到九仙山道观	空	点击领取奖励	咦！天上那只仙鹤上面居然站着一人，看样子是往山上飞去了，那应该就是夕蝶说的道观。	0	0	0	0	1	1	10001	1	0	找到九仙山道观	LogicScriptManager.TriggerScript(601)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011027	1011028	14	14	0	0	0	0	0	0	0	0	419.5	147.9	472.2	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011027	114	437.6	148.1	473.6	1011028	114	488.9	158.1	515.1	1011027	214	437.6	148.1	473.6	1011028	214	488.9	158.1	515.1	101000	101010
9	1	1149	2	0	0	0	0	0	10000901	0	10000901	仙风道骨	拜见观主云逍	空	点击领取奖励	这仙风道骨之人，应该就是观主了，看样子这个受伤的人有救了。	0	0	0	0	1	1	10001	1	0	拜见观主云逍	LogicScriptManager.TriggerScript(602)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011028	1011028	14	14	0	0	0	0	0	0	0	0	488.9	158.1	515.1	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011028	114	488.9	158.1	515.1	1011028	114	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	101100	101110
1149	1	1120	2	0	0	0	0	0	10114901	0	10114901	蕴灵珠	取得蕴灵珠	空	取得蕴灵珠	前去银音炉取来蕴灵珠，然后让云逍师父使用蕴灵珠救治伤者。	0	0	0	112001	1	1	10001	1	0	开启阵法取得蕴灵珠	LogicScriptManager.TriggerScript(903)	1	10001	1	0	将蕴灵珠给云逍观主	LogicScriptManager.TriggerScript(904)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011028	1011028	14	14	0	0	0	0	0	0	0	0	488.9	158.1	515.1	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011028	114	488.9	158.1	515.1	1011028	114	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	101200	101210
1120	1	1119	2	0	0	0	0	0	10112001	0	10112001	魔族乍现	追寻魔族奸细	空	点击领取奖励	这人竟然是魔族伪装的！可恶！这魔族之人也太奸诈了，不过我居然这么笨就上当了。	0	0	0	0	1	1	10001	1	0	追寻魔族奸细	LogicScriptManager.TriggerScript(112002)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011028	0	14	0	0	0	0	0	0	0	0	0	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011028	114	488.9	158.1	515.1	0	0	0	0	0	1011028	214	488.9	158.1	515.1	0	0	0	0	0	101300	101310
1119	1	1118	2	0	0	0	0	0	10111901	0	10111901	事态危急	找到音一和九阴婆婆	空	点击领取奖励	此乃桃花岛，传闻此处藏着《长生诀》的线索。魔族奸细竟跑到此处来，还打伤了九阴婆婆。	0	0	0	0	1	1	10001	1	0	找到音一和九阴婆婆	LogicScriptManager.TriggerScript(111901)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011040	1011040	14	14	0	0	0	0	0	0	0	0	436.51	143.82	645.5	436.51	143.82	645.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011040	114	436.51	143.82	645.5	1011040	114	436.51	143.82	645.5	1011040	214	436.51	143.82	645.5	1011040	214	436.51	143.82	645.5	101400	101410
1118	1	1148	2	0	0	0	0	0	10111801	0	10111801	长生踪迹	聆听九阴婆婆的话	空	点击领取奖励	九阴婆婆知道自己的大限已至，自己已是无力回天，但还是希望我们可以制止魔族的阴谋，不要让他们的阴谋得逞。	0	0	0	0	1	1	10001	1	0	阻挡魔族奸细	LogicScriptManager.TriggerScript(111801)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	88888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101500	101510
1148	1	10	2	0	0	0	0	0	10114801	0	10114801	身世之谜	了解尘生与音一的身世	空	点击领取奖励	音一与烟尘生两人的身世，看来并不寻常啊。	0	0	114802	0	1	1	10001	1	0	了解身世	LogicScriptManager.TriggerScript(111803)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011028	1011028	14	14	0	0	0	0	0	0	0	0	488.9	158.1	515.1	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011028	114	488.9	158.1	515.1	1011028	114	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	1011028	214	488.9	158.1	515.1	101600	101610
10	1	11	2	0	0	0	0	0	10001001	0	10001001	初到神都	找到烟尘生	空	点击领取奖励	先找尘生一起前往神都吧，也顺道向师父禀报一下一些获得的线索。	0	0	0	0	1	1	10001	1	0	与烟尘生对话	LogicScriptManager.TriggerScript(1001)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011028	0	14	0	0	0	0	0	0	0	0	0	488.9	158.1	515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	1011028	114	488.9	158.1	515.1	0	0	0	0	0	1011028	214	488.9	158.1	515.1	0	0	0	0	0	101700	101710
11	1	12	2	0	0	0	0	0	10001101	0	10001101	天下雄城	在神都游历一番	空	点击领取奖励	哇！这就是天下第一雄城神都啊，真的太恢宏了，先四周看看去。	0	0	0	0	1	1	10001	1	0	游历神都	LogicScriptManager.TriggerScript(1102)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10121	0	10	0	0	0	0	0	0	0	0	0	0	0	515.1	294.1	482.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	10121	10	515.1	294.1	482.6	0	0	0	0	0	10121	10	515.1	294.1	482.6	101800	101810
12	1	13	1	0	0	0	0	0	10001201	0	10001201	神都坐骑	领取坐骑	空	点击领取奖励	这神都人真豪爽，第一次见面便送我坐骑，还说我要是骑起来肯定很拉风。	0	0	0	0	0	3	2453	1	0	领取坐骑	NewerGuideManager.BeginGuide(252)	3	1825	1	0	领取坐骑	NewerGuideManager.BeginGuide(252)	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10141	0	10	0	0	0	0	0	0	0	0	0	0	0	516.7	295.9	523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	LogicScriptManager.TriggerScript(1201)	0	0	88888	0	0	0	0	0	0	0	10141	10	516.7	295.9	523.1	0	0	0	0	0	10141	10	516.7	295.9	523.1	101900	101910
13	1	342	2	0	0	0	0	0	10001301	0	10001301	刀客兄妹	与刀客兄妹对话	空	点击领取奖励	这坐骑果然是帅。刚刚这刀客提起了神都第一学院碎星阙正在招收学员，尘生和音一应该就在那里，我赶紧去看看。	0	0	0	0	1	1	10001	1	0	与刀客对话	LogicScriptManager.TriggerScript(1101)	1	10001	1	0	与刀客小妹对话	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10142	0	10	0	0	0	0	0	0	0	0	0	0	0	411.81	298.9167	515.56	0	0	0	0	0	0	10	411.81	298.9167	515.56	0	0	0	0	0	0	0	0	10	0	LogicScriptManager.TriggerScript(1301)	0	88888	0	0	0	0	0	0	0	10142	10	409.8	298.9167	515.9	0	0	0	0	0	10142	10	409.8	298.9167	515.9	102000	102010
342	1	348	2	0	0	0	0	0	10034201	0	10034201	湖边少女	湖边少女	空	点击领取奖励	音一在湖边散心的时候，看到一个少女在湖边，不知道想干什么，让我去看看。	0	0	0	0	1	1	10001	1	0	与音一对话	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011038	0	10	0	0	0	0	0	0	0	0	0	0	0	358.39	298.92	505.57	0	10	348.89	298.92	504.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	LogicScriptManager.TriggerScript(34201)	0	0	88888	0	0	0	0	0	0	0	1011038	10	358.39	298.92	505.57	0	0	0	0	0	1011038	10	358.39	298.92	505.57	102100	102110
348	1	1115	1	0	0	0	0	0	10034801	0	10034801	寻找婚戒	寻找婚戒	空	点击领取奖励	青鸾居然在水中找到了一个戒指，让我找到失主。	0	34802	0	33002	1	3	2552	1	0	寻找永恒之戒	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10165	0	10	0	0	0	0	0	0	0	0	0	0	0	355.45	299.04	532	0	10	355.45	299.04	532	0	0	0	0	0	0	0	0	0	0	0	0	0	10	LogicScriptManager.TriggerScript(34801)	0	0	88888	0	0	0	0	0	0	0	10165	10	355.45	299.04	532	0	0	0	0	0	10165	10	355.45	299.04	532	102200	102210
1115	1	20	2	0	0	0	0	0	10111501	0	10111501	傲慢之人	反驳傲慢之人	空	点击领取奖励	前面白府旁边似乎有一个人，上前询问一下路线，但是此人态度极其傲慢，对众人不屑一顾。	0	0	0	0	1	1	10001	1	0	忽略骄傲的人	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	318.67	298.8358	562.46	0	0	0	0	0	0	0	0	0	0	0	0	0	10	LogicScriptManager.TriggerScript(111501)	0	0	88888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102300	102310
20	1	26	1	0	0	0	0	0	10002001	0	10002001	学院之路	向路人问路	空	点击领取奖励	路上竟然遇到如此傲慢无礼之人，实在倒霉。不过前面好像还有一个小哥看起来彬彬有礼，可以去问问看。	0	0	0	2001	0	0	0	0	0	向路人问路	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10016	0	10	0	0	0	0	0	0	0	0	0	0	0	307.7	298.852	590.4	0	10	307.7	298.852	590.4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	88888	0	0	0	0	0	0	0	10016	10	307.7	298.852	590.4	0	0	0	0	0	10016	10	307.7	298.852	590.4	102400	102410
