品质主ID	副ID（0普通生成用，1免费重铸用，2付费重铸用……10~19各种掉落用，20~29各种制造用）	有效标志位	品质0出现几率	品质1出现几率	品质2出现几率	品质3出现几率	品质4出现几率	品质5出现几率	品质6出现几率	品质7出现几率	品质8出现几率	品质9出现几率	品质0步数	品质1步数	品质2步数	品质3步数	品质4步数	品质5步数	品质6步数	品质7步数	品质8步数	品质9步数	品质0升级成功率	品质1升级成功率	品质2升级成功率	品质3升级成功率	品质4升级成功率	品质5升级成功率	品质6升级成功率	品质7升级成功率	品质8升级成功率	品质9升级成功率	品质0暴击成功率	品质1暴击成功率	品质2暴击成功率	品质3暴击成功率	品质4暴击成功率	品质5暴击成功率	品质6暴击成功率	品质7暴击成功率	品质8暴击成功率	品质9暴击成功率
101	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
101	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
111	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	0	0	0	0
111	1	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	6	10	10000	10000	10000	10000	10000	10000	10000	10000	10000	2500	0	0	0	0	0	0	0	0	0	0
111	2	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	6	10	10000	10000	10000	10000	10000	10000	10000	10000	10000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
201	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	2	4	3	7	14	28	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	1	2	2	4	7	28	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
201	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
201	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
211	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
211	1	1	10000	0	0	0	0	0	0	0	0	0	3	2	3	2	3	3	4	16	24	40	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
211	2	1	10000	0	0	0	0	0	0	0	0	0	3	2	3	2	3	3	4	16	24	40	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
221	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
221	1	1	10000	0	0	0	0	0	0	0	0	0	4	3	4	3	4	4	6	11	12	45	9000	9000	9000	9000	9000	9000	9000	1917	1917	1875	100	100	100	100	100	100	100	0	0	0
221	2	1	10000	0	0	0	0	0	0	0	0	0	4	3	4	3	4	4	6	11	12	45	9000	9000	9000	9000	9000	9000	9000	1917	1917	1875	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
231	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
231	1	1	10000	0	0	0	0	0	0	0	0	0	6	4	6	4	6	6	8	26	27	80	6000	6000	6000	6000	6000	6000	6000	2319	2319	2000	100	100	100	100	100	100	100	0	0	0
231	2	1	10000	0	0	0	0	0	0	0	0	0	6	4	6	4	6	6	8	26	27	80	6000	6000	6000	6000	6000	6000	6000	2319	2319	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
301	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	6	4	9	7	14	28	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	3	2	5	4	7	28	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
301	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
301	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
311	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
311	1	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
311	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	4	3	4	4	5	20	30	50	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
321	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
321	1	1	10000	0	0	0	0	0	0	0	0	0	6	6	7	6	7	7	8	15	15	60	9000	9000	9000	9000	9000	9000	9000	1875	1875	1875	100	100	100	100	100	100	100	0	0	0
321	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	6	5	6	6	7	13	13	50	9000	9000	9000	9000	9000	9000	9000	1875	1875	1875	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
331	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
331	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	10	8	10	10	11	32	33	110	6000	6000	6000	6000	6000	6000	6000	2068	2068	2000	100	100	100	100	100	100	100	0	0	0
331	2	1	10000	0	0	0	0	0	0	0	0	0	7	7	8	7	8	8	9	27	28	92	6000	6000	6000	6000	6000	6000	6000	2068	2068	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
401	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	6	9	11	22	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	3	5	6	11	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
401	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
401	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
411	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
411	1	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
411	2	1	10000	0	0	0	0	0	0	0	0	0	2	2	3	2	3	3	3	13	19	32	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
421	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
421	1	1	10000	0	0	0	0	0	0	0	0	0	6	6	7	6	7	7	8	30	36	80	9000	9000	9000	9000	9000	9000	9000	4125	4125	2500	100	100	100	100	100	100	100	0	0	0
421	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	4	3	4	4	4	16	19	42	9000	9000	9000	9000	9000	9000	9000	4125	4125	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
431	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
431	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	10	8	10	10	11	47	55	110	6000	6000	6000	6000	6000	6000	6000	3245	3245	2000	100	100	100	100	100	100	100	0	0	0
431	2	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	25	29	58	6000	6000	6000	6000	6000	6000	6000	3245	3245	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
501	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	10	9	18	36	72	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	5	5	9	18	72	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
501	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
501	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
511	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
511	1	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	6	5	6	7	28	42	70	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
511	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	4	15	22	37	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
521	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
521	1	1	10000	0	0	0	0	0	0	0	0	0	7	7	7	8	7	8	10	39	38	100	9000	9000	9000	9000	9000	9000	9000	3850	3850	2500	100	100	100	100	100	100	100	0	0	0
521	2	1	10000	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	5	21	20	53	9000	9000	9000	9000	9000	9000	9000	3850	3850	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
531	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
531	1	1	10000	0	0	0	0	0	0	0	0	0	10	10	10	11	10	11	14	54	53	140	6000	6000	6000	6000	6000	6000	6000	2675	2675	2000	100	100	100	100	100	100	100	0	0	0
531	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	6	5	6	7	28	28	74	6000	6000	6000	6000	6000	6000	6000	2675	2675	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
601	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	12	9	22	44	88	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	6	5	11	22	88	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
601	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
601	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
611	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
611	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	8	7	8	8	9	36	54	90	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
611	2	1	10000	0	0	0	0	0	0	0	0	0	4	4	4	3	4	4	4	16	25	41	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
621	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
621	1	1	10000	0	0	0	0	0	0	0	0	0	11	11	11	10	11	11	13	57	57	130	9000	9000	9000	9000	9000	9000	9000	4385	4385	2500	100	100	100	100	100	100	100	0	0	0
621	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	6	26	26	59	9000	9000	9000	9000	9000	9000	9000	4385	4385	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
631	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
631	1	1	10000	0	0	0	0	0	0	0	0	0	15	15	15	14	15	15	18	72	72	180	6000	6000	6000	6000	6000	6000	6000	2800	2800	2000	100	100	100	100	100	100	100	0	0	0
